ParlaMint-NL_2015-09-03-tweedekamer-10.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2015-09-03-tweedekamer-10.u16	As far as I am concerned, in committee, I said that the energy agreement should be evaluated quickly and thoroughly. The minister thinks he needs a little longer time for that. For the moment, I have given him that space, because I also think care is very important. However, I do not rule out the possibility that we will come back to this again in the near future. If you ask me now whether I will support your motion for an early evaluation, I will say: no, Mrs Mulder, I am not ready for that.
ParlaMint-NL_2015-09-03-tweedekamer-10.u17	I note that the PvdA Group has been turned on this point.
ParlaMint-NL_2015-09-03-tweedekamer-10.u18	Well... that's a little cheap.
ParlaMint-NL_2015-09-03-tweedekamer-10.u19	Thank you both very much. I am happy to give the floor to Mr Smaling, who, I note, does not need it. Then I give the floor to Mrs Van Veldhoven.
ParlaMint-NL_2015-09-03-tweedekamer-10.u20	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Tulip Oil has applied for a mining authorisation from Terschelling;]] [[Whereas the assessment of the usefulness and necessity of a extraction permit should be made in the light of the role that the Dutch gas reserves should play in the future energy supply;]] [[Whereas the interests of the environment and nature must also be taken into account and the concerns of the local population should be taken into account;]] [[calls on the Government not to extend the authorization until the Chamber has discussed and decided on the role of the Dutch gas reserves in the future energy supply,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Energy Agreement is now only up to 2020 and 2023;]] [[Whereas long-term clarity is important for a sustainable climate policy;]] [[calls on the Government to work with the parties to the Energy Agreement to strengthen and extend the Energy Agreement, setting out a cost-effective path until 2050, with intermediate targets with concrete measures for 2020 and 2030,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-199]] [[This motion has been proposed by members Van Veldhoven, Van Tongeren and Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-200]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u21	It is important to know whether Mrs Van Veldhoven wants this before or after the evaluation.
ParlaMint-NL_2015-09-03-tweedekamer-10.u22	I can very well imagine that in the evaluation we will decide not only to look at the period up to 2023, but also to look at 2030 and beyond 2050, to see if we are on a cost-effective path. I think it would be useful to include the results of the evaluation.
ParlaMint-NL_2015-09-03-tweedekamer-10.u23	Thank you very much.
ParlaMint-NL_2015-09-03-tweedekamer-10.u24	I have two more motions, Mr. Chairman.
ParlaMint-NL_2015-09-03-tweedekamer-10.u25	Then proceed quickly.
ParlaMint-NL_2015-09-03-tweedekamer-10.u26	That's why I didn't say any introductory words.
ParlaMint-NL_2015-09-03-tweedekamer-10.u27	That was very wise.
ParlaMint-NL_2015-09-03-tweedekamer-10.u28	I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Energy Agreement provides for subsidies for coal-fired power stations for the co-incineration of biomass;]] [[whereas the chemicals sector in the Netherlands can turn to more high-quality use of biomass, but this is not enough;]] [[calls on the government, with the chemicals sector and coal-fired power stations, to table an ingrowth path of cascaded biomass, the coal-fired power stations of which reduce the residual products,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-201]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u29	I am referring, of course, to the energy companies which have these coal plants in their production platform. Then I'll file my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government agreed in the Energy Agreement that coal plants would be exempted from coal tax, while some older coal plants would close early;]] [[Whereas it is unclear whether the costs incurred by energy companies to close their old coal plants early are proportionate to the exemption from the coal tax they receive;]] [[calls on the Government not to introduce the exemption from the coal tax until further investigation has been carried out,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-202]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u30	After Mr Vos's words on the coal plants, I expect his warm support, of course.
ParlaMint-NL_2015-09-03-tweedekamer-10.u31	That's what we're going through. We'll wait until the Minister has all the motions.
ParlaMint-NL_2015-09-03-tweedekamer-10.u32	Mr. Chairman. It's nice to meet all the spokesmen again, so after the recess. I hope they've had a fertile period. This is a follow-up to a general consultation we held before the recess, but it's all ahead of the spokesmen's heads. After all, I have a large number of motions on which I can now give an opinion from the cabinet. Mrs Van Tongeren's motion on item No. 190 was co-signed by Mrs Van Veldhoven. It calls on the government to monitor the oversubsidisation of low-value biomass and to inform the Chamber accordingly. Oversubsidisation is already being optimally countered. The SDE+ is an uneconomic top subsidy and thus only compensates for the difference between the market value and the cost of renewable energy. Because of this system, oversubsidisation is avoided as much as possible. This is also done by using an auction mechanism for the SDE+. Project developers, people who want to develop projects for the production of renewable energy, are stimulated to apply even below the basic amount of funding. That basic amount is an amount that we have calculated ourselves. These two characteristics of the SDE+ scheme are very consciously applied. They are at the heart of the SDE+ scheme. The result is that oversubsidisation in all categories is actually minimized as much as possible. That is why there is no need to monitor that extra. That is what this whole scheme is all about. That is why I advise against the motion in part No. 190.
ParlaMint-NL_2015-09-03-tweedekamer-10.u33	I thank the Minister for the answer. If it's very rare, it shouldn't be so difficult to monitor it. Could the Minister at least inform the Chamber when this 15% low-value biomass is being exceeded? If the total SDE+ is monitored, is it possible to report to the Chamber at regular intervals? The Minister says that oversubsidisation will hardly occur. Then it shouldn't be so complicated to let us know when it is.
ParlaMint-NL_2015-09-03-tweedekamer-10.u34	I have said that oversubsidisation is optimally countered by the design of the SDE+ scheme. I think we're already putting an abundance of information in the Chamber around this SDE+ arrangement. There's no problem here. I do not think it would be useful to set up monitoring or additional information there. I'd like to leave it at the hands of this motion. The motion in part No. 191 by Mrs Van Tongeren has also been co-signed by Mrs Van Veldhoven.
ParlaMint-NL_2015-09-03-tweedekamer-10.u35	No, it's just a motion from Mrs. Van Tongeren.
ParlaMint-NL_2015-09-03-tweedekamer-10.u36	I think the motion is in part No. 191 signed by Mrs Van Veldhoven.
ParlaMint-NL_2015-09-03-tweedekamer-10.u37	The spoken word counts. I couldn't find a pen in time to scribble it under. But I did say it.
ParlaMint-NL_2015-09-03-tweedekamer-10.u38	Then we're gonna put that name underneath it.
ParlaMint-NL_2015-09-03-tweedekamer-10.u39	Let's just say you're right. In the motion in part No. 191 the government is asked to inform the Chamber of the extent to which companies belonging to the heavy industry have implemented energy saving measures with a payback period of five years or less. The vast majority of heavy industry is covered by the so-called MEE agreement. These are the multi-annual energy efficiency agreements of ETS companies. I've been informing the Chamber about the progress of these energy agreements every year. The energy efficiency plans that the participating companies have to make and also make in the MEA Covenant include the measures with a payback period of up to five years. I can therefore make an annual assessment of whether these measures have been implemented. By way of illustration, 106 of the 110 MEE companies have now received a so-called progress statement. That means I can track to what extent they perform or not. I will shortly send the Court the analysis and the results of this in writing. This motion, in my view, has no added value. That's why I'm dissuading the motion.
ParlaMint-NL_2015-09-03-tweedekamer-10.u40	I thank the Minister for sending us that information. How does he deal with companies that say: we cannot achieve this goal annually, but in a number of years with a larger project? I went to work with one of those companies. It is said that we can do it, but it is difficult for us to meet the target annually. They can make bigger strides in terms of age. How does the Minister take that and perhaps he can come back to that in his letter of information?
ParlaMint-NL_2015-09-03-tweedekamer-10.u41	I understand that this is a question from Mrs Van Veldhoven in which she suggests that this could be addressed positively. It proves once again the usefulness of Mrs Van Veldhoven's work visits. I will be glad to be informed on this point and to inform the Chamber with the information promised or with any other round of information. In her motion in part No. 192 this time, not co-signed by Mrs Van Veldhoven, Mrs Van Tongeren asks the government to suspend the search for the Terschelling-Noord gas field until it can be re-assessed under the amended Mining Act. I can't suspend an APB. I don't have any legal options for that at all. In addition, it has no effect. The Tulip company, which has made a request for extraction and intends to extract gas there, is no longer planning to carry out any detection activities there. It's been a long time since the BOLO went down. It is now a question of deciding on the application for the extraction licence. That is why, in my opinion, this motion has no added value. That is why this motion, this time only tabled by Mrs Van Tongeren, has been rejected. The Agnes Mulder/Dik Faber motion invites the government to launch the comprehensive review of the Energy Agreement in the first half of 2016 so that the evaluation can be sent to the Chamber in the summer of 2016. It's not agreed to do that. It is agreed that the provisions contained in the Government Agreement and in the Energy Agreement will be reviewed in 2016. I will do so as agreed in the Energy Agreement or the Government Agreement. I do not intend to go any other way by the end of 2015. That is why I do not recommend the adoption of this motion. In their motion in part No. 194 Mr Agnes Mulder and Mr Dik-Faber proposed that the Chamber ask the Government to include a separate scheme for energy cooperatives solar PV in the SDE+ scheme. That is not necessary, because the proportion of solar PV is already growing to our liking because of the possibilities that exist. I refer to the SDE+ scheme, the reduced rate scheme, which is regularly referred to by the Court as postcode rose scheme, and the possibility of netting. Moreover, recording a shot is not in line with the SDE+ systematiek. I did this for the projects wind at sea. This was necessary in order to achieve the 16% ambition for the year 2023. That is why I had to move on to a derogation on that point. For sun PV that deviation is not necessary. I would not like to let go of the SDE+ system at this point too. That's why I advise against this motion. The Agnes Mulder/Van Tongeren motion states that the injection of waste water in Twente should not be resumed until the investigation is completed. I have already indicated that when granting the authorisation for the injection of waste water, it was actually a production water.................................................................................................................................................................................................................................................... Turns out that's water injection. That is what we are doing, and we have been doing it for a long time. Now there are concerns in the Twente region. In consultation with the region and with the NAM, I have highlighted the mandatory six-year evaluation that we had agreed with each other for a year and a half. I will use that evaluation to re-examine whether it is still the best solution on environmental grounds, as we are now looking at it in 2015 and 2016. A thorough consideration will be made, and I do not want to anticipate this by intervening now in an existing permit. That is why I do not recommend the Mulder/Van Tongeren motion in part No. 195. Mrs Mulder also asked whether I would like to put renewable energy on paper the flows of money from the budget reserve. I'm sure I'm willing to do that. That is what I will do with the EZ budget, which will come to the Chamber on Princess Day, and which will undoubtedly be read with great interest by Mrs Mulder on this point too. Mrs Mulder also said that the framework for energy saving by companies should be made more concrete. That is a remark that I had not yet received from the general consultation, but I will consider Mrs Mulder's comment and see whether improvements would be desirable and possible as a result. I come to the motion for a resolution by Mr Dik-Faber on part No. 196 in which the government is invited to align the seed path for wood pellets certified at area level for the industrial generation of bioflow with that for the energy sector. I must advise the Chamber not to make that statement, because it concerns two different sectors, and the investments that need to be made are also different. Depending on the investments that need to be made, the reasonableness to ask for these investments and the path of growth associated with them, we have established the paths of growth. I think we should respect that. I do not think that these are justified growth paths and that they should be brought into line. That is why I advise against the motion in part No. 196 by Mrs Dik-Faber. In the motion-Dik-Faber in part No. 197 is requested by the government to generously add the unused space in the 2015 experiments to the number of experiments to be determined for 2016. It explains this, citing associations of owners and cooperatives. I do not think it is appropriate to change the rules of the game on the basis of the opening-up of the scheme. Proposals made for that scheme shall be assessed on the basis of their quality and not of their origin. I think we should hold on to that. The verdict that Mrs Dik-Faber asks the Chamber to make, I advise the Chamber not to do so. I come to the Vos motion on part No. 198. Mr Vos proposed that the Court rule on the extraction of natural gas at Terschelling. He proposed to the Chamber that it should be said that there should be no extraction of natural gas there. I don't think it would be good for the Chamber to do that. An application for a permit made by a company must be made in accordance with the laws and regulations adopted by the government together with the Lower House and the Upper Chamber. It seems to me to be a very bad thing if you let go of that and instead turn it into a sort of tombola, where someone applies for a permit, then there will be a motion in the Chamber for which there is or is not a majority, and depending on whether that permit is granted or refused. Then what did we make the rules for? Those rules are there to be applied, even in the case of Terschelling. I wish to do so carefully, and I see the problem there. I know how Mr Vos, the Labour Party and others feel about this. I've done two things. I've stalled the decision-making process. I will first come up with a legislative amendment, which will allow me to take a broader view of whether or not this licence application should be honoured. I must therefore ask my legal advisers, including the province of Friesland. On the basis of this broader consideration and the advice I receive, I can arrive at a decision in a responsible manner according to the laws and rules in force. I do not think that what is being proposed here is a good thing. It's not a good procedure, and that's why I'm not recommending this motion. In her motion in part No. 199 Mrs Van Veldhoven asks the government not to extend the licence....................................................................................................................................................................................................................................................... I've already indicated how I'm gonna do it. I've postponed it for a while. There will first be a legislative amendment if the Second and First Chambers agree with the Cabinet. Then I ask for advice, including from the province of Friesland. Then I'll make up my mind and make up my mind. That is also what I have to do according to the laws and rules that apply. With regard to statements which differ from that, I am free to advise the Chamber not to do so. The motion in part No. 200 by Mrs Van Veldhoven has been co-signed by Mrs Van Tongeren and Mrs Dik-Faber. It is stated that the government should work with the parties to the Energy Agreement to strengthen and extend the Energy Agreement which sets out a cost-effective path up to 2050 with intermediate targets with concrete measures for 2020 and 2030. It is good to wait for the energy report that we come with at the end of this year. That report reflects the energy vision of the future of the cabinet. If we have that vision, we can see how it relates to the energy agreement. The social partners are already involved in the preparation of the energy report. That is an orderly decision-making process. The energy agreement is now in progress. Everyone's trying their best to do that. We have agreed on the evaluation and on the monitoring of progress by an independent committee at the ESC led by Mr Nijpels. I think that we should stick to this and not make additional statements now, especially if they anticipate the vision that the cabinet will be presenting before the end of the year. That's a better opportunity. If we follow the agreements we made with the energy agreement, this is a better way than the road indicated in this motion. That's why I'm deposing this motion.
ParlaMint-NL_2015-09-03-tweedekamer-10.u42	The Minister thinks it would be a better opportunity to discuss this when he has come up with his vision. Is that what he's asking me to hold the motion?
ParlaMint-NL_2015-09-03-tweedekamer-10.u43	In this case, I am not waiting for the motion to be held. There's a lot of stuff going on in the energy field. Mrs Van Veldhoven knows that better than anyone. We're coming up with a national energy exploration soon. There's gonna be an energy report. We are fully engaged in the implementation of what has been said in the coalition agreement on energy and what was agreed in the energy agreement. It's all complicated enough as it is. Sustained motions do not increase the joy of celebration. In this case, I do not think this has any added value. I'll leave it to the defense of the motion.
ParlaMint-NL_2015-09-03-tweedekamer-10.u44	Now the Minister leaves a little in the middle whether there is an energy agreement after he has come up with his vision. He leaves a little in the middle whether there is a future for the energy agreement at all. Nor does that seem to me to be a desirable statement.
ParlaMint-NL_2015-09-03-tweedekamer-10.u45	I am the one who is working every day to live up to everything we have agreed in the energy agreement and to call on others to do the same. I'm the one who's also trying to find solutions to all the problems that arise. The energy agreement is there for the long term. I attach great importance to that. It will continue to exist. However, if it is necessary to make adjustments and we all agree on them, we shall do so. First of all, it is the parties that have concluded the energy agreement that have to judge it. For my input, the energy report is of the utmost importance. That includes my vision of energy policy for the coming period. It is good to leave that vision at the basis of our attitude. Then, together with all the other parties, we can ensure that the energy agreement does not only remain in existence, but is also respected and implemented. As far as I'm concerned, all this is happening as soon as possible. In her motion in part No. 201 Mrs Van Veldhoven asks the government to sit down with the chemicals sector and the coal plants to agree on an ingrowth path of cascaded biomass from which the coal plants will take the rest products. We're already working on cascading. I have spoken about this cascading before with the Chamber, including Mrs Van Veldhoven. I'm as motivated as she is. You have a bioproduct that you use optimally. Every time it cannot be used in a certain phase, you let it go to a next, less favorite, phase and use it optimally there. Eventually, you'll end up burning. We are already in the process of organizing and investigating all this in that way. All necessary consultations will take place with the chemical industry and the coal-fired power stations, one separately and the other jointly. We are working hard on this, so the motion is superfluous in that respect. That's why I'm betraying her.
ParlaMint-NL_2015-09-03-tweedekamer-10.u46	If the Minister can say that the first recital is already involved, namely that this is also part of the subsidy of biomass, he makes me a happy person today. In that case, a cascading element in obtaining subsidies on biomass in coal-fired power stations will be included. However, I have not yet heard a commitment from the Minister.
ParlaMint-NL_2015-09-03-tweedekamer-10.u47	No coal-fired power stations are subsidised. What happens is that the burning, co-incineration of biomass is subsidised under the SDE+ scheme. However, this is only about using biomass. Why do we do that? Because biomass is part of renewable energy. We have said that renewable energy is fermentation, solar energy, wind on land, wind at sea and also biomass. However, this biomass should not exceed 25 petajoule and must also be certified, which must be properly monitored. That's what we all agreed on, and I'm applying it. It is not good to translate that into subsidising coal plants.
ParlaMint-NL_2015-09-03-tweedekamer-10.u48	Finally, Mrs Van Veldhoven.
ParlaMint-NL_2015-09-03-tweedekamer-10.u49	That semantics aside: another work visit I have made. The Minister was just as complimentary about my work visits to the chemical industry. It is concerned about the competition that exists in the sustainable biomass market between energy companies, which want to co-incinerate biomass in their coal plants, and the chemical industry, which would also like to follow a growth path towards biobased chemistry. I know the Minister's pulling it hard. I think we're pulling the same end of the rope here. Why not look at whether we can actually double up a small part of the 3 to 4 billion that is going to subsidise biomass in coal-fired power stations, including for the transition that the chemical industry needs to make? I think we are pulling the rope on the same side here and there is also quite a willingness on the part of the energy companies to think about this. The question I put to the Minister is whether he is prepared to talk to those parties about the possibility of making these euros double the amount of taxpayers' money here.
ParlaMint-NL_2015-09-03-tweedekamer-10.u50	No. The SDE+ scheme is intended for renewable energy. I don't have the ability to use the money from the SDE+ scheme for anything else. If I wanted to, it would require a change of law. I'm looking at how we can set up this cascading, how we can make that reality happen. I think that should be done. Mrs Van Veldhoven and I do not disagree. However, I do not want to say now that I want to work towards the fact that, by way of derogation from the existing SDE+ scheme, we are going to use some of the money that we are getting from citizens and businesses for that purpose for another purpose, no matter how beautiful. In her motion in part No. 202 Mrs Van Veldhoven asks the government not to introduce the exemption from the coal tax until it has been further examined. That is not what I want to do, and Mrs Van Veldhoven knows it. We have spoken on this subject a great many times. Every time she makes a motion, I say the same thing. I always wonder how often I have to do it to Mrs Van Veldhoven to give the same answer over and over again. I have seen that agreements have been reached with all the parties involved on the issue of coal taxation in the energy agreement. All the parties involved have found that if we close the old coal plants, we will abolish the coal tax, which came into force a year ago. We do not extend it and leave the exemption from the coal tax as agreed in the energy agreement. I do not think it would be good to deviate from those agreements in the energy agreement and that it would be much better to stick to them. That is why I have tabled the motion in part No. 202 by Mrs Van Veldhoven.
ParlaMint-NL_2015-09-03-tweedekamer-10.u51	I would like to thank the Minister very much. We will be voting next Tuesday on the motions that have been tabled. I would ask the Minister to stay with us for the next debate, which we will continue immediately.
