ParlaMint-NL_2015-03-31-tweedekamer-16.u1	Mrs van Veldhoven has the floor for a point of order.
ParlaMint-NL_2015-03-31-tweedekamer-16.u12	The directive implemented by this legislative proposal is not about liberalising international passenger transport. A directive for this is now being negotiated in Brussels. At the moment, there is no basis to liberalise domestic passenger transport in such a way that there is genuine competition on domestic markets. If that were to happen, D66 considers it important that there really is a fair playing field. If the Deutsche Bahn or the French railways would like access to our market, the NS should be able to offer its excellent services on equal terms on the French or German market. It is a question of ensuring, through competition, that the traveller gets the best product. I would also like to give that to the French or the German traveller.
ParlaMint-NL_2015-03-31-tweedekamer-16.u13	My question was specific: are you prepared, in your vision of the future, to sacrifice the Dutch Railways? The Dutch Railways may no longer exist in your scenario, because they are going to die in the competition you are aiming for in the European field. Do you think that is acceptable, or is D66 always in front of the Dutch Railways? Does D66 want to be sure that there will always be a market for the Dutch Railways?
ParlaMint-NL_2015-03-31-tweedekamer-16.u14	Mr Madlener seems to be most concerned about the company, but I am most concerned about the traveller. What is the most important thing for the PVV: that we necessarily have a yellow-blue logo or that we have the best service for the traveler? I think the latter is the most important thing. Of course, we shouldn't be naive. That is why I have just made it very clear that when competition comes, it has to be done on fair terms. We're not crazy Henkie, so we won't say: come all here, while the NS, a beautiful company, has no chance on foreign markets. For us, however, it is not the company but the traveler who is at the forefront. I think I have heard Mr Madlener say that in an AO. I assume he will respect that statement in the course of this discussion.
ParlaMint-NL_2015-03-31-tweedekamer-16.u15	Mr. Chairman. It is a good thing that the European Union is working towards further rail integration and is striving for a single European rail area. This promotes cross-border passenger and freight transport on rail. That is good news for the internal market. On the positive side of the legislative proposal, it also monitors the separation, albeit accounting, of the management of infrastructure and transport activities in Europe. We have already arranged this in the Netherlands in the form of ProRail on the one hand and the NS and other carriers on the other. The VVD is strongly in favour of this, because only in this context can more market forces emerge on the track. Let me just say to the left and right flank in the Chamber that we are getting more quality in transport and that has led to lower prices. I would like to emphasise the following points. For the use of other additional station activities by carriers, such as counters, waiting rooms, and the placing of payment posts, NS and ProRail will provide a website on which the conditions and rates for this so-called station portfolio will be included. The bill obliges them to provide transparency through this website. This is in itself positive, but the ACM is subject to ex post supervision of the rules and tariffs at which other carriers can use these station facilities. I believe that prior monitoring should be carried out, i.e. prior to the start of the tender procedure on the railways, also in relation to the unilateral dependence of carriers when stopping at a new station and reaching new agreements with the operator of the station, including on station activities. I therefore propose a number of amendments, together with the CDA, to achieve this in the legislative proposal. I have just understood from the interruptions of the SP that that group is very much in agreement with that. Prior supervision rather than ex post supervision, as we see today in Limburg, leads to much less judicial proceedings. That is why legal proceedings are being initiated there. It saves a lot of costs, it becomes a lot more user-friendly for the other carriers and it contributes to a level playing field. Transporters can thus achieve a better and more complete offer for the transport of passengers. Afterwards, the costs of the proceedings will be reduced. This amendment, with prior supervision of the tariffs of services and facilities at stations, also addresses the issue of the tendering in Limburg and the alleged abuse of power of the NS in this regard. Subsidiary Abellio of the NS has won the tender in Limburg. According to leaked passages from the ACM's report, the NS withheld information and delivered it too late. In itself, the province of Limburg is important, but nationally, we are tackling this problem by means of our amendments. Rail freight transport will face major problems in the coming years.
ParlaMint-NL_2015-03-31-tweedekamer-16.u16	The problems with the invitation to tender in Limburg are not new. Last year the CDA, together with D66, tabled a motion highlighting the major problems with the level playing field, which would not be there. A report from the ACM has now been leaked, in which it is actually confirmed. What I have read is that there is actually a brutal abuse of the position of the NS. Does the VVD agree that the tender should be over? Does the VVD also consider that the Secretary of State should act immediately in order to find a solution for the parties? Or is the VVD waiting for all lawsuits first? The VVD didn't support that motion last year.
ParlaMint-NL_2015-03-31-tweedekamer-16.u17	That may have been premature, but the province of Limburg is the contracting authority in this regard. He'll have to take action. That province may provide that the tender is to be transferred, depending on the outcome of the procedure. We are dealing with the problem at national level by tabling these amendments. I hope that the PVV will support them too, because then we will be able to avoid this issue.
ParlaMint-NL_2015-03-31-tweedekamer-16.u18	We need to learn lessons from what went wrong in Limburg. In this sense, I sympathise with the amendments, but we must also look at what is happening in Limburg. A tender went terribly wrong. The NS was a player. In fact, according to the leaked report, the NS itself ensured that the tender was unsuccessful and that there was no level playing field. The person responsible for the NS is the Secretary of State in this government. Does the VVD leave it at that, or does the VVD ask the State Secretary to intervene and let the NS still make a new tender, in such a way that the NS is not rewarded for this misconduct?
ParlaMint-NL_2015-03-31-tweedekamer-16.u19	I'm falling back on my response at first instance. Limburg is the contracting party. We are dealing with this problem at national level by means of the amendments. As a result, pre-monitoring will take place. Then you don't have these crazy procedures after all. That's gonna save you a lot. I hope that the PVV will also support those amendments. The ACM's report is not yet public. We have taken note of certain passages but we will have to wait until the ACM sends the report to the Chamber and to the Secretary of State. I'm looking forward to that moment. It is still too early to draw all these conclusions because there are still a number of procedures in place.
ParlaMint-NL_2015-03-31-tweedekamer-16.u20	Mr. Chairman. I would ask both Mrs De Boer and Mr Madlener to be careful. The content of the report that is being discussed has not yet been established at all. That is why it has not yet been published. The findings currently being discussed are not findings. They are assumptions that cannot seem to be substantiated. My question to Mrs De Boer is therefore why she relies so carelessly on sources that have been leaked and which apparently cannot bear the light of day. Otherwise, they would have been made public.
ParlaMint-NL_2015-03-31-tweedekamer-16.u21	These qualifications of a report by the ACM, an important supervisor on behalf of all of us, are on Mr Bashir's behalf. I can't wait for the report to officially come to the Chamber so we can assess it. But what has been leaked speaks for itself and worries me. That is why we are tabling these amendments today.
ParlaMint-NL_2015-03-31-tweedekamer-16.u22	I don't think this is possible. I have also been informed and, as I understand it, the report has not been published, because the assumptions cannot be substantiated. If the report is still published, it is another reason to challenge it. I would therefore like to ask for care, especially when we are discussing a legislative proposal that gives even more powers to the ACM in order to be able to write more reports. If we then draw such conclusions on every report that has not been substantiated or has not yet been published, the end is lost.
ParlaMint-NL_2015-03-31-tweedekamer-16.u23	What is your question, Mr Bashir?
ParlaMint-NL_2015-03-31-tweedekamer-16.u24	The SP seems to shop selectively in the proposals and opinions that come to us from important supervisory bodies. That is Mr Bashir's choice. Again, I await the official publication of the report. To be honest, NS doesn't go against it for nothing. So there might be some truth in it, otherwise the NS would not be able to appeal it. Anyway, again, I too await the official version of the report.
ParlaMint-NL_2015-03-31-tweedekamer-16.u25	You must ask a question, Mr Bashir, that is the intention of an interruption.
ParlaMint-NL_2015-03-31-tweedekamer-16.u26	Then I would like to see the basis of Mrs De Boer's assumptions. She talks about a report that has been leaked, and documents that have not yet been officially published and which the ACM apparently cannot take on because they are not yet public. I would therefore like to ask Mrs De Boer to stand behind those passages and say that these things are based on truth, together with her justification.
ParlaMint-NL_2015-03-31-tweedekamer-16.u27	I'm okay with it. I also welcome, in the context of invitations to tender, in the case of registration as recently as those two railway lines in Limburg, that the information on the pricing of additional station facilities is known in advance through a website and that it has been approved by the ACM. I think this is a good development, which I very much welcome, especially given that the market is increasingly open to multiple tenders. We are in the process of introducing more and more market forces on rail and in public transport. That's good for the traveler. I think it is also a good development that there is clarity and transparency on these matters, where the carrier is one-sidedly dependent on the operator on that one station and has no choice because the train stops there, on the charges at which the carrier can use the provision at these stations. It seems to me to be a good development that all this is known in advance, so that the carrier can take this into account in his tender and register it.
ParlaMint-NL_2015-03-31-tweedekamer-16.u28	I have a question about Mrs De Boer's comment that the province is in the process of making progress. What's she like, given the judge's ruling? Veolia tried to enforce through the court that the province of Limburg does something against the alleged wrong conduct of NS. However, the judge makes it very clear in his opinion that it is not up to the province to monitor and assess competition on the track, nor to regulate or simplify it by means of its tender procedure. In that sense, I wonder what Mrs De Boer means by her remark that the province is at play in this matter.
ParlaMint-NL_2015-03-31-tweedekamer-16.u29	I take the liberty of interpreting this point, but I believe that it is important to ensure that contracts are awarded, i.e. tenders in general, in full width, and that this is not fundamentally a matter for discussion in the province of Limburg. I could almost bounce the ball back, because Mr Van Helvert has been in our midst for several months now, but he is from the province of Limburg. At least he was in the public administration until recently. Perhaps he will be able to give a hint of the veil, but if the judge's ruling on this specific tender is there, it is indeed up to the contracting authority, the province of Limburg, to take concrete action in this case.
ParlaMint-NL_2015-03-31-tweedekamer-16.u30	Then that's clear. As far as adjusting the rules is concerned, I think that we, the Cabinet and the House of Representatives, are on the move, but Mrs De Boer has made that clear.
ParlaMint-NL_2015-03-31-tweedekamer-16.u31	Mr. Chairman. I want to talk about rail freight. As has just been said, this will have serious problems in the years to come, because Germany is building, at least until 2022, the missing part of the Betuwe route, along which the goods will have to be transported from ports. We must not neglect this. Fortunately, flexibility in rail freight transport and last-minute requests for freight routes are being increased by keeping more space available. That deserves a compliment, but it is in fact at odds with the next point. According to the directive travelers and freighters must indicate, at least 12 months, but in our system eight months before the start of the new year, what space they wish to claim the following year on the track. This is provided for in the Directive. Passenger carriers know eight months in advance the times and frequencies in which they want the trains to run the next year. For freighters this is just a lot more difficult, because they do not know when a ship with goods enters the port of Rotterdam. We must therefore exercise some flexibility in this regard. The VVD is afraid that the freight transport will hit an undersnowed child. For unincorporated space by a carrier, the Secretary of State wants to come up with a system of fines. An impact on this point should still come to the Chamber, but the VVD is opposed to this fine. After all, the freighters are not in control when the ships with those goods will enter the port, so a fine is really crazy. Are we also doing this to passengers? No, I'm saying that.
ParlaMint-NL_2015-03-31-tweedekamer-16.u32	I understand Mrs De Boer's plea very well. We all want these freighters to be able to make efficient use of the railways, because that also means fewer trucks on the road. At the same time, we have limited capacity. Mrs. De Boer is opposed to a system of fines. What system does it propose to ensure that there is an incentive to use this space as efficiently as possible? I think we can find each other widely in the Chamber. Fines are indeed a means, but not necessarily the most popular means. What could we possibly do in Mrs De Boer's view?
ParlaMint-NL_2015-03-31-tweedekamer-16.u33	That is indeed a difficult task. I understand very well that by imposing a fine that encourages freighters to look carefully at the space they want to reserve on the rail. If there is no system of fines or if they do not have to pay, you might think that they might be able to claim a lot of space, which means that that space is not being used. With a fine you could deal with that, but I find that too much of a negative incentive. The directive and the legislative proposal mention a reserve levy. With a reservation charge you might force the freighters to take a good look at the space they want to use on the railways in the coming year. If they use that space on the track, you could deduct the reserve charge they have already paid from the user fee they pay for taking up that space on the track. This saves me a lot of speaking time in a moment, so you can be pleased, Mr President. If the space is not occupied, you could also look at the possibility that they transfer space to each other. The carrier who could claim that space could refund part of the reservation fee to the first carrier. That's one way to approach it. In addition to the reservation fee, you could impose a fine, but we do not do that with passenger carriers. That is where we look at the average of the year and do not impose a fine on any untaken train path. We would be able to impose fines on certain carriers in the country by now, but we do not. So we do not have to do that with these freighters. I agree with Mrs Van Veldhoven that you need to look at how to build an incentive into the system to encourage freighters to look as consistently and as carefully as possible at the space they need, so that they do not claim unnecessarily much space that endangers other freighters. I would not like to do that by means of a fine, but by looking at how you deal with the reserve levy.
ParlaMint-NL_2015-03-31-tweedekamer-16.u34	In my view, the directive does not specifically refer to a fine, but to a sanction. You can shape that in all kinds of ways. Perhaps Mrs De Boer and I could jointly ask the Secretary of State how it can be arranged in such a way that the incentive is there, but this incentive mainly leads to maximum efficiency of use. If there are indeed any train paths that remain unused, including by passenger transport operators, it would be interesting to see how we can improve the incentive to apply for them as efficiently as possible. This, too, creates room for other carriers on the railways. Let us put that question to the Secretary of State.
ParlaMint-NL_2015-03-31-tweedekamer-16.u35	I agree. In the coming years, in particular until 2022, we will have a huge task. We cannot use the Betuwe route, that freight line, because the third rail, the missing rail for freight, is being built in Germany. So you have to see how they can be guided between the passenger trains in Brabant, Overijssel and Gelderland. The VVD believes that you need to take measures to prevent the nuisance. We also need to look carefully at how we can best conduct this process over the next few years. If we start with penance systems, I don't think we're on the right track. In my view, therefore, we do not provide sufficient incentives for freight transport from ports. I will continue with my speech. I would have stayed with the penance system. If the Secretary of State can't agree to that, I'm considering a motion on this point in the second term. I would also like to know first what impact this has on the attractiveness of Dutch rail freight transport and what impact it has on the attractiveness of ports. I would like that question answered in writing. I think we should also know how it is arranged abroad. The focus must be on how we can make rail freight transport more attractive in the long term and how we can best guide freight transport operators throughout the next few years through the Betuwe route. The Directive allows for the completion of additional charges and reductions. I see this in the legislative proposal in the form of a possible reserve levy and environmental tax. The VVD supports a European approach to cross-border rail transport in the context of a level playing field between countries. I understand that the Secretary of State wants to make better use of the rail system through this type of charge, both for the freighter and for the passenger. I support this line. However, I think it is important that the impact on the position of freight transport should be taken into account, even in the case of this environmental tax, I have just mentioned the reservation levy and that the sector should be consulted on this. I heard Mrs Van Veldhoven say something like that. I think it is important for the Secretary of State to go around the table with the freighters on the track to see how you could actually implement that. I am concerned that it should be coordinated at European level. How many wagons are involved, for example, in non-environmentally friendly vehicles? Then what are we talking about? What is the extent of this problem? Don't we shoot a cannon on a mosquito? I'm gonna check my input. I think I have already named the remaining part in my reply to the questions raised by Mrs Van Veldhoven in the event of interruption. I think I have indeed completed my speech with the answers to Mrs Van Veldhoven's questions.
ParlaMint-NL_2015-03-31-tweedekamer-16.u36	Mr. Chairman. According to the SP Group, the proposal before us and behind it the European directive establishing a single European railway area paves the way for further legalisation of our railways. We, as the SP Group, are concerned about the development that is already going on. We see that transporters always bring each other to justice. Transporters drag provinces and other governments to justice. We see that with this bill that road will continue to be strengthened. The ACM will be given more powers to monitor compliance with the railway station portfolio and user fee. Is it not true that this bill will lead to the creation of additional strings between, for example, the NS, regional carriers and public authorities? To what extent is the Secretary of State satisfied with the current commitment of ProRail and NS to achieve greater transparency towards other carriers, towards government and towards politics? Isn't that enough to ensure that there is transparency when, in addition to transparency, there is clarity towards other carriers and public authorities about the tariffs, the conditions and the trade-offs that are being made? Also with the current setup of the ACM, the SP is not content to say the least. There are often bold statements that cannot be made hard. Furthermore, the ACM did not hesitate to engage in a public debate, for example by stating that the full opening up of the rail network would benefit the passenger, while there is no justification for this. In the concession in Limburg we see again that the ACM states that the NS acted improperly in the tender. The NS disagrees with this, which may lead to a lawsuit again. That is a very bad development. This is all a distraction from what it is all about, namely a good and reliable track. In this situation, money which normally benefits the traveller must also be used for the conduct of procedures. Can the Secretary of State comment on this? How much money is involved in this? Why are we letting this happen?
ParlaMint-NL_2015-03-31-tweedekamer-16.u37	Mr Bashir made a brief comment on the ACM's statements on the behaviour of NS in the tendering procedure in Limburg. His interruption has also been about this for a while. Does Mr Bashir agree with me on the following? An organisation which we have identified as authority and which wants to produce a report must be able to produce that report independently. It does not need to discuss this with a regulated body. As a regulator, the authority should be able to take matters into its own hands. Does Mr Bashir agree with that?
ParlaMint-NL_2015-03-31-tweedekamer-16.u38	A regulator can have all kinds of findings, but one must of course be able to support those findings. It would be logical if the regulator, before he would come out with such findings, would first allow the one who is addressed to go into them. It would therefore be very logical for NS to be given the opportunity to respond to the report and to give its findings.
ParlaMint-NL_2015-03-31-tweedekamer-16.u39	I assume Mr Bashir knows that the NS has already been given the opportunity to react. The NS has already responded. But apparently the NS doesn't agree with what it says. If an authority, i.e. an organization that we here in the House of Representatives are to issue an authority report in which it makes a number of criticisms of a regulated, in this case the NS, this authority should be able to publish this report. Does Mr Bashir agree with me?
ParlaMint-NL_2015-03-31-tweedekamer-16.u40	I'm in favour of freedom of speech, so anyone can write whatever they want. However, it also seems logical to me that those who are addressed, in this case the NS, should have the opportunity to respond. In this case, far-reaching and bold statements have been made. In such a case, the judge should be able to give a ruling on the matter. I say this all the more because a majority in the Chamber, against the will of the SP, has created these opportunities. Carriers can sue each other. It is therefore very strange that Mr Van Helvert now says: everyone can do this, but the NS cannot do this. Or Mr Van Helvert says we're done. Or he says, "Let everyone do what they want." By the way, I'd like him to say, "We're quitting." I'd like parties not to bring each other to justice.
ParlaMint-NL_2015-03-31-tweedekamer-16.u41	I wanted to interrupt at first. Then I thought, "I'm gonna wait a little longer." But then Mr Bashir said something very intriguing: we stop, because that is what the SP wants. Could Mr Bashir perhaps explain again how I should see it in practice? What does "we're quitting" mean? Does the ACM stop? Is the competition stopping? What exactly is stopping?
ParlaMint-NL_2015-03-31-tweedekamer-16.u42	Indeed, the SP does not need competition on the track. According to the SP, the parliament oversees the performance of its own state-owned company. If things are not going well, the people's representatives must intervene.
ParlaMint-NL_2015-03-31-tweedekamer-16.u43	But there is competition on the railways at the moment. I know that Mr Bashir is not in favour of this. Of course, he and the SP are free to have an opinion on this, but the reality is that there is competition on the track. We have set up a supervisor to ensure that this is fair competition. I can accuse the SP of a lot, but not that that party would be in favour of unfair competition. Then it's important that we have a strong supervisor, isn't it? Does the SP agree with D66 that we need a strong supervisor in the current situation, even if you might disagree with such a strong supervisor?
ParlaMint-NL_2015-03-31-tweedekamer-16.u44	Mrs Van Veldhoven actually says: if this is the case, then perhaps it is. No, of course I'm not going into that. The SP is not for competition, so we do not need a regulator who will then strengthen competition. No, let's get out of here as soon as possible. By the way, there is no competition at all, because it is foreign state-owned companies that operate here and act as if they are a market player. In fact, however, they are state-owned companies. Such parties operate here and act as if there is a free market, but that is not the case. We should therefore not pretend that there is a free market and also appoint a market supervisor who should monitor such a market.
