ParlaMint-NL_2015-06-02-tweedekamer-2.u1	I give the floor to Mr Koolmees of D66.
ParlaMint-NL_2015-06-02-tweedekamer-2.u12	Mr Pechtold, you want to interrupt, but I'm a little hesitant. The questions have been put by your group.
ParlaMint-NL_2015-06-02-tweedekamer-2.u13	I'm a member of that. The Prime Minister came into the Chamber clearly irritated, but if it remains with these vague answers, it would be more appropriate for the Chamber to be irritated. The obstinacy of the Greek Government is not only bad for the Greek people, but also for the European economy, our pensions, our employment and Dutch interests. The question has been asked why the whole summit was there, while our minister was not there in his capacity as President of the Eurogroup. I just want an answer to that. It has also been asked whether an ultimatum has been set. In my opinion, this too must be answered. Above all, I do not want to hear from the Prime Minister when he speaks to whom in Riga. I want to hear from him what he will share with the Chamber when.
ParlaMint-NL_2015-06-02-tweedekamer-2.u14	First, I want to say something about the alleged irritation. It didn't concern the questions that were asked. There was an agenda technical problem: my presence was desired here, but at the same time also in the First Chamber. That was not resolved interinstitutionally. I believe that the institutions should resolve this between themselves; the members of the cabinet do not have to do so. This had nothing to do with the questions asked. I am always prepared to answer any question, provided that the agenda allows, but that was not possible now. Then to the content. This is an issue between the Eurogroup and Greece. The Netherlands is part of the eurogroup and even provides the president of the eurogroup. The Eurogroup acts within the mandate of 20 February. It was agreed that the three troika parties will discuss with the Greek Government the programme agreed by the previous government with the European Union, the second package of assistance. There is scope for replacing measures with other measures, provided that they produce results in the addition, in the macro-economic impact, in fiscal terms, i.e. in budgetary results. That's happening right now. I can inform the Chamber of its outcome as soon as there is a result, for good or for bad. At the moment, there is no such outcome. Last night's consultation was one in a series of many consultations to put pressure on the process, with the aim of achieving a positive effect. I think I know about what was discussed last night and we also have good information about all the other talks that are taking place, but I find it strange to inform the Chamber about this, since the parties who were together yesterday have not made any announcements about it. It would be crazy if that information would come out through the Dutch Parliament.
ParlaMint-NL_2015-06-02-tweedekamer-2.u15	There's been talk for months. Many European countries have just kept to the agreements they have made. That is not the case with the Greeks. For a long time they have been trying to get out of the agreements they have made. Does the Prime Minister exclude that, if there is to be paid and there is no money, there will still be room for further delay of payment and new conditions, which will allow the Greeks to get away with it again? Does the Prime Minister exclude that kind of bargaining with the rules?
ParlaMint-NL_2015-06-02-tweedekamer-2.u16	On 20 February, the Eurogroup issued an extremely well defined mandate. In the various subsequent debates, when I received similar questions, I referred to this mandate and said at the same time that I would leave it at that. After all, everything I say along the lines of the question to specify that mandate is not helpful in resolving the process.
ParlaMint-NL_2015-06-02-tweedekamer-2.u17	The Greeks have been fooling us for five years now and have already received more than 200 billion from us. Yesterday I heard Mr Vendrik from the General Court say that there is no chance that we will get this money back. The Prime Minister always said we'd get the money back. The previous finance minister even said that we would get the money back with interest. It turns out that even one of the Presidents of the General Court predicts that we will not get the money back. Is the Prime Minister still willing to give one euro to the Greeks?
ParlaMint-NL_2015-06-02-tweedekamer-2.u18	We are now in the process of completing the second aid package for Greece. In that second package of aid there is still some billions of space left to help the Greeks get back on their feet. A new Greek government has now taken office, which is fundamentally opposed to the principles and objectives of the existing package. This has been a reason for the other eurozone countries to say that we are blocking the payment of the last tranche and the existing aid package, and we want to make sure that the new Greek Government does stick to these commitments. We're in that process now. As soon as further information is available, the Minister of Finance will immediately inform the Chamber. There aren't any right now. We are now in the midst of discussions aimed at convincing Greece to comply with the previous government's commitments and to ensure that any changes they wish to make will produce the same results in addition.
ParlaMint-NL_2015-06-02-tweedekamer-2.u19	Second question for the PVV Group. Go ahead.
ParlaMint-NL_2015-06-02-tweedekamer-2.u20	Well, it doesn't matter to me, Mr. Chairman, but as chairman, you have to make sure that I get an answer to my question. My question was: does this Prime Minister think we will get one euro back from the money we all borrowed from the Greeks? But the Prime Minister simply gives the same answer as to Mr Pechtold, Mrs Schouten and Mr Buma, up to three times,...
ParlaMint-NL_2015-06-02-tweedekamer-2.u21	No, Chairman...
ParlaMint-NL_2015-06-02-tweedekamer-2.u22	...and Mr Koolmees! I ask: is the Prime Minister, like former Minister De Jager, convinced that we are getting back all those euros we borrowed from Greece? I want an answer to that. Yes or no, it is. Obviously, Mr Vendrik is not.
ParlaMint-NL_2015-06-02-tweedekamer-2.u23	That was not Mr Van Dijck's question. Mr Van Dijck asked: are you prepared to transfer money to the Greeks? The Netherlands is prepared to grant the last instalment in the existing aid package if the Greeks meet the requirements of the existing aid package. They're not doing that right now. That's why it's blocked. The Eurogroup agreed on the conditions to be met by the Greeks in order to be eligible for the last instalment in the existing aid package. Those conversations are going on right now. This afternoon's question touches on last night's conversation in Berlin. That was one of the informal talks that took place to put positive pressure on that process. I've tried to answer that to my conscience.
ParlaMint-NL_2015-06-02-tweedekamer-2.u24	Thank you for your answers and thanks for coming to the Chamber.
