ParlaMint-NL_2015-12-17-tweedekamer-11.u1	We have six speakers from the Chamber and the first is Mr Van Helvert from the CDA group.
ParlaMint-NL_2015-12-17-tweedekamer-11.u12	I'm replacing the member Madlener. This motion has therefore been co-signed by Mr Madlener, who is ill at home at the moment.
ParlaMint-NL_2015-12-17-tweedekamer-11.u13	That is what we are adding.
ParlaMint-NL_2015-12-17-tweedekamer-11.u14	Thank you. The following motion was also signed by Mr Madlener. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to reconsider ProRail's independence and to inform the Court as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Graus and Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-649]]
ParlaMint-NL_2015-12-17-tweedekamer-11.u15	Mr President, if I do not see you again today, I wish you a blessed Christmas.
ParlaMint-NL_2015-12-17-tweedekamer-11.u16	Likewise, Mr. Graus. Are you gonna do anything fun?
ParlaMint-NL_2015-12-17-tweedekamer-11.u17	Yes.
ParlaMint-NL_2015-12-17-tweedekamer-11.u18	Is the Secretary of State already able to answer? I understand that she has not yet received all the motions, so I shall suspend the sitting for a moment.
ParlaMint-NL_2015-12-17-tweedekamer-11.u19	Mr. Chairman. Mr Van Helvert started with a question on social security on the railways and in public transport. His question is quite understandable, because safety is very important. We have already established in a general consultation with each other that you simply have to keep your hands off our people and that the government can do a lot, together with the carriers, to get that safety in order. The cameras at stations are important. It is agreed that at 30 stations where there is no camera surveillance yet, cameras are hung. It has always been communicated that this should be done through a call for tenders. In the meantime ProRail has thought that they would prefer to work with a different type of camera, so that a new tendering procedure should be started, but fortunately I think that is important and Mr Van Helvert is probably also still ambitious to meet the agreed deadline, I believe at the end of 2016. That's where we're heading. The importance of this is certainly recognised. In the motion in part No. 643, tabled by Mr Van Helvert, asks the government to ensure that available rail and infrastructure budgets are used in time for the purpose for which they are reserved, both at our department and at ProRail. I agree. I consider the motion to be a policy support and I would like to leave it to the Chamber to decide on the motion. In his motion in part No. 644 asks Mr Van Helvert to present the advantages and disadvantages of repositioning the shareholding to another minister and to inform the Chamber accordingly. In the State participation policy, the cabinet has chosen to have ProRail's shareholdership carried out by I and M, because the substance of ProRail is mainly related to I and M policies. And yes, we have also noted in the general consultation, also in connection with the Committee of Inquiry, that we want to look at many issues once again. This is not, for me personally, the first issue that I believe is the greatest profit. However, I think it is fair, and I would like to make a commitment to include this element and to show why we are making a choice. I therefore ask Mr Van Helvert to hold on to his motion, because he is actually going further. He's already making a judgment call. He says it's better to put it somewhere else. I am not convinced of that, but for the debate it is very important that he understands all these considerations. I understand that this may have been sent to the Chamber a few years ago, but I can imagine that the Chamber simply wants to see it again. Perhaps we could resolve it this way, but I would ask Mr Van Helvert if he is prepared to hold his motion.
ParlaMint-NL_2015-12-17-tweedekamer-11.u20	So from my question to investigate, the Secretary of State says that we will take that with us when we look at the Fyra survey in a broader perspective?
ParlaMint-NL_2015-12-17-tweedekamer-11.u21	Yes.
ParlaMint-NL_2015-12-17-tweedekamer-11.u22	Okay, so I can hold the motion.
ParlaMint-NL_2015-12-17-tweedekamer-11.u23	At the request of Mr Van Helvert, I propose his motion (29984, No. 644). That is what is decided.
ParlaMint-NL_2015-12-17-tweedekamer-11.u24	In the motion in part No. 645 asks the NS, as I call it, "all-out-of-the-case scenario." As far as I am concerned, everything is being investigated. In that sense, this motion supports policy. I asked for proposals to be made before Christmas. "For Christmas" is not quite the same as for Christmas, I say. I can very well imagine that by mid-January, or as much earlier as possible, we will inform the Chamber. I would point out that some things seem easy, but they are not always easy in practice. So it's not that every solution you want can also be realized. Mrs Van Tongeren has already said: you could slide with, for example, the occupation on the train and make certain classes available. I'd rather not. However, I asked to look creative and actually get everything out of the closet. This also highlights the preferred non-options, otherwise you would stand in the way of possible solutions in advance. I did not understand Mrs Van Tongeren in such a way that she wants to stop it in advance. She has expressed her preferences. Then I come to the motion on part No. 646 by Mr Smaling. I think it's good to do that. In that sense, I consider this motion to support policy.
ParlaMint-NL_2015-12-17-tweedekamer-11.u25	So judgment room?
ParlaMint-NL_2015-12-17-tweedekamer-11.u26	Judgment Room.
ParlaMint-NL_2015-12-17-tweedekamer-11.u27	That goes, I think, for the previous motion as well?
ParlaMint-NL_2015-12-17-tweedekamer-11.u28	Yes. In the motion in part No. 647 members De Boer and Hoogland are invited to share the Database project in part-time projects and to consult on the Spoordata project. The first part of this motion, in order to make the project feasible and to produce intermediate results, I agree. ProRail has also announced that the project Track data has been cut up in the configuration data and control data parts. At the request of the ILT, milestones were linked to those sub-projects. I understand Mrs De Boer's wish to speed up where possible. We will have to discuss this with ProRail, so I am in favour of the second part of the motion. I would add that quality is ultimately above speed. We have learned that on this type of project. In that sense, I can regard this motion as a support for policy and leave it to the Chamber to decide. Then I come to the motion on part No. 648 by Mr Graus and Mr Madlener. A comment has also been made by Mr Smaling, but in a slightly different way. This motion concerns the position of the Supervisory Board. During the debate, I said that I would not discuss the position of the Supervisory Board through the Chamber. I don't think that's a good idea. However, it is good to note that, of course, we are going to engage fully and openly in the debate on the organisation as a whole, on NS and on how they will relate to each other in the future. The Committee of Inquiry has also put forward a proposal for this. I say to the Chamber that, of course, there will be a cabinet response after the debate has been held in the Chamber. I would therefore advise against this motion. The authors are, as it were, ahead of a debate which they too might wish to have in a broader context. But not so much on the basis of people, but more on the basis of the question: how do you look at this organisation in the future?
ParlaMint-NL_2015-12-17-tweedekamer-11.u29	I would like to thank the Secretary of State for the compliment that the PVV is always leading the way.
ParlaMint-NL_2015-12-17-tweedekamer-11.u30	Yeah, that's right. The PVV does that with a lot of things and sometimes just a little too loud. The same applies to the motion in part No. 649. I'd like to ask the petitioners to hold this motion. Why? I'm considering a lot of options, so I'm also considering this option. But it is not that if you adopt this motion in the Chamber, this will also be the outcome. If I were to leave the judgment to Chamber, I would actually go a certain way ahead of the debate. Since I want to open the debate, I cannot afford to do so now. I therefore ask the authors to hold the motion. But the Chamber will know that we really want to look wide.
ParlaMint-NL_2015-12-17-tweedekamer-11.u31	I do not know whether the sick Mr Madlener agrees with me at home, but I would like to hold the motion.
ParlaMint-NL_2015-12-17-tweedekamer-11.u32	If he doesn't, he'll call.
