ParlaMint-NL_2015-11-17-tweedekamer-23.u1	I would like to welcome the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2015-11-17-tweedekamer-23.u12	Mr. Van Raak? I don't know if you're planning to interrupt.
ParlaMint-NL_2015-11-17-tweedekamer-23.u13	Yes, because I think it is very good that the VVD has made this turnaround. It was not so long ago that the VVD wanted to cut down almost 40% on the AIVD. Our suspicion has been confirmed by the General Court and the CTIVD. The announcement of this austerity alone has led to the disappearance of capacity and the disappearance of knowledge and skills, also specifically aimed at following radicalised individuals, jihadists. I'm glad the VVD's about to. Mr Veldman must have seen, perhaps during these attacks, but at least sooner, that attackers were always in the sight of a secret service. We cannot now see that secret services in Europe are already sufficiently working together. Unfortunately, that's what the attacks show. Does Mr Veldman see a role for the Dutch Government in Europe to ensure that these security services finally get better cooperation?
ParlaMint-NL_2015-11-17-tweedekamer-23.u14	I also think that I have just served Mr Van Raak by asking the Minister about the exchange of information between the various services at home and abroad. We have talked about it before, and Mr Van Raak has certainly spoken about it before; hence my question. That exchange has to be in order. What has changed, what has improved and what steps have been taken?
ParlaMint-NL_2015-11-17-tweedekamer-23.u15	The exchange of information is always a problem. With Theo van Gogh that was already a problem. We have often asked the Minister to do something about it. Every time you see that at the level of the secret services, there are conversations between directors and managers, but it doesn't happen. Perhaps this cultural change will take place at our own AIVD. However, with other secret services, for example in France, I do not yet see them as such. Does Mr Veldman agree with me that it is now a responsibility for politics, perhaps Prime Ministers, to ensure at European level that this cultural change is finally taking place in secret services?
ParlaMint-NL_2015-11-17-tweedekamer-23.u16	I believe that we have a task here with each other to keep the Netherlands as safe as possible. For this we have different security services and other instruments. It is up to us, together with the European partners, to ensure that information is exchanged when it is to take place. Terrorists do not stop at the border, so we must ensure that this exchange is in order. We find each other in the questions I have just asked the Minister. I can tell you that Mr Van Raak can also agree with these questions. I come to the regular points in the Home Affairs budget, for example the financial challenges facing municipalities. Last week, on behalf of 234 of their colleagues, a number of aldermen from Finance offered an open letter on their financial system. The aldermen make three requests: the removal of the scaling-up discount, the introduction of more stability and predictability in municipal budgets and a request on financial relations. I'll deal with all three. Unfortunately, as far as the scale-up discount is concerned, I cannot bring good news to the aldermen. I don't see any room to take the discount anywhere else. And yes, it is true that the intention of the government agreement to scale up to 100,000+ municipalities will not be enforced. And yes, the discount has thus become a self-contained austerity. I understand this is annoying. This is without prejudice to the fact that municipalities can continue to seek economies of scale themselves. The non-distorted scale to 100,000+ municipalities does not have to prevent municipalities themselves from seeking financial advantages through cooperation or association.
ParlaMint-NL_2015-11-17-tweedekamer-23.u17	Yeah, what am I supposed to do with this? Normally, in our country, in our parliament, it goes like this: you make a decision, you make a law, you make policy, and then it has financial consequences. What is happening here is that policy is not going through at all, is being deleted, there is no longer an obligation for municipalities to scale up to 100 000 tonnes, but that the austerity is simply not going to happen. With all due respect: everyone can, of course, rule the country, by throwing this kind of thing over the fence with the municipalities.
ParlaMint-NL_2015-11-17-tweedekamer-23.u18	What's your question?
ParlaMint-NL_2015-11-17-tweedekamer-23.u19	Does Mr Veldman agree with me that investment and austerity are policy-related and not the other way around?
ParlaMint-NL_2015-11-17-tweedekamer-23.u20	I just said that this was initially linked to the idea that we would have to scale up to 100,000+. That obligation is over. However, in my opinion, municipalities are still free to look for economies of scale and cooperation in such a way that they are cheaper off. It's possible. As far as I am concerned, it is therefore the challenge for municipalities to find where they can achieve economies of scale and where they can work together and, if possible, combine, as happy municipalities in this country still do.
ParlaMint-NL_2015-11-17-tweedekamer-23.u21	Finally, Mr Van Raak.
ParlaMint-NL_2015-11-17-tweedekamer-23.u22	Those municipalities are all jammed up. They are caught between the policy of the cabinet, which throws all kinds of expensive tasks over the fence without the right investment. If they then get into financial difficulties, the Minister says they should scale up. The VVD says they should do scaling. Everyone knows, however, that reclassification and scaling up do not produce money, but costs money, at least for the first ten years. [[Sentence could not be parsed: Ik kan niet anders dan zeggen dat dit eigenlijk onbehoorlijk beleid is en in elk geval onbehoorlijk omgaan met onze medeoverheden, de gemeenten.]] So I can't find any support for the VVD. I hope the Minister can reassure us and that that weird discount, that cut, will go off. Otherwise, I will make a proposal tomorrow.
ParlaMint-NL_2015-11-17-tweedekamer-23.u23	I don't hear a question, Mr. Chairman.
ParlaMint-NL_2015-11-17-tweedekamer-23.u24	No, me neither.
ParlaMint-NL_2015-11-17-tweedekamer-23.u25	I will leave the qualifications on Mr Van Raak's behalf. I'm very curious to know where he'll be getting cover in his motion tomorrow.
ParlaMint-NL_2015-11-17-tweedekamer-23.u26	Mr Veldman says that municipalities should look at opportunities to scale up anyway, opportunities to achieve economies of scale. However, this discount is divided among all the municipalities. How should municipalities that already have 100,000+ inhabitants now seek even more economies of scale?
ParlaMint-NL_2015-11-17-tweedekamer-23.u27	Also 100,000+ municipalities can look for cooperation in many areas and can look even further at where they can get their benefits together with others. You can work together in many areas, with which it is cheaper. There are a lot of municipalities that have decided, often initiated from large municipalities, to work together, for example in the field of ICT, to take steps together, to buy things and to develop things instead of everyone doing it for themselves. Large municipalities can also take further steps with their surrounding municipalities in ensuring scaling up and doing it cheaper with each other.
ParlaMint-NL_2015-11-17-tweedekamer-23.u28	Does Mr Veldman think that municipalities do not already do that? A city like Utrecht, for example, already works together with some fifteen or twenty municipalities that are around the city in a variety of fields. Where does Mr Veldman base on the fact that municipalities can cooperate even more than they already do and that this will result in a reduction of a total of 1 billion? What's he basing that on, on what facts?
ParlaMint-NL_2015-11-17-tweedekamer-23.u29	I note that we still have 393 municipalities in this country. You might wonder if you can't take that down a notch. The VVD believes that this can be reduced, that there are still opportunities for municipalities to go together and work together, so that economies of scale occur and they are cheaper out. I have also just honestly said that this scaling-up obligation is over, that it is no longer mandatory to go to 100,000+. If you want to see it that way, then it has become just a cut. That's annoying, but she's just in the books. In recent years, I believe the cabinet has bent over 52 billion. This is part of that and falls back on municipalities. That's true.
ParlaMint-NL_2015-11-17-tweedekamer-23.u30	It's either scaling up and cutting down or not. You can't leave one and do the other. My question is very simple: how reliable does my VVD colleague find this policy of government?
ParlaMint-NL_2015-11-17-tweedekamer-23.u31	I'd almost like to ask another question. Can I now deduce from this interruption by Mrs Koser Kaya that D66 thinks we should scale up mandatory? I also did not see D66 repairing the cut that was made. So does D66 want to scale up mandatory?
ParlaMint-NL_2015-11-17-tweedekamer-23.u32	It's about consistency. I don't hear anything about consistency in my colleague's story.
ParlaMint-NL_2015-11-17-tweedekamer-23.u33	Mr Veldman is right to say that the coalition agreement has been undermined on this point. The mandatory scale-up for 100,000+ municipalities is no longer available. There is still a rudiment of that intention in the form of that scaling-up discount. Mr Veldman says that the discount is actually something strange, but that it is financially necessary. If we can find cover for that discount now, is Mr Veldman prepared to accept that deletion?
ParlaMint-NL_2015-11-17-tweedekamer-23.u34	If people want to make proposals to get this scaling-up discount off the table, it will have to start by calling it a cover. I haven't heard anyone mention it. Then we are going to talk about the weighting of that coverage. For what if Mr Klein says: you know what, we're taking the money away from the security services, so at the point where I started. If Mr Klein suggests that, he will hear from the VVD: no, that does not seem to me to be a good cover.
ParlaMint-NL_2015-11-17-tweedekamer-23.u35	I would suggest that Mr Veldman take a look at the motion I tabled this afternoon in the debate on the Tax Plan. It proposes to remove this scaling-up reduction and then to properly cover it out of the 5 billion left because we are not getting out of the Tax Plan proposals together. In this way, we have properly covered the removal of that discount and nobody is missing anything. Will Mr Veldman consider that motion, in order to remove that ridicule scaling-up discount?
ParlaMint-NL_2015-11-17-tweedekamer-23.u36	I think we'll just work it out with the Tax Plan. We've been asking a lot of people in recent years. The taxes have gone up. That is why I think it would be good if we were to lower taxes again. That's what the VVD stands for, so as far as I'm concerned, we're just gonna do that. So what Mr Klein is proposing does not seem to me to be a valid cover. I come to the point of the fluctuations in the Municipal Fund. They've always been there. Also pluses and minuses per year for specific benefits are not new. But with the aldermen, I also note that the fluctuations have been greater lately than before. I get the aldermen's signal. These fluctuations are difficult for them if they want to draw up their budget. Despite the fact that some movement in budgets is part of going up the stairs together and down the stairs, I ask the Minister to study the current fluctuations carefully, and to see if this can be made more manageable. After a few rounds of major maintenance of the Municipal Fund, I think we should conclude that the current foundations of the Financial Ratio Act have had their longest time. The rack's kind of out, you might say. I also see this in the Council's opinions on financial relations and the UNG. I would therefore like to call on the Minister to launch a review of the foundations aimed at simplifying the system and also at facilitating existing growth disparities. Because disparities in growth between regions are inevitable, as the Minister recently pointed out. We have concluded together that these inevitable growth differences can also make a difference in facilitating. Most growth is currently taking place in urban regions. I am talking not only about the urban regions in the Randstad, but also about the urban region of Zwolle, for example. The proper shaping of this growth requires something from urban regions themselves. We must abandon competition within the region. We need to work more and better together, and scale up where necessary. A revision of the Financial Relationship Act, also aimed at facilitating better than today regions that are responsible for cooperation within their own region, can help in this. I say this, bearing in mind the assignment of the Public Administration Study Group. This study group has a strong focus on economic development, with the key question: how can public administration facilitate economic growth? I would therefore like to ask the Minister whether he would like to start with such a review of the foundations of the Municipal Fund and the Province Fund.
ParlaMint-NL_2015-11-17-tweedekamer-23.u37	Mr Veldman makes an interesting speech with a very interesting perspective.
ParlaMint-NL_2015-11-17-tweedekamer-23.u38	Thank you.
ParlaMint-NL_2015-11-17-tweedekamer-23.u39	Does he also wish to involve in the reflection of the foundations of financial relations a shift of taxes levied by the Empire, towards taxes levied by local authorities?
ParlaMint-NL_2015-11-17-tweedekamer-23.u40	Mr Bishop also knows that this was the third part of the overall tax package that was previously discussed between different parties. That didn't get any further than the first one. At the second and third parties, several parties dropped out and then it becomes difficult to give each other concrete details. With the fact that it has been discussed, I am not saying that we will never talk about it again, but there are no stories on the table and I do not see any majorities in the Chamber, with which we can come to a clear story.
ParlaMint-NL_2015-11-17-tweedekamer-23.u41	Finally, Mr Bishop.
ParlaMint-NL_2015-11-17-tweedekamer-23.u42	But does Mr Veldman not agree with me that, if we look at the revision of the foundations and the financial relations between the various governments, it is precisely to keep this under review?
ParlaMint-NL_2015-11-17-tweedekamer-23.u43	Mr Veldman, a brief comment please.
ParlaMint-NL_2015-11-17-tweedekamer-23.u44	I imagine we're looking at that more broadly, but I'm gonna fly it past the system we have right now. I note that the current system has 90 foundations with all kinds of complex constructions, that the great maintenance has given us something, but according to every expert the rack is actually out and we have to start again. That is my question to the Minister. Let him work on a review of the current system of the Financial Relationship Act.
ParlaMint-NL_2015-11-17-tweedekamer-23.u45	I can well follow Mr Veldman's argument, as well as the argument to the Municipal Fund and its calibration, but the same argument applies to the Province Fund. I can hear Mr Veldman say a few words about this at the end, but can he tell us a little bit more about that? Doesn't he think that we should be able to get to that re-examination with about the same argument?
ParlaMint-NL_2015-11-17-tweedekamer-23.u46	Yes, that's why I closed my block with a revision of both the Municipal and Provincial Funds, i.e. the total of the Financial Relationship Act. There are also a number of challenges in the Province Fund. In my view, these are less large and less complex than with the Community Fund, but this must be done in full width.
ParlaMint-NL_2015-11-17-tweedekamer-23.u47	I'm glad to hear that. This will only improve the balance.
ParlaMint-NL_2015-11-17-tweedekamer-23.u48	Then I suggest that Mr Veldman move on.
ParlaMint-NL_2015-11-17-tweedekamer-23.u49	One of the points in the coalition agreement was the merging of the provinces of Noord-Holland, Utrecht and Flevoland. However, there is no mention of this in the 2016 budget. During last year's budget debate, the failure to continue the merger has already been discussed in detail. My colleague, Mr Van Oosten, then suggested that the initiative to redesign the central administration in the provinces themselves should be introduced, precisely because new lectures have taken place this year. The Minister then indicated that he would take this suggestion into account in his next administrative consultation. What has come out of these consultations? Are there any follow-up steps? What about the study group on public administration I have just mentioned? Can we expect the results of this study group before the summer of 2016? I come to the issue of the large influx of migrants, asylum seekers and refugees. It's been discussed many times and in many places. That's what I'm supposed to do. Here too, when discussing the internal affairs budget, I would like to address, on behalf of the VVD, the reality that we are in and ask a number of questions to the Minister. Given the huge number of asylum seekers arriving here, significant challenges arise for society in full breadth and for municipalities in particular. This applies both to the reception of asylum seekers now and to the inclusion of status holders now and in the future. What about the call for health and welfare services, education, poverty policies and so on? This will require a strong commitment from municipalities. The question we need to ask is whether municipalities and, in particular, the communities can deal with it. Both organizational and financial it takes a lot of time for an average residential area to enter our country every week. I ask the Minister how he looks at the shelter that is needed for anyone who is here now. What is the Minister doing after his letter to the provinces with a request for large-scale reception, now that he has not had a positive response? To what extent does the Minister have an idea of what side effects will occur and, if so, can he share them with the Chamber? What does this require of society? Are municipalities prepared for this? Can municipalities handle this? Or does this call for further steps in the removal of provisions that status holders can use? What does the Minister hear about the sounds of directors and how does he feel about this?
ParlaMint-NL_2015-11-17-tweedekamer-23.u50	Mr Veldman's question is answered by many VVD mayor, for example by Mr Van Aartsen, VVD mayor of The Hague. He says, "I'm fine and everything's gonna be fine. Go to sleep quietly, because this is a fantastic contribution for the city. Yeah, the Transvaal neighborhood looks like Ankara, but I just love that." So those VVD mayors are cheering at the influx.
ParlaMint-NL_2015-11-17-tweedekamer-23.u51	And the question is?
ParlaMint-NL_2015-11-17-tweedekamer-23.u52	What does Mr Veldman think of those VVD mayors and directors who are so happy and who have an answer to the question he is asking?
ParlaMint-NL_2015-11-17-tweedekamer-23.u53	Mr Bosma gives a very free translation of what he apparently hears in the country. I see a lot of VVD directors taking responsibility, and that's the way it should be. Now when people come into the country, come in here and apply for asylum, and therefore there is also a need for emergency care, crisis care and structured care, VVD administrators are simply standing by. Then they're gonna do the same, because that's how we agreed to do it and you're supposed to do it properly. That is precisely why I ask the Minister: what does this mean for municipalities now and in the future?
ParlaMint-NL_2015-11-17-tweedekamer-23.u54	Finally, Mr Bosma.
ParlaMint-NL_2015-11-17-tweedekamer-23.u55	It is nice that Mr Veldman is asking questions, but hopefully he also has an opinion. I note that the VVD does not "take responsibility" at all, which sounds very tough in driver's language. I note that all these VVD mayors simply bow down to the COA, carry out what the COA demands, go along throughout the asylum tsunami and choose not for the citizens but for the politically correct Netherlands. They're just bending along. Why doesn't Mr. Veldman just admit it?
ParlaMint-NL_2015-11-17-tweedekamer-23.u56	Unlike the PVV, the VVD makes a distinction. There's what she wants to realize to make sure people don't come here anymore. In March, we launched the proposal on reception in the region itself and the asylum procedure there. In October, we presented the story about the austerity of reception and shortening the status period. These are concrete ideas that are being worked on. However, this is without prejudice to the fact that people are now entering the country and that you will have to realize care for them. That is also what the VVD leaders in the country are for. If those questions are there, if those people are there, we're just gonna take care of it. That's a matter of decency.
ParlaMint-NL_2015-11-17-tweedekamer-23.u57	Please continue.
ParlaMint-NL_2015-11-17-tweedekamer-23.u58	I come to the decentralisations: a large transfer of responsibilities to municipalities and a challenging job. In many places things are going well and sometimes things are going a little less well. That is annoying and we must continue to work on it. We need to ask questions and express concerns. For example, I would like to ask the Minister here and now about the way in which municipalities deal with privacy. I see examples coming along that I'm not gonna be happy about. This is something that has been explicitly called for. I can't wait to see what's going on. Have the various guarantees requested been implemented by the municipalities? And are there any bottlenecks present or to be expected? What actions have been taken, from privacy impact assessments to strengthening the position of the care user himself? In short, according to the Minister, is he doing well or is he taking additional action? One issue that we certainly need to be concerned about is the progress of the Digital Agenda 2017 and the progress in open data. We have agreed that by 2017 companies and residents can do digital business with the government. Looking at the progress of various projects, from the Basic Registration Persons to the eID to the generic digital information structure, I am deeply concerned. The Minister doesn't make enough meters on these files. Should all municipalities first be connected to the Basic Registration Persons in 2016, now municipalities can only be connected gradually from 2017. For the eID programme, the pilot phase has yet to begin, while implementation has to be completed in 2017. Moreover, the implementation of eID does not include a post in the budget, while it should be implemented from the second half of 2016. The budget lacks information on the coherence between the different pathways, the concrete objectives to be achieved and the timetable. I'm very dissatisfied with that. I want the Minister to make concrete improvements and get things right. What are the aggregated targets for the digital government? How and where has the monitoring of the coherence of all these projects been organised within the Ministry? I want the Minister to carry out a policy review on the broad lines of the Digital Agenda as a whole.
ParlaMint-NL_2015-11-17-tweedekamer-23.u59	The fact that a number of projects are moving less quickly is a question that has come from the Chamber. I understand that we want to make progress on the Digital Agenda 2017, but I also attach great importance to a good way of dealing with eID and BRP. How does the VVD feel about that? Do we really need to talk about speed or are we going to make sure that we deliver a good product later?
ParlaMint-NL_2015-11-17-tweedekamer-23.u60	Of course, it starts with delivering a good product. Care is paramount, especially when it comes to our digital security. Several questions have been asked earlier in the Chamber, criteria have been established and discussions have been held with this Minister on the progress and quality of the products being worked on. This is without prejudice to the fact that progress is insufficient. This is without prejudice to the fact that in the budget I see too little of the coherence between the various projects. I also see too little of it when it is delivered and with what result. I see delays in particular, and I am not satisfied with them.
ParlaMint-NL_2015-11-17-tweedekamer-23.u61	Mrs. Oosenbrug. The answers must also be brief, Mr Veldman.
ParlaMint-NL_2015-11-17-tweedekamer-23.u62	The delay is precisely what we have asked for from this Chamber. I'm trying to clear that up with the VVD. Mr Veldman can appeal to the Minister, but it is also something for which we should actually put our hands into our own hands. Does the VVD agree with me?
ParlaMint-NL_2015-11-17-tweedekamer-23.u63	We have asked not so much for delays, but in recent debates we have asked whether it is qualitatively in order, whether it is good, whether the objectives are good, whether it is financially sound and whether all the criteria are correctly formulated. These are all worrying questions that have been asked, precisely because we do not have the overview, do not see the progress and do not see that this minister is making meters. However, he should do so on this dossier, if only because we have made agreements with each other that in 2017 we want residents and companies to be able to communicate digitally with the government. If only because we want what we have digitally arranged to be safe. This minister has a responsibility, and he will have to live up to it.
ParlaMint-NL_2015-11-17-tweedekamer-23.u64	Those are big words. What does Mr Veldman attach here?
ParlaMint-NL_2015-11-17-tweedekamer-23.u65	I learned from my parents that if you ask a question, you wait for the answer first. I ask a number of questions, firm questions, because I want this minister to make meters. I'm waiting for the answers the Minister's gonna give tomorrow. I hope that the Minister will give me good answers tomorrow, really get on his feet and make meters.
ParlaMint-NL_2015-11-17-tweedekamer-23.u66	And is there anything else in Mr. Veldman's pockets that's gonna come out? What is Mr Veldman going to pay Minister Plasterk for?
ParlaMint-NL_2015-11-17-tweedekamer-23.u67	It's always such a shame that D66 will be talking about the checkout right away. D66 does this a lot. I am here on behalf of the VVD Group to assess this Minister and this budget. I ask questions because I do not see things in the budget and because I do not see things happening in practice. It starts with questions and answers and then we judge with each other how things are going. If D66 wants to deal with it, Mrs. Koser Kaya has to go to the supermarket in front of the cash register, because that's where you pay.
ParlaMint-NL_2015-11-17-tweedekamer-23.u68	Please continue. No, no, Mrs. Koser Kaya, no.
ParlaMint-NL_2015-11-17-tweedekamer-23.u69	Mr President, I find this faint. I really have to respond to this.
ParlaMint-NL_2015-11-17-tweedekamer-23.u70	No, no. You can't ask any further questions.
ParlaMint-NL_2015-11-17-tweedekamer-23.u71	I think Mr Veldman has asked extremely critical questions. I would then ask him whether there are any consequences. For example, what time does he want his questions to be worked out, because only answers won't get you there? He's just supposed to answer that.
ParlaMint-NL_2015-11-17-tweedekamer-23.u72	I'm used to asking questions first and then getting answers. After that, I'll be able to pass judgment. I assume that the Minister will give a proper answer in the first term. If he doesn't, I'll force him to move in a certain period of time. We must continue to send each other on content, instead of walking around with a full back pocket of empty notes and papers.
ParlaMint-NL_2015-11-17-tweedekamer-23.u73	Please continue.
ParlaMint-NL_2015-11-17-tweedekamer-23.u74	That's not my style of politics.
ParlaMint-NL_2015-11-17-tweedekamer-23.u75	Continue
