Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MartinBosma	Bosma, Martin	M	1964	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u17	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u18	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u19	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u20	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-06-23-tweedekamer-2	ParlaMint-NL_2015-06-23-tweedekamer-2.u21	Report of the meeting of the Dutch Lower House, Meeting 99, Session 2 (2015-06-23)	2015-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 99	Sitting 2015-06-23	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
