ParlaMint-NL_2015-09-09-tweedekamer-7.u1	I would like to welcome the Minister for Education, Culture and Science.
ParlaMint-NL_2015-09-09-tweedekamer-7.u12	I can hardly imagine that the Minister will not be persuaded by the arguments that I am going to put forward to get her to abandon the tendering process, not even in view of the debate we are about to have. We shall try to achieve this by means of a motion.
ParlaMint-NL_2015-09-09-tweedekamer-7.u13	That motion's already there. That motion has been adopted and it is substantive in nature. D66 also supported her. What would then be the text of Mr Ziengs' second motion?
ParlaMint-NL_2015-09-09-tweedekamer-7.u14	We generally put texts on the table in the second term. I will do the same, depending on the Minister's response. To anticipate that now seems a bit premature to me.
ParlaMint-NL_2015-09-09-tweedekamer-7.u15	Okay, then we'll wait and see. I think it is important to hear the following from Mr Ziengs. We can now talk about this situation for a very long time, in which I fully support Mr Zieng's content. If the Minister later says that it costs a lot of money, will Mr Ziengs go on with this matter and correcting it, or does Mr Ziengs also think it is important to take better care of it in the future? There is, of course, a much greater task. It should not be the case that all kinds of ministries continue to do it wrong, as has now been done by the Ministry of Education and Science.
ParlaMint-NL_2015-09-09-tweedekamer-7.u16	It seems clear to me that, with this debate, we want to set the tone for future calls for tender, particularly with regard to the digitization of the National Archives. We expect that, after this debate, we will simply be able to put back the further tranches of the digitization of the National Archives that are still on the way into a tender, at least that would be the aim.
ParlaMint-NL_2015-09-09-tweedekamer-7.u17	Please continue.
ParlaMint-NL_2015-09-09-tweedekamer-7.u18	The Commission of Procurement Experts has examined the scan case and considered that there is an obligation to tender for the scanning tasks and that there can be no tendering at all. How can the Minister of Education reject such an opinion? A recent study by Utrecht University supports the statement that there is a tendering obligation for this work. How does the Minister view the findings of Utrecht University? Does the Minister intend to make this part of her future policy? Through this process, confidence in the policies of the affected entrepreneurs has fallen sharply and wrongly. Nothing is being done about the wishes of a majority in the Chamber and the opinion of the Commission of Procurement Experts. From this point on, I would like to stress once again that it was also the entrepreneurs who helped the Netherlands through this crisis. What can the Minister do to restore the confidence of these entrepreneurs in the government?
ParlaMint-NL_2015-09-09-tweedekamer-7.u19	Mr. Chairman.
ParlaMint-NL_2015-09-09-tweedekamer-7.u20	I would prefer Mr Ziegs to finish his speech first. Then you may ask a question, Mr Vos. Please continue, Mr Ziengs.
ParlaMint-NL_2015-09-09-tweedekamer-7.u21	Entrepreneurs always look for solutions. That's how it's gonna be now. The economic operators concerned have indicated that they are prepared to take over the purchased scanning equipment in an invitation to tender where there is certainty of obtaining digitalisation contracts. Is this an offer by which the Minister is prepared to reverse the invitation to tender immediately and to issue a tender as soon as possible?
ParlaMint-NL_2015-09-09-tweedekamer-7.u22	Does Mr Ziegs agree with me that he is making a caricature of the concept of entrepreneur? Entrepreneurs, Mr Ziegs, are not always looking for solutions. Entrepreneurs are mostly looking for money. There is nothing wrong with that, but if we, as a Chamber for the cart of a specific group of entrepreneurs who benefit from a specific tender, I wonder if we are on the right track. What do you think of that, Mr Ziengs?
ParlaMint-NL_2015-09-09-tweedekamer-7.u23	I think that is a very curious reasoning. I often hear that on the left too there is talk in the Chamber about the role of SMEs, about the role of the entrepreneur, the entrepreneur who creates jobs, the entrepreneur who takes risks. And then Mr Vos says that an entrepreneur is only looking for money! That's a lot wider. I find it too ludicrous to go into the substance of the matter. It is clear: entrepreneurs take their responsibilities.
ParlaMint-NL_2015-09-09-tweedekamer-7.u24	Your last interruption, Mr. Vos.
ParlaMint-NL_2015-09-09-tweedekamer-7.u25	I note that Mr Ziengs does not wish to comment on the substance of the question. I repeat my question: are it not just entrepreneurs who want to eat from the state grape? And shouldn't we be dealing with it in a different way?
ParlaMint-NL_2015-09-09-tweedekamer-7.u26	I find it scandalous what is being said here. "Entrepreneurs who want to eat from the state grape." These are entrepreneurs who simply want to participate in a tender, a contract put on the market by the government and on which the entrepreneur has to make an offer. Such an offer is often much cheaper than the government itself does. Then I think that entrepreneurs are being thrown away in a way that doesn't fit. I think that is scandalous and I do not want to talk about it anymore.
ParlaMint-NL_2015-09-09-tweedekamer-7.u27	Mr. Chairman. The CDA wonders why the cabinet is such a supporter of contracting. The proposal of the Minister for Housing and National Service in 2013 to use postal and courier services, cleaning and security and to appoint 5,000 additional officials for that purpose was not only a bread robbery for private parties, but is also more expensive and sends the wrong signal as far as the CDA is concerned. Once again, the market indicates that costs are 25% higher as a result of this procurement. We should strive together for the best price if we pay these services with taxpayers' money. Our citizens can expect the government to be economical and to handle the money they bring together. For example, cleaning companies are currently challenging plans to employ a large group of cleaners as civil servants as of next year. If that decision is to be reversed, we have now thrown away a lot of community money. This brings us to the question of when the cabinet will realize that one of the biggest problems of the Dutch economy is that we have too large a government. Today, we would like to hear from the Minister of OCW what her serious arguments are for not carrying out a widely adopted motion and disregarding the opinion of the Commission of Procurement Experts. In doing so, we ask the Minister how it is now possible for the Commission of Procurement Experts to state that the complaint of a market party is well founded and that the Minister of OCW then states in her letter that the implementation of the original plans is entirely justified. How can it be that the Minister of OCW states in her letter that no jobs will be lost in SMEs as a result of contracting, whereas the Commission of Procurement Experts does indicate this in its opinion? We would very much like to receive a support from this Minister on this point. Does it really insist, even today, that the current state of affairs is not detrimental to SMEs? The Minister of OCW states in her letter that the cost of a scan at the Tax Administration is comparable to the cost of a scan on the market. What figures did it base this on? Has the Minister asked market players what their prices are? We would also like to receive from the Minister a detailed written justification of the costs of the tender, which, according to the letter, amount to €750,000. That seems to the CDA Group to be a very high amount of money, so we would like to be supported in this respect.
ParlaMint-NL_2015-09-09-tweedekamer-7.u28	Mr Bosman is on my list of speakers on behalf of the PVV, but I do not see him in the Chamber. I give the floor to Mr Jan Vos on behalf of the PvdA Group.
ParlaMint-NL_2015-09-09-tweedekamer-7.u29	Mr. Chairman. Today we are debating an ideological issue that has been of great importance to political parties for decades: what exactly is the role of the government and what is the role of the market? In the sixties, seventies, the Dutch State was built and a lot of good work was done. In the 1980s and 1990s there was a great deal of criticism and a wave of liberalisation was launched. The image that my CDA colleague just outlined of too large a government is still very dominant in the Dutch debate. That debate has come out of Anglo-Saxon political culture in the days of Reagan and Thatcher. Most people won't remember it, but from that time on it comes the idea of an over-sized, hungry government that has been outlined by a number of spokesmen again today.
ParlaMint-NL_2015-09-09-tweedekamer-7.u30	Despite the enthusiasm of Mr Vos to speak ideological lyrics, I would like to interrupt him. In my view, this is a very simple, basic issue, namely the filing and carrying out of chamber motions. That doesn't have much to do with ideological issues. A Parliamentary motion has not been carried out and the Minister says he has good reasons for doing so. That's what we're talking about today. I have seen that the VVD and the PvdA do not agree on this, but isn't it just very important for a Dutch MP that Tweede Kamermoeten is performed?
ParlaMint-NL_2015-09-09-tweedekamer-7.u31	I have just had an exchange of views with Mr Ziengs on this. As a rule, a chamber motion must be performed. It is, of course, the case that the cabinet has its own responsibility. If, within the policy frameworks and within the law, the cabinet considers that a chamber motion does not support and supports those policy frameworks, then the cabinet can dismiss such a motion. I would add that Mr Verhoeven's group interprets the motion differently from Mr Ziengs's group. In any case, a cabinet may reject motions, but in particular it may reject motions which are not enforceable. In fact, this motion does not fit within the Dutch law. That is the essence of my speech and I really wanted to say that at the end of my speech, but I will tell Mr Verhoeven now. The Minister writes that the State can simply tender this and that this is the role of the State. The Minister says that what the Chamber wants is not necessary at all. We disagree on this, but the cabinet feels that is the case. Fortunately, such a thing is not usual, but it has happened more often in the past. So it's possible. It also depends on the quality of the motion that has been tabled and on the arguments of the parliamentary groups that have tabled and supported that motion.
ParlaMint-NL_2015-09-09-tweedekamer-7.u32	Mr Vos, interruptions must be short, but the answers must also be short.
ParlaMint-NL_2015-09-09-tweedekamer-7.u33	Sorry, I'm a politician, chairman. You're getting bigger and bigger around here. It's gonna be okay.
ParlaMint-NL_2015-09-09-tweedekamer-7.u34	Finally, Mr Verhoeven may respond again.
ParlaMint-NL_2015-09-09-tweedekamer-7.u35	I would also like to return to the point made by Mr Vos, with which Mr Ziengs was unhappy, and in fact I was unhappy. Mr Vos spoke about entrepreneurs who want to eat from the state grape. Is that Mr Vos's view of the 60 billion that the government puts on the market every year through tendering?
ParlaMint-NL_2015-09-09-tweedekamer-7.u36	If it can, is appropriate and is the best solution, I think it is in principle very good if we are to contract matters in the market. Of course, the Labour Party also supports entrepreneurs. It mainly supports small businesses. However, I have often experienced in my career here that a certain group of entrepreneurs are knocking on the door very hard and that they therefore benefit from the specific process that is taking place at that time. This has nothing to do with the general interest that we serve here, but it has to do with the financial interest that these entrepreneurs have in such a process. I believe that is also the case here.
ParlaMint-NL_2015-09-09-tweedekamer-7.u37	It is quite clear to me that the PvdA does not care that this motion has been put aside by the Minister. However, this motion, which we have produced together, has not just come about. First, a Commission of Procurement Experts declared a complaint well founded. Now it's in our Procurement Act, too. Does Mr Vos of the PvdA Group think that the Commission of Procurement Experts should be pushed aside? I understand that from what he said today.
ParlaMint-NL_2015-09-09-tweedekamer-7.u38	Mr Vos responds briefly to this.
ParlaMint-NL_2015-09-09-tweedekamer-7.u39	In short, I can say, no, I don't think so. However, I believe that the Minister's argument is valid, namely that the State can be seen as a single legal entity. This was recently highlighted in the case of climate change. In it, the State is charged as an entity. So I think it is quite possible that that State will decide to spend something because it can be more efficient. I'd like to leave that to the Cabinet. Now that Mrs Mulder looks so beautiful on the interrupting microphone, I would remind her that it was she who said: the government is so big. That's the image that's being summoned. Let me tell her that the number of officials per capita in the Netherlands is half lower than in the United Kingdom. There is 10% of the population civil servant, in the Netherlands it is 5%. The percentage in the Netherlands is also lower than in France, and even lower than in the United States. I say that to those who take an example to that country in the liberal sense. The percentage is also lower in the Netherlands than in Germany. The Netherlands therefore has a very efficient government. Well, that's a good thing to say.
ParlaMint-NL_2015-09-09-tweedekamer-7.u40	It is quite clear that the PvdA is here today arguing for even higher public expenditure and for rising deficits. That's fine and that's the PvdA's own, let's just say. But how does the PvdA view the role of the Commission of Procurement Experts? Because the moment you set up that committee to ask for advice, after which you take that advice next to you, you may wonder why you set up such a committee. I'd like a clear and brief answer.
ParlaMint-NL_2015-09-09-tweedekamer-7.u41	I think this is a little too easy. You are drawing the picture of a huge government that does everything, not looking at the market properly. I will then give you figures, showing that we are twice as efficient as Britain, to give you an example. You're not going to go into that at all. I'm sorry to hear that. As far as the committee is concerned, I have already said that I consider the arguments put forward by the Minister to be more important than those put forward by the committee. I have certainly taken those arguments into account, but I prefer our own cabinet to the procurement committee when it comes to the final assessment.
ParlaMint-NL_2015-09-09-tweedekamer-7.u42	Just to explain something, Mrs. Mulder.
ParlaMint-NL_2015-09-09-tweedekamer-7.u43	I'd love to. I ask a question that has not been answered twice, and then I am accused of not answering a question. It shouldn't get weirder in here!
ParlaMint-NL_2015-09-09-tweedekamer-7.u44	The Commission of Procurement Experts has looked at the rules that apply once the government decides to buy out of the door. But that is exactly what the cabinet has not done here. That is why this committee is not about this. You can bring her in, but she's irrelevant in that sense.
ParlaMint-NL_2015-09-09-tweedekamer-7.u45	Please continue.
ParlaMint-NL_2015-09-09-tweedekamer-7.u46	That is what I am saying to Mr Ziengs and others who believe that this has not gone well. They need to study what happened there again.
ParlaMint-NL_2015-09-09-tweedekamer-7.u47	Don't provoke me, Mr. Fox. Please continue.
ParlaMint-NL_2015-09-09-tweedekamer-7.u48	I was dealing with the big government and the way in which we, including the Labour Party, had us sewn into the suit by those who spread the idea that the market could always do better. We have privatized everything and everything, which is why we don't get any more mail on Monday. That is perhaps the reason why the banks have gone bankrupt that we have had to save with taxpayers' money. It's a laugh, but it was 17 billion for one bank. We still haven't sold that bank and we still don't have that money back. The fact that that market is always doing its job so well and that you have to be there is just not true. It is time that we, as politicians, took our responsibilities and looked at what the government can do and what the market should do. If the cabinet says that contracting is more efficient, since we will then put a whole paper mill next to us and that we may be able to do it even cheaper, I recommend that you do so if it fits within the agreed policy frameworks.
ParlaMint-NL_2015-09-09-tweedekamer-7.u49	Have you finished your speech?
ParlaMint-NL_2015-09-09-tweedekamer-7.u50	I'll wait for the interruptions.
ParlaMint-NL_2015-09-09-tweedekamer-7.u51	I have just asked in my first term whether it is true that the market players could do the scanning work 25% cheaper. What if the Minister is going to say, on the basis of figures, that this is indeed the case and that she has made a different assessment, did the Minister make a proper assessment? Or perhaps you say: 25% cheaper means lower taxes, against the same work?
ParlaMint-NL_2015-09-09-tweedekamer-7.u52	I have just said that, if the cabinet decides to tender, I am not at all opposed to that. But I do think you should make up for that trade-off every time. If the cabinet has made a different assessment, good arguments are given in the letter we received. If the cabinet is so impressed by your arguments and by the political pressure that is being exerted, after which it comes to a review, then I will not stand in the way of that either. We are having a curious debate, because in this case, the Chamber is the one who is making a huge stumpy about a relatively simple business process of the government. In doing so, the cabinet chooses the best way to do it, while the Chamber knows better and submits a motion on it. Is that necessary?
ParlaMint-NL_2015-09-09-tweedekamer-7.u53	Finally.
ParlaMint-NL_2015-09-09-tweedekamer-7.u54	I want to correct that image. We have already tabled a motion on this subject, which has been adopted and which has been rejected by this Minister. I understand the position of the PvdA spokesperson on this point: he wants to protect his own minister, and that is quite understandable. But if there were lower costs by spending it, the same PvdA group here says: when I hear that from our minister later, that is still reason for us to proceed with outsourcing.
ParlaMint-NL_2015-09-09-tweedekamer-7.u55	I just said something else. I'm being paraphrased wrong right now. I am not going to repeat it, because I can see from the look of Mrs Mulder that she knows very well what I have said.
ParlaMint-NL_2015-09-09-tweedekamer-7.u56	Please continue. Or were you ready?
ParlaMint-NL_2015-09-09-tweedekamer-7.u57	I thought it was a wonderful input so far; I was very satisfied with it myself. I have seen that some spokesmen feel very differently about this, but I appreciate that. That's the best political tradition we have.
ParlaMint-NL_2015-09-09-tweedekamer-7.u58	Thank you very much, Mr Vos. You've been able to say a lot through interruptions. Mr Ziengs has another question.
ParlaMint-NL_2015-09-09-tweedekamer-7.u59	In Mr Vos's speech, he made it clear that he would at least talk about the legality of the chosen construction, either in terms of tendering or in terms of tendering. He already provoked me to interrupt back then. I didn't use that. First of all, I wanted to wait for his speech, because he might come up with substantive issues which could lead me to a different conviction. Our group has also carried out research into the way in which a choice of spending has been made. Next, the club of tender experts said that this was completely incorrect. Mr Vos says that we can put that beside us. However, even after that time research has been done and the results were announced last Monday by the University of Utrecht. The lawyers there also found that there should have been a call for tenders. All kinds of lawyers, professors and experts tell us we're on the wrong track. Is Mr Vos aware of the content of these investigations, rather than accusing us of not having done enough research?
ParlaMint-NL_2015-09-09-tweedekamer-7.u60	The Market and Government Act allows governments to decide for themselves whether activities for the benefit of their own government organisation are outsourced to third parties or carried out under their own management.
ParlaMint-NL_2015-09-09-tweedekamer-7.u61	This is very strange. I can recall that the Minister's reply, as well as the explanations I received in the interim, stated on several occasions that there was no direct link to the Market and Government Act, and not even to the Procurement Act which we are now calling for. Mr Vos now suddenly claims that the Market and Government Act applies here. That's most peculiar. How does Mr Vos view this?
ParlaMint-NL_2015-09-09-tweedekamer-7.u62	I remain in the position that I have expressed here as spokesman for the Labour Party. I believe that this is the case of the State as an entity, as it also acts in court cases. I believe that there is no reason to assume that the cabinet has acted outside the framework of the law. The decision taken by the cabinet is justifiable. I understand that Mr Ziengs does not agree, but it is not primarily the Chamber's competence to hold the cabinet accountable in this way. The motion tabled by our Chamber has been put down by the cabinet several times in the past, because the cabinet believes that it does not fit in with the rules. It seems clear to me that Mr Ziengs disagrees with me on these rules.
ParlaMint-NL_2015-09-09-tweedekamer-7.u63	Mr. Chairman. It is a curious debate. The Labour Party has just also driven away the very last entrepreneurs. Mr Vos is very proud of his input. As far as I am concerned, the VVD Group, in its turn, is extremely fundamental, and rightly so, on one point, but against a PvdA Minister for Education, Culture and Science, where it could be a little more often against its Minister for Economic Affairs, who has also failed in this area when it comes to the position of entrepreneurs. I would therefore prefer to look beyond the political games between the PvdA and the VVD. I think it is much more important to address the fact that we are talking here about EUR 60 billion per year. This is what the government and public organisations spend on buying products and services every year. That's a huge amount of money. This indicates that it is so important that there are clear procurement rules and laws. The same applies to the decision whether or not to spend in or out. Those rules are there to ensure that the government does things that fit its tasks and that it does not do things that can also be done by the market. Indeed, there is a tendency for government to continue to grow. In this case, it has clearly gone wrong. A Commission of Procurement Experts has made a sharp assessment that has simply been ignored. The fact that the motion of the Chamber is simply not being carried out is, of course, not good for confidence in the government either. It would therefore be a good thing for the Minister to say today, whatever the outcome of this debate, that we made a mistake, that it did not go well, that it should not have been and that it should not have been, and that we will ensure an appropriate solution. As far as I am concerned, this solution should focus on the future, because the Minister says that there is a great deal of damage involved in reversing the decision. The question is whether this is desirable. I leave that to Mr Ziegs, the initiator of this debate, who is already preparing a motion for a resolution. First of all, I want clarification from the Minister as to how this could have happened. She refers to a "positive business case" in her answers to the parliamentary questions. I wonder what that business case looks like. First, equipment is purchased by the National Archive, then the scanners are loaned out to the Tax Administration and finally new employees need to be hired and trained to operate the equipment. Surely that can never be more efficient than hiring market players. It especially sounds to me like a business case for an expanding government and not for high-quality scanning work. I have a few questions about this. How exactly did the decision-making take place? What were the reasons for the decision? Is it true that new employees need to be hired? That's the expanding government. Or are there employees at the Tax Office who have nothing to do and who now have to operate the scan street? The Minister says that the National Archive has sufficient experience with procurement to assess what a market price is. That's a very dangerous argument. If that were the criterion, it would mean that we could abolish any procurement rule. Then any buyer with sufficient experience can award all tenders to the party that he considers to be the best. Public, independent and objective tenders have been created precisely to ensure that we no longer do so, but that we therefore award on the basis of objective criteria. I'd like to get a reaction to this. The Minister states in her reply to the parliamentary questions that it would cost €750,000 to reverse this decision. How does the Minister support that amount? And what does this accomplished fact mean for the future? For example, you could justify any wrong spending afterwards with the argument that it is very expensive to reverse it. Decisions to use certain services must always be taken critically to ensure that it is not better done by the market. This does not seem to have been done carefully in this case. I hope that the Minister will recognise this and that she will find a solution. I also hope that we will do better in the future. After all, the Ministry of Education is the Ministry of Education. "Education" stands for "learning" and therefore also for learning the mistakes that are made.
ParlaMint-NL_2015-09-09-tweedekamer-7.u64	Mr. Chairman. I suspect that this will be my shortest contribution to a plenary debate ever. A lot of things I could and would have liked to say have already been brought in by colleagues. I look forward to the Minister's reply on all these points. There is one question left for me, a rather simple question. I believe that all public services are normally subject to tendering procedures. That is normally the case, perhaps with a few exceptions. Normally a ministry or part of a ministry spends neatly. Now it's been chosen not to. I would therefore like to know from the Minister why it was specifically chosen in this case to deviate from that and why it was specifically chosen in this case to look for what the Minister calls an in-house solution or a 'in-house solution'. What makes this spending of public money different from other spending? I'd like to leave it at that.
ParlaMint-NL_2015-09-09-tweedekamer-7.u65	I'm not used to that either: so very, very briefly. This brings us to the end of the first term of office.
ParlaMint-NL_2015-09-09-tweedekamer-7.u66	Mr. Chairman. It is good to debate with the Chamber today something that seems to be a rather technical subject, namely the procurement or tendering of an assignment at the National Archives for so-called scanning. I am glad to be able to debate this with the Chamber today, because she has previously spoken with Mr Kamp in a debate on the market and government. In conclusion, Mr President, I would like to thank the rapporteur for his excellent report. I would like to share with the Chamber the considerations that led me to the decision I made. This decision obviously involves the relationship between market, government and procurement, as well as the question of what the government wants to do with organising an efficient government with shared services. The first is the general portfolio of colleague Kamp van EZ, the second by colleague Blok voor W and R, but they come together in this case what we do at the National Archives. I stand here as Minister of OCW and I have responsibility for culture. I also have a responsibility for the proper management of the National Archive and its social importance. This concerns the availability and accessibility of the national archives collections and their connection to the network of heritage institutions. It is precisely in this context that there is an important legitimization of the decision that I believe I have still taken with justice. I would first like to share with the Chamber the social importance and then I would like to comment on the government's vision of cooperation, on why I chose the Tax Administration and, thirdly, on the demand for market and government. Due to the social importance of availability and accessibility of national archives collections, the National Archives will digitize 10% of the paper archive collections over the next fifteen years. By digitizing the most consulted archives, research in archive material of the government becomes easier and a wider audience will come into contact with the information of the National Archives and the Regional Historical Centres, the RHCs. That's a government job. After all, this is public sector information that is frequently consulted by a broad audience. The archives that are digitized in this project, this specific project we are talking about, are stored at the National Archives and at the Regional Historical Centres. These are archives with different formats and in different material state, which form one whole, one archive. The selection we are talking about today consists of the VOC archive. I'm just saying this isn't a left-wing hobby. It is of great historical importance that everything we have is preserved. These are notarial deeds from 1800, but they can also be ship cards, letters or maps. It is fragile and diverse material, with considerable and great cultural value. As minister responsible for the National Archives and the national collections, I therefore also attach great importance to the sustainability of these collections and this heritage for the future, for all generations after us. So how does that work and why did I decide to let the IRS do that? For that, I need to explain what's going on with the framework contracts at the National Archives. Contracting entities in the market are subject to a framework contract. This means that you do not have to re-program every new contract and create new contracts. Once a framework agreement has been concluded at European level, further contracts shall be awarded for four years under the conditions laid down therein. These further assignments will no longer be awarded separately at European level. It is very complicated to scan this special archive, because all letters, photos and ship cards are delivered in boxes. You need a lot of expertise, special expertise for that. With the current framework contracts that the National Archive has, this would mean that after the work preparation by the National Archive several archive documents would have to be sent to different providers for the scan. In addition, the national archives of the Regional Historical Centres are not covered by the current framework contracts, so that new procurement is needed. In the end, we said: in the case of a tender for the work that the Tax Administration would now be doing, it should be clear in advance what material is in the boxes in order to be able to procure it properly. This makes the work process as a whole very complex, more complex and probably also more expensive, with all the risks of errors in the process. In cooperation and procurement with the Tax Administration, framework contracts and a division between individual lots are not at issue and unnecessary. If the boxes now arrive at the Tax Office, it will be examined what material is in it, what format, what preparation is required to remove staples or bindings, cleanly store the seals, repair damage and which type of scan then applies. All this is organized in one location with people from the National Archives in collaboration with people from the Tax Administration. In addition, it is a question of digitizing a large stream of archive material, which is processed in several years. This is subject to requirements other than those applicable to a small, demarcated project. Archives stay together as a whole. In this way, as a responsible minister, I can guarantee that the collections are kept well. So, regardless of how the government operates, on which I will come back, and regardless of how we deal with procurement, it is my primary responsibility to ensure that the preservation of the national collections and the legacy of the archives we have, I quote here as an example the VOC archive that is currently under way, but this is true for many other archives that are being efficiently and collectively guaranteed, so that they can also be used in the future.
ParlaMint-NL_2015-09-09-tweedekamer-7.u67	The Minister has so far said all things about this specific complex, complex and historically very important task. Of course, everyone agrees with that. However, I supported the interrupting microphone rather early in the day because I believe that the type of assignment and its importance can never justify or not justify the choice to do it as a government itself and can never be decisive for that. We also spend a lot of other complex, very important public authority on market players. Let me give you the example of building tunnels. That too is not done by the government itself because it happens to be very complex. I'm fine with the Minister calling this. I also find it very interesting to know exactly how these boxes were created and what is in them, but I am much more interested in the following. It doesn't really matter what assignment it is, does it? It's about the objective rules, isn't it? Surely it may well be that a market party could do just as well and as carefully?
ParlaMint-NL_2015-09-09-tweedekamer-7.u68	It's a matter of care. That is why I explained that with the framework contracts the National Archives have, it is not possible to invest the expertise for processing those boxes with everything in them at one company. This would mean that it would all have to be split into parts, that the National Archives would have a lot of extra work to carefully separate it and that there would be a risk that things would break up due to the vulnerability of the material. It could also be more expensive if it had to be outsourced to different parties. So, frankly, I do not agree with Mr Verhoeven that there would be any reason to go into tendering. It does, however, require that I am right on my second subject, which is that we take care of customization and careful consideration, as we do nationally.
ParlaMint-NL_2015-09-09-tweedekamer-7.u69	I understand that the Minister is saying this in her passion for content, but I think it is very dangerous. For example, any minister can join the Chamber and, on the basis of a story about complexity or its importance, proclaim that it is impossible for a market participant to do it. That is simply not the case. I think that almost all contracts can be carried out by a market participant. For this debate, I think it is much more important that we answer the question of how to ensure that we make this task accessible to companies in a good way and that we look at what has gone wrong. For the Minister is now pretending to be a perfectly justified choice, but the Commission's view of procurement experts, who think separately, is quite different.
ParlaMint-NL_2015-09-09-tweedekamer-7.u70	I'll get to that in a minute. I understand that I am talking here to the spokesmen of the Committee on Economic Affairs, but I really want to say here that there is more than just the market. There is also a culture that is vulnerable and worthy of protection. I am responsible for the protection and accessibility of cultural heritage. I assume that this is also a very important value for Mr Verhoeven's party.
ParlaMint-NL_2015-09-09-tweedekamer-7.u71	I'm very worried about the Minister's response. This is mainly because she describes that in those boxes there are all different things that need to be scanned, while the book scanners included in the tender can only scan certain items from those boxes. So, as the Minister explains, there will soon be another call for tenders for other devices to be used to scan the quantities in the boxes. I don't think that's the point. I therefore foresee many more calls for tenders for equipment, while the scanners that have now been purchased are not even able to do all the things the Minister proposes.
ParlaMint-NL_2015-09-09-tweedekamer-7.u72	That's a premature conclusion. I would almost like to say that it is an incorrect conclusion. We have just made the deal with the Tax Administration, because it can do it at once with this complex assignment.
ParlaMint-NL_2015-09-09-tweedekamer-7.u73	This still does not prevent another question from being asked by the Tax Administration for additional equipment to do exactly those things, while there are plenty of companies that can actually do these things. That is why we are calling for a tender. It seems absurd to me that we will have to have more equipment purchased later and have to be controlled by the Tax Administration in order to be able to do the whole package in one place.
