ParlaMint-NL_2015-06-18-tweedekamer-4.u1	I will allow only limited interruptions: only if a clear question is asked about a motion tabled.
ParlaMint-NL_2015-06-18-tweedekamer-4.u12	Mr. Chairman. Many topics were discussed during the debate on aviation. You have also heard the various motions tabled by colleagues. I am addressing, on behalf of D66, two topics, first of all, the psychological testing of pilots. We talked about what's in the law for drivers. Can the Secretary of State promise today that she will at least have her lawyers look into what is possible in the Aviation Act and inform the Chamber about it? As far as D66 is concerned, the Secretary of State does not have to wait to take action. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the government should make every effort to increase safety in Dutch civil aviation;]] [[Whereas a good psychological condition of pilots is essential in this respect;]] [[Considering that employers, employees and government within the so-called Anti Skid Group (ASG) cooperate on timely identification and adequate treatment of problematic use of medicines, alcohol and drugs in the aviation sector;]] [[calls on the Government to ensure that pilots' psychological condition and testing are fully integrated into the cooperation within the ASG;]] [[calls on the Government also to ensure that all air carriers covered by Dutch legislation are part of this cooperation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Hachchi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-282]]
ParlaMint-NL_2015-06-18-tweedekamer-4.u13	Another motion on harmful substances in the cockpit. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government is not yet in a position to rule out the possibility that certain substances in cabin air may be harmful to cabin crew health and thus pose a risk to flight safety;]] [[noting that at present only the mandatory reports of odor incidents are recorded and analysed by the Aviation Accidents Analysis Office (ABL), but does not receive the results of the investigations;]] [[Considers that a good analysis of potential safety risks related to odor incidents is only possible if research results are shared with the ABL;]] [[calls on the Government, as soon as possible, to ensure that the results of investigations into odor incidents are shared by air carriers with the ABL;]] [[calls on the Government to involve the analysis of the ABL in the work of the National Advisory Group on Cabin Air,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Hachchi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-283]]
ParlaMint-NL_2015-06-18-tweedekamer-4.u14	Mr. Chairman. The motion in part No. 272 is about an aviation plan. I share Mr Graus' view that parties should work together to make European airlines more competitive. The same applies to the KLM. The European Commission also sees that something must be done. Yesterday, the five largest aviation groups announced that they would join forces. I think this is very good. All stakeholders are involved in the European Strategy, the Commission and the mandate. The European aviation strategy will have an important place during our Presidency. There is also an aviation summit and the Netherlands will organise an aviation summit in January. I think that cooperation and continuous dialogue are important, but we should not seek a comprehensive plan. I think that there is already a great deal that can serve as a basis and that we should continue on the path we have taken. I therefore advise against the motion.
ParlaMint-NL_2015-06-18-tweedekamer-4.u15	I understand the words of the Secretary of State and I agree with them, but we must also remain strong at national level vis-à-vis the other European airlines. I would ask the Secretary of State to assess the national safeguards of the Netherlands, for example. It's about our national interests.
ParlaMint-NL_2015-06-18-tweedekamer-4.u16	The guarantee of the interests of e.g. the Netherlands, as I believe Mr Graus means, lies in particular in the question of how we anchor European aviation policy. The Dutch aviation policy is part of the international market. I think it is important that the parties in the Netherlands, such as Schiphol, KLM, other carriers and air traffic control, remain in dialogue. To draw up a specific Dutch plan now does not make any sense to me. I think it is important that we act at European level on the international market. In the motion in part No. 273 is asked to convert the MoU into a legally binding contract. This is a repeat of the debate we had during the AA. I explained it then and will summarize it very briefly. The current package was carefully negotiated when the government had to authorise the merger in 2003. The agreements concerning, inter alia, a balanced hub development were extended in 2010. As far as I am concerned, there is no reason for the motion. The monitor of the hub development by SEO that we have been doing since the merger and sending the Chamber shows the results for Schiphol. These agreements are administrative and politically binding. I think that's enough, and that's why I'm not recommending the motion. The motion in part No. 274 concerns continuity and a level playing field for regional airports with the predicate "national interest'. Mr Graus knows that these are independent companies. In that sense, I cannot guarantee continuity, because I have no influence on business operations. That's what the shareholders are about. For the level playing field, I have the ACM and the Competition Act. These set the framework for a level playing field. The charging policy, to which Mr Graus refers in his motion, will be discussed in the autumn. The subject has been removed from the agenda. I can imagine Mr Graus holding his motion until that moment in the autumn, because I know he would like to talk about it. If Mr Graus continues the motion, that is fine. If he doesn't, I'll advise against the motion.
ParlaMint-NL_2015-06-18-tweedekamer-4.u17	I'm gonna do that, but I still want to respond to the words of the Secretary of State. Eindhoven Airport uses the national budget of Defence. Airport Eelde and Airport Maastricht do not do that. There is therefore a very uneven playing field.
ParlaMint-NL_2015-06-18-tweedekamer-4.u18	At the request of Mr Graus, I propose his motion (31936), No. 274). That is what is decided.
ParlaMint-NL_2015-06-18-tweedekamer-4.u19	Then the motion to part No. 275 requesting an independent impact assessment. For me, there is no reason to take any additional measures. LVNL itself focuses on keeping a deficit as limited as possible and its consequences. LVNL has said that it is currently manageable, if there is a shortage of air traffic controllers. They also ensure a good balance. Supply and demand are continuously monitored by LVNL. So I see no reason to take additional measures. I'm dissuading the motion.
ParlaMint-NL_2015-06-18-tweedekamer-4.u20	Those messages do reach us. There's a very big excuse going on. Relatively, because of course there are few air traffic controllers in the Netherlands. They're fleeing to Qatar. We need to get the less skilled and less experienced people from Africa. The problem with air traffic safety is the following. Our air traffic controllers can put small crates three miles in a row, align and land, and large crates six miles in between. Newcomers, however, cannot do all that. We must be careful not to lose our expertise and our air traffic controllers abroad. That is what is happening; the facts are there.
ParlaMint-NL_2015-06-18-tweedekamer-4.u21	I naturally share the importance of good air traffic control in the Netherlands. Schiphol Airport is a complex airport, but there is good quality. According to my information, the picture of air traffic controllers resigning to work elsewhere is not correct. LVNL figures show that only two air traffic controllers resigned prematurely between 2009 and 2014. I can even tell you where they went to work. One of them certainly didn't go to work in the Gulf States. Therefore, I see no reason to take any additional measures at this time. I'm dissuading the motion. I'm getting to the motion on part No. 276 on the simultaneous use of runways. Good arrangements have been made at the Alders table. The starting point is to reduce the nuisance as much as possible. The total release of the fourth job is not appropriate. I'm gonna have the appointments done, and I'm gonna dissuade the motion. Then I come to the motion on part No. 277 on the kerosene advantage and the Golf carriers. Europe is looking at the overall picture, including fuel shortages. The question is whether Europe will also look at the level playing field. There will also be a validation of the investigation of some airlines from America. I see this motion as supporting policy and leave it to the Chamber.
ParlaMint-NL_2015-06-18-tweedekamer-4.u22	I thank the Secretary of State for her words, but I was not talking about shortages, but about the fact that the Golf carriers pay lower kerosene prices. Our boys can't compete with that. So that's what it's all about.
ParlaMint-NL_2015-06-18-tweedekamer-4.u23	I come to the motion by Mrs Visser and Mr Leenders on item No. 278. With the Chamber, I believe it is important that we form a closed front within Europe. This applies in particular to countries which have a large hub function, such as the Netherlands, but also Germany and France. This is important for a strong negotiating position for Europe. That is why, as far as I am concerned, individual negotiations ahead of the European negotiations are not sensible. I will therefore urge my colleagues not to grant new landing rights for the time being. I'm gonna do that, but it's simple: I can't force them. I see the motion as a policy support. I do, however, have one more point, namely the date of 1 September. We're about to go into the recess and it's not easy to get my colleagues together. Perhaps this can be organized around a Transport Council. I don't know if it can be written or telephoned either. For me, therefore, the deadline of 1 September is complicated in that sense. If I may take that deadline off, I consider the motion to support policy and leave it to the Chamber.
ParlaMint-NL_2015-06-18-tweedekamer-4.u24	I get that call, but the next Transport Council isn't till October. We see that other Member States are expanding landing rights. I understand the Secretary of State is looking for an appropriate time. I am also prepared to amend the motion to that effect, but I would not like to wait for the October Transport Council to take action.
ParlaMint-NL_2015-06-18-tweedekamer-4.u25	I have already indicated that there may be other ways: written or telephone. I will look into the possibilities and take action on them. However, given the moment, just before the summer, it is not easy to reach everyone.
ParlaMint-NL_2015-06-18-tweedekamer-4.u26	The text should actually be: 'to inform as soon as possible'.
ParlaMint-NL_2015-06-18-tweedekamer-4.u27	In the motion in part No. 279 asks Mr Bashir for six-monthly information. I think it is important to inform the Chamber, but I do not think it is right that I do so at regular intervals. I do so at times when information is available that I want to share with the Chamber, not at standard moments. I have always informed the Chamber as quickly as possible in the past after information is available, and I want to continue to do so. I reject the motion, but I do so because Mr Bashir is asking for fixed moments. I'd like to share the information with the Chamber.
ParlaMint-NL_2015-06-18-tweedekamer-4.u28	If I understand correctly, the Secretary of State is prepared to inform us periodically. Can we agree that she will inform the Chamber when it is necessary, but at least twice a year?
ParlaMint-NL_2015-06-18-tweedekamer-4.u29	Today I am kind enough to think: of course I want to. However, it would be a little strange for me to inform at least twice a year if there is only one information. Then I should inform the Chamber that there is no information to give. I think that's a really weird thing to do. I think it is important that I share that entirely with Mr Bashir that I inform the Chamber as soon as there is information. I have done so in the past, as Mr Bashir knows. I want to keep doing it that way. I therefore consider the motion to be very sympathetic, but I would nevertheless advise against it.
ParlaMint-NL_2015-06-18-tweedekamer-4.u30	I shall then proceed with the motion, but I see this as a commitment from the Secretary of State to keep us informed of the latest developments, but above all of her own commitment.
ParlaMint-NL_2015-06-18-tweedekamer-4.u31	At the request of Mr Bashir, I propose his motion (31936), No. 279). That is what is decided.
ParlaMint-NL_2015-06-18-tweedekamer-4.u32	On the motion in part No. 280 I can be brief: I see it as a support for policy, because I do think it is important that there should be a piece of advice at the Alders table. What the motion in part No. 281 by Mr Van Helvert, Mr Bashir and Mr Graus: I fully understand the need for information on KLM and Schiphol. That is why I made the report confidentially available to the Chamber, although, as I said, I did not think it appropriate. I also informed the Chamber quickly about cash. I will continue to do the same in the future. As far as I'm concerned, this motion is superfluous and I must advise against it.
ParlaMint-NL_2015-06-18-tweedekamer-4.u33	Mr Van Helvert, one question, please.
ParlaMint-NL_2015-06-18-tweedekamer-4.u34	We have had a very clear discussion about this. If something is confidential, I may look at it for a week; then I may never say anything about it again and may never speak to anyone again. I can't control it like that. So I'm not going to look at that confidentially. With the exception of the business sensitive information and other call reports, as I do not need them at all, we want to see the arrangements. We also want to see that the other party agrees. In that sense, I would ask the Secretary of State to revise this opinion.
ParlaMint-NL_2015-06-18-tweedekamer-4.u35	I've informed the Chamber. I also think it is important for the Chamber to have that information; I did so with a letter. The only reason why I gave the Chamber that report for inspection is that you had a great fear that other matters might have been discussed. You have seen that the texts were one-on-one equal. I think it is important for the Chamber to be properly and quickly informed. I don't think it's right that business sensitive information or interview reports... It gets complicated when people already know in advance that they need to sign a conversation report.
ParlaMint-NL_2015-06-18-tweedekamer-4.u36	One clarifying question, Mrs. Hachchi.
ParlaMint-NL_2015-06-18-tweedekamer-4.u37	It is not my motion, but I would like to support Mr Van Helvert somewhat. The Secretary of State refers to the information she has shared with the Chamber, but the motion also deals with the talks with the French Government. I understand that reports of this kind cannot be made public, but it is important for us as a Chamber and for our monitoring task that we should be able to read that kind of information.
ParlaMint-NL_2015-06-18-tweedekamer-4.u38	If I have had conversations with governments and companies, because this is not just about Air France/KLM or about this subject which is relevant to the Chamber, the Chamber will be informed. In that sense, I fully share your efforts.
ParlaMint-NL_2015-06-18-tweedekamer-4.u39	Mrs Visser, one question.
ParlaMint-NL_2015-06-18-tweedekamer-4.u40	This is just as important. The Secretary of State translates the motion in such a way that all interview reports must be continuously shared with the Chamber. The discussion in the AA and this motion are precisely about the agreements made in March. That is why the Chamber is asking for disclosure through Mr Van Helvert. These agreements have been made confidential, but not publicly available. In view of the previous discussions in 2003-2009 on the guarantees and what they contain, I ask the Secretary of State to re-assess this motion with that look and in view of the discussion in the AA and not generically, because I fully agree that we do not need to get all the information and that we should not sit on the company seat. It is a very specific question of sharing these agreements with the Chamber in public.
ParlaMint-NL_2015-06-18-tweedekamer-4.u41	That's what I did. In fact, I sent exactly the letter in which these agreements were recorded. That was a public letter to the Chamber. I also think it is important that I share the agreements made with the Chamber if they are relevant to being shared with the Chamber.
ParlaMint-NL_2015-06-18-tweedekamer-4.u42	This is already the second motion in which the Secretary of State is asked to inform the Chamber. I would ask the Secretary of State to take this into account, because if there is a feeling in the Chamber that we are not being sufficiently informed or that there is insufficient information, perhaps so.
ParlaMint-NL_2015-06-18-tweedekamer-4.u43	I'm really sorry that that feeling exists. I think it is extremely important for everyone to be informed as much as possible, especially since this subject is not only in the Chamber, but also very broad. I'll inform the Chamber about the arrangements made. I'll do it as comprehensively and as much as I can. That is why I found it difficult to do so at regular intervals, because I would like to inform you as soon as I have relevant information, especially as regards the arrangements made. I'm getting to the motion on part No. 282 by Mrs Hachchi. I think this is a very nice idea, because the ASG plays an important role. Mrs. Hachchi asked in the motion to take care of this. However, I find it difficult to force organisations to participate in certain organisations. If I may read the motion in such a way that I ask this as a question, I will leave it to the House's discretion. I will then inform the Chamber in the letter I am going to send about the other questions that still need to be answered. In the motion in part No. 283 asks Mrs Hachchi about the analyses of the ABL. I have regular consultations with the airlines on this matter. The results of the odor incidents are requested to be actively shared with the ABL. From 15 November, it will be compulsory to share these analyses. I will pass on to the organisations that I would like them to start acting like this in advance of 15 November. I see this motion as a support for policy, and I leave the motion to the House's judgment.
ParlaMint-NL_2015-06-18-tweedekamer-4.u44	Do you have any more clarifying questions, Mrs. Hachchi? The judgment is already up to the Chamber.
ParlaMint-NL_2015-06-18-tweedekamer-4.u45	Yes, I do, but it's my first motion. Thank you for the Secretary of State's commitment. Can she tell us when we can expect that letter?
ParlaMint-NL_2015-06-18-tweedekamer-4.u46	That's always a good question. The recess starts now, of course, in the short term. I will do my utmost to inform the Chamber before the end of the recess. Then I can also take into account all the vacation possibilities.
ParlaMint-NL_2015-06-18-tweedekamer-4.u47	In my term, I had also asked the Secretary of State about the psychological assessment. Is she prepared to sit down with lawyers to see to what extent it can be anchored in the Air Transport Act, and can she then inform the Chamber about it? A timeline would also be nice, so we know what we can take into account.
ParlaMint-NL_2015-06-18-tweedekamer-4.u48	I had just gotten this question. The answer to that is yes. I'll take that in the promised letter. There are two more questions. One went over the level playing field and was followed by the request to respond by a letter. That was a question from Mrs Visser. The answer to that is yes. There was also a question from Mr Bashir. The inspection looks at the women's rights of the Golf carriers. I hear this point and I understand his concern, but I have no role in it and I cannot intervene in it, as much as I might like to. Unfortunately, that's my answer.
ParlaMint-NL_2015-06-18-tweedekamer-4.u49	Is the Secretary of State not prepared to discuss this with, for example, the Labour Inspectorate, so that she can look at this?
ParlaMint-NL_2015-06-18-tweedekamer-4.u50	I believe that this issue is well known at European level and at all levels. I have looked specifically at my own role in this. Unfortunately, then, I have no choice but to give this answer. I expressly say "unfortunately."
ParlaMint-NL_2015-06-18-tweedekamer-4.u51	There is another question open by Mr Graus about the day longer from Qatar Airlines.
ParlaMint-NL_2015-06-18-tweedekamer-4.u52	That is a question from Mr Bashir. In 2011 it was agreed with Qatar Airlines that they could fly six times a week. That started very recently. If those flights are all full after one season, there could be a seventh flight. We could do that from this autumn. That is not the case at the moment. Mr Bashir said that state aid was on the table. That is not yet a fact, because three US airlines are currently under investigation. That research is validated by the European Commission. At least that's what I asked her. At the moment there are no hard facts for that. So this is the answer to the questions.
ParlaMint-NL_2015-06-18-tweedekamer-4.u53	We will be voting on the motions tabled next Tuesday.
