ParlaMint-NL_2015-04-14-tweedekamer-29.u1	I would like to welcome the Secretary of State for Economic Affairs.
ParlaMint-NL_2015-04-14-tweedekamer-29.u12	In response to questions from the Chamber, the Secretary of State indicated that he would be talking to reception organisations about the reception of wild animals which would no longer be allowed to be used in circuses. We would like to keep in touch with the progress of this. We are therefore making this request to the Secretary of State. Again, this is a historic moment. My compliments on the decision. We have waited a long time for it and the Animal Party cannot wait for it to enter into force.
ParlaMint-NL_2015-04-14-tweedekamer-29.u13	Mr. Chairman. The CDA doesn't jump through the circus hoop of this cabinet. The proposed ban on animals in the circus is arbitrary and does not do justice to the people who take very good care of their animals in the circus. That's why I'm filing the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas various studies have shown that animal welfare problems in animals in circuses are low;]] [[Whereas for the purpose of the Decision no studies have been carried out on the current welfare of animals in circuses or on the involvement of foreign investigations in the Decision;]] [[Whereas the differentiation of wild domestic animals in the draft Decision does not give any insight into actual potential welfare problems and hence the degree of infringement of intrinsic value, which is different for each species;]] [[Whereas the argument of "travelling character" is insufficient to prohibit the travel and behaviour of animals;]] [[calls on the Government to investigate the animal welfare of the different species of animals used and to base a possible ban on them,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas other European Member States make exceptions for certain animals;]] [[calls on the Government, as well as France, to work with permits and, under certain conditions, to allow the occurrence and travel of certain wild animals,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Cabinet considers that existing rules on animal welfare of circus animals are sufficient;]] [[calls on the Government to withdraw the draft decision prohibiting the participation of wild animals in circuses,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-805]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-806]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-807]]
ParlaMint-NL_2015-04-14-tweedekamer-29.u14	Finally, I would like to ask the Secretary of State if she could forward the Council of State's opinion on the draft decision to the Chamber as soon as this opinion is available.
ParlaMint-NL_2015-04-14-tweedekamer-29.u15	Mr. Chairman. The Labour Party welcomes the fact that this law bans wildlife in the circus. Animals should not perform tricks in a circus, but should be able to express their natural behavior. The ban on wildlife in the circus is a long-standing wish of the Labour Party. I refer to my former colleague Harm Evert Waalkens, who started the debate on this in 2008. We are pleased that the intention of the coalition agreement is now being transposed into legislation. It is therefore also appropriate to congratulate the Secretary of State for her careful conduct, because that has been it, and her constant commitment. We still have some concerns. A number of other colleagues have already referred to it: the animals that are now kept in the circus must, of course, be taken care of. Can the Secretary of State promise that the shelter will be properly arranged and that she will monitor what happens to these animals?
ParlaMint-NL_2015-04-14-tweedekamer-29.u16	The Labour Party was co-signatory of the motion of the VVD. However, the Labour Party has always fought for this ban, and I congratulate you on that. She has never played, but has always been in favour of a ban. I am therefore a little surprised that the Labour Party has co-signed the motion of the VVD, because it actually states that we can stop thinking about the use of animals in entertainment. But llamas and animals in dolphinarium are not now covered by the ban. I imagine you wouldn't support such a ban right now, but we don't have to stop thinking, do we? What does a motion like that mean?
ParlaMint-NL_2015-04-14-tweedekamer-29.u17	In reply to Mrs Ouwehand's question, I say that thinking never ends. On the contrary, she knows the Labour Party as a party that is committed to animal welfare on all fronts. We are talking today about an agreement made in the coalition agreement, to the delight of Mrs Ouwehand and myself. I think it is appropriate to deal with the legislative proposal in this way within those margins.
ParlaMint-NL_2015-04-14-tweedekamer-29.u18	Does this mean that we can explain the motion in such a way that this applies to this cabinet period? The ruling requested in the motion therefore applies to the Labour Party for this period and then the PvdA is again open to new ideas and new ways of thinking.
ParlaMint-NL_2015-04-14-tweedekamer-29.u19	I think I just said that this proposal was in the coalition agreement. We felt it was important that the proposal should be implemented effectively and legally, indeed during this period of government agreement. After all, Mrs Ouwehand has heard us talk in the past about other dimensions that you can always give to the animal welfare dossier. Of course this is true for this period. Next round: new opportunities, but of course in a political composition, in which the Labour Party is once again great, strong and compelling; you understand that.
ParlaMint-NL_2015-04-14-tweedekamer-29.u20	Let me get this straight and get this report straight. The spokesman for the Labour Party therefore says that the PvdA will not close down dolphinariums or zoos during this period, but that this opportunity is present after this cabinet period.
ParlaMint-NL_2015-04-14-tweedekamer-29.u21	Mr Geurts should not put words in my mouth that I have not spoken. That's not what I meant by that. I was referring to the fact that, of course, we are always in favour of a broader debate on all dimensions of animal welfare. We do not touch the dolphinarium and zoos. If Mr Geurts wants to hear that, my answer is: no, we are not getting that.
ParlaMint-NL_2015-04-14-tweedekamer-29.u22	In this cabinet period?
ParlaMint-NL_2015-04-14-tweedekamer-29.u23	Yes, in this cabinet period. During the next cabinet period, Mr Geurts will, I believe, not hear much about this either, except at the moment when animal welfare would be affected.
ParlaMint-NL_2015-04-14-tweedekamer-29.u24	Mr. Chairman. I would like to thank the Secretary of State for the written round. The SP believes that a basic ban on keeping wild animals in a circus goes too far. However, we find the current situation unacceptable. The Netherlands is at risk of becoming Europe's waste pit because of a lack of regulation. The SP therefore wants a positive list of wild animals in the circus based on scientific criteria. There should also be stricter welfare requirements for loft size and transport. That's why elephants are losing weight anyway. Tame animals in the circus, like dogs and horses, can indeed be. For wild animals, therefore, it must be scientifically proven that they can be held responsible in a circus environment while maintaining natural behavior. Many animals then lose weight, including large predators such as lions and tigers. I shall confine myself to a brief motion on the reception of ex-circus animals. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to monitor the situation regarding the reception of ex-circus animals, to inform the Chamber thereof and, if necessary, to contribute to the reception of ex-circus animals,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-808]]
ParlaMint-NL_2015-04-14-tweedekamer-29.u25	We don't even have enough shelter for dogs, cats and rabbits in the Netherlands. Where are we going with all these animals? It's very easy to throw all that nonsense we're thinking of here at the Secretary of State's office. But where are we going with these animals?
ParlaMint-NL_2015-04-14-tweedekamer-29.u26	Experience shows that for example in Ouwehands Dierenpark brown bears are collected with a circus past, sometimes also from countries where conditions are worse than here; I admit that immediately. It is therefore actively deployed by a number of zoos. I expect the Secretary of State to be able to make some sensible suggestions on that point.
ParlaMint-NL_2015-04-14-tweedekamer-29.u27	I followed an impounded lynx. It'll be gone in a few months. Some animals and animal species die when they're not with their owners anymore. I would like that to be taken into account. You can't just let animals get away with grief. Elephants and such animals also bind to humans. They can go away, die of grief.
ParlaMint-NL_2015-04-14-tweedekamer-29.u28	I think that is a useful contribution by Mr Graus and would like to invite the Secretary of State to take this point into account in her reply.
ParlaMint-NL_2015-04-14-tweedekamer-29.u29	Mr. Chairman. I would like to thank the members of the Chamber for their contributions. I'll make a quick assessment of the seven motions that have been tabled. I agree with those who said that this is a rather special decision. This brings me to my judgment on the motion in part No. 802, tabled by Mr Heerema and Mr Van Dekken. I'd like to leave that to the Chamber. I have no intention of banning zoos or dolphinariums, for example. I therefore disagree with what Mr Geurts has said about this: there is a very different situation in zoos and dolphinariums compared to circuses. Even if it was only about the travelling character and the transport of animals, especially in the case of larger animals, Mr Smaling gave examples. This results in a completely different environment and treatment of animals than in zoos, where very often research is also carried out, for example. So I understand the signal that it sends out by both groups. In that sense, it is indeed up to the Chamber to decide how it intends to proceed. However, I have also made it very clear in the written rounds that these are really very different issues. It is not all the same, I say, perhaps in abundance, to Mr Geurts. In the motion in part No. 803 asked Mrs Ouwehand to extend the ban on the use of wild animals to the lama, alpaca, camel and dromedaris. These species are considered domestic species. A very specific reasoning has also been given in the written presentation of the debate. I think Mr Smaling also mentioned here that you can really distinguish between animals that you would like to allow and animals that you do not want to allow. For that reason, too, I advise against this motion. We have looked at this issue very specifically and also tried to approach it scientifically. This means that the positive list that Mr Smaling asked for is actually on balance and that, contrary to Mrs Ouwehand's wishes, it does indeed apply to these species. I understand Mrs Ouwehand's wish, but I cannot follow it from the reasoning I have followed in my own proposals. I would like to keep my proposal as it is and therefore advise against Mrs Ouwehand's motion. The same applies to the motion in part No. 804 by Mrs Ouwehand. This subject will come back when we get to work on the mammal positive list. That's a live list, which requires a lot of assessments. I went to work last night at the AAP Foundation. That's one of the foundations that talks. The Platform Responsible Pet Property also does, but it's more about animals that you keep in your own home. So I am sure that we will be working with birds and reptiles in the long term, but that will take some time, and I say this honestly because we find that drawing up the pet list, which we are now working on, is already taking a lot of effort. It's just not an easy matter. It is really easier for birds and reptiles to provide adequate animal welfare services. The same applies, for example, to transport. It is therefore not possible to extend the ban by the reasoning set out in the present proposal. I therefore advise against this motion. I come to a question put by both Mrs Ouwehand and Mr Van Dekken, namely: what are we doing with the shelter of wild animals now kept? I suspect more MPs have that question. In fact, Mr Smaling has tabled a motion on this subject, namely the motion on item No. 808. To begin with, I may also have to refer to the written consultation in which we found that very few animals are in possession in the Netherlands. It is difficult to find out exactly how many animals there are, but our impression is that it is very often also about acts that are hired and that, for example, have a foreign origin and are not hired in the Netherlands. There are, of course, private initiatives. I saw that too during that work visit to foundation AAP yesterday. For example, this foundation is in the process of creating shelter for large cats in southern Europe. There is also a genuine willingness to contribute, if necessary, to the collection of these animals. I am therefore very much prepared to play an intermediary role in this, as I have always said in that consultation. I would therefore like to ask Mr Smaling if he is prepared to hold on to his motion, because the signal is perfectly clear and I would also like to pick it up. However, I would prefer not to commit to a kind of contribution to the infinite, because then you may end up in an almost impossible position, while Mr Smaling's intention is, in my view, the same as mine. Here's what I'd like to say. Mrs Ouwehand asked: can you tell the Chamber, in writing, how things stand now so that the Chamber can talk to you about it again? I'd like to do that. My kind request to Mr Smaling is: please do not ask me to record this, as in this motion. There are promises which, I think, do not fully reflect what is at issue in practice. Know from me that I am making a real commitment to it, but make sure that it is not possible to say it from the other side to the unreasonable rather than with this motion in hand: it must always be so from now on.
ParlaMint-NL_2015-04-14-tweedekamer-29.u30	I'm still thinking; we can hold the motion and then we can bother following the Secretary of State in what she's doing.
ParlaMint-NL_2015-04-14-tweedekamer-29.u31	Yes, you do.
ParlaMint-NL_2015-04-14-tweedekamer-29.u32	I don't know if the Secretary of State intends to inform the Chamber about it from time to time. I don't need a letter every week, but it would be nice to have a little bit of progress in mind.
ParlaMint-NL_2015-04-14-tweedekamer-29.u33	I think it would be wise for me to send you a good letter at some point, indicating what is going on, what is being reported and how things can be resolved. This may lead to very different solutions. So we're gonna have to take that space together. Again, there are already a number of private initiatives where people have offered, including me, to help find a solution. So if you give me that space, I'll make sure you stay informed. Otherwise, you will be following me, and that is your job too, and we will have that debate on our own. Then I promise I'll send you a good letter in due course.
ParlaMint-NL_2015-04-14-tweedekamer-29.u34	With this very patch of spoken text we can get out of our way. So then the motion can be held.
ParlaMint-NL_2015-04-14-tweedekamer-29.u35	At the request of Mr Smaling, I propose his motion (28286 No. 808). That is what is decided.
ParlaMint-NL_2015-04-14-tweedekamer-29.u36	That's good. Thanks for the vote of confidence. I won't be embarrassed. Mr Geurts asked whether the Council of State's opinion would go to the Chamber. Yes, the opinion of the Council of State will not become public until the final decision has been published. Then, of course, it will be sent to the Chamber. That's how it works. Mr Geurts also tabled three motions. To make a long story short, I advise against all three motions. Mr Geurts looks very disappointed, but that is life. I'll also explain why I'm deceiving the motions; that's part of it. In the Geurts motion in part No. 805 the government is asked to investigate the animal welfare of the different species of animals used and to base a possible ban on them. Various investigations have already been carried out internationally. They form the basis for the ban. Mr Geurts is now asking for a new investigation. I wouldn't want to do that. I don't think that's necessary. For that reason, I advise against the motion in part No. 805. In his motion in part No. 806 Mr Geurts asked the government to work with permits and, under certain conditions, to allow the intervention and travel of certain wild animals. You can also look at other countries, such as Belgium, Austria and Croatia, which have a ban. It's just the country you want to look at. In the coalition agreement we made a clear choice. Moreover, we are certainly not alone in this matter at European level. As I know, there are more and more countries outside Europe that are moving towards such a ban. There too you can see that the support for not wanting a number of things is really growing. That is different from what Mr Geurts has in mind, but it is a fact. Finally, Mr Geurts has tabled his motion in respect of item No. 807. In a manly attempt to withdraw the ban, he said: you have obviously given it a lot of thought, but do not. The answer is we're gonna do it, if it's up to me. It is up to the Chamber to decide, but I strongly advise against this motion.
ParlaMint-NL_2015-04-14-tweedekamer-29.u37	I would like to thank the Secretary of State for his reply. We shall vote on the motions for resolutions next Tuesday. I'm suspending the meeting for dinner break.
