ParlaMint-HR_2017-07-07-0.u38846	Mr. Bunjac asked for a word.
ParlaMint-HR_2017-07-07-0.u43914	Your Honor, Mr. Vice President. It is also appropriate for a pensioner to chair the Assembly session when discussing the Pension Fund. So respected secretary of state, respected board presidents, representatives of HPB Invest, members of the administration, colleagues and colleagues. Yeah, I'm sure at a distance of 11 years, this looks pretty simple, but there are a few of us here who know every step in this from law-making to the formation of the Pension Fund, to business, to the difficulties they've been having, to find the means to pay off a certain war and really it's a big deal. It is a technical solution to the correction of a great injustice which was committed to Croatian pensioners between 1993 and 1998 when they had one right under the law, and under the regulation they were paid a lower right and thus the Constitutional Court's decision of 1998 was operationalized. People then must remind you all together and share some experiences with you, then it's a dilemma how to solve it. Namely, if you're making damages, then you have to either have a court ruling per individual or you have to have out of court settlement. Imagine going into settlements with some 700 thousand pensioners who were retired from 1993 to 1998. After a lot of thinking and a lot of variants, the investment fund was chosen for the simple reason that the payments from the investment fund were not taxable at the time or today for the members of the investment fund, so the pensioners calculated the amounts and what they opted for to the variant A or B got untaxable. So technically it was only possible, everything else would be much, much more complicated. Of course, investment fund management techniques should have been mastered, which is not. He is actually a paying fund where those who deal with the management of the pension fund so the HPB Invest that was selected in the public tender, he was at least part of the investment of the fund's assets, engaged all the time in communication, most of all in communication with the fund members, whether it was about changes in the home address, whether it was a challenge to the right, whether it was an inheritance. Finally, in this summary, you have a nice table that describes all the years, and here, from 2010 to 2015, all the contacts in the logistics support provided by HPB Invest to fund members. And if by any chance you had an entire period of 11 years, this table would be one unimaginable number of contacts with members. Of course, I know and I say I participated in all these stages and I know that we had as HSU our representatives on the board of directors and that they were very rigid in respecting all the legal rules from almost impossible situations how to form a prospectus and publish it until we sent out those notices that people and taking back that people have committed themselves to what kind of payout they want to do up to a lot of work to determine the heirs, since this is the right inheritance but only for the first succession order. There was some dispute, and we asked for legal experts' opinions, given that the first inheritance order means children and women, but not women if there are no children in marriage. So there's been a lot of it. So, a very complex, very demanding project, a project that was under the roof and I think it is managed, i.e. that the board of directors really respected all the legal norms that were required to be respected Here there is nothing but in continuity for all and presidents of the board of directors and members of the board of directors to thank for their dedicated work and respect for the absolute respect of legality. I'd take another chance because we don't have a chance to talk about it every day. In fact, we had the rest of the money from about 190 million kuna. And we have one more piece of information that on 31 December 2015 22 thousand 97 members of the fund did not report the payment of the share. To be clear, I've been looking at these calculations, here among these 22 thousand 97 members there are compensations from 50 lip to 1000 kuna. So, of course, if in 2006, if someone offered someone whether 5 kunas wanted to go into four wars in two years or wanted to pay 5 kuna in 8 wars, or 6 wars with a start of 2 years, so in full, and this first half, you know that they didn't show up. He's never answered, and he'll never answer. In the meantime, a large number of people have died, no one is interested, and I think that part will close when the pension fund is closed and there are no more problems. One part of the money from the 180 which was paid in 2015 as a one-time cash add-on or Christmas card for pensioners is from these sources and the other part of the money is due to the so-called Ossuary property, and ossuary property is the property of the Republic of Croatia which is made up when users who exercise a certain right die without heirs and it becomes the property of the Republic of Croatia. So to be clear, these coins are not taken by the pensioners, but are part of the state-owned Croatian property in the pension fund, and this has been strictly taken into account. And I think that, whatever anyone thinks about it, and it can be given the epithet that it was a pre-election campaign, but I think it's fair that the money that's left behind the pensioners is kind of divided into the pensioners. And I don't think that part of anyone can slow down, it can only slow down the moment it's done. So it's worth it when we have enough time and it's not a big crowd, and it's worth explaining. Of course we still have before us, i.e. we will have a report on the work of this Retirement Fund for 2016. And I believe that also members of the board of directors and representatives of HPB investments and presidents agree that this year we should conclude this story and close this, or liquidate this fund. There are a few more open suits, but in 2015, the remaining nine million kunas have quite enough resources to do this, let's say the fund's business in lera and the settlement related to possible litigation because the estimate is that it's not some large amount. By probably transferring that money to a budget item reserved for HZMO as a reservation for those purposes. But I think it's time that 11 years after, or 12 years after the establishment of a pension fund to get rid of that story. As much as we intended to do so as accurately as possible, the better we can, because it says additional work in this fund was also the subsequent second register because of additional compensation and amendments to the law and additions to the Pension Fund and also the law on the implementation of the Constitutional Court's decision because they are the family and the highest working pensions according to the ZOM. So that was an additional puzzling circumstance. Even so, we managed to keep things under control. And I simply as one of the active participants can't thank you, and I'll probably do it again on the day that we pass the Liquidation Act and this Pension Fund that I don't thank all the participants in this business because it's a really big job for us, too. And there's really nothing to say that something was sold or that something went wrong, it went into the hands of those to whom it belonged, who were also damaged by the calculation because it couldn't definitely be done by virtue of the Constitutional Court's decision because it was about individual rights. And as long as it was in the sphere of collective debt returns, it couldn't have been settled. Thus, individual law could only be settled by calculating, individual calculation and individual compensation, so it is a complex and demanding job. And I say at the end of my presentation on behalf of the club, so I probably forgot something or I'll be reminded of the other participants in the debate, so I'll possibly say some more things in an individual debate. At the end of this presentation, I would like to point out once again and congratulate everyone on the sustainability, professionalism and goodwill and dedicated work in the realization of this project, I really believe that this is one of the projects of the decade in Croatia's recent history. Thank you very much. Excuse me, of course we'll support this report.
ParlaMint-HR_2017-07-07-0.u43915	Thank you very much, Mr. Hrelja. Mr. Shucker, first replica.
ParlaMint-HR_2017-07-07-0.u43916	I'm glad you reminded me of some things because this was the biggest payment in the history of the Croatian state. It was never that much money for something paid, however, it should also be said that the position at which the Republic of Croatia was at that moment was neither great nor contributed to this process for which there was a goodwill and practically political consensus to be made because at that time Croatia was under stand by arrangement with the IMF which dictated its story. We had precise plans to reduce the deficit, they threatened lawsuits, hundreds of thousands of Croatian citizens, and we had to find a model of how to solve it all together because let's not forget that these are all pensioners who went into retirement before practically entering the Income Tax Act when pensions were taxable. And once, in that old system, there was a pension contribution in that gross salary practically on retirement tax, and that was the reason why you asked for a model how to pay it all together, because if it were taxed then that story would have cost six, seven billion more. Also, I repeat the complete IPO Ine and the complete IPO of HT has gone to this purpose for the reason we hear all kinds of stories here, because at that moment it was impossible for the Republic of Croatia to be in charge. There was no money on the domestic market, the domestic banks had no money, and on the international market issuing bonds for such a purpose was simply impossible, because it would have been a terrible interest, and otherwise the situation was what it was. And that's why I'm glad the plates are made the way they are, that show everything. I say, that's what I said to the Committee on Finance, maybe we should show this financial structure so some of us might argue a little differently because no one sold national interests, sold family silver for something, but simply to return what belongs to them to Croatian citizens.
ParlaMint-HR_2017-07-07-0.u43917	Thank you, Mr. Shuker. Mr. Hrelja, reply to the replica.
ParlaMint-HR_2017-07-07-0.u43918	Dear fellow Shuker, I agree that it was a difficult time, that we were under stand by the IMF arrangement, however it was another story, yet the Croatian economy was on a kind of take-off and at the same time we had more assets than we had today, and of course we couldn't Alimentate it from the budget. I absolutely agree with you that when this pension fund was closed or the law on closure was passed, it should make real tables from the beginning to the end to see which property was settled, or sacrificed for the compensation of pensioners, but thus the rule of law was at its own price and that it was also the price of Croatia as a rule of law, that it respected the decisions of its Constitutional Court and that it was not only a dead letter left on paper because the decision itself would never have led to this realization that there was no law on the implementation of the Constitutional Court's decision and that we did not find a model of compensation through the pension fund, and it was not easy.
ParlaMint-HR_2017-07-07-0.u43919	Thank you very much. Another replica, Mr. Bacic.
ParlaMint-HR_2017-07-07-0.u43920	Thank you, Mr. Vice President, dear colleague of the Hrelja, for returning us a little days ago 12 years ago when this procedure took place even though the whole procedure was, as you yourself said, based on the decision of the 98 Constitutional Court. the year because of the fact that a single group of pensioners had not indexed those 5 years from '93 to '98. A year. At that time, as I recall, there were about 700 thousand pensioners, in 2005, who were supposed to enter this system, but I think somewhere around 450 thousand pensioners went into the process in which they were paid out of this fund about 10 and a half billion kuna. What I was about to say, but said my colleague Shucker, it is the fact that the money for insurance is a large part of the debt to the pensioners, made through the sale of the public initial offer, two, and perhaps the most profitable Croatian companies, both HT and INA, and that the fact that the government then decided to go to that offer so that debt could be paid to the pensioners, speaks sufficiently of the fact that it was highly respected and implemented by the legal state or by the Constitutional Court. Therefore, as we mention those days, I also want to remember that it was a time when it was not easy to pay off those funds, that it was especially when the last war went down in 2011, that it was a very difficult situation, that it was a time of severe crisis, that it was, however, out of the budget, that obligation that the Constitutional Court set out, that it was respected.
ParlaMint-HR_2017-07-07-0.u43921	Thank you very much for the reply to Mr. Hrelja's replica.
ParlaMint-HR_2017-07-07-0.u43922	Comrade Bačić, don't be offended, but then the then Prime Minister, perhaps this will act as a praise, had his own political goal, and HDZ had a political goal, and these were European integrations, we were indeed like HSU drivers, we insisted that this be realised. They would never have realised it themselves without the government, if we had understood each other, but just the same thing to say to everyone in this assembly, our three votes are and then replaceable because HSP then had 9 mandates in the Croatian Assembly and we were very much... but it was in the interest of the Republic of Croatia to prove itself as a legal state. [[The speaker doesn't understand.]] And of course it does not go politically in a direction that would move it away from European integration. So he was the skeleton of some thoughtful policy, and we should always take care of it. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43923	Thank you. Third replica, Mr. Babic.
ParlaMint-HR_2017-07-07-0.u43924	Thank you very much, dear Vice President of the Croatian Parliament. I apologize for your presentation, Mr. Hrelj, because we had a sign of genocide in Srebrenica at Šokčević's Hall, so perhaps you said so, and at the very beginning of your presentation without hearing it if it was, then an apology. In any case, at the very end of your presentation, you said that when the law is passed, you would commend people for a proper and professional job. And you have touched in one part of these current values of retirement since 1998, following the Constitutional Court's decision that ordered it at the time. However, there is a further emphasis to be made on that supplement, I don't know if you've talked about it, means retirement allowance and that 100 kuna plus six percent, which in 2003 to 750,000 pensioners amounted to 1 and a half billion, more precisely a billion 530 million kuna. Thank you.
ParlaMint-HR_2017-07-07-0.u43925	The answer to Silvano Hrelja.
ParlaMint-HR_2017-07-07-0.u43926	Yeah, I'm not an esteemed colleague. I didn't spread the story beyond the subject. There's today's report on the work of the Pension Fund. I've expanded a little in terms of the history of the fund, but not beyond that. Of course, the compensation was also in the account of those payments by 2004 which were made by two additions 0.5 to 20% due to the different retirement conditions introduced by the coalition government and 100 kunas and 6% that existed earlier and served as a collective debt to pensioners. Of course, that's what I'm going to say in an individual discussion through a calculation. For example, those who had a short period of damage were retired in 1997 and had relatively lower or medium pensions for them through the payment of 100 kuna and 6% as collective methods paid compensation and they did not exercise the right to this kind of compensation that went through the Pension Fund. Of course that's what we need to talk about. There were about 240,000 of them so now we're not going exactly, we're talking about exact numbers, but about 240,000 didn't come true because the calculation found that they got more through the 100 kuna and 6%. And it should finally say 100 kuna and 6% did not lose but was incorporated into their pensions.
ParlaMint-HR_2017-07-07-0.u43927	Thank you very much. Now Mr. Mladen Karlic will speak on behalf of the HDZ Club.
ParlaMint-HR_2017-07-07-0.u43928	Thank you, Vice-President of the Croatian Parliament, Honored State Secretary, Honored Chairman of the Management Board of the Fund, Honored Representatives of the HPB Invest, colleagues and colleagues. Here I am not going to be so easily spoken to as Mr. Hrelja, who is both a pensioner and an active participant of this Fund, and I will, of course, expect to be in that position. But here, I think there's a report in front of us that's really positive, which is extremely high-quality and well done all these years where I think we can be really happy. And of course the Croatian Democratic Community will also support this report on the business of the Fund from 2010 to 2015. The Retirement Fund Act has been adopted and implemented in order to implement the obligations arising from the Law implementing the decision of the Constitutional Court of the Republic of Croatia since May 1998, which has been governed by the compensation of pensioners. Under the law, a special pension fund was established from which the beneficiaries of pension and their successors from the first succession order, as is said, were paid the sums of individual compensation on the basis of those two models A and B, where the model A is the payment of half of the amount of compensation within two years and model B where it was paid over 6 years with two years of starting. What is extremely important is that the HPB Invest has done this job extremely well, since it is initially for members of the Fund to notify membership and the amount of the amount of compensation, statements on how to acquire and make available the shares in the Pension Fund for those who have the right to compensation, as well as notices in the calculation of the amount of compensation for those who do not have the right to compensation. The members of the Fund decided directly by law to choose the compensation model by selecting one of these two that we listed. The HPB Invest also calculated and allocated interest to fund members totalling 2 billion and 300 million kuna in such a way that the amount of interest was divided by the amount of compensation and thus attributed the amount of compensation to the members of the Fund. The attribution of these interest was made for the allocation of shares to the members of the Fund, and the total amount of compensation received from the number of compensations from the Croatian Pension Insurance Institute and the prescribed interest was converted into shares which, one kuna was one share. Before the conversion itself, in line with the selection of the Fund members' model, a reduction in the total amount of compensation was made by 50% for those who opted for the A model. In this way, a basic register of Fund members was established. What is also important to point out once again is that it is 19 November 2010. The Government of the Republic of Croatia decided at its session on the transfer of 2 million and 859 thousand shares of HT to the Pension Fund, which at that time had a price of around 283,000 kuna, which was slightly more than 809 million kuna. On 21 December 2015, the funds transferred from the Fund amounting to kuna 180 million for the purpose of payment of one-off cash amount, i.e. Christmas Day, so December 31st, the amount of balance on the fund's account is 9 million and 500 thousand kuna. What is also important to emphasise is that from the draft pension fund to 31 December 2015 more than 10 billion kuna has been paid for nearly 500 thousand members of this fund, or pensioners. Given that the fund has fully completed its task, I think that here we can really support, praise this report and prepare it means leaving here as it is said for some way to abolish the fund, since it has done its job, except for a few more court disputes, which will be, which is a small amount, and since 9.5 million kuna funds will be easily resolved. Here. Thank you.
ParlaMint-HR_2017-07-07-0.u43929	Thank you, Mr. Karlic. We have two replicas. The first one is Mr. Hrelja.
ParlaMint-HR_2017-07-07-0.u43930	I don't have what you're saying. I only have one comment. You've put me among the retired, and I haven't retired yet. On the day of the constitution of this council, 39 years and 4 days of internship. I hope to be a pensioner as well as our vice president and to be able to enjoy my retirement. You said everything else exactly.
ParlaMint-HR_2017-07-07-0.u43931	Would you like to answer that? You'll probably say it's just our desire to retire.
ParlaMint-HR_2017-07-07-0.u43932	I'm sorry, I'm already slowly hoping to retire, so I thought you were already... [[You can't hear the speaker.]]
ParlaMint-HR_2017-07-07-0.u43933	Thank you very much. Next line, Mr. Babic.
ParlaMint-HR_2017-07-07-0.u43934	Thank you, dear Vice President of the Croatian Parliament. Mr. Carlic, you said there are also those who have the right to compensation and those who do not have the right to compensation. Truth works, you should actually say it's so-called. The old pensioners in 2003 on behalf of these two things I said and those 6% were paid for about 3.8 billion kuna. But, so-called. New pensioners, this is the problem with the pensioners there was no correction of the current value of the assets. And it's actually a problem that weighs on many pensioners and what they're actually getting to know all the governments in the Republic of Croatia. Thank you.
ParlaMint-HR_2017-07-07-0.u43935	Thank you, Mr. Babic. He doesn't want to answer Mr. Karlic... In front of the Club of Representatives of the SDP. [[The speaker is not enabled.]] Here you go.
ParlaMint-HR_2017-07-07-0.u43936	Thank you very much, Mr. Vice President, colleagues and colleagues. With this report of some other small things, when we look at the total amount in the next period and shut down the fund, one story that began in 93 years ends, means nearly 24 years ago, when HDZ's Valentiæ government, in order to curb hyperinflation, decided to freeze salaries and pensions to Croatian pensioners. So these war years when Croatia was in trouble and the pensioners have endured, I would say one of the biggest burdens and financial ones to make things better in Croatia. This injustice began to correct in 2007, when the then government, by my deep conviction, was not out of noble intent to correct this injustice and theft that was done to the pensioners while Croatia at the same time had a privatisation salary in part 90's, so one was paid, pensioners and others were also taking away social property. These were not noble intentions at the time of the government, but it was simply an account that in the pre-election year had to be done, but it doesn't matter, I am satisfied, and I support those who took advantage of that possibility and as coalition partners at the time, but I am giving it to them for plus taking advantage of the chance that something that was wrong and what was then 14, 15 years was corrected by one law, model, so that then the pensioners would receive compensation, or their families. What is not good and what unfortunately follows this whole story, and I see that some have a little conscience, and they mention it with nothing caused, and I didn't mean to argue like that, but now I have to say, the injustice would be used to clean up a few more companies that were too valuable and to lose what Croatia is willing to pay dearly at this point. No one forced the HDZ government then and Mr. Shucker, who is here to settle the money for the pension fund and repay the debt to sell and transfer shares of the INA, HT, and I'm going to mention another Pliva company. That's not what we heard in the debate today, but also Pliva, so that these money can get to the pensioners, and basically, in order for the small door to be privatised by these companies to continue or finish. And then today we ask ourselves how did this have to do with the property of the Republic of Croatia in 2006, the seventh, eighth, ninth, when the Defence Fund sold its shares to MOL INA and thus allowed MOL to have close to 50% at the moment, and some speak through some hidden accounts and over 50% and manage the company as if it were exclusively their property, and the Republic of Croatia puts in a position that with 44% ownership there is almost no influence in that company. Why am I telling you this? Once again, I will say there was no need for this, nor for the transfer of shares of INA or HT because the commitments made for the Retirement Fund since 2011 were financed in an orderly manner from public sources from the budget, guarantees from the state behind the HPB Invest's task and not a small amount of money. Of the 10 billion and 200 million kunas, it is more than 3 billion kunas that were secured during that period so that these money could be paid to the end of all pensioners in the Republic of Croatia. So you have two models, one model is to take advantage of trouble, trouble and injustice, and privatize below the grains what could be privatized in Croatia and what was worth. You have another model, that as a responsible authority, you stand behind it and finance it from public sources. It is very simple to compare what is better for Croatia and what Croatian citizens think is better. If we were to do a survey among Croatian citizens now whether they want to sell INA, HT and Pliva, and now ten years later to buy it back, watch out for that nonsensus, they will still earn someone or stop immediately by indemnity from the budget, 99% of the people would probably be for this other variant made by the government of Zoran Milanovic since 2011. And one more thing when we did it? We did this in 2012 when GDP fell 2% leaving the result of the government of Jadranka Kosor and Ivo Sanader in the previous period, and in 2006 and the seventh certainly some of you do not remember, GDP grew over 4%, in 2007, even 5.6%. And then I wonder how it is possible to secure in an extremely unfavourable situation in 2012, money to the pensioners in the way that we did it, when it was a deficit after Mr. Shucker and the former government over 25 billion kuna when it consolidated... Mr Furio, I ask you to warn Mr. Shucker. [[The intruder doesn't understand.]] He's nervous. He's got a chance to lift up a replica, so let him say "sir," not "birtian" to yell out of the bench.
ParlaMint-HR_2017-07-07-0.u43937	Please don't continue, I'll be the one to do the damage to the Rules of Procedure, but don't go on. Please don't go on for all of us.
ParlaMint-HR_2017-07-07-0.u43938	Shall I not continue or continue?
ParlaMint-HR_2017-07-07-0.u43939	Keep reading. Here you go.
ParlaMint-HR_2017-07-07-0.u43940	Thank you very much. So it's very clear to make a distinction between one and the other. When the money was in 2006, the seventh one went to overpaid highways in FIMI Media, into various things, and it couldn't be secured for the pensioners, and then at the same time we went to INA and HT, that's one model. And the second model is that the state stands behind the government's decision, the law, the state and pays it out of public funds like the government of Zoran Milanovic did, and I'm sure people see it and I'm sure they'll know who did it properly and how it did it. Please, can I go on? You want to warn a colleague?
ParlaMint-HR_2017-07-07-0.u43941	I haven't even heard him honestly, but you can go on.
