Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62194	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	SDSS	Samostalna demokratska srpska stranka	Opposition	Centre-left	HorvatMile	Horvat, Mile	M	1959	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62207	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62208	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	MadjerMladen	Madjer, Mladen	M	1965	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62209	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62210	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VranješDragica	Vranješ, Dragica	U	-	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62211	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62212	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	LenartŽeljko	Lenart, Željko	M	1968	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62213	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62214	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VranješDragica	Vranješ, Dragica	U	-	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62215	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62216	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	MadjerMladen	Madjer, Mladen	M	1965	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62217	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
