ParlaMint-HR_2017-04-05-0.u25144	Are they interested in taking a break? There are. Representative Alexic.
ParlaMint-HR_2017-04-05-0.u35797	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35798	Comrade Boric, if you were watching my break the other day you could see that I had announced there an amendment that would cover, so an examination of the origins of the assets of those to which it would apply. However, when the prime minister called me half an hour before I saw the law, our legal team concluded that there was simply nothing to amend to say that the law could not be fixed, that this law would not guarantee that the interests I had previously cited would be protected. As far as the legal tools this country has are concerned, it has a bankruptcy law. Have you ever heard of it? Did you hear about the bankruptcy bill? Have you ever heard of the Pre-Fashion Bill and other laws as they are? Look at that. The other day, Judge Cookies told you. The Slovenian law has 500 articles in the pre-fashion settlement and there have been 12 pre-fashion deals. Ours had significantly less and there were as many as 5,000 pre-war deals. Have you listened to the State Audit report on these settlements how many people have been damaged? Ask your Minister Maric, the older Maric, who spoke here against the law that stated how much robbery was made during that time today I don't see him here. There you go. Thank you.
ParlaMint-HR_2017-04-05-0.u35799	Thank you. We move to debate on behalf of the SDP Representatives Club, MP Davor Bernardić.
ParlaMint-HR_2017-04-05-0.u35800	Dear Vice-Presidents of the Croatian Parliament, distinguished colleagues and fellow MPs welcome either students or students, students who watch us. Unfortunately, at this point in Croatia, perhaps the biggest crisis of independence is taking place. Every day lost for Croatia means a hundred jobs lost. We need to be aware of that. You have proposed and brought Lex Agrokor because that law is called with a completely uncertain effect for Croatian economic stability, for the Croatian economy, for workers, for suppliers, even for banks with a completely uncertain outcome. You are participating in an experiment that has not been seen in Croatia so far. You are looking here for five to twelve Prime Minister Plenkovic, correct the law with amendments. You invited the leaders of opposition parties fifteen to one on Friday to tell them the law goes into procedure at eleven. You haven't consulted anyone in this procedure, gentlemen of the government. You don't need anyone in this process. You want us to trust you. So how do we trust you? You knew for three months that the credit rating of Agrokora had fallen. What did you do for three months at the Ministry of Finance? For a year, the same minister was led by the Ministry of Finance. You had all the instruments to detect the situation in the Croatian economy. What were you doing? Nothing. How can we trust you? Maric one, Maric two, Dalic, Barisic. Well, there's hardly a minister in this government who's not under any kind of an affair. You're talking today because you couldn't speak to Mrs. Dalic in the INA case, and Mr. Maric spoke about the INA case, so he can't talk today. So isn't this actually tragic for you? Have you spoken to representatives of suppliers, vegetables, fruitcakes, hero producers, pig producers who have not charged a billion and a half of their claims? You're not. No one talked to them in that procedure. Has anyone spoken to the workers of Agrokor and related companies? It's not that either, because there's a dozen companies in the blockade today. 11,000 workers work in blocked companies, 3,000 in the press, 2,000 in PIK Vrbovec, thousands and a half in Belje, over a thousand in Jamnica and Ledo can't get paid because the accounts of the companies are blocked. Did you know that a cashier in Konzum who works for a small salary, a minimum salary in Croatia that you didn't even support here in the law of adopting a minimum wage law so that her salary is 300 kuna higher, can't buy a Easter ham for her family because she doesn't have a salary, and the question is whether there are any bons. In the past few months and days, we have seen facts about the parallel system of financing in Croatia come out, so Croatian citizens have a right to know about it. What did the institutions do to protect those who had already paid for it tomorrow 25 years ago, maybe pay the price of a new conversion and privatisation? We offered you and we told you, consult us, three months ago we said we were going to talk together about what we must do well for our country, but you don't need anyone. And not only that, but in this process you have led to the end and the last edge of the weakest and most unprotected, and these workers, these are small farmers in the OPG, these are small suppliers who cannot in any way be certain from this law that their family will be able to continue to work next month or that they will have to feed their family, not a single guarantee in this bill they do not have. And we gave you the option, the bankruptcy law of amendments that go to protect small and vulnerable, but also on the other hand to ensure liquidity so that workers in companies get paid. But no, you are going into an experiment that is very, very uncertain for the Croatian future. It is indicative of me today that there is no President of the Parliament here today, I don't know what kind of motive Mr. President of the Parliament has, but obviously what's happening to us in the neighborhood. In the last three months, you have been trying to convince us that in Croatia there is a more important INA commission that has not made a single decision, from protecting Croatian national interests. You're trying to convince us that it's important to have an education reform committee that hasn't made a single decision in the last year. It stopped the reform rather than continuing curative reform in schools, educational reform. Yeah, well, that's funny to you, Mr. Boric. Well, of course you think it's funny. The workers of 76,000 people work in Croatia for minimum wage and you don't have to go far, now I'm going to surprise you, go down to the Assembly lobby, people work for 2,400 kuna, 15 kuna is a big deal for them, here in the Parliament, today when the President of the Parliament has no minimum wage. 76 thousand you did not support it, that these are workers who work for 2,400 kunas they are irrelevant to you and even in this bill. I also see the media today that they're relativating this debate, I guess they want to charge themselves in some kind of next procedure, but it won't be good if the media keep quiet about the effects and consequences of what's going on behind the hill. This is an opportunity for the Croatian economy to be restructured, but not in a way that is going into an experiment with uncertain outcome, but for companies that have so far done business with national protectionism, with political power, with individuals at the top of the government, to now turn to competitiveness and make the effort that needs to be made to keep the market in Croatia healthy. And that won't happen unless the causes and consequences of this condition are known. Well, with the Commissioner's proposal, at least we expected you to allow him six months back for the acquisitions, for the write-off, for the accounting that's been going on in the last six months, maybe in that company, but you didn't see it coming in the bill either. We've seen something else that actually amazes us these days, heroes of liberal capitalism, heroes of the new age, managers begging for state interventionism in companies that are uncompetitive. I understand them, it's hard to explain to the workers that Mercedes is made fictitiously, and it's devastating that they still believe they can keep Mercedes, and let the workers be cared for by the state. Once Croatian citizens paid for conversion and privatisation, you now suggest they pay for it again. Do not put the debt of Agrokora on the back of Croatian citizens. You're looking for an alibi to call opposition 5 to 12. What did Plenkovic say? Your leadership, your responsibility. Do you have a lead? And you have a responsibility.
ParlaMint-HR_2017-04-05-0.u35801	Thank you. We have 16 replicas on your exhibit. So we start with the first. Representative Peja Grbin.
ParlaMint-HR_2017-04-05-0.u35802	Thank you, Madam Vice President. Dear colleague. This morning, I asked the Prime Minister one simple question, in my opinion, whether the workers of Agrokor, in particular the workers of Belje because they were very concerned about their situation this morning and asked what this law meant to them, whether it was someone from the government, when it wasn't already someone from Agrokor or someone from the banks who tried to explain what this law would mean to them. Do you know what answer we got? We got an answer from the Prime Minister that they were talking to the White Authority. The administration. The administration. So who created this problem? The administration, the management of the Whites, the administration of Agrokora. They care about the management of Belgium and the workers, who are already working today because they are no longer enough because Agrokor can't hire additional workers as he has done over the past few years, work 12 hours, for workers this government doesn't care. My dear colleague, you said yourself that it wasn't talking to the workers, that it wasn't talking to small farmers, that it wasn't almost talking to anyone when this law was being prepared, but you're wrong. Someone was talking to him after all. It was talking to banks and talking to big suppliers who are today advocating state interventionism and by yesterday, as called politicians, they were telling us that we should lead this country. They've been talked to, and that's exactly the core of the problem. And that's exactly why this law is the way it is. That's why trade unions have to write us that the problem of this law that workers don't protect, which workers won't be able to collect their wages, workers won't be able to collect their injuries at work, workers won't be able to collect anything. For banks all but for workers who cut them. Thank you.
ParlaMint-HR_2017-04-05-0.u35803	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35804	White 25 thousand acres, East Slavonia works, like little ants to feed their families. Nothing to anyone. A billion and a half kuna not charged with claims. The cardiovascular system of Croatia. If they leave, we'll have nothing to do with all the effort we've fought in peaceful reintegration. People, do you realize how big this problem is? And then comes the solution as an experiment. Either you're messing with the end or you're not messing with it, but you can't get half involved, have partial solutions, talk to the part, and for the part that's the most vulnerable in Croatia turn your head. And perhaps the taste is the answer to your question from a colleague of the coat of arms. They might care about management and the workers don't care.
ParlaMint-HR_2017-04-05-0.u35805	Thank you. Next replica, Agent Blaženko Boban.
ParlaMint-HR_2017-04-05-0.u35806	Thank you very much, well-respected Vice President of the Croatian Parliament. I am trying to do what has been happening now for the last two months to copy that God does not let this happen or always don't give God away, but that it has been going back two years, so that it will then react in the Croatian government and in the Croatian Parliament. In no way, it would not react, it would be left to the verse because I cannot in 27 years of this state and I have a few years to remember a single circular decision of the SDP and when he was in power or when he was invited to make some kind of circular decision for the Republic of Croatia. It's easy to wash your hands, yell if I'm in power to release the verse and lead to go and if I'm not in power, I'm against it. You know why I believe in this law? Because against this bill are the laws of the bank, the owner and the SDP. It is a comfort to me that this law will ultimately be very good and that, I sincerely hope it will help these companies that do not give God as Agrokor now gets into trouble. So I will support this law from the heart and advise you to give a little coordination, give you a little bit that this Croatian people remembers you for something, by some crucial decisions, or at least by participating in some crucial decisions with a position in this case so that in 2, 3 or 5 years it is said and we raised our hand for this law. Thank you.
ParlaMint-HR_2017-04-05-0.u35807	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35808	Do you know how much debt is owed in Croatian health care? Over 7 billion kuna. He's grown 2.5 times over the last year, 2.5 times. Did you know that drug dealers are canceling? So do you know that we can have a stampede in the health system, a chain of indifference that opened up. Are you aware of that? In a year. Same minister of finance. The same finance minister that didn't know what it was about. How can I tell you? Well, I mean, that's totally amazing. Yes, there were problems and there would be problems and no one said it would be easy and there would be no need to polish the problem. But what's important is to say, the people of my year are the same minister of finance in position. So did we solve the shipbuilding when no one expected it? We've solved the shipbuilding. And what are you offering now? An experiment in which you say, they disagree. So how do you know they don't agree? Well, the banks agree with that. In this process, the only people who are not consulted are the workers, the vegetables, the orchards, the hero producers, the pigs, the smallest ones, the smallest ones, the ones in this process are not consulted. That's the problem.
ParlaMint-HR_2017-04-05-0.u35809	Thank you. Next replica representative Domagoj Hajdukovic.
ParlaMint-HR_2017-04-05-0.u35810	Thank you very much, Madam Vice President. My colleague Bernardić, I agree with you when you say that it is tragic that at the moment we are discussing the biggest crisis in Croatian history, economically definitely the largest, I would dare say the biggest of the Homeland War the solution that is offered is half the solution, the hasty solution, something that breaks over my knee, which is almost forced. What bothers me and not just me is that the state is given the opportunity to interfere in private-legal relations as we have heard here many times, debtors and creditors and realizes a crucial influence, political influence and it is not good when we talk about the economy. The economy should be protected differently by colleagues and colleagues from HDZ and MOST who have been acting responsible for Croatia for two years because you act as a government, which is to disable monopolies, that is to ensure the collection or respect of currencies or what is written in the account. To be involved in safeguarding the liquidity of the entire system, etc. etc. But the state takes its own right away. As soon as the bill is issued, VAT is charged, and when it will be charged to whoever delivered the service or delivered it to the country practically does not care. But what concerns me most is my colleague Bernardic, and you just mentioned what's going to happen to Slavonia? White? Vupik? PICK Vinkovci? Zeduce? That's over 3,000 people, 3,000 jobs for Slavonia. Do you know what it means for Slavonia, who is already devastated like this? That means another 3,000 tickets to Dublin, Germany. This means another 3,000 families who will think about the future outside Croatia. But what about the little suppliers nobody mentions? Small producers in Croatia who depended on Agrokor, who do not have their own raw materials to sell to others. This law doesn't solve it. He's not giving any answers to this. It's tragic colleagues and colleagues.
ParlaMint-HR_2017-04-05-0.u35811	Thank you. The answer to the replica? No, I don't. Thank you very much. Next agent, Miro Bulj.
ParlaMint-HR_2017-04-05-0.u35812	Thank you very much. It is natural for my colleague Bernardić of all of us to have feelings for producers, farmers, small OPGs, but the fact is, I don't understand what you were going to say if we save VUPIK, Belje and other suppliers, if we try to save it, we keep the team jobs and everyone who works for them. But the fact is, you're talking about a billion and a half kuna to those people, huge money. Do you know the fact that your Minister Jakovina funds from the EU funds that were supposed to go to our OPGs went to Drito Todorovic in his pocket. That's why it moved out of Slavonia 50,000 people and it's really a big problem that you were saying, it's nice to hear you. You just missed the whole balloon. For what? Here we must jointly protect against everything that has been done in the last 20 years, and SDP has been in power for eight years. Is it possible to buy and you can take four seats in the Parliament? Is it possible that Agrokor buys Mercator in 2014 and so is the debt and today we are in this situation. What was the government doing then, the CNB, Secret Service Security? They'll be watching whoever's talking about your party president or what I told him in Sinj when he came or someone else. So here is everyone's responsibility to preserve our national interests. 60,000 dairy producers were, today we have 4600 and that's in the last 5, 6 years and you've been in power. Therefore, here we need to find a solution to reject the Kingdom of Alvarez, and that Slavonia remains Croatia's main production branch. Thank you.
ParlaMint-HR_2017-04-05-0.u35813	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35814	Dear fellow Bully, most certainly regulatory bodies, a large number of them have failed on this case. But you seem to be trying to prove yourself visible and say that we've been MOST, and we've been together for the last year and a half with HDZ both in the last government and in this government and you're trying to commit your destiny, the fate of the Most for the fate of the HDZ on this case. That's okay. That's legitimate. But I'm trying to say don't stick your head in the sand in front of those people who didn't get that little charity in Slavonia and all over Croatia for which they work in the heat. Don't stick your head in the sand! Don't participate in an experiment that can be tragic and devastating for the Croatian economy, that's what I'm trying to tell you. You decided to participate. Okay. It's important to participate.
ParlaMint-HR_2017-04-05-0.u35815	Thank you. Next replica representative Grozdana Peric.
ParlaMint-HR_2017-04-05-0.u35816	Dear fellow Bernardic, you had a very inspired discussion with the goal of really fascinating the public about what was going on. However, I think that this government, these ministers who worked nights to find a solution, were not so dependent on making those solutions. Indeed, they were concerned that this company was primarily a manufacturing company, that this company is 95% owned by a private person which is not negligible and that this particular government has made those who should have found this solution much sooner to think about all this, about production, about producers, about small suppliers, about large suppliers because it doesn't matter when the exposure of a single supplier is 12, 13, 20%, 30%, for example, one of the suppliers in total claims. So it certainly wasn't easy and easy for them to think about how to force these very people who were well paid to realize that finding a solution depended primarily on them, and with this government did it to rush them because they had to do it yesterday. So you can't say that in this way this government is bringing anything harmful but really trying to find the best solution without turning into a classic state interventionist to make this company which has a responsibility to do so. [[Intruder Opačić: Time.]]
ParlaMint-HR_2017-04-05-0.u35817	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35818	I'll agree with you in this section that you said you were supposed to do yesterday. Yeah, they were supposed to do that yesterday, they were late, and that's the main and the main problem. When we warned, we provided the hand of the dialogue, there was no dialogue but now five to twelve are trying to put everything in the same basket and give an alibi for something that no one knows the consequences for the Croatian economy. You mentioned 14% of the exposure of some companies, so some of the biggest Croatian suppliers are exposed to Agror and up to 70%. So do you know what that means? With 500 people this month who suffer for wages before Easter, the greatest Christian holiday.
ParlaMint-HR_2017-04-05-0.u35819	Thank you very much. Next replica representative Mato Frankovic.
ParlaMint-HR_2017-04-05-0.u35820	Dear colleague Bernardic, actually here today we've only heard a hint, there's no solution. You didn't offer any of your suggestions. What are you offering? You are a colleague of Bernardić's leader of the opposition, we are, as counterpart Hajdukovic said, at these times in one of the biggest problems in Croatia since the Homeland War. You, as leader of the opposition, also bear responsibility. Today the law that is being offered is exactly the law that will allow the state to start solving the problem that has happened and therefore please offer a solution. What is the solution of the opposition leader? One more thing you said that rang me that way, and that was that the citizens of the Republic of Croatia had already paid for the conversion and privatisation once. And you forgot they paid her twice, and the second time he was through the pre-fashion settlement process.
ParlaMint-HR_2017-04-05-0.u35821	Replication response.
ParlaMint-HR_2017-04-05-0.u35822	Thank you for believing in me. At first, we offered you solutions and we told you so. After you had already sent the law to the procedure, so you sent the law to the procedure on Friday at three o'clock, not consulting anyone or calling the presidents of the parties from fifteen to one and fifteen. Yes, we said, change the bankruptcy law, secure liquidity, i.e. Superior funding and prioritize so that small suppliers, farmers come first for the purpose. Yeah, we also said worker protection during the procedure, here's an article, two articles are there. We said the possibility of canceling the lease contract, here's an article, here's because one of the big problems is the conclusion of the unrealistic... real estate arrangement. For this reason, we have proposed the adoption of a new article that would have just disabled the orientations in relation to work. Here's an article, an obligation to maintain small domestic producers and pay up to a million kuna, so you slept through it. Here's an article, an obligation to an extraordinary commissioner to make detailed financial forensics of all payments and alienation of assets in the last six months. Well, we can't behave now that someone's in there with the government commissioner and then they'll forget everything that's been going on for the last six months, and the last... six months of the tarrapans. Who knows what's out there. And that's why we asked for the establishment of a parliamentary investigative committee, to determine the facts.
ParlaMint-HR_2017-04-05-0.u35823	Thank you. Next replica representative Josip Boric.
ParlaMint-HR_2017-04-05-0.u35824	Thank you very much. Comrade Bernardić, my first impression after your debate is that you are offended because you were not informed in time of a problem that you knew something about three to four months ago, if I understood correctly. That's how I realized because you said you've known for several months that the government was doing nothing, but that you were getting ready, and for today you came ready after a few months. But good. Two important things, so we've already been through a similar procedure here in this House, the famous law on pre-profit deals, comes fellow Linic here and says this is our tool to solve the problems of liquidity, thousands and thousands of blocked non-payment companies, etc. He suggested the following, the debtor, the believer, the Ministry of Finance, the IRS and the public notary are sitting at the table. We ask him where the court is, he says we'll see. We've fixed that law a few times. The SDP says perfectly, we adopt, we go into the process and it lasts until today, the Law on Pre-price settlements. We offer better now, but you say it's no good. We say, we want the state to have the cards in hand to play, that it has its own plan, if it doesn't pass this plan that you stand for, that the bankers themselves do it. And I'm sorry that you're at that level in that sense because you told us here that we're agents of the banks. It's just that your disagreement with lawmaking makes you feel that you're just the bank agents, and you might want to think about your role in all of this because it seems to me that you're wrong, and this country needs a moment and a start. I think that's what this law is offering right now, regardless of our differences, whether it was five to twelve, whether it was on time, if we could have avoided something before because if you knew it all, let's offer us your solution that you've been preparing for a few months and just three points, just three points that you stand for.
ParlaMint-HR_2017-04-05-0.u35825	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35826	First of all, I'm not offended, I'm sad, I'm sad, and my heart hurts that this had to happen this way. Those three months... Well, we didn't know, if we knew for sure, we would certainly be putting pressure on the institutions you've been running for the last year, a year and a half that they didn't know, for example, the Ministry of Finance, the tax administration. [[You can't hear the intruder.]] How come these institutions didn't know? Agent Banks, I certainly didn't do it, and I believe neither did you, but if there were any, they certainly are. If you have any objections, and if you have any objections to any law or pre-determined. So why haven't you offered to amend that law in a year and a half? Could you offer them? So look, could you offer a change? You've mentioned what's wrong now, but you have a year, a year and a half, all the instruments, you haven't offered any changes. How can I tell you?
ParlaMint-HR_2017-04-05-0.u35827	Thank you. Next replica representative Franco Vidovic.
ParlaMint-HR_2017-04-05-0.u35828	Thank you, Vice President. Dear colleague Bernardic, I agree with your presentation completely. And during your presentation, you mentioned accounts of companies that were blocked only by Agrokor concert. However, what's a bigger problem and we haven't talked about here so far except for small suppliers, except for large suppliers, other than trasated bonds and the like is that this crisis is slowly spilling over to other companies, companies that are not part of Agrokor's concert but are linked to their business with Agrokor. And it is a real danger to the Croatian economy. And that is what the Croatian economy and Croatian gross social product draws towards the bottom. So this growth we've had so far he'll probably fall now, gentlemen from HDZ on the other side too. 70% exposure to the company, so only incompetent administrations can do that. It's an honor to our managers in Croatia, but these people are simply incapable. And now they say, we passed this law, we brought you this bill because we talked to who? With management again within Agrokor concert. They caused the whole crisis. Why didn't you talk to someone else? Why didn't you talk to the suppliers that the MOST likes to basement small suppliers, farmers, the OPGs, but you talked to who? With Todorovic again. This law is the protection of the great boss of Todorovic and the purchase of time so that in the next 15 months he may be dislocated to some interesting South American state. Thank you.
ParlaMint-HR_2017-04-05-0.u35829	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35830	Dear Representative Vidovic, above all I fully understand your concern, for jobs unfortunately not in the county where you come from, it is Sibenik-Knin County where thousands of people left their homes and counties last year, Sibenik-Knin County, which looks better with its looks and potential than the Caribbean and on the list of Adriatic counties is last per GDP. And this all you've been saying about opening new jobs that you're trying with a detailed plan that I've had the opportunity to see in your county is something that I think in Croatia we all need to be aware that in this way and that's semi-interventionism with uncertain consequences we can't solve. Therefore, full support for that programme you are propagating, which you are offering to protect people who are leaving in an increasing number, especially the interior of that beautiful part of Croatia.
ParlaMint-HR_2017-04-05-0.u35831	Thank you. The next replica of Ivana Ninčević-Lesandric.
ParlaMint-HR_2017-04-05-0.u35832	Thank you, Vice President of the Croatian Parliament. A colleague Bernardić, according to the available financial data from 2015, is 10 companies that fall under this law meet the criteria of systemically important companies for the Republic of Croatia. These are companies that, if they come into financial difficulties, I think it's clear to all of us that the whole state is shaking and that this law is trying to prevent the possible collapse of the economy in that case. I will repeat that these financial reports are available from 2015. So these companies were developing and doing business in 2015, '14, '13, '12, and '11. And you made yourself available a month and a half ago. And where were you in '15, '14, '13, '12, '11? I don't understand why you didn't send the competent institutions to do your job then. And number two, I as an economist and entrepreneur, and it's exactly a small, or micro entrepreneur, can only tell you that you're economically and entrepreneurialally totally executed if you don't realize that just by saving Belja all those small suppliers, entrepreneurs, OPGs and craftsmen are being saved. And three, please don't insult the only man who has the courage to file a criminal report which is not in his workplace because of the disease. Thank you.
ParlaMint-HR_2017-04-05-0.u35833	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35834	First of all, I didn't insult anyone. I just said it was indicative of me. There's probably a reason, but it's indicative. As for White, yes, 25 thousand acres, thousands of small subcontractors, subcontractors. So we're strategically interested in saving it, not selling it out. Because some in Croatia would like to watch a rerun of what's going on, it's been going on in the '90s, and that's, you're insulting the company, you're tearing down the value of the property, and then you're looking for gold coke and you're bringing out gold coke. That's what this is about. And what were we doing? Well, you don't mean, you mentioned system companies and employees. So what's next now that you're, I mean, I didn't realize the intensity of your intervention in the debate. What are you up to next? Break into Zagreb Holding? Break into HEP this way? You said he had 10 companies. Is it a plan to get into each of these companies? You have to explain it to me.
ParlaMint-HR_2017-04-05-0.u35835	Thank you. Next replica representative of Gordan Maras.
ParlaMint-HR_2017-04-05-0.u35836	Thank you, dear colleague Bernardich. This is a top problem in the country today. I will point out once again that apparently Prime Minister Plenkovic behaves as if it were another day in the office. He was here till before noon, went and asked God what he's doing right now. Maybe he's eating these chocolates that his colleague Vujcic gave him, resting, thinking about those things. But what's important here is to tell people, it's important to say that at this point we're being watched by 25,000 people who've been blocked by companies who don't know if they're going to get paid this month. And that's why someone needs to answer. You have to take responsibility, you have to give certain answers. Is the Prime Minister and Deputy Prime Minister and Prime Minister Plenkovic ready here? Are they willing to take responsibility if these people wait another month's pay, and they knew everything. Because the minister said she personally analyzed those companies' HBOR reports. And we haven't received an answer yet whether the HBOR money was paid to companies that were blocked after two months. I would like the Minister here to say whether the HBOR has paid that money or not after granting the loan, to hear very clearly those answers and how it is possible that the HBOR analyses did not establish all these risks that took place today. And is it possible that anyone in Croatia believes Minister Maric had nothing to do with this. Is that possible? Do you think people who watch TV today believe? So who are you kidding? Well, people aren't naive. Everyone knows how things work unfortunately with HDZ, and on that side, I think Prime Minister Plenkovic and Parliament President Bozo Petrov For those 25000 families were obliged to sit here all day long. [[Intruder Opačić: Time.]] Not looking out here somewhere from the chair. [[Intruder Opačić: Time.]] Maybe eating the chocolates that Wolfie gave in Mostar. [[Intruder Opačić: Time.]] Thank you very much.
ParlaMint-HR_2017-04-05-0.u35837	Thank you very much. Comrade Maras, I'm asking you nicely for 19 seconds you've gone too far. So I'm not letting anyone because it's too many replicas and this is the second club we have today. So it's almost half past five. I'm asking you nicely to stick to the time. Next MP, Agent Stevo Culej.
ParlaMint-HR_2017-04-05-0.u35838	Dear vice presidents, colleagues and colleagues. Comrade Bernardich, when you say it, it's your fault, then we say it's your fault. And it's all our global fault, and I'm from this back bench, and I see you all around, you're all innocent to me until I come to each and every one of you and then I find out. You've done something wrong, Bauk has sinned, Maurus Ivanovic and every row. I've found for everyone here where he's sinned. And we all know here about each and every one of us who has sinned in the past. Right? And now we're discussing it in front of our people and 25000 possible blocked or not and we're discussing who's gonna like it better on the camera so that it or who's gonna get more like it, who's gonna go live like our co-worker who swings students here in the halls. But says lex Agrokor or lex perkovic. Lex Perkovic designed to protect only one man who...... No, the first one's Perkovic. [[I don't know what you're talking about.]] I wouldn't move my index finger for him. I wouldn't move a small finger for this one if his fate wasn't linked to thousands and thousands of Croats and Croats in our country. Furthermore, when I look at your great concern, taking care of all the little OPGs who are going to fail, not charge their goods, they won't be able to pay their directors, so I wonder where was that worry when my colleague Jakovina gave his first associate, i.e. His wife's O.P.G. 2.78 million kuna grants to resuscitate his O.P.G. Where were all those little OPGs that were supposed to survive with that money or when he gave both Todorovic and all the others who got 70 million kuna for recovery? Thank you. [[Intruder Opačić: Time.]]
ParlaMint-HR_2017-04-05-0.u35839	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35840	So, what are you guys mad at? So I didn't tell you it was your fault? A big part here that's in Parliament and on this side probably isn't guilty, but it could be if it takes responsibility for one of the experiments we found ourselves in. You don't have to feel called, but my question is that my colleague Glasovic just threw something out of my bench. Yeah, until the 1990s. Oh, my people, the whole problem is that until the 1990s, those who ran the game, ran the game after the 1990s. It's a taste of trouble. So did you, did you listen to Mr. Whiteman? I don't think he could have explained it more plasticly and clearly. Did you fight in the Homeland War to house state property? I believe you didn't. That's what we should be aware of here today.
ParlaMint-HR_2017-04-05-0.u35841	Thank you. Next replica representative Branimir Bunjac.
ParlaMint-HR_2017-04-05-0.u35842	Thank you very much, Reverend Bernardic. You're right when you say that this whole situation has rooted in the operation of HDZ governments, just as you're right when you say that Minister Zdravko Maric definitely knew what was going on in Agrokor and it's not right that until the last moment he was hiding the real truth. However, the SDP had a government from 2011 to 2015 and then everyone responsible could know very well what was going on with Agrokor. Here are the publicly available analyses of Slovenian economists from 2012 when Mercator was bought that Agrokor would fail within 3 years, from 2012. This has nothing to do with the Most, or the HDZ. In 2015 Agrokor faked his balance sheet, they did not include companies in the Netherlands that bought Mercator, which were extremely in charge. What did you do then? When we look at government reports in the period of the government of Zoran Milanovic, who gave Agrokor state subsidies, each year 100 million kuna and more? Who allowed him to mess with transfer prices, be late with taxes, get his tax debts out of date? So you had, this isn't a story of the last three, four months, this is a story that lasts just like you said before and you said it yourself from the time of the former state, and it continued in this country. You knew very well, you were all waiting for the last moment and now instead of acknowledging the shared responsibility I am now listening here to the outwittings of the SDP and HDZ who is more guilty. You're guilty of both, some of you are a little more, but so are you. Thank you very much.
ParlaMint-HR_2017-04-05-0.u35843	Thank you. Replication response.
ParlaMint-HR_2017-04-05-0.u35844	Dear Mr. Bunyan, it only seems that you knew what was going to happen. You say the Slovenians analyzed that Agrokor would fail, so they bought it, after they realized that the collapses bought it. So please be serious. What are you talking about here? So do you know what the situation was in 2011? Individence, economic downturn, debts, unsolved Swiss problem you're up for. But we've settled it, you're late on that train, I'm trying to tell you that you need to get the debate back to gravity. Yes, support for rural development is something that must be no matter which government is in power because we cannot allow what we want to get past as a river cloth by this law, which is a devastation of rural space. 25 thousand hectares of white, seven thousand hectares of Vupik, seven thousand hectares of milk, and my men are all connected. Well, it goes down like a ticket tower if something moves tectonic. And this dances on the edge, and that's why we begged you for seriousness. Three months you know what's going on, a year you might know what's going on, there's no reaction, solution five to twelve, zero, here on the table take it or leave it. That way you can't work a dialogue, and then you can't have a consensus.
ParlaMint-HR_2017-04-05-0.u35845	Thank you. Next replica representative Sinisha Hajdash Doncic.
ParlaMint-HR_2017-04-05-0.u35846	Thank you very much. Col. Bernardic, therefore, is threatened by the Croatian financial system, not just the food industry, not only... would it not be normal for the Minister of Finance to sit here today, and not for this to look like a bad soap opera changing the minister. One is responsible for the INA, the other is responsible for Agrokor and vice versa. I'll repeat why the bill favors large capital and wealth, not workers. It's very simple, the total debts are 45 billion kuna, of which the exposure to banks is 22 billion kuna, plus the factoring 2 billion kuna, so it's enough that banks together with larger suppliers in the religious council process simply throw everything out. So I repeat what you have pointed out, the appeal that the existing changes are changed through the bankruptcy law, with two novels, so the active role of the state and the clusterisation or division of suppliers into groups where everyone decides on their claims.
ParlaMint-HR_2017-04-05-0.u35847	Replication response.
ParlaMint-HR_2017-04-05-0.u35848	Thank you, counsel. That's what we as responsible people suggested together when the water came to the throat, five to twelve after Friday. And your question is essentially that small suppliers, farmers, warlords, gardeners, heroes were not received at all by the government or consulted in the process. You asked, the answer is silence against those people who feed their families and who protect the rural area in Croatia. The Croatian financial system, you mentioned ministers, is the whole problem, as we can believe on this proposal and example of the government when we have a minister who defends the bill that was meant to defend the minister. When we're on the INA case of the same minister defending the bill that was supposed to defend the minister. When we have the Minister of Education for which the Parliamentary Committee on Ethics said what he said, when we have Mr. Minister Maric, who intervened already in the food industry of Maric the second. How, therefore, can we put our trust in this system on this basis? Perhaps it would be best if now that Mrs. Dalic is here, she answered how the INA Commission is progressing and where we are in the phase of the purchase of INA shares.
ParlaMint-HR_2017-04-05-0.u35849	Thank you. Next replica representative Branko Bačić.
