ParlaMint-HR_2017-11-29-0.u55794	One break on national security.
ParlaMint-HR_2017-11-29-0.u55816	Okay. Here we are. There have been elements here of the breach of the Rules of Procedure on all sides, we will not go with the warnings now, but I urge you once again, not to do so, therefore the Rules of Procedure should be amended, since it has not clearly defined certain situations. I will try, together with all of you, to define all of the ambiguities that we have, so that we can work much clearer and more transparently. We now move to the agenda: - Final proposal of the Law on Amendments and Supplements to the Law on Local and Regional Self-Government, Second Reading, P.Z. No.215. The proposal is proposed by the Government of the Republic of Croatia, pursuant to Article 85 of the Treaty on the Functioning of the European Union. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply. Amendments may be submitted by the end of the debate, Art. 197. Rules of Procedure. The debate was conducted by the Committee on Law, the Committee on the Constitution, the Rules of Procedure and the Political System, the Committee on Local and Regional, Regional Self-Government. He would now ask the representative of the proposing, the respected Lovre Kuštević, the minister of administration, to give an additional explanation of the final bill. Here you go.
ParlaMint-HR_2017-11-29-0.u62573	Thank you very much, President of the Croatian Parliament. Fellow Members and fellow MPs, parliamentary representatives, Mr. Secretary of State Nekic. Here is a draft Final Proposal for the Law on Amendments and Supplements to the Law on Local and Regional Self-Government. As the President of the Croatian Parliament pointed out in the introduction, this bill was held at a session of the Croatian Parliament on 15.11.2017. After that first reading, the draft final bill was prepared and sent to the Government of the Republic of Croatia for further action. I thank you again for that constructive and good debate we had during our first reading. On all the remarks, the suggestions we received on all the council committees, and here's this opportunity I'll pass on to you, i.e. to present what the Government of the Republic of Croatia has based on all these remarks and debates accepted and implemented in this final draft law that I believe you will support here with a great majority at the next vote. First, the rights of a councilman relating to council fees here we left, of course, a provision that the employer is obliged to release a councilman who is a member of a representative body, so on that day, an unpaid day off so that he can attend a session of the presidential body. But we've abolished, we've thrown out that provision that says that council fees are governed by this law. In fact, we had observations both in the parliamentary debate and on the committees that it was simply too much injure of the legislator in power and in the autonomy of the unit of local and regional self-government, that they themselves can and must decide on the amount of compensation, the way in which the compensation is paid, and we deleted that provision and left it to the representative authorities to make their own decision on the height and manner of payment of the council fee as well as the presence at the working sessions of the representative body. As far as we had criticism that, we talked here lex sheriff, lex Pharaoh, lex this, the one to strengthen powers, to prevent the representative body and citizens themselves from calling off the leader, and that is why we have made it possible for the vote to call the leader's recall not to call it only 20% of the voters in that local, regional self-government unit, but that this same referendum can also be called on the proposal of two-thirds of the members of the representative body. Why two-thirds? That's where we pulled the analogy from the Constitution of the Republic of Croatia. The same provisions also apply to the President, or President of the Republic of Croatia. I don't think a smaller number than two-thirds would be good, I don't know the type of super-half majority, so that it would just introduce that political instability to have a few dozen next year, if not more referendums, and of course that means great costs and certain political instability, and we're betting that this is exactly the kind of provision will satisfy the increased influence of the representative body and increased influence and citizens, and the conditions for political stability will be met. As far as point 3 is concerned, these are early elections in the event of the termination of the term of office of the municipal chief, mayor or mayor. So, in the event that the head of the mandate ceases after two years, then after half of his term of office, his post is assumed by the deputy. If the deputy for some reason ended his term, the first proposal in the first reading was that the elections would not be called if it was 12 months until the regular elections. Now we've thrown out that 12-month deadline and left the election not to be called if it's the election year. This is also because there was a legitimate observation in the parliamentary debate that the government is thus overly involved in the work of the local self-government unit, that the government commissioner of these 12 months will lead the municipality, the city or the county, and of course it is not an emergency for the government, but rather for citizens themselves to choose who they think will best lead them. Today, a procedure has been carried out on the parliamentary committee, in the event that we have two deputy mayors, mayors or mayors, and when that deputy is suspended, the first deputy is whether extraordinary elections are going. Here we think there's no need to enforce the law. We have consulted with our professional services at the Ministry of Administration and the position is as follows, that if the head of office stops, he will be replaced by the first deputy from the list. So, first deputy. If the first deputy ceases his post, the second replacement takes over, and if the second deputy ceases his term, then the Government of the Republic of Croatia will appoint the commissioner and call the elections, of course, if it is not the election year. So it's analogy and, of course, we can put it there in writing, and we don't think there's any need to implement it in law. We also changed in the draft law that decisions on the appointment or resolution of members of companies owned by units of local and regional self-government must be published in the official messenger within 8 days of their adoption. There was therefore a legitimate observation that this would generate additional costs to units of local and regional self-government, since it would often have to publish official messengers within 8 days and later perhaps again within 5, 10 or 15 days after the regular assembly was completed. Here is how we would not initiate these costs we changed the provision in such a way that these decisions must be published in the next number of official messengers who follow things logically here to avoid multiplying this job and this cost of printing official messengers. We also stated in the proposal for a law that the president would be able to be resolved if the need for a president's resolution stems from a change in the structure of the administrative bodies of the local and regional (regional) self-government units, or if such reasons arise which, according to specific regulations governing official relations, lead to the termination of the work of the head's post. We did not contain such a solution in the final proposal, we threw it out just so it would not be me to say trigger, so as not to base certain leaders, so that the mayors, mayors or mayors would initiate a change of head so as not to politicise it. We have also introduced that, in the discharge of the municipal chief, mayor or mayor because of the failure to submit or withdraw the draft budget when the new mayor, the mayor, took office, was not defined in the first draft of the law within which time he must submit the draft budget and within which time the representative body must accept it. We have now clearly defined, so the new mayor, so the new mayor, after the extraordinary elections, is obliged to submit the draft budget within 45 days, and the municipal city council or the county assembly is obliged to adopt it within 45 days. If that doesn't happen then we have called for an extraordinary election to be called for both the representative body and the mayor, the mayor or mayor. And therefore, in the belief that this law will really help the quality of the work of the unit of local (regional) and regional self-government, that it will contribute to political stability, that it will contribute to the better influence of the representative body and citizens on the work of municipalities, districts and cities just so that this law will come into force as soon as possible, in order to make its benefits useful in real life as soon as possible, we have changed the provision of an item relating to the entry into force of this law. In the draft law it was eight days from the day of its publication, we have now put the day after the announcement, here I repeat exactly to begin with the implementation of this law as soon as possible, in order to get the positive effects that this law will result in. Here I am using the opportunity to finally mention that indeed the Government of the Republic of Croatia is systematically accessing the units of local and regional self-government, it is not by chance that after this on the agenda of this House of Commons and the Law on the financing of units of local and regional self-government that brings significantly more resources to units of local and regional self-government, so that this is one systemic approach, two laws that will significantly improve the status of municipalities, districts and cities, enable their better work, better funding, and for the benefit of all citizens living in these units of local and regional self-government. Here we are, of course, at our disposal for further interpretations and misunderstandings. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62574	Thank you, Minister. We have nine replicas. The first is the honorary colleague of the afternoon. Here you go.
ParlaMint-HR_2017-11-29-0.u62575	Thank you, Mr. President. Your Honor, Mr. Secretary. I'll start from the end of your presentation, and you've finally exposed the legal changes. You also said something about the entry into force of this law with an argument that you want the law to come into force as soon as possible to show its positive effects as possible. I don't know if any legislator would ever talk differently about the law that was proposed but that he wanted the positive effects of the law to be shown as soon as possible. However, this is not a particularly justified reason for the entry into force of the law on the day following its publication. So you maximumly shortened that constitutional deadline, which normally requires that the law enters into force eight days after the publication in the National Journal, so practically the law will enter into force the second day after the publication. This law that we've called different and lex sheriff, I think it's actually lex express or lex ex. I don't know in these two years the law that we've passed in such an emergency procedure to take effect right in the middle of the budget process that is now taking place in all units of local self-government. You are well-known as the Minister that in 2007 your party also passed the Law amending the Law on Local Self-Government which did not take effect in that term, but that the direct election came into force in 2009, as well as the other amendments to the laws which have essentially affected the system did not enter into force in that mandate, that they are changing the rules of the game that were in force at the moment when the citizens were elected by the council and when they elected mayors, you are now changing the rules of the game in the midst of the term of office, which is what is not in accordance with the Constitution, and it is certainly someone who will be quick to dispute before the Constitutional Court. Thank you.
ParlaMint-HR_2017-11-29-0.u62576	Does he want to answer? No, I don't. Then let's go to another replica, dear colleague Sagar. Here you go.
ParlaMint-HR_2017-11-29-0.u62577	Thank you, President of the Croatian Parliament. Dear Minister Kuščević. “ It doesn’t matter where the wind blows, ” says one proverb, “it’s important how we set a sail. ” In the Republic of Croatia today, according to DZS announcements, there are very favourable winds. We've got one law here, I've last said in a debate that cements the existing state. So your basic argument was to stabilise the authorities that there was no unnecessary election, to specify the procedure that could be at all the municipal chief, mayor or mayor of the city. And that kind of caused different interpretations in the public. Some believe today they can't wait for this law to be passed, some are against this law. But what's more important to me, and I'm sorry you didn't talk to me last time, and I'm asking you to answer me now. When we talk about single administrative departments in municipalities, I think this law is in that part the most important thing that it brings, and these are the changes that every municipality, regardless of the number of inhabitants, can form except, so it doesn't have to be a single administrative department anymore, but it can be different administrative departments. This is extremely important for this reason that, apart from increasing demand, other than export growth, one of the drivers of our development is European funds, which means paying European funds. And you're right, after this law comes the Law on the financing of units of local self-government, where their original incomes will increase, there will be no employment problems either, it may happen that one municipality is forming more of these administrative bodies. But what you must, as a key minister, have the tendency to reform the units of local self-government in this direction to make as many of these initiatives go from below, to make as many employees as possible, and if they are already employed, work precisely on these jobs of attracting investment and attracting funds from European funds. Are you ready to take more active steps tomorrow regarding the reform of local self-government units... of the local structure?
ParlaMint-HR_2017-11-29-0.u62578	Thank you. Here you go, Minister.
ParlaMint-HR_2017-11-29-0.u62579	Thank you very much, Mr. Representative. I am pleased that you welcome this provision on the continuation of several administrative departments, and it is good that our units of local and regional self-government, here only apply to locals below 3,000 inhabitants, can be teamed up to accomplish all those tasks that have also been created, especially the withdrawal of European funds. Yes, we are in our ministry right now in the process of considering how to allow for eu jobs, which are financed directly from the EU and the salaries of these employees to approve the possibility of hiring and breaking those 20% of incomes, but only if these salaries are financed from eu funds and during the duration of the project. So we really think about it, we have meetings with the community of counties, municipalities and cities, very soon this solution will come out in a few days, and we are confident that this provision and what I have now said will help in the better absorption of European funds by units of local and regional self-government. Thank you.
ParlaMint-HR_2017-11-29-0.u62580	Let's go to the third line, dear colleague Bacic, please.
ParlaMint-HR_2017-11-29-0.u62581	Thank you, Mr. President. Mr. Minister, I support this bill, the final draft of the law, more so than you've ever made one step in relation to that text that was in the first reading. This law is absolutely not a lex sheriff, it can only be claimed by someone who has not read it or who is misreading it. The provisions clearly show that the position of the representative body is being strengthened. According to the Constitution, citizens also exercise the right to local self-government through their representative bodies or councilors. In this regard, I support and welcome the decision that two-thirds of the council members in the representative body can initiate the recall procedure of the unit leader of local, regional self-government in such a way as to make the referendums available to them. It's one big step and it's saying that this law, what you've been saying from the beginning, is to strengthen the position of councilors and representative bodies. And in that sense, he needs to be welcomed and all those who call him lex sheriff should say that a little more detailed read this law and that he'll see that it's actually this law and... strengthening the representative body. [[The speaker doesn't understand.]] And the other thing, colleague Podolnjak says this is a lex express, so it's not, says it's not a lex sheriff, it's a lex express. If you had decided to lex express, then you would have gone into emergency procedure. And for that lex express as a colleague of the Podlonjak speaks there is a procedure in the Assembly that the law is passed through emergency procedure. There was no case here, however, a very broad debate, all the associations representing cities and municipalities and counties in Croatia were declared, there was a broad debate and two readings here in the Parliament itself said that it was a law that was passed in normal and regular procedure.
ParlaMint-HR_2017-11-29-0.u62582	Nothing. Let's move on, the fourth replica, dear colleague Lovrinović, please.
ParlaMint-HR_2017-11-29-0.u62583	Thank you, Mr. President. Dear Minister, I have listened carefully to your presentation, of course I must immediately determine, despite your statement that this is a strategic approach, that this is a strategic change of the Law on Local Administration and Self-Government, but I cannot agree at all. And I can't help thinking that this whole story was made just to protect one city and one man. And let's not just convince each other that it's different than it really is. This bill shows the tendency that, which is very worrying in Croatia, things want to be centralised, to allow certain people to remain in power for as long as possible and the city of Zagreb is above all concerned. Why the city of Zagreb? You are well aware that the city of Zagreb is the largest for incomes and expenditures. And therefore, since you've never won the election in this city, and I guess you won't then it's important to have a strategic partner to protect in the coming time. We are discussing these days and will be the next item of the agenda, which are strategic companies for Croatia to be monitored, audited, controlled. So you have the strategic company Zagrebački Holding for which one audit firm has already written in 2012, read that it is in major financial problems and follows the crisis. So do you want to protect this exactly that the man who is responsible for all that must collect two-thirds of the votes as for changing the Constitution or some other things that can then join the shift. So this is very one in my opinion, very clearly a dangerous tendency. Thank you.
ParlaMint-HR_2017-11-29-0.u62584	Replication response. Here you go.
