ParlaMint-HR_2017-02-09-0.u24659	Dear colleagues and colleagues, we continue our work. Representative Misic.
ParlaMint-HR_2017-02-09-0.u24671	Thank you very much, Mr. President. We asked for a break to support the coordination of the Croatian Film Directors' Association and the Croatian Association of Producers who have been exposed in the past days due to an individual case in one state institution or conflict within the HDZ between the two currents, they found themselves exposed to the lynch and haranguing of several parliamentary representatives who generalise and place everything in the same basket and make statements that Croatian film employees who created public funds are an interesting network of clients. Since these representatives did not specifically mention them in any way, these associations and these people felt all together called. We are very clear here to say that we believe that our film industry, which is one of the most creative industries in the Republic of Croatia, is extremely valuable and that it has been working for the last few years of top results and that we can all be proud of movies like Zvizdan, which received world awards, which in Croatian cinemas has seen 42 thousand of our fellow citizens, how much, for example, it does not see in one season of Dinamo football club with paid tickets. And now that we compare how much money we have invested in a Zvisdan and how much of it the Republic of Croatia and its citizens have benefited, we can conclude for ourselves whether we have benefited more from this money or from the money we have invested as a society, as the city of Zagreb in the club or that at least we have invested in the club, but we have indirectly invested in the HDZ sponsor Mamić. I want to say very clearly here that in the last 6 7 years, the system that has been set up in Croatia, regardless of whether there is individual deficiency, has contributed to Croatia's making instead of 5.6 films 20 films per year, has led to Croatia making the world's largest co-productions for the first time in a long time. Last year we saw a shoot of the biggest German co-production with Winnetou. And this year here in Dubrovnik these days will begin recording Robin Hood playing Leonardo DiCaprio and Jamie Foxx. So the top Hollywood production, and all this is the result of the domestic film industry and the incentive system, which was introduced by the HDZ government and supported by the SDP along the way. And that's how we had a consensus on it until someone because of internal conflicts within HDZ, left and right-hand HDZ is now using it for a political platform to mark an entire industry. I said 20 feature films a year. The co-production industry brings together hundreds of millions of dollars a year, not criticism, especially when it comes to criticism that is marked by an ideological omen. So there's nothing but pure ideology and what no one likes about what someone does. But of course, it wouldn't be a problem if it were generally accepted in society. The problem is what these topics and these ideas that these representatives are pushing are interested in very few people in our society and it is about topics that have remained 70, 80 years behind us. If public money were to be made by the citizens of the Republic of Croatia on the martyrs of Mr Hasanbegovic from the 40s, I believe that neither Mr Hasanbegovic would raise one single vote against the institution. In this case, since this is not the case, as Zvisdan is recorded, as other films of Ivanka Tome are made, for example, so these are really great values but Mr Hasanbegovic and part of HDZ does not understand. And that is why we call here with the support of the Croatian Film Directors' Association and the Croatian Association of Producers' Associations, we call upon them because they also wrote to the President of the Croatian Parliament, we also invite the President of the Croatian Parliament to receive them and to give us clear support and to protect them from unfounded personal and herring carried out by part of HDZ representatives and all on behalf of their narrow and very limited ideology. Thank you very much.
ParlaMint-HR_2017-02-09-0.u24672	Thank you, Agent Maras. The HDZ advocates' club also requested a break. Representative Jasen Mesic will speak for them.
ParlaMint-HR_2017-02-09-0.u24673	If a break in the Parliament could solve the problems of the audiovisual industry in Croatia, that would be genius. They'd call her every morning. It is a touching concern for a colleague from the SDP for audiovisual activity. Touching. She was so moving in 2012 that they forgot to enter the budget and book funds for VAT returns related to the recording of foreign co-productions. In 2012, that is, when colleagues from the coalition government took over the Ministry of Culture with fat, fat letters in the documentation, it was written to open an article so that foreign co-productions in Croatia could be realised, the Games of the Throne, Robin Hood, Winetou, which employs hundreds and thousands of people, in letters of mass. And now all of a sudden, I'm worried about what's going on. I could list everything your government has done in 4 years to improve and improve audiovisual activity in the Republic of Croatia. It's not going to be a respected colleague and colleagues to solve the break, it's going to solve a calm analysis, all the problems. That's what we in HDZ stick to, we stick to analysis and strategy, we don't go to fast-track meetings, we stick to it and we follow what we said and solve through institutions and what happens in the audiovisual industry, we're going to look at the good finding of the audit that's been carried out and that's going to point to some things, they're going to be considered by the competent institutions of complaints, they're going to bring their own opinion, their own right. The group, cultural workers who are of course interested in their work and their projects will be considered, will be seen all in one calm... It's not going to call for a break. [[The speaker doesn't understand.]] Is this a political fund-raiser? We certainly won't call for a break to introduce colleagues and colleagues to the SDP situation. The left and right and central wings of SDP, the centre of Prague, Ibler Square and more. We don't have time for that. Therefore, we must work to address these problems. As regards the Croatian audiovisual industry HDZ has done a lot here and of course through the state institutions and through the Board of Directors in charge will support the Croatian film activities of co-production recording and everything else that is in some way our duty. In an interview some time ago, I said that I would like to see more movies with the topic of Homeland War, that I would like to see more of these topics with which today’s generation can be identified in the vast majority. The film really is about some events that we too as individuals who determine society. I'm saying I'd love to, and we'd love to. We don't take HDZ as our right to determine what movies should be, but what we know is what they shouldn't be. And we in HDZ know that some films like that 15 minutes of massacre in court are not the correct money for Croatian taxpayers. And that's something to be conducted both professional and social, including political debate. That's why we understand this break, and that's why we wanted to tell you. as a HDZ club, you have reason to answer your comments. [[The President's incursion: Time.]] Thank you very much.
ParlaMint-HR_2017-02-09-0.u24674	The club of representatives of the Independent Lists also called for a break. In their name will be the representative of Nikola Grmoy.
ParlaMint-HR_2017-02-09-0.u24675	Dear President, colleagues and colleagues. On several occasions in this assembly when we started amending the HRT Act, I was talking about the media war that Hanza Media is waging against MOST because we intend to change the Law on HRT, we intend to take several million kunas a year from his pocket, which he achieved at the expense of our most vulnerable citizens. There is, of course, and it was obvious to everyone who had been following the media especially the morning paper that it was working. And now, in this dirty campaign, Free Dalmatia was included, a man was withdrawn from Dubrovnik who proved himself with columns and texts against the Most-s, meaning her scapour. The editor-in-chief of the Free Dalmatia has been appointed, the man tasked with this pre-election period and through the Free Dalmatia to tear apart the Most where MOST is strongest, means right in Dalmatia, in Dubrovnik-Neretvanska and Split-Dalmatia County. Today it is on the front page of the Free, so godfather Petrova from the street runs the Croatian waters, and then inside is the story of how someone pressured five employees of Croatian waters to fake a report on Lečevica. And you know what the truth is? It is true that five employees, or five employees, who are members of certain parties, have been forced to make a report that is not at all authorized or signed. And then, one of the pressurers, Mayor Sosic of the Dalmatian County, is illegally in a meeting with Minister Dobrović because he should not have those documents waved at all. And this report that these employees signed, which they were not allowed to sign at all, because it can only be signed, so the leader of the WHO man, Split, is contrary to the Regulation on the establishment of the sanitary protection zone of the source, National Journal 66/11. And imagine you manipulations, the Ministry of Environmental and Croatian Water Protection are asking for the rules to be followed, to make a re-routing because human lives are at stake here. Perhaps the source of the Jadro River and five women are threatened to sign it and then someone with it manipulates it, and Free Dalmatia makes sure that the story is as juicy as possible, then it needs to drag the godfather in, because the best man is interesting. And someone allegedly sent the godfather an e-mail and now because the man received the mail he slept with Croatian waters and he decided what would happen to Lečevica. He doesn't decide. It is decided by the minister, decided by the Croatian Waters Administration, and exclusively by the Regulation and according to the law. And be sure while MOST manages the Ministry of Environmental Protection and Croatian Waters will be handled in accordance with the law. These waste disposal issues are also visible by finally adopting the Waste Management Plan, which will be dealt with in a systematic manner. We won't allow anyone to engage in illegal activities, no one will be able to sign something that is against the rules. And then let them drag him into the Free Dalmatia Free Godfather whenever they need him, get him out of the closet as needed. We will insist on legal action and deal with waste management problems systematically. Be assured it will be so, and those who have some petty interests were those in the county, in the cities or anywhere else will not get away with it. They can hit us. So we're used to taking shots, but believe me, we know how to give them and we know how to give them. Thank you.
ParlaMint-HR_2017-02-09-0.u24676	Thank you, Agent Grumoja.
ParlaMint-HR_2017-02-09-0.u24683	Here's your esteemed representative, Bauk, before we cross...
ParlaMint-HR_2017-02-09-0.u24684	Mr. Vice-President of the SDP Club is seeking a 15-minute break to discuss the political circumstances of the unnecessary delay in the debate on Minister Barisic's night.
ParlaMint-HR_2017-02-09-0.u24685	Excuse me, we're now in one completely different point, there's a whole series of speakers reported. I don't know why you're coming to that conclusion. That's how you can come to that conclusion every day. Every day you can conclude that a point is being dragged away because a lot of MPs want to debate. No, of course I'll give you a break to talk about it, but I think it's completely missed because I'm saying, we've been discussing a lot of points at large, a long time discussing some points, some points that I personally thought could be discussed for a while. We've been discussing all day, about others vice versa, but that's how, there's a whole series of speakers reported, I don't see an excuse for that, but I'm giving you a break. Here's the breach of the Rules of Procedure, raised by a colleague named Blaženko Boban. Here you go.
ParlaMint-HR_2017-02-09-0.u24686	Yes, I welcome you. No matter how many advocates are entitled or clubs to prevent anyone from discussing the current agenda in this House? What article?
ParlaMint-HR_2017-02-09-0.u24687	No, no, I'm sorry, which is why the Rules of Procedure, please, must be defined.
ParlaMint-HR_2017-02-09-0.u24688	Article 238, the representatives are distracted by the debate during the agenda, agenda points. If we apply, I guess we'll discuss this point all the way.
ParlaMint-HR_2017-02-09-0.u24689	We will discuss, continue to discuss this point, and according to the Rules of Procedure, I must give everyone who requests a break, a break. Therefore, here is the HDZ Representatives' Club, the esteemed representative Branko Bačić.
ParlaMint-HR_2017-02-09-0.u24690	Thank you, Mr. Vice President. The Croatian Democratic Community club also seeks a break after the SDP's demands.
ParlaMint-HR_2017-02-09-0.u24691	Okay. Is there anyone else looking for a break? No, I don't. Then here's my break. I'll see you at 12 o'clock exactly. [[CONTINUATION AFTER MEETING AT 12.00 HOURS]] I see that instead of a respected colleague Arsena Bauka, the word on behalf of the SDP club will be taken by the esteemed Davor Bernardic. Here you go.
ParlaMint-HR_2017-02-09-0.u24693	I thank you, Mr. Vice President. Here is a colleague and colleagues, above all what is now fully visible, it is totally unacceptable to delay the debate and push the debate over Minister Barisic's confidence. I don't really know why we're stalling this debate. Perhaps the reason for the new facts that have been established and appeared in the morning during today’s portals. I don't know why Prime Minister Plenkovic doesn't come to the Parliament today, and I don't know what the reason is for this debate about the confidence of Minister Barisic on such an important issue for Croatian science, for Croatian education you try to push late into the night. As you pushed the educational reform, which is unfortunately in the situation that all the members of the working group for the implementation of the curricula reform have changed and which unfortunately gave rise to the situation that the experimental application of the curricula reform is still far from the beginning. Therefore, children in Croatia, whom 40,000 first-graders who started primary education somewhere parallel to the constitution of this government have learned from their teachers that knowledge and work is something that is most worth it, and the message to tolerate plagiarism, and then today tries not to discuss it, or push the debate deeply into the night, have received a message that knowledge and education and work and effort are not important. This must not be the case in Croatia. Here in the Croatian Parliament, we ourselves voted the Committee on Ethics who said his own and said everything he thought about the case of the disputed minister mentioned here today with the fact that I will point out that it is not important here and this is not about the Minister or what his name is. This is about the fundamental human principle and the fundamental principle of politics. We live in a country where shop workers get fired because of two feta prosciuttos, and plagiarism is tolerated. Therefore, today in this assembly, I urge you to put this debate on the agenda as soon as possible, to invite Prime Minister Plenkovic to the assembly, which, according to his authority, corresponds to the Croatian Parliament as president of the Croatian Government and to begin to discuss the item of the agenda that was scheduled for this morning. Then it was delayed by 11.30 then it was now delayed for three afternoons probably in the light of new facts. And the question is when will be held. Therefore, I call on you to invite Prime Minister Plenkovic to the assembly to discuss here the mistrust of the minister, because if you do not, we will be forced to leave the assembly and we will not continue to participate in this Parliament's work until the debate itself. Therefore, I call you to common sense. I invite you to call Prime Minister Plenkovic as soon as possible because we will have to leave the assembly until Prime Minister Plenkovic shows up at the Croatian Parliament.
ParlaMint-HR_2017-02-09-0.u24694	Thank you very much. Reverend Bernardic, I just have to make it right that this point was scheduled yesterday, you weren't here yesterday, you weren't here today, so you probably don't know that. She was, you didn't, she was scheduled exactly this point was scheduled as the first point today and we're doing it to the end. After that point she previous point [[/Intruder: Not true. That's a lie!]] the previous point, then this point [[Intruder Maras: Do not lie!]] Here you go. [[Don't lie, sir. That's not true! The National Council was scheduled as the first item.]] The next club of representatives is the distinguished representative Jasen Mesic.
ParlaMint-HR_2017-02-09-0.u24695	Dear Vice-President, respected colleagues and colleagues have therefore been announced that the debate on Minister Barisic will be held at three o'clock. The government of the Republic of Croatia has recently completed a package of youth employment laws. You'll agree exactly that the Prime Minister can't let it out of his hands and run to the assembly when it comes to anyone else. ... You know your colleagues and colleagues well what I mean. [[I don't know what you're talking about.]] [[I ask you not to throw away and that as we have given everyone an opportunity to say. And my colleague Bernardic said, "Let fellow Mesic say his own."]] Neither are we anyone, so we never had a single minister of Milanovic's government when we called him in, and when it was debated about Minister Jovanovic, so the prime minister did not show up in the assembly, but if I am not mistaken, then the Vice-President of the Parliament today, Mrs Opacic, was with him. You started discussing this topic with your colleagues and colleagues on Friday. If you look at today's debate from morning until now, you will see that twice as much has been said by a colleague from the SDP and other opposition parties, rather than by fellow ruling majority. So, you're stalling the debate. You're stalling the debate, interrupting this session and pauses, issues and all that. Much more, look, count the speakers so far. Count it! You're holding up a debate about what we announced on Friday you're stalling her so far and, of course, the MPs have the need in their individual debates to deny the complete untruths you're making. For example, dear colleague Maras said that HRT had not devoted a minute to Mr Barisic, and we all watched the Open that was dedicated to this topic, which is enough proof of how many distinguished colleagues watch HRT. Therefore, Mr Arsen Bauk, who requested a break on behalf of the SDP club, will be able to determine how many minutes SDP colleagues have spent so far. So the debate will be in three hours, you'll have a chance to talk about everything you started talking about on Friday. We simply can't go to the debates of Mr. Pernar's type who claims to have been harassed by HRT in a program sense, and when he's called off the show, you don't expect us to shut up like that. Don't interrupt the session all the time, see how many of your discussions you've had so far, and now that it's our turn to say our opinions, you say you won't participate. It's not right for colleagues and colleagues. It's three o'clock now, afternoon, not deep into the night at three o'clock in the afternoon. To whom it is a deep night, let him retreat and go rest. And you know where the problem of colleagues and colleagues is, if you think about the public in who abolished the transfer of parliamentary sessions with the amendment of the HRT Act, the problem was that before it was under the old law and when we had the permanent transfers of the session of the Assembly, so came a new editorial structure with Mr. NOvokmet and Mr. Radman, so they abolished it. There's a problem between a colleague and a colleague. Therefore, do not be afraid of the night, the night is just a better part of the day, concentrate well and you will see that you will have the opportunity to have a quality discussion and do not always interrupt the session. Is that we were interrupting the session every time no minister from your government showed up to us, I won't even mention it, we were lucky when he didn't insult us at the current afternoon, so we'll be able to discuss it adequately or watch out for you all the SDP speakers are shooting up, SDP excuses he has, we lift up the replicas and say SDP we'll pull back. Well, come on, you've got two more hours on Friday you've already started the author's work you've only talked about, you're not discussing anything else these days. Slowly, concentrate, dear colleagues. Thank you very much.
ParlaMint-HR_2017-02-09-0.u24696	Thank you very much. We would now move on to the following: - Final list of candidates for the selection of five members of the HRT Programme Council. The proposal shall be submitted by the Committee on Information, Information and Media pursuant to Article 25. HRT law. The material was delivered to you in boxes. Contributions to the final list of candidates are not multiplied but are on the Croatian Assembly website. I would like the chairman of the Committee on Information, Information and Media of Honorable Representative Jasen Mesic to further explain the final list of candidates for the selection of five members of the HRT Programme Council. Here you go.
ParlaMint-HR_2017-02-09-0.u30398	Thank you, Mr. Vice President. So here was the pleasant duty to report on behalf of all the members and members of the Assembly Committee on Information, Information and Media and the plenary session. So the decision of the Croatian Parliament of 26 October 2012 selected nine members of the Croatian Programme Council of the Croatian Parliament, and at the constitutive session of the HRT Programme Council, it was determined that the four-year term had been held by dr. Josip Jelic, Mrs Sanja Ravlic, Zoran Shangut, Bruno Kragic and Arsen Oremovic. As their term of office expired on 26 October 2016, the Information, Information and Media Committee launched a selection procedure for five members of the Croatian Programme Council and published a public invitation for this purpose on the Croatian Parliament, Croatian Ministry of Culture's website and on the website of the Croatian Parliament, Croatia and the Ministry of Culture on 9 December 2016. The Committee received 31 applications, which were all received within the deadline, and the deadline was 21 days from the day of its publication and ended on 30 December 2016. The Committee discussed applications at its 4th session, held on 1 February 2017, and when it also held talks with candidates. 27 candidates responded, and Mr. Josip Jovic, Mrs. Zeljka Markic, Mr. Darko Markušić and Prof. Dr. Tena Pershin. I note here that an interview with persons who made a public call is not prescribed in the procedure and is not even a legal obligation of the board. However, in the past, such conversations have been held, and we wanted to keep a particular ossus set up in the past, so that regardless of the length of the procedure, because the committee session itself lasted more than five hours anyway. After the debate, the committee unanimously reached its conclusion with eight votes. I note here that the committee and committee members held talks, had the opportunity to ask questions, hear answers, examine the CVs in detail, but this session of the plenary session of the Croatian Parliament makes a decision on the selection of five members of the HRT Programme Council. Therefore, a unanimous conclusion was reached in accordance with Article 25(8) of the Treaty on the Functioning of the European Union. The Law on HRT, the Croatian Parliament, is presented with the next list of candidates for the selection of five members of the Croatian Programme Council meeting the requirements prescribed by law and public invitation. I'd be free to read them, they're: Vlaho Bogisic, Prof. Dr. Ante Bralic, Matea Bublic, Ms. Silva Celebrini, Mr. Petar Curcic, Dr. Goran Črpic, mr. Franjo Gregurić, Mr. Josip Jović, Dr. Dr. Golden Krajina, Dr. Vlatka Lenić, Dr. Ivica Lučić, Zorislav Lukić, Darko Marinac, Željko Markić, Nedeljko Marković, Robert Markt, Drako Markušić, doc. ... Matanovac Vučković, Boris Mužanovic, Dr. Dr. Djordje Obradović, Milivo Pasiček, Mr. Zoran Peranić, Prof. Dr. Tena Peršin, Damir Pjaca, Mile Prpa, Tomislav Radić, Ivan Starčević, Prof. Dr. Ivan Tanta, Željko Tomasic, Trpimir Vickovic. Here's a list that's also going to get the council elected when they vote. I thank you.
ParlaMint-HR_2017-02-09-0.u30399	Thank you very much. I'm opening a debate. And the first one came to the debate was the HDZ Representatives' Club on behalf of which the distinguished representative Jasen Mesic will speak.
ParlaMint-HR_2017-02-09-0.u30400	Thank you very much. Dear colleagues and colleagues. So here you could see from the candidate list what we from HDZ noticed when we were talking that really from this list it was visible that there are a whole series of quality candidates who can perform their duties in the HRT Programme Council. We were also satisfied with working on the board because we think that the debate was quite constructive, that it was good and questions, that there was a whole series of good answers and that a number of candidates and candidates had the confidence that they would be able to work in the Programme Council. I would like to remind you that the Programme Council, in accordance with the Croatian Law on HRT, is now set to have been reduced in comparison to earlier legislative regulations, but it has one demanding task, which is actually to oversee the implementation of the programme contract between the HRT and the Government of the Republic of Croatia. It should be borne in mind that work on a new Program Contract will soon follow. The draft of the Programme Agreement or its draft will also be found in the public debate and we appeal that all those who speak very often about the programme, including in this assembly, are involved in this public debate to produce as good a document as possible, which will contain all those programme specifics both in the thematic sense and in terms of the duration that is important for Croatian society and for the Croatian public to be found at the public media service. I would like to remind you that there will be four candidates still left in the Programme Council. Also in the Programme Council will be attended by two members selected from the ranks of employees of Croatian Radio Television, which we consider to be a certain way and a correct practice. The programme council is important that as soon as it actually starts working, and therefore we think that it is good, here we are before the selection process is completed for the members and members of the Programme Council, and I believe that both MPs and MPs will indeed choose those who can choose that duty when voting. Of course, the HDZ Club will be very active in the work of the Programme Council especially when the reports of the Croatian Radio Television Programme Council are on the subject. I remind you that we have a whole series of reports behind us concerning the work of Croatian radio television, radio television from the past, so that we also see an opportunity to manifest ourselves. Thank you very much, Mr. Vice President.
ParlaMint-HR_2017-02-09-0.u30401	Thank you very much. The next club of MPs is that club of representatives of the HNS on behalf of which the distinguished representative Goran Beus Richembergh will speak. Here you go.
ParlaMint-HR_2017-02-09-0.u30402	Dear Mr. Vice President, colleagues and colleagues around the benign agenda. We need to discuss who will be sitting on the HRT Programme Council, a public service. Probably part of the MPs think they are people who are affecting the HRT programme, and then they will try to achieve something by political agreement to find people in that body who are likely to represent different political interests, perhaps even ideological platforms. But let's not have any illusions. The Programme Council has no influence on both quality and content of the programme or Croatian Radio or Croatian Television. The program is created by those who are chosen and paid, professionals. The editorial structure is the one that determines the smell and taste of the public service of Croatian radiotelevision, and unfortunately that smell is very unpleasant, this taste is terribly bitter. If you look at the records from the session of the Croatian Radio Television Programme Council then you will see that for some time now people who have the authority of the profession, the dignity of long-term work activities such as the production of television and radio programs, have been talking in the wind for years. The tense relationship between the leadership of Croatian Radio and the Programme Council is reflected in one terrible boast, in the report, in the awareness that the Programme Council does not have any effect on status or choice, nor can it punish anyone for unprofessional action, non-compliance with important topics, because they do not respect the basic values recorded in both the Croatian Radio Television Act and the contract concluded with the Government of the Republic of Croatia. Croatian broadcasting with a special emphasis on TV in the quality and content of the programme has fallen to the lowest branches since its existence. Croatian television when compared to all other public televisions in Europe has the least contact speech program on the whole continent. The entire TV programme is practically based on one voice show with relevant guests regarding the information-political programme. Poor is public television, which has only been opened in the heart of its information-political programme among voice shows with guests. Look at the channels of other public televisions in Europe. In a Europe where many social processes occur, both professions and policies are concerned, publicly debated, openly spoken, problematicd, trying to find solutions. Nine out of ten topics spoken by European television companies in Croatia as if they do not exist. We have built, unfortunately, a software framework which is primarily anacron, and then completely closed to ourselves and unfortunately, it can be said that HRT to whoever wants to know what is going on and what different experts think about it cannot provide either information or a platform for thinking. We cannot and should not talk about everything else that solves the very bad situation on HRT here because this is the story of the programming framework and of the Programme Council, which regularly at each session is very mild, very proactively discussing the shortcomings of this programme, and this is the Programme Council there no one hears or cares. When it tells you about the quality of the program of a person who has been in the business for 40 years, who has been in it, who is considered a top-notch intellectual, who has built a professional, impartial, objective man and an exceptional professional for four decades and when no one cares and when no one is referred to what that person is saying, which suggests, which is a matter of goodwill for young colleagues to teach, to open perspectives to them, it is not an echo but rather a very boastful reaction of the governing structure that rejects it. They're self-sufficient, they're the smartest, and then the question is, who wants to be in the HRT Program Council at all. By listening to candidates on the Committee on Information, Information and Media, we have seen that some of these thirty people have indeed strayed. They certainly have the right to answer a public call, we can't deny it to anyone, but those with television and the Programme Council mission have nothing to do with it. It's symptomatic when people come to do it from the valley, when people who think about the program know something because they used to work in the media of someone else or when someone comes in and says very confidently that they came to protect national interests on HRT, and then I ask them to list at least three national interests that will protect me so they don't even know what national interest is. The election of five members of the Programme Council will be a political agreement. The public should know that there are certain political relations in the Programme Council, that according to good old custom, the ruling have the right to propose to the majority and the opposition to the minority. According to the existing so-called The ratio of strength from these five people will rule four out of five people who choose. I hope that among candidates who are also proponents of conflict, retrograde political and social ideas, people who have argued the public, people who have used media space and, among other things, to spread impatience will not be on that list that the ruling will propose from four or that list that the opposition will propose from just one candidate. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30403	Thank you very much. We have some replicas. The first is the distinguished representative Jasen Mesic. Here you go.
ParlaMint-HR_2017-02-09-0.u30404	Dear colleague Beus. The legal framework that we voted here in the Croatian Parliament, unfortunately, has lagged down the powers of the Programme Council in relation to the 2010 Regulation and given great powers to the directorship and the principal director. I must remind you that we have also had discussions on the reports of the Programme Council where they clearly wrote that they are asking the director or director of data, information for several months, and that the director and directorship are completely deafening themselves. We had cases, though, that not only did the leading structure of the HRT deafen to the questions of the Programme Council, but it was also deafening the questions of the Croatian Parliament and the conclusions of the Media Committee. But that's something that we need to solve with a new media strategy and new media regulation. I expect that personally and your contribution. Also in the club's presentation, I said that the time will come very soon for a new programme contract, which is the instrument that the Programme Council can call on. And what you said about the Programme Council isn't what has a direct impact on the program, but that's the editorial structure, that's where we agree. However, setting the basic... in this programme contract can also contribute to the Programme Council which then oversees it, but all of us who can get involved in the public debate. In this legislative regulation, it is the only possible way to put in place some kind of force where the opinion of the Programme Council will be better and more respected.
ParlaMint-HR_2017-02-09-0.u30405	Thank you very much. The Honorable Representative Beus Richembergh will respond.
ParlaMint-HR_2017-02-09-0.u30406	Kolega Mesic and you and the entire Croatian public know that one of the only practical powers is the only authorisation of the programming council that has been abolished by the amendments of the law and, moreover, together with the Supervisory Board, is not involved in the selection of the Director-General. So isn't it normal that the programming board doesn't participate in the selection of the principal director if we set the stage so that the director-in-chief doesn't affect the program. You're telling me that the director-in-chief really needs to influence the program, and then you need to give back the programming council's authority to replace it if it doesn't work out well. I'm not into that variant. I don't want the principal or the duty officer to have any interference with the program. But I want people who consider themselves the creators of the program, which are different editors, to know the hierarchy of values and, among other things, to be good education and for their own good will to those who criticize them and offer better solutions listen to what they say and none of it happens. Our great crime scene, I'm also carrying part of the responsibility, even though I'm one of the few who's said since day one that's not good, was the appointment of Chief Director Goran Radman. But yours is a criminal, after which there are two other performers of duty and the prospect of these officials having an impact on the program and shouldn't have. I am very interested in what you, as the ruling man, will now do in the selection process of the principal, will you really tell the public that you are in favour of the absolute professionalization of this job, of the professional relationship and of moving the policy from the public service. Politics is strong, strong, not only put its paw on Croatian television but eats its insides.
ParlaMint-HR_2017-02-09-0.u30407	Thank you. The next replica is the esteemed representative of Zeljko Glasnović. Here you go.
