Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-0	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-361	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q18335061	Weimer, Maria	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-369	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4951444	Gunther, Penilla	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-390	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-404	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5740653	Fransson, Josef	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-409	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-412	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5740653	Fransson, Josef	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-417	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-419	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-425	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-429	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-432	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-437	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q25935880	Helander, Peter	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-440	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-446	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q25935880	Helander, Peter	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-449	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5891875	Jonsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-453	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18243354	Knutsson, Elisabet	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-469	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-472	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18243354	Knutsson, Elisabet	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-475	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-478	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18243354	Knutsson, Elisabet	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-480	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-489	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4971184	Olsson, Lotta	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-5SxhcJKwHs3oDuWQ2przfp	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-522	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-525	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-530	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-535	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-537	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
