ParlaMint-NL_2016-02-02-tweedekamer-27.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-02-02-tweedekamer-27.u12	As far as I'm concerned, the solution is not to scare the people who make €45,000 out of their homes. The solution is to build houses. That's what I'm talking about here all the time. By the way, many parties are wrong that it is financially advantageous to chase the families that make €45,000 out of these houses. That's not advantageous. It costs the taxpayer and the government money. The people who earn €45,000 are not currently entitled to rent allowance, but once they start buying, they are entitled to mortgage interest deduction. So now they're not gonna cost anything, and they're gonna cost money. Now they're delivering some money to............................................................................................................................................................................................. The housing corporations can invest that money again in building new houses to get rid of waiting lists and in the maintenance of homes. Soon, however, it will cost money. The solution is really very simple: build houses, build houses, build houses.
ParlaMint-NL_2016-02-02-tweedekamer-27.u13	Simple, that is what is often referred to as populism. I know Mr Bashir as an intelligent colleague. The Netherlands is the most populous country in Europe. We really have a very dense building throughout the Netherlands and the least forest in all of Europe. Building, building, building is therefore often not a realistic or quickly feasible solution. There are no grounds, and if there are, they're extremely expensive. So if it is not a realistic option to build hundreds of thousands of homes within the next ten years, I ask my question again. You have someone with a large income who pays a rent of €500 and you have people on a waiting list, who have been on it for eight years. What's it like? So how do we weigh that against each other?
ParlaMint-NL_2016-02-02-tweedekamer-27.u14	Then I am not in favour of scaring people who make €45,000 out of their homes. Then it's very simple. Then you have to be on the waiting list and wait for a place to be available to you. That is not the solution we have chosen. Mr Van Vliet says that it takes ten years for these houses to be built. I agree. Those houses take a long time to build. However, if you do nothing now, in ten years' time it will also take ten years for those houses to be built. You can get to work now and then you'll have something.
ParlaMint-NL_2016-02-02-tweedekamer-27.u15	Mr Bashir lives in a different economic universe than I do. We've established that before. I'm just trying to make myself clear. There are long waiting lists, there are too high rents and more needs to be built. If you lower the rents now, will Mr Bashir's waiting lists be shorter or longer? If you are going to build up, how much of the total housing stock should then become social housing in Mr Bashir's view?
ParlaMint-NL_2016-02-02-tweedekamer-27.u16	The Economic Institute for Construction has calculated how many homes are currently too few in the social housing sector. The Minister himself endorsed that. It's 100,000 homes. They need to be built now. We need to add 100,000 homes now. The moment you start building, the stock is actually getting bigger. But you shouldn't just build social housing. You have to build in other sectors, too, so people have a choice. There's just been too little construction lately, and then you get the situation we're in right now. Then you can try to scare people out of their homes, but if they can't go anywhere, it'll stop. If people can't get out of their homes, if they can't move because there are no homes available, you can continue to increase the rents, as the VVD and the PvdA do at the moment, but the problems aren't solved.
ParlaMint-NL_2016-02-02-tweedekamer-27.u17	Then let me make a sum with Mr Bashir. There are 7.6 million homes. That means there are just over two people per house. I personally do not call that a housing shortage, but we can think differently about that. Mr Bashir is adding another 100,000. Then we have 7.7 million. My question remains, then, how many percent of them should be social housing.
ParlaMint-NL_2016-02-02-tweedekamer-27.u18	I just said there's a shortage of 100,000 social rentals. I am in favour of building in other sectors as well. Maybe we can find each other in there. If the VVD is willing, like the SP, to convert the landlord's tax into an investment obligation, I can guarantee Mr Van der Linde that it will actually cost nothing. Transforming the landlord's tax into an investment obligation will ensure that housing corporations can attract debt. They then have to pay VAT on the investments. Housing corporations will issue contracts and those who win the contracts will also have to pay taxes: income tax, payroll tax and possibly corporate tax. So it can even be that it yields more and at the same time we also get houses. I think the solution is much simpler than the VVD wants to believe.
ParlaMint-NL_2016-02-02-tweedekamer-27.u19	Mr. Chairman. Your home must be the finest place on earth, the place where you live with your family, where you receive friends, where you watch TV at night or play a game, where you hang out over the hedge with the neighbors. Every place you've ever lived is a lifetime memory. It is right that we protect that place, including in the law. Your store shouldn't just be expropriated and the contract for your rental house shouldn't just be canceled. But we can also go through with rent protection. Once rented is always rented. Sometimes reasonableness is completely lost. We live in a country where people want to make their own choices. If you live in Groningen and find work in Eindhoven, you want to move there as soon as possible. If you want to be close to your parents in Haarlem as a caregiver, you also want to be able to live within cycling distance of those parents. The rental sector is becoming increasingly important in order to meet the understandable wishes of hardworking Dutch people. Well, then that market must be moving a little bit. Houses must be released and there must be a little freedom of choice in the right to rent. Many private landlords doubt whether they want to rent a property. Temporarily, she can cross the line. We are failing many people in the housing market with the current restrictions. Of course, people are looking for a practical solution. They make mutual agreements, which often work fine. Or they make a construction with the clause termination because of urgent personal use. It's usually honored by a judge. Urgent personal use is gradually the putty in the rental right: it is made for a clear purpose, but you can fix everything with it. That's what happens. Eventually, the landlord has little hold on to it. As the grounds for termination are widened and deepened in the case law, tenants in particular have less clarity. There is therefore every reason to introduce a good system of temporary leases. The most important innovation is the general fixed-term lease. It's the kind of contract that makes a new offer. It offers an opportunity for the caregiver or project worker who wants to live somewhere for a short time. The one-year contract is a major step forward. The VVD would like a step further. In the consultation version of this law it was still about two-year contracts. Apparently, they've been traded in for one year's contracts. It has not become clear to us why this has happened. However, we read in the note following the report: "It is to be expected that a longer period would lead to a larger offer from landlords." Bingo. For this reason, I have tabled an amendment to go back to the original plan, with contracts for two years. We make the law more effective and we care about people who are involved, tenants and landlords, much more opportunities to make their own appointments. One year or two, that's what you decide together. In addition to this general temporary contract, the term "urgent own use" is better developed and existing possibilities are extended. The youth contract is in line with Mrs Schouten's law, which we have already discussed this evening. The campus contract is extended so that PhD students can also be accommodated. In addition, we take measures for those few thousand families from eight people and give space to people who are abroad for a few years for their work and want to rent their home. With temporary contracts, we are taking a big step towards the flow of social housing. This coalition has improved the functioning of the housing market in many ways. Social rent has been reduced to the core task: to provide affordable housing for people with a small wallet, as Mr Bashir so wants. We encourage corporations to reject expensive homes so that they can rebuild really affordable homes. At the front door we entered the fitting test. Houses are only rented out to the target group. Whoever lives there actually earns too much because he has started earning more, is not sent away but is going to pay more. I think that's logical and reasonable. After all, it is a social provision. These measures are now effective, but let us be honest: it is expected to take a whole year or what this flow will take. By giving temporary rents a good place in the right to rent, we promote the flow where necessary. This bill also regulates the rent-sum approach. I tell no secret when I say that this has been discussed for a long time within the coalition and with many parties outside. The rent increase among corporations is limited to average inflation plus 1%, and for individual homes to inflation plus 2.5%. We offer security to the tenants.
ParlaMint-NL_2016-02-02-tweedekamer-27.u20	I am surprised to hear Mr Van der Linde say that the policy is working. I also see the figures, but I see something else, namely that only 3% of the people who are supposedly living crooked have moved. I say "so-called," because that's what the cabinet thinks. So 97% stayed where they were. How does the policy work?
ParlaMint-NL_2016-02-02-tweedekamer-27.u21	I said quite honestly and clearly that it takes about a year or so before things get going. That whole housing market is a ship that comes very slowly off course. We're doing everything we can to get that done. But then I point out the good things. There's got to be an alternative for those people. If you look at the numbers, you'll see tens of thousands of free sector rentals added. Those homes are needed for the flow. At the bottom is built. There's gonna be more properties anyway. I fully agree with Mr Bashir that more needs to be built. Corporations have been lagging behind in this respect over the past few years; we have exchanged this enough here often, but you can see it getting going, even though it is very slow.
ParlaMint-NL_2016-02-02-tweedekamer-27.u22	The cabinet wants to tackle crooked people. At the same time, the rents are increased for a lot of people. Over the last five years, rents have increased by more than 28%. How much should the rents go up before finally the flow that the VVD is waiting for, but it hasn't come yet? How much does the VVD accept? How much more can the rents increase?
ParlaMint-NL_2016-02-02-tweedekamer-27.u23	The people with the smallest wallet are constantly spared from the rent increases. They haven't received 28% in five years. Shrimps do. I agree with Mr Bashir. I also agree with him that they don't like that, but it's a fair deal. You're using a social security system. If you really don't qualify, you pay a little more. I think that makes sense. I would've stayed with the rent-for-sale approach. Over the last few days we have received dozens of messages from tenant associations. Thank you very much, Mr Paping. I understand the unrest some tenants have, but we don't throw bombs on the lease. We stay reasonably close to the social rental agreement and offer with the rental amount clarity to tenants. There are limits. If, at the annual rent increase, we are going to spare people with too big a house for the only reason that they have too big a house, then of course that flow never gets going. I hope that the umbrella organisations, which are so good to us, will put their heads together again, so that expensive skeptics can become citizens again, and thus move to an affordable home. That rent limit of inflation plus 2.5% already makes it easier to switch to a freed-up, more appropriate home. One more point of execution. Up to now, there has been a five-year or three-year assessment of income. From different sides it is suggested to convert it into an annual income test. I saw that there is now an amendment to that effect. Can the Minister respond to the pros and cons of it? Does this prevent complex income mediating? What does this do for the administrative burden? I have one final point. From the field we hear that every improvement in housing should be covered by that rent. This could put a brake on sustainability and insulation. Can the Minister comment on this? The VVD sees this bill as a major step towards a flexible housing market and as a necessary step in the relaxation of rental rights. Temporary contracts increase the supply in the private sector and promote the flow in the social sector. This is a further step towards a housing market that really functions as a market.
ParlaMint-NL_2016-02-02-tweedekamer-27.u24	I have another question about Mr Van der Linde's amendment to extend the period from one to two years. The VVD says temporaryity is good for the flow on the housing market. If it's a year, there's more flow. If it's two years, there'd be a lot more flow. Why does the VVD not propose to abolish the fixed contracts as a whole?
ParlaMint-NL_2016-02-02-tweedekamer-27.u25	Can I answer this question again? Will Mr Bashir then support me?
ParlaMint-NL_2016-02-02-tweedekamer-27.u26	I think it's okay for me to ask the questions.
ParlaMint-NL_2016-02-02-tweedekamer-27.u27	That's right.
ParlaMint-NL_2016-02-02-tweedekamer-27.u28	The SP is not for temporary leases. That was also at the heart of my speech at the place where Mr Van der Linde is now standing. If the VVD says temporaryity is good, I'm curious why the VVD chooses for two years and not unlimited temporary.
ParlaMint-NL_2016-02-02-tweedekamer-27.u29	My counter-question, of course, was a rhetorical one. I don't have any support for that. I think two years is a nicely defined whole. This also does justice to many people who are in a temporary situation. A year could just be a pinch. I also liked it in the consultation version of the bill. Actually, I just want it back. If I ever get my support again for three years, maybe we can try that. My proposal would be to evaluate it and see if this really worked. That makes sense to me.
ParlaMint-NL_2016-02-02-tweedekamer-27.u30	Mr Bashir, we do it in a question and a question again, unless a question has not been answered. I think this is the case now.
ParlaMint-NL_2016-02-02-tweedekamer-27.u31	That question had not yet been asked!
ParlaMint-NL_2016-02-02-tweedekamer-27.u32	If I understand correctly, the VVD is in favour of abolishing all fixed contracts. The VVD would be for this if there were a majority in the Chamber for this.
ParlaMint-NL_2016-02-02-tweedekamer-27.u33	No. I wouldn't have said that. We are in favour of a wide range of possibilities. The ordinary rental contract for an indefinite period of time remains, of course, the starting point of the rental right. I would not have had the same conversations with these and genes as I had said: do everything temporarily. That wouldn't be our choice.
ParlaMint-NL_2016-02-02-tweedekamer-27.u34	A special element in the one and five-year contracts is that they automatically lapse. This goes automatically and then there aren't many opportunities to go to court if you don't agree with that decision. How does Mr Van der Linde feel about that?
ParlaMint-NL_2016-02-02-tweedekamer-27.u35	If you make an appointment for a temporary contract, that's a temporary contract. I'm trying to understand Mrs. Schouten right now. If you agreed a year in advance, it wouldn't be my choice to drag more out there with the judge. Unless she's talking about the rent height, because that's what you need to be able to get to the Rent Commission.
ParlaMint-NL_2016-02-02-tweedekamer-27.u36	Mrs Schouten, you may explain.
ParlaMint-NL_2016-02-02-tweedekamer-27.u37	One element has already been mentioned. We have often discussed in discussions the circumstances in which it is not right that the rent should cease. We are talking about ceilings, for example for a year or five years, but this may also be shorter. However, there may still be reasons why you think it's unfair and want it checked by the judge. It is at the heart of our rule of law that people can go to court to fight it, if they disagree with something. Is it not a fundamental difference from all other temporary leases that this cannot be done here and that we should perhaps ensure that we keep those guarantees? This may be the case, for example, if a subsequent contract already requires a much higher rent from a person when this is not reasonable.
ParlaMint-NL_2016-02-02-tweedekamer-27.u38	I'm trying to follow Mrs. Schouten. I think someone can always go to court. The judge will not always declare the person admissible only if the person has a tenancy contract for a year. I don't think we ruled out anyone going to court.
ParlaMint-NL_2016-02-02-tweedekamer-27.u39	Please continue. By answers, I mean.
ParlaMint-NL_2016-02-02-tweedekamer-27.u40	We're not denying a man the hallway to the judge, are we?
ParlaMint-NL_2016-02-02-tweedekamer-27.u41	It's a matter of automatic deletion, so there's an automatic blow. We've just dealt with my own initiative proposal. There must be an active act by the landlord to ensure that the contract is terminated, against which a tenant may object if there are no good reasons for the termination. It seems to me to be quite fundamental that we regulate these kinds of elements properly, precisely in order to maintain the protection of rents. That is what I am looking for from Mr Van der Linde, who belongs to a party which is keen to respect these rights. Shouldn't we be tightening up on these temporary contracts?
ParlaMint-NL_2016-02-02-tweedekamer-27.u42	That is not about going to court, but about whether the landlord should take an active action to terminate the lease that had already been entered into for a certain period of time. I think most landlords in practice will write a note to make sure the tenant leaves the property. I think this is just settled in practice. When you rent for a year, you know you have to get out. I don't think it's necessary to record that separately.
ParlaMint-NL_2016-02-02-tweedekamer-27.u43	Mr Van der Linde once again clearly states that the lease remains the starting point for him for an indefinite period of time. I am so curious about the way in which he wants to ensure that this type of contract remains the starting point. It is good that he says this here, but at the moment when there is a fixed-term contract possible in any situation, I wonder how he will ensure this.
ParlaMint-NL_2016-02-02-tweedekamer-27.u44	After some consultation, we have included in the bill that the corporations are excluded. They're by far the biggest landlords. This is a de facto fact.
ParlaMint-NL_2016-02-02-tweedekamer-27.u45	I do not think this is an answer to my question. Mr Van der Linde says that an indefinite contract is the starting point. How does he guarantee that this will remain the starting point?
