ParlaMint-NL_2016-04-12-tweedekamer-27.u1	I would like to welcome the Secretary of State for Finance.
ParlaMint-NL_2016-04-12-tweedekamer-27.u12	Mr. Chairman. In the Bashir motion to item No. 263 the government is asked to extend the reporting period in a structural manner and to have the Tax Administration send word to everyone within two months. The IRS is actually a little bit more ambitious. The intention is, of course, to make it not a batch process, but a continuous process. This means that the time limit for reporting can be longer and that people even have an immediate message at some point. You submit it and you immediately get a message; the computer does the job. That is not entirely conceivable at the moment. As far as I am concerned, this motion is desirable, but it comes prematurely because we are now busy with the Panama Papers and real returns in box 3 and so on. Although the ambitions exceed the motion, I must advise against it, as I say with a positive view towards Mr Bashir. I have the feeling that he has a slightly different timetable in mind, and that is somewhat untimely as far as I am concerned. The motion in part No. Mr Van Vliet's 264 on his own home is extremely desirable. I would like to take over that motion, if there is no objection. What's in the motion is a good idea. Mr Van Vliet is right to say that it is now a complex regulation and that additional aid is needed. If he says so, he certainly does.
ParlaMint-NL_2016-04-12-tweedekamer-27.u13	It is clear that the Secretary of State has indicated that he is in favour of the motion (31066, No. 264) takes over. I see that there is no objection to that. The motion has been taken over and is no longer a separate part of the debate.
ParlaMint-NL_2016-04-12-tweedekamer-27.u14	Mr Omtzig's motion for a resolution 265 is about the offline declaration programme. That really doesn't have the future. That would be a very significant workload. We should put a whole team on that, next to the team responsible for the online report. We can't keep that in the air at the same time. It wasn't very popular last year; 10% of people still used it. This isn't the future. I must therefore strongly discourage this motion. This is something I wouldn't like to go on with or put capacity on. Then I come to the motion on part No. President. - The next item is the joint debate on the following motions for resolutions: It calls for the next three years to allow taxpayers to receive all messages from the Tax Administration on paper. I would have liked to leave the opinion on this motion to the Chamber with a slight background, as it is already possible for people who state that they do not have a reasonable alternative. However, Mr Omtzigt says in his explanatory statement that he wants to make it a kind of free opt-in. Then you get people doing it to hunt down the tax authorities, to save up the cost of printing themselves, or for other motives. That's not the point. With Mr Omtzigt's explanation, I regret to say that I do not recommend this motion. However, I would add that it is still possible for people who do not reasonably have a good alternative to get it on paper. There's no deadline on that. That's what 40,000 people do.
ParlaMint-NL_2016-04-12-tweedekamer-27.u15	The Secretary of State is saying something very strange right now. He says you have to be able to prove to us that you're not doing this to fuck with the tax authorities. So far I have not heard any report from anyone that, for example, student groups say that they are going to ask it all on paper. The Secretary of State himself has never come up with that. Why can't it just be the right of someone who calls for another three years? We'll be out of discussions for a while. Why can't the Secretary of State just promise?
ParlaMint-NL_2016-04-12-tweedekamer-27.u16	The practice is very close, because no one has to prove it. People need to make it plausible. 40,000 people have been able to make that plausible without much difficulty. The IRS isn't cheap and whiny about that. The practice is actually a match. I honestly think that Mr Omtzigt's wish is already practiced, but he formulated it so harshly that I do not want to commit it, because I do not want to open all the doors wide. If anyone can reasonably make it plausible, they get it. It already is. That is a good measure, of which 40,000 people are having fun. I honestly think that Mr Omtzigt already has his way, but he has made the explanatory statement in the motion so strict that he makes it difficult for me to do so.
ParlaMint-NL_2016-04-12-tweedekamer-27.u17	I see Mr Bashir at the interrupting microphone, although it is not his motion.
ParlaMint-NL_2016-04-12-tweedekamer-27.u18	I don't quite understand. This morning I received a letter from a taxable person simply on paper, which described in detail why he did not receive it from the Tax Administration. The person had called the IRS and then explained that he preferred it on paper, with all the reasons for it. Among other things, he was asked about his age. In the end, the request was rejected. Those letters come to me and Mr Omtzigt. We do not understand where the difference is between a taxpayer who wants to communicate with the Tax Administration on paper and who does not or does not want to have any other options, and the Secretary of State, who says: we are generous.
ParlaMint-NL_2016-04-12-tweedekamer-27.u19	It is very good that Members of Parliament are getting mail on this. I ask Mr Bashir to give me this letter, because I do not recognize this strict script at all. Maybe there are things in an organization of 30,000 people that don't happen the same everywhere. I ask Mr Bashir to pass that letter on to me so that everyone can follow the same line in a proper way. That's not an overly strict or acidic line.
ParlaMint-NL_2016-04-12-tweedekamer-27.u20	We are almost repeating the debate here, but many consider this point to be important. Briefly, Mr Omtzigt.
ParlaMint-NL_2016-04-12-tweedekamer-27.u21	So I'd like to get the phone script from the Tax Phone. Really, this isn't about one letter. If I filed a motion for each letter, I'd be in here until the end of the night. We get some signals from people who say: I'm old and I don't have a computer, but because I have a son or daughter, where it would be plausible that they could fill in my tax information on the other side of the country, I should just let them do it. Those people are all getting kicked out now. If the Secretary of State sends the Tax Phone Phone script to the Chamber, we can really check how these people are allowed to participate or not.
ParlaMint-NL_2016-04-12-tweedekamer-27.u22	That's gonna be awesome. Let's turn it around. If Mr Omtzigt and Mr Bashir get so many of those messages, I ask them to send them to me. The Tax Administration does that in a neat way. I tried it myself once, and I really don't think he's too strict. It may well be that different employees interpret that differently, which is enough reason for action. I ask both gentlemen to forward these messages to me so that we can do something about it. It is in no way the case that this is denied to everyone or to many people. Right now, 40,000 people are getting things on paper. They have been able to make sufficiently plausible, without much doubt, that they appreciate this and have no reasonable alternative.
ParlaMint-NL_2016-04-12-tweedekamer-27.u23	I just really want to ask for a phone script. That's just a question of fact. I can also mention Article 68 of the Constitution on information. We can also ask written questions about it. However, I simply note that we have the right to see this. If you think that this is not the case, I should advise you to read the report of the National Ombudsman, which mentions this example as such. And then we can see it. So the question is whether you can please send that telephone script, because then we can see how people are being treated.
ParlaMint-NL_2016-04-12-tweedekamer-27.u24	It is really up to the Chamber to decide how it intends to exercise control over the government. I'm giving a very kind answer here, because I think it's almost awesome.
ParlaMint-NL_2016-04-12-tweedekamer-27.u25	I give the floor to Mr Van Weyenberg.
ParlaMint-NL_2016-04-12-tweedekamer-27.u26	The answer of the Secretary of State that you can always keep doing it on paper if you cannot reasonably do otherwise is of course reassuring. That is also the starting point for my group. I have one more question for you to feel a little bit more about this. Can the Secretary of State say something about how often such a wish is not honored? This gives me a better chance to place the concerns, either now or later in a three-line note. I am trying to find my way between the concerns of Mr Bashir and Mr Omtzigt and the clear commitment of the Secretary of State.
ParlaMint-NL_2016-04-12-tweedekamer-27.u27	I'll see if I can do this. In any case, this is a more convenient request. I'm gonna go see if I can. I don't know if that's true, but if I can, I have no objection to it. Mr Van Weyenberg knows by now how many cases it has received. I come to Mr Omtzigt's motion on double payment. I agree, first of all, that there should be the best possible connection to the moment of enjoyment. I also see that the default should be that there can be paid in instalments. It is, of course, always up to the taxpayer himself to decide whether he wishes to depart from it. I can confirm that, but I find it wonderful to inform you in advance. We try to give it to more and more people in advance, so that the payment takes place in instalments. It happens that one system passes on to another or that the amounts do not match, but the letter itself is already the message in advance. Even before the year is four weeks old, you'll get that letter. Then you don't have to pay anything; then you have the 11 other terms to pay this. The attack itself is the message in advance. If I may interpret it in this way, I also find it sympathetic to rely on payment in instalments as a standard provision. I would like to leave the judgment to the Chamber. However, it depends a little on Mr Omtzigt's severity. We're not sending separate letters about this. Knowing in advance in the year what to pay for the next eleven instalments is, as far as I am concerned, enough in advance. With that reasoning, I would like to leave this motion to the House, because I understand the logic behind it very well. Mr Groot asked the government to find a solution to the persistent problem of converting the loan into a gift. That is still to be done this year. I have even promised to send an interim letter on the state of affairs together with my colleague from SZW. In view of my commitments on this point, I reaffirm that the solution is still in place this calendar year. I don't know if I can get that into the Tax Plan right away. However, I do not think it would be a good idea to arrange this in a separate legislative proposal as soon as possible. If I can remove this point with that commitment, I would like to leave Mr Groot's motion to the House. After all, all that is in it is taken from my heart.
ParlaMint-NL_2016-04-12-tweedekamer-27.u28	I'd like to know what's going on at the time of the Tax Plan. It had already become clear to me in general consultation that the Ministries of Social Affairs and Finance are not putting sufficient pressure on this. The Secretary of State said with a lot of detours that it might be settled by the end of the year. This motion is meant to really push it to a solution.
ParlaMint-NL_2016-04-12-tweedekamer-27.u29	I don't know if there's not enough pressure. The problem is persistent. Maybe now I'm just making things worse: we're not lazy, at most stupid. They're working very hard on it. My commitment was that there should be a solution this year. I do not manage to put it automatically in the Tax Plan, but it must be transposed into law as soon as possible. That is my promise. With that recitation of words, I leave the judgment to the Chamber.
ParlaMint-NL_2016-04-12-tweedekamer-27.u30	But the Secretary of State does give a stand in the Tax Plan?
ParlaMint-NL_2016-04-12-tweedekamer-27.u31	That's right. That's what I promised.
ParlaMint-NL_2016-04-12-tweedekamer-27.u32	I thank the Secretary of State for his reply. The vote on the motions will take place on Tuesday.
