ParlaMint-NL_2016-11-01-tweedekamer-3.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport. I call Mrs Voortman.
ParlaMint-NL_2016-11-01-tweedekamer-3.u12	50PLUS opposed this form of decentralisation. I have just one question for the Secretary of State: isn't this the price we have to pay for decentralisation? We now have 390 savings jars instead of one administrator.
ParlaMint-NL_2016-11-01-tweedekamer-3.u13	You're using the term "spare jars." That would not even be so bad, because that means that we have made enough money available to carry out the tasks. The essence of decentralisation is that care is organised closer to the people. This often benefits quality and therefore it can often be more efficient. I do not go so far as to say that the 1.2 billion is a sign of efficiency, because there are all kinds of nuances to be made. I just said it's a starting year. There may be some registration issues. There has been a transitional problem. So it's far too early to be able to say that. 1.2 billion is a lot of money, and that is why I want to talk to the municipalities about how this is happening, what we are learning from this and what this means for the future. We will not talk about deficits anymore, but about what we are going to do with this money.
ParlaMint-NL_2016-11-01-tweedekamer-3.u14	I still have a supplementary question. We had one administrator; now we have 390 different administrators. Isn't there a danger in there?
ParlaMint-NL_2016-11-01-tweedekamer-3.u15	Municipalities are administrators who all have municipal councils. In it, representatives of the parties sitting in the Chamber and of local parties can watch and see how the money is spent, spent and accounted for. The democratic control of that money and the goals it is used for therefore seems to me to be adequately secured.
ParlaMint-NL_2016-11-01-tweedekamer-3.u16	Over a billion savings have been made, and now there is over a billion left, while there are still municipalities that only make simple domestic aid available to people at cost, while parents wait and wait for youth aid and people with dementia get less day care. That's all against the law. I hear the Secretary of State talking about investigations and administrative consultations. He can always tell me that beautifully. Today, I want the Secretary of State's undertaking that municipalities that do not comply with the law and care money will not be spent on care, will be tracked down and, if necessary, forced to do what is necessary, namely to care for the people who need care.
ParlaMint-NL_2016-11-01-tweedekamer-3.u17	We have had these debates before. Municipalities should not act contrary to the law, but sometimes we suspect that this is the case. We are working on this in two ways: on the one hand, the discussion of the regulation itself and on the other hand, the implementation. When there is discussion about the regulation, we address municipalities. If the execution reveals or if there are indications that there is a breach of the law, municipalities are also called upon to do so by me. Sometimes they are flagged back by the judge; we have also had a debate on that. It is therefore not a question of acting contrary to the law, but of spending the money well and shaping the care well. Acting with the law is independent of the budget. Whether there is enough budget or not, the law should simply be implemented, with appropriate provisions.
ParlaMint-NL_2016-11-01-tweedekamer-3.u18	It is good that the Secretary of State indicates a nuance, but the picture is of course very nasty, especially if you need care, you see that money remains on the shelf and you wonder why you don't get that money. The Secretary of State is gonna look into this. Can he indicate which municipalities are doing well and why? After all, they are now undergoing this transformation; that is what we often call it in policy terms. From these municipalities, the municipalities that do not use the money properly could learn how to do so. Can the Secretary of State take this into account in the inquiry he's going to do?
ParlaMint-NL_2016-11-01-tweedekamer-3.u19	That is precisely the question I am interested in: what factors are at the root of any over-exhaustment and under-exhaustment? Indeed, we can learn a lot from the municipalities that are in the process of transformation. Then we can see whether it leads to a lack of budget or not. So the answer is yes.
ParlaMint-NL_2016-11-01-tweedekamer-3.u20	I think it would be wise for the Secretary of State to investigate, because we want to know why. There are municipalities that lack money and there are municipalities that have money left. I'd like to get a commitment from the Secretary of State. There are waiting lists for Safe Home and Child Services. Budget often plays a role in this. Can the Secretary of State talk to the relevant municipalities and the Association of Dutch Municipalities? I do not think it is possible for a municipality to have any money left while there are waiting lists. I think that money should be spent there.
ParlaMint-NL_2016-11-01-tweedekamer-3.u21	In any case, Mrs Bergkamp expresses one of the reasons why I would like to go deeper into this. Again, there doesn't necessarily need to be a relationship between a budget deficit and the provision being made, but if there are doubts, if there are waiting lists while there is money left, one and a two. That conclusion was quickly drawn. That's why I want to know the seam of this. I will therefore indeed talk to the municipalities and providers about this.
ParlaMint-NL_2016-11-01-tweedekamer-3.u22	I think the Secretary of State could have known a lot. He is talking about nuance today, but the word nuance has been chosen very badly here. We've all been debating here. There has been more than one billion cuts in these posts, and now more than one billion more cuts have been made. We all know why: because the Secretary of State arranged in the new laws for municipalities, for example, to increase their own contribution to 100% and some municipalities did so. That is just one example of all the additional possibilities the Secretary of State created for municipalities to carry out their new tasks. And now he's talking about nuance!
ParlaMint-NL_2016-11-01-tweedekamer-3.u23	And the question is?
ParlaMint-NL_2016-11-01-tweedekamer-3.u24	Does the Secretary of State realize that the dramas for all those elderly people who were cut short on their hours and all those children who are waiting for psychiatric help are the result of the letters in his laws?
ParlaMint-NL_2016-11-01-tweedekamer-3.u25	First of all, it is very doubtful whether this is caused by the higher own contributions of municipalities. Anyway, that'll turn out to be the case if we look at it further. Secondly, we have established with each other what the own contribution system is and what municipalities can or cannot ask for, given people's incomes. Parameters have been established for this purpose. So we've established a legal arrangement with each other. Municipalities have to stick to that unless they want to establish it lower. We have established here with each other what municipalities are and are not allowed. They can do something else, namely: lower if necessary.
ParlaMint-NL_2016-11-01-tweedekamer-3.u26	A second supplementary question, Mrs Agema.
ParlaMint-NL_2016-11-01-tweedekamer-3.u27	You know that the nuance is far removed when it comes to these issues. As you know, municipalities like idiots have gone down with the blunt axe in the care that 30,000 lawsuits have been conducted and that the Central Board of Appeal has righted all those who appealed against the hours of care they were taken away from them. We know the kids on the waiting lists for psychiatric care. The municipalities have gone crazy and have cut twice as much as they intended. I'm gonna ask the Secretary of State how he's gonna reverse this mess.
ParlaMint-NL_2016-11-01-tweedekamer-3.u28	I have just tried to answer that, but that may not satisfy Mrs Agema. Firstly, we have adopted a law with each other which states what municipalities must do in order to provide appropriate facilities. That law has established a majority of the Chamber. Secondly, a budget has been made available to the municipalities with which they have to do so. We made the agreement with the municipalities that the budget is for better and for worse. They can't say they're short and they don't do their jobs. Nor can we say: there is money left, give me that money. We did agree to follow it. So over a longer period of time, we are not just looking at how things are going for a year, so that corrections are possible. I said, with all the nuance you can put in, I think it's a lot of money, too. That's a reason for me to ask exactly what's going on. The municipalities have some explaining to do, partly in view of the huge targets we have ahead of us and what we all have to settle. Now that this has been noted, we no longer need to talk about whether there is a shortage of money. We must say that this may not be the case and that we should look at it again next year. The money must be spent on what it is intended for, namely good care for young people and the elderly.
ParlaMint-NL_2016-11-01-tweedekamer-3.u29	Older people who have to go to court for care, kids on the waiting list for psychiatry, caregivers who don't make it, tens of thousands fired, and then 10% left on the budget you get for it. A Secretary of State who says: I am going to look into it further, but we also need to move forward in full speed. Is it not better for him to acknowledge that he has made a big mistake about the backs of the elderly, about the backs of children and about the backs of the care workers, and that he must intervene? I call for good rates, budget tags and a return of the right to care.
ParlaMint-NL_2016-11-01-tweedekamer-3.u30	It is not for nothing that we have adopted a law, perhaps not with the support of the SP, but with the support of the majority of the Chamber, in which we have defined the tasks of the municipalities in the area of the Wmo and in the area of youth care. The budget has been made available for this purpose. We've made agreements about how we do that. We have also provided guarantees in the law for the setting of good rates by the municipalities. We have also made a commitment on this matter to the Chamber earlier, and we are going to lay down further rules for this, which are now before the Council of State for its opinion. I made arrangements with the Chamber on that. Then there's the decentralisation movement. In a couple of years, we're gonna make that move. I find it strange to say to the municipalities in the first year, in which municipalities have to look a bit at how things are going, that things are wrong. You really need to assess this in a number of years. I agree with you that 1.2 billion is a high amount. That is why, despite the fact that we have to look at this in the long term, I already want to know what's going on so that we can see what it means. What does it mean for the 16- and 17-year-olds, to whom Mrs Voortman asked, and what are we going to do now about possibly accelerating the renewal that we had in mind? That was my plea.
ParlaMint-NL_2016-11-01-tweedekamer-3.u31	A second supplementary question, Mrs Leijten.
ParlaMint-NL_2016-11-01-tweedekamer-3.u32	We are not dealing here with a Secretary of State for Finance and a bureaucrat, but with a Secretary of State for Health and Welfare. He's supposed to stand up for the elderly and children in need. He's not supposed to facilitate the layoffs, but he's supposed to make sure there's jobs. The Secretary of State doesn't do that. He made a big mistake with this operation. Is the Secretary of State prepared to regulate decent rates, both in the Wmo and youth care, to assess the budgets and to reduce the right to care? We'll know that at least we're heading in the right direction.
ParlaMint-NL_2016-11-01-tweedekamer-3.u33	We've been talking about good rates. The Court knows that an AMvB is in preparation which lays down detailed rules for the municipalities as regards tariffs. The AMvB on procurement lies with the Council of State for advice. As soon as we have received the opinion, I will make my proposal to the Chamber. In this Chamber, too, there has been talk of whether or not the budget is earmarked for the social domain. The Court's opinion stated that ear tags have a number of disadvantages. We have agreed administratively that it is in the interests of both the Empire and the municipalities to continue to use the budgets for the social domain also for the social domain. I have no reason to believe that municipalities would not reserve that money for the social domain, even now that they are talking about it. The money's not gone. I have just said that the Court of Auditors has made a number of comments on ear tags. They have led the Chamber not to decide on ear tags, but to make the administrative agreement with municipalities that the money for the social domain is preserved.
ParlaMint-NL_2016-11-01-tweedekamer-3.u34	On this point, I have also adopted a motion for a resolution. Money reserved and left for the social domain must also be spent in the social domain or remain available for it in the coming years. But I hear there are municipalities that don't do that anyway. They still spend that money on other things. I'd like to hear from the Secretary of State what he thinks about that and what he's going to do about it. Of course, the AMvB that regulates the rates within the Wmo is not about youth care. Does the Secretary of State think that this AMvB should be widened, so that this also applies to youth care rates from now on?
ParlaMint-NL_2016-11-01-tweedekamer-3.u35	As far as I know, the Youth Act already contained a number of further safeguards regarding the rates of youth care. We also mentioned this during the preparation of the AMvB based on the Wmo. So that's what both laws say. We have agreed to make an administrative arrangement rather than an Earmark, with the aim that both parties understand the importance of the social domain being used for the social domain as well. I have not received the signals that Mrs Voortman has apparently received and which show that municipalities would not do so. But that's exactly why I'm talking to these municipalities together with the VNG, so we can look at the budgets, why they're left over and what that means.
