ParlaMint-NL_2016-11-08-tweedekamer-37.u1	Let's move on to the debate. All Members are very welcome to follow the debate.
ParlaMint-NL_2016-11-08-tweedekamer-37.u12	I do not agree with the interpretation of the referendum law given by Mr Klein. The referendum law requires that, after a consultation referendum has taken place, the cabinet comes to the Chamber with a proposal. That proposal may be to accept the result, but it may also be to reject the result. I would like to find a way to give a place to the substantive objections. A number of Members of Parliament have also explained them in detail. I remember the debate between Mr Roemer of the Socialist Party and Mr Samsom at Nieuwsuur. I believe Mrs Maij mentioned the list. Those points can also be found in our letter. These are also the points mentioned by the organisers of the referendum itself directly after the referendum result. Bart Nijman spoke on 7 April in the Volkskrant and Thierry Baudet on 7 April in the programme Pauw about the substantive arguments and points that had to be addressed. They both said it didn't have to lead to the rejection of the association agreement. In fact, Baudet even wanted to offer to sit down with Cliteur, Van Ham and Harry van Bommel to draw up a manifesto on what I should negotiate in Brussels. Shows it's not that simple and black and white. In addition, a referendum is only about a national issue, but this is not about the choice of a particular building or a Dutch flag, as was the case in New Zealand the other day. This is about a multilateral treaty with far-reaching implications if we say yes or no to it.
ParlaMint-NL_2016-11-08-tweedekamer-37.u13	Prior to the referendum, the Treaty was, according to the Prime Minister, a trade treaty and no more. We didn't have to make it bigger than it was. Now he's really pulling everything out of the closet. He's bringing Syria in, he's bringing Russia in, you name it. What's with the turn? Didn't the Prime Minister learn from 2005? He undoubtedly remembers Brinkhorst and Donner who said: if the Netherlands votes against the European Constitution, the lights go out, then it becomes war. That is the language of war that the Prime Minister himself is working on. That's blackmail. Why would he do that?
ParlaMint-NL_2016-11-08-tweedekamer-37.u14	I said on 10 January in the Buitenhof programme: it is a treaty that oversees the building of the rule of law in Ukraine; it is in our interest to have stability on the borders, on the skin of Europe. I said on 30 March in Nieuwsuur that Ukraine should develop a good relationship not only with Europe, but also with Russia, of course, and that geopolitics is important to the Netherlands that this is happening. I said on 2 April in the daily newspaper: the association agreement is about stability at the borders of Europe. On 5 April in the Metro newspaper, I spoke about the Dutch interest in stability at the borders of Europe. And in Giel Beelen's programme he quit this week, but then he was there on 6 April 2016, I said: there are attacks, there is corruption, there are geopolitical tensions; what you obviously want to try as a united European Union is that you have a relationship with your neighbors, in this case Ukraine, that contributes to reducing those tensions. So I did say this, and that also applies to the 90 appearances of members of the cabinet in the run-up to 6 April. In addition to the trade part of the Convention, yes, it is also a trade agreement...................................................................................................................................................................................................................................................... If you look at the developments between Russia and Europe in recent months, I would also point out that these arguments, which were already discussed at that time, are now even more pressing.
ParlaMint-NL_2016-11-08-tweedekamer-37.u15	The Prime Minister's tone today about the dangers of not ratifying et cetera is not comparable to the tone the Prime Minister used for the referendum. Then he talked about a small treaty and said we shouldn't make it that big. That's what the Prime Minister deliberately wanted to radiate back then. Then the treaty was said no and the message of the people was clear: we do not want this treaty. The Prime Minister has zero-point proof that if the Netherlands decides not to sign this treaty, we will face the calamity he has predicted. That's all we're asking. That is the only thing that turned out to be the result of the referendum. Why does the Prime Minister not meet that wish of the majority of the population?
ParlaMint-NL_2016-11-08-tweedekamer-37.u16	I think it is fine if my words are displayed in a different way here, but they don't have to be right about that yet. Mr Van Dijk may do so here, but let me stick to my own words. Basically, a situation has grown between Europe and Russia both before 6 April and after 6 April, which has only become more pressing in the last few months, and we must do everything we can to ensure that we do not break European unity in the way we relate to Russia. That's what I think, and that's what this cabinet thinks. I said very plastically that we are not blinking. The treaty with Ukraine comes from the Vilnius Summit in December 2013 and has been translated into the political revolution in Ukraine itself. That treaty was fought by Russia from day one, by Moscow. Bert Koenders, the Foreign Minister, has therefore said for a reason that the champagne corks will pop in Moscow if that treaty goes off the table. It is in the Dutch interest that we do not take such a step. And then comes the complicated quest, but sometimes it's politically complicated. Sometimes politics isn't black and white, it's not easy. Sometimes it's complicated and then the search comes. That is why I started with the two book-supports, the two preconditions mentioned by the Christian Union and D66 in the first term, namely the search for the substantive answer to the no vote and at the same time preventing the Netherlands from harming European unity.
ParlaMint-NL_2016-11-08-tweedekamer-37.u17	The argument put forward by the Minister today and also a few weeks ago is serious. It's just part of the debate. However, I am very critical of that. I'm telling you the truth. I'm more concerned with the way in which it's done. Because during the referendum campaign, the Prime Minister gave arguments, which he must also admit, and then you could be for or against. Eventually, it became a no. Now it is true that the cabinet actually says to the Netherlands: you cannot do this at all, because this is so very important; we stop it. That really should have been said in that campaign. It can't be that it doesn't come up until later. I'll quit in a minute, Mr. Chairman. Less than a month ago, the Prime Minister himself here in the Chamber took it up, because I heard him say: 'The failure to sign the association agreement would, in my absolute conviction, lead the other 27 Member States to continue. They'll have to settle a few things legally, but it can go on." He literally said that in the Chamber, here, so it's the truth. That's very unusual, especially if I put that next to what the Prime Minister is saying. I would like to explain this.
ParlaMint-NL_2016-11-08-tweedekamer-37.u18	I'm giving two responses. The first comment relates to the first half of Mr Buma's question. I believe that the cabinet, myself and others, has always brought this element to the attention of the media. If that was not enough in Mr Buma's view, I accept that. Perhaps we should have put even more emphasis on that; I would like to admit that. I have just mentioned examples of how I used the geopolitical argument and the stability argument in the run-up to 6 April. Again, I don't want to fight over that, because then you'll get a battle over size and so on. The next question is: how long does it take to find an answer? At least for too long, that's what we wrote in the letter. Then I come to the second point. Mr Buma is right about that. It is true that if the Netherlands were to say that we do not do it, and if it does not, I believe that the 27 other Member States will find a way to regulate the trade agreement in one way and perhaps other things intergovernmentally. That is true, but that does not alter the fact that the Netherlands, when the decision to remove the treaty from the table, sends a signal as a large country. We are the sixth economy of Europe and the fifth economy of the euro area, so we are not a small country, but we do have a very strong interest in European unity. The signal we then send is that we are breaking European unity. I can assure Mr Buma that this will have far-reaching consequences in Kiev and in Ukraine itself, for their attitude in Europe. The question remains as to whether Ukraine and other countries are going to participate in those other solutions that would be possible. At the moment when the Netherlands does so, the association agreement symbolises stability on the edge of Europe is on the table. Of course, Europe always finds other ways to find solutions, but that political fact and that blinking towards Russia is extremely unwise to me and not in the interests of the Netherlands. Can I add one more thing? I understand Mr Buma's attitude, and I respect it. He says: we were against the referendum; we were in favour of the association agreement; there is a statement by the Dutch electorate; we now want to come to a clear conclusion and no is no. Nevertheless, I ask him to act in the interests of the Netherlands. Mr Buma also insists that the Dutch interest should be taken into account. It is also a fact that the referendum law is not as black and white as some suggest. I ask him to look with the cabinet in Dutch interest for this way out and to leave room for us to finally agree, if we come back from Brussels with a result of negotiations, in order to prevent us from breaking that European unity.
ParlaMint-NL_2016-11-08-tweedekamer-37.u19	The Prime Minister's question is fine. My point remains, as I said in my speech, that we do not have a Ukraine treaty ahead of us as 150 MPs and the cabinet. That question has indeed been asked to all those people and I was against it. That does something with democracy and with what we radiate and are here. That's something that's going all wrong. It lies not only with the Prime Minister, but also very much with the Chamber, but we do have to deal with it. In that position, during the referendum, it was revealed that it was a trade agreement at its core; we actually think you should vote against it, but we leave it to you to judge. In my view, the cabinet knew for a long time that it could not do that. I'm almost convinced of that, but I can't prove it. I don't think this is possible. The Prime Minister also said on 14 September that he felt that there was a very small chance that it would be possible to get out with Europe. Surely that is not consistent with the sense that we can only agree, otherwise Europe will be divided? On 14 September, the Prime Minister assumed that there was a good chance that he would return to the Netherlands without a treaty. This is not consistent with the statement here that we must sign for Europe.
ParlaMint-NL_2016-11-08-tweedekamer-37.u20	Let me start with the third point. A European Council was then held on 20 and 21 October. On the basis of the conversations behind the scenes, I felt that it was possible to achieve what we wanted to achieve. I didn't have any guarantees. It could be that it would crash for the next few weeks and it wouldn't work, but I thought it could work. That was a real insight I had gained there. That's one. My response to Mr Buma's second point is that the referendum law is not black and white. It is not a corrective referendum, but a consultative referendum, which also explicitly requires that the government comes after the referendum with a confirmation or withdrawal law. Then the final point. Mr Buma has said a number of times that he thinks that we should have made this argument sound heavier in the campaign itself. I just mentioned all the quotes in which that happened. In any case, I have put myself mentally into that campaign with the arguments that it is a trade treaty, but that it is also about stability in Europe. It would contribute to making Ukraine more stable, without a membership perspective, in the interests of Europe and therefore also in the interests of the Netherlands. Russia was already becoming more aggressive, especially after the events in 2014, with Crimea and the interferences in Eastern Ukraine. It was in my head. We've been putting that forward over and over again. We can have a whole discussion about whether that was enough. If that wasn't enough, we should have done more. I think we've done enough and the argument has always come out. The fact is that there is a statement; Mr Buma is right about that. There is a statement, but I do believe that we now have a duty to do so, and that is the leadership that we, as politicians, are being asked to take into account, in the context of the scope that the law offers us, and the law gives us that space, also to look at the content of what has been discussed in the campaign and at the great interests at stake. We must find the exact path between doing justice to the outcome on the one hand and not breaking European unity on the other. That is also what I am saying to the CDA, a party to which I have not always successfully been able to appeal for cabinet policy in the Netherlands in recent years. I respect that. But to this day, I have never doubted it and I do not wish to doubt it, but I am now beginning to doubt a little bit that I would in vain appeal to the CDA in this kind of great interest. That's very personal. I also call directly on the leader of the CDA. I really ask him to leave the room to be convinced by what the cabinet comes back with from Brussels.
ParlaMint-NL_2016-11-08-tweedekamer-37.u21	If the Prime Minister makes calls like this, I'll hold off and try to get to the content. The content remains, I say this only more firmly, that if there is a referendum and these things are going on, then it is no longer about us one hundred and fifty, about the Prime Minister or about me. That's a question that's been thrown out of your hands. I can only say that people have seen that as a real question to them. The Prime Minister has allowed the referendum law to happen before his feet. His own coalition partner supported it. Later, the Foreign Minister said he was not happy with it, but his party supported the law. There's two things left. One: the geopolitical aspects were already playing. Politics, as I say to the Prime Minister, is also saying the right things at the right time, not six months later. The second is an appeal to the Prime Minister, but it is actually too late. I really do not understand why the cabinet says all this, but it simply maintains that referendum law. At the moment, the climate treaty is in play in the Chamber. That thing's gonna shut down for six weeks. Then referendum signatures can be collected. Does the Prime Minister see fit: a referendum on the climate agreement and the Netherlands say no? Does he see it for himself: a referendum on CETA? The Prime Minister is going to say: support Buma, national interest! Why didn't the Prime Minister start repealing the referendum law the day after he said this?
ParlaMint-NL_2016-11-08-tweedekamer-37.u22	Let me try to get all the dust off the file. Is the geopolitical argument mentioned or not enough in the campaign for 6 April? I think so. Mr Buma does not think so. I am even prepared to agree with Mr Buma if that could eventually lead to a joint position on how we should proceed now. Is it taking too long now? I do think it's taking too long. There are reasons for that, and I can mention them all here, but it's just taking too long. That seven-and-a-half month was more of a point of D66 than of the CDA, but I think it's a fair reproach. We wrote that in the letter, too. I do not agree with Mr Buma on the referendum law. That law leaves room for a trade-off. It's not a corrective referendum. It's a consultative referendum. So that does not relieve us of the obligation to find something about it in the end and to look at how we are going to deal with it at international level, especially in the case of a multilateral treaty. I also understand that Mr Buma says: I do not want to solve the problem. I get that. I get that he says: the PvdA does sister, sits with the VVD in a coalition and then the CDA has to fix it. I understand the irritation. I also understand that he's saying, "Wouldn't you like to rescind the law?" If it is up to me personally, as Mr Buma knows, it will be over tomorrow with the referenda, including the consultative referenda. I'm against it. But Mr Buma also knows what would happen politically if the cabinet were to come forward with such a proposal. What if I did what Mr Buma asked and I could convince the coalition of that? That is just the question; in that respect, I am empty-handed. Mr Buma is therefore making a successful attack there. I'm not running away from that. I'm standing there empty-handed. But let's say I managed to agree in the coalition on repealing that law. What would that mean politically in support of the way in which we now deal with this consultative referendum? Mr Buma knows that too. So if you're gonna tie all that up, my experience in 12 years of politics is that it's gonna be so hard and so big that you're never gonna get out. In view of the political reality and the great importance at stake here, I would ask Mr Buma to do the following. I'm not asking him to say right now, okay, I'm supporting what you're coming back with. But can I ask him to offer a very small bit more opening to perhaps, convinced by the combination of what we come back with and the interests at stake, give support to that outcome?
ParlaMint-NL_2016-11-08-tweedekamer-37.u23	Mr Buma, finally, on this point.
ParlaMint-NL_2016-11-08-tweedekamer-37.u24	It is a good thing that this is being changed, because I think it is a complete lack of leadership for a cabinet when the Prime Minister says here: as a person I am against a certain law, but I am sorry, I am Prime Minister, so we are not doing it. If it's as serious as the Prime Minister says, I say he's not just standing here in the Chamber. It's about the 17 million Dutch looking at us. They see that this Chamber and this cabinet deal with the referendum in a lousy way, in advance and now. Then there are two possibilities. Or we say to the Netherlands: sorry, annoyingly done but we continue. And we're going on, because as I just said, the climate law and CETA are coming up. Or the prime minister says, "Sorry coalition, I'm the prime minister, and we just don't do it like that." But he didn't. And so we roll on. He must indeed not look at the CDA but at his own cabinet and himself.
ParlaMint-NL_2016-11-08-tweedekamer-37.u25	I bow my head to the enormous leadership that Mr Buma would apparently show, but I find it really naive. I'm sure he knows that, too. He's now trying to use it as an argument to run away from his responsibility. I understand what he's saying, but the assessment I'm taking is that it's politically completely impossible to start a fundamental debate on the referendum law right now. Mr Buma knows that as well as I do. It is completely unrealistic, for all kinds of reasons that I do not have to spout out here. Given that fact, I say: CDA, do not hide behind it, as a party that has delivered almost all the post-war prime ministers who are responsible for the whole post-war order of this country and who has always taken responsibility for the international political interests of the Netherlands. Don't hide behind such a political argument and take responsibility. Once again, I am not asking Mr Buma to say yes to what I am coming back with. I'm not asking anyone. All I'm asking is that we leave room for the possibility that there might be a chance of convincing with the result.
ParlaMint-NL_2016-11-08-tweedekamer-37.u26	I consider the strong emphasis the Prime Minister places on the geopolitical aspect of the Ukraine Treaty to be extremely controversial. I also find it extremely complicated that the Prime Minister is now putting this forward. Does the Prime Minister seriously believe that if we had all voted yes to the Ukraine Treaty in the referendum, it would have had a significant impact on the fact that Putin would or would not have bombed civilians in Syria, that he would do military exercises along the border or that he would continue to burn in eastern Ukraine? I find the Prime Minister's assumption to be false. I think he is making an extremely annoying claim to the parliament and to the Dutch people by saying: I am going to play it like that, as if that would have a substantial impact. I would also like a response from the Prime Minister to what I said in my speech and which is also important. As long as the Netherlands is working on its gas roundabout strategy and its purchase and transit of oil and gas from Russia, it is extremely unbelievable to place such a strong emphasis on a geopolitical aspect of a treaty with Ukraine.
ParlaMint-NL_2016-11-08-tweedekamer-37.u27	Mr Grashoff would be right if I had put it that way. The mirror image of that would have been that a yes vote would have led to world peace. Then the cabinet would have used a gross exaggeration; he is quite right about that. The reflection of this is that a possible rejection by the Netherlands will weaken the European position vis-à-vis Russia. Hard guarantees I can't give at all. I can only outline how I, the Foreign Minister, the Cabinet and the European colleagues assess the situation and how serious the situation is at the moment. I am appealing to Mr Grashoff and I have also received many reactions from him in recent weeks, because GroenLinks also has a strong international wing to be open to the international political argument, in the best tradition of his party. That the SP, the PVV and the Party for Animals stay where they are, I understand; that fits with their political positioning. But I don't get it from GroenLinks. Mr Grashoff can try to exaggerate and ridicule what I have said. Fine. If that helps, so be it. It's just not what I said. He brings in the gas roundabout and everything. I will come back to the questions about gas supplies, because, of course, we must quickly reduce our dependence not only on Putin but also on the Middle East in the context of our energy security. He's absolutely right about that. However, if you put all this aside, it remains at the heart of the question whether, in this geopolitical constellation, you can be the only Member State of the European Union to show such a weakness at such an important moment, in order to be as strong as possible towards Russia. Then I can ask the Chamber to consider that, can't I?
ParlaMint-NL_2016-11-08-tweedekamer-37.u28	It shouldn't be any crazier with this reversal. If there was one party that fought for this treaty in the campaign, that was GroenLinks. Then the Prime Minister did not actually come out of his chair and now, six months after that, he is still trying to save this treaty, with a much too heavy emphasis on the geopolitical aspect, as he himself fortunately admits. That is an unbelievable story, and it is even more unbelievable in the light of Dutch energy policy. If the Prime Minister doesn't act on it and make no changes, he'll remain as unbelievable as he is now. That will convince the GroenLinks supporters and not a single Dutchman.
ParlaMint-NL_2016-11-08-tweedekamer-37.u29	Okay. Mr Grashoff decides what he thinks. I have put forward on behalf of the cabinet why we consider it important not to weaken Europe's position. European unity in an uncertain time is also a Dutch interest, because the Netherlands is embedded in European cooperation. We have a co-responsibility for that. That is therefore both a direct and an indirect Dutch interest. I am absolutely prepared to call upon Mr Grashoff's spirit and say that we should have done more before 6 April. I think we have done a lot, but if it helps, I would like to say to Mr Grashoff that I have just said that to Mr Buma and say that we should have done more. I also accept the criticism that is partly justified in saying that we have been working too long since the referendum, but it is not at the heart of the matter. At the heart of the matter is whether you, as responsible politicians, are prepared to step over this shadow and say that there is a greater interest at the moment, so that you are willing to give the cabinet room for those talks. Mr Grashoff has shown this. But are you also willing to listen to the results with open ears?
ParlaMint-NL_2016-11-08-tweedekamer-37.u30	The Prime Minister calls for greater importance. First of all, he should have done that before. Secondly, he should not exaggerate the geopolitical point, if he sees it that way. Thirdly, if the Prime Minister really wants to make a move on that chessboard, we expect serious proposals from him who actually affects the geopolitical situation and the power that Russia draws from his energy sales.
ParlaMint-NL_2016-11-08-tweedekamer-37.u31	It's not or-or, is it, and-and? Mr Grashoff is quite right about the dependence on Russian gas. He's absolutely right about that, but if you do one, you don't have to leave the other, do you? Surely that does not relieve us of the duty to prevent us from weakening our European position vis-à-vis Russia?
ParlaMint-NL_2016-11-08-tweedekamer-37.u32	I have listened carefully to the Prime Minister and I have heard him say that European unity is also in the interests of the Netherlands and that we have no choice but to continue with the Treaty, given Russia's attitude. In fact, the message is: we have no choice but to continue, and that is in Dutch interest. But in the past, this was also the reason for saying that the euro should be there, that Greece should be able to join the European Union and that there should be a constitutional treaty. There were all pathetic arguments about this, which were not nonsense, but the price of which was in the end that many citizens were alienated from the development of Europe. Does this whole process not feed the enormous alienation of many citizens from the national government and parliament?
ParlaMint-NL_2016-11-08-tweedekamer-37.u33	This concerns our leadership, the joint leadership. I have spoken to a great many people in recent weeks, including many who voted no, who say: we understand why you are fighting for this; do your best to find an answer to that no vote in substance. This concerns all the points we mention in the letter. Those people also understand that there is a great deal of interest here, which means that we need to look for a substantive answer that does not break European unity. That is our common interest. That is what I am saying to Mr van der Staaij, who I have always known by my side on that point. I'm sure he and I can join forces and explain it well. We won't convince everyone. That too is a fact. This isn't a popular road. It would have been easier to say no is no; we are doing this. But leadership also means that sometimes you have to do things that are very important. That's what you stand for. I've said before: you should be careful not to be so busy with all of you keeping your job that you don't do your job anymore. We have to keep doing our job. If we believe in something and see the importance of something, I cannot imagine that I do not know Mr Van der Staaij by my side, then together we are also able to convince not everyone but as many people as possible of that line. Let's not kill the flag in advance.
ParlaMint-NL_2016-11-08-tweedekamer-37.u34	We all speak different people, but I really cannot explain it to people who say: when it comes to the whole of Europe, I find it difficult to say that every time we have no choice and that European unity is in the Dutch interest. That's what the train always has to permeate. That's where people feel discomfort. We did not see anything in the referendum either, but if a referendum is held, you cannot say yes or no; if you say yes, it is a support in the back, and if you say no, we are going to explain why the answer should be yes. That is not a credible answer to the citizen, is it?
ParlaMint-NL_2016-11-08-tweedekamer-37.u35	I share that view of Mr Van der Staaij. Of the people I speak to, there are a lot of people who say: it's like the train's always going crazy. Mr Van der Staaij says the same thing. Then you continue on this subject and you ask: what exactly is going on here? On the one hand, it's about content. When you ask what it was about in the campaign, people say no accession. That's right. They also say no collective defense. I agree. It is also said that no new money, no free movement of workers. I think we can all address this in a legally binding way. That's one side of the story. At the same time, I ask: if you look at what is happening at the moment, what is the geopolitical situation and how it has deteriorated in recent months, do you understand that we are doing our best not to break European unity at the moment? A lot of people say: I get that. Not everyone says that. This isn't easy. If it were easy, we would not have had a debate on this either. I am convinced that if Mr Van der Staaij and I deal with it, together with a lot of others here, we will be able to convince a lot of people in the social debate that will take place in the coming weeks. But we can't convince everyone.
ParlaMint-NL_2016-11-08-tweedekamer-37.u36	But it is quite a job to do that crediblely when you say that we have to make a fist against Russia, but that we are going to decide that there is no security guarantee for Ukraine in the treaty and we are going to explain it. It is said that we must make a strong fist against Russia, but we are going to say that no one is obliged to cooperate in military matters. It is also said that it is not a step forward for the European Union, but there is a resolution from the European Parliament and there is a Commissioner who says that, of course, it is in the interests of the unity of Europe and the fist we are making against Russia, that Ukraine should also be able to join. You can always find patient words to write all that down, but is it ultimately credible to explain? I've got a hard head in it.
ParlaMint-NL_2016-11-08-tweedekamer-37.u37	However, we cannot convince everyone. Mr Van der Staaij just mentioned these elements. Mr Buma also said that the Treaty should not, in principle, cover those elements. The problem, however, is that a lot of these things are gradually being portrayed by politicians at very senior European level, so it is also likely to become part of the legal history that the treaty is about that. That is why I am looking for a legally binding declaration to clarify these points and thereby bring the Treaty back to its essence. If you do so, I am sure that you will not weaken your position vis-à-vis Russia, but strengthen it by allowing the treaty to continue unexpectedly. If you do not, if you remove the signature, I fear that the effect, as I have outlined, will occur. Quite a few questions have already been answered in the interrupting debates, but that is in fact always the case, Mr President, when you chair when I am in the Chamber. I have not yet answered Mr Grashoff's justified question about the fight against corruption and what the Netherlands can do to support Ukraine in this respect. The Association Agreement provides a basis for the fight against corruption. The Netherlands is also bilaterally active in this field. I have also often spoken to the Ukrainian President about it. In the field of constitutional reform, the Netherlands has specific institutional knowledge that can benefit a country such as Ukraine. The Matra programme of the Ministry of Foreign Affairs offers scope for projects. As a cabinet, we invest around €750,000 in projects that aim at combating corruption. From the Stability Fund, the Netherlands finances, among other things, a project of Transparency International, which tackles corruption within the Ministry of Defence and the Armed Forces. Bilateral support can also continue without the association agreement. We will certainly do the same if that would fall unexpectedly. We will also intensify that, but with the association agreement........................................................................................................................................................................................................................................ But even without that treaty, a great deal can go on. I have answered most of the questions.
ParlaMint-NL_2016-11-08-tweedekamer-37.u38	I have listened with great attention to everything the Prime Minister has said. I have indicated that we would like to give the cabinet grinning teeth six weeks before the letter. I do have a question for the Prime Minister. If he looks back at the past year, does he feel like the cabinet has misjudged things, should have done things differently? If so, what else should the cabinet have done? It seems that the Prime Minister is doing a little too much to talk about things, especially when it comes to the way things were, while the cabinet has dropped a few stitches. Different parties have said at different times that things had to be different. Every time it was, no, no, no. I'm grinning my teeth right now. I would ask the Prime Minister to look back on this.
ParlaMint-NL_2016-11-08-tweedekamer-37.u39	I can do that in good faith, but Mr Verhoeven will allow me to defend myself on the criticism that we did not mention the geopolitical argument. If so many people say it wasn't enough, then of course those people are right. We would have had to do much more to make that geopolitical argument before 6 April. I've indicated where that did happen. Mr Verhoeven knows the joke about that one ghost rider. No, I'm looking at 100.
ParlaMint-NL_2016-11-08-tweedekamer-37.u40	I don't know it.
ParlaMint-NL_2016-11-08-tweedekamer-37.u41	Well, it's a well-known joke that goes here, too. If so many people say that we should have done more, I would like to admit that I am wrong in that regard. I also mentioned the second point in the letter. That has to do with time. There are mitigating circumstances, such as the brexi-affectingum. The head in Brussels was not like this, but what is the net effect? Today is November 8th. The referendum was held on 6 April. We've been seven months and a few days. That's a long time. That's what I write in the letter. That's an unpleasant long time. I understand that this already causes irritation in itself. On these two points, I admit that we could have done it more intensively on the first and on the second.
