ParlaMint-NL_2016-06-14-tweedekamer-24.u1	Six speakers have spoken on the side of the Chamber. First of all, Mr Omtzigt has the floor.
ParlaMint-NL_2016-06-14-tweedekamer-24.u12	Mr. Chairman. There have been very many questions that I can fully agree with. So I'll be brief. For the record, we can agree to the proposed legislative changes, even if it is only to prevent banks based in Curaçao from facing an American criminal charge. I would like to dwell on two more questions. I read in the documents that we intend to modernise the tax treaty with America. I would like to put a very specific question to the Secretary of State. Is he prepared to lay down in the tax treaty issues relating to the sale of the home that is not really double taxation? In this way, people of American nationality do not have to pay that tax if they sell a house in the Netherlands. It is an international principle that real estate is taxed in the country of residence and not in the country of origin. Does the Secretary of State not consider it to be a violation of Dutch fiscal sovereignty if America taxes sales profits on house transactions in the Netherlands? I'd like to get a reaction to this. Does the Secretary of State intend to exempt certain income items from US taxation? That indeed presupposes that you have knowledge of American tax legislation. So here is another task that has been left behind in the note on the basis of the report. Furthermore, I am asking whether the Netherlands cannot do anything more to support people of American nationality who want to get rid of that nationality. That has already been noted. There are a lot of people with American nationality who actually want to get rid of it, especially now that they have to report it every year. This does not seem to be easy in practice, because then you have to lighten your entire fiscal baptism back to years. It may be that a lot of taxpayers' data has been lost. What can the Dutch Tax Administration do to support these people? Finally. What is the situation with the US Congress in order to resolve the problems of the reporting obligations of people of American nationality?
ParlaMint-NL_2016-06-14-tweedekamer-24.u13	We have reached the end of the first term of office. I see the Secretary of State can answer immediately.
ParlaMint-NL_2016-06-14-tweedekamer-24.u14	Mr. Chairman. First of all, I'm gonna go into the question of how this is going to be governed by state law. I'm a third-hand today. The Minister of Curaçao could have been here. He defends this first in his own States, but can then do it here at Kingdom level. If he does not wish to use it, the Foreign Minister does so, but he also had a special reason not to use it. So now I'm here to talk about something that's in the spirit of tolerance. However, it also has a fiscal connotation and that is why I do this with love on behalf of the cabinet. However, I remain a bit of a third hand. This American legislation was already there. The treaty doesn't change that. I think Mr Omtzigt has explained it very well. If you were born in America or even if one of your parents was born in America, you're American. A little further, I think it'll start in an hour. Bruce Springsteen will sing: Born in the USA. Well, that's exactly the problem. Nor is this treaty about the need for data exchange with the United States, which is necessary under US law. In fact, US law forces financial institutions to report it if someone is American according to the American definition. This Treaty only makes it easier for all parties, financial institutions and those involved, at most. I will deal with Mrs De Vries' question later on as to what will happen if we do not adopt the Treaty. At least that legislation is not before it; it has always been there. We are not talking about this either, but that legislation makes it difficult. The Netherlands can do quite little about that. When I couldn't sleep with a full moon as a very little boy, I got angry at the moon. Well, I felt more powerful about the moon then than now about the American legislator. We can't do that much, but we have to do what we can, because the liveliness with which the people who come here bring up their problem is real. It's gonna happen to you. The Netherlands has done a number of things. This is mainly about the accidental Americans. Plus, there's a bandwidth. Among the cases that come into our mailbox, there are a lot of people who have suddenly discovered that they are American, while they don't have much else to do with that country. We need to make this manageable in all kinds of ways, but we can't really change the American law. We can make it easier. The COO of the Tax Administration consults with the IRS, the U.S. tax administration. At DG level, we have discussed this for several years in a row to ensure that there is good information from the United States, that it is done in a proper way and that it leads to understandable forms. That is not always the case either. The forms that these people need to fill out, we won't all give here an A. In the treaty negotiations with the American treaty partner, we have also taken this under control. The embassy's doing a few things. It has also emerged in the OECD discussions. The Americans know the problem. Remarkably, it is recognised by other European Member States, but not to the extent that it comes up here, although it could still be. So we find resonance, but that doesn't happen impetuously. The Commission has no competence whatsoever, nor is it the appropriate body to bring this to the attention of the Americans. We are considering whether we can draft a letter to the Americans on behalf of several European Member States. We'll just go through the doors and see who wants to sign with us. That seems to me to be a feasible map, but the question is how many countries will eventually be included in it. Several speakers point out that the Americans themselves have already made a proposal. Mr Van Weyenberg is right to say that he remembers that and that it has been there for a year. That is true, but the proposal now before us is intended to bring it into force on 31 December this year. I'm not sure I can do that, by the way. I have so far been bitten by the predictability of Dutch politics and do not want to take a chance with American politics. The proposal now before us will solve it for the real 'accidental Americans'. One is "more accidental" than the other, but the proposal says that someone can be excluded if he was born with American nationality and another nationality. That's the kind of case we're dealing with. He must have been a resident of a country other than the United States. He must not have lived there after his 18th year of age and he must not have had a U.S. passport. If he did have that passport, he must be able to demonstrate clearly that he needed to leave the United States during that period and settle elsewhere. The condition for getting off the hook is that someone has renounced American citizenship within some period of time. The real accident Americans will be covered with this. Of course, we can all think of what 'almost accidental' or 'not so accidental' Americans might also have a problem, because someone would not be able to meet one of these conditions. For example, he may have lived in the United States until his 20th birthday, or actually had a passport, although he knows by now that he really is an American, so it's not that accidental anymore. We can come up with enough cases in the Chamber that are not covered by this proposal, but the real American accident would see this problem disappear if it were adopted. It should at least be the intention of such a letter that it should be adopted smoothly. I'm getting the answer mixed up a little bit. I'm trying to put together what's connected, but that's not always easy. Mrs De Vries asked what would happen if we did not adopt the treaty. The legislation will then remain intact. Something that regulates the treaty will not be settled. The treaty provides that financial institutions do not have to report directly to the US tax authorities, but to the Dutch Tax Administration. That's gonna save you a lot. The Dutch Tax Administration gives this to the American authorities in a coordinated manner. That's gonna save you a lot. Without that treaty, financial institutions will be required to report immediately to the IRS, in this case in Curaçao, because that is where we are talking about issues that need to be reported directly to the IRS. If they do not, they will be made very difficult to do business. A withholding tax will then be charged on all payments to those financial institutions. That means as much as they're not in the world anymore. This treaty does not provide for the legislation that we find so illogical in this Chamber to be introduced. It only regulates that the sharpest edges in the handling go off. That makes it a little easier for parties but certainly not more fun. Mrs De Vries is right that there is a fixed foot in it. So under €50,000, financial institutions are not obliged to report on an American and pass on the data. Of course, it is easier for financial institutions not to keep that limit, because then you do not have to check if something is below or above €50,000. However, there are financial institutions in the Netherlands that use this limit, so they do not pass on this data below that limit, but there are also financial institutions that do. It is therefore a trade-off between service level and cost. You're gonna make a lot of money if you use the border. On the other hand, in terms of service provision to possible accidental Americans, it is again less. It is up to financial institutions to decide for themselves whether they apply this limit. It is, of course, up to taxpayers and account holders themselves to decide which bank they choose on that basis. Mr Omtzigt also asked how citizens with American nationality would be informed on Curaçao. All financial institutions in Curaçao have pointed out to their account holders with information campaigns and letters the obligation of financial institutions to transmit this information. Everyone should be aware of this, but that does not mean that it will be easier to process and handle it. Mr Omtzigt gave an example, triggering other speakers. I believe that Mr Van Dijck was also concerned. Curaçao is taxed on all kinds of different things. There are cases where the Dutch tax legislation is lower than the equivalent US tax. This is the case, for example, with profits on their own homes. The profits in America are subject to capital taxes and not to us. So it hasn't been taxed here yet. If a Dutchman suddenly discovers that he is American, then he will have to pay tax on that profit. It'll happen to you, because you didn't know it, but it turns out it is. In other words, everyone is informed about it, but that does not necessarily make it more manageable. We don't know how many people we're talking about. The most rugged quote in this debate comes from Mr Omtzigt, who says very generally: the Dutch Government does nothing, knows nothing. I'm gonna get a tile made of that. The Dutch government does a lot of things, but the Curaçao authorities don't know how to cough up this number. We are talking about citizens of Curaçao who, by this definition, are American nationals or who have a green card. And that is not in the systems and therefore there can be no clarity about that. There is simply no record of that. I can tell Mr Van Weyenberg that it is certainly possible to open a bank account. This was also discussed with the Dutch Association of Banks. I will say with precision what the clause that goes with it means, because it gets an 8 and not an 10. It is not the case that the Dutch Association of Banks has said that you can go to any Dutch bank or financial institution. The commitment is that Dutch Americans always have plenty of opportunities to open a bank account or use financial services. It does not mean that all counters are automatically opened, but it does mean that the Dutch Association of Banks has really promised and arranged with its members, that there are plenty of possibilities. A lot of questions have been asked about CRS. These questions have been asked by Mr Merkies, Mr Omtzigt and Mr Van Weyenberg. This is actually a very different subject, so I have to grab Mr Merkie. But I'm on his side. Unfortunately, FATCA is not primarily intended to detect tax avoidance in general. The real issue is that the US authorities want to collect their taxes. That's just another thing. Let's just say it's a subtle difference. CRS is intended as a global mechanism to prevent tax avoidance in all directions, so that people, for example, do not hide their savings somewhere. A lot of sensible questions have been asked about this. I can give an answer to some of them in general, but I will not allow them to do so. This is actually a subject in itself. So let me just get this straight in a separate letter. This is about the latest state of affairs. Yes, data is already being exchanged with the United States, but that can also be done with a little more precision. Panama competed first, then it didn't, and now it does. I'm gonna put that on paper in all detail. That'll be a separate CRS note. The exchange of information is rightly considered very important in this house. That is a moving whole, of which I will put the final stand on paper. Otherwise it'll all get a little sloppy. I had prepared myself for this debate, but not for a CRS debate. So I owe this to the Chamber. Mr Van Weyenberg asked about data protection. The data is protected, including through US law. There is a paragraph in the US tax legislation that is similar to our tax legislation and data protection. It also works on the information that the United States receives from other countries, for example from us or from Curaçao. In this room we all find that there are curious outcomes. Mr Omtzigt mentioned the house. Mr Groot was also triggered by this. You say, "Well, there's got to be something we can do about that." That is the Dutch politician's drive for action. Here that is simply no further possibility. In any tax treaty, the United States retains the right to tax its own citizens. The real assessment is that there is no perspective that we can do anything about it through the treaties. So there will always be cases that we find undesirable. However, now that the United States has announced this through this phenomenal action worldwide and is also acting on it, everyone can take action at a much earlier stage and everyone will explicitly ask what nationality they really want. Is that even the American? Of course, there are advantages to this, but also disadvantages. This is a trade-off that will be made much more aware in the future. Of course, we are now dealing with people who are shocked by the fact that they turn out to be an accidental American.
ParlaMint-NL_2016-06-14-tweedekamer-24.u15	Tax treaties always deal with exemptions from certain charges. On what basis does the Secretary of State base the view that there is no prospect that the Americans can be persuaded, for example, that American Dutch people who sell a house in the Netherlands will not be taxed again by the American tax authorities? I would like to draw your attention to the principle that property taxes are payable to the country of residence.
ParlaMint-NL_2016-06-14-tweedekamer-24.u16	I base that on the fact that we are an active conversational partner of the US and this has been going on for years. This has, of course, been thoroughly investigated and assessed. We got zero on the record there. This is the honest assessment. I note that this is the second time in this debate that Mr Groot and I have a common wish and I regret to have to be strict on this from the point of view of feasibility. I can only say that it would have been wonderful if we could have arranged it. I come to the various follow-up questions. Mrs De Vries asked why an additional treaty was needed. This Convention was concluded in December 2014 and stated that it would enter into force in September 2015. This was considered too aggressive planning for all kinds of reasons. The Americans, of course, have also slowly found out that this requires a great deal from all their treaty partners. This has also been recognised by the United States. All this has led to a later date. Since the date was in the Convention, it could also only be adjusted by a treaty amendment. There are also other ways of enforcing an entry date, but since the date was in the Convention, it had to be changed in the Convention as well.
ParlaMint-NL_2016-06-14-tweedekamer-24.u17	I would like to come back to the example of the sale of a house, which Mr Omtzigt cited. The Secretary of State very easily agreed to this by saying that there is nothing to be done about it and that this is the case. He advised the Americans in the Netherlands not to sell their house too quickly, because they would then be attacked in the United States. Are there any other things like that? I have also read, for example, that as an American in the Netherlands you may not have an investment mortgage or that you may be attacked in America if you pay too little income tax elsewhere. For example, if you work on Bonaire, you pay much less income tax. That is, of course, interesting information for all the people involved. Perhaps this point is too extensive to be dealt with orally now, but could a list be drawn up of all the issues that are being amended in this bilateral treaty within the framework of the double taxation convention?
ParlaMint-NL_2016-06-14-tweedekamer-24.u18	I have said that it is not possible to eliminate these cases in the treaty. It is also not possible to tell with great precision which people could be affected by something. It is possible to mention a number of generic cases where you run the risk of running into this, such as the sales profit on a house. To my knowledge, this is well explained on the various sites on which information is given about this event. If that is not the case, I will provide some supplement, albeit in very generic terms. In any case, it concerns some investment products and, in particular, it also concerns low-income people who are taxed less in the Netherlands than would be the case with the same income in the United States. I can name such cases in very generic terms. I think it would be more useful if we included that in the existing information channels than in a letter to the Chamber. I will urge you to do so, but I will, of course, first see if it is not already there by chance, because I do not know that out of my mind. In any case, I think it is a good suggestion from Mr Van Dijck, who is actually asking me what exactly the red flags are.
ParlaMint-NL_2016-06-14-tweedekamer-24.u19	That's what I asked. I thought this was a treaty with the United States to prevent double taxation, but apparently there is also something like a switch-over clause, because if I pay less tax here than in the United States, that could be corrected. That's news to me. I thought there was a treaty in the original sense, and that would mean that if I pay taxes here, I would be exempt from it in America. However, if there is a switch-over clause, I would like to hear it, also for the people of Curaçao, Saint Martin, Bonaire, Saba and Saint-Eustatius. That's where a lot of Americans live, including Bonaire, and they're scared shitless when they hear this. That has nothing to do with black money, but with the fact that they may have a second house there to enjoy the sun for six months a year.
ParlaMint-NL_2016-06-14-tweedekamer-24.u20	There is not a switch over clause, but something much more material, namely the US tax legislation in force. There is therefore no double taxation. The Treaty will enter into force if, for example, there has been no tax in the Netherlands or Curaçao on something that would be taxed in America. So the American citizen actually pays all his taxes in America, but he is allowed to deduct Dutch taxes per tax type. However, once one charge is higher than the other, you can face unfortunate surprises. In itself, I find it striking that Mr Van Dijck calls it a switchover clause. That's how it works, but it's really just American tax law. That's the way it is. This means that there are cases where the US tax is higher than in the country of residence. I'll look into it, but I do it for the Netherlands and not for Curaçao. It is nice to have to defend state law with the Kingdom, but it is up to the Curaçao Minister of Finance to provide his own information and to put red flags before his tax legislation. I would therefore like to take up Mr Van Dijck's suggestion for the Netherlands.
ParlaMint-NL_2016-06-14-tweedekamer-24.u21	By "Netherlands" do you mean European Netherlands, Bonaire, Saba and Statia?
ParlaMint-NL_2016-06-14-tweedekamer-24.u22	No, by the word 'Netherlands' I mean the Netherlands and not the Kingdom.
ParlaMint-NL_2016-06-14-tweedekamer-24.u23	Yes, but Bonaire, Saba and Statia also belong to the Netherlands.
