ParlaMint-NL_2016-07-07-tweedekamer-58.u1	I welcome the Minister for Housing and National Service. I call Mr Bashir.
ParlaMint-NL_2016-07-07-tweedekamer-58.u12	Mr De Vries, for a very brief time.
ParlaMint-NL_2016-07-07-tweedekamer-58.u13	My conclusion is that these are regions where a large number of affordable social housing units have been added. That's the only place we can do it. In addition, the rent increases of these properties are looked at. The housing valuation system is also declared applicable above the €711 for a number of years.
ParlaMint-NL_2016-07-07-tweedekamer-58.u14	Mr Van der Linde briefly.
ParlaMint-NL_2016-07-07-tweedekamer-58.u15	I'm just trying to figure out where Mr De Vries is going with this. Of course, the housing valuation system also applies above €711. I don't quite understand the question.
ParlaMint-NL_2016-07-07-tweedekamer-58.u16	It says in the motion that the rent can only be raised in steps. This must involve a certain degree of regulation. If that is promised, I think it is a good step in itself. This means that we are going to offer homes of €730, €750 and €780. There's a big lack of that.
ParlaMint-NL_2016-07-07-tweedekamer-58.u17	I can reassure Mr De Vries. We make it very clear in the operative part of the motion that there is therefore a limited increase in rent with that remark.
ParlaMint-NL_2016-07-07-tweedekamer-58.u18	Mr. Chairman. 50PLUS is at all opposed to the landlord's tax, but abolishing it is not politically feasible now, but containment might be. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the landlord levy has different negative effects;]] [[Whereas the EIB has also calculated, on behalf of the Minister for Housing and National Service, that additional social housing, sustainability, replacement of existing housing stock, life-sustainable housing and care and social care needs an investment of EUR 100 billion in the coming decades;]] [[Whereas the achievement of this social task requires a significantly lower rate for the landlord's tax or a more robust investment deduction for housing corporations;]] [[calls on the Government, in close consultation with all interested parties, to achieve a substantial reduction in the landlord's tax and a firmer investment deduction for housing corporations,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-257]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u19	We are waiting for a brief moment until the Minister has received the final motions.
ParlaMint-NL_2016-07-07-tweedekamer-58.u20	Mr. Chairman. The Bashir motion in part No. 250 on the assessment of the landlord levy states that there is almost nothing but criticism of the evaluation carried out by the Ministry. I do not think that statement is correct. In the hearing organized by the Chamber, the Central Planning Office was, among other things, very nuanced. I have heard more opinions than just Mr Bashir's criticism in the AA on which this consultation is a follow-up. The motion also calls for an additional evaluation of the landlord levy. Such an evaluation may be interesting if it would lead to new insights, but since Mr Bashir's next motion already calls for the abolition of the landlord's levy, that seems to me to be a waste of money, and that is something Mr Bashir can never wish for. On balance, therefore, I must discourage the motion. This also applies to Mr Bashir's second motion, the motion on item No. 251. It calls for the abolition of the landlord's tax, because it is an uncovered motion, which strikes a 1.7 billion hole. The motion in part No. 252 members Ronnes, De Vries and Schouten discuss the adaptation of the housing valuation system in the regions of Amsterdam and Utrecht and request that the adaptation be limited to dwellings for which a building permit was granted in the years 2017 to 2021. In the AO the concern has been raised that there would be easy profit for already planned construction projects. I have indicated that I recognise that effect, but I am not so enthusiastic about delays, and that there is a technical problem when the building permit is used as a criterion. The term "year of construction" is used more often, in the housing valuation system, but also in other rental legislation. That's also well administered. The concept of building permit issuance is very difficult to keep up with. Considering everything, if I can read the motion in such a way that it means having the scheme in place one year later, so not in 2017 but in 2018, but based on the year of construction and not on the building permit, then I can execute it and then let the motion judge Chamber.
ParlaMint-NL_2016-07-07-tweedekamer-58.u21	Mr Ronnes is the first petitioner. Maybe he can tell if he sees it that way.
ParlaMint-NL_2016-07-07-tweedekamer-58.u22	The question then is whether this will prevent the effect that we want to avoid. If you wait until 2018 to report the construction, you can still apply the rent increase. When it comes to the date of issue of the building permit, you at least exclude everything for which the building permit has already been issued. It is therefore more certain to take the date of issue of the building permit.
ParlaMint-NL_2016-07-07-tweedekamer-58.u23	I thought I could accommodate the Chamber by stating that I cannot carry out this motion technically, because the registration of the issue of building permits is not enough. I thought I would act in the spirit of the wish of the Chamber by saying that I can carry out the motion by going into the year of construction a year later. I'm keeping my offer. In that construction, I am prepared to leave the verdict on the motion to the Chamber.
ParlaMint-NL_2016-07-07-tweedekamer-58.u24	If construction projects that start now come to fruition in the course of 2017 and are notified in no later than 2018, we will not prevent routes that have already been deployed from falling within the scope of the scheme.
ParlaMint-NL_2016-07-07-tweedekamer-58.u25	What if we chose building permits? Like I said, I can't properly implement the motion that way. You can also delay a building permit, of course, with a view to such an arrangement. We're living in 2016. I'm sure there's some building permits in application right now. Suppose we did it this way again, I can't do that again, you can also hold the building permit that you now have on your desk because you have heard that a motion is being passed. There's no difference. Again, I would like to respond to the Chamber by making a workable proposal.
ParlaMint-NL_2016-07-07-tweedekamer-58.u26	You've been there twice, Mr. Ronnes. I think the Minister's opinion is clear. We are going to make it easier, Mr De Vries. Only the first proposer may ask a question.
ParlaMint-NL_2016-07-07-tweedekamer-58.u27	I have a very short question. I made the proposal to the Minister in general consultation to start in 2018. Then he had all sorts of arguments why he couldn't. I just don't understand it anymore.
ParlaMint-NL_2016-07-07-tweedekamer-58.u28	I suggest that we do not repeat the general consultation.
ParlaMint-NL_2016-07-07-tweedekamer-58.u29	If I promised something I hadn't promised back then, I'd count my blessings. The second motion tabled by Mr Ronnes, the motion tabled by Mr Ronnes, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the motion for a resolution tabled by Mr Ronnes, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the motion for a resolution tabled by Mr Ronnes, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the motion for a resolution tabled by Mr Ronnes, on behalf of The motion calls on the government to also allow the deduction of €20,000 in areas where there is evidence of negative effects in designated scarcity areas. I would actually ask Mr Ronnes to hold this motion until the law is passed. The definition of negative effects is rather undetermined for legislation. If we have the law in front of us, perhaps we can agree on a sharp definition.
ParlaMint-NL_2016-07-07-tweedekamer-58.u30	I'm prepared to hold the motion.
ParlaMint-NL_2016-07-07-tweedekamer-58.u31	At the request of Mr Ronnes, I propose his motion (22847, No. 253), as last amended by Regulation (EC) No 253/1999 of the European Parliament and of the Council on the common organisation of the market in fruit and vegetables. That is what is decided.
ParlaMint-NL_2016-07-07-tweedekamer-58.u32	In the motion by Mr Van Vliet to item No. 254 the government is invited to pay particular attention to this aspect in the next assessment of the landlord's tax, namely the effects of the landlord's corporate tax, so that any disruptive effect can be resolved. In fact, I would also like to request that this motion be held until legal proceedings. I am not entirely sure whether an evaluation is planned at all, but that is a classic question with regard to legal treatment. For the same reason as the previous motion, it seems logical to hold her until then. That'll be soon after the summer.
ParlaMint-NL_2016-07-07-tweedekamer-58.u33	I would say that this is a very reasonable motion. He could get a judge, couldn't he?
ParlaMint-NL_2016-07-07-tweedekamer-58.u34	That wasn't the question. The question was whether you wanted to arrest her. The answer to that is no, when I hear it like that.
ParlaMint-NL_2016-07-07-tweedekamer-58.u35	Then I'm afraid I'm gonna have to dissuade her. I said in the AO that a well-known effect of subsidies paid to companies subject to corporation tax is that it increases corporate tax, while taxes reduce corporate tax. That's not new. Nor is that specific to the landlord tax. Well, then I guess I'll have to dissuade the motion.
ParlaMint-NL_2016-07-07-tweedekamer-58.u36	Let's just vote.
ParlaMint-NL_2016-07-07-tweedekamer-58.u37	The motion shall be put to the vote.
ParlaMint-NL_2016-07-07-tweedekamer-58.u38	Mr Houwers' motion for a resolution (Doc. 255 calls on the Minister to take a more active stance to encourage housing corporations to dispose of commercial property so that the funds can be used for housing for the social target group. A motion with a more specific request than a more active attitude helps, frankly. You can blame this cabinet a lot, but not that it has not had an active attitude on the housing market. When it comes to incentives for commercial real estate, I think the next motion is much more concrete. Honestly, this motion is so unclear that I'm just gonna tell her off on balance. I'm not sure what she's asking. The next motion is that in part No. 256, by Mr Van der Linde. It requests that, before 1 January 2017, in areas where the stock of social housing is expanded, the sales rules should be amended so that the consent of municipalities in the case of sale of already liberalised housing lapses, as well as that the consent of municipalities may also lapse in the case of housing to be liberalised, if it is ensured that the sale benefits this middle segment. This motion makes it easier to sell expensive homes and use the proceeds to return affordable homes. This is in line with developments in the housing market. So I would like to leave the judgment on this motion to the Chamber. Finally, the motion asks for item No. Mr Krol, Member of the Commission. - (FR) Mr President, ladies and gentlemen, I should like to begin by congratulating Mr Krol on his excellent report. The consultation with those involved will, I think, have a bit of the character of a conversation with turkey about Christmas meal, where the menu advice will be: this year just eat rabbit. In addition, this is an uncovered motion. So, considering everything, I'm gonna have to dissuade the motion.
ParlaMint-NL_2016-07-07-tweedekamer-58.u39	The Minister says he doesn't understand the motion that way. However, I think the motion is rather clear. I would like to ask whether the Minister would prefer me to formulate that he should consult with the housing corporations to activate them to sell them. Or should I mention a date? So far, the Minister has said that things are happening, but I must honestly say that I find the pace at which it is happening to be lean. I ask the Minister to state what is unclear.
ParlaMint-NL_2016-07-07-tweedekamer-58.u40	A motion may request that an arrangement be amended. I have seen a number of examples of this, ranging from the landlord levy to the housing valuation system to the sales rules. I am quite clear about what the Chamber is asking me to do. I can say yes or no to that, or yes on terms. If a motion asks me to take a more active stance, I don't know if I should set the alarm earlier. In the overview of the Volkskrant of lobbying visits to ministers, Aedes was really in the top five. Is Aedes supposed to be in the top three? It escapes me what a more active attitude is. For that reason, I simply cannot judge the motion. Then I'll dissuade her.
ParlaMint-NL_2016-07-07-tweedekamer-58.u41	Very briefly, Mr Houwers.
ParlaMint-NL_2016-07-07-tweedekamer-58.u42	I think the Minister is ridiculing things. I'm very sorry about that.
ParlaMint-NL_2016-07-07-tweedekamer-58.u43	I thank the Minister for Living and National Service for coming to the Chamber.
