ParlaMint-NL_2016-03-23-tweedekamer-4.u1	I welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-03-23-tweedekamer-4.u12	The workroom will meet next week. I would very much like to update the Chamber on what I can do with the findings of De Werkkamer, not only on the practical route, but also on the other parts. So I'm happy to admit this. I can't do that right now, but I'd like to do it in April.
ParlaMint-NL_2016-03-23-tweedekamer-4.u13	Can you make it a little sharper? The month of April is quite long. Could it be possible to send that letter by mid-April? Then I can decide whether that motion should be tabled. If that's possible, I'll hold my motion now.
ParlaMint-NL_2016-03-23-tweedekamer-4.u14	I understand Mrs Schouten is trying to compress the situation. I'd like to, too, but it's just good practice that after you've made your own decision, you're going to consult with your partners administratively for a while. Then, of course, I'll talk about the social partners. The VNG and the UWV also need to release their findings, so I just need some time. I would really like to ask to take the time until 1 May, so for the meireces.
ParlaMint-NL_2016-03-23-tweedekamer-4.u15	It's a little push and pull. Let us then agree that we will receive the letter before 1 May, but that I will decide immediately after May whether the motion will be put to the vote. Then I'll take the motion now.
ParlaMint-NL_2016-03-23-tweedekamer-4.u16	At the request of Mrs Schouten, I propose her motion (34352, No. 5) to be retained. That is what is decided.
ParlaMint-NL_2016-03-23-tweedekamer-4.u17	Clear, Mr. Chairman. In the motion in part No. Mr Voortman and Mr Karabulut asked for information on jobs created by the government and progress in this area. That motion is in fact a follow-up to the motion that has just been raised. I shall also leave this motion to the House's judgement. I believe that both colleagues will inform the Chamber in one smooth motion. Then I come to Mrs Voortman's second motion. That's the motion in part No. 7, it's about the kids. I would like to do my utmost to inform the Chamber about this. I listened very carefully to Mrs Voortman. She said: if that is possible before 1 May, I would like to withdraw the motion.
ParlaMint-NL_2016-03-23-tweedekamer-4.u18	I do not want to table a motion for a motion to be carried out. Now that the Secretary of State has undertaken to inform the House of this matter before 1 May, I withdraw my motion.
ParlaMint-NL_2016-03-23-tweedekamer-4.u19	Since the motion for a resolution tabled by Mr Voortman (No ) has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2016-03-23-tweedekamer-4.u20	Then the motion to part No. 8 on the concept of the AMvB around the experiments. As the Chamber knows, I am busy looking together with municipalities at the broadest possible support for these experiments. That is certainly not easy. It is also really a quest, because we do not often carry out experiments within the legislation. I can't keep up with the deadline. If it works out, that's great, but I don't think I'm gonna make it. It is certainly my intention and also my ambition to have an AMvB in the Official Journal before 1 January 2017. That means that I must ask everyone, including myself, to the Council of State, your Chamber and also the First Chamber to deal with that AMvB as soon as possible. But 1 June is a firm time clamp, so I would ask the proposers not to put that time clamp on it now.
ParlaMint-NL_2016-03-23-tweedekamer-4.u21	Look, we all want that AMvB in progress as of 1 January 2017. My fear is that if it does not come until September or October, municipalities will not have enough time. After all, they must discuss this again with their municipal councils. I would like to know from the Secretary of State how she is going to ensure that the municipalities have enough time to actually implement the AMvB on 1 January.
ParlaMint-NL_2016-03-23-tweedekamer-4.u22	That brings me to my conversation with these congregations. Mrs. Voortman knows I'm talking to four congregations. We must, of course, look again and again at how we can take our councils and our Chambers with us throughout the process. That's essential. I am very keen to bring that to a successful conclusion.
ParlaMint-NL_2016-03-23-tweedekamer-4.u23	I trust that too, but I'm looking for a moment when municipalities know what they're up to. If the Secretary of State can shed some light on that, I can hold this motion.
ParlaMint-NL_2016-03-23-tweedekamer-4.u24	I understand that, but I am, of course, still in the process of gaining that broad support. It is therefore very difficult to say now: there is broad support within now and a limited time. I therefore call for the motion to be retained. Then I will say that I will be discussing the situation as soon as possible, including in writing.
ParlaMint-NL_2016-03-23-tweedekamer-4.u25	I am very sorry, but when will the Secretary of State discuss this with us? If that letter comes in December, it will be too late to be introduced by 1 January. I will not pin her down on that particular date, but I would like to know when she will catch us up.
ParlaMint-NL_2016-03-23-tweedekamer-4.u26	I think it would be a good idea to at least tell us how far we have progressed before May.
ParlaMint-NL_2016-03-23-tweedekamer-4.u27	Then I'll hold the motion.
ParlaMint-NL_2016-03-23-tweedekamer-4.u28	At the request of Mrs Voortman, I propose her motion (34352, No. 8) That is what is decided.
ParlaMint-NL_2016-03-23-tweedekamer-4.u29	In the motion-Kerstens/Karabulut on piece No. 9 calls on the government to prepare legislation in advance so that, if the June inspection results in an opinion which would show that a number of municipalities are not yet working on new sheltered workplaces, they can be caught immediately and without delay on the route. I'd like to do that, because that stick behind the door has to be ready. I shall therefore leave the vote on this motion to the Chamber. In the Pieter Heerma/Schouten motion to piece No. 10 The government is invited to ensure that, when the quota is transferred, purchasing from companies with the highest step on the PSO ladder becomes transferable. I will tell you nothing new when I inform Mr Heerma that Berenschot is busy presenting a report to us in April. I ask Mr Heerma to wait with us for that report before we take steps forward on this point. So I'm dissuading the motion now because it's premature. The last motion is the Pieter Heerma/Schouten motion in part No. 11 which is about people's profiles and asks to make it possible for employers to have direct access to those profiles. This, too, is a subject that is discussed in The Workroom. I would like to see the outcome of that. So this motion, too, is premature, and that's why I'm not advising her. Finally, Mrs Karabulut asked where the jobs were. That's what she asked in the AA. In particular, we talked about the guarantee jobs. With regard to the guarantee jobs at the regular employer, there is considerable steam. As we have also discussed in the AO, the number of warranty jobs left to be desired by governments, as far as we can see now. That is why I am pleased that Members are putting pressure on them and that they want to send this message to my colleagues in the cabinet. It is not for nothing that I have just left two motions on that point to the judgement of the Chamber.
ParlaMint-NL_2016-03-23-tweedekamer-4.u30	Sometimes I think that the Secretary of State has shaken off an important part of her portfolio or doesn't want to see if she doesn't want to face the painful truth. It is not just about the guarantee jobs, there are more people in the assistance who are looking for a job and need support. Municipalities, as well as people themselves, indicate that there is enormous competition and that there are all kinds of perverse incentives at the bottom of the labour market. If someone gets a job, someone else flies out; some sort of spin-door unemployed. The question is which policy this cabinet or this secretary of state follows in order to at least reduce unemployment. After all, unemployment is only growing. I do not know how to explain this more clearly, Mr President.
ParlaMint-NL_2016-03-23-tweedekamer-4.u31	Your question is clear.
ParlaMint-NL_2016-03-23-tweedekamer-4.u32	This is the broad question that has been rightly raised every time over the past three years since this cabinet took office. As a result of this broad demand, we have created various instruments. Fortunately, we are now seeing the positive turnaround, where more people find jobs and more people are actually working. In the after-school section of municipalities around the Participation Act and the assistance, we always see this less quickly. There too, however, we now see very carefully that the economic crisis is behind us. That gives the citizen courage. I think it's good to say that here, too. I do not want to say at all that people who are looking for a job will have that job in the shortest possible time. After all, it's reckless, that's just true. However, it is being worked very hard, also by municipalities. I am confident that the city leaders are acting on that, and Mrs Karabulut knows that too.
ParlaMint-NL_2016-03-23-tweedekamer-4.u33	It's not about the city leaders, and it's not about the Secretary of State. It is not about the fine story, it is about the hard facts: a growing group of unemployed people who are not getting into work, the elderly who end up permanently in the welfare system, people who spend years in the welfare system and who no longer come out of it, jobs that cause the displacement of others in the labour market who then become unemployed. It's about the bigger picture. I would like to hear from this Secretary of State the start of a vision of a plan to reduce unemployment in assistance in a structural way. I can imagine that, if the weather is really so good, we will slow down the existing job dismantling for people with disabilities and try to develop it instead of further organising competition between them. I can imagine that the Secretary of State will invest in public or semi-public jobs, for example, in consultation with municipalities. I can imagine that the Secretary of State will make a real diversity policy, so that employers will also invest more. I can imagine all of this; anything but more bureaucracy. Is the Secretary of State prepared to do so?
ParlaMint-NL_2016-03-23-tweedekamer-4.u34	We have created, in cooperation with the social partners and UWV, a very good framework for municipalities in the labour market regions, which is also very closely aligned with education and training, so that everyone can become active in the labour market as soon as possible. We welcome the fact that this is happening more and more and that the partners are more and more able to find each other at regional level. Of course, we have not helped everyone immediately to get a job, but the stakes are enormous. Everyone's trying so hard to get it done. There is really light now because more and more people find a job. This simply has to do with the fact that the Participation Act offers the good tools, including around no-risk policies and wage costs subsidies. This allows you to help people towards the labour market. In short, it is really not as gloomy as it is outlined here.
ParlaMint-NL_2016-03-23-tweedekamer-4.u35	I thank the Secretary of State for coming to the Chamber. The vote on motions for resolutions will take place next Tuesday.
