ParlaMint-NL_2016-04-13-tweedekamer-6.u1	I give the floor to Mr Klaver.
ParlaMint-NL_2016-04-13-tweedekamer-6.u12	May I point out to Mr Buma that we are here in a country with Mr Rutte as Prime Minister? I am confident that he will defend the liberal principles. That is clearly a little less entrusted to a Christian Democrat.
ParlaMint-NL_2016-04-13-tweedekamer-6.u13	I agree with Mr Zijlstra's argument for the whole. However, Prime Minister Rutte has already been ridiculed by Erdogan, when Erdogan pointed out to the Netherlands as the problem in these attacks shortly after the attacks in Brussels. That's what Erdogan did to this Prime Minister. I'm looking at what Erdogan's doing. I see that we all see that since that deal Erdogan has been pointing more towards Europe and talking more about Europe and that Erdogan's interference has increased in Europe. Again, there's the problem. That is a structural problem. The short-term issue, which we all see, has been solved by giving Turkey a stronger position in the longer term because Europe has thrown things over the fence out of weakness that did not have to be. Turkey had to deliver already in November, but did not do so and gets double as a thank you. Mr. Chairman. I've got three sentences left.
ParlaMint-NL_2016-04-13-tweedekamer-6.u14	That's good. You're welcome to finish.
ParlaMint-NL_2016-04-13-tweedekamer-6.u15	I have two final questions for the Prime Minister. What is true of the story that Turkey is sending Syrians back to Syria? After all, it must be true in Turkey. Meanwhile, the number of refugees in Italy and Malta is increasing rapidly and Austria is closing the Brenner Pass. How does the Prime Minister view these developments?
ParlaMint-NL_2016-04-13-tweedekamer-6.u16	Mr. Chairman. The world is drifting. 60 million people are fleeing war, hunger and oppression. Another tens of millions of people, mainly in Africa, do not actually have any economic prospects. They too may decide today tomorrow to seek their happiness elsewhere. How much you give everyone the best possible future, the hard reality is that it will not be for many. As much as some would like it, we cannot solve all these problems in the Netherlands or in Europe. It is therefore a good thing that the Prime Minister has made agreements with Turkey on behalf of the EU. We all know the images of thousands of people crossing every day with wrecked boats from Turkey to Greece, to Europe. I remember very well the photo on the front page of the Volkskrant on which you saw so many boats that it looked more like an invasion than a controlled migration flow. So it wasn't. I hope that the Prime Minister's agreement with Turkey has brought this under control. That's worth a big compliment. Only a year ago such agreements were considered impossible. In fact, they found many unacceptable. In recent weeks, we have been able to observe with caution that the agreements seem to work, that they really are stopping illegal immigration through Turkey to Europe. The agreement has everything to be a success.
ParlaMint-NL_2016-04-13-tweedekamer-6.u17	Mr Zijlstra is now talking about this agreement. I pointed out that Turkey already promised in November that it would stop forwarding the boats. Those agreements were already there, for 3 billion and not for those other points. How does Mr Zijlstra judge the fact that Turkey does not first do what it promises and then gets double if it does?
ParlaMint-NL_2016-04-13-tweedekamer-6.u18	What Turkey is doing now is more than we agreed at the time. Turkey then committed itself to stopping the people who tried to cross from Turkey. We have all seen this in part, because there has been a great deal of movement. Then Turkey informed the EU that it would go much further and that it was prepared to take back everyone who crossed the border. That was a huge step. That is why the comparison that Mr Buma often makes as if the price of 3 billion agreed in November has now doubled for the same agreements is totally incorrect. He knows that very well. The agreements that have now been reached with Turkey go much further than the agreements made in November. That is a good thing.
ParlaMint-NL_2016-04-13-tweedekamer-6.u19	The boats have been coming ever since. Turkey should have stopped them, but they kept coming. When the gate was closed with Macedonia, people could not move on. So it built up and up because the gate was closed and Turkey continued to steer boats. Turkey is not taking back many new people now, no, it is taking back the people who have let it through since November. If Turkey had not done so and had fulfilled the first deal, this problem would have been much smaller and the fence in Macedonia would not have closed.
ParlaMint-NL_2016-04-13-tweedekamer-6.u20	I don't quite understand this logic. Because the gate closed in Macedonia, the Turks stopped letting go of boats. Let me translate it like that. That's pertinent bullshit. We all saw that when the gate closed in Macedonia, there was a huge problem at the border between Greece and Macedonia. So apparently, people still came along. It stopped only after these agreements were made, now that Turkey is ready to take back refugees who have crossed the border. Against that one-on-one-one we have set that we are taking in people who come from Syria. That's what happened in the last week. The image presented by Mr Buma is incorrect and it would be nice if he could admit it for once.
ParlaMint-NL_2016-04-13-tweedekamer-6.u21	The ball started rolling when that gate closed, because then the situation became untenable and Turkey had to operate. I do not understand why Mr Zijlstra is not defending the countries that have done so either. They had no choice. Europe only delayed and postponed the fact that Turkey would be outside Schengen. Those countries have done it themselves, the situation has stalled and Turkey has also faced a major problem. It also saw, of course, that people will no longer travel if they do not come into Europe. The closure of the fence was the start and Turkey very cleverly attacked this Prime Minister with what seemed like a super deal, but in the longer term that deal is 100% in favour of Turkey.
ParlaMint-NL_2016-04-13-tweedekamer-6.u22	Once again, it was only going to roll because Turkey was not going to act until the border with Macedonia closed. That is very strange, because Turkey had no problem, the EU had a problem. For Turkey, closing the border with Macedonia was really no reason to do anything, because that was a problem in the EU. By the way, the closure of the border with Macedonia was condemned, but that was the commitment of Europe, namely back to Dublin. At the outer border where people enter, they register, and if this doesn't happen, you close the border elsewhere. Macedonia is not even part of the EU, but Slovenia and Austria are. So it was just policy that was put into practice. So there is no contradiction here either. Turkey did not succeed sufficiently in stopping the departure of the boats. I agree with Mr Buma. In view of the coastline of Turkey, this is also quite a task. They did not succeed enough; that is true. Turkey also saw the problem and was prepared to work with the EU to find a solution. Turkey was willing to take people back. We have always said: this is what is needed. And that's what's happening now. People are going back now. With that, the incentive, the urge, is gone to pay the smuggler first and then risk drowning, because if you make it across the street, you go back. That's an effective way to make sure these people don't go anymore. Fortunately, we are now seeing that happen. That needs to be settled. We must solve the major problem of the refugee flow. I am surprised at all kinds of different motives of both GroenLinks and the CDA, as if we had no problem. Thousands of people crossed each day; thousands of people came to the Netherlands each week. We just couldn't handle it! Here, however, it is said with some kind of no commitment: well, those agreements, we just shouldn't do it. Well, that would have been nice, if it had gone on as it did in the fall. It seems that they would rather take on that responsibility than defend this kind of agreement. I find it incomprehensible.
ParlaMint-NL_2016-04-13-tweedekamer-6.u23	When Mr Zijlstra starts to talk away from the paper, he sometimes gets a little careless. I find it painful that the image of refugees who constitute an invasion is brought forward.
ParlaMint-NL_2016-04-13-tweedekamer-6.u24	It was on paper.
ParlaMint-NL_2016-04-13-tweedekamer-6.u25	Oh, it was on paper. Worse. The VVD out of a sacred trust in what is happening in Turkey now. Even in the past, Mr Zijlstra talks about the flows of refugees. Yesterday, the Italian Coast Guard alone saved over 2,100 people at sea. The confidence that the VVD now places in a country like Turkey amazes me so incredibly. If you look at the recent history of VVD politics, you will see that the VVD has never put its faith in it. I would therefore like to hear an explanation.
ParlaMint-NL_2016-04-13-tweedekamer-6.u26	I am so concerned about the fact that this is not the solution, the Columbus egg, to the refugee problem, because this is not the solution. It's a piece of the solution, and no more than that. I spoke about Turkey last time. Mr Pechtold will not hear me say that Turkey's Turkish laws, values and standards make a great country with which you can work together fantasticly in all cases. I have quoted Mr Erdogan many times. He once said democracy is like a bus; you need it to reach your destination, but when you get there, get out. I have the impression that Mr Erdogan has been getting out for a while. However, the VVD has often said in the past that we do not have the luxury of making agreements with countries that apply the same standards, values and moral standards as the Netherlands. After all, that pretty much ends at the European external border. In fact, that even applies to a few countries within Europe. If we are to solve these problems, we will also have to make agreements with regimes that we are less enthusiastic about. That is in this case with Turkey. That's what you're standing for. That does not mean that you approve of what is happening in Turkey. Nor will I approve of what happens there, for example, with freedom of the press. However, it does not relieve national and European politicians of the obligation to make agreements with such regimes in order to control the problems here. And that is what we have done.
ParlaMint-NL_2016-04-13-tweedekamer-6.u27	The finger really points to everyone, literally from left to right, because the VVD is oh so proud of the Prime Minister who has a deal. By the way, I always have a lot of trouble with the word "deal" when it comes to refugees. Agreements have been made with Turkey, but at the expense of what? The VVD is critical when Turkey approaches Europe, and rightly so. The VVD is critical of the visa, and rightly so, and of all the things that go with it, up to and including the money. Yes, you can make agreements with countries involved in the refugee problem, but this cannot be at the expense of matters of principle that are at the heart of Europe. We'll slip. Then we will not be better than the regimes that we must fight together. If the current situation shows that the water in the waterbed simply moves to the other side, then I agree with Mr Zijlstra that this should be our focus, but not through a deal which is at the expense of essential matters which we are trying to defend on this continent.
ParlaMint-NL_2016-04-13-tweedekamer-6.u28	The essentials that we face in this continent are also being secured. It has been agreed with Turkey that the principle of non-refoulement, not sending it back to a war zone of the people we send back, is certain. I do hear sounds, but I haven't seen a beginning of any evidence that something is actually going on. So let's not create a picture here now, and Mr Pechtold obviously wants to do it as if we were letting go of our own standards. The reality is that you have to look at the agreements that have been made with Turkey, and then you can ask yourself what we are talking about. We did not agree with Turkey that it should join the EU. We've agreed we're going to have conversations about opening some chapters. Chapters remain closed as well. If these talks lead to anything, I think that is a theoretical possibility, to be honest, then we will always have to consider whether we want Turkey to join. I have said many times that this is not the issue as far as I am concerned, but I am fine with talking about it. That's the cheapest part of these appointments. Then I come to the visa obligation, which Mr Buma also mentioned. Let us look at the facts. That's always useful when you're talking about a treaty like this. Not only the images, but also the facts are important. Such a fact is that Turkey would be eligible for visa liberalisation on 1 October if it met the 72 conditions. That date has been postponed from 1 October to 1 July, so a few months. The 72 conditions Turkey has to meet still apply. Two weeks ago, Turkey met nineteen conditions. The biometric passport should, for example, be introduced in order to qualify for visa liberalisation. One thing we know for sure: they haven't even started, and that takes years. So this point is also very good to defend. Now let's stop sketching the image that we've given ourselves away. There's a great deal ahead of it. That's gonna put a huge problem under control. No, the whole problem isn't, and I'll get to that in a minute. We also see the shift to other routes. However, we can control the main route through Turkey. What responsibility do we, as politicians, assume when we say: do not do this, it was indeed a very pleasant picture that we saw this autumn, with the thousands of people crossing the border every day, who drowned a lot, and who also caused great problems in our society? However, I do feel that responsibility, and that is why I think this is a good agreement.
ParlaMint-NL_2016-04-13-tweedekamer-6.u29	What a cynical attitude. It is really a cynical attitude to focus only on part of the deal and part of the Syrians when, of course, it is about the human rights of all Syrians who are sent to Turkey and in Turkey. Amnesty reports terrible things about that. There are even reports that the Turks are simply firing sharp shots at people who are heading towards the border. That's the point. Mr Zijlstra's attitude comes down to the following: we gave them something, and something else, and that doesn't mean anything, because they're not gonna get those visas, and that opening those chapters, well, you can always talk. That is cynicism, and that makes sense that Erdogan is slowly daily trying to tell us that we know nothing about salafism, that we are responsible for the attacks here and that he can no longer even stand criticism and comedians from the civilized world. That's the cynicism we end up in. So let's stick to our own standards. So let us not talk about an invasion of refugees and thereby pollute the debate, but let us ensure that there are decent solutions. Let us keep pressure on Turkey and not think that we fooled Turkey. That only leads to counter-reactions in the same vein as we know it now.
ParlaMint-NL_2016-04-13-tweedekamer-6.u30	This is what I now find cynicism. We need realism, and realism means that we sometimes have to solve very difficult problems by making agreements with regimes that we don't like. Mr Pechtold and I and probably many people in this Chamber share the view that things are happening in Turkey that we are not happy about and that we would not want. But it is difficult for us to be held responsible from the Netherlands for acts of the Turkish regime, where that is not our responsibility. However, we are responsible for the people who have arrived and are returned to Europe. We have a responsibility in that if we send them back. There's no other way. And we made that deal, too. And if things were to happen there, we should know that too, and then there will have to be action. To date, Turkey has also firmly denied any accusation, and I have not yet seen any evidence from Amnesty. The realism that is needed here is that we also dare to tackle major problems and we do not get stuck in an attitude where it is easy to call from the sidelines, which does not solve those problems. These kinds of problems need to be solved and sometimes you have to take unconventional steps.
ParlaMint-NL_2016-04-13-tweedekamer-6.u31	But even a realist doesn't put his head in the sand for the facts that lie ahead of us. Last night we saw the footage of the NIS, of several eyewitnesses, even on the Syrian side, of camps of Al-Qaeda, also known as Al-Nusra, against whom we were still fighting in Afghanistan, where people are now being sent back. An important principle of the Refugee Convention is not to send it back to unsafe countries. Amnesty International's report has been mentioned here and there are eyewitnesses' reports on the killing of people, including three children from Syria. How many facts does Mr Zijlstra have left to ask Turkey if there is anything wrong?
ParlaMint-NL_2016-04-13-tweedekamer-6.u32	I want to know what's going on first. With all due respect, from the NOS report and Amnesty's report, there are no hard facts. Suggestions are being made. If these suggestions prove to be true, then there is also a problem, because we have committed ourselves not to sending people back from Europe who are then sent to war zone. However, we cannot be held responsible for what Turkey does to people who have never been to Europe at all. That's hard, but it's true. Nor can we be held responsible for people who, for example, are sent from Iraq to Afghanistan. That's what's happening there. So we do have to separate our responsibilities. The responsibility for people coming to Europe also feels the VVD. Those are people who came in here as refugees. We have agreements on this and we will have to keep them. We have to make that dividing line, no matter how hard it can sometimes be. After all, we have a responsibility, including towards our own people, to solve this great problem.
ParlaMint-NL_2016-04-13-tweedekamer-6.u33	Mr Zijlstra knows that this is our responsibility, because the Netherlands has helped to make this deal. We have even been at the vanguard because we are Presidents of the European Union. This means that we can only send refugees back if it is a safe country. The core of a safe country is a'safe third country', as I should say, is that it does not force people to return to Syria. I hear Mr Zijlstra say that this is indeed part of the agreement and that we are responsible for it. Is Mr Zijlstra currently prepared to suspend the transmissions from Greece to Turkey until we have the assurance that Turkey meets the core value, namely that it does not send people back to unsafe countries? Mr Zijlstra also wants to know the facts first.
ParlaMint-NL_2016-04-13-tweedekamer-6.u34	No, I'm not prepared to do that, because I have no reason to believe that this is happening right now. I'd love to hear that from the cabinet in a moment, but I don't have that assumption. I'm not gonna put aside appointments like this, because that's actually gonna destroy them and you're gonna go back to a situation like that last fall. Mr Voordewind knows that too. We need to control the flow of refugees. We have made agreements in international treaties and we must abide by them. We do not run away from that, because we must stick to it. However, we must first determine whether it is going wrong, not the other way around. When I hear the reactions in this debate and elsewhere, I get the impression, quite frankly, that we prefer not to have agreements but a large flow of refugees with all the consequences, rather than that we do have agreements with Turkey, which puts it under control.
ParlaMint-NL_2016-04-13-tweedekamer-6.u35	Mr Zijlstra wants facts. Is he therefore prepared to send an independent committee to the border between Syria and Turkey to see what is really true of the reports that people are being forced to return to a country such as Syria, in particular to the Al-Qaeda camps at the border? Is he willing to do so and is he then willing in the meantime to take the place?
ParlaMint-NL_2016-04-13-tweedekamer-6.u36	My answer to the last question is no. After all, I have no reason to do so now. However, we would like to know from the cabinet, and Mr Voordewind will probably ask that question himself, which is the reason to assume that the people we send back from Greece to Turkey end up in war. That would indeed not be possible, and that would be a good reason to sit down with Turkey. Those practices would be contrary to the agreements.
ParlaMint-NL_2016-04-13-tweedekamer-6.u37	I am looking for what the VVD really wants to achieve, both in the cabinet and here in the Chamber. I hear Mr Zijlstra saying that he is satisfied, that it is going well, that the flow of refugees has almost stopped and that it seems that we are going to achieve our goal. He concludes that it worked. Not only do I see images of degrading conditions at the Syrian-Turkish border, but I also see images of refugees in Greek detention camps who are hungry. I have seen how refugees ended up in a inhuman situation at the Greek-Macedonian border crossing. We know that tear gas is fired at refugees trying to cross the border there. Is that what Mr Zijlstra has in mind when he says: we succeeded, the deal is already a success?
ParlaMint-NL_2016-04-13-tweedekamer-6.u38	I didn't say it worked, because that would be a little too optimistic. It seems to work, and I hope it does. What's a success? That is actually the question behind the long description of situations where no one gets happy. No one is waiting for footage of refugees at the border of Macedonia, trying to get through a fence. That is precisely why such an agreement with Turkey is important: to prevent people from getting into that place and to prevent people from getting into boats to seek their salvation in Europe. I understand that all these people are trying to do that, because in Europe, the perspective for almost everyone is better than where they are at the moment. It is therefore quite understandable that you should do something about this. Otherwise, we will get these images of the situation at the border with Macedonia. Otherwise, we'll keep those images of people drowning in the Aegean. I'd like to do something about that. That indeed means that you also have to make agreements with regimes that really do not make you happy every day. That's a sense of reality. And if you don't want to, you'll get exactly the situations just described by Mrs. Gesthuizen. That is the result of doing nothing.
ParlaMint-NL_2016-04-13-tweedekamer-6.u39	No, that's not the result of doing nothing, that's the result of doing nothing by the VVD. As the largest party here in the Chamber, with the prime minister at the top, the VVD refuses to do what is necessary on European territory. If we do not want these abuses in Greece, then we do not need a deal with Turkey. Then you have to take responsibility and make sure that the agreements we have made a long time ago are kept. Mr Zijlstra, you can blink, but you are also familiar with these agreements. Then you have to make sure you take responsibility and redistribute people. Then you have to make sure that not everyone in Greece stands at a closed border, but you have to be so brave to explain it to your people here. Then you have to say: it is no one's pleasure, these 60 million refugees, we see that as VVD too, but we do not want to make agreements at the expense of human rights. Then you have to say: we take over refugees and we ensure that we work together here in Europe; we take over people from countries like Greece and from countries around Syria, and we carry our responsibilities in this way. My preliminary conclusion is that the VVD is okay with it. If the problems don't come here, if people don't come to the Netherlands, if they don't get to Europe anymore, then the VVD doesn't give a shit whether they're going to find a close border in Turkey or even in Syria.
ParlaMint-NL_2016-04-13-tweedekamer-6.u40	In this piece a lot of things are wiped on a lot that are really separate from each other. We made clear agreements in the autumn and the cabinet wrote a clear letter on this. That's what the VVD committed to. It was clearly agreed at that time that we would redistribute those who caused the problems in the southern countries such as Italy and Greece. Moreover, these agreements were part of a larger agreement, including in Europe, which included the agreements that have now been reached with Turkey. That was already in the letter from the cabinet in September or October last year. So it's just part of it. As far as we are concerned, this redistribution is still taking place. That's what we signed up for, and we're not running away from it at all. But it only makes sense to do that kind of thing if you make sure that the crane is closed. If you continue to redistribute and if Greece continues to flood from Turkey, at some point you have redistributed 160,000 people, but then there are 160,000 new refugees. And then you still have the problem. That is why the solution to the problem is that you control that stream of refugees from Turkey, that you contain them, and that you ensure that people have a perspective through resettlement. So you have to make sure that Europe does take responsibility. That's what we committed to, too. But that power needs to stop and be controlled. That's what we do. If we do not do that, all the horrible images that Mrs Gesthuizen paints can indeed become reality, but that does not happen because we are doing something. Again, that would happen if we didn't do anything. I'm tasting a little bit that this is what Mrs. Gesthuizen wants. I can't imagine, but that's what she's actually saying.
ParlaMint-NL_2016-04-13-tweedekamer-6.u41	Finally, Mrs Gesthuizen, but briefly.
ParlaMint-NL_2016-04-13-tweedekamer-6.u42	I shall be as brief as the other spokesmen so far, Mr President. The problem, of course, is that the power doesn't dry up at all. That is the greatest lie that is being told here. It is, of course, nonsense to assume that when we barricade our borders, the flow of refugees also dries. That's bullshit, of course. That flow of refugees remains, only then stuck in countries like Turkey and Lebanon and unfortunately, when Europe no longer takes responsibility, even in a country like Syria, where people really have to fear for their lives. That is the cynical realism that Mr Zijlstra is apparently so proud of.
ParlaMint-NL_2016-04-13-tweedekamer-6.u43	The reality is indeed cynical, I admit that immediately. The cynical reality is that we cannot solve the problems of the whole world in Europe. You'd love to, but it's impossible. The SP actually says that the flow of refugees is there anyway, acting at borders and trying to stop the flow is impossible and you shouldn't. But we know what's gonna happen, and they're gonna keep coming. Then the SP must also be real and draw the consequences, because our welfare state, our social services and the support base in society are not going to be able to cope with that. If all these people come here, we can like it or not, that is not at all a question of being far beyond the support and capacity of the social welfare state. We cannot like that, we can close our eyes to that, but that too is the cynical reality. Frankly, the VVD thinks that we should look at that, act on it, and that also means that we are prepared to take measures that are not equally pleasant, but with which we take the responsibility to ensure that what we have built here also remains. The SP doesn't want that.
ParlaMint-NL_2016-04-13-tweedekamer-6.u44	I am used to a lot of Mr Zijlstra talking about refugees, but I never thought he would be in the debate today for Erdogan. In fact, he says in so many words: I think Erdogan is much more reliable than Amnesty International, because that should first prove it. He says: I must first see the evidence of what is happening in Turkey and we have made agreements with Turkey. It is as if we are making agreements with Iran on the nuclear programme, and if we ask if they are being controlled, there is an answer: no, but we have been promised that Iran will stick to it. I cannot imagine that Mr Zijlstra would be satisfied in that case. Nor should we do that in the agreements with Turkey. So what steps does Mr Zijlstra think that the cabinet and Europe should take to find out whether Turkey is indeed sending people back?
ParlaMint-NL_2016-04-13-tweedekamer-6.u45	First of all, the contradiction that is created: I do not believe that I am known for my enormous sympathy for Mr Erdogan. I don't think that's gonna change either, seeing what he's doing in Germany. Frankly, I do not think the Chancellor's reaction is very sensible either. I don't like that much. You just have to be able to say what you want and Mr Erdogan has to stay out of it. But when we make agreements with a country, we appeal to that country if things don't go well. We are not going to stop programmes and agreements because we are getting signals from certain rumors or, to use a less negative word, that was Mr Voordewind's question. You don't have to stop the appointments right away. You have to look at what is going on and see if there is any evidence; I have already placed it with the Prime Minister. If it turns out that the agreements we have made are not being complied with, we will have to act because we stand for them. This also means that we are doing the right things in terms of human rights at the time. We are not going to ensure that people who are sent back from Europe via Turkey return to the war zone where they come from. We have not signed up for this and we are not going to sign up for it, but then Mr Klaver should not express a contradiction as if it would provide Mr Erdogan with some sort of legitimacy, because we do not.
ParlaMint-NL_2016-04-13-tweedekamer-6.u46	Mr Zijlstra says that it was Amnesty, that he has not yet seen any evidence and that he has an appointment with the Turkish government. I have heard Mr Zijlstra very well. He's absolutely right when he says this president has no sense of humor. He is absolutely right to say that Erdogan is not a democrat in the way he is trying to shape his country now. The more terrified I am when Mr Zijlstra says: we have made agreements and they must be kept. It was the Turkish ambassador to the European Union who said that the European Union should not control what is happening in Turkey at all, that the European Union should not look around there at all. If Minister Koenders or the European Commission visits, Turkey can be asked to deport people. If the Turks say that is not the case, then they will be satisfied. I want us to go there with our own mission and with our own eyes. What's going on? Is the accusation of Amnesty International and independent journalists correct that people are being evicted? We must be able to see that for ourselves. Does Mr Zijlstra agree with me that an observation mission should be sent to Turkey to find out what is happening there, that we should look at it for ourselves and that we should not ask the Turkish authorities or a President without humour?
