ParlaMint-NL_2016-02-18-tweedekamer-13.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-02-18-tweedekamer-13.u16	I find this statement by Mrs Leijten a little regrettable, because a motion has been adopted which I think has been carried out in a nice way. That's what's in there now. You can always remain dissatisfied, but the effort was aimed at achieving what was demanded in the motion. That has led to this takeover proposal. This does not alter the fact that municipalities can also make other considerations. I assume that the municipalities will therefore look closely at the conditions under which this happens. Moreover, we will also keep a close eye on this from our side. In the motion in part No. 137 is requested by the Government to ensure that investigations are requested from the Entrepreneurship Chamber and, in the final case, to do so itself. Mrs Leijten pointed out my answer to the parliamentary questions by saying: we must take a very close look at whether something is going on here. Mrs Leijten also knows that it is up to the employees or the unions to go to the Enterprise Chamber. The hallway to the Enterprise Room is open to everyone. It is up to the interested parties to request the investigation, where appropriate. I advise the motion, but that does not alter the fact that the people involved can consider going to the Entrepreneurship Room themselves. I have also made this clear in my reply to the parliamentary questions. Then I come to the Berkkamp/Voortman motion in part No. 138, which calls for the same principles to be laid down in an AMvB under the Youth Act. That AMvB is going into consultation right now. We're gonna discuss it in the Chamber. We have discussed this in the context of the WMO. With regard to the AMvB which is still to come to the Chamber, we would already agree that it should also apply to the Youth Act. That seems to me at least richly early. I indicated in the debate that it might be good, if we are talking about youth care, to see if additional measures are needed there. I don't have those signals yet, but what isn't can still come. But for that reason, I advise against the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u17	Let's talk about the previous motion. I thought it was an interesting idea. I took a look at the law. For the rates in the Wmo, there is a possibility for a General Measure of Management, but I did not see that possibility in article 2.12 of the Youth Act, which deals with a good relationship between the contracted rates and the quality envisaged. Is this true now?
ParlaMint-NL_2016-02-18-tweedekamer-13.u18	I don't know by heart, but it would be an additional motive to discourage the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u19	The reason I am asking is that the Secretary of State may then have to consider whether this might lead to a legislative amendment. I constantly move for good rates, including in the area of the Youth Act.
ParlaMint-NL_2016-02-18-tweedekamer-13.u20	I have a question about my motion. I can partially follow the Secretary of State, but would he like to inform the Chamber in his progress report about the pricing situation? I am not asking for an investigation, but I am asking for some kind of explanation and indication of how it is going. I'm getting really worrying signals from Childcare Netherlands. It would be nice if the Secretary of State could do that. Then I'll hold the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u21	In the youth progress report we always talk about the whole field. As far as tariff bottlenecks are concerned, we will certainly look at them. I would therefore like to make a commitment that I will pay explicit attention to this in the progress report.
ParlaMint-NL_2016-02-18-tweedekamer-13.u22	Mrs. Bergkamp, would you hold the motion? That must be clear today, because we are about to vote.
ParlaMint-NL_2016-02-18-tweedekamer-13.u23	I'll hold the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u24	At the request of Mrs Bergkamp, I propose her motion (23235), No. 138). That is what is decided.
ParlaMint-NL_2016-02-18-tweedekamer-13.u25	I'd like to seduce the Secretary of State for the motion in part no. 137 maybe still to embrace. That is the motion to investigate possible maladministration or maladministration by the TSN summit or the parent company, before bankruptcy. The Secretary of State says that he is not an interested party, but the motion states "in extreme cases to do so himself." What would be against it, I ask the Secretary of State, if it turns out that the unions or the municipalities do not want to do so, that the Empire goes to the Entrepreneurship Chamber and presents the situation? Then the Entrepreneurship Chamber can always decide whether or not the Empire should. You can also reason that we, as taxpayers, are stakeholders in this situation.
ParlaMint-NL_2016-02-18-tweedekamer-13.u26	It seems complicated to me that the State, which is not an interested party, is managing this legislation which states that it is up to interested parties, if necessary, to investigate and raise matters with the Enterprise Chamber, to act as a party to a conflict which should be considered mainly between employers and employees. For this reason, it seems to me to be a real consideration for the interested parties to do so, and probably also for the directors, who, in the context of bankruptcy, have the task of checking whether everything has been done to prevent bankruptcy. For this reason, it will primarily be up to the directors to judge and, secondly, to those interested, who may be able to refer a case to the Enterprise Chamber.
ParlaMint-NL_2016-02-18-tweedekamer-13.u27	Mrs. Leijten, only when it comes to your motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u28	It would have been as nice as the Secretary of State had said: I'm really going to go to the hole to do justice to those 40,000 clients and those 12,000 employees who have been duped.
ParlaMint-NL_2016-02-18-tweedekamer-13.u29	I assume that, if the trade unions or other interested parties agree, they will be the stakeholders in the context of the Enterprise Chamber Act and so will they when it comes to it.
ParlaMint-NL_2016-02-18-tweedekamer-13.u30	The motion in part No. 139.
ParlaMint-NL_2016-02-18-tweedekamer-13.u31	Mr Krol's motion for a resolution 139. There are two issues on the agenda. On the one hand, 45-plus, the programme made in the framework of the agreements with the trade unions and the municipalities, and on the other hand, the UWV, which will make additional efforts within the framework of the sectoral employment plans. I am working with the Social Affairs colleague to see how we can combine these two programmes. I understand that the Minister for Social Affairs will also take this point into account in the progress report on these sectoral plans. I could therefore imagine that Mr Krol would like to continue his motion until that report from the Social Affairs side is available. We are now making the combination he is asking, and in the progress report he can see to what extent that is successful.
ParlaMint-NL_2016-02-18-tweedekamer-13.u32	Mr Krol, are you holding your motion? You don't have to, but it's possible.
ParlaMint-NL_2016-02-18-tweedekamer-13.u33	I would like to give the two ministries that opportunity and hold the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u34	At the request of Mr Krol, I propose his motion (23235, No. 139). That is what is decided.
