ParlaMint-NL_2016-09-27-eerstekamer-3.u1	I would like to welcome the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2016-09-27-eerstekamer-3.u12	Mrs Gerkens briefly.
ParlaMint-NL_2016-09-27-eerstekamer-3.u13	That's right, but you could use this law to make sure it's improved. However, that is not by definition something that is being done with this law. This law makes it worse.
ParlaMint-NL_2016-09-27-eerstekamer-3.u14	Then I hope that you will ask and get some clarification on that. Mr. Chairman. Although we have not received a positive opinion from all organisations, it is important that we have received this positive signal from this large and diverse group of organisations. This support has been generated by good and intensive consultation between the parties concerned and the Ministry in the past period. It is no longer a mandatory national system, but it is being worked in close consultation with practice. Can the Minister promise that she will also be closely involved in the further development of the field? The CDA Group supports the importance of sketching a perspective. The danger is that, if legislation is not introduced, technical solutions will not be developed for what is now needed, but cannot yet be technically achieved. However, the members of the CDA Group still have a few questions about the proposal. There's a lot to do, a lot to say and a lot to ask about the law. In this contribution we will confine ourselves to a dozen points on which we would like to hear the Minister's response. 1. The WGBO and the Wbp (Personal Data Protection Act) have arranged for doctors and patients to talk together about consent for the exchange of data and the question of which data this is desirable and why. It is a big change when the law completely lays down the management of consent with the patient, for example via a portal or a check-off list. How does the Minister see that? 2. Push and pull. Once again, in response to questions from the First Chamber, the Minister wrote that a number of provisions of the law relate mainly to pull traffic. In the case of push traffic, a health care provider transmits data only to the follow-up handler. With a pull system, a healthcare provider can retrieve data from another healthcare provider's system, even more data than just the necessary data. Can the Minister again address the need for, added value or desirability of exchange via the pull system? I am also asking this in the light of the fact that files in health care institutions, general practitioners and pharmacies are often wrong. Many files have not been updated, important information is missing and what is in the files is far from always correct, according to the recent study of the Dutch Patient Federation. 3. Final responsibility for the file. Can the Minister say again who is ultimately responsible for the availability of the file and its financing and who is ultimately responsible for its content and accuracy? Can it also indicate how there can be no doubt about liability and responsibility if something goes wrong? I am also asking this in the light of developments in patient portals. 4. Authentication/identification. If patients can manage their own files and as health care providers and follow-up practitioners themselves can access patient medical data elsewhere via the pull function, then it is important that those patients and caregivers can identify themselves and that the consent is registered somewhere securely, the authentication. Can the Minister say again how she is going to ensure the security of identification and authentication? This is certainly the question now that DigiD is too unsafe for that and a report by PrivacyCare and PBLQ shows that the legal level of reliability required for patient authentication cannot be reached at the moment. On what basis does the Minister base her optimism that it will be available in three years' time? And what if that doesn't turn out to be there in three years? 5. Security of the database. Somewhere regional or central, for example at the nationwide switching point strongly stimulated by the health insurance companies, a health care provider can check if the patient has given permission to join the file as a health care provider. That's a delicate database. It is important that the medical data itself do not become available to that central system itself, that central database itself, or that that system does not also play an active role in the actual exchange of data. Can the Minister indicate how she's going to ensure that? How, for example, does it intend to prevent the LSP (National Switchpoint) from becoming an unauthorized door providing access to data? Last week, members received a letter from VGN and ActiZ, two respected national organisations, in which they wrote that they had no idea of the obligations that the AMvB would bring and that it was therefore unclear whether they would be able to meet the obligations in time, in particular with regard to NEN standards. Although the writing is late, our group still gives reason to ask the Minister how she sees this problem. If she sees a problem on that point, can she indicate how she intends to deal with it? Does it see opportunities to relieve or remove care? 6. Safety of devices and systems. The law aims to improve the security framework for the devices and systems used to exchange data. In Europe, profiles have been developed to enable devices and systems to exchange data easily and safely, including internationally. That's a good thing. Compatibility and interoperability is very important. Is the Minister prepared to include these international profiles in the security framework? This is all the more the question as it concerns open source profiles which can be a great opportunity to connect business-independently in good time with further technological developments. 7. Overrule. Our group believes that it is important for a health care provider to have access to data, particularly in the event of a danger of life and vital importance, even if the system does not allow it. In the last report, our group has asked for this possibility of overruling. The Minister's reply has not yet brought the desired clarity. Can the Minister confirm that this law does not remove the existing possibility to do so? In other words, can the Minister promise that in a case of vital importance, an aid worker will be allowed to access the data under the usual conditions and guarantees, as the WGBO now says? 8. Position of health insurers. The law prohibits health insurers from accessing patients' medical records. There will be a penalty of up to €500,000. Does this also mean that a health insurance provider may not require a patient to allow the insurer to access his medical records, even for supplementary insurance? In the meantime, law 33980 has been passed in the Lower House which allows health insurers to consult medical records of patients in case of suspected fraud and to inform them afterwards. We receive many emails daily from people who are worried about this law. They don't think the cure is proportionate to the disease. There is talk of an amount of fraud of 11.1 million out of a total healthcare budget of 73 billion. Of these 11.1 million, 9.8 million are fraud committed by healthcare providers and intermediaries, not patients. We are aware that this legislation is different, but because of the many e-mails we would like to ask the Minister on this occasion to indicate how both legislative proposals relate to each other. 9. Financial and administrative burdens. Precisely because it is not yet clear how the specified consent can ultimately be requested and given, there is still no clarity as to the financial and administrative burden that this will entail for the various healthcare providers and authorities. The Minister has indicated that Actal could therefore not yet clarify it. Is she prepared to have the Actal test carried out in due course? Can the Minister indicate how it intends to deal with the results if the burden is excessive for one or more specific groups of caregivers or institutions? 10. The patient secret. Finally, a question about the confidentiality of patients. It is well known that, among other things, municipalities, insurers and public health services often wrongly ask citizens to request their entire medical records from the general practitioner, which is not allowed at all. When a patient indicates that an authority asks for their file, general practitioners are sometimes reluctant to provide files in order to protect their patient. But in the end, a general practitioner should not refuse when a patient asks for his file. What is the Minister's position on the idea of creating a patient secret to prevent patients from being asked to transfer their data to third parties for improper reasons? I ask this partly in relation to companies' initiatives to store health data in a data cloud and the fact that these parties are not covered by this law and have no professional secrecy in this regard. How is privacy secured there? This brings me to the end of my first term contribution on behalf of the CDA Group. We thank the Minister for the attention and, as always, look forward with interest to her response.
ParlaMint-NL_2016-09-27-eerstekamer-3.u15	Mr. Chairman. Electronic data exchange has played a major role in healthcare every day for decades. This will only increase further in the future. It is in the interests of the patient that he and his caregivers should be able to quickly obtain his relevant and up-to-date medical information. Digital local, but also national medical archives show this on a large scale every day with a huge and irresistible quality improvement of care as a result. My group wholeheartedly supports the principle of this law that the exchange of data should be carried out in a safe manner and that the patient should be able to direct it. The proposal creates framework conditions for the possible use of an electronic exchange system by healthcare providers. The proposal does not prescribe the use of electronic exchange systems and the nature of such systems. The provisions contained in this bill complement the existing rules of the Medical Treatment Agreement Act (WGBO) and the Personal Data Protection Act (Wbp) and later the General Data Protection Regulation (GDPR). This was further explained by the Personal Data Authority at the Expert Meeting of 5 April 2016, which gave a very positive opinion on this bill. For example, generic consent already complies with existing legislation, while now specified consent is regulated. Furthermore, the existing rules do not specifically cover electronic data exchange. The explanatory statement reports on this and I quote: "The provisions of this bill do not affect the provisions of these laws applicable to file formation, consent to access to data, logging, the provision of data to third parties etc. This legislative proposal complements this and clarifies the additional rights and safeguards applicable to clients in electronic data exchange and the availability of data through an electronic exchange system." The law implements a number of motions relating to the electronic exchange of medical personal data. This room has the Tan c.s. motion. adopted in which the government is requested to "establish a detailed legal framework of standards and standards for both digital file-making and access, as well as data transmission, security, monitoring, enforcement and sanctions requirements, patient access, the provision of a copy to the patient and the transport of data at the request of the patient, in order to enable secure digital transmission of data, both pull and push, between healthcare providers within a region." In the original bill, the patient was not given a sufficient position. In this way, the patient was only given the opportunity to object afterwards. My group, like other groups, has therefore raised a number of critical questions and concerns at earlier stages of the treatment of this law and its predecessor, the EPD, which I am now happy to pass on. This concerns access for insurers, Article 15f. In addition to the WGBO and the Wbp, insurers are prohibited from accessing the data. The legislative proposal now includes a more severe sanction for the health insurer who still has access to an electronic exchange system. A system is also built in in which a policy holder can terminate his insurance immediately after the health care authority has imposed an administrative penalty on a health care insurer or has given an indication that a health care provider has read or processed data from certain insured persons or policyholders in breach of the law through the electronic exchange system. This is an important improvement in my group's view. It is, of course, necessary to inform the insured person immediately if necessary. Can the Minister confirm that this will happen? Which party is responsible for this task or obligation? Another question concerns the clue. This is not an administrative instrument and has no legal status. With the notification obligation data leaks the binding designation has been introduced in the General Administrative Law Act (Awb). This indication is considered to be a yellow card. This may turn into a red card, an administrative fine, if the designation is not followed. My group would like to know about the possibility of cancellation if the insurer has followed the binding designation, or if an objection and appeal procedure shows that the binding designation has been wrongly imposed. Then there's security standards. In an earlier period, my group has called for concrete obligations to healthcare providers to be imposed on the practice and protection of patients' privacy, and welcomes the fact that this is happening now. These obligations therefore lie in particular in the requirements of confidentiality, integrity and ex post control. In addition, security standards such as NEN 7510, 7512 and 7513 are made mandatory via AMvB. This makes very concrete demands in the field of information security, including authorisation and logging. NEN 7510 and 7512 already apply to systems with which the bsn is processed. NEN 7513 on logging is currently not regulated and is becoming a necessary condition for complying with the standard of adequate security in the electronic processing of medical data. According to the Personal Data Authority, as indicated at the Expert Meeting on 5 April 2016, the introduction of these security standards is even the main profit of this bill and its introduction is now "needed'. Mr Verheul of the RU also mentioned this as a plus. According to Nictiz, the NEN standards fit very well in this context. Now it could be argued that this has already been settled, and I think Mr Ganzevoort is going to do so now.
ParlaMint-NL_2016-09-27-eerstekamer-3.u16	If he gets the floor from me, of course.
ParlaMint-NL_2016-09-27-eerstekamer-3.u17	I'm entirely dependent on you, Mr. Chairman. I don't want to ask that particular question, but I do wonder if it's not a big deal. Is it indeed governed by this law or by a General Measure of Management that is linked to Article 26 of the Wbp?
ParlaMint-NL_2016-09-27-eerstekamer-3.u18	As I said, security standards such as NEN 7510, 7512 and 7513 are made mandatory via AMvB.
ParlaMint-NL_2016-09-27-eerstekamer-3.u19	It's related to article 26 Wbp.
ParlaMint-NL_2016-09-27-eerstekamer-3.u20	I should check that out. At least it's gonna be an AMvB.
ParlaMint-NL_2016-09-27-eerstekamer-3.u21	That doesn't take this law. Thank you.
ParlaMint-NL_2016-09-27-eerstekamer-3.u22	That AMvB is subject to this law. According to Nictiz, the NEN standards fit very well in this context. Now one could argue, and here it is that this is already covered by Article 13 of the Wbp, which provides for adequate security. But the said Authority and Nictiz also state that it is "needed" that the care world develops this into NEN standards. The standard of the Wbp.............................................................................................................................................................................................. According to Nictiz, the current NEN standards provide information about authentication, authorisation and logging, but not about the specific consent that is at issue here. Specific consent, free and informed, will soon also be required under the General Data Protection Regulation. I would like to take this opportunity to take another look at the matter by the Minister. Is the Minister prepared to submit the said AMvB in draft form to this Chamber in due course, as well as its periodic evaluations? I'd like a commitment. Then I come to the consent (Article 15a) and the obligation to provide information (Article 15c). In my group's opinion, in the previous legislative proposal, there was insufficient understanding of the access of aid workers to the system. Who gets permission and who doesn't? This is now being explicitly regulated. The patient gives specified consent. Under Article 15c, the healthcare provider has an obligation to provide information: he must inform the patient if he wishes to exchange data electronically and report which care providers and which data are involved. He must therefore ask a specified consent question so that the patient can make an informed choice or give informed consent. Furthermore, consent should always be sufficiently specific, including specified consent. The current bill obliges to differentiate between the aid workers. My group shares the view that this should be dealt with as soon as possible with field parties such as the Consumers' Association and the Personal Data Authority. According to KNMG's communication, the report of the expert meeting on 5 April 2013 is currently working constructively with the Ministry to prepare the implementation of that specified authorisation. At the moment, this is not feasible, which is why the Minister needs to temporize this section. My group agrees with, for example, the NPCF that this temporization is a good, at least inevitable step. With the introduction of this part of the law, direction is given to the way in which the authorisation regime is and needs to be set up. According to the KNMP, this is essential for making system choices, as mentioned at the expert meeting. These choices make commitments, including financial commitments. The parties will only want to take steps if the law is passed and if it is clear which way we are going. The KNMG also states that the law can be adopted without the specified consent being introduced and therefore has an added value. According to the NPCF, the patient federation, the introduction of the hull law has added value because it provides clarity. According to the NPCF this also applies to the articles that are being timed, because after the introduction they know where they are going in the coming years. Nictiz also called it useful and necessary to exert pressure on the field by adopting the hull law. Nictiz is convinced that implementation in the available timeframe is necessary and possible. Can the Minister state what the situation is and what the prospects are? The note following the report states on page 18 that "care parties will be given no later than 3 years for the feasibility of the specified consent and the realisation of the portal. Some healthcare providers may be ready for this sooner, as they can already offer a portal to patients." The further reply states on page 4 that the provisions shall enter into force for three years, and not later than three years, after the entry into force of this legislative proposal. As my group reads, healthcare providers have three years to comply with the requirements of the law. What does the Minister think of the possibility of setting the time limit for introduction to a maximum of three years or so much earlier if specified consent is feasible, as Mr Engelen seems to suggest? My group has a motion for a resolution on this matter. Finally, on this point, does the Minister consider it possible in future for the patient to give consent when someone wants to see the data as outlined as an ideal by the Consumers' Union? It seems to the members of my group that this will be difficult or unworkable as opposed to prior authorisation. If that consent is to be given at the time itself, it will take time anyway. In care, that time will not always be given. How does the Minister see this? I will continue with inspection, copy and logging (Articles 15d and 15e). The patient's access to the electronic file was not regulated in the previous proposal and was not considered possible. My group considered this to be very undesirable at the time. This bill gives the patient access to his electronic file with the healthcare professional with whom he has a treatment relationship. In view of the data exchanged, the patient will be given "the person responsible for the electronic exchange system, respectively the Association of Healthcare Providers for Healthcare Communications (VZVZ) as responsible for the LSP. The latter can be done on paper or online by logging in with DigiD. The NPCF has indicated that I refer again to the report of the April meeting of experts it is regrettable that this article on inspection will not enter into force for three years. Field parties such as the NPCF and the Consumers' Association are particularly disappointed because there are already very good examples of hospitals, general practitioners and pharmacists involving patients through portals and apps. This contributes to trust and insight. Patients will then know better about what data the doctor has and what he is exchanging. The NPCF fears that the development could come to a halt as a result of a delay in the entry into force of this Article for three years. My group shares this view insofar as entry into force should not last longer than is strictly necessary. According to Mr Engelen van Radboudumc, the development of electronic access is already so far that tomorrow, on Wednesday, we can start with it. What does the Minister think of the option of shortening the delay or at least not allowing it to last longer than until it has been settled? My group has a motion for a resolution on this too. In addition to accessing his file, the patient is also given the opportunity to contribute and to deploy or extract something, as the minister explained during, among other things, the AO in the Lower House of 29 June last about ICT in healthcare. My question to the Minister is how this relates to the file obligation of the healthcare provider, in particular with regard to the requirements relating to the quality, completeness, safety and reliability of that file and therefore to medical data exchange from that file, the subject of this law? After all, the Minister has reported in the same AO, and my group can very well agree that the dossier should be adequate and accurate and that that responsibility should remain with the provider. So this seems to be about the same file. What is the status of the information standard medication process in this context? Will the patient be obliged to comply with this when editing his file? Finally, on this point, my group has noted with approval that the Minister has launched an investigation into the behaviour and culture of patient data protection, the so-called quick scan. Is the Minister prepared to submit the proceeds of this investigation to this Chamber in due course? I'd like a commitment. Then there is the obligation to participate. According to some, there seems to be an obligation on the general practitioner to join electronic data exchange systems such as the national switching point (LSP). This was rather a major point for my group, and it still is. The Council of State also commented on this. The operative part of the Raad van State was worded as follows: The Advisory Section of the Council of State proposes that you forward the proposal of law to the Second Chamber of the States General, after the above-mentioned consideration will be taken into account. In the current legislative proposal, my group does not read any obligation. Another thing is that pressure could be exerted on general practitioners to join. Following reports in the media that insurers would exert pressure on healthcare providers to join the LSP, Dutch MP Leijten asked questions about this. The Minister replied that patients and healthcare providers should feel free to participate in the LSP or not. The law states that an obligation to participate may arise if the field decides to do so itself and by consensus. Can the Minister specify what is meant by "the field" and what is the role of the health insurance provider here? What is to be understood by consensus and how should it become clear? Then I come to the fee for participating in the LSP. With the amended motion by Mr Leijten (Room item 33509, No. 34) the Lower House asked the Minister to ensure that financing or reimbursement arrangements for the provision of information to clients on participation in the LSP were not in any way a financial incentive towards participation or non-participation. That's a good thing. Both the healthcare provider and the patient should feel free to participate in electronic data exchange or not. According to the Minister's statement in the House of Representatives, healthcare insurers The Netherlands is not in favour of a financial incentive towards participation or non-participation. Does my group now understand that there is no such thing? General practitioners and pharmacists will be compensated for the costs they incur for connection to the LSP and for asking and processing permission. The Minister has indicated that it will take action if it reaches signals that health care providers feel forced or tempted to join the LSP or any other electronic exchange system by means of financial compensation. I'd like a confirmation from the Minister. Does the Minister see any possibility of actively monitoring this? The question is whether, with participation in the LSP, general practitioners are obliged to cooperate in breach of professional secrecy. This objection was raised, in particular, by the Association for Practitioning General Doctors (VPH). My group has taken note of the ruling of the Central Netherlands court on this matter, which states that the care information system of VZVZ is not contrary to the provisions of the Wbp. My group understands that the VPH, after also being unsuccessful in appeal by the judge, decided last May to go to the Supreme Court in cassation. The LHV trusts, upon request, in its assessment of the legality and security of the LSP on the ICT expertise of its association agency, on the legal expertise of its Federation KNMG and on the supervision by the Personal Data Authority, formerly the CBP. On this basis, the LHV trusts that the LSP complies with the laws and regulations. Can the Minister state what is going on with the procedure of the VPH and what is her view on the objections of the VPH? Does the Minister share the LHV's vision and what arguments does the Minister have? Then I'll get to the alternatives. In the said motion-Tan c.s., No. 31466, Y, from this Chamber the government was asked to examine the possibilities of an electronic health card, which does justice to the patient's control over his own medical record. My group, too, has drawn attention to this earlier. In general, there seems to be more and more possibilities to keep information with the patient via other media, such as a chip card or USB stick. However, my group also gets signals that this would no longer be considered sufficiently safe in relation to emergencies, emergency situations and loss or theft, as mentioned on page 12 of the note on the report. In addition, in the field, it learns that although the mobile information carrier is seen by the general practitioners as an interesting option, these feasibility problems would arise. This is linked to regular involvement in many patients of multiple doctors inside and outside the hospital, additional letters and results that appear when the patient has already left, multidisciplinary and regional consultations and so on. The information would therefore quickly become obsolete and may be informative for the patient, but limited for treatment workers or not at all usable and certainly not up-to-date. For this reason, the KNMP even called it "unreal" at the expert meeting and talked about "back in time." Moreover, the advantage of privacy that might be opposed would be relative, because a computer where the card or stick is tucked in will download the information. What is the Minister's view on this? Finally, I would ask the Minister to make a commitment to accept within three years the evaluation report which she promised to that Chamber at the time of its examination in the TK with the adoption of amendment No. 20 members of Pia Dijkstra and Bruins Slot will also be sent to this Chamber. My group looks forward to the Minister's reply.
ParlaMint-NL_2016-09-27-eerstekamer-3.u23	Mr. Chairman. This legislative proposal sets out to improve customer rights in electronic data processing seems to be a good aim in itself, but unfortunately it results in the opposite result: uncertainty, uncertainty and, above all, insecurity of patient data. As far as the PVV Group is concerned, it does not respond at all to the objections raised by the Upper House in the legislative proposal for the electronic patient file that was rejected in 2011. The privacy and security requirements for the exchange of medical data are still not met. After a year and a half delay in plenary proceedings, it is not even a full legislative proposal, but a half-baked plan by partial postponement. It is as if a cook serves a bake that comes out of the oven with a nice sauce: his guest eats it unnoticed, pays the bill, but has a great chance of abdominal pain the next day. And that is now also the risk of "phased" introduction of the law: it makes it appear as if the client rights are well secured, the patients share their data in good faith, pay their health insurance provider, but in the meantime they run the risk of their medical data falling into different hands than they intended. It is precisely the introduction of the patient's own ability to give specified consent in the patient's file and his right to electronic access and copy that the minister now intends to postpone for three years. This makes this bill incomplete and careless. The proposal has been postponed for some time; why not put the care first and introduce the whole package only when everything is really well arranged, when the patient is no longer at risk of figurative, perhaps even literal abdominal pain if medical data falls into the wrong hands? Because how much certainty does a patient have? According to the Minister, in the three years of the phased introduction there is no generic authorisation but still specific authorisation. However, at the same time, I quote: 'The answer to the question of consent may be generic'. And there is now the uncertainty for the patient, who in many cases will be inclined to grant generic consent, not knowing which healthcare providers he will need in the future. And who would have access to medical data and health data from eHealth applications with such a generic answer? To what extent is the link with a treatment relationship still present when processing big data? Can the Minister clarify this? It is striking how hard some large health care companies, such as Philips, have insisted on the adoption of this law by the Upper House. At the end of June, our chamber committee received a letter from Philips in which it insisted that despite the specified consent has not yet been worked out, it should adopt the law so that it knows where it is going. Philips-topman Frans van Houten did a few days later at the European Data Forum in the Eindhoven Evoluon even a little bit on top of that by expressing harsh accusations towards the First Chamber. He expressed his displeasure that due to concerns about privacy the law had still not been dealt with. Citizen's privacy is apparently only difficult for him, just as he said in the same speech that "popularism drives us apart" and "brexit is a disaster." Privacy and the citizen's opinion are apparently of secondary importance to Philips-CEO in order to be able to profit from the health data of those same citizens. This calls for an extra critical view of such developments. In our previous written questions, we have expressed all our concerns about the cooperation between Philips and Allianz in the field of health data and the possible circumvention of the ban on insurance. The Minister's reply that a party such as Philips may only process health data if there is explicit consent does not at all reassure. What if a patient answers a generic question of consent? How can the Minister guarantee that this is always clear and unambiguous for patients from the question? While these major health care providers claim to need the law to know where they stand, fortunately, they are now being seriously experimented with solutions for safe systems on a smaller scale, without the need for the phased introduction of the law. For example, there is a serious alternative to the nationwide link point, an initiative of the General Medical Circle Amsterdam, the Whitebox. We also received a clear explanation of this at the expert meeting. This is also in line with what the PVV has previously called for: sufficient privacy and security requirements in the exchange of medical data, with the patient having control over their own medical data and with respect for medical confidentiality. Therefore, the PVV has proposed to ensure that the patient himself gets the direction of his medical record and authorizes healthcare providers himself by means of a personal care pass. We still do not see these directions of solution, instead the Minister chooses to postpone the articles on specific permissions for patients, while the consent of a generic character remains open. We therefore call on the Minister to state whether, when the technological possibilities are available at the desired level, she is prepared to allow the introduction of a personal authentication card. I'd like a reaction to that. I would like to come back to the earlier expert meeting where some points have been raised. I would ask the Minister to respond to this. I'm going to read out some quotes. Mr Nouwt van de KNMG, the Royal Netherlands Society for the Promotion of Medicine, claims that it seems that the bill is contrary to the instructions for regulation. I quote: 'It says that a regulation is not proposed or designed until it has been verified whether there is sufficient enforcement to be achieved. For this reason, we have previously called for a postponement of treatment. (...) My position is therefore: wait for the legislative proposal to be dealt with until there is more certainty about the feasibility of the requirement of the specified consent." Can the Minister indicate whether she shares this finding on the indications and, if so, whether this is a reason to postpone the whole legislative proposal for a preliminary period, rather than not introducing some provisions now? Mr Heldoorn of the NCPF, the Netherlands Patient Federation, said: "My last point is that no one should fall between shore and ship. The alternative I have put is: consent or vital importance."
ParlaMint-NL_2016-09-27-eerstekamer-3.u24	I put a question to Mr Van Hattem for clarification. Actually, I don't quite follow his argument. First of all, I understand that patients will have abdominal pain, and then I will immediately come out of my chair from the introduction of this law, and then I will hear him express his concerns about the safety of existing and newly introduced electronic data exchange systems. Now this law does not prescribe any system, including at the request of this Chamber. In the previous law, that was the case. This law only lays down requirements for existing and possibly new systems to be introduced. Think of security standards and high fines for insurers on unlawful perception. There is, however, a contradiction in Mr Van Hattem's contribution when he says, on the one hand, that patients get abdominal pain from all this exchange that has been going on for 30 years in a large-scale way and, on the other hand, he is concerned about the safety of this exchange. This law regulates precisely, as good and as bad as it can, security standards, high fines for insurers, access rights and all the other things Mr Van Hattem says are important.
ParlaMint-NL_2016-09-27-eerstekamer-3.u25	I can give a very clear answer to that. This law was actually attributed to the LSP system. That's basically what it's all about. There's just a risk in that. It is unclear to what extent the protection of patients' privacy data is regulated. There is an unnecessary risk for patients due to delay of the relevant provisions. That's the point.
ParlaMint-NL_2016-09-27-eerstekamer-3.u26	In which articles of this law does Mr Van Hattem read that the law even implicitly regulates the introduction of the LSP? I would like an answer to that, because apparently I have read about it.
ParlaMint-NL_2016-09-27-eerstekamer-3.u27	It's not explicit, but it implies it. There's just a system behind it that's going to end up with such a system.
ParlaMint-NL_2016-09-27-eerstekamer-3.u28	In what article of this bill does Mr Van Hattem read this implication? Just a little more concrete, so I can check it out.
