ParlaMint-NL_2016-02-17-tweedekamer-5.u1	I would like to welcome the Prime Minister and the Foreign Minister.
ParlaMint-NL_2016-02-17-tweedekamer-5.u12	Mr Buma said at first that the Netherlands must also move towards a stricter form of migration. He then said that British wishes are also better for Europe. Does Mr Buma really think it would be better for Europe if we were to interfere with the free movement of persons within the Union as far as the British proposals say? Is that really good for Europe? Does the CDA think that's good for Europe?
ParlaMint-NL_2016-02-17-tweedekamer-5.u13	The CDA has long been convinced that, in particular, the labour migration rules we now have are not sustainable in the long term. People just don't accept that anymore. You can say very "brave forward" and that we will continue with 28 countries on this road, but look at the problems we have here and they also have England. This will only lead to more discontent and more problems. You can only say that what England is doing now, namely that you have to live longer in a country in order to claim social security, is actually a wish that has been alive in this Parliament, and also in the CDA, for a long time. Then I say to the Prime Minister: support those wishes! If you support those wishes, and if more countries support them, there is a chance that you will have both and that Britain will remain within the EU. In my view, both, especially staying within the EU, are of great importance to the Netherlands and to the whole of Europe.
ParlaMint-NL_2016-02-17-tweedekamer-5.u14	I understand that Mr Buma is saying that, but I would like to make the following point. The CDA is also a party that looks at the importance of trade, business and opportunities for entrepreneurs. If we all introduce migration restrictions of this kind, free movement will soon be put under pressure. This also means much more delay in all kinds of economic opportunities. Does the CDA take that for granted? After all, I don't hear the CDA about that. I only hear the CDA about the fact that people no longer accept it and that we will have to move forward "bravely." But what about the economic opportunities for the Netherlands and for other countries in the European Union if we risk these things so easily?
ParlaMint-NL_2016-02-17-tweedekamer-5.u15	Let me say first of all that what is being asked here by England is not an extremely serious obstacle to European cooperation. It makes it more difficult for workers from Eastern Europe to work in the West, and vice versa, as far as the claim to social security is concerned. In fact, working doesn't get any harder, but if you don't have a job, you can't get social security in that country at that level so quickly. You may also wonder why that is not arranged at the start. Europe was not created to allow the free movement of persons, to make Schengen. It was established for the citizens of Europe by means of freedom of movement. If there are any mistakes in that freedom of movement, you have to take it away. If we don't, we're gonna collapse that building of 28 countries and we're gonna have nothing at all.
ParlaMint-NL_2016-02-17-tweedekamer-5.u16	Mr Verhoeven still? No? Please continue, Mr Buma.
ParlaMint-NL_2016-02-17-tweedekamer-5.u17	I only now see that the chairman has a very nice screen; it looks like an iPad.
ParlaMint-NL_2016-02-17-tweedekamer-5.u18	Yeah, but it doesn't do you much good in the moods. Please continue.
ParlaMint-NL_2016-02-17-tweedekamer-5.u19	All right, I'll come to a conclusion. So the question was whether the Prime Minister supported the British demands. The final point I would like to raise is the discussions that are still taking place with Greece on the third aid package. It's starting to get a little unclear about that. Worrying reports are coming in on the progress of the agreements with Greece on the third aid package. What is the state of play at the moment? There is also still uncertainty about the role of the IMF. It must be made clear that at least there can be no further commitments to Greece, for example in the form of write-off of debts or putting reforms in place in the longer term. Greece has to deliver because we support them with a lot of money. In short, what is the state of play?
ParlaMint-NL_2016-02-17-tweedekamer-5.u20	Mr. Chairman. British membership of the EU is not a favour from the United Kingdom to Europe. On the contrary, half of British trade takes place with Member States of the European Union and a Brexit would make the fight against terror much more difficult. This referendum is the result of an election stunt by Prime Minister Cameron. It seemed handy, after all, he won the elections with it, but it's coming back in his face like a boomerang. It is fine that Cameron is proposing a reform of the European Union, but Europe must not be blackmailed by British people who can do the best they can. For D66, membership of the European Union is not a choice menu either. Of course, it would be better if Britain remained a member, but not at all costs. So I appeal to our Prime Minister, in his capacity as Prime Minister of the Netherlands and EU President: let the European Heads of Government be self-conscious, do not let them give in to blackmail and let them stand firm if the British want to get into it. So not begging for their favors but playing "hard to get." I would also ask the Prime Minister to read the British proposals. The annotated agenda leaves a great deal of room for questioning. What exactly is the Dutch position? And what's his strategy as chairman? The right to free movement is one of the foundations of European cooperation. The cabinet indicates that it can live with a restriction, but the maximum duration of that restriction is still open. What's an acceptable price for the Prime Minister? As far as my group is concerned, that must be really clear. As far as I am concerned, the Prime Minister does not go to the negotiating table without discussing this with the House of Representatives. The restriction of free movement must also be subject to conditions. First of all, there must be an exceptionally high influx and there must be a disproportionate recourse to the social system. However, according to the European Commission, the United Kingdom already fulfils these conditions. Does the Prime Minister share that analysis? Which Member States fulfil these conditions even more and what would be the consequence of that? I'd like to hear a reaction to that. Another wish of the British is to be able to discuss the euro area as a non-member of the euro area. France and Germany have already raised objections. What does the Netherlands actually say in this? Finally, on this subject: Cameron has put things on edge over the last few days. He actually wants a deal on Thursday. Then he can hold a ministerial council on Friday and then he can, so to speak, launch a referendum on Saturday. And this while the criticism is on the right track. For example, there is German and French criticism of the exceptions for the London City and the eastern and southern Member States criticise the restrictions on EU migrants. Will the Prime Minister have the knife put on his throat tomorrow? Is 15 days of decisive change in European law, which could be the result of a deal, not ridicul? Can the European Parliament simply be sidelined? D66 advocates a thorough examination of the proposals on the deal that is now on the table and simply finds a deal on Thursday too early. I come to speak on the other subject on the agenda. Where the European Union is being held hostage by London on the one hand, Ankara is on the other hand ready with its demands. In exchange for receiving refugees, Turkey gets... Yes, what does Turkey actually get? Turkey receives EUR 3 billion, but that money goes directly to the refugee camps. So it is always new energy for the accession negotiations. In principle, however, Turkey has nothing to do with this, for there is yet another devastating report from the European Parliament. There is no mention in any way of progress. There is the opposite of progress, namely only decline. We have had numerous debates on this. The cabinet promises every time that there will be no blackmail. That's what the Foreign Minister and the Prime Minister say every time. Just last week, in a debate with the Chamber, the Foreign Minister said that everything that happens fits within the procedures. And yet the Turkish Prime Minister, Davutoğlu, after a discussion with our Prime Minister, welcomes the fact that major steps have been taken towards accession. It's really hard to follow. That is why I ask: is the Prime Minister prepared to send a report of his conversation with Davutoğlu to the Chamber? What specific requirements do Turkey have to meet with regard to visa liberalisation? What requirements have already been met? With regard to the integration of refugees, I have the following questions. What steps have already been taken? What about the work permits? And is Turkey going to ratify the entire Refugee Treaty? Geopolitically, of course, the situation is becoming ever more threatening. If Turkey sends ground troops to Syria, it seems that Turkey wants to move us into something as a NATO ally. Is the Prime Minister going to take a stand against this? The cabinet also writes: if Russian bombing continues in Syria, the European Council must take a clear stand. Does this mean that the Prime Minister is going to plead for sanctions? There are reports that the Netherlands and Germany are moving together to send Syrian refugees back to Turkey in exchange for resettlement. Is that right? Does the government now consider Turkey to be a safe country? And how much resettlement will the Netherlands do? A European solution to the migration crisis risks getting further away every day, especially now that the Visegrád countries are closing their borders together. My colleague told me. Our foreign minister was in that region last week. Can this trip be considered a failure? What will the Prime Minister do about this at tomorrow's European summit?
ParlaMint-NL_2016-02-17-tweedekamer-5.u21	I see an interruption by Mr Voordewind of the Christian Union.
ParlaMint-NL_2016-02-17-tweedekamer-5.u22	They're just objective, neutral questions like you're used to from me, Mr. Chairman.
ParlaMint-NL_2016-02-17-tweedekamer-5.u23	You can ask for anything.
ParlaMint-NL_2016-02-17-tweedekamer-5.u24	I'm curious to hear the Minister's answer. I would like to ask a question about that other point on Turkey. Mr Verhoeven lists a number of critical issues with regard to Turkey: the Turkish-Syrian border is close, human rights are deteriorating, the European Parliament's report and then the bombing of the Syrian Kurds, on which we adopted a motion last week, supported by D66. What action should this Prime Minister take, jointly towards Turkey, to make that country operate better with regard to the refugee problem, when it comes to not bombing the Syrian Kurds, who are now our partners, etc.?
ParlaMint-NL_2016-02-17-tweedekamer-5.u25	I have mentioned a number of concerns. The situation of refugees must, of course, be said to be improved. For example, we have referred earlier to the possibility of getting to work there, getting a perspective and being properly taken care of there. These are things where D66 has always been built up with the Christian Union and we have said: make that happen. I believe that dialogue is still the most important way forward. Of course, we should not be too easy to go along with, and we should not always make all kinds of noises that seem to indicate that Turkey is always getting its way from the European Union, whereas the Netherlands and the European Parliament are actually very critical of the way Turkey deals with a number of fundamental values. So we should not be too easy to give the Turks the feeling that they can make what they make, because we need them for the flow of refugees. That seems to me to be the main line of our Prime Minister's position. That did not go quite well last week, I think, because Davutoğlu came out and said: we are moving forward in the accession process.
ParlaMint-NL_2016-02-17-tweedekamer-5.u26	That is also my question to Mr Verhoeven. He says: dialogue, but at the same time increasing pressure. Then what suggestions does the D66 Group make to the Prime Minister to increase this pressure? We have restarted the negotiations with full energy. Is now a good time to do that? We are still paying the accession money to Turkey; 3 billion has been promised. What means of pressure does the D66 Group see to get Turkey back to its feet?
ParlaMint-NL_2016-02-17-tweedekamer-5.u27	One very important means of exerting pressure is that there will be no blackmail with any accession requirement. That is also a means of exerting pressure which the Prime Minister has said he does not need to be put under pressure, because he himself is very keen to do so. Not only the Prime Minister, but also the Foreign Minister, has said this time and time again here in the Chamber. I see myself here as a parliamentary watchdog. When it is clear that steps have been taken that do not fit in with the procedures, we will definitely oppose them. But opening chapters is fundamentally not a step closer to accession, nor is it a step closer to undermining the criteria. That is still acceptable as far as D66 is concerned. Opening a chapter is the beginning of the dialogue on the content contained in those chapters, for example on human rights, the legal situation or the rule of law. You should be able to talk about that, but when a clear step forward is taken, which is not in line with all the criticisms that are justified, the Prime Minister goes too far and we will pull him on his jacket.
ParlaMint-NL_2016-02-17-tweedekamer-5.u28	The Prime Minister made a commitment on this point and said that there should be no blackmail. On this subject, we have even tabled a motion in the Chamber. It's all promised, but that doesn't impress the Turks, of course. They want to go through at full speed and with renewed energy.
ParlaMint-NL_2016-02-17-tweedekamer-5.u29	What's your question?
ParlaMint-NL_2016-02-17-tweedekamer-5.u30	Do you see, for example, the suspension of the 3 billion or the pre-accession funds as a means of increasing pressure on Turkey to stop bombing the Syrian Kurds?
ParlaMint-NL_2016-02-17-tweedekamer-5.u31	I see it all as a means, but a means of exerting pressure must only be used if it has not yet crossed the borders. That is not the case at the moment. We have always said that we must not go any further on a point that we have said cannot be done. We just talked about that. There are accession criteria. There are very strict requirements. That's what D66 stands for. But we must also have a little faith in the position of the cabinet. Turkey has wanted to become a member for some 50 years, but it is still not a member. The situation is now deteriorating on a number of points. There are only a few reports from Turkey, some of which are also intended for domestic use, which indicate that the Turks are seeing major accession steps. I have to admit that I have not yet seen any hard form, note or paper, which I must also give to the Cabinet, which shows that, at the time of accession, a step has actually been taken that goes beyond the boundaries that D66, the Christian Union and, in my view, all the parties to this Chamber have drawn. It's a very complicated process. It's going very slowly, but as a Lower House, we have to be on top of it.
ParlaMint-NL_2016-02-17-tweedekamer-5.u32	Mr Verhoeven continued his speech. In fact, he's gonna wrap it up.
ParlaMint-NL_2016-02-17-tweedekamer-5.u33	I had a somewhat gloomy and sober input for my work, but I still have a minute left. I'd like to use it to make a positive conclusion. I started my speech with a referendum and I conclude with that too. I congratulate the government on the start of their campaign for the referendum on 6 April. That is surprising, but it is, of course, quite right. It all started out very difficult. I've often run into the wall of the two gentlemen in box-K. They said we're not gonna do anything, we're not gonna hand out any leaflets, because we're not gonna see any of that; we're gonna explain it carefully. But the situation is now very hopeful. A Twitter account has now been opened by the Cabinet. That's not nothing. There is also an infographic which clearly identifies the treaty and all its consequences. I have to compliment the State Department for that. Thank you for that! I cannot wait for the next action of the cabinet, but I am sure that if the cabinet continues this line, the Prime Minister, the Foreign Minister and I will fly together on the street in April.
ParlaMint-NL_2016-02-17-tweedekamer-5.u34	Mr. Chairman. Tomorrow and the day after tomorrow there will be an important benchmark in the history of European cooperation. There are two important issues on the agenda: the refugee problem and the British reform requirements. They can only make the division greater. As far as the Christian Union is concerned, that is all the more reason to focus on a Europe that everyone wants, namely cooperation that ensures peace, security and prosperity. Let us stop taking measures that lead to further integration, where we lose a large part of the Member States. I am also talking about further integration of the euro area. Let us also stop taking measures, for example, in the area of borders and the coastguard. I wait neatly until the rulers are finished talking. The Christian Union Group is pleased that an agreement has been reached on the position of the United Kingdom for the time being. The United Kingdom is one of the most important partners for the Netherlands and is an important counterpower against the dominance of Germany and France. The Christian Union Group therefore shares Prime Minister Cameron's deep concern, for example about the ever-increasing transfer of sovereignty and the regulatory burden from Brussels. It is therefore a good thing that steps are being taken, for example by making it easier for national parliaments to prevent unwanted European legislation. On that point, I have three questions for the Prime Minister and the Foreign Minister. Premier Cameron wants to move away from the pursuit of an ever closer union. Will the Netherlands and the United Kingdom take a clear stand against the automation of ever-increasing political integration? There is now a kind of explanation, a kind of explanation of this text, but the more we distance ourselves from it, the better it is according to the Christian Union. The negotiating agreement also contains a proposal to deny residents of other European Member States access to social security for a certain period of time, the so-called emergency braking procedure. Can the Prime Minister promise that this will apply not only to England but also to all the other Member States? The intergovernmental decision of Heads of State or Government is partly in favour of a future treaty amendment. Does the Prime Minister also take this opportunity to consider whether a possible treaty amendment would allow the decision to be taken to withdraw from joint arrangements, such as EMU or Schengen? That should be an option. It is also a point from the government agreement of the cabinet. Then there are the refugees and, above all, the role of Turkey. Last week we adopted a motion to support the Syrian Kurds, but the situation subsequently deteriorated dramatically. The Turks bombed the Syrian Kurds, a partner of the West, to fight Jabhat al-Nusra and ISIS. The Kurds are busy fighting Jabhat al-Nusra on the ground, but the Turks, our ally in NATO, are now fighting our partner on the ground in Syria itself. What should be the response of the Netherlands and the EU in addressing our ally on the ground? We have put forward a package of 3 billion. It'll be released with instalments. How is the Prime Minister going to increase the pressure on Turkey so that Turkey's bombing of Syria is stopped? What concrete measures is he going to take? What consequences does the Prime Minister attach to the implementation of the 3 billion package if Turkey persists in the fight against the Kurds? A new report from the European Parliament was presented yesterday. Colleagues have already referred to it. There has been a deterioration in terms of expression and freedom of the press. Is it not time, perhaps, to suspend pre-accession fees together with VVD, CDA and PVV after the dramatic report on the situation in Turkey? A word about Turkey as a third country. The VVD has also discussed this extensively. Now it turns out it's going exactly the other way. Does the Prime Minister agree with us that Turkey's safe third country is far out of sight and that there are no prospects for sending people back within a short period of time? Greece gets three months. Last week a motion was tabled to make it eight weeks to increase the pressure on Greece. Now Greece gets three months, but it must have an action plan in one month to get the hotspots off the ground. How hard is that deadline? We've seen a Prime Minister's deadline before. Will the Netherlands indeed work on a mini-Schengen, or will the borders be shifted to the next Schengen countries?
ParlaMint-NL_2016-02-17-tweedekamer-5.u35	Mr Voordewind has questions about Turkey and about a mini-Schengen. He is very critical of Turkey, but we also need Turkey to solve the refugee problem. What is the solution of the Christian Union when it comes to migration issues? If you want to take Turkey's size, if you don't like a mini-Schengen, then what is?
ParlaMint-NL_2016-02-17-tweedekamer-5.u36	Mr Mulder did not hear me say that the Christian Union does not like a mini-Schengen. If Turkey does not meet the criteria for the reception of refugees, then at least the refugees must be safely received in Greece. We have initially indicated that all emphasis must be placed on the conflict and that this must be contained, because it is the cause of the flow of refugees. Secondly, we are dealing with reception in the region. We believe that much more money is needed to make the reception in the region more humane. This means that people must be able to work in Lebanon and Jordan and that new emergency aid should also be made available in Iraq. Finally, in Greece these hotspots must come off the ground. That is where registration and selection must take place for redistribution across Europe. If it all fails and Greece does not comply with it, we must move the borders and then a mini-Schengen comes into view, as the Prime Minister has said.
ParlaMint-NL_2016-02-17-tweedekamer-5.u37	Mr. Chairman. I would like to address two important issues. I will start with the British exit or stay in the European Union and then consider the issue of refugees in detail. But first, the agreements, the proposals, which are now in place and which have been dragged in by Cameron, about economic governance. As is well known, the City, the financial heart of the United Kingdom, is a warm advocate of EU membership. British banks want fewer rules, but will soon benefit fully from, for example, the capital market union. What are the consequences of this deal for the supervision of the UK financial sector and financial stability on the continent? Is it possible, under the current circumstances, for the United Kingdom to join the Banking Union in the long term? Is the single rulebook likely or not to be applicable to British banks in the future, based on the deal? What would a possible UK exit mean for the single rulebook and the alignment of supervisory activities between the United Kingdom and the European Union? Then I come to the question of sovereignty and the proposals on the table. It is quite a hot potato: the pursuit of a "ever closer union among the people of Europe." When I read the deal, the United Kingdom will be excluded from the pursuit of further political integration. At the same time, last week, the six founding fathers of the European Union stated in a joint declaration that they remained committed to the goal of the 'ever closer union'. Since this is such a decisive factor for the United Kingdom, I would like to hear from the Minister what exactly is happening. Is the United Kingdom expected to participate in the "ever closer union" or not? What does this mean in practice? Then I come to social security and freedom of movement. What is the state of play on the conditions for the emergency braking mechanism to enter into force? What is the most widely debated at the moment? Should all the conditions set out in the deal be met soon, will a country be able to avail itself of the mechanism, or only part of it? On what condition does the Cabinet consider it fair for the United Kingdom to invoke the emergency braking mechanism? Does the government agree with the European Commission that the United Kingdom would already be eligible for the mechanism's entry into force? What would be the desired maximum duration of the operation of the mechanism as regards the cabinet? This part of the deal has been heavily criticised, including by the Visegrád 4, Poland, Hungary, the Czech Republic and Slovakia. The common thread is always that the proposal involves discrimination against Eastern European workers. I would like a response from the cabinet to these statements. Critics wonder whether the measures will have the desired effect and whether migrants are attracted by the United Kingdom on account of social services or the economy and the flexible labour market. Several British universities conclude the latter. What is the government's opinion on this point? I now come to the refugees. Last week we had a wide-ranging debate with the Prime Minister and the Secretary of State for Security and Justice, but there has been a lot of news since then, so it is good that we are talking about it again today. First of all, I would like to talk about the contradictory noises in relation to the possible action of NATO Aegean. At first, it seemed as if NATO's clear mission would only be to gather information. But on the one hand there is the German Minister of Defense who wants and drives much more on a pushback. He says: I have already been promised by Ankara that we can also send refugees back. On the other hand, the question arises: will NATO help save drownings, as the Turkish coastguard is doing at the moment? How's the cabinet in here? For the SP a pushback is unspeakable, but that is probably what the cabinet wants. I agree with Mr Verhoeven's question: does the Turkish cabinet currently consider Turkey to be a safe third country? I would also like to draw attention to a very critical report which was discussed yesterday in the European Parliament, the report by the rapporteur, Mr Piri. How will the European Union, the European Commission and, in particular, the Netherlands, in its role as President, ensure that the necessary improvements are made and enforced? I come to talk about the offensive in Syria against Turkish fighters. In the letter from the Foreign Minister, I do not yet read a condemnation of a possible Turkish-Saudi invasion. I'm asking him to speak it out now. Does the Minister condemn a possible such invasion? At Kilis, the border is closed. Tens of thousands of Syrians from the city of Aleppo have been hiding in and around Azaz. The Netherlands is helping Turkey with the reception of Syrian refugees on the Turkish side. My group chairman's request last week was to organise this aid on the Syrian side, because the people sitting there are tens of thousands of people and if the bombing of the city of Aleppo continues and the situation deteriorates, hundreds of thousands of people may need to be helped. They're trapped. They have nowhere to go. The Prime Minister said: we are already doing that, we are already helping on the Syrian side. That's what I'd like to come back to. I have not yet shown such a thing. It would be very unfortunate if we had the impression that the Prime Minister is saying so, but that is not the case. The Roemer motion asked to help the Syrians who are trapped in Syria. That motion was rejected last Tuesday, but I will gladly retable it. Turkey is currently catching 2.5 million Syrians. That number will go towards the 3 million. It is therefore true that the Prime Minister and the Minister of Defence continue to say in the press that the Netherlands is doing everything in its power to solve the migration crisis, while in fact they mean only one thing. People fleeing war, from American, Russian, Turkish, French and now also Dutch bombs, are allowed to knock for protection, anywhere but here. The Prime Minister talks about dislocation of Dutch society: we cannot handle it. The Secretary of Defense even talked about hell. A hell! Meanwhile, the cabinet complains about a lack of support in Dutch society. That's not as crazy as the cabinet says: well, this is the gateway to hell, you come in, and now we'd like to organize support. In that respect, it is not surprising that there will not be such support. Why isn't the Cabinet trying to solve the real problems? The problems of hundreds of thousands of people who are currently failing in the region; the number of people of 460,000 who the UNHCR is telling us about. These people urgently need to find a place in a safe part of the world. What about those 160,000 people from countries like Italy and Greece, who will help redistribute the Netherlands? In December, the Gasthuizen/Sjoerdsma motion asked the government to work both in the Netherlands and in the EU to comply with the UN Refugee Convention. What's the progress on the implementation of that motion?
