ParlaMint-NL_2016-04-12-eerstekamer-3.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2016-04-12-eerstekamer-3.u12	Mr. Chairman. This bill has been welcomed by my group. During the written preparation we asked some questions. We thank the Minister for his reply. For the most part, we find the answers convincing. We would like to come back to two questions later. First of all, we must answer a preliminary question. Are we in breach of the Hoekstra motion? This bill is about the rent, the income-dependent rent increase and temporary leases. Are these individual legislative proposals to be dealt with separately? Or is there coherence? The VVD sees a clear connection. The limitation of the rent will reduce rent revenue, i.e. less investment. This decline is offset in the temporary contracts and in the income-dependent rent increase. Temporary contracts provide new offers. The income-dependent rent increase gives an extra rent return. It needs to be re-invested. One part serves as compensation for the other. That calls for joint treatment. On behalf of the VVD, I would like to say a few words about the rent, the liberalisation, the income-dependent rent increase, the temporary contracts and the termination of temporary contracts. First of all, the rent. This offers unmistakable advantages. It leads to policy freedom for landlords and offers room for local customization. Parties want it for themselves. In June 2015, the House Union and Aedes concluded an agreement. Private investors were not involved, but they are in a different position. They have a return target. An average of the rent increases of all private landlords is difficult to establish and there is no supervision as with the corporations. The rent is determined on inflation plus 1%. This means an important moderation for tenants in the lowest income category. My group wholeheartedly agrees with this rent-based approach, also in view of the difficult economic situation and the Nibud reports on payment problems for tenants. Objections are, of course, that the income of corporations is declining, there is less flowing and less new construction is being carried out. However, these concerns can be addressed in several ways: expansion of the free sector, division of SGEIs and non-DAEB, income-dependent rent increase, an appeal to municipalities to sell building land, and liberalisation. Everything helps, although it is not always with the speed we would like. Our appreciation of the rent depends partly on the question: what do you put in it and what do you leave out? This bill takes harmonisation and liberalization into account, leaving out renovation and income-dependent rent increases. We agree with leaving out the last two. Renovation, especially energy saving, is needed. Existing dwellings cannot be excluded. Only, the corporations will in future have to charge the costs directly to the incumbent tenants. They can no longer shift these burdens to new tenants at the next mutation. We also agree with that. Income-dependent rent increase promotes the flow. The additional income directly benefits new investments for those seeking housing in the lowest income group. The VVD welcomes harmonisation. Equal rental prices for equal housing. Therefore, we would have preferred harmonisation to be excluded from the rent. Solving different rental prices of identical homes is going to be slower than now. We regret that and ask the Minister what are the reasons for including harmonisation in the rent. My group has difficulty with the fact that liberalisation is part of the rent. We expect this to limit the scope for liberalization. Liberalised rental fills the gap in the middle segment from €700 to €1,000. It contributes to the flow. Liberalising and selling also fill the middle segment in the free sector. It also produces a yield, which can be used directly for new construction, preferably suitable and affordable new construction. Of course, liberalization must not lead to an even greater shortage of social housing for the target group. As long as the proceeds of housing sales are re-invested and as long as there is a target group of 1.7 million households and a stock of 2.1 million social housing, of which 900,000 are to be liberalised, the border is not reached soon. Moreover, this border can be better monitored at regional level, because there are major regional differences. From this point of view, liberalisation has only advantages: the flow, more appropriate building and growth of the free sector without disadvantage to the social target group with an income below €38.000. Then why does the Minister put a brake on liberalisation? We have not been able to read the answer clearly in the reply. However, we consider it important and therefore submit the question to the Minister again. Whether income-dependent rent increases contribute to a reduction in the distortion of living is not certain. It is clear, however, that crooked housing has decreased by about 10%. WoON 2015 This has been mentioned more often... indicates that the number of cheap crooks has fallen to 18%. It seems difficult to determine to what extent the income-dependent rent increase has contributed to this. That is why we are looking forward with interest to the assessment which the Minister has announced. In any case, crooks pay more rent. And it will be invested directly, otherwise the extra rent must be included in the rent. An important objection is the often heard lack of an alternative to skewers. They have nowhere to go. The Minister has taken a number of measures, in particular to get the middle segment moving. The signals are hopeful, but it takes time. This bill exempts pensioners and families with children from the income-dependent rent increase. This choice for exempted groups seems rather random. Will the Minister explain again why these exceptions have been made? Next, some comments on fixed-term leases. The Group of the European People's Party (Christian Democrats) and European Democrats assumes that these temporary contracts meet a need.
ParlaMint-NL_2016-04-12-eerstekamer-3.u13	I would like to return to Mr Schouwenaar's remark that a few groups have been chosen at random to be excluded. Could he think of a few more groups for which an exception should also be made?
ParlaMint-NL_2016-04-12-eerstekamer-3.u14	Perhaps we could, but we do not want to do that. Our concern is that as more exceptions come, the means of the income-dependent rent increase will lose its meaning. Of course, it is nice to stand up for groups that are experiencing payment problems, partly as a result of the income-dependent rent increase, but we must bear in mind why it was ever introduced, I believe, three years ago. This has been done to give an incentive to the flow, but also to make crooks pay more rent, always below the maximum acceptable rent, and thus contribute to the new building. I use the word 'lover' in the neutral sense of the word, there is nothing reproachable in it, but they do occupy the places that are not intended for them, but for the lowest category of inhabitants, with an income below €39.000. Those are the people who are already so hard to get to work and have no roof over their heads. We do not know exactly how long that list is, but we do know that it is long and that it should not be placed further on the list.
ParlaMint-NL_2016-04-12-eerstekamer-3.u15	In the end, the bill includes the exclusion of a number of groups. That was done on the basis of data from the Nibud. The Nibud may even mention other groups that are at an income of €39,000 and, because they are being taxed more heavily or for whatever reason, will be in trouble if they get 4% extra rent increase in the future. We should therefore also look at other things than the rigid limit of €39.000 gross income. Or does Mr Schouwenaar disagree with me?
ParlaMint-NL_2016-04-12-eerstekamer-3.u16	I think it is a good idea to look at the overall picture of income and expenditure and not just the component of living there. There are a lot of components that determine someone's financial situation. If that is what Mr Schalk means, I agree with him.
ParlaMint-NL_2016-04-12-eerstekamer-3.u17	I have heard Mr Schouwenaar say a few times that the income-dependent rent increase, which still applies from a household income of €34,000 per year, is not only beneficial to the flow. Money is also being generated, which can be re-invested in new buildings for the lowest incomes. Could Mr Schouwenaar address the issue of tenants in private landlords? They also receive an income-dependent rent increase. Does it also generate money for new construction in the eyes of Mr Schouwenaar? Or does that money just disappear into the pockets of the commercial landlords?
ParlaMint-NL_2016-04-12-eerstekamer-3.u18	The last sentence is not very friendly, but let me take it a little more neutrally. Yes, I think it is; at least this may be the case. However, Mr Köhler also knows that this is a small part of the total regulated stock. Most of the regulated stock, 80%, belongs to the corporations. For the corporations, it will soon become a rule that the income-dependent rent increase must be re-invested in accordance with performance agreements with the municipalities, otherwise it does not count. That seems to me to be an important incentive. Once again, I do not want to detract from the sympathy for certain groups that are in trouble or are in trouble. It's also regularly rappelled about it. However, it seems to me that it is good to keep in mind that there is a group that is much more in trouble. Those are the house seekers who don't have a roof over their heads right now.
ParlaMint-NL_2016-04-12-eerstekamer-3.u19	Please continue your speech.
ParlaMint-NL_2016-04-12-eerstekamer-3.u20	I will continue my speech with a few comments on the temporary leases. The Group of the European People's Party (Christian Democrats) and European Democrats assumes that these temporary contracts meet a need. People who are involved in divorce, ex-convicts, GGZ patients, people with temporary jobs and people in a basically unlimited number of other circumstances will be able to use them. We expect this to increase the offer and that landlords will also participate in it. After two years there is no guarantee of replacement living space. Not everyone will want that, however, and the registration time on the waiting list continues. My group questions the way in which the bill regulates the termination of the temporary contract. Although the contract ends automatically, the landlord must send a reminder to the tenant one to three months before the expiry of the lease. If the landlord leaves this, the temporary contract will be converted into an indefinite contract. The right to rent is far from simple, so I can imagine that sending such a reminder letter is overlooked, that the letter is delivered wrongly or that otherwise it goes wrong. Then the extension of the contract to an indefinite period is a sanction which, in our view, is too heavy and not effective. That sanction does not affect the incumbent tenant and not the landlord, but the unknown successor tenant, the house seeker for whom it is already so difficult to find a place. It could lead to a decrease in the willingness to rent again rather than increase. We wonder what the added value of such a reminder is. Why such a heavy and ineffective sanction? All in all, we see many positive aspects of this bill. It is not a total solution to the housing market problems, but it cannot. It does provide some opportunities for improvement, step by step. We only have ideas when we propose to slow down liberalization and when we move from temporary to unlimited rental periods in the event of formal errors. We look forward with interest to the Minister's reply.
ParlaMint-NL_2016-04-12-eerstekamer-3.u21	I call Mr Köhler. Looking at the timetable, I note that he will be the last speaker of this morning. Mr Verheijen will be the first speaker after lunch.
ParlaMint-NL_2016-04-12-eerstekamer-3.u22	Mr. Chairman. The rents are hardly affordable for many tenants. Over the past three years, the rents in the regulated sector have been pushed up by the landlord's tax, resulting in a 12% rent increase. Were the rents in the Netherlands ever low in relation to those in the neighbouring countries, nowadays there is the opposite. This situation has been dealt with by the housing corporations and the Housing Association, as the representative of the tenants, with their social rental agreement. The intention is to moderate the annual rent increase. On average, with inflation plus 1%, rents are allowed to rise via the so-called rent sum approach. This includes the rent increase due to the harmonisation of rentals, the increase made by new tenants. As this average is 0.6% of the total rental price of a landlord, an average maximum rent increase of inflation plus 0.4% remains for the incumbent tenants. Although the SP, given the already high rent level in the Netherlands, considers any rent increase above inflation undesirable, we consider the lease agreement to be a major step in the right direction after years of an excited rent explosion. Around this average maximum of 0.4%, the social landlord can still vary by applying a maximum increase in inflation plus 2.5% for certain properties. They are houses that, given their quality, have a relatively low rent. But against such an increase, there must be five houses whose rent increases with no more than inflation in order to remain within the maximum rent increase. The draft law that we are discussing now raises the social rental agreement to the law, but unfortunately that has not been the case. The government has adopted a large number of measures which change the agreement for some tenants to the contrary: not rent moderation, but additional rent increase. In breach of the social rental agreement, the government again comes up with the additional income-dependent rent increase of 4% per year for so-called skews. And a crooked citizen is immediately by this law anyone with a household income above €39,000 a year. All our efforts in writing to get the Minister to explain why someone with an income of €40,000 per year and a rent of €700 per month would be living too cheaply, stumbled upon a wall with the Minister. He refuses to support his position with figures. The extra income-dependent rent increase also affects tenants in a house that still has the rent protection, the regulated rent, but whose home has already crossed the limit of €710 per month for a long time. Why you are crooked with an annual income of over €39,000 and a monthly rent of €800, the Minister will not want to precalculate. Similarly, the excuse for the income-dependent rent increase that the middle-income tenant must transfer from the social sector to a more expensive segment does not apply in this case. Nor does this tenant fall within the definition of the minister of crookedness. That is why I ask the Minister: why do you take the opportunity to hit this group of tenants with the extra income-dependent rent increase, not from the law? Today, the income-dependent rent increase can still be of benefit to housing corporations: according to this new law, it is only possible to make local agreements between landlords, tenants and municipalities. Unfortunately, the tenants have no right of consent. Private and commercial landlords of regulated homes, on the other hand, get completely free play. For their tenants with an annual income above €39.000, the rent increase becomes inflation plus 4%. For their tenants with an income below that limit, the rent increase becomes inflation plus 2,5%, because for these landlords the limited rent increase does not apply. The percentage that the social landlords can apply for a small part of their homes, the relatively low rent part, may be applied by private landlords for all their homes. This is even higher than in recent years, when the rent increase rate for low-income tenants plus 1.5% and with low middle-income inflation plus 2%. The Minister defends the exclusion of private landlords from the rental sum approach and the corresponding limitation of the rent increase with varying arguments, which we all consider to be not valid. First, the earning capacity of these landlords would be affected too much. Of course, the Minister could not further support that statement. At that time, the administrative burden on these landlords would become too high. The Minister has not been able to support this either. The Minister simply seems to think it is appropriate that the rent moderation of social landlords in the draft law is accompanied by an additional rent increase among private and commercial landlords and their more than 400,000 tenants with a regulated rent. The SP rejects this unequal treatment of tenants with one or the other landlord. The fact that the tenants of private and commercial landlords receive an annual rent increase even more than has been the case in recent years is unacceptable to us. We ask the Minister to come up with proposals to apply the rent-sum approach and the corresponding limited increase in rent-sum for the housing with a regulated rental of private and commercial landlords. The additional advantage of this is that it saves the government 14 million euros in rent surcharges every year. An alternative could be to limit the rent increase for dwellings that remain outside the rental sum approach to 1% plus inflation. We also pointed this out in the written consultation. Will the Minister respond to this idea? Last week, WoonResearch Netherlands 2015 appeared. This shows that the number of expensive skeptics, people who pay too much rent because of their income, has increased by hundreds of thousands in recent years. More than half a million low-income households dependent on rent surcharges pay more than about €600 rents per month and are not compensated by the rent surcharge. The rent has become priceless for them, not least because of the high rent increases in recent years. We asked the Minister earlier why he only proposes measures against so-called cheap skeptics and not expensive skeptics. He did not reply, apart from a reference to the appropriate allocation of a house with new tenants. But that doesn't help the 530,000 households who now live too expensive. Will the Minister come up with proposals to meet this group, for example with a freeze on their rent? And does the Minister not agree that the private sector's proposed rent increase of inflation plus 2.5% is totally undesirable for the 80,000 expensive skeptics? In the present draft law, the rental measures are linked to proposals to introduce more types of temporary leases. We believe that this is an improper link. In the written consultation, the Minister did not provide any valid arguments for this link either. We regret the fact that the government is in error again shortly after the Hoekstra motion has been adopted. I come now to a piece of text which Mr Pijman also quoted. We have all the campus contract, temporary contracts for elderly and disabled homes, temporary contracts based on the Leegstandswet, the landlady contract, the intermediate rental in the absence of owner or tenant and the rent by its nature of short duration, such as a holiday home or a swap house. And since two weeks, there's the youth contract. These existing forms are extended in this bill: the intermediate rental is possible for several consecutive tenants, the Leegstandwet also allows temporary rental of rented houses for sale and with a campus contract PhD candidates can also be housed. However, all these enlargements are not enough for the government. In addition to the types of temporary contracts I mentioned, there are two new forms. They go far beyond the previous ones, because they are no longer limited to specific groups or situations. Firstly, the temporary contract for up to five years for independent living space. This contract was originally intended for status holders, but under the motto "no discrimination" it becomes applicable to all tenants. In this way, the temporary rental contract is generalised for independent living space. We see no reason to call into question the contract for an indefinite period of time for all independent living quarters. It is precisely in this sector that temporary leases are not necessary at all. If tenants can flow to an independent home, they won't let that happen. If they can't get an independent home yet, we shouldn't let them get out of their independent living space. Would the Minister like to shed his light on this one more time? A second new form is the temporary rental contract for two years for independent homes. For social landlords there are still rules for which specific groups this is intended, but private landlords may apply it indefinitely for their 560,000 homes. That is where it threatens to become a pilot contract. My fear and my expectation is that private and commercial landlords will be the standard to offer tenants a temporary contract in the first instance. The landlord can then, according to the findings of cases, extend or not extend this. We want to avoid that situation. That is why we ask the Minister to agree to allow this type of contract only for specific groups in the commercial sector. All in all, the growth of temporary rental contracts runs out of the standard of the rental contract for an indefinite period of time; a standard that we attach great importance to. Therefore, the SP does not need new forms of temporary contracts, especially if they are not limited to specific situations and specific groups. We are curious about the Minister's response to our questions and comments.
ParlaMint-NL_2016-04-12-eerstekamer-3.u23	Thank you.
ParlaMint-NL_2016-04-12-eerstekamer-3.u24	I'm suspending the meeting for lunch.
