ParlaMint-NL_2016-03-15-eerstekamer-8.u1	I give the floor to Mrs Stienen.
ParlaMint-NL_2016-03-15-eerstekamer-8.u15	Mr. Chairman. When we started this debate and Mr Van Dijk asked to speak, I was suddenly reminded of my Sunday school period. I learned the song "A wise man built his house on the rock." Actually, it's a bit about that today and also about the fact that most people are wise people who want to build houses on rocks. Perhaps this should give us a little more confidence in the citizen. Well, I guess we won't be talking about that other person for a while. It's also about a densely populated country. That's true. We are an extremely densely populated country. Yet I always notice, when I drive on the train to The Hague, that I drive through a green area almost all the time. This is due to the fact that we have invented a very well-organised spatial planning system in this country. In our neighbouring countries we can see how things can be different. I know the Belgians are impersonating us by now. You used to see business sites, homes and buildings to work all mixed up. In the meantime, that's changing a little bit. In most countries in Europe it is less regulated than in ours, I think. We may also be a little over-regulated, so I think that thinking about what we are doing is very good. I'm glad we're dealing with the new Environment Act today. It's a bill with a long lead. At the end of the day, the Minister and her officials, whom I would of course also like to thank, have set up the preliminary route in such a way that the intention of this law is in the near future. That's very interesting. It is very special that almost all parties that have or have anything to do with this law have talked about it in order to come up with a good Environment Act. Then we are talking about provinces, all kinds of representatives of interests, from the environmental movement to the whole other side of the business, companies and representatives of business. We hope, of course, that when an environmental plan has to be drawn up at municipal level or when someone applies for a permit, the initiators of such an environmental plan or the private initiator will think about how to achieve broad acceptance. The fact that the Minister did this well is demonstrated by the fact that this bill in the House of Representatives, after a very long and careful examination, was given a very strong support. Perhaps the Minister could go back to the process she chose. I would actually like to give her the tip to share this with her colleagues. My view is that it is not very often that a legislative proposal is made in such a way with those involved or with other governments. It would be very good if the whole government just took an example of this. It is quite exceptional, moreover, that this revolutionary bill has hardly been given any attention in the press. I'd say so, because it's revolutionary. There are so many sectoral laws and rules integrated and so many procedures are interwoven, while maintaining legal certainty. I believe that legal certainty, if we do not change the standards, will remain exactly the same. In fact, in the eyes of the VVD Group, legal certainty is in the new situation, if everything is properly implemented I shall come back to that in a moment. In the old situation, as a citizen who wanted something through a lot of procedures, you could get a permit once, if you were lucky. A citizen who didn't want something often had to look in the mountain of regulation and often try again and again when he could already know after the first ruling that something could still go on or couldn't go on. That wasn't good for either of them. In fact, I can only think of one reason why publicity has passed the Environment Act and that is that it is a very complicated subject. Of course, there is little publicity in the support area.
ParlaMint-NL_2016-03-15-eerstekamer-8.u16	I have a question for Mrs Jorritsma. She says that legal certainty is at least the same and well protected. In her opinion, it gets even better, because it gets simpler and clearer. I see that differently, because we still have to wait and see what will come back from a number of frameworks and standards, which are now just in laws. The question is whether all this will become clearer and clearer. In addition, I have a second question. They're gonna be incredible AMvBs. So how can Mrs Jorritsma say that this becomes clearer for citizens and businesses?
ParlaMint-NL_2016-03-15-eerstekamer-8.u17	I shall come back to that in detail in a moment. In my opinion, something, if placed in an AMvB, is as legal as if it were included in the basic text. So that doesn't change. As far as I'm concerned, I wouldn't mind getting rid of some rules. But if we want to make this bill and its implementation a success, it would be a good thing for us all not to change all kinds of standards. Then you have to choose different procedures for that. I assume that Mrs Vos may want stricter standards in a number of areas. She knows my group. We sometimes want simpler standards or less standards. But I would like to be disciplined to choose, when implementing this bill, to transfer it one by one into the new law. Then we'll talk again about whether it might not be a bit much, because of course it becomes very visible what we have produced with each other over the years.
ParlaMint-NL_2016-03-15-eerstekamer-8.u18	Let me ask you one more question: legal certainty is best achieved by putting the most important frameworks, including the frameworks that will determine, for example, the assessment of permits, and standards into law. Then everyone knows: at least that is what we all have to live up to. Why, in the opinion of the VVD Group, is it not a good thing to do so?
ParlaMint-NL_2016-03-15-eerstekamer-8.u19	I believe that this debate has already been held very extensively in the House of Representatives. We share the view of the group in the House of Representatives. There was also a majority in favour of this. We have no other opinion on this. Sometimes I understand that, if you want to do it all very nicely, maybe it could have been different. I still have to see if it would have been possible to make one law. We'd probably have come up with more laws after all. I think the charm of this proposal is that a framework law has been chosen. We'll have an AMvB that sets all standards as they are today. After that, of course, you can change what you want. It is up to the legislator to determine that. In my view, it does not give any less legal certainty, whether we add it via an AMvB or incorporate it into the basic law.
ParlaMint-NL_2016-03-15-eerstekamer-8.u20	Finally, Mrs Vos, on this point.
ParlaMint-NL_2016-03-15-eerstekamer-8.u21	I understand that, Mr. Chairman. Mrs Jorritsma says that it will all end up in an AMvB and the standards will remain exactly the same and nothing will change. I believe that things are going to change, because there will be more flexibility. There will be more room for consideration at the local level.
ParlaMint-NL_2016-03-15-eerstekamer-8.u22	Yeah, that's right. They're not all in the law now either.
ParlaMint-NL_2016-03-15-eerstekamer-8.u23	That is true, but at least there are now firmer frameworks in the law, how they should be judged and so on. That's just my point. It is just a matter of waiting to see if what you are so optimistic about now becomes a reality.
ParlaMint-NL_2016-03-15-eerstekamer-8.u24	I think we are now having a debate that we will only be able to have later. Because you can't do that until those AMvBs get here.
ParlaMint-NL_2016-03-15-eerstekamer-8.u25	I'd like to go through the chairman.
ParlaMint-NL_2016-03-15-eerstekamer-8.u26	Sometimes you're surprised that something gets the publicity while it's just a futility and sometimes you're surprised when one of the most revolutionary subjects barely gets the publicity. By the latter, I mean a very big change in environmental law, even more so, the biggest change since we started with environmental law. That is a pity, given what I have seen before. In ministries, provincial halls, town halls and departments there is a great deal of preparation for the new system. By the way, many municipal councils have already completed their first course in Environmental Law. But if you asked a street question about it, I don't think nearly anyone knows what it's about. So there's still a lot of work to be done there. This will, of course, be easier if it can be done on the basis of local, concrete examples. The essay of the SCP, "Don't count outside the citizen!', which was written at the request of the Minister, has become an interesting essay. The title of the press release was: increasing the role of citizens in the new environment was not self-evident. That title, of course, immediately caused a lot of misunderstandings. It was taken as a criticism of the Environment Act in the press. Some people have already commented: see, they are trying to shut the citizen out or shut the mouth. That's very special, especially if you read the report correctly and even more if you take the core of the law. The SCP notes quite simply that the Environment Act can greatly improve the position of citizens in environmental law, provided that a number of conditions are met. This means that in particular two things are important: is there a clear process that is well communicated and is there sufficient citizen involvement in the policy-making phase? The VVD Group believes that the Environment Act, as it now stands, offers many opportunities to do better indeed than we have done so far as governments. I deliberately start with the subject of citizen involvement, because it has always been a vulnerable part of spatial policy and I fear that it will always remain so. It is now clear that, in particular, the process of achieving policy-making requires an investment in a very good and clear process for the environment. I've been mayor of the city of Almere for 12 years. When I got there in 2003, the designers, the aldermen and the city council were used to a process of establishing zoning plans, where zoning plans went through the city council as a hammer piece. After all, there were no people living in those neighbourhoods, so that was extremely simple. During the 12 years I've been there, there's been a total change. Especially in a new area people are much more sensitive to any change of function, especially when it comes to people coming from the metropolitan, very petrified area. They come in a green walhalla with lots of space. It is precisely in a developing city that it is necessary to improve design errors and make timely adjustments to urban design, so that neighbourhoods become more sustainable, especially in social terms. It's colliding, and we knew it. By the way, I have to say that some of the bad plans in the eyes of local residents have resulted in a tremendous amount of social cohesion. But it is better and probably cheaper to use other methods. The process of achieving civic participation is what I call it, however, started entirely from the spatial concept. So citizens are almost always consulted too late. In the meantime, it is also clear that citizen participation in environmental plans, which are currently called zoning plans, can only be successful if one starts at the stage of the problem analysis. What kind of problem should we solve? Do we share the view that there is a problem? For example, do we share the view that it would be nice if the elderly could continue to live in our neighbourhood? Then perhaps there is something to say for an apartment building for which a few trees have to die. The dilemma of civic participation is and will always remain that it does not mean that every citizen supports the choice made. The general interest is sometimes contradictory to individual interest and there are also limits to civic participation. It is good that the SCP also draws attention to this and makes the right suggestion to think about all kinds of new forms, such as the G1000 and the civil panels. In the pilot municipalities, but actually in all municipalities where there are bigger developments, you can see good examples of this. I would like to point out that it is of the utmost importance that the chosen form is properly discussed with and determined by the parliament, i.e. the city council. The citizen who is not right will always refer back to failing participation. Besides, it really doesn't fit to record something here about the shape in which you do it. One district is already different from the other, let alone one can be completely different from the other. According to the VVD Group, the new Environment Act offers many opportunities to take that new path, because both private promoters and the government need to think about the consequences of their initiatives and cannot do so or can no longer do so in splendid isolation. What makes the Environment Act unique, of course, is that it has been chosen for several paradigmashifts, as most speakers have said for me. I have already mentioned the first, namely a shift from the processes to the front. The second is that we no longer limit the scope for developments by means of all kinds of rules, but set standards within which developments are and remain possible. The protection of values will soon be within the limits of those values. Now, of course, this sounds wonderful, but frankly, I am glad that today we are not setting the AMvBs in which these standards are included. I fear that, as initiators, they will soon zoom in in a concrete place, they will be terrified by the amount that rests on it. It seems to me that it is a huge tour of giving information via the website in such a way that the citizens who are not trained in environmental law understand something about it. But this aside, I will come back to it later. What I also think is a good principle is that we are trying to restore some confidence between the levels of government in this country. That's not easy. One of the four improvements of the Environment Act is to increase the administrative balancing area, by enabling an active and flexible approach to achieve goals for the physical environment. Also for this objective, the extent to which it will be achieved depends on the space given in the AMvBs to make choices at local level and to provide tailor-made solutions tailored to the local situation. The question is, of course, whether in due course, those AMvBs can provide sufficient bandwidth in the national standards for, for example, noise, soil and the environment. We will have to test the AMvBs on that. For this point, see also the Council's opinion on the environment and infrastructure. I'm very curious how the Minister intends to deal with that. In the Lower House is the Veldman c.s. amendment. The Court held that, even if there is no experiment, certain standards which are laid down in rules of instruction may be permanently derogated from. I saw that the Group of the Greens/European Free Alliance asked further questions about this in the second round. The VVD Group attaches great importance to this addition, because it can make developments possible in densely built areas. By the way, this is not a freedom-happiness amendment. For example, the Hemreid in Zaanstad. If there is a great interest in living there, it should not mean that the adjacent factory is the Verkade cookie factory within a certain period of time, for example a number of years, would have to adjust its sound and smell production, while the residents will be happy to live there. By the way, we still have the problem of grandparents and grandparents living at the farm, on which there has been an enormous amount of work to be done. But such a thing should really be possible, without having any effect on the operation of the farm that is located there. In the VVD's view, further rural flexibility is very important, given the fact that scaling will continue there, even without everything becoming mega, given the family conditions.
ParlaMint-NL_2016-03-15-eerstekamer-8.u27	I have a question about that cookie factory at Hemrein in Zaanstad. It is not for nothing that certain standards have been set. They also have to do with people's health. You say that it should simply be possible to deviate permanently from certain rules. But it can't be that this is going to damage health, can it? You often see that this leads to very complicated situations in the long term, because it affects citizens. So, in the future, you're gonna have some trouble. It sounds a little too easy for me to say 'it must be possible to deviate permanently from regulation'.
ParlaMint-NL_2016-03-15-eerstekamer-8.u28	It therefore depends on what regulation it is and to what extent it deviates from it. To be honest, I think that the local authorities can make a very good decision on this. I've lived next to the milk sugar factory for years. At that time smell wasn't an existing problem at all. I couldn't ride past it so well when I was pregnant, but it's something you get used to in an environment. I honestly think most people in Zaanstad have smelled chocolate and cookies all their lives. Then it is weird that we are going to stop developments in this area, where we have thought together that we are setting standards for this too. It also applies to some types of sound. That factory is undoubtedly making noise and will perhaps be above the norm in a certain way, because it is still an industrial site at the moment. But I could very well imagine you saying: we make good agreements about it. Of course, it should not affect health in a negative way, but we may have to be less strict there than in the residential area where I live and where there is no movement within 10 kilometres. That's the kind of difference I'd like to allow. Let us give the local authorities a little room for that now.
ParlaMint-NL_2016-03-15-eerstekamer-8.u29	As long as it stays within certain frameworks. There just has to be a basic quality of the environment. Don't you think all the local authorities should stick to that?
ParlaMint-NL_2016-03-15-eerstekamer-8.u30	Do you really think that the basic quality in Amsterdam should be the same as that in Wommels, to mention a cross street in my immediate vicinity? I think it's different there, and I think people experience it differently. In the city centre of Amsterdam you will always experience a lot of sound, "whatever you do." Whether you ban or not, you always have public transport. That basic quality is not an unambiguous quality. It's different in different places. Let us give local authorities the responsibility for this. Then I come to a few important topics that are conditional to successfully implement the Environment Act. I'd like to start with the importance of good data. The CDA spokesperson discussed this in detail. I shall confine myself to a few remarks. The availability of appropriate data, in all areas covered by the law, is very important both for the preparation of environmental plans and for the preparation of project plans. In the further report, the Minister replied to a question from the D66 group that she had the plan to give the information house a place in the introduction law: the Lane of the Environment. I am very curious about the development of the ICT systems that should support the Environment Act. Is that work done in time, so that not too many things have to be manually searched together, as we saw at the start of the new Wro? It seems to me that it is virtually impossible for a citizen to get any clarity about it. For initiators, that must also be an unstoppable job. In other words, can we trust that the provision of data at the time of the adoption of the Environment Act is of such a level that the law can be properly implemented? Perhaps at some point there will be "go/no go" moments, if the ICT system does not work properly, even if the legislative process is completed. In fact, a well-functioning system with available data is conditional on a successful implementation of the law. Then I come to the division of powers between governments. A great deal has been said about this too. According to the administrative philosophy of the legislative proposal, the principle of subsidiarity is one of the most important pillars. This makes it important for the division of powers between the Empire and the provinces on the one hand and the municipalities on the other. The Empire and the provinces will soon be obliged to establish an environmental vision. That's what's needed. Municipalities cannot, without a vision of the other authorities, take account of upper-local policies. In most cases, the municipality will still be the competent authority to grant the permits. Moreover, the municipality must also prepare, establish and implement the environmental plan. Much has already been said and written about the administrative agreement between governments. It has been expressly agreed that both the Empire and the provinces will be reluctant to deal with their powers. In the opinion of the VVD Group, this means that later all kinds of political hobbies cannot be included in the visions. As a result, municipalities can hardly facilitate the wishes of their own residents and businesses. I'm deliberately saying it in ordinary people's language, because that's what it's all about in the end. The Minister explained in her reply to our questions that there must indeed be a significant upper class interest. This can only be achieved after consultation with the other authorities. Moreover, it must be established in the Chamber when it comes to national government, or in Provincial States when it comes to provincial policy. Of course, "the proof of the pudding in the eating" applies. When I was chairman of the Association of Dutch Municipalities, I regularly noticed that it is very difficult for some provincial directors to rely on municipal administrators. By the way, I also notice that in the case of MPs who do not always trust their fellow party members at local level. I will not say anything else about coastal policy, but when the Minister said something about it, it seemed very similar. On pages 22 and 23 of the reply, the Minister states that the forceful effect of Article 2.3 is contained in the mandatory efficiency and effectiveness test. This test, which the Wro does not know at present, leads, in the opinion of the government, to an additional steering force on a cautious use of standard-setting powers of the province and the Empire. Under the Environmental Law, the judge will have to assess whether adequate justice has been given to those aspects of efficiency and effectiveness. Of course, you're all hoping it's never gonna come to this. The notes follow the requirement of necessity, as set out in the Wro and should be limited to the aspects of the standard setting necessary for the defence of the provincial or national interest in question. Mr Van Dijk spoke about it. However, Professor Korsse states that such an objective mid-term review cannot be clearly recognised in the case law of the Administrative Court Division. And, according to him, this is due to the fact that the question of what is needed to represent a particular interest also requires a political and administrative assessment. Article 2.3 of the Environment Act now states that the Empire and provinces must justify why it is effective and effective to exercise the jurisdiction in question. So that is not a tightening-up, but a clarification. The big question is whether the administrative judge will now assess the aspects of efficiency and effectiveness, as the response on page 132 presupposes. After all, the administrative judge can and should only carry out a judicial and, therefore, marginal review. The question then is what the judge will review. Will the Minister state again why she thinks this is going to work now? Another issue in this area is whether the principle of subsidiarity applies to the establishment of national and provincial visions and programmes. The objectives set out therein shall be considered by the court to be relevant in the assessment of the extent to which a national or provincial interest exists. The reply states that for the powers of the provinces and the Empire which are not to be regarded as standards, such as the power to establish an environmental view or the power to adopt a programme, the principle of subsidiarity has not been declared applicable in the legislative proposal. This is because it covers only the description of the objectives of the administrative body concerned and the description of how that administrative body intends to achieve those objectives. However, objectives set out in policy documents are often considered important in the case law of the Administrative Court in assessing whether there was a provincial interest, as the Council of State also points out in its opinion on page 70? In that context, it is interesting that there was a ruling on October 20, 2010, and I consciously cite a rather strange example of the maximum height of advertising masts to be set up in Groningen with reference to the Provincial Environment Plan. It indicated that advertising masts could desecrate the landscape, so that they could not exceed six meters. This means that a national or provincial view of the environment is a clear beginning of a justification for the application of national and provincial powers. Does this change or not? Will the Minister give us her vision again? Does this, in itself, not mean that the principle of subsidiarity should actually be applied to environmental visions and programmes? Previous speakers also spoke about the letter of 28 January, in which the Council members' initiative Local Autonomy to the First Chamber expressed concerns about the effects of the Environment Act on local autonomy. Frankly, I think that a large part of the concerns of those council members are covered by principles laid down in Article 2.3 of the Environment Act such as "decentrally what can be done and centrally, only if it has to" and "the least burdensome intervention." The latter principle is set out in Article 2.2 (3). These concerns are also addressed by the "faster and better" approach to project decisions, as set out in Article 5.47. My group shares this view. However, there is an element in the argument of the council members, of whom we also wonder how this is later regulated by the Environment Act. Under Article 1.4 of the Crisis and Recovery Act, the right of appeal of local authorities is limited to decisions of the government which are not aimed at the local authorities concerned, but belong to projects designated by the Crisis and Recovery Act. Such projects were mostly discussed first in local politics. It is intended that the Crisis and Recovery Act will, of course, be incorporated into the Environment Act. Does the limitation of the right of appeal of local authorities return to this? If so, how? Now we're only talking about the Environment Act today. It is, of course, only a start to the whole of the legislation, which is needed to review the whole of environmental law. Everyone has said something about that. Soon we will have the supplementary legislation with the incorporation of all kinds of sectoral laws, the introduction legislation, which is actually the implementing law, and the AMvBs, which incorporate all standards. They'll all be supplementing the Environment Act in no time. They may also all have to go through the Second and Upper Chambers. I hope, to be honest, that I am now saying what I said later on that we are able to bring about discipline in order not to want to change everything in that legislation. Then the end is lost. Perhaps after that we will say 'what a lot we have arranged', and we will have to mow sometime, but I think that we should do so afterwards for the success of this process. Then I come to the question of the fees. From my history, members will understand that I have no problem with the differences between the fees charged by municipalities, if only because the cost levels differ in different types of municipalities. I therefore believe that national standards are really impossible. Yet these differences are an eternal source of annoyance. In the VVD's view, therefore, it is important to ensure greater transparency in the way these tariffs are created. We are therefore very pleased that the Minister of BZK is going to include this in the decision on the budget and accountability of provinces and municipalities, in such a way that municipalities and provinces should include a transparent numerical and substantive explanation of the creation and cost coverage of the fees. This makes it clear to citizens how tariffs have been set and what elements are involved. It is also good that these rules will start next year, a year before the entry into force of the Environment Act. Then we'll get rid of the dirt. Thank you to this Minister and, of course, to the Minister for Foreign Affairs. Another problem is the financing of the change. This point has also been mentioned by previous speakers. The Minister doesn't say much about this point yet. An objective of the Environmental Act is that working with general rules should be the starting point and that permits become the exceptions. It is expected that this will enable much more activities to be carried out under the Environmental Act than at present simply permit-free. However, this does not always mean that there is much less work for municipalities. Indeed, part of the work really shifts to the front, namely policy and response to customer questions about, for example, licensing-free activities, but a very large part shifts to the back, because municipalities still have a supervisory and enforcement task to which they are rightly not allowed to charge fees. This work must therefore soon be financed from the general budget. I assume, and I hope that the Minister will be able to agree to this, that we are simply going to have the Article 2 consultation with which this is done. Finally for now, because we will often speak before the Environment Act is complete, the following. When all the supplemental laws, the introduction law and the AMvBs have been passed and adopted, the VVD Group assumes that the policy areas which are then integrated into the Environment Act, including nature policy, will fall under the responsibility of one ruler. In the current situation, this would mean that everything would have to go to infrastructure and the environment, but I am well aware that the next elections will be over by then. It is therefore important that this point is included in the formation files. What does the Minister think about this? In conclusion, the VVD Group considers this a special draft law. If I try to look ahead and dream a little bit, it will be a lot less complicated for citizens and businesses who want something, but also for those who are against something. This creates opportunities to clean up a very large amount of bureaucracy without reducing legal certainty. In fact, they get bigger as simplicity increases.
ParlaMint-NL_2016-03-15-eerstekamer-8.u31	Thank you. Does one of the Members still wish to speak in the first term? That is not the case. In the schedule it was foreseen that we would be finished with the first term of the Chamber around 16.45 hours. Then it would be suspended until 6.30 p.m., including dinner break. I propose that we suspend until 6 p.m., including dinner break, unless there are really very serious objections on the part of the Chamber and/or the Minister. It's a bit silly to let the 45 minutes we're faster go. I see there's no objection.
ParlaMint-NL_2016-03-15-eerstekamer-8.u32	Mr. Chairman. I don't know if you need to know in what order I'm going to answer.
ParlaMint-NL_2016-03-15-eerstekamer-8.u33	Maybe the members need it. It might be useful to them.
ParlaMint-NL_2016-03-15-eerstekamer-8.u34	I will first give a brief introduction on how and why and on how to achieve it. Then I'll go into the paradigm change. That is where the issues of participation and cultural change lie. I shall now turn to legal protection and what is connected with it. Then the relationship between the bill and the AMvBs. Next, I will deal with digitisation and the relationship between the governing bodies. Then there are some points that have been asked less questions about: the National Environment Vision, the Environmental Plan, the Quality plus the Environmental Value, the Weighting Space, the Enforcement, the Implementation and other points.
ParlaMint-NL_2016-03-15-eerstekamer-8.u35	Do you think it's gonna work out to be ready about 10:30, including the second term?
