ParlaMint-NL_2016-07-05-tweedekamer-3.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-07-05-tweedekamer-3.u32	There is a distinction between having knowledge of something and being able to prevent it. It is not prohibited in the Netherlands to purchase a property using foreign financing. Maybe it's not desirable. It is certainly not desirable for it to be done in a non-transparent manner, and I agree with Mrs Karabulut, but it is not prohibited. That means you can't stop the purchase on your own. In this case, the municipality of Rotterdam came to the attention of the public for the first time in the spring. That interest was still denied at the time. At the end of June, it turns out the building was bought. That happened again with unwanted foreign financing, but it is not prohibited to do so. The fact that the Minister of Foreign Affairs receives information about applications from the Netherlands for funding from Saudi Arabia, but that he is not allowed to share that information because otherwise he will no longer receive it, has nothing to do with trade interests, but with diplomatic traffic. The Minister will be happy to give the Chamber more details and explanations on this matter. It is precisely because we have an interest in getting that kind of information in the future, so that we can share it with the appropriate services, that it is very important not to violate that confidentiality. This is independent of trade interests and it is independent of our view of the regime there and of the way human rights are handled.
ParlaMint-NL_2016-07-05-tweedekamer-3.u33	It is to be commended in the Minister that he wants to do justice to the fight against radicalisation and terrorism on the one hand and religious freedom on the other. I think it is a good line to speak with discernment about currents within, for example, Islam. However, this discussion goes back to at least three years ago when Mr Tellegen and I tabled a motion. Look at this, we asked, because the AIVD reports on Salafism and says that the dividing line between jihadism and salafism is fading. Do we have to wait for an incident every time? Is it every time waiting for the fact to lie there, the purchase has been made, possibly financed from abroad with an agenda that is potentially threatening? Do we have to wait every time for an incident or is the cabinet also proactive, take steps in advance and do we have a more active policy to counter this sort of thing?
ParlaMint-NL_2016-07-05-tweedekamer-3.u34	As far as I'm concerned, it has to be en-and. Once there is reason to think that something can lead to criminal offences, because that is what Mr Segers is talking about, or that it can lead to support for terrorist organisations, which is also a criminal offence, then you can take much more proactive steps. There is another motion by Mr Marcouch, to which Minister Van der Steur must respond in the autumn of this year. He is asked in that motion to look at a ban of such organizations, following the way in which these organizations, based on Salafist doctrines, behave in Dutch society. There will, however, be a need to be consistent about this, and I hope that we will always be able to agree on this. The mere fact that people have a certain belief, even though that belief is far from us and we may find it creepy or objectionable, is not enough within a rule of law to proceed with a ban. That doesn't mean you always have to wait for people to cross the line. If there is cause, if there is a relationship with behavior, if the context gives rise to it, then the rule of law can show teeth, and so will it, if necessary. Van der Steur must respond to that particular motion. In this case, we have sufficient cause for concern and we should not be naive. This organisation has already shown that, in spite of the views of the cabinet and the municipality of Eindhoven, it has invited speakers who preach hatred and intolerance. She's not very good with us. If, under false pretenses, such an organization buys such a remarkable property, extreme vigilance is required, but on the basis of its behaviour, there is currently no legal reason or possibility to prevent or prohibit that purchase. What can you do? From the municipality you can centralize the granting of all the permits required for each use, so that you have the full view of what one plans to do there. You can call on the organisation in question to make clear what the frameworks of the Dutch rule of law are and that we will not accept a millimeter distance from them. If criminal law is dealt with, you can use it or through the granting of a licence, a way through which you can do more than one sometimes thinks that it is counterproductive and prevent it from going that way. In the context of the rule of law, these are the possibilities we have, but I agree with Mr Segers: past behaviour counts in the assessment of this type of organisation and its caution.
ParlaMint-NL_2016-07-05-tweedekamer-3.u35	I think it's just unacceptable that we should have our children raised with anti-democratic and unbearable theories. We are talking about salafism here; we are talking about the Al-Waqfmoskee in Eindhoven; we are also talking about the Dawah Group from Utrecht, which sees an opportunity to educate young people who have grown up in this society with these wretched theories. We must prevent this from happening. I have two questions for this Minister. First of all... Is he gonna bet that teaching institute isn't gonna be there? Second. Could the municipality have prevented this by acting more actively, so that we could not have had this discussion in the Chamber now?
ParlaMint-NL_2016-07-05-tweedekamer-3.u36	First of all, the second point. As I can judge it now, that is not the case. I don't think there are any instruments to prevent such a purchase on its own right now. In the case of such a purchase, the use of the property is a second. On the first point, I agree with Mr Azmani. It is not for nothing that we now, together with the municipality of Utrecht, investigate the way children in Utrecht are raised by alFirah. It is not acceptable for children to be raised with hatred against the society they are part of or if they are raised with only greater distance from the society in which they will later be successful. We have resources to do something about this, from youth protection, through the educational climate and so on. Can you prohibit a particular destination in advance, only if there is cause for it and "leading" must be more than just a feeling of assuming that one will use it in that way? In this case, there is certainly cause for concern, precisely because of the background that Mr Azmani has already outlined. That is also why I talked to the municipality of Rotterdam about it and that we agreed to have that conversation in advance. So that is different from what we usually do when the permit is granted, because then you can only look afterwards at what they intend to do with the property. In advance, it will be made clear from the congregation what one will find acceptable and not acceptable, and that will also be maintained.
ParlaMint-NL_2016-07-05-tweedekamer-3.u37	When I listen to this, there sounds some kind of collective powerlessness in it. Can the cabinet not now change its position and stand next to the CDA to ensure that the glorification of terrorist violence is punishable? Then we have a ground for refusal through all kinds of legislation, including the Bibob Law, in order to be able to act effectively. It seems as if we should just let it all happen a little bit now, because we do not have a factual, criminal stick with which we can really hit for once.
ParlaMint-NL_2016-07-05-tweedekamer-3.u38	The CDA knows I'm open in this discussion on my own. On the one hand, I believe that, within the framework of the rule of law, we should protect freedom of expression and not prohibit the glorification of an idea, however unsympathetic it may be. On the other hand, I think there is every reason to consider whether the limits of criminal law have been drawn sufficiently. In this respect, the Context case earlier this year in The Hague, where a number of people were convicted on the basis of what one might call glorification of terrorist violence combined with a number of other elements, is encouraging. This case shows that criminal law does indeed help to counter recruitment, facilitate and encourage people to travel to Syria. That's crucial. The cabinet is always willing, precisely on the basis of the casusism and what we see in society, to see if criminal law has enough teeth. But even if the CDA proposal had been law and applied extensively, it wouldn't have stood in the way of people buying a property, no matter how difficult it is. In this sense, the rule of law is always bound by its own rules of procedure. This gives us the duty not to be naive but to be vigilant and alert and to be on top of it with all the means that exist and sometimes to be creative in it. That is why I would like to consider the Bibob Act and hence that the authorisation of the municipality should be involved. However, it does not give us a title to prevent a legal transaction in itself. This is part of the rule of law, which we must protect here.
ParlaMint-NL_2016-07-05-tweedekamer-3.u39	I fully agree with the Minister's last remark. The worst thing you can do in the direction of the rule of law is now in breach of the rules in a way that the rule of law does not actually allow. However, this does not alter the fact that the widespread concern is also a reality. It is precisely because this is such a precarious situation that I ask the Minister whether he is prepared to keep the House of Representatives informed of the progress of this process in terms of both authorisation and the activities to be carried out, whether in confidence or not, so that there is a basis of confidence that we do have it in mind.
ParlaMint-NL_2016-07-05-tweedekamer-3.u40	Short response, Minister.
ParlaMint-NL_2016-07-05-tweedekamer-3.u41	That concern in society is perfectly understandable, precisely given the history of the purchase and the role that Al-Waqf has played and plays in Eindhoven. So yes, I am prepared to accept Mr Bishop's request.
ParlaMint-NL_2016-07-05-tweedekamer-3.u42	I'd like to come back to that earlier. Since the beginning of Islam, you've had two reactions. There are people who defend themselves from their own culture and resist Islamization and you have self-Islamicists. Is the Minister prepared to move from the camp of self-Islamics to the camp that resists Islamization of the Netherlands?
ParlaMint-NL_2016-07-05-tweedekamer-3.u43	The Netherlands' own culture is the Dutch democratic rule of law. It means that we don't judge people by what they think or what they believe, but by what they do. People must respect the freedom of others. You'll have great freedom of your own. That freedom, that principle of our own culture, built after many years, I will defend at all times against everyone, whether they are extremists from one side or from the other.
ParlaMint-NL_2016-07-05-tweedekamer-3.u44	The Minister has tried to lecture here in response to many questions about this problem. Finally, the Minister said that he will always keep his back straight, so I will translate it against the advance of what threatens our freedom. However, he does exactly the opposite. You can't do that anymore, can you? The Minister gives the Netherlands away and says: no, I did my best. Under the leadership of this minister, the Netherlands is not happy and there is the main cause.
ParlaMint-NL_2016-07-05-tweedekamer-3.u45	We agree on the dangers that threaten us. Yes, there are people and organisations that are threatening the free Dutch rule of law. What is the appropriate answer now? You can put the rule of law overboard to protect him. You'll lose everything. You can also make sure that within the rule of law you judge people by their behaviour, by what they do, by terrorism and by radicalisation. You'll protect the rule of law. Then the rule of law is in place for anyone who wants to make some of it and who wants to comply with the law, with the rules of the Netherlands, whether they are Muslims or not. That space wants to give away the PVV and thus also question freedom itself. I am convinced that you will only win against the threats that exist by being very strict, unbearable, against jihadists and extremists, and protecting all those innocent people who want to contribute.
ParlaMint-NL_2016-07-05-tweedekamer-3.u46	Mr. Chairman. We know from Salafist organizations that they have an endeavor that is contrary to our core values. They're antidemocratic and sow hatred. They don't reject violence and they don't renounce it. What is happening in Rotterdam is an extension of these Salafist organisations. It is a breeding ground for radicalism and jihadism. Is the Minister prepared to do everything with Rotterdam to stop this initiative?
ParlaMint-NL_2016-07-05-tweedekamer-3.u47	I am prepared to do everything in my power to prevent the purchase of that property from leading to the phenomenon that Mr Marcouch has just outlined.
ParlaMint-NL_2016-07-05-tweedekamer-3.u48	Thank you, Minister.
