ParlaMint-NL_2016-03-22-tweedekamer-32.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-03-22-tweedekamer-32.u12	What budget is Mr Bashir thinking of for these fine plans?
ParlaMint-NL_2016-03-22-tweedekamer-32.u13	Enough budget. If there's any trouble in the neighborhood that's bothering people, you're gonna have to deal with it. Now problems are on the verge of being spread by the country. More people are gonna get hurt. You're right. You're gonna need money for that. Two Cabinets ago, money was still allocated for this. I suggest we do that again.
ParlaMint-NL_2016-03-22-tweedekamer-32.u14	That's not what I asked. We're talking about the use of scarce tax dollars in this house. If you need money, you must indicate how much, what you are not going to do and where you are going to get it from.
ParlaMint-NL_2016-03-22-tweedekamer-32.u15	I am not going to risk concrete amounts. If the willingness is expressed to pursue neighbourhood policy again, I would like to consider how much money is needed, how it should be financed and how we are going to do it. At the moment, however, there is no willingness to do so. Everywhere the plug is pulled. At present 0.2% of the budget of a number of Cabinets ago is earmarked for neighbourhood policy. There's no more investment. There's got to be money. I do have a number of posts where it can come from. Think about the landlord's tax. You can get it from the millionaire tax. You can also look at the mortgage interest deduction. If there's that willingness, we can do something about it. Secondly, I am referring to building and investing in mixed neighbourhoods. I mention the landlord's tax again. It needs to be deleted so that investment can be made. When is the Minister going to take care of that? When is he going to invest in good, fun and safe neighborhoods for everyone? The third point is the fight against division. How should children later live together, work together and form a society, if they now grow up separately? They don't meet at school and they don't see each other. How are they supposed to understand each other? Give municipalities the opportunity to spread people. Give municipalities through the Housing Act the possibility to steer on viability and socio-economic characteristics. Make sure that people go to school mixed together, that mixed buildings are built and that neighborhoods are inhabited mixed. Fourth. Have faith in the police and the justice system. If you do something wrong as a child in the Netherlands, you will be punished by your parents or by the teacher at school. If you do something wrong as an adult, the judge will punish you. That's what we agreed on. Criminals must be dealt with by police and justice. During their punishment and after that they must be accompanied to find a place in society in a good way. But why does the cabinet make it possible for municipalities to punish or even double-punish property seekers? Is it the cuts on the police that forced 2,000 officers to leave?
ParlaMint-NL_2016-03-22-tweedekamer-32.u16	I had to remember it for a long time, but I'm trying to understand Mr Bashir's previous passage. He says he's in favour of mixed neighborhoods. At that point, he'll get me on his side immediately. With this law, we ensure that there is no accumulation of misery and that the people who suffer from this accumulation of misery are protected from extra misery. On the contrary, we want to prevent one dimensional neighborhoods from developing and expanding. That's exactly what you're advocating. Therefore, I do not understand your objection to this law.
ParlaMint-NL_2016-03-22-tweedekamer-32.u17	I was talking about viability and socio-economic characteristics. This bill is about criminals. I'm talking about growing up together, building mixed up, living together and going to school together. This bill deals with the spread of criminals throughout the Netherlands, so that it affects everyone. I'm talking about dealing with problems, fighting them and putting on neighbourhood prevention and the neighborhood cop. I want someone from the neighborhood to know if there's any trouble, think about drinking or drug problems. That person can then look at what is going on, for example a gambling problem, and he can talk to people to deal with the problems and solve them. In this bill, it's only about spreading problems.
ParlaMint-NL_2016-03-22-tweedekamer-32.u18	Then I'm not gonna keep comprehending it. What Mr Bashir wants, so does the Labour Party. But you're actually saying you're in favour of the concentration of that misery, because you're not in favour of its spread. So if there are a lot of people living somewhere with a drinking problem or with criminal backgrounds, you say: let the next one live there, because then it gets better because we don't spread it. You say that with so many words.
ParlaMint-NL_2016-03-22-tweedekamer-32.u19	Would you like to speak through the chairman? 'Cause I'm not saying anything.
ParlaMint-NL_2016-03-22-tweedekamer-32.u20	The previous speaker, Mr Van der Linde, said that there have been problems in some neighbourhoods for 50 years, that they accumulate and are not being tackled. Why aren't these problems being dealt with? Because there's no neighborhood policy. There's hardly any money for living and there's hardly any money to deal with the problems. 2,000 district agents have been cut off. Yeah, that's right. There's trouble, and they're stacking up. Instead of tackling these problems by making money available to deal with neighbourhoods, people are now going to spread these problems all over the Netherlands so that everyone suffers from them. That's not the approach I choose.
ParlaMint-NL_2016-03-22-tweedekamer-32.u21	I'm having a bit of a problem with this. The common thread in Mr Bashir's story is that he wants to make neighborhoods more cozy, more beautiful and more liveable. He speaks to the minister because he thinks he should take care of that. All these municipalities are working hard to make the business more liveable in their neighbourhoods. The past has shown that they need tools to keep these neighborhoods habitable. What is wrong with giving the local administration tools to achieve what Mr Bashir wants? That, I believe, is the purpose of this law.
ParlaMint-NL_2016-03-22-tweedekamer-32.u22	At the moment, there are 18 municipalities that are already screening on the basis of the possibility that this bill will create, while the law does not yet make that possible. They're screening on the basis of police records. This happens in 18 municipalities. In some of these 18 municipalities, there have already been evaluations of how effective that is. This shows that there aren't a lot of troublemakers. It's just a few people, while at the same time it's a major breach of everyone's privacy. After all, everyone's police records must be provided. That's one. Two. We have had the evaluation of the Rotterdam Act. What's in it? It says in that evaluation that it has not been proven to have contributed to liveable neighbourhoods. My conclusion is that we have tried the same thing for ten years, so let us do it differently now. Let us now use prevention instead of repression. Well, then you're going to District Prevention. If there's a problem, the people in the neighborhood have to go down there. You have to look at what's going on and deal with the problems. That's different than spreading people around the country, because then those people still keep their problems.
ParlaMint-NL_2016-03-22-tweedekamer-32.u23	I hear the reaction of the SP. If I listen carefully, Mr Bashir says that there is no point in putting down the bill in this way. I do not think that the legislative proposal before us is the solution, but it is part of a solution. That this will not be a solution for the total spectrum, I agree with Mr Bashir, but it is an explicit tool in the toolbox of the municipal authorities. Wherever this works, they could use this.
ParlaMint-NL_2016-03-22-tweedekamer-32.u24	But then Mr Ronnes says: yes, I am in favour of this bill, provided that more happens, namely that more things are picked up and more tools are put in the toolbox of the minister and the municipality. But I don't see that. I see that there is only 0.2% of the neighbourhood policy budget left. The rest have been cut off. I see there's been cuts on the police. I see cuts in the ggz institutions. All I see is cuts and this bill too. I would say: show the other measures that Mr Ronnes is talking about.
ParlaMint-NL_2016-03-22-tweedekamer-32.u25	Mr President, may I comment briefly on this? I believe that this proposal does not block us talking about other good proposals, if there are any. If people have ideas about that, we can just talk about it here.
ParlaMint-NL_2016-03-22-tweedekamer-32.u26	I find Mr Bashir's story a bit difficult. He advocates a neighbourhood approach and pretends that we haven't had for years a policy of neighbourhoods of attention, beautiful neighbourhoods and birdwatching areas, at the time warmly supported by the SP. Each analysis has shown that this policy has done nothing for the quality of life. What does Mr Bashir want new? What didn't we have before?
ParlaMint-NL_2016-03-22-tweedekamer-32.u27	I just mentioned four points. I'd be happy to list them again. Is that all right with you, Mr. Chairman? Okay, then I'll just start over.
ParlaMint-NL_2016-03-22-tweedekamer-32.u28	Well, not quite at the beginning.
ParlaMint-NL_2016-03-22-tweedekamer-32.u29	I will help Mr Bashir a little bit. I thought this was all part of the policy for the birder neighborhoods. There's nothing else there, is there?
ParlaMint-NL_2016-03-22-tweedekamer-32.u30	No, that's the problem. Vogelaar's policy has not been completely completed. It started with a lack of budget. I was on the parliamentary committee of inquiry into housing corporations, which concluded that, although money had been allocated, it was not made entirely available by stupidities such as miscalculations. So Mrs Vogelaar had to use much of her time to go after the money she was promised but not given in the end. Then there was hardly time to implement this policy, because then came the next cabinet, which has put a stop to neighbourhood policy.
ParlaMint-NL_2016-03-22-tweedekamer-32.u31	We'll share that with each other, but those analyses were from a long time ago. They were from 2009, 2011 and 2013. Also with the money that was there, nothing happened. If Mr Bashir cannot indicate what costs he has in mind, I find it difficult to discuss it.
ParlaMint-NL_2016-03-22-tweedekamer-32.u32	I would like to mention amounts, but I do not know whether that is effective in this debate. We are still talking about fictitious amounts, which are not being allocated because the VVD only chooses to spread problems instead of tackling them.
ParlaMint-NL_2016-03-22-tweedekamer-32.u33	I feel that it could contribute to the debate, but that is just a feeling.
ParlaMint-NL_2016-03-22-tweedekamer-32.u34	I will leave it in the middle in this case, but if I have to mention an amount, I would say 20% or 10% of the landlord's tax. Use that to conduct neighbourhood policy, as a start.
ParlaMint-NL_2016-03-22-tweedekamer-32.u35	The VVD is not automatically in favour of this, but I can hear Mr Bashir now saying that he wants to maintain the landlord's tax.
ParlaMint-NL_2016-03-22-tweedekamer-32.u36	No, I'm not saying that. I want to convert the landlord's tax into an investment obligation. You can indeed use part of the proceeds to conduct neighbourhood policy. Otherwise, of course, we have the mortgage interest deduction, the millionaire tax and the frigates that should not be there.
ParlaMint-NL_2016-03-22-tweedekamer-32.u37	I wrote down that landlord's tax for you, thank you very much.
ParlaMint-NL_2016-03-22-tweedekamer-32.u38	I was talking about the cuts, because they fall down hard in our neighborhoods. For example, millions of savings have been made on the ggz. A third of the beds have been removed. People with ggz disease are now forced to stay at home, even if they need treatment. Some are not only forced at home, but also on the train, in the shopping mall and in the neighborhoods. That's where they cause trouble. It is not surprising that some of these people cause nuisance to the locals, because they have a problem that needs to be addressed. This bill also seeks to prevent them from living in certain neighbourhoods. That can't be true, can it? These people have a problem. Take that first and reverse the cuts on the ggz. I'd like a response from the Minister. The forerunner of this bill is the Rotterdam Act. People with low incomes can be excluded from some areas. It was intended to bring a sustainable improvement in living standards in some neighbourhoods. Those are the words of the Minister himself. Has this sustainable improvement been achieved? No. An evaluation shows that the Rotterdam Act did not contribute to a demonstrable improvement of safety and viability in the designated neighbourhoods. It also appears that people who have been excluded from certain areas have moved into other poorer neighbourhoods. In these neighbourhoods, there has been a decline in the quality of life and a new concentration of low-income people has emerged. In other words, the problems for which the Rotterdam Act was conceived have largely shifted. How does the Minister feel about this? Is the Rotterdam Act still a good tool for the cabinet to achieve the goal of viability and security? If so, when will the target be achieved? Ten years after the introduction of the law, it has still not been achieved. The Rotterdam Act is now being extended. The SP Group has always found the Rotterdam Act to be occasional legislation. Now the cabinet also wants to ward off people who cause trouble. Why doesn't the cabinet choose to improve the quality of life and security? Isn't this just another relocation of trouble? What other measures have been examined or considered to address these problems? Why didn't these other measures come to fruition in the end? What does the comprehensive Rotterdam law mean for the neighbourhoods and neighborhoods where the Rotterdam law does not apply? What does the extension mean for the neighbourhoods of Rotterdam, for Vlaardingen or Capelle aan den IJssel? Are they gonna get any more trouble? What does the extension of this bill mean for municipalities in the rest of the Netherlands? Are they gonna get any more trouble? What is the Minister's response to all the leaders in the country who are about to report to the Ministry and complain about people who were previously in a ggz institution or people who are just coming out of prison and are not adequately supervised? The municipality of Rotterdam is on the eve of a referendum on a controversial residential vision. The municipality wants to get rid of 20,000 cheap rentals. Moreover, Rotterdam wants to demolish thousands of homes. How does Rotterdam's controversial residential vision relate to the new Rotterdam Act? Where are people on low incomes going? Where do people with a psychiatric background who have ever caused nuisance go? Does the Minister have an answer to that? The Minister also violates the fundamental rights of tenants. If someone is denied the right to live somewhere, that is a major violation of the right of free establishment. Can this liberal minister explain why he is committing such an unliberal violation? Why does this cabinet deprive people of freedoms? I'm not alone in my comments. The Council of State is cutting this bill short. He writes that effectiveness has not been sufficiently demonstrated. Nor is he convinced of the need and proportionality of the use of police data for screening. According to the Council of State, the bill seriously infringes fundamental rights such as freedom of establishment, free movement of persons and respect for privacy. Then why did the cabinet make this proposal? This can't be happening, can it? The Human Rights College is also cutting off this bill. It rightly points out that the sharing of police data may also involve cases that have not led to criminal proceedings. Can the Minister answer that? Can a tenant also be prevented on the sole grounds of a notification or even on grounds of suspicion? Why is it not enough for the cabinet to provide just a vog? There are only 18 municipalities using police screening. So 380 don't use it. Still, it's not that bad. Isn't that true, or is it a disaster, according to the minister in those municipalities? Why doesn't the Cabinet choose to just let people with a criminal record fall under the law? Why didn't the cabinet specifically choose that? Can the Minister guarantee that this new Rotterdam Act will pass the test of the European Convention for the Protection of Human Rights and Fundamental Freedoms? This Minister has opted for an easy solution, namely the distribution of problems. I know this minister can do more. I also know that this Minister can really tackle the problems himself. I would therefore ask him to do more. Take care of people's problems. Address the causes of the problems. Don't spread them.
ParlaMint-NL_2016-03-22-tweedekamer-32.u39	I am somewhat surprised by the negative attitude of the SP to this law. For example, we receive signals from the municipality of Nijmegen, where I think the SP has been in the college of B and W since 2002. Police screening was introduced at the time under the leadership of the SP. So this has been happening for fourteen years and quite recently new agreements have been concluded to continue with it. Apparently, in Nijmegen, it's a success to apply this. So I do not understand very well: does Mr Bashir from his constituency not hear any sounds that the law could be applied in a positive way?
ParlaMint-NL_2016-03-22-tweedekamer-32.u40	I would ask Mr Ronnes to sit in the city council of Nijmegen and have this debate with directors there. They have made their own assessment. I don't know any more details about this either. I cannot be called upon to do so either because I am solely responsible for my own actions. I have examined and studied this bill and I came to the conclusion, also thanks to the multiple evaluations I referred to earlier, that this bill merely spreads the problems rather than addressing them. Those people aren't a problem, but they have a problem. Those people have a reason for their problems. Neighborhood prevention and the police officer need to follow that up. These problems need to be addressed. Then you can ward people off and spread them, but then you haven't dealt with the problems yet.
ParlaMint-NL_2016-03-22-tweedekamer-32.u41	I had expected that the SP would also put its ear to the municipal authorities in which it is represented and which are themselves involved in that law in the workplace. So that's why my remarks in this interruption.
ParlaMint-NL_2016-03-22-tweedekamer-32.u42	As far as the Acts are concerned, for the sake of completeness, I have asked our local people to respond to this bill in this Chamber. However, I have not heard from them what Mr Ronnes is saying here.
ParlaMint-NL_2016-03-22-tweedekamer-32.u43	As an ex-member of the Rotterdam Council, I would point out that there is a good reason that Rotterdam wants to spread people. This is because Rotterdam is the city where most of the multicultural problems have arisen, where many non-Western immigrants have been drawn, with all the problems that have arisen, such as poverty, unemployment and integration problems. There are neighbourhoods in Rotterdam where more than half of the people are immigrants, many of whom have an Islamic background. Those problems are coming together over there. So you can't blame Rotterdam for wanting to do something about it.
ParlaMint-NL_2016-03-22-tweedekamer-32.u44	And what's your question?
ParlaMint-NL_2016-03-22-tweedekamer-32.u45	In that sense I agree with the SP that distribution alone doesn't make sense, but you have to mop up with the crane closed instead of with the tap open. The SP has a very big mouth about Rotterdam, about that city not doing well, but the SP refuses to name the cause of the problem and that is mass immigration. I never hear the SP about that. Mr Bashir may have a big mouth here saying that Rotterdam and all the other cities facing these problems are not doing well, but my question is where the SP remains when it comes to removing the cause. Why can't I hear the SP on immigration restrictions and stopping the constant influx of people from non-Western immigrants with huge delays.............................................................................................................................................................................................
ParlaMint-NL_2016-03-22-tweedekamer-32.u46	Try to do the interruptions a little bit shorter. The core is clear.
ParlaMint-NL_2016-03-22-tweedekamer-32.u47	Mr Madlener, of course, is re-emerging from the mass immigration and the problems that are being caused. I would ask him to respond to what is proposed in this bill and to propose his own solutions. I don't hear that one.
ParlaMint-NL_2016-03-22-tweedekamer-32.u48	I have already said that I agree with a number of things that the SP points out here, namely that spreading does not make sense in itself and that you have to deal with it. However, the SP forgets that if you do that, but at the same time you continue the SP's open border policy, you'll make sure that backlogs are reimported. This is happening at the moment; the immigration records are being broken again. Those aren't Canadian dentists, they're people who don't speak the language, who can't calculate and write. The SP completely abandons the people and comes here with a big mouth telling them that the cities are not doing well. I would say: SP, finally go and record for the people in the neighbourhoods who are suffering from the new wave of immigration, which you do not want to do anything about.
ParlaMint-NL_2016-03-22-tweedekamer-32.u49	I remember a parliamentary debate a few weeks ago, where the decision was made to bomb in Syria as well. Who voted for it? That was the party of Mr Madlener, the PVV. He voted for the bombing of Syria. If you do that, then there will be...
ParlaMint-NL_2016-03-22-tweedekamer-32.u50	Mr Bashir, I have the impression that this is a little out of the order of this debate.
ParlaMint-NL_2016-03-22-tweedekamer-32.u51	I'll tell you why there are migratory waves, Mr. Chairman. They start when you go to war. If the PVV votes in favour, refugee flows will arise. Then you can say that you want to stop it, but also there: take the cause instead of being the cause.
ParlaMint-NL_2016-03-22-tweedekamer-32.u52	For the sake of completeness, I would like to point out that this is a question of amending the Special Measures Act and not of the Article 100 procedure.
ParlaMint-NL_2016-03-22-tweedekamer-32.u53	I also wanted to get back to the core of that law, Mr. Chairman. We do not have to discuss the differences between the SP and the Labour Party and the need for more attention to be paid to areas where it is not entirely crescendo. These include the people who have been confronted for years with nuisance, nuisance from criminal people, but also from people who are mentally disturbed, who cause noise and so on. Mr Bashir is making a statement here this evening that these people must face even more of those people. Mr Bashir does not want to protect them from any more such cases. That's what tonight's about. Are we going to protect those people who've been in shit for years or not?
ParlaMint-NL_2016-03-22-tweedekamer-32.u54	I'm in favour of protection, but then you're gonna have to use neighborhood prevention and send the neighborhood cop out there and not spread the trouble. Moreover, Mr De Vries forgets to add a small point. All the people who already have problems in those neighbourhoods have nothing to do with this bill. This is only about the screening of new cases. If new people want to come, they will be screened, but all existing problems remain. Neighborhood prevention is not used, the district agents are not sent. The problems will only affect more people in the Netherlands.
ParlaMint-NL_2016-03-22-tweedekamer-32.u55	We all agree with Mr Bashir. We also believe that people who cause nuisance should be dealt with. Let me ask you a concrete question. Does the SP allow voters who have been in the shit for years to face even more people who cause nuisance, in any way? That's what this bill is about.
ParlaMint-NL_2016-03-22-tweedekamer-32.u56	Mr De Vries used English words, President. I don't know if that's okay. Perhaps you could translate them?
ParlaMint-NL_2016-03-22-tweedekamer-32.u57	You see that Mr Elias is not chairing, so I will just allow it.
ParlaMint-NL_2016-03-22-tweedekamer-32.u58	Then I'm fine with it, Mr. Chairman. No, I'm not abandoning these people. I suggested what I proposed. We need money for neighbourhood policy. I can't make it prettier than it is. We have tried for ten years now with the Rotterdam Act. Sorry, it's not working. I'm not saying that; that's what the researchers conclude. Now we have to do it differently. Now we have to tackle the problems instead of spreading them.
ParlaMint-NL_2016-03-22-tweedekamer-32.u59	Mr. Chairman. I have not spoken today, so I would first like to express my disgust at the attacks in Brussels. I would like to express my condolences to all the victims, the wounded, the family and the friends of the deceased. This touches us all very deeply. It is therefore uncomfortable to talk about dealing with nuisance and crime on the day of these terrible attacks in Brussels, while the excesses of the Islamic multicultural society are increasing. Trouble is sometimes the beginning of much worse. It seems increasingly easy to degenerate into gross violence and terror, fueled by a deep hatred of the western way of life. This debate is about nuisance and crime in relation to the viability of neighbourhoods. Our society is becoming increasingly disrupted by the changing population composition resulting from an open border policy and mass immigration by non-Western immigrants. The absorption capacity of our country to absorb these immigrants has long been exceeded. The ambition of many newcomers to become truly Western or become Dutch, to assimilate and make something of your life, is often far to be desired. No, a benefit, a mosque and sticking around in your own language and poverty culture is often the result. This imported poverty comes together in old urban areas, leading to ghetto formation. The poor neighbourhoods are the first to fall under the negative spiral of poverty, hopelessness, aggression, drugs and negativity. This process of degeneration and hardening of our society has been going on since the 1980s and 1990s. Pim Fortuyn has written countless books about it. But if I look at what is happening now, then the Netherlands still hasn't learned anything. Politics is still refusing to mention that the continued mass immigration of non-western cultures in general and Islamic cultures in particular is leading to enormous problems. Our country will perish, our neighborhoods will perish, and eventually our civilization will perish. What became the first visible in Rotterdam's disadvantaged neighbourhoods in the eighties and nineties, today you see more and more medium-sized cities. More and more neighbourhoods in the Netherlands are decaying and becoming unsafe. The Netherlands is starting to look more and more like a large disadvantaged area, or a bird-aarwijk, as we called it a few years ago. It makes no sense to mop with the crane open, said prof. Pim Fortuyn years ago. Now look around you. This law systematically tries to ward off harassers from some neighborhoods, but with that you spread the problem. Good neighborhoods get more problems and become problem neighbourhoods. This is a short-term solution which will not prove effective in the end. The PVV wants real solutions to combat degradation, nuisance and crime in our country. They must all be realized in order to reverse the tide and not just this law. This is only part of the solution. Let me briefly outline what the PVV proposes as real solutions: 1. Close the borders for non-Western immigrants. That is what all parties, except the PVV, keep forgetting here: there is no point mopping with the crane open. 2. Put out double-national criminal nuisances. Back to your country if you don't like it here. 3. Stricter penalties and better enforcement of crime and nuisance. The culture of tolerance really can't be anymore, especially in these neighborhoods. 4. Crazy addicts or confused people need to be better catered for in institutions. They're running too much on the street right now, and they're also bothering you. There's just a point the SP has a point. 5. Systematic nuisances, which this law specifically deals with, should not be spread over the city or to neighbouring municipalities, but should be collected in special rigging villages. Only when the troublemakers have proven that they can live without causing nuisance can they return to a normal home. This law provides municipalities with a legal basis for excluding people or families from certain areas, but does not regulate where to go. The PVV considers this to be half a measure, because it is not a long-term solution. The spreading of immigrants, poor people or nuisance victims is not a structural solution, but it saddles neighboring municipalities or neighboring neighbourhoods with the problems. It is an emergency measure which, in the short term, will combat ghetto formation in one place but will eventually make more and more areas a problem area.
