ParlaMint-NL_2016-03-01-tweedekamer-2.u1	I would like to welcome the Prime Minister. I call Mr Sjoerdsma.
ParlaMint-NL_2016-03-01-tweedekamer-2.u15	Mr Klaver actually accepts what is happening now and does not want to oppose it. For two reasons, I disagree with him. The first reason is that this coalition and this cabinet are convinced that it is better to accommodate people in the region and to provide them with a good accommodation close to where they come from, so that they can also return when it stabilizes there. In this case, this is Turkey, Lebanon and Jordan to a large extent, but we are talking mainly about Turkey because of this flow. The second reason is that I believe that we, as politicians, should have a view on the following. In the context that we as a decent society, as a civilized country, will always be open to people who are fleeing, we must also ask ourselves what we can do as a society. That has its limits, even if it is very practical in what our services can handle. Then you have to take measures to achieve that. That is why we are working hard at European level on measures with Turkey. That's going to be difficult. That's not gonna work. It's tough matter. If this were to be solved at once, we would of course have done so long ago. I will continue to do so because I am convinced that structuralally, in the longer term, that is the only way out. At the same time, I want to ensure that this flow of refugees in Europe is properly controlled. This contributes to a further reduction of that stream of refugees. For example, it is very relevant to prevent what is happening from Macedonia to Austria in the Western Balkans from leading to a humanitarian crisis, and to ensure that the measures taken there are in line with European standards.
ParlaMint-NL_2016-03-01-tweedekamer-2.u16	I think it is a bit of a sad picture: a Prime Minister who insists on pursuing policies to deal with it while everyone sees that the house around him is crumbling. I also hear the Prime Minister talking here about 58,000 refugees. Has he released the earlier promise in the European Parliament of a substantial decline, which he later completed with "direction zero"? If the reality is that we are going to have 100,000 people, does this VVD Prime Minister take over the policy he has just accused GroenLinks of here?
ParlaMint-NL_2016-03-01-tweedekamer-2.u17	I have raised two issues in the European Parliament and in a performance at Buitenhof. Firstly, the best way to control the influx from Turkey to Greece is to bring people back to Turkey. If that succeeds, we have declared our willingness to bring people from Turkey to Europe. Of course, this is about much lower numbers than the numbers that are coming. In this way, the aim is to destroy the business model of those boat smugglers and to stop the irregular migration flow. If you want to do that when it comes to serious numbers, it is necessary that this irregular flow from Turkey to Greece first goes towards zero. That is to make that specific instrument possible. Fortunately, that is not the only instrument we have, because the fact is that it is not working properly at the moment. We are discussing this with the Turks, as well as the withdrawal of third-country nationals and economic refugees, but it is difficult. We are going to see how far we can get in the next few days towards the European Council on Monday. The second thing I mentioned is the sum total of all the measures we are taking: the 3 billion that we are willing to put in the communities in Turkey to build schools and so on, the NATO mission in the Aegean that I was just talking about, the plan to bring people back to Turkey and then bring much lower numbers of regular people to Europe, the measures in Greece and everything we do in the Western Balkans. The sum of all these filters should ensure that the flow of refugees from Syria via Turkey to Western Europe is controlled. We're working hard on that right now. The summit will be important next Monday. We can see that time is catching up with us, given the events in the Western Balkans which have practically reduced the influx to zero by that route to Western Europe. This is happening in a way that cannot be done this way humanitarianly and in the longer term. That is why this needs to be properly integrated into the European Union. I think that is possible, and we are working on it, inter alia, by putting an end to the principle that you allow people to move from one country to another without having applied for asylum in one country. That so-called way through must stop, and that is one of the issues that we will be discussing in the Council next Monday.
ParlaMint-NL_2016-03-01-tweedekamer-2.u18	The SGP considers it to be entirely justified that the cabinet should not accept numbers estimated under unchanged policies, and that it should actually try to curb this flow of refugees to Europe, combined with better and decent reception in another place. Support for this commitment, but I do see the point that my fellow Members have mentioned: if that is not the case every time, it raises the suspicion of citizens in our own country. How's the Prime Minister handling that? Does he agree with me that it is not without obligation to put this on the table as a policy commitment and that it requires a great commitment from the cabinet to make it happen?
ParlaMint-NL_2016-03-01-tweedekamer-2.u19	I very much agree with that. We are taking action on the European stage. I have just discussed this in detail: Turkey, Greece and the Western Balkans. But we have also discussed in the previous debate that you must report very honestly to people who are coming here that the waiting period for a first asylum application has grown enormously and for family reunification even more. That is the effect of the large numbers we are dealing with. The sum total of all these measures and the talks that we have in the region should lead us to succeed in getting those numbers manageable before they are expected to rise dramatically in the spring. I very much agree with Mr Van der Staaij.
ParlaMint-NL_2016-03-01-tweedekamer-2.u20	The Prime Minister speaks of getting the numbers manageable. It seems a bit that the Prime Minister is satisfied that the flow of refugees through the Balkan route has now stopped. The Committee on the Rules of Procedure, the Verification of Credentials and Immunities has visited it and has seen the distressing situations on the ground, the humanitarian disaster that had already been predicted. Only one country had to close its borders and follow the other countries, and that is exactly what is happening now. The Prime Minister says he sees this humanitarian disaster and the Netherlands has so far absorbed 148 people out of 160,000, released from Greece. What are those numbers? Should the Netherlands not act as President of the European Union and now also assist Greece in bringing people out of this plight?
ParlaMint-NL_2016-03-01-tweedekamer-2.u21	We are in very close contact with my colleague Tsipras and my colleague from Austria. The Foreign Minister has made a trip to Greece and Macedonia. The Minister for Foreign Trade and Development Cooperation visited all the Western Balkan countries very recently. We are very much involved as President and it is essential to achieve a few things. The influx is drying up, but what is now happening in the Western Balkans is, of course, not desirable. It is humanitarian, but it is also unsustainable in the longer term. It is crucial that the Western Balkans play its role. It is an important factor in bringing the flow of refugees to Western Europe under control. We're gonna have to do a few things in the next few days. We must ensure that what is happening there is more European-based. We will work on this at the European Council on Monday. This requires Greece, even more so than it is today, to take responsibility for monitoring its external borders as a Schengen country. That is why, in line with the conclusions of the European Council in mid-February, we must move as quickly as possible away from the situation in which refugees move from one country to another, as the Germans say. That is an extremely undesirable system. People are supposed to apply for asylum in the first country within Schengen where they register, that is how the system works. We'll have to decide on that on Monday. Of course, we must also agree with the Greeks on how we can make the current relocation system that is not functioning properly work. Mr Voordewind is quite right. We want to help them with logistics, as we know, and we already do. We are prepared to do so much more. We are prepared to help humanitarianally, but we also want to put this relocation system in place specifically, because it is a means of bringing these refugees, when Greece is facing more and more refugees, into the rest of Europe in a decent way. This is done in such a way that it is not the refugee who decides where he is going, to Germany, Sweden and so on, but that Europe determines that you go to Lithuania, Latvia, Slovakia or perhaps to Germany. We need to get rid of two things: those people smugglers with their life-threatening boats and the system that the refugee himself decides which country he goes to. I am not sure, but I am moderately optimistic that we will achieve a situation in which it is possible to make important agreements on both points in the near future.
ParlaMint-NL_2016-03-01-tweedekamer-2.u22	Of course, everyone agrees that this is a very difficult problem. The Prime Minister says that the opposition thinks too much in terms of a drawing table, but he actually thinks himself in terms of a drawing table that contains all the measures he has just mentioned. He says to the municipalities that it will be 93.000 and then he says to the House of Representatives: it will be 58.000. The budget includes 58 000 again. After this whole debate with all the political groups, I would really like to hear from the Prime Minister what the municipalities should take into account. Is it $58,000 or $93,000 now? And if it's 93,000, why doesn't it look good in the budget?
ParlaMint-NL_2016-03-01-tweedekamer-2.u23	58.000 is the maximum number that we take into account. I do think that number is too high; it should be lower. That's what the cabinet thinks, that's what the coalition thinks, and we're working hard on that. I would like to quote once again the discussion with other governments: the cabinet is responsible for the budget of 58 000 and, for the sake of certainty, the foreign chain will have the opportunity to prepare itself for a situation in which the measures do not have the desired effect. Why do we do that? If that were the case, you'd have to take that precaution. After all, it takes time to realize shelters. It must be avoided that there will be immediate shortages if the inflow is higher. Finally, I would add that, unfortunately, it is a fact that we will still have to work terribly hard, not to provide for the undesirable emergency scenario, but to meet the need for enough shelters for 58 000 at all. The latest figures show that the implementation of these reception sites is lagging behind schedule. The number of places is therefore not yet sufficient to cope with an influx of 58.000. A great deal of work will therefore have to be done. That motivates me to ensure that the number of 58 000 is not reached.
ParlaMint-NL_2016-03-01-tweedekamer-2.u24	Second question for the CDA.
ParlaMint-NL_2016-03-01-tweedekamer-2.u25	Yes, Mr. Chairman. Just for a second. The oral question on this subject began with the question of what the Prime Minister is doing to create acceptance. Then we have received answers that all fall into the category "incantations." The budget states the number of 26,000 refugees for 2016. The Prime Minister is now saying that, if it is unexpectedly disappointing, it is 100,000 people. So what's the Prime Minister gonna do? Then we have four times as many refugees. That is, four times as much housing, four times as many benefits and four times as much education for children. And now it's March 1st.
ParlaMint-NL_2016-03-01-tweedekamer-2.u26	I shall come back to the discussions that we have just had here and last week in the debate. That makes me repeat myself a little bit, but of course I like to do it.
ParlaMint-NL_2016-03-01-tweedekamer-2.u27	Shortly, please.
ParlaMint-NL_2016-03-01-tweedekamer-2.u28	I note that we are reserving money for a maximum asylum inflow of 58,000. This is also the achievement of 2015, which is the budgetary point of reference. That is what we are achieving by taking all kinds of measures, in order to avoid the forecasts of 93 000. However, administratively, I think it is wise to ensure that I have just referred to the report of the conversation with the municipalities that municipalities always have the space to look at what would happen if those measures did not have that effect. Why do you do that? You do that because you want to avoid immediate shortages at that moment. Let me say again: at the moment that number would be totally unfeasible. The current efforts and the number of reception places are not even sufficient to cope with an inflow of 58,000, let alone that higher number.
ParlaMint-NL_2016-03-01-tweedekamer-2.u29	Mrs Keijzer wishes to make a point of order.
ParlaMint-NL_2016-03-01-tweedekamer-2.u30	The Prime Minister says that 58 000 asylum seekers are budgeted, with all these consequences. That is not the case.
ParlaMint-NL_2016-03-01-tweedekamer-2.u31	I'm going to go back to the relocation figures the Prime Minister is talking about. He says that relocation is ultimately important in order to relieve Greece. As a committee, we have seen Greece doing its stinking best, but now it is in a swamp when it comes to the border with Macedonia. We have asked if the Netherlands is prepared to record additional files. We also received the answer from the Dutch embassy that this offer from the Netherlands is not there. This offer does not come from other countries, but we cannot do much about it. Although files are ready and people want to be reallocated and even wait for them to arrive in Bulgaria or Romania, the Netherlands does not record these files.
ParlaMint-NL_2016-03-01-tweedekamer-2.u32	What's your question?
ParlaMint-NL_2016-03-01-tweedekamer-2.u33	Surely you can't reconcile that you see relocation as a solution on the one hand, while the Netherlands only allows remote relocation on the other?
ParlaMint-NL_2016-03-01-tweedekamer-2.u34	First of all, I would like to comment on the point of order. I can reassure Mrs Keijzer that the 2016 budget has earmarked money for a maximum asylum influx of 58 000.
ParlaMint-NL_2016-03-01-tweedekamer-2.u35	Mrs Keijzer, I can see you making a move to interrupt again, but I will not allow it.
ParlaMint-NL_2016-03-01-tweedekamer-2.u36	Secondly, I am responding to Mr Voordewind's point. I agree with him. Especially if Greece were to face increasing numbers through the border closures in the Western Balkans, you would have a few things to do. Relocation is very important. In my opinion it will be quicker, simply because with the logistical help now provided by the Netherlands, among other things, to register people and because of the numbers there, the chances are much greater that it is possible to bring people from Greece to other parts of Europe. This also fits in with the policy of the cabinet and of Europe not to let the asylum seeker decide that he is going to Germany. That's why we need to get rid of people going from one country to another. That is why Greece must take full responsibility as a frontline state within Schengen. This means that it must itself guard the border with Macedonia and monitor the border with Albania. That is why it is so important that we, as Europe, are prepared to provide humanitarian aid and make the relocation programme a success. The Netherlands is at the forefront, as chairman, but also as a country. By the way, the Netherlands does this with other countries. We're really not the only country, but we're definitely in the breakaway.
