ParlaMint-NL_2016-02-18-tweedekamer-22.u1	I would like to welcome the Minister of Finance. I call Mrs Van Tongeren.
ParlaMint-NL_2016-02-18-tweedekamer-22.u12	Again, I really do not think it makes sense to invest the issue of sustainability on state participation. There are many dozens that carry out very different activities in very different sectors. That would be a very general and therefore unfocused and pointless strategy. I want every major state-owned company, whether it is the NS, the Gasunie or TenneT, to talk to us about this, so that it has enough ambition and realism and then takes responsibility for it. That's our approach. That was also a commitment to Mrs Van Tongeren. I believe that it has a good point at the level of individual state participation. The third motion by Mrs Van Tongeren on item No. 236 is about speculation with radioactive substances. As Minister of Finance, you really need to know everything! I didn't know it existed. Mrs Van Tongeren has asked questions about it before, not about me, I thought, but about the Minister of EZ, perhaps. I shouldn't have asked...
ParlaMint-NL_2016-02-18-tweedekamer-22.u13	You brought it up. Mrs. Van Tongeren? You don't have to.
ParlaMint-NL_2016-02-18-tweedekamer-22.u14	Where speculation takes place, this in itself has no consequences for the security of URENCO or its location. There is also no extra enriched uranium produced at URENCO because of speculation, because that is not allowed at all. The quantity that may be made is specified in the permits. This also applies to what may be stored at the location of URENCO. That would not be possible at all. Transports require authorization, especially when it comes to exports. That's all taken care of, that's all I can do. I will therefore have to discourage the motion.
ParlaMint-NL_2016-02-18-tweedekamer-22.u15	Goldman Sachs mapped this out. There's uranium going from Kazakhstan to the Netherlands. Then it is enriched, then it goes to Russia. Then it goes back to URENCO and then back to Russia. We issue export licences for this. This is only done for speculation with commodity trading. If the Minister says it does not exist in the Netherlands at all, I would like to see something about that. I'd like to deliver what I know about it. This calls for confirmation of what the Minister says, namely that we really do not. It'll happen.
ParlaMint-NL_2016-02-18-tweedekamer-22.u16	There can indeed be trade with this enriched raw material, that is not the point. URENCO also works for private parties. To speculate on the price of raw materials you don't have to move raw materials. Your approach is that extra transports are being carried out because of speculation and that we must prohibit the transports for this reason. I come here with the answers already given by the Minister of EZ: this is not the issue and what does happen fits within the permits, is admissible and is controlled.
ParlaMint-NL_2016-02-18-tweedekamer-22.u17	Finally. Shortly, please.
ParlaMint-NL_2016-02-18-tweedekamer-22.u18	The Minister of I and M recently had to admit that she accidentally granted export licences completely against the rules. I would like a statement from the government. I do not care which minister it is that we no longer cooperate in this. It just happens and only for speculation, against our treaty obligations. In that we say that only if it is used elsewhere can it be transported exactly as the Minister thinks. Then it cannot be explained that the same party goes to Russia twice.
ParlaMint-NL_2016-02-18-tweedekamer-22.u19	I do not know if I am allowed to make this proposal, but it seems more obvious to me that Mrs Van Tongeren is asking follow-up questions to the ministers concerned. My impression is that the export licences in this sensitive area are granted by the Ministry of Foreign Affairs. That's what I've been told. The Minister of EZ has given answers and my information is as follows. Yeah, there could be speculation, because it's a marketable commodity. URENCO also works for private parties. However, it does not need to be moved, back and forth. Mrs Van Tongeren puts me in a difficult position because I cannot respond to it in policy terms. I must rely on what the Minister of EZ wrote to the Chamber earlier. Perhaps it is an idea to ask him a follow-up question if Mrs Van Tongeren has other information.
ParlaMint-NL_2016-02-18-tweedekamer-22.u20	I'd be happy to do that, but I'm being sent by the Minister of Economic Affairs to the Minister of I and M. He says that she has wrongly granted permits and that she will never do so again but that I must be with the owner. Then I'll join State participations and be sent back to EZ. I'm gonna do it, but I think it's a tough way for a simple MP to get some claim in a two-year period.
ParlaMint-NL_2016-02-18-tweedekamer-22.u21	Here's what I'm gonna say. If Mrs Van Tongeren also asks us the question now, I will ensure that this time there will be a coordinated coherent answer, but the content will have to come primarily from the other departments. Mrs. Van Tongeren is asking me. The motion in part No. Mr Ronnes and Mr Merkies spoke about the future of URENCO. As you know, we are preparing a legislative proposal to regulate all (safety) guarantees around URENCO well and also better. We must work together, because URENCO is partly owned by German companies and by the British government. So we also need to work with other governments. At the moment, the final decisions must be taken, including in Berlin. Once that's done, the bill comes to the Chamber. I would like to ask the Chamber to hold this motion because it is primarily a question of whether this legislation is adequate to safeguard public interests. I think that's the way it's supposed to be. We don't know what other shareholders are going to do at the moment. The British are very explicit about it, but we don't know about the Germans for sure yet. As soon as we know, we need to have a debate on what that means for our part in URENCO, which, of course, the authors of the motion are right.
ParlaMint-NL_2016-02-18-tweedekamer-22.u22	I can reasonably follow the Minister, but why is it not smart to make sure that you have a good view of the other strategies in preparation for the bill? This motion merely calls for the advantages and disadvantages to be clearly identified so that, at the time when it is found that we are not getting out of this legislation, the Chamber could continue to extend the importance.
ParlaMint-NL_2016-02-18-tweedekamer-22.u23	The situation is as follows: The Minister of EZ and I are aware that the option we had on the table earlier, namely the option of selling our minority share, will not get a majority in the Chamber. The only thing we know for sure at the moment is that we need this legislation, especially if other shareholders are going to run away; then we need that legislation anyway to ensure that it is properly secured. We are also waiting to see what the German shareholders in particular are going to do, what the German government will decide. Then we will decide what we will do with the interest that we still have. We then decide whether we should extend it, to what extent we should do it and what alternatives there are. Mr Ronnes himself asked about the gold stock as an opportunity. I find this possibility legally shaky. Anyway, we have to have that debate. Right now, I think it's just premature. Well, here's what we can do. If we send the bill to the Chamber later, then surely the Chamber will ask all these questions, and I suspect that this is going to happen in the written examination of the bill. I will, of course, go into that, but I do not think it makes sense to go on the other track now, even before we get to the legislative proposal at all, namely: what are we going to do about the shares? That's really not the right order. If we agree now that we will take this into account in the written procedure and then, of course, in the debate on the law, that really must be done first, then perhaps we can find each other.
ParlaMint-NL_2016-02-18-tweedekamer-22.u24	I can only say that I find that very regrettable, because it could be a much better option to resolve it through the law.
