ParlaMint-NL_2016-06-23-tweedekamer-7.u1	I would like to welcome the Minister and the Secretary of State for Education, Culture and Science.
ParlaMint-NL_2016-06-23-tweedekamer-7.u12	Mr. Chairman. In the AO Science Policy, we talked about the ambitions and the lack of money. We all know that the money is not growing on our backs, but we can do a number of things smarter and better. I have proposed that money from the top sectors should be crossed with the science agenda. We have also talked about the difficulties that many scientists have in getting funding for their research, including the importance of cooperation in that regard. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that science and innovation in the Netherlands is lagging behind in comparison with neighbouring countries, as these countries invest relatively more in research and Dutch investment in innovation has decreased due to the disappearance of FES funds;]] [[Whereas the OECD and the European Union encourage the Netherlands to invest more in science and innovation;]] [[calls on the government to explore for the benefit of a forthcoming cabinet, setting out its priorities in science and innovation for additional investment in the coming years, both for promoting excellent research and for increasing societal impact;]] [[calls on the Government to inform the Chamber of the opportunities it sees for research and innovation in other ministries;]] [[calls on the Government to pay attention to the balance between individual-oriented competition and the conditions for long-term cooperation in science such as in the implementation of the National Science Agenda,]] [[and goes to the order of the day.]] [[This motion has been proposed by Member Mei Li Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-26]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u13	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important for the conduct of policies by both institutions and public authorities that there is an understanding and certainty about the freely available public funding;]] [[noting that findings of the Rathenau Institute show a significant lack of clear information on research funding;]] [[calls on the Government to present research funding as a separate category, at least as regards freely disposable public funding,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33009-27]]
ParlaMint-NL_2016-06-23-tweedekamer-7.u14	Mr. Chairman. In the motion in part No. 20 members of Mr Van Dijk and Mr Vos are asked to draw up proposals to reduce the matching obligation for researchers. I would advise against this motion, because the matching obligation is linked to the choices that institutions make for resources from other sources of funding. They're free to do that. At the same time, I can see that there is a pressure, which is real for institutions, which they suffer from. That is why we have used 50 million extra to compensate institutions for the funds they have lost in matching. So we've actually already made proposals for this. That's why I don't recommend the motion. The Jasper van Dijk motion in part No. 21 is about transparency around secondary positions of professors. I also advise against this motion. I am not going to go too far on that either, because this is a repetition of moves. We've had this conversation many times. I believe that there should be transparency about secondary positions of professors, because they should be clear to everyone in order to form their own judgement on the research of a professor. The professors should therefore mention these secondary positions on the university's website. Universities see to that. I can also see that this is not always a perfect thing from one day to the next, but we are working on it and we are also seeing an improvement. That is where it must be done and not elsewhere.
ParlaMint-NL_2016-06-23-tweedekamer-7.u15	If this has been discussed many times, the response must be brief.
ParlaMint-NL_2016-06-23-tweedekamer-7.u16	It's very short. It's a repeat of moves because I see the problem. The Minister may be in a different position, but she also acknowledges that sometimes it does not happen well. Then I find it too easy to say: universities should take care of that themselves. If the Minister also wants transparency, she could at least consider an incentive from universities to improve that transparency.
ParlaMint-NL_2016-06-23-tweedekamer-7.u17	I just said that. Mr Van Dijk asks for new proposals, without further specifying them and without indicating what they should be about. As far as I'm concerned, it's just a matter of making sure everyone keeps to their commitments. In the Bruins/Duisenberg motion to item No. 25 The government is invited to report periodically to the Chamber on the further implementation of the science agenda on the relative and absolute extent of alpha, beta, gamma and technical sciences and to see how that relates to the outside world. In his speech, Mr Bruins also spoke in detail about students and education in relation to the research resources and the opinion of the Breimer Committee. I want to say something about that. I received that advice and from 2011 to 2016 I made 20 million annually available for physics and chemistry research in the Netherlands to develop a sector plan. This is an interesting way of better mapping these fields of education and research. The developments in this area are positive. There is a larger influx of students and there is more cooperation in research funding. I have therefore already shared with the Breimer Committee the conclusion that structural funding is necessary in order to ensure that the results achieved are not lost. That is why I have also decided to fund the temporary annual investment of EUR 20 million on a structural basis as from the next financial year. It runs through the first cash flow. On top of that, Mr Bruins asked to indicate what the relationship and absolute scope of these areas of science is from the science agenda. That really is not feasible. That's why I have to discourage this motion. The resources made available by the public authorities through universities, but also NWO and Europe, are not labelled according to research areas. It is often about lump sum funding in the first money stream and then it is at universities, which have their own allocation model, to see how they spend that money. In addition, with the National Science Agenda, we want to better shape cooperation between disciplines. I really want it to make less visible which thematic areas and which disciplines or domains it concerns. We are increasingly seeing that major questions require different fields of science in order to reach an answer.
ParlaMint-NL_2016-06-23-tweedekamer-7.u18	Also for rulers, they should be short in a VAO.
ParlaMint-NL_2016-06-23-tweedekamer-7.u19	I'd like to explain how I mean the motion. Thank you for the information on the 20 million in response to Breimer. That's very nice news. I can therefore delete that recital. What I mean to say here is that it would be very nice if, through a cycle of policy accountability, we could also see what that science agenda is actually going to do with our country, our science. Is he going to do what we hope to achieve? It is good to do a zero measurement: what do we do about science and what do we do about it in a few years' time? I hope that with the introduction of a cycle I can find out what difference that agenda has made.
ParlaMint-NL_2016-06-23-tweedekamer-7.u20	I believe that the wording of the motion leads to a great deal of bureaucracy, because these figures cannot be broken out in this way. The science agenda should not only provide insight into how much money goes into which domains, but in particular into what questions we think we can answer. So I insist that this motion is not desirable and I advise against it.
ParlaMint-NL_2016-06-23-tweedekamer-7.u21	Short reaction, Mr Bruins.
ParlaMint-NL_2016-06-23-tweedekamer-7.u22	I think that breakdown is possible if, for example, we used the widely accepted WTI2 system. That's my last attempt at getting something of a cycle in.
ParlaMint-NL_2016-06-23-tweedekamer-7.u23	You're looking so nicely at it.
ParlaMint-NL_2016-06-23-tweedekamer-7.u24	No, you can't. Look at all the first-rate cash flows. It's in universities. Look for means of gravity. They are no longer given discipline. We have seen many times now the struggle of scientists with the fact that they have to place themselves in those domains, while fortunately, science is increasingly connecting with, for example, alphascience. As far as I am concerned, that is where the future of the science agenda lies. Then I come to the motion on part No. 26 member Mei Li Vos on an exploration in which attention should be paid to the balance between competitive research and conditions for long-term cooperation in relation to the National Science Agenda (NWA). I leave the judgment to the Chamber on that. I would like to add that we note that public investment in particular has increased, for this reason we have made additional funds available in recent years, but private investment is lagging behind. I think it is important to say this because we also want to encourage private funding. Moreover, the NWA is already taking the necessary steps in this respect, because it is precisely in order to achieve greater coordination and cooperation, but I would like to add a little bit more by having this conversation wider, including with fellow executives. Then I'll come to the motion in part No. 27 of Mr Bishop and Mr Bruins. It calls for the presentation of research funding in individual categories. It is for the same reason that I reject Mr Bruins' motion. I do not see the added value of this. Here too, I believe that it would generate a great deal of additional bureaucracy. This would also threaten the autonomy of the use of funds, particularly in the first flow of funds.
ParlaMint-NL_2016-06-23-tweedekamer-7.u25	Mr Duisenberg, is your name under that motion?
ParlaMint-NL_2016-06-23-tweedekamer-7.u26	No, but I have another question about the motion in part No. 26 by Mrs Mei Li Vos. In order to give good voting advice to my group, I would like to understand this motion a little better. If I understand correctly from the Minister's comments, it interprets the motion in such a way that it will include these requests in the final report and the elaboration of the science agenda. I support the Minister's remark that the challenge is mainly on the private side and that money has even been added to the public side. I therefore assume that the Minister will advise Mrs Vos to make the first consideration a little more nuanced and to put it differently. That is important for me to support this motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u27	I think Mrs Fox's motion would gain in quality if the first recital were to be nuanced. That shall be without prejudice to the operative part. It is also true that the science agenda is now being developed, but that is mainly a matter for the parties in the field: top sectors, universities, NWO et cetera. The cabinet may also be called upon to set priorities for the next period. This is then partly parallel, and in part it is a follow-up to the insights I hope to obtain from the parties of the knowledge coalition this summer. That follows, but it also fits in well with that. I think that is an answer to Mr Duisenberg's first question.
ParlaMint-NL_2016-06-23-tweedekamer-7.u28	What kind of product will eventually come to the Chamber? Is the Minister's interpretation that there will be a separate exploration or, for example, is this part of the government's response to the final science agenda?
ParlaMint-NL_2016-06-23-tweedekamer-7.u29	We need to look at where we can take this together as much as possible, but perhaps it is a separate responsibility of the cabinet to seek cooperation with other departments of the trade. This is not part of the report on the science agenda made by the Knowledge Coalition.
ParlaMint-NL_2016-06-23-tweedekamer-7.u30	Mrs. Mei Li Vos, only if it's really about adjusting the motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u31	I will amend the motion because, of course, I do not miss a chance to encourage the private sector to do its best. I shall therefore amend the observations made in the motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u32	I call the Secretary of State. If it is correct, there are still four motions for resolutions to be considered.
ParlaMint-NL_2016-06-23-tweedekamer-7.u33	Mr. Chairman. I am glad to hear that, because I do have four motions here. I want the motion in part no. 19 dissuaded. I think it is up to NWO itself to look at renewal of its assessment system. We must ensure that politics does not take that out of the hands of professionals. With the motion in part No. 22 is actually assumed to be a false contradiction, as if money that deals with the top sectors would not also have a connection with the National Science Agenda. That's why I'd like to discourage that motion. Business is very involved in the National Science Agenda and also indicates that it is important not only to look at the top sectors sectorally but also to look more and more at what you can do to meet a number of major challenges. I think this is a very good sign that the two are growing towards each other.
ParlaMint-NL_2016-06-23-tweedekamer-7.u34	That is of course very nice, but you can also reverse that reasoning. We now have a National Science Agenda. There is a total of zero euros available for this. We have a budget for top sectors. That's pretty rigid. We have to make a choice as politicians. We did not say in 2014 that there should be a National Science Agenda. My proposal now is to do this and give priority to the National Science Agenda. Then the top sectors will undoubtedly get their share of it. So the reasoning is also reversed. I wonder how the Secretary of State looks at that.
ParlaMint-NL_2016-06-23-tweedekamer-7.u35	I do not agree with Mr Van Meenen that there is now zero euro available for the National Science Agenda. There are billions of euros available for the National Science Agenda, because universities, NWO and Europe put money into good science. Let us make sure that this is focused on some of the specific questions raised by the National Science Agenda. This also requires science institutions to make choices and focus their programmes on them. That's what NWO does. If we were to say that we are abandoning the top sector policy and that all the money in it should be distributed, I would think that would be a waste of all the good things that have been achieved with the top sector policy.
ParlaMint-NL_2016-06-23-tweedekamer-7.u36	Finally, Mr Van Meenen, I would like to say a few words.
ParlaMint-NL_2016-06-23-tweedekamer-7.u37	We're not gonna stop anything. Everyone can go through with research, but as a political choice we have chosen to draw up and align a National Science Agenda. Then the National Science Agenda must also be a priority. It must be leading and then the money must be distributed from there as well. It is very good if this also reaches top sectors, but that is no longer a first priority. That is the thrust of this motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u38	I disagree. We also do all the first money flow research not only if that fits within the NWA. All resources for free research and the free competition at NWO are also focused on the National Science Agenda. You have a dash for joining, but it's not like you don't count anymore if you don't fit in. The same applies to top sector policies. That is going to be much more in line with the National Science Agenda, but that is not the only thing that matters.
ParlaMint-NL_2016-06-23-tweedekamer-7.u39	I follow the Secretary of State's reasoning and I can live well with that, but in order to appreciate this motion I need to remind you that I believe that we have agreed orally in the AA that the science agenda will not lead to even more attention being paid to more NWO resources, but that integration will indeed be looked at. I'd like to get that image confirmed.
ParlaMint-NL_2016-06-23-tweedekamer-7.u40	It is not the case, for example, that it is said at the innovation impulse: everything within the innovation impulse must fit within the NWA. It has been said, and that is subtle, that you have a dash for when a research program joins one of the routes in the National Science Agenda. I'd like to keep that fine line.
ParlaMint-NL_2016-06-23-tweedekamer-7.u41	Mr Bruins, is that clear to you?
ParlaMint-NL_2016-06-23-tweedekamer-7.u42	Yes, thank you.
ParlaMint-NL_2016-06-23-tweedekamer-7.u43	I'm getting to the motion on part No. 23. I think that the European Spallation Source is an interesting project, but to say as a Chamber that this is the only large-scale infrastructure project where we are now, in anticipation of the new road map being created, bringing money to it, I find really unwise. On the contrary, we have set up a very careful process whereby scientists themselves make the choices and weighting of exactly what our euros are put into. After all, you can only spend them once. I also attach importance to the fact that the ESS was not on the previous road map. That says something about the quality of the application in relation to the applications that were there at the time. Maybe the ESS will be on the next road map, which will come in the autumn. I have checked whether it is possible to join the ESS even after the summer. I understand that's true. Delft's already put a little bit of his own money into it. Well, that helps, of course. Then you'll have a mark on it later. I therefore reject this motion because I think it is too much of an intervention in the procedures we have in the area of large-scale infrastructure. I'd like to wait for this autumn's road map.
ParlaMint-NL_2016-06-23-tweedekamer-7.u44	I give the floor to the author of the motion, Mr Van Meenen, but very briefly. We're not going to repeat the general consultation.
ParlaMint-NL_2016-06-23-tweedekamer-7.u45	No, Mr. Chairman, we're really not gonna do that.
ParlaMint-NL_2016-06-23-tweedekamer-7.u46	No, of course not!
ParlaMint-NL_2016-06-23-tweedekamer-7.u47	The Secretary of State is talking about intervention in procedures. So we put the procedures first. But there is a national committee on large-scale infrastructure and it has been on the list of priorities for quite some time now; I do not know what that plan is. It's just gonna have to happen sometime. If we don't take the chance this summer, it's just over and we're out again for a while. It's a total of 30 million in 10 years, 3 million a year. So let's just do it.
ParlaMint-NL_2016-06-23-tweedekamer-7.u48	A brief response from the Secretary of State.
ParlaMint-NL_2016-06-23-tweedekamer-7.u49	It's not like this was already on the road map. This project wasn't on the previous road map. A number of other projects are. You can find some of that, but if we think that scientists can make the best decisions about where that scarce money needs to be invested, then I find it strange that the Chamber actually goes through it. The second point is that it is not over after this summer. In the autumn, a new road map will be created. It's possible that the ESS is on there. It may also be that the ESS is not on it. That's whether the ESS can hitch a ride with the 40 million we have available annually for large-scale infrastructure. I've checked to see if it's possible to hook up after the summer. The answer to that is yes.
ParlaMint-NL_2016-06-23-tweedekamer-7.u50	In short, Mr Duisenberg.
ParlaMint-NL_2016-06-23-tweedekamer-7.u51	On the same subject, I had asked the Secretary of State to have a discussion with the Reactor Institute Delft by 31 August at least to see whether the timeline which the Secretary of State has in mind and about which he is informed corresponds to how the Reactor Institute sees the timeline. There is a Dutch timeline, in which the major infrastructure projects will be decided in the autumn, but there is also a European timeline. To our information it has a very tight deadline on August 31st. Through our timeline, we will potentially miss the boat in Europe. So I do not want to make the statement as a Chamber, as in the Van Meenen motion, that the cabinet should or should not do it, but I do want to be sure that we do not go to sleep unnecessarily. I want to make sure that August 31 doesn't just go by.
ParlaMint-NL_2016-06-23-tweedekamer-7.u52	I'd love to have that conversation. My people are also in contact with Delft. What's going on this summer is that there's some sort of "founding" club. That does not come as a surprise, because these are things that have been going on for years. The previous road map didn't say ESS. This also means that choices were made at the time to invest in a number of other large-scale things. I'm going to look into that again, and I'd also like to talk to Delft, if only to agree some sort of joint strategy in this, to see how we can deal with it. If ESS does get on the new road map, how can we do it in a good way?
ParlaMint-NL_2016-06-23-tweedekamer-7.u53	Are you going to inform the room about that?
ParlaMint-NL_2016-06-23-tweedekamer-7.u54	Yeah, I think it's a good thing I put that back in a note.
ParlaMint-NL_2016-06-23-tweedekamer-7.u55	Thank you. Then I'm gonna...
ParlaMint-NL_2016-06-23-tweedekamer-7.u56	Mr President,......................................................................................
ParlaMint-NL_2016-06-23-tweedekamer-7.u57	Sorry, Mr. Van Meenen, this is really...
ParlaMint-NL_2016-06-23-tweedekamer-7.u58	I'd like to hold the motion, Mr. Chairman.
ParlaMint-NL_2016-06-23-tweedekamer-7.u59	Oh, then it's okay.
ParlaMint-NL_2016-06-23-tweedekamer-7.u60	I think it is wise that we should be informed of the outcome of that discussion before the recess. I will now continue the motion and then we can decide whether it will be put to the vote. Is that okay with you? Is that possible?
ParlaMint-NL_2016-06-23-tweedekamer-7.u61	Yeah, I'd like that.
ParlaMint-NL_2016-06-23-tweedekamer-7.u62	At the request of Mr Van Meenen, I propose his motion (33009, No. 23). That is what is decided.
ParlaMint-NL_2016-06-23-tweedekamer-7.u63	In the Bruins motion in part No. 24 The government is asked to engage with NWO and encourage it to look at new forms of research assessment, and to experiment with it. I think that is a better way to do it than what Mr Van Dijk is asking. So I can go along with that in itself. I also see NWO is already working on that. The only thing I want to make very explicit here is that we should not be playing with that experiment, especially when it comes to large amounts of money that you want to end up with, with the best scientists. That must therefore be done very carefully, but I am in favour of looking at other methods of assessment, which lead to less application pressure.
ParlaMint-NL_2016-06-23-tweedekamer-7.u64	It said yesterday in the paper that I would have advocated the release of 200 million for this. I didn't mean that. I didn't mean that. With this interpretation, I can live very well.
ParlaMint-NL_2016-06-23-tweedekamer-7.u65	Then I can take over the motion.
ParlaMint-NL_2016-06-23-tweedekamer-7.u66	We must now keep a close eye on consistency. My motion to part No. 19 is dissuaded because the Secretary of State does not want to interfere with the NWO. Mr Bruins says that his motion in part No. Twenty-four goes further. In my motion to part No. 19 I merely ask for an inquiry and its conclusions to be sent to the Chamber. In the motion in part No. 24 is about stimulation, grafting, commissioning et cetera. Secretary of State, think of your consistency. My motion does not go beyond Mr Bruins' motion in part No. 24.
ParlaMint-NL_2016-06-23-tweedekamer-7.u67	I think that Mr Van Dijk's motion on item No. 19 goes on. The subtle difference is that Mr Van Dijk asks me to examine alternatives and submit conclusions and recommendations to the Chamber, while the Ministry of Education does not make research applications and assessments. Mr Bruins asked for a discussion with the NWO, so that she could elaborate on this. I think that's the right route.
ParlaMint-NL_2016-06-23-tweedekamer-7.u68	I find this extremely arbitrary. I also see the Secretary of State's smile. I trust the wisdom of the Chamber.
ParlaMint-NL_2016-06-23-tweedekamer-7.u69	The Secretary of State has indicated the motion in part No. Mr Bruins. - (DE) Mr President, ladies and gentlemen, I should like to begin by congratulating Mr Bruins on his excellent report. I note that there is no objection to this.
ParlaMint-NL_2016-06-23-tweedekamer-7.u70	We now move on to the next topic. I see that almost the same spokesmen will be present.
