ParlaMint-NL_2016-03-31-tweedekamer-11.u1	I would like to welcome the Secretary of Defense.
ParlaMint-NL_2016-03-31-tweedekamer-11.u12	I think we want the same thing. Take-over is an extension of unnecessary. I'm withdrawing the motion, because what I asked for is the Minister's intention.
ParlaMint-NL_2016-03-31-tweedekamer-11.u13	Very good. That's important.
ParlaMint-NL_2016-03-31-tweedekamer-11.u14	Since the Belhaj motion (No ) has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2016-03-31-tweedekamer-11.u15	Then I'll go back to the Van Dijk motion on part No. 4, which also has to do with that sounding board group. Mr Van Dijk asks me to submit the composition to the Chamber for approval. I'm not gonna do that. I'm setting up that sounding board group myself. I decide who's in there. I do this after interdepartmental coordination, including with the Ministry of Finance. I don't exactly go ice cream in one night. The sounding board group is free to invite critics and other experts and to exchange views with the whole world, just like the Chamber that is free. But I am not going to refer the group as such to the Chamber for agreement. As I said to Mrs Belhaj, I am going to present the report directly to the Chamber so that she too has a full view of what is being said. The motion in part No. 4 I therefore advise against. Then I come to the Van Dijk motion on part No. 5. I'm not gonna suspend anything until after the election. We are now in the phase of determining the need, of what and why. Then we move on to the stage of the how. This is a development process, so we are definitely going into a C-phase. This trajectory is going to last forever. No decisions and final decision-making are expected now, but we must do everything we can to ensure that a good decision can be taken in the year 2018. So I would also like to see the motion in part No. 5 dissuaded. Mr Bontes asked for a decision to be taken on all this cabinet period. It can't be faster, because that would really undermine a careful process. I outlined the trial last week. So even though there is an impatience with a good heart for the replacement of the Walrus class, I am not going to do it any faster because I want to keep the care high here. We have really paid a high price for wanting to act too quickly on other files in the past. I also advise against this motion in part No. 6. I come to Mr Bontes' motion on item No. 7, in which he asks the government for a new Navy study. It is not for nothing that we recently drew up the letter 'In the interests of the Netherlands'. In it, the replacement of the Walrus class and other capabilities of the Navy are discussed extensively. Frankly, we tend to stack study on study and to hide behind all kinds of processes. I know very well what needs to be replaced when it comes to mine control capacity, the M-frigates, the Walrus class and so on. We don't need a study for that. Frankly, I want to stay a little away from new studies, visions and so on, precisely because we know very well what is needed now to preserve the Royal Navy for us in the future.
ParlaMint-NL_2016-03-31-tweedekamer-11.u16	Mr Bontes, a brief question.
ParlaMint-NL_2016-03-31-tweedekamer-11.u17	This concerns the eventual replacement of 23 naval ships. There is a great deal of money involved in this, and the defence budget is totally inadequate. In the vision piece I'm asking for, I'd like to see a recent version of the whole approach to funding. How are you going to do with the financial picture? (b) the Commission's proposal for a Council Directive on the approximation of the laws Perhaps the Minister would like to reconsider her view after all.
ParlaMint-NL_2016-03-31-tweedekamer-11.u18	Mr. Bontes is asking very charmingly, Mr. President...
ParlaMint-NL_2016-03-31-tweedekamer-11.u19	Yeah, he looks charming too.
ParlaMint-NL_2016-03-31-tweedekamer-11.u20	But I'm going to discourage his motion anyway, because we have the note in the interest of the Netherlands. Defense includes not only the Royal Navy, but also the other armies. We really have a lot of replacement investments on our list, including the mine control capacity, the M-frigates and the Walrus class. I don't need another study. We are in the process of entering into the basics, the combat support and the investments. Only then could we discuss the acquisition of new capacities or the setting up of new units. In other words, give the device a break, do not drown again in a new vision. Let us just get to work and start with the task ahead of us. I'm dissuading the motion. Then the motion to part No. 8. This motion calls on the government to evaluate the appointment of the sounding board in the replacement of submarines. Evaluate "the appointment of the sounding board group"? Fortunately, I still get to decide for myself whether to set up a sounding board group. I will share the results, but evaluating the appointment seems to go a little too far. "The Government also requests, on the basis of this evaluation, to examine whether DMP projects..." I advise against this motion. We have an AO Defense Material Process (DMP) this afternoon. All of this is covered in detail, including the cost-benefit analysis carried out in accordance with the recommendations of the IBO arms systems. I have to conclude that I'm deceiving all motions.
ParlaMint-NL_2016-03-31-tweedekamer-11.u21	A brief question, Mrs Belhaj.
ParlaMint-NL_2016-03-31-tweedekamer-11.u22	I understand my motion could lead to confusion. I have tried to combine the discussion on the submarine and the sounding board group, which I wholeheartedly support, with the discussion on DMP. I'll hold the motion now. It'll come back at another time.
ParlaMint-NL_2016-03-31-tweedekamer-11.u23	At the request of Mrs Belhaj, I propose her motion (34225, No. 8) That is what is decided.
ParlaMint-NL_2016-03-31-tweedekamer-11.u24	Apologies. I attributed the motion to Mr Van Dijk, but Mrs Belhaj is the first signatory. I think it would be fine to take this to the AO this afternoon.
ParlaMint-NL_2016-03-31-tweedekamer-11.u25	Again there is a lot of confusion about the sounding board group. The minister just shouldn't have started that sounding board group, but okay. The Minister just said, in reply to Mr Bontes' questions, that there is a need for peace and quiet. I don't think there's any need for peace at all, because everyone in the Defense Department knows that that peace will not return. There is a need for clarity. I asked whether all this, including the response to Mr Bontes' questions, had anything to do with the Minister's lack of money for too many ambitions.
ParlaMint-NL_2016-03-31-tweedekamer-11.u26	It seems as if Mr Knops is asking for the known route every week, because the answer is yes. For the third time this week, I explain that we distinguish three areas: the basic readiness, the combat support/combat service support and the investments. Already in the 2016 budget, I indicated that the available resources and the list of replacement investments that we have aligned are not proportionate. The resources are inadequate and choices must therefore be made if there is no money. It's as simple as that. In the 2017 budget, Mr Knops hears more.
ParlaMint-NL_2016-03-31-tweedekamer-11.u27	The last question, Mr Knops.
ParlaMint-NL_2016-03-31-tweedekamer-11.u28	That's what I understood, Mr. Chairman. Just because I'm looking at the minister nicely won't really help.
ParlaMint-NL_2016-03-31-tweedekamer-11.u29	That's not helping, no.
ParlaMint-NL_2016-03-31-tweedekamer-11.u30	Anyway, I'm gonna try. Mr Bontes made that point and asked for that clarification. I think that's what this is about. The Minister can say that there is a gap, but then there is a need for clarity about what can and cannot be done. I will not say too many words about it today, but it would be nice if the Minister would respond again.
ParlaMint-NL_2016-03-31-tweedekamer-11.u31	That's the beauty of Prince's Day. The budget will then be presented, which will also indicate what can and cannot be done, including in the case of replacement investment. Unfortunately, this year you had to learn that, for example, UAVs had to be delayed in time. choices will also be made in the 2017 budget. In the meantime, I'm having my conversations with the Minister of Finance.
ParlaMint-NL_2016-03-31-tweedekamer-11.u32	We have come to the end of this VAO. We shall be voting on the motions tabled next Tuesday.
