ParlaMint-NL_2016-04-05-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-04-05-eerstekamer-4.u12	I assume that Mrs Beuving is also addressing the other side. If the right to speak becomes unimpeded, this also leads to dilemmas for the criminal court. I'm sure Mrs Beuving will come up with that in her speech.
ParlaMint-NL_2016-04-05-eerstekamer-4.u13	I had begun to say that sentence. Indeed, as Mrs Strik assumes, the PvdA Group also sees the possible shadow side of the proposed unimpeded right of speech for the victim. That is the risk of innocence being put under pressure. How is the Minister going to ensure that the extension of the victim's right to speak is not at the expense of innocence? How will the Minister ensure that the balance is maintained in the system?
ParlaMint-NL_2016-04-05-eerstekamer-4.u14	This is a very interesting point. I understand the background to the questions. What intrigues me is exactly what Mrs Beuving is asking the Minister. She's asking him to make sure that the innocence charge is maintained. That is a very important part of this debate. But is that the right question to the good official? How could the Minister ensure that, according to Mrs Beuving?
ParlaMint-NL_2016-04-05-eerstekamer-4.u15	I'm not gonna answer my own questions. I'd like to hear it from the Minister. If Mr Engels asks me whether I am asking the question to the right official, I would like to have the veil lifted a little bit. What official does Mr Engels think I should ask the question?
ParlaMint-NL_2016-04-05-eerstekamer-4.u16	I imagine Mrs Beuving is concerned about the judge's position. That was already mentioned in her previous block, and that is a very important point. Is it not primarily up to the judge to determine whether he can guarantee innocence, given his role as an independent judge? And should the question not be put to us as legislators in the second place? We should not adopt legislation which may make it very difficult for the courts to properly monitor the innocence charge. I was brought to that thought by Mrs Beuving asking the question par excellence of a representative of the executive. That was the background to my question.
ParlaMint-NL_2016-04-05-eerstekamer-4.u17	As I have already replied to Mrs Strik in response to her interruption, I take into account that the current legislation may give a very difficult mandate to the judge. I can see the indications for this in the fact that most judges do not strictly adhere to the limits of the right to speak when the victim goes over them. I take into account that current legislation may be a very difficult one for the courts. At the same time, I do not want to close my eyes to the question of whether this puts too much pressure on innocence. My group certainly has an eye for that. I don't think the minister is the wrong player in the play. On the contrary, he is a system operator. So I have to ask the Minister how the balance sheet remains in the system. If the Minister also wants to consider the role of the judge at the hearing, I am interested, but I would like to hear from him how he, as a system manager, looks at this question from my group. That is why I concluded this part of my speech with the question of how the Minister will ensure that the balance is maintained in the system. In the preliminary investigation it has been discussed that if a victim makes a statement incriminating the defendant during the exercise of his right to speak, he must take serious account of swearing-in as a witness and then be questioned by the defence. In response to questions from the D66 Group, the Minister was right to point out that a victim who does not comply with the law in force can already be heard as a witness. However, he added: "However, the defence will make a request less quickly in the present circumstances, as there is a risk that the defendant will make a less favourable impression if he goes against the victim. The consequence of a reluctant attitude is the certainty that the victim's statement is not useful as evidence. The defence will therefore have to ask itself, more than at present, what advantages and disadvantages are involved in questioning the victim's statement and the consequences of such a conduct of proceedings." In this passage, the Minister seems to assume that there is a difference in this respect between the current state of affairs and the legislative proposal, a difference which the PvdA Group does not yet see. That is why we ask the Minister to clarify this. In any event, it is clear that the preparation of the victim for the exercise of the right to speak and its possible consequences at the hearing is of great importance. It is also important to ensure that the victim is adequately prepared for the way in which punishment is imposed and punished, so that he has real expectations of it. It must be avoided that the victim's suffering is aggravated by the criminal process, the so-called secondary victimisation. Victim support The Netherlands writes that they themselves, as well as the specialised victim lawyer as well as the Public Prosecutor can provide victims with good information regarding the exercise of the right to speak. We would like to hear from the Minister what the division of roles between these bodies will look like in practice. I would also ask the Minister on whom he bases his response that Victim Aid Netherlands and the Public Prosecutor's Office will be able to cope with the increase in work with current capacity. We await the Minister's answers to our questions with interest.
ParlaMint-NL_2016-04-05-eerstekamer-4.u18	Mr. Chairman. The SP Group welcomes the Minister's proposal to extend the victim's right to speak. It is important for victims to be able to express themselves about what the crime has done to them. Victims want to be able to respond to what has emerged at the hearing. The fact that victims are also given room in the courtroom and heard contributes to understanding and recognition over and over again. The SP Group has been working for many years to extend the victim's right to speak and is pleased that this wish is now widely shared. For example, in 2009 MP Gerkens, in a motion supported by the House of Representatives, argued that the victim's right to speak should be extended to representatives of children and disabled victims. This motion was taken over by then Secretary of State Teeven. This was introduced in 2012. In 2012, the SP also issued a note, "The Victim Central," with proposals to strengthen the position of victims and relatives in the criminal proceedings. In the meantime, this is one of the key themes of the Ministry of Security and Justice in the Rutte/Asscher cabinet. The SP Group congratulates the Minister and all other stakeholders on their efforts to strengthen the victim's position. That can be said at some point. However, it could be even better. I will explain this on the basis of five parts. First, the investigation and prosecution of the perpetrators; second, the Kooiman motion in the Second Chamber; third, the treatment of the court hearing with closed doors; fourth, the legality and fifth, who protects the judge. The first is the detection and prosecution of the perpetrators. The bill could be better served if more declarations result in the detection and prosecution of offenders. I'll explain. Unfortunately, many declarations do not yet result in the detection and prosecution of perpetrators. In this context, I refer to the well-known report of February 2012 of the General Court of Auditors on performance in the criminal justice chain. That report showed that for inexplicable reasons between 18% and 50% of the 1 million reports of violence and property crime disappeared in the fog. Only around 9% of the notifications were forwarded to the prosecution, so only 5% of the 1 million notifications resulted in a judgment. At that time, the Minister promised to get better. So we would like to know what the state of play is, especially the General Court of Auditors wrote to the House of Representatives in a letter dated 29 October 2015 that more than three years after the publication of the aforementioned report, relatively little progress has been made on the formulation of objectives and an information strategy. In the progress report Reinforcement of performance in the criminal justice chain of December 2015, limited quantified figures came back to this. I would like to hear from the Minister how many percent of the reports were forwarded to the Public Prosecutor in 2015 and how much percent of the reports resulted in a verdict. The second point concerns the motions tabled by Member of Parliament, Mr Kooiman. Two motions of the SP-Second Member of Parliament Kooiman were adopted during the examination of the bill in June 2015. The first motion concerned a request to the Government to enter into a discussion with the Council for the purpose of the case-law on the importance of judges being able to take into account, in their statement of reasons, the statement of reasons. Has this discussion with the Council taken place before the Court of Justice and, if so, what is the outcome of this discussion? The second motion concerned a request to the government to investigate the possibilities of extending the right to speak to TBs and the possibilities of better involving victims and relatives in and informing about TBs sessions. Could the Minister also report on the progress of this investigation? My third point is the treatment of the court hearing with closed doors. Under circumstances, it may be difficult for the victim and the next of kin to have to hear again at the hearing how and what happened. One could think of rape, a murder of a loved one or sexual abuse of a minor victim. The consequences and influences of the public hearing can be extremely damaging, especially for minors. This impact is reinforced by the media attention. Journalists approach victims and relatives before and after the hearing. Upon entering the courtroom there is a TV camera ready to record the rise of the judges and the nomination of the prosecutor. Journalists tweet live what's being discussed. Article 269 of the Code of Criminal Procedure states that it is possible to allow the hearing to take place behind closed doors in the interests of the victim. In particular, the article also mentions a minor, which, according to the text and commentary on the article, refers to the minor victim and a minor witness. In practice, victims' lawyers argue that, if they assist a minor victim or a minor next of kin and invoke this provision, the judges nevertheless reject this request because they state that it is the legislator's intention that the hearings should in principle be public. A rape of a minor, for example by the victim's attorney, was not sufficient grounds for the treatment to take place with closed doors. This was not special enough for the court to deal with the case behind closed doors. At best, the right to speak with closed doors is sometimes allowed, but in practice this is often not allowed. The victim or next of kin shall not be entitled to appeal against that decision of the court. This could be a consideration for victims or next of kin not to go to court. In my opinion, this cannot be the intention of the legislator. For the underage victims and relatives, it would be nice if the Minister wanted to speak on this issue. Then they'll have a handle on the judge. Does the Minister mean by Article 269 of the Code of Criminal Procedure that, if the minor victims or minor relatives of serious violent crimes apply for treatment with closed doors, this should in principle take place, unless there are serious grounds against it? I assume that the Minister agrees with us that the treatment with closed doors is intended to ensure the anonymity of, for example, minor victims of sexual crimes. It is also possible to ensure that the privacy of the victim and the next of kin is protected. Does the Minister share this view? In addition, closing the doors can even benefit justice, because the victim, the next of kin and thus also the suspect can freely express themselves on personal matters without fear, public curiosity or comment. In the above, I specifically referred to the minor victims or minor survivors of serious violent crimes, but this is equally true, of course, for adult victims and survivors of serious violent crimes. Does the Minister mean by Article 269 of the Code of Criminal Procedure that, if the victim or the survivors of serious crimes of violence request treatment with closed doors, that treatment should, in principle, take place in such a way, unless there are serious grounds against it? I'd like a response from the Minister. And by closed doors, I mean that the victims and next of kin, with guidance of course, are present at the criminal hearing. Then I come to point four, the legality. With regard to the legality of the bill, I would like to point out to the Minister the following. The bill makes it possible for the victim to be able to speak about the means of proof in court during the speech. This may give rise to the defendant's attorney or the prosecutor's office still wanting to hear the victim as a witness. However, the victim has already taken note of the criminal record and attended the full session. This may be reason for the defendant's lawyer or the prosecutor to ask the judge before the substantive examination to decide that the victim should remain outside the courtroom. This possibility provides for Article 289 of the Code of Criminal Procedure. The Minister and Victim Aid Netherlands have already stressed that the importance of victims in attending the courtroom is many times greater than the possibility that they may amend their statement as a result of what they observe there. However, the importance of attending the hearing outweighs the provisions of Article 289 of the Code of Criminal Procedure is not yet regulated in the Code of Criminal Procedure and is not regulated in this bill. In my opinion, this leads to an internal contradiction in the Code of Criminal Procedure. How does the Minister intend to solve this tension? Then there is the fifth and final point. Who's gonna stop the judge from getting hit? Mr Engels has just referred to it. The Minister will also have taken note of Jensma's article in the NRC of 26 March, entitled Who will prevent the judge from getting hit? It stated that at a meeting of criminal courts it was discussed that there were more and more emotional incidents in the verdict. People involved couldn't control themselves. As a possible cause one sees the rising expectations of the criminal trial. The impression is that this is partly caused by the Public Prosecutor's Office, which, at the request of politics, acts more as an individual's representative of interests. Officers discuss the case with victims before the hearing and often explain what requirement they consider appropriate. That raises expectations about the outcome. The criminal process thus becomes increasingly a transaction between individuals and much less a social process in which collective interests such as the rule of law, prevention and justice are central. That brings me to the following questions. Does the Minister recognise that there is increasing pressure on the Public Prosecutor to act as a crime fighter and as a victim's representative of interests? How can the Minister's view protect the magisterial role of the Public Prosecutor from the pressure caused by a brutalization and hardening of society? How can the judge be physically and mentally protected against the sometimes disproportionately high expectations of the victim, the media and society? I also agree with Mr Engels's questions concerning the financing of the legislative proposal, especially since the Council has indicated in its case-law that the burden on the judiciary's budget is really out.
ParlaMint-NL_2016-04-05-eerstekamer-4.u19	Mrs Wezel began her speech by expressing support for this bill because it is important for the victims to be able to tell about the suffering they have suffered and also to be recognised as such in their victimisation. This is, of course, already the case; for that we have the limited right to speak. At the end of her speech, Mrs Wezel addressed a number of risks. It raises a number of questions, in particular about the pressure on the Public Prosecutor and the expectations which may be too high and the consequences thereof. My group is concerned about the fact that extending the right to speak increases those risks. How does Mrs Wezel view this? Is it really necessary to deal with the suffering and recognition of the extension of the right to speak? How does it see this in relation to the risks of expectations and increased pressure?
ParlaMint-NL_2016-04-05-eerstekamer-4.u20	There is a social desire that victims want to be able to express themselves. That's what you notice in the courtroom. Otherwise it's like sitting behind a glass door: you can't do anything, but you want to express yourself. That is precisely the aggression of people: they want to express themselves and they cannot. In that sense, I believe it is important that victims can express themselves. But I did ask a number of critical questions. In this way, we need to look closely at how to keep the balance in the criminal trial. What is the purpose of the criminal trial? How do you protect that? What do you want from the criminal trial? That's why I asked the Minister these questions. How's he gonna bail that out?
ParlaMint-NL_2016-04-05-eerstekamer-4.u21	I would like to comment on this aggression. Mrs Wezel says that people now feel very limited, despite the fact that they can explain what has been done to them. On what basis does she base the assumption that their sense of aggression would diminish if the right to speak was extended?
ParlaMint-NL_2016-04-05-eerstekamer-4.u22	In principle, they can only speak out now about what it has done to them. But if they hear lies in court, if something hasn't gone as it's said, if they're put in an evil light or if they're called for something they're having a lot of trouble for... I'm just calling it rape. If a suspect says she provoked it because she was dressed like that, it triggers a reaction. Now we can't lose it.
ParlaMint-NL_2016-04-05-eerstekamer-4.u23	I have one final question concerning the penalty. The danger lies in the fact that they are going to express their opinion on what they think should be imposed as punishment. How does Mrs Wezel see that in relation to the risk of increasing pressure on the prosecutor and the fact that it also brings with it expectations if we are allowed to express ourselves?
