ParlaMint-NL_2016-11-24-tweedekamer-8.u1	I'll give the Minister the floor.
ParlaMint-NL_2016-11-24-tweedekamer-8.u12	Before you go any further, Mr Sjoerdsma has an interruption.
ParlaMint-NL_2016-11-24-tweedekamer-8.u13	The Minister is now talking about inadequate cover again. That cover comes from a steel map from the Ministry of Finance. I think there's a sleeve that can be adjusted. I'd like to give the Minister a consideration. Maybe he should chew on it. I understand, of course, that these are budgets from other ministries as well. That'll make it a little harder. But chew it again. Perhaps the Ministry of Finance could look again at the budgets of the other ministries. I understand it takes time. The Minister said that there are collective agreements attached to it. I can understand why you can't change it from one day to the next. That must be a careful process. But I think it is best possible to do it in 2017. My amendment sees a structural increase of 6 million. I only use $4 million of that. Then for next year you could raise 2 million out of the amount for next year. Then the Minister will have the time to settle it properly, and I think it is right for him to ask that, but we can do this already. That seems necessary to me.
ParlaMint-NL_2016-11-24-tweedekamer-8.u14	I'm afraid I'm gonna... ask Mr Sjoerdsma to reconsider. I do not think that what he is asking for in the amendment is necessary. That's what I started with. Mr Sjoerdsma asked in the amendment to extend the possibilities of applying for a DigiD abroad. There is talk of the elections. In both respects, the Ministry serves the people well. We have good people for that. We've expanded it. It's fine. So I don't need money for it, for starters. I wouldn't know what to do with it either. And other than that, I really don't like the cover. Then I don't have to look at it either. If it is really important to address that point again from the different departments, then the one who ever deals with it should judge it during a cabinet formation. I come to the amendment to item No. 42 which replaces an earlier amendment. It is a new amendment, with a new proposal for cover. Coverage is achieved by shifting resources within the device article. The fight against marital coercion is something the Ministry of Foreign Affairs is firmly committed to. I see the amendment as a firm support. We will use the extra resources in the State Department budget within the frameworks that apply to it on the important points that have been mentioned to ensure that the task force is going to work in an even more activist way than is currently the case. There's a lot of ways to do that. We still have to look at this very carefully, but I am thinking of the capacity in posts and the strengthening of cooperation. The petitioner mentioned tickets and so on. I'll leave the judgment to the Chamber. I come to the Voordewind c.s amendment. in piece No. 15, which provides for 1 million from the Human Rights Fund to be spent on religion and freedom of belief. This is the same amendment as last year. I support that; I think this is an important amendment. Religion remains one of our priorities. I'm not that bad for all those bulkheads, but this is coming back. I'll leave the judgment to the Chamber. The Voordewind/Van der Staaij amendment to item No. 16 is about raising the Human Rights Fund by €817,000, to cover from the rule of law development in the budget of Foreign Trade and Development Cooperation, in order to give the PA the signal that payment of benefits to prisoners is unacceptable. This comes back repeatedly. The proposers themselves discussed this with President Abbas last year during the visit. They have also heard how this is viewed from a Palestinian perspective. The issue is a symptom of a much larger matter. We are opposed to these payments to prisoners; that is correct. That's what I'm committed to. We also want the system to be reformed. At the request of the Chamber, we discussed this with other Member States. However, this amendment is not, in my opinion, the way to deal with it. It won't be effective in any way. I'm working on another lead. Finally, the coverage of amendment ODA funds in the budget of fellow Minister Ploumen and not my budget. I come to the amendment to item No. 17 by Mr Servaes, which aims to add 2 million to the Human Rights Fund. In any case, the money should be used in part to promote social rights, such as the fight against exploitation of migrant workers and the promotion of trade union freedom. The proposed coverage comes from a reduction in expenditure under Article 4 on consular representation of interests and the international promotion of Dutch values. Last week we discussed in detail the importance of human rights. I have also shown that the IOB evaluation by the bank is positive, even if there are some differences of opinion. These additional resources can strengthen the matter on a number of points, so I would like to leave the opinion on the amendment to the Chamber.
ParlaMint-NL_2016-11-24-tweedekamer-8.u15	For the determination of my group's position, the following is a good thing to know, as my group believes that consular services are far from satisfactory. At least it could be a lot better. This amendment removes 2 million from the budget for consular services. Before I ask my group for an opinion, I would like to know from Minister Koenders: what is that about?
ParlaMint-NL_2016-11-24-tweedekamer-8.u16	I will inform you of that before you vote on Tuesday. That's not a problem. Also the international promotion of Dutch values and interests...
ParlaMint-NL_2016-11-24-tweedekamer-8.u17	If it's not a problem to do that and the Minister already knows it, then maybe he can share it with the Chamber now.
ParlaMint-NL_2016-11-24-tweedekamer-8.u18	If I knew now, I'd tell you. I have just told you that I will inform you in writing.
ParlaMint-NL_2016-11-24-tweedekamer-8.u19	I've noticed something else, too. Just now the Minister said that he does not need extra money for consular, but with the recognition of this amendment and his voting advice, the Minister even says that he is okay with less money being spent on consular. If I have understood the amendment correctly, we are going to spend that money on trade unions in the world.
ParlaMint-NL_2016-11-24-tweedekamer-8.u20	And your question is?
ParlaMint-NL_2016-11-24-tweedekamer-8.u21	Whether I'm right to draw that conclusion.
ParlaMint-NL_2016-11-24-tweedekamer-8.u22	I don't think so. I'll brief you on the exact coverage. In any case, we have seen that there is no problem at the moment. I say again that I am really worried about the fact that Members of Parliament have now said a few times that we are currently consularly behind, not doing things right or need more money. That is not the case.
ParlaMint-NL_2016-11-24-tweedekamer-8.u23	I didn't make that claim. I do share Mr Sjoerdsma's concerns. I have heard the Minister's reasoning that the consulate is all fine and that he does not need any extra money and does not comment on it. But I do get out of my chair now that the Minister has given his positive opinion on the Servaes amendment implicitly and also explicitly indicates that he can do it by 2 million less. Then there's obviously too much money there.
ParlaMint-NL_2016-11-24-tweedekamer-8.u24	The answer is, no, there's not too much money. Cover will be found within a number of issues that are not being published this year. I will inform you more precisely about this. You know how payments are. We are looking very closely at the demands of the consular service and how much money we need to do so. We then check whether there is money left for certain articles to find cover as soon as possible. That doesn't mean we're suddenly going to reduce quality.
ParlaMint-NL_2016-11-24-tweedekamer-8.u25	I see with interest that all kinds of colleagues are considering my amendment. I filed it myself, including the cover, of course. The last thing I would like to do is to table this amendment for additional human rights money at the expense of the consular services of detainees or of DigiDs or whatever. This is specifically the sub-category within which public diplomacy is monitored. I understand that there is under-exhaustment. I can reassure colleagues. This is not at the expense of the things that Sjoerdsma, for example, has asked for attention. I support him in that. This is another category within which there is budgetary space.
ParlaMint-NL_2016-11-24-tweedekamer-8.u26	Clear.
ParlaMint-NL_2016-11-24-tweedekamer-8.u27	Perhaps it would be a good thing if I also said something about it, because the Minister is talking about his own budget. In consular services and public diplomacy there are a number of under-exhaustments. We will see how this can be spent wisely. If there are amounts for projects, either in the case of consular services or in the case of public diplomacy, which are not going to be published in the coming period, that is, of course, a cover. I'm a little surprised there's so much concern about that. I have just said that we can always use more money in the consular services for all posts, but not for DigiD and other matters mentioned in this amendment. I come to the amendment to item No. 18 by Mr Knops on 1.5 million within the Human Rights Fund for the NGO Karama. Unfortunately, I have to advise against that amendment. There is a great deal of appreciation for Karama's work. Our ministry has supported the organisation's activities many times before. I can't agree to support individual NGOs in advance. You just have to compete like other NGOs. For example, the Netherlands finances the strengthening of women's organisations such as Karama through grant frameworks such as FLOW and the National Action Plan Women, peace and security. Moreover, these programmes are not intended to support organisations with low financial resources. It is always about the quality of the proposals. Perhaps it is also good to refer to my colleague Ploumen. It has reserved an additional EUR 40 million in connection with the Van Laar motion on the financing of southern women's organisations. For the MENA region, this funding is channelled through the African Women's Development Fund. Karama, for example, could participate in this grant tender at the beginning of next year and still continue its programmes. This brings me to the end of the examination of the amendments.
ParlaMint-NL_2016-11-24-tweedekamer-8.u28	Thank you. Mr Voordewind has another question.
ParlaMint-NL_2016-11-24-tweedekamer-8.u29	I have a little correction. My motion to part No. 16, according to the Minister, is covered by ODA funds from his colleague Ploumen's budget, but I am reducing an amount and adding an amount.
ParlaMint-NL_2016-11-24-tweedekamer-8.u30	That's an amendment, isn't it?
ParlaMint-NL_2016-11-24-tweedekamer-8.u31	Yes. The amendment in part No. 16, no motion.
ParlaMint-NL_2016-11-24-tweedekamer-8.u32	I'm gonna have to take a look at that. I thought the article 4.3 of the budget was BuHa-OS. Apart from that, I would advise against this amendment anyway, because I am not in favour of it.
ParlaMint-NL_2016-11-24-tweedekamer-8.u33	We shall vote next Tuesday on the motions tabled. I thank the Minister and his officials.
