ParlaMint-NL_2016-05-31-tweedekamer-27.u1	I would like to welcome the Minister.
ParlaMint-NL_2016-05-31-tweedekamer-27.u12	My final motion is next. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas mayors in the border region are concerned about the safety of obsolete Belgian nuclear power plants;]] [[Whereas the Research Council for Security has recommended closer involvement of local authorities in decision-making in (international) national energy issues where the safety of residents is at stake;]] [[calls on the government, municipalities and municipalities to be more closely involved in the decision-making process and also to consult the Belgian authorities,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-81]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u13	I have a question on the motion for a resolution on item No. 80, about medical isotopes. Mrs Dik-Faber knows that people in hospitals are treated with medical isotopes and that they often get better. How does Mrs Dik intend to solve and absorb that?
ParlaMint-NL_2016-05-31-tweedekamer-27.u14	I also think it is extremely important that the production of medical isotopes should not be put under pressure. However, I have been told by experts that this production of medical isotopes does not have to depend on Petten, because there are also reactors in the world that are suitable for this purpose. More importantly, there are new developments with cyclotrons. By the way, those cyclotrons aren't so new. They run in Alkmaar and in all university medical centers. They'll be able to absorb that production, too. If that is the case, we certainly don't need Petten and PALLAS, the successor to the old reactor in Petten.
ParlaMint-NL_2016-05-31-tweedekamer-27.u15	There are also experts who claim otherwise. They say: no, PALLAS is needed and the alternatives are not available enough. What does Mrs. Dik say to all those people who are currently being treated in hospitals? What does she answer when she asks her questions about the continuity of their treatment with radioactive material? People don't get sick from such treatment, they get better. What does Mrs. Fat say to these people?
ParlaMint-NL_2016-05-31-tweedekamer-27.u16	I say to those people that the production of medical isotopes may be at stake even further. It is my belief that this production can take place elsewhere. I mentioned Alkmaar, I mentioned university medical centers. New reactors have also been installed, including in Canada. So we just don't depend on Petten anymore. Petten is simply no longer necessary.
ParlaMint-NL_2016-05-31-tweedekamer-27.u17	The CDA has also consulted experts. I hear from them that what Mrs Dik-Faber brings up here is not true. I am very concerned about that. We are also talking about the Dutch knowledge infrastructure in the field of nuclear matters. Is Mrs Dik-Faber perhaps worried about that too? This knowledge would then disappear completely from the Netherlands.
ParlaMint-NL_2016-05-31-tweedekamer-27.u18	The CDA simply has a very different agenda than the Christian Union when it comes to nuclear energy. I am not talking about the production of medical isotopes, but more generally about nuclear energy, nuclear science and everything around it. The Christian Union simply wants to get rid of nuclear energy at some point. The CDA definitely doesn't want that. So that's what our parties are different about. Moreover, for the production of medical isotopes, we simply do not need a nuclear reactor anymore. That production can take place in cyclotrons. Let us work on this and let us gather and innovate knowledge in this area. That also has power and that is the future. It's just that Petten isn't necessary anymore.
ParlaMint-NL_2016-05-31-tweedekamer-27.u19	I note that the answer to the question of whether or not Petten is necessary is quite different from that of others. The experts I speak to say that this nuclear power plant at Petten is necessary for the production of isotopes for all those sick people in hospitals. That's what my colleague from the VVD just said. I wonder what the Minister has to say about this. In my opinion, this is not the case with the Christian Union. I cannot understand why Mrs Dik dares to say out loud that she wants to meet the sick people when she simply shuts down the nuclear power station where these isotopes are produced. I don't understand any of that.
ParlaMint-NL_2016-05-31-tweedekamer-27.u20	I'm sticking to my point of view. I have been properly informed by experts. The production of medical isotopes can simply take place decentrally at the hospitals in the cyclotrons. That is a much safer solution and that is the future. Let us focus on this with knowledge and innovation.
ParlaMint-NL_2016-05-31-tweedekamer-27.u21	The last speaker on the side of the Chamber is Mrs Fokke.
ParlaMint-NL_2016-05-31-tweedekamer-27.u22	Madam President. Honesty commands me to say that I am only replacing my colleague, Mr Fox. He couldn't be here, so it's my honor to read the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Belgian nuclear reactors in Tihange and Doel, located near the Netherlands, are regularly shut down due to safety problems;]] [[noting that there is a risk of a power shortage in Belgium and that it has been decided in Belgium to continue producing the older nuclear reactors in Tihange and Doel for another ten years;]] [[Whereas, in view of the safety and waste problems, it is desirable that these nuclear reactors should be closed down, also because of the consequences of a nuclear disaster not only in Belgium but also in the Netherlands, Germany and Luxembourg;]] [[whereas Germany and Luxembourg have requested the Belgian Government to close the nuclear reactors in Tihange in any event;]] [[calls on the Dutch Government to join Germany and Luxembourg and to ask the Belgian Government to close Tihange and Doel;]] [[calls on the Government to enter into consultations with the Belgian Government to accelerate the expansion of interconnection capacity between the Netherlands and Belgium, so as to avoid a shortage of electricity in Belgium using clean energy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Fokke and Mr Jan Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-82]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u23	We are going to listen to the Minister's reaction to the motions that have been tabled. I give the floor to the Minister.
ParlaMint-NL_2016-05-31-tweedekamer-27.u24	Mr. Chairman. I actually only have motions, no questions. I'll see them all right away. In her motion in part No. 69 asks Mrs Van Veldhoven to formally request the government to consider an investigation. I'm dissuading the motion. The reason is that the Research Council for Security has not yet taken a formal decision and acts independently. That's what I indicated in the AO. Nor can I formally ask them this in the context of independence. I'll pass on the wishes of the Chamber. I believe that I will solve the question put by Mrs Van Veldhoven. I'm not going to formally ask them, but I'm going to pass on the wishes of the Chamber. I hereby advise against this motion. Then I come to the Van Veldhoven motion on part No. 70 on the role of the security regions in the framework of independent information provision. I see this motion as supporting my policy. Discussions are also under way on strengthening the provision of information following previous debates in the Chamber. The security regions in the south of the country are involved. This is also about their own role and the combination between what they communicate and what the ANVS (Authority Nuclear Safety and Radiation Protection) communicates. So I see her as a support for policy. In their joint motion in part No. 71 ask Mrs Van Veldhoven and Mrs Mulder if the government would like to talk to Belgium, Germany, Luxembourg, France and the United Kingdom in order to reach harmonised structural agreements on licensing, information and involvement in inspections, and to establish them. I advise against this motion. That is not because I do not think it is important, but because we have already agreed at EU level on security rules, information exchange, peer reviews and joint inspections. So that is even wider than the group mentioned here. As I pointed out in the AO, it is true that there are quite a few differences in its implementation. Then it's about the way in which details are communicated about incidents. That is what we are discussing at the moment with the party with which we have a problem on this point, namely, 'problem' with the party to which we see the difference, namely the Belgians. But I cannot record that; that is not my competence. I can't do that. All I can do is keep talking to them. In that sense, I advise against the motion.
ParlaMint-NL_2016-05-31-tweedekamer-27.u25	But what if the Minister does come to an agreement? Can it not then record these agreements and notify them to the Chamber?
ParlaMint-NL_2016-05-31-tweedekamer-27.u26	These are individual agreements between the Netherlands and Belgium in this case. We are talking about what we can do to improve and harmonise information. Of course, I can inform the Chamber about this, but for the relationship between the various countries there is a separate EU strategy which also includes agreements. I cannot change and record that unilaterally on behalf of one country. That's why I don't recommend the motion. However, I can say that we are working on this.
ParlaMint-NL_2016-05-31-tweedekamer-27.u27	So the Minister says she's sending the appointments that are then made to the Chamber? The Minister says that she is taking over that part of the motion which concerns the Belgians. However, I can also imagine that agreements on nuclear installations in a broad sense can serve as an example for those other countries. Is the Minister willing to look into that?
ParlaMint-NL_2016-05-31-tweedekamer-27.u28	Our ANVS is constantly in conversation with other countries to see whether the joint agreements are compatible and whether we can harmonise if there is uncertainty. If agreements between the Netherlands and Belgium can serve as an example for the other countries, we will introduce them. Whether these countries eventually adopt these agreements will depend on what is agreed at European level at the level of detail. Then I come to the motion on part No. 72 by Mrs Van Tongeren asking for participation in the contingency plans. We have also discussed this on a number of occasions in committee. It is not for us to say to neighbouring countries that Dutch municipalities should have a say in the safety of nuclear power plants in other countries. However, I have asked Belgium whether it is possible to involve our own municipalities more. They're looking into whether or not they're going into that. Making choices about a nuclear power plant is a national competence, so I cannot enforce it. I indicated earlier that I asked Belgium for this. In any case, they have indicated that they want to harmonise the provision of information. They have not yet answered our question about participation. As far as our own power stations are concerned, participation in the Netherlands is determined by the local government, including municipalities or security regions; civil participation is also possible through the city council. With regard to Belgian power stations, we have no competence. I therefore advise against this motion.
ParlaMint-NL_2016-05-31-tweedekamer-27.u29	The motion does not ask for it to be settled but to examine how it could be done and to discuss it with neighbouring countries. It is therefore an effort request and not a result request.
ParlaMint-NL_2016-05-31-tweedekamer-27.u30	Actually, I already have. I went to see our neighbors. I told them that I could well imagine the concerns of our residents and asked them if they could not be more involved in participation. I did not receive an answer to that question. That often means: it does not seem desirable to us. I can raise that again next time. They have said that they want to work together with the information services. For me it is a bit finished, but I would like to ask the question again. We can pass on the question over and over again, but we have no formal role in it and cannot enforce it.
ParlaMint-NL_2016-05-31-tweedekamer-27.u31	For example, we could set a good example by giving citizens in our neighbouring country who live 100 kilometres away from our nuclear power station a say in our power stations. If we consider it important that our residents have a say in the Belgian power stations, we can already explore how this could take shape in the Netherlands. This brings us a step closer to allowing citizens to influence those power stations. That circle of 100 kilometres recognizes this government.
ParlaMint-NL_2016-05-31-tweedekamer-27.u32	No, that 100-mile circle is arbitrary to me. I take it you took it in connection with the iodine pills. That's about something else, which is within which radius you have to distribute iodine pills. Because of what Mrs Van Tongeren is now saying, namely that we must give our voice on the other side, it leads me to reject the motion. I think you should also look at what you do with participation. I asked the Belgians: could you in some way involve our locals? Now they feel they have nothing to say about it. Participation has different variants, from expressing your opinion to having an influence on decision-making. That could include participation. I am really trying to be careful, because the other way around I would not want to give the Belgians a say in our nuclear power station in Borssele. In turn, the Belgians will not want the Dutch to have a single conversation with regard to the nuclear power stations in Doel and Tihange.
ParlaMint-NL_2016-05-31-tweedekamer-27.u33	We're doing two-way interruptions, but if you're very short, you may ask one more question.
ParlaMint-NL_2016-05-31-tweedekamer-27.u34	It just says, "I'm gonna see how it's done." They're not asking us to take care of it now. It is a question of what is possible.
ParlaMint-NL_2016-05-31-tweedekamer-27.u35	I will promise once again in the AO that I will look again with the Belgian colleagues at how to increase the involvement of our neighbours in the border regions. This also applies to discussions about plants across borders. I am not saying that we are opening up our participation to the Belgians immediately. If they do so, we will have to consider how we can shape the involvement in the Netherlands. That's my answer.
ParlaMint-NL_2016-05-31-tweedekamer-27.u36	Does that change your judgment on the motion?
ParlaMint-NL_2016-05-31-tweedekamer-27.u37	Yeah, well, let me just say, Judge Room. Of course, I have already done it, and I have already promised it, but I will do it again.
ParlaMint-NL_2016-05-31-tweedekamer-27.u38	There is also a possibility to take over the motion.
ParlaMint-NL_2016-05-31-tweedekamer-27.u39	I'm gonna hold it. Judgment Room.
ParlaMint-NL_2016-05-31-tweedekamer-27.u40	The motion in part No. 72 is left to the discretion of the Chamber.
ParlaMint-NL_2016-05-31-tweedekamer-27.u41	I come to Mrs Van Tongeren's motion on item No. 73 on Euratom and the specific position of nuclear energy by the Euratom Treaty. The motion calls for that position to be withdrawn. I advise this motion, that will be clear. There is a Euratom Treaty and there is a specific position for nuclear energy. Whether we use nuclear power or not is a national competence. I'm not in favour of taking that position down. Mrs Van Tongeren's motion on item No. 74 is about Borssele nuclear power station. The Government is invited to draw up a plan for phasing out the nuclear power plant, taking into account the legal and financial aspects and the security of supply of energy, and to inform the Court in 2016. I advise against this motion. Nuclear energy in the Netherlands is not excluded in the energy mix. If the nuclear power station in Borssele is safe, there is no reason for me to shut down and shut down the power station. In the motion in part No. 75 asks Mrs Van Tongeren to take stock of the current status of all relevant domestic and foreign security and evacuation plans. Here too, I'm in the middle. The security regions are responsible for disaster response plans. They've got them, too. The security regions of Zeeland and Central and West Brabant have a joint disaster response plan with regard to Borssele but also with regard to Objective. There is a very detailed description of how the evacuation should take place, for example with regard to vulnerable groups, schools and hospitals. So those plans are there and they're also updated. I am also asked to take stock of the current status of foreign security and evacuation plans. We always ask for German and Belgian plans. So in itself I could do that, but I don't have a role in getting ready. I don't know if that's requested in the motion. I see Mrs Van Tongeren shaking in denial. I'll leave the verdict on the motion to the Chamber. Then I'll tell you what's going on with the plans, because that's what Mrs Van Tongeren is asking. I now turn to the motion on part No. Mr Dijkstra, in which he asked the government to improve communication on nuclear safety for residents in the border provinces and to send the Chamber a plan of action. The content of that motion actually came back to other parties to a greater or lesser extent. I said in last week's AO that, in cooperation with security partners, including the security regions, a national communication group "nuclear" will be launched. Belgium is asked to participate in this. The existing risk and crisis communication plans, including on radiation incidents, are updated and an amendment has been adopted in the treatment of the Nuclear Energy Act, which requires the ANVS to provide information on malfunctions in foreign nuclear power plants. Tomorrow, the ANVS will hold a consultation with the FANC, which will also address these issues. I'll inform the Chamber after the summer with a letter of inquiry. I therefore consider this motion to support the policy. Mr Smaling asked the government in the motion for a resolution on item No. 77 to join Germany and Luxembourg's request to Belgium to shut down the nuclear power plants at Doel and Tihange and then to offer Belgium to assist in the conversion to alternative power supply. First of all, I would like to congratulate Mr Smaling's mother on her birthday tomorrow, but I think I will leave it to those congratulations and not also give this motion as a gift. I have already mentioned the reason: nuclear safety is a national responsibility. If we find that for safety reasons there would be a reason to close the nuclear power stations to Doel and Tihange, I would have to agree with Luxembourg and Germany, but on the basis of the advice I have received from my independent organisation, I cannot live up to that. Then it becomes much more of a political choice whether or not you think nuclear power should have a place in our system. That's another discussion. For me, therefore, there has been no new information which leads to a change in the Dutch position. I will therefore not agree with the German and Luxembourg requests and I would advise against the motion.
ParlaMint-NL_2016-05-31-tweedekamer-27.u42	Is the concern in the southern provinces not an incentive for the Minister to do so anyway? If Germany and Luxembourg express themselves in this way to Belgium for political reasons, that is also a way of reassuring the people. If I stand on the Dutch side of the border and throw tomatoes at the nuclear power station in Doel, I'll hit it. It is a power station in another country, but according to geography that is hardly relevant anymore.
ParlaMint-NL_2016-05-31-tweedekamer-27.u43	If this same question were to be about Borssele, for example, and if you were to ask Borssele to close, I would give the same answer. As long as Borssele is safe and part of the energy mix we have chosen in this country, I see no reason to close Borssele. So it doesn't have so much to do with "safe" or "unsafe." It has to do with the question of whether as a political party you think nuclear energy should or should not be part of the energy mix. This cabinet has indicated that nuclear energy is part of the energy mix. That applies to our own country. When we look at our neighbouring countries, we will not ask them for anything other than what we ask of ourselves. For the inhabitants of the border region, I think it is particularly important that they know very well what reported incidents are really a cause of concern and what incidents are not and that we get more insight and transparency in what is happening to the nuclear power stations that lie across the border. That is what I am sending, but that is something other than saying that a nuclear power plant should be shut down because you actually think nuclear energy is an undesirable form of energy.
ParlaMint-NL_2016-05-31-tweedekamer-27.u44	That is not quite the point, because Borssele is of course a friendly half vanilla ball compared to those things at Doel. In Borssele there are also not many reports of malfunctions recently, while in Doel and Tihange one malfunction occurs after another. Then you can come to the conclusion with an expert team that there are no dangers, but feeling also belongs to the human being. You just have to take that seriously.
ParlaMint-NL_2016-05-31-tweedekamer-27.u45	Feeling is human. You have to take that seriously, too. That is why we talk so much about communication, clarity and transparency, but ultimately, of course, it is about the facts. In the end, politics is based on the facts. The facts do not show that there is an unsafe situation or that there are relatively more incidents than in other places. I have indicated that I do see that they report many more types of incidents, so also incidents that do not occur in the nuclear part, then happens, for example, in the Dutch power stations. So there is a difference in the types of reports. I often talk about what has happened so far, because the Chamber often asks me about it and then I ask again from the other side. On the basis of what has happened, I cannot see that there is a more dangerous situation there than we do. Then I do not think I should agree with a request for closure on the basis of insecurity. In the motion in part No. Mrs Dik-Faber's 78 requests that the waste from Petten be transferred to COVRA as soon as possible, and certainly not after 2022. I advise against this motion. There are a few reasons for that. The historical waste is now safely located in the building designed for it. Once upon a time, it was meant to stay there forever, until a decision was made to move it. There's no security risk at the moment. In order to be able to transfer it to COVRA, you first need to sort, separate and repackage it. That's a technically complex operation, unique in the world. That just takes time, as is the plan of action. That must be done properly. As far as I am concerned, it must be done quickly, and we too have 2022 as an objective, but also safe and careful. I think it's more important that the process is going well than we're going to push a data. At the moment, sixteen hours a day is being worked by two shifts. That's why I advise against this motion. In the motion in part No. 79, also by Mrs Dik-Faber, is invited to examine whether, in the current situation, in which radiation experts responsible for internal supervision are employed by the holder of the authorisation, independence is adequately guaranteed. In fact, Mrs Dik-Faber proposes that these persons should no longer be employed by the company. I advise against this motion. A private, internal radiation-hygienic monitoring organisation that operates independently is a legal requirement. This independence is secured by the position of such a coordinating expert in the company structure: independently of the hierarchical line and in direct contact with the management of the company and with the ANVS. They are on the payroll, however, which is actually the only element, but they are completely independent. This concept is also very common internationally. The independence of this internal supervision is controlled by the ANVS.
ParlaMint-NL_2016-05-31-tweedekamer-27.u46	I would like to say, whose bread one eats, his word is spoken. Anyway, let me deal with my first motion, in part No. 78. The minister says there's a lot of work going on. She doesn't want to be stuck with a date. In general consultation, she has said that 2022 is the target for her. In the documents of the ANVS, based on the report of the Turkenburg Committee, I read that 2022 can only be achieved in the most plausible scenario. We are therefore already taking account of an overrun. Is that what the Minister says? Is she saying we're not gonna make it to 2022 and it's gonna be later? And is she okay with that?
ParlaMint-NL_2016-05-31-tweedekamer-27.u47	No, I myself have in mind that we strive for 2022. I say the date is not sacred to me. It's a safe trial. It just needs to be properly separated, properly packaged and properly transported. If it has to last longer but it is done safely and well, I don't think 2022 is interesting. It could also be 2023 or 2024. I'm not saying this because I would know it's gonna slow down. I'm saying this because I think it's important that it's done safely. And at its current location, it's safe as well.
ParlaMint-NL_2016-05-31-tweedekamer-27.u48	There is a lot to be said about the latter, but let me address that target year 2022. I don't know exactly when the historical waste ended up there, but we're really talking about decades. Frankly, I find it impossible for us to put so much money into the project that we are working on it with so much human power and that 2022 will probably not even be achieved. What's to be done? More human strength? More money? I'd really like to get rid of it. I'm very worried about the garbage. I really hope the Minister shares that sense of urgency with me.
