ParlaMint-NL_2016-03-22-eerstekamer-8.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2016-03-22-eerstekamer-8.u12	Then I come to Mr Dercksen's statement that 10 million comes from TenneT and the rest on behalf of the taxpayer or the payer of the electricity bill. But Mr. Dercksen will understand, I hope, that the account always comes from the payer of the electricity bill. At the moment, we are supplying fossil energy, the costs of which are paid by the electricity customer or by the taxpayer. The transition to renewable energy is no different. People need energy. We organise with each other that all kinds of energy are supplied. The costs are paid by the customers. To the extent that part of the costs are borne by the government, this is ultimately done by taxpayers. It's never been any different, and it's not gonna change.
ParlaMint-NL_2016-03-22-eerstekamer-8.u13	That was at the heart of my question about tendering. I can remember that the A15 almost lost two contractors, because we had launched a tendering process in which the risks were with the contractors. Now you hire TenneT, if I may say so flatly, and you say: whether you have to pay compensation, whether you make it right or wrong, TenneT's risk is limited to 10 million a year. That was my question, particularly in conjunction with your 40% reduction plan. You give an open end command to TenneT, in which you have every confidence. You can have that. We will see, because infrastructure in the Netherlands unfortunately often goes wrong. I would point out the risk that things might get out of hand and that the risk is not with the contractor, but with TenneT, and that is us.
ParlaMint-NL_2016-03-22-eerstekamer-8.u14	I'm not hiring TenneT. I will just leave the person who manages the grid on land to provide the connection between the windmills at sea and the power grid on land. That makes perfect sense, because if I did not do so, and I would give a third of the opportunity to do so by means of a call for tenders, after which I would contract separately for each wind farm and employ a third, I would run risks. Who are these third parties, do they have sufficient expertise in the house, is TenneT not going to say: what is provided by that third party is not good? Or does the third one say it's at TenneT? You can imagine what could go wrong. We are trying to prevent this kind of thing right now. We're just gonna let the normal network operator control those connections. The cost of this is much lower, as I have said to you on many occasions. I have listed the reasons for this at the beginning of my term. I think what we are doing is entirely obvious and logical. Furthermore, we have made good arrangements to ensure that this is done smoothly. If there is a delay at TenneT, wind farm operators may be burdened with the costs. Those who have to register on the tenders are going to think: we run a risk, we don't know how big that is, but let's estimate that risk and charge for our registration. The taxpayer will then have to pay for a risk that is estimated by someone who participates in a tender. That risk is unlikely to arise. This only leads to higher costs, for which no one buys anything at all. We'll have that connection run by the one with the most expertise, so TenneT. Let's do that in a time frame that, according to TenneT, is ambitious, but feasible. And we ensure that the risk remains with TenneT, so contractors do not have to charge high amounts for risk assessment. The electricity consumers and taxpayers are thus saved these additional costs. That is how we should do it, and that is how we can do it with the support of the Chamber. Mr Dercksen asked me to confirm that there was no interference by the windmills towards LOFAR. That is the subject of discussion. In the first instance, the management of LOFAR indicated that it did not think that would be the case. To the extent that this was the case, these risks could be addressed by mitigation measures. Later, on the basis of research carried out elsewhere, the management came to different insights. We have now had that other study submitted with a second opinion. Moreover, one of my services is also looking at this itself. We will then discuss this with LOFAR and ASTRON. We will then see what conclusions need to be drawn from this. In my opinion, ASTRON will present an opinion on the documents that I have now made available in relation to the wind farm De Drenthe Monden and Oostermoer. In dealing with this point of view, I shall deal with this matter in greater detail.
ParlaMint-NL_2016-03-22-eerstekamer-8.u15	I asked if you could confirm the commitment you made in this Chamber in response to a question by Mr Flierman that it is a prerequisite that LOFAR will not be disturbed in his activities. As far as I am concerned, you did not give a direct answer. I would appreciate such an answer, all the more so because that commitment has already been made.
ParlaMint-NL_2016-03-22-eerstekamer-8.u16	I said what I can say about that. I took my position on the basis of the position taken by the management of ASTRON. If there are further insights into this, I would like to look at it. If there is any interference, I will see whether it can be dealt with with with mitigating measures. Depending on that, I will be able to come to conclusions. I'm in that process now, so I don't want to get ahead of myself. It is not surprising that, as far as biomass is concerned, Mr Dercksen also comes to the conclusion that this does not contribute to CO reduction. He doesn't think that's gonna help. As far as anything contributes to CO reduction, it is nonsense, because CO does not need to be reduced at all. That's pretty much his reasoning. I think biomass does contribute to CO reduction. If anything grows, the CO is bound out of the air. If you use that then CO will be released again and you will have a cycle. Therefore biomass is considered as part of renewable energy. Internationally, it shall be considered as such. In the Netherlands, we have made the strictest criteria in the world for assessing the sustainability of biomass. We have put in place a unique control system, which is being further improved. With regard to biomass, we are also doing what is necessary to ensure that both biomass and wind at sea and wind on land can contribute to the most necessary transition from fossil energy to renewable energy, which the government is fully committed to and which we want to achieve in a way that will ensure that energy is sustainable, secure and affordable in the future.
ParlaMint-NL_2016-03-22-eerstekamer-8.u17	The Minister has me high, because now he is suggesting that that was my ruling, when I have told him twice that it is a statement from the Academy. Maybe I have an idea of my own. If I repeat that twice, it may be, but it's not my thesis, it's one of science. I know the story that CO released by burning trees is absorbed by new trees, but science, the Royal Netherlands Academy of Sciences and therefore not René Dercksen, thinks very differently.
ParlaMint-NL_2016-03-22-eerstekamer-8.u18	Mr Dercksen is still trying to give himself some authority by appealing to the IEA and the Academy. He thus suggests that his argument would be scientifically substantiated and supported by science. Of course, that is not the case at all. These agreements between 195 countries in Paris were made on the basis of years of scientific studies under the flag of the UN, in which everyone commented on each other and tried to convince each other. In the end, conclusions have been drawn from this. Not only by the Netherlands, not only by Europe, but by 195 countries. On the basis of these agreements and on the basis of European agreements, we also do what is necessary in the Netherlands.
ParlaMint-NL_2016-03-22-eerstekamer-8.u19	Finally, on all those countries that are all in agreement. I have here an interview with Mr Samsom in the magazine of Milieudefensie. He says in that: we have to tell each other the truth about the whole fable of CO targets and coal plants. If you put three coal plants in the Netherlands and not Germany, the effect is zero. I do not know Mr Samsom as a rational man on this subject, but what he said here is what we are saying now. There are 1,500 coal plants under construction or planning worldwide. Then what is the point of putting billions in here to close a single one? That is what Mr Samsom said in 2009 and that is what the PVV continues to say in 2016.
ParlaMint-NL_2016-03-22-eerstekamer-8.u20	In his speech, Mr Dercksen focused on renewable energy, against attempts to prevent irresponsible climate change, first sought support from the International Energy Agency, then from the Royal Netherlands Academy of Sciences and now from Mr Samsom. What he is doing is selectively removing something here and there and trying to fund his argument. As far as I'm concerned, that attempt failed. We all know, of course, that a lot of coal plants are under construction in the world and that as a result, the CO emissions problem is getting bigger rather than smaller. That is also why all these countries have come together in Paris and said that it is no longer possible to do so. We must ensure that we reverse that movement, that we do not emit more CO but much less. This requires all kinds of measures. This will also lead to much more energy being generated in the future in a sustainable way and much less with fossil energy. Of these fossil energy carriers, coal is the most harmful to the environment. That is why attention will also focus worldwide on achieving the transformation that is necessary for the future worldwide.
ParlaMint-NL_2016-03-22-eerstekamer-8.u21	I have just understood from Mr Dercksen that he no longer needs a second term. So the Minister does not have a second term either.
ParlaMint-NL_2016-03-22-eerstekamer-8.u22	Does one of the Members wish to vote on the bill? That's the case. I propose that we vote directly on the bill, but not after I have sounded the bell. Everyone must be aware that there will be a vote.
