ParlaMint-NL_2016-01-20-tweedekamer-6.u1	I would like to welcome the Minister for Security and Justice. I call Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u12	The reason for this is that the Minister is responsible for everything, because that is the ministerial responsibility. In order to weigh that responsibility, it is of course important for the Chamber to know that it was a matter of knowingly and knowingly. In that case, the weighting is different than when certain things happen properly or not. The Minister is directly responsible for this in the Chamber, but in such a case there is another weighting. I'm looking at what happened to the police and the ministry, and what the minister's role was. If you have all the facts, you can weigh up the Minister's responsibility.
ParlaMint-NL_2016-01-20-tweedekamer-6.u13	Thank you for this clarification. The first part of Mr Recourt's text was mainly about what the Minister knew, when he knew, why he didn't ask and what exactly was going on with the letter from Chief Constable Bouman to the Ministry and therefore also to the Minister. I hope, however, that we can conduct the debate on who has done what purely.
ParlaMint-NL_2016-01-20-tweedekamer-6.u14	I fully agree with that, and that is why I emphasised it. Previous speakers said the Minister took the measure against Professor Maat. I am asking who did this, because the Minister himself says that it was not him, while it is in the painted pieces. So we have to figure out the facts.
ParlaMint-NL_2016-01-20-tweedekamer-6.u15	At one point, I might be able to help. We got pieces today. I am referring to the internal note of 9 July, which was sent to the Minister personally shortly after the police investigation. It sets out several options for what the Minister can do with the police investigation. Mr Omtzigt had then announced questions to the House. The options range from "we ask the police to tell us again about the situation" to "we ask for everything now and inform the Chamber as soon as possible"; the latter is the other, extreme option. The latter has not been chosen. But that letter was addressed to the minister. What does Mr Recourt say about that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u16	First of all, this says that there is a great openness at the moment. I welcome the fact that these kind of internal notes come out and are shared with the Chamber, but you will immediately see the vulnerability of them. Officials must be able to give their opinions freely. They must be able to say: pay attention, this is the spectrum within which to choose. After that, they should be able to advise A or C. I cannot say at this time and on the basis of this information that the Minister personally instructed that the Chamber should never be informed. I don't know how that went and that's why I asked my questions.
ParlaMint-NL_2016-01-20-tweedekamer-6.u17	It needs to be a little sharper. Of course, it is good that we can see that, at the moment, after everything that has happened, there is transparency. That must have taken three-quarters of a year. Mr Recourt said that the ministry is far too large, and that is what I am concerned about. That is a well-known criticism, which we share. But now it's about the responsibility of the minister himself. We don't know exactly what the minister knew at what time. That is why we are having this debate now, and that is why we are asking our questions. We now have a very clear piece, addressed to the Minister personally, which states: you can choose. Apparently, the Minister did not choose the option of transparency at the time, so tell the Chamber what is going on. How does Mr Recourt judge the Minister's responsibility in this respect?
ParlaMint-NL_2016-01-20-tweedekamer-6.u18	That is clearly the responsibility of the Minister. It is not clear to me how to weigh this matter; I would first like to have heard the Minister's answers. Maybe he thought this was primarily a police matter or maybe there were other arguments, I don't know. I'm speculating, but that's always very dangerous. That's why I prefer to hear it from the Minister, and then I can judge.
ParlaMint-NL_2016-01-20-tweedekamer-6.u19	The criticism of the Ministry, namely that it would be too big and that the police would have to go back to the Interior, is now agreed; we share that criticism. But that can't be an argument in this case, can it? The Minister has personally, from the outset, made statements. It was a sensitive file. The Chamber has constantly asked questions about this. Then you can't say it was all a bit difficult because the ministry is big?
ParlaMint-NL_2016-01-20-tweedekamer-6.u20	In part, I agree with you. The Minister has indeed expressed his views on this from the outset, both in the media and through parliamentary questions. It is clear from the Minister's replies that he passed on that WOB request to the Chamber at once from the police organisation. He says that that was wrong, because he had not realized that he had to make a decision on the basis of the Constitution and not on the basis of the Public Administration Act. This may indicate that the Ministry did not have a note or note with: beware, Minister, you cannot simply forward this. At least I can see it in that light. This minister is responsible for many dossiers and for more than 100,000 employees, which means that he must be well fed. If there had been a note saying, "Watch out, this is Article 68 and not about the WOB," then the Minister probably had a bigger problem than now, because I suspect 'but we're going to hear 'we didn't have a note like that. That is why I think there has been a lack of alertness on this point. The Minister is responsible for this, but it is also important that the Ministry is so large that not all the information and alerts that should be sent to the Minister have actually reached him.
ParlaMint-NL_2016-01-20-tweedekamer-6.u21	That is very difficult to accept. What if we did get the Minister's answer that there was no note on top of it with a choice, although Mr Van Nispen now says that in some cases the Minister had a choice? On this dossier, with so much sensitivity and also personal statements by the Minister, is that answer very difficult to maintain? It is not the case, then, that we should say: that it is heavy and that it is so? That is a very difficult relationship between the Minister and the Chamber.
ParlaMint-NL_2016-01-20-tweedekamer-6.u22	However, I think this is the balance. The Minister writes: I have passed on the police's WOB file to the Chamber, and I should not have done so, because I should have made my own assessment. I'm assuming this is true. I'll have to consider how serious that is.
ParlaMint-NL_2016-01-20-tweedekamer-6.u23	The Minister admits that he would not have been able to inform the Chamber on the basis of the WOB, so that we could have become journalists on the basis of the Constitution. On this basis, the obligation to provide information is really a little more extensive. What did the Labour Party think when she printed this out on 12 or 13 October and thought, "Hey, we're getting information here?"
ParlaMint-NL_2016-01-20-tweedekamer-6.u24	I have to be honest, I wouldn't know. Because I didn't see that report at that time.
ParlaMint-NL_2016-01-20-tweedekamer-6.u25	This was published extensively in the media, with photos everywhere. When did it become clear to the Labour Party that this could not be the way of communication?
ParlaMint-NL_2016-01-20-tweedekamer-6.u26	I find it difficult to speculate on this too. One: it only became clear to me recently, namely when I started interfering with this dossier. Two: the moment you get a very black piece, you can't figure out if it's not right. Maybe it was justified. You're wondering, but it could be.
ParlaMint-NL_2016-01-20-tweedekamer-6.u27	Proceed, Mr Recourt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u28	May I ask a supplementary question? When Mr Recourt reads the black piece, he sees that things with headlines such as 'conclusions','recommendations' and 'facts' are blacked out. That certain witness statements are not fully printed, I understand; I think it could have been more, but okay. But when Mr Recourt read that, he thought: huh, fact story all black? Wasn't he like: we need this as soon as possible?
ParlaMint-NL_2016-01-20-tweedekamer-6.u29	I repeat that this discussion when I read it was much further and we already had the report at that time, namely confidential. I agree with Mr Omtzigt that facts do not fall within the public interest. But you're not sure what's underneath; of course that's the whole dilemma. But honour is due: Mr Omtzigt and Mr Sjoerdsma have quite rightly pushed through on this.
ParlaMint-NL_2016-01-20-tweedekamer-6.u30	I would like to ask one last question on this point. Why did my colleague from the PvdA say this came to the Chamber so late? Is that understandable in the consideration of the PvdA, or is it actually, as GroenLinks said in his contribution, far too late? Shouldn't that have been placed in the Lower House much earlier, in all openness?
ParlaMint-NL_2016-01-20-tweedekamer-6.u31	Yes, but you can discuss "in all openness." The Minister himself says that he considers internal administrative advice to be a matter of state interest, so that there would still have been a part of it black. But at least it could have been a whole lot whiter, and also earlier. The lacquered file came in October and it was made confidential in November. That time in between wasn't necessary at all.
ParlaMint-NL_2016-01-20-tweedekamer-6.u32	So the PvdA shares with GroenLinks that the Minister made a rather fundamental mistake, by informing the House of Representatives too late and too briefly?
ParlaMint-NL_2016-01-20-tweedekamer-6.u33	I have already said a few times that I think it was a mistake that the Minister did not look at the dossier himself and did not realise that it was a different review framework from that used by the police in the context of the WOB request. That's the mistake. Mr President, I would like to look at what point I am going to make in my speech, even in view of the time. I would like to make two more general points, which are linked to the case-mate. The first point is that the police investigation concludes that there is no regulation on giving lectures on such sensitive matters and that there is a tension between giving information to share and deepen knowledge on the one hand and the importance of survivors on the other. I assume that the recommendations in the report will be followed on this point. How's that going? What about last April's request for part of the next of kin to stop showing images to third parties during the identification process? As far as I am concerned, this problem is broader than just the tension between education and privacy. Pictures of Theo van Gogh and Pim Fortuyn after they were murdered are also clearly in my mind. In these cases, freedom of news is opposed to the importance of the survivors and to the memory of the deceased. Privacy protection stops when life stops and portrait law offers no protection here. I ask the Minister to find out how we can safeguard this latter interest and strike a good balance with the other interests that have just been mentioned. I also ask him to inform the Chamber by letter. Then I come to my second general point. We must not talk about this if we are to be in a position of conflict when it comes to making documents available to the public. The Chamber may wonder why this should be done in confidence. The Minister can say that this is necessary in view of the state interest, but that we may be able to discuss it in secret. In that case, who has the last word, I wonder. I think that is the Chamber, but the question is how the Chamber can be transparent in that decision. In order to avoid accidents, shouldn't we come up with a procedure to deal with this? Finally. There has been a lecture on the identification of victims of the MH17 where insufficient account has been taken of next of kin. Let us at least be the result of this debate, which will not happen again in the future.
ParlaMint-NL_2016-01-20-tweedekamer-6.u34	Madam President. It is not the first time we have had a difficult debate with the Minister of Security and Justice. This time, the matter of size is the cause. The Minister has made harsh statements about Mr Maat and the college he has given and those statements seem to have been too harsh. I understand the Minister has responded with emotion to the issue of the MH17. Several Members of Parliament have done the same, we must say in all honesty. The Minister undoubtedly had the family members on the retina. For them, the coverage of Professor Maat's college has, of course, been painful. However, this minister could have been expected to do something different as a ruler, especially now that it has been a long-standing issue for months. The Minister therefore rightly apologized to Professor Maat last week. At least as serious is the way in which the Chamber was informed in the period between the Minister's ruling and now. Since that incident, Mr Omtzigt and Mr Sjoerdsma have intimately asked the Minister to share all the information with the Chamber, in particular the police investigation into the issue. In October, we got that investigation, but it was 85% black. It is thanks to Mr Maat who went out with a pencil for satisfaction, that we know what was behind that black paint. A very different picture about the Maat issue, an image that forced the Minister to apologize. I have a number of questions concerning this course of action. Has the cooperation with Professor Maat ended on the instructions of the Minister, as the facts say, or not, as the Minister writes in answers to parliamentary questions? Why did the Minister act before 2 December without knowing the facts? He answered Parliamentary questions, made statements and spoke with Professor Maat, all of which was not fully aware of the facts. How is that possible? How can the Minister maintain that all black-painted pieces of text affect the interest of the State? Colleagues have already asked detailed questions about this which I would like to join. Moreover, the Minister does not recognise that he initially sent a WED document to the Chamber, while the Court has a wider right to information under the obligation to provide information. The Minister shifts the decision on painting to the police, but he is fully responsible for sending such information to the Chamber. In fact, the police have proposed to the minister an accompanying letter in which Professor Maat is not convicted. Eventually, after the Ministry interfered, it became a letter in which Professor Maat is accused. How is that possible? Was the minister himself involved? Did he know about it? Was he aware of the different versions of that letter? The whole process suggests that information has been deliberately withheld to cover the Minister's statements. That suggestion must be removed in today's debate. The question is whether this minister had apologized without Professor Maat and his pencil. Before the debate, we received a memo from September, in which the Minister is advised not to apologize, but to express his views because of 'feelings'. The picture is that the Minister has apologized against will and thanks, because it really could not be otherwise. What does this mean for trust in the government? Now it happened to be a persistent professor, but what does this incident say about the confidence that ordinary citizens, who are less ad brake and assertive, can have in the honesty of the government when it comes to it? This is a bad signal. For the Christian Union Group, it is important that we can assume that the Chamber receives all the information it is entitled to and that citizens are treated fairly. That shouldn't depend on an assertive professor with a pencil and a notepad. That is the confidence we must have in this minister in the course of this debate.
ParlaMint-NL_2016-01-20-tweedekamer-6.u35	Mr. Chairman. Wrong after wrong. Blunder after blunder. Miss after miss. In ten months, Minister van der Steur went through the dust three times. Even his predecessor couldn't do that. As with the Volkertfoto and the Teevendeal, crucial information is withheld in the Maat case. Once again, the ministry blacked out essential passages. The Chamber was silenced in no time. Not the ministry, but the professor and the media made it public. Why did the Minister do everything in his power to keep this matter a secret? Should reputational damage be prevented? Would there have been any excuses if Professor Maat hadn't transferred the report? I would like to receive a response from the Minister. A pattern is emerging in this minister: first a very long period of silence, then apologize and point to mistakes made by his officials and policemen. But a minister who thus shifts his own responsibility is not worth a snipe in the face. It is not for nothing that the voter's confidence in Minister Van der Steur has reached a low point. Of all the rulers, he scores the lowest with a 3.2. That is even lower than his predecessor, Opstelten, just before his resignation. That is a fact that cannot be painted black.
ParlaMint-NL_2016-01-20-tweedekamer-6.u36	Mr. Chairman. Last April...
ParlaMint-NL_2016-01-20-tweedekamer-6.u37	Mr Segers has already interrupted us. Tell me!
ParlaMint-NL_2016-01-20-tweedekamer-6.u38	Certainly, Madam President. It concerns statements in this morning's newspaper on this matter by a colleague of Mr Van Oosten, not as a spokesperson. I would like to know if he spoke on behalf of the VVD Group. Mr. Teeven called Professor Maat a left-wing droopy professor. Was that on behalf of the VVD Group or was that in a personal capacity?
ParlaMint-NL_2016-01-20-tweedekamer-6.u39	I would like to answer: Fred is Fred. If I answer you directly through your chairman, I will say the following. What Mr Teven said yesterday would not have been my words. But what I want to do in my questions to the Minister and in my contribution to the Chamber is to make a bridge to what I understand, namely that at the VVD, and I suppose also to the Minister and indeed to all of us, the interests of the next of kin, the interests of the victims, are constantly at the forefront. That also touches us deeply. That's why people make emotional statements and sometimes they do it a little too fast.
