ParlaMint-NL_2016-09-29-tweedekamer-10.u1	I would like to welcome the Secretary of State for Finance. Speaking time is four minutes.
ParlaMint-NL_2016-09-29-tweedekamer-10.u12	It's never been in there. I want D66 to cut the crap! There's never been anything like that in there. We find each other at the point of the employee discount and a level playing field.
ParlaMint-NL_2016-09-29-tweedekamer-10.u13	The tax on self-employed workers went up at the Labour Party. I don't think there's a word of Spanish in there. My criticism of this law is that, with regard to many entrepreneurs, such as an interim manager who has several clients, we have been engaged in rigorous debates. Just because they're professionals, their client says: you can't be replaced. They seem to be subject to much stricter requirements than those of people who are hired and who are free to be replaced. The real, qualified expert seems to be the victim. I talk to a bunch of clients who don't hire people anymore. What do I want in the program? Everyone's allowed to undertake. You know that the VAR was necessary for many clients to dare, just as many clients now do not dare without a model agreement. Our proposal is: if you are an obvious entrepreneur on the basis of a number of criteria, make sure that it is clear to your client that he never has to withhold premiums for you and will never receive a post-tax. That's clear. Everyone's allowed to undertake. I am glad that Mrs Vos is reading my programme and that she wants to work with me today to find solutions for all those real entrepreneurs who are following this debate and seeing one thing, namely that tens of thousands of contractors are in danger of losing contracts, that many clients are getting shy and that the PvdA and the VVD are only planning to look again on 1 May next year.
ParlaMint-NL_2016-09-29-tweedekamer-10.u14	Anything else you'd like to say, Mrs. Mei Li Vos?
ParlaMint-NL_2016-09-29-tweedekamer-10.u15	I just want to conclude that D66 wants to introduce a middle class diploma.
ParlaMint-NL_2016-09-29-tweedekamer-10.u16	That is not the case at all! We are going to help entrepreneurs instead of taxing them more heavily, which is a hobby of the PvdA. Apparently, Mrs Vos is so panicked and so thought out about solutions to help entrepreneurs, that she is now conducting all kinds of distractions in the debate. I hope that in her own term she will tell us, not what she thinks of my plans, but what her own proposals are to help all those entrepreneurs. You've left it in the cold so far, Mrs. Vos.
ParlaMint-NL_2016-09-29-tweedekamer-10.u17	Mr Van Weyenberg's first words were: better in half than in complete error. That's how I'm in it. Well, then I'm ahead of some interruptions. We have also voted in favour, even under false pretenses. When I see what kind of mess we've gotten ourselves into, I say pull that law. I heard Van Weyenberg say: if the Secretary of State withdraws this law tonight, I'm glad. We can, by a majority in the Chamber, ask the cabinet to withdraw this law today and return to the VAR and send this cabinet back to the drawing table. Mr Van Weyenberg, you are now proposing that 'until 1 January', from the point of view of coulance or for whatever reason, it should be 'until 1 May' and 'Mr Boot' and 'an interim report'. And all this time, all thosezzp'ers are in uncertainty and more and more disappear in welfare. Are you suggesting that now, Mr Van Weyenberg?
ParlaMint-NL_2016-09-29-tweedekamer-10.u18	The problem with this law is that it mainly deletes things. It sounds very attractive to me to suspend the law tomorrow, but then the question is: what then? That VAR wasn't ideal either; let's be honest about that too. There's a law. We voted against it in the Senate. Mr Van Dijck also says that he did not think it was a good idea. I try to make the best of it by making sure that clients now dare to take orders again. I want to do that by being free of post-tax if they are of good will. I think that would make a big difference. I am also trying to make the most of it by making sure that implementation in the Tax Administration is much better on steam and by making sure that we change the law so that real entrepreneurship is taken into account. Through all these different measures together, I hope that we can give back perspective to all those entrepreneurs who are following this debate and who are speaking to clients who are no longer able to do so. That is how I want to help them, because I fully agree with Mr Van Dijck that it is our job as a parliament to help those self-employed people now.
ParlaMint-NL_2016-09-29-tweedekamer-10.u19	We just made a false start, didn't we? Then you're not gonna try to fix this bad law with all kinds of horns and bells and legal changes and this and that, to use Mr. Roemer's words? You shouldn't want that, should you? You just have to say: the trash in it, thanks a lot, we're going back to the VAR! It wasn't ideal, but it was still better and it gave more certainty. So we're going to rethink from that VAR perspective about questions like "how are we going to handle constructions?" And "how are we going to offer certainty?" Isn't that a much better starting point than continuing this mess and trying to get it in the right direction?
ParlaMint-NL_2016-09-29-tweedekamer-10.u20	A brief response, Mr Van Weyenberg.
ParlaMint-NL_2016-09-29-tweedekamer-10.u21	I propose a change to the law. We'll go back to the VAR if we have to. I make a number of proposals to ensure in the very short term that clients are no longer shy. I do not believe that the Secretary of State will see that as a minor change. If he is, I hope he passes them immediately. I think that'll help. I am open to any proposal that helps in this debate. That must be the point today; I believe that Mr Van Dijck and I are in agreement on that point.
ParlaMint-NL_2016-09-29-tweedekamer-10.u22	Mr. Chairman. We have just heard Mr Van Weyenberg. We're going to see a lot of crocodile tears from all Members of Parliament today about the DBA Act. I've got the voting results in front of me. You see green everywhere; that is all the colleagues who voted in favour. You see one red piece; that's the SP, which voted against. The SP was the only party to vote against this law during the treatment. All the other parties voted in favour of this law. I admit that the VAR declaration was an annual circus. This measure could not be maintained, clients were totally protected and the number of false self-employed who were exploited increased.
ParlaMint-NL_2016-09-29-tweedekamer-10.u23	I think Mr Van Vliet is trying to correct something.
ParlaMint-NL_2016-09-29-tweedekamer-10.u24	It's about the vote. I was in favour of that law. I understand that Mr Bashir thinks that everyone here is going to cry crocodile tears, but I do not think he has a crystal ball. So he'll have to wait for my term. He'll be able to hear how I feel about that law.
ParlaMint-NL_2016-09-29-tweedekamer-10.u25	That's what we're gonna hear. At least there is a Member of Parliament who is still very happy with the way things are going, I understand.
ParlaMint-NL_2016-09-29-tweedekamer-10.u26	Please continue.
ParlaMint-NL_2016-09-29-tweedekamer-10.u27	There is a shared responsibility within the DBA Act. That is progress, but it is a very small step in combating exploitation. The reason for our vote against is that this new law does nothing against false self-employment. The law can even legitimise bogus self-employment, because if a contract approved by the Tax Administration is used, it seems to be all right. In fact, nothing is done about the conditions under which you are seen by the Tax Administration as an entrepreneur. Right, that's a missed opportunity. When I look back at how things went, I'm not grieved about our vote against, because we see that real self-employed people are screwed. We see uncertainty among self-employed people who are not hired and who are afraid of not getting back to work. We get signals about discussions with the Tax Administration about model contracts that are not running smoothly and about scared clients who fear post-tax. The Secretary of State doesn't take away our concerns. The figures he mentions in the letter are shocking. Of the 4,700 requests for an assessment of a contract, only 450 have been approved. That is less than 10% of the number of applications. This raises a number of questions. How come such a low percentage is approved? How does the Secretary of State intend to deal with the backlog? When does he think he will have dealt with all the requests that are now there? Why are the conversations running so hard? According to the Secretary of State, the DBA would be more enforceable for the Tax Administration, but I wonder to what extent that is really the case. In addition to the general model agreements and sector-specific agreements, individual agreements may also be submitted to the Tax Administration. Can the Secretary of State indicate how much use is being made of the general, sector-specific and individual agreements? It seems to me that enforcement becomes more difficult when there are so many different similarities. How can enforcement be facilitated? I can't imagine it would be easier if you had a lot of different agreements, but perhaps the Secretary of State could explain that better. Furthermore, the First Chamber was promised that all contracts would be published. Why haven't all the contracts been made public? The payroll contracts seem to be used massively to turn self-employed workers into temporary workers. When is the cabinet going to implement the Hamer motion on equal treatment of working conditions for payroll workers? One of the measures taken by the Secretary of State is the opening of a hotline. I wonder if that's too late, because the law has already entered into force. In a few weeks, there will be a hotline where people can make reports. The question then is what will the Secretary of State do with these reports. When will we get a feedback on that? When will things finally be put right? I'd like a response.
ParlaMint-NL_2016-09-29-tweedekamer-10.u28	I have a factual question. Mr Bashir said four times that the SP was the only one against. What was the voting behaviour of the SP Group in the First Chamber again?
ParlaMint-NL_2016-09-29-tweedekamer-10.u29	If colleagues had followed the SP Group, this bill would not have been discussed at all in the Upper House. Then it would have died here in the Lower House and not on the other side. We have made a political assessment in the House of Representatives and voted against it. In the First Chamber they make their own assessment. The SP Group has indeed voted in favour of this. It has examined whether the present legislative proposal was not contrary to the Constitution or to international treaties. In addition, the Secretary of State had made a number of commitments which led the SP Group to vote in favour. We should have done our job in this Chamber, which is to make a political assessment. That is what we have done and we have voted against it. Other groups have not done so.
ParlaMint-NL_2016-09-29-tweedekamer-10.u30	That is remarkable, because that would have been the ultimate moment to intervene. By the time this bill was in the First Chamber, some signals had already been received that the implementation was not going well. But I do not want us to take each other's measure here, because everyone makes their own decision when it comes to voting. I think it is a little ambiguous that Mr Bashir is so harshly blaming other groups for voting in favour, and he probably couldn't convince his own senate group either.
ParlaMint-NL_2016-09-29-tweedekamer-10.u31	The political relations are as they are. Across the street, they're looking at other things than this side. We did our job. Mrs Schouten's group also voted in favour in the First Chamber. Oh, no, I see this one voted against in the First Chamber. I'm sure she did, but she just voted in favour, because she's not in the First Chamber.
ParlaMint-NL_2016-09-29-tweedekamer-10.u32	I stand here with some hesitation, but Mr Bashir does give a very special picture of history. In the Lower House, the SP considered this law to be too broad forzzp'ers. When it turned out that it was much tighter and stricter forzzp'ers, groups such as the Christian Union, GroenLinks and D66 dropped out. There are SP politicians in the Upper House; Mr Bashir knows that very well. When the SP realized how strict this law was forzzp'ers, Mr Bashir's senators voted for this law with conviction.
ParlaMint-NL_2016-09-29-tweedekamer-10.u33	I believe that they have voted for this with full conviction, but the facts mentioned here by Mr Van Weyenberg are not at issue. I have just examined why the SP Group in the First Chamber voted in favour and it appears that this is due to a number of commitments made by the Secretary of State. He promised, among other things, that all model contracts would be made public, but also that contractors would be expressly informed that they would have the right to submit model contracts to the Tax Administration. Some of these commitments have led the SP Group in the Upper Chamber to vote in favour. In addition, the SP Group in the First Chamber has focused on other aspects, such as conflict with the Constitution and conflict with international treaties. That was not the case. We have made the political decision here, in the House of Representatives. Mr Van Weyenberg then voted in favour. The SP voted against.
ParlaMint-NL_2016-09-29-tweedekamer-10.u34	Sure, I'm not running away from that either. We have come back from that on the basis of the impact. This is the same effect that the SP convinced that it could still support this law. Mr Bashir, of course, contradicts himself a little: first he says that there was no content, but then he mentions a whole set of substantive motions that the SP has brought in and says that the SP was therefore in favour. So this isn't exactly right. Anyway, let's bury that hatchet, Mr Bashir, and just go help thezzp'er.
ParlaMint-NL_2016-09-29-tweedekamer-10.u35	We should have helped thatzzp'er when the bill was on the table. D66 left that behind.
ParlaMint-NL_2016-09-29-tweedekamer-10.u36	Mr. Chairman. We are discussing today the progress of the DBA Act. That is a law that is intended for hundreds of thousands ofzzp'ers, that day in, day out of hard work to get bread on the shelf, who like to acquire assignments and want to know where they stand. In that respect, this law is special. If this law does not work, it may mean that tens of thousands and even hundreds of thousands of people, in the most serious case, are falling sharply in income or have no income at all because they are not getting orders. These are also people who don't have WW insurance. So there's a lot at stake here. A lot. At the speed with which the government tackles this problem, say the slowness, I note that this has not been fully understood. This law could have been good if there was sufficient advance certainty and if false self-employment were to be addressed, but there is no advance certainty. Model contracts are tested far too late and only 8% of them were approved. It was agreed that the model contracts would be made public unless confidentiality was involved. My colleague Bashir just said it. They have not been made public. Only 10% to 20% of the contracts approved are on the website. Where's the other 80%? There should have been an end to the huge discussions. However, this was the beginning of huge discussions, because instead of deregulation, everyone has a separate discussion with the Tax Administration. We do not get an answer to simple questions. On my question "what is a longer duration than usual?', The Secretary of State says: we have a rule of thumb, I'll send it to you. We didn't get that rule of thumb. I don't want a rule of thumb either. I want a policy rule, because a policy rule can give thezzp'er and thus the user legal certainty. This leads to false self-employed. My colleague just mentioned it. For all these difficult ICT assignments and so on, we cannot write a model contract, but we can write it for the parcel delivery companies. That's because we have the idea of personal labor in the law. If you put in your model contract that you don't have to do the work yourself, you can be a vzzp'er. This means that for the simplest work, the delivery of packages or the simplest jobs in a factory, all employees' rights have been removed, as long as the contract states that the person who does not have to carry out his own job and takes care of his own replacement. Will the State Secretary make this stop? It was not the intention of the law to facilitate this form of false self-employment. Does he also want to change the concept of a relationship of authority? That concept dates back to 1907, when industrial relations were really different. Now we're going to measure whether someone brings their own hammer, whether they have to take an assignment, or whether they have to stick to what someone says, for example on a construction site, when the main contractor tells them to do the job between two times. Yes, of course. An in-depth question: how manyzzp'ers does the Tax Administration currently have at work? How long do they work on average and under what model contracts? We know that the tax authorities have often struggled to comply with their own laws. The real problem is that the relationship between employer and employee is made unattractive. The employer must pay two years' wages. The Wwz doesn't work; even the Prime Minister says so. Taxation makes a difference. When is the government going to implement the ibozzp and appreciate that employers get employees? Now everyone gets chased away as azzp'er, to end up on the payroll. That's what neither the PvdA nor the VVD wanted. We ask the government to resolve everything before 1 January. A hard deadline, because the assignments will start on May 1st. In addition, we ask the government not to place the hotline with the Tax Administration, but with the committee. If you have to report to the Tax Office with your own bsn what your problem is, no one is reporting, because it is precisely the people who have a problem and do not know whether they comply with the law. Do you want to report that to your bsn on a new form? It'll take a month to set up that hotline. Come on! That committee is due to submit an interim report before 1 November, as Mr Van Weyenberg said. Can the government solve the problems, or does it leave the hardworkingzzp'ers in the cold?
ParlaMint-NL_2016-09-29-tweedekamer-10.u37	Mr. Chairman. Today we are talking about the Law on Deregulation Assessment of Industrial Relations, the Law on DBA. Deregulation, less red tape. I now have a model agreement in my hands, picked from the Tax Office site, and that's eight A4's. I myself as an entrepreneur also acted as a client for ZPs and I would scratch my ear three times if I saw this coming by. I understand perfectly well that others do, too. The VVD stands up for this group of independent professionals; that's what I call these people. They're independent professionals. They are enterprising people; they do not need red tape. The concept of "zzp" is gradually beginning to get a pathetic aftertaste. Stop it! Just independent professionals, ZPs. In recent years, especially in the crisis period, the ZPs have had a very strong say. A shortage of contracts, equity and sometimes even assistance. Zp'ers aren't a problem, they're a solution. There are parties who want to force them into the employee's straitjacket and they do not want to do so themselves. Therefore, it is necessary to clarify all those enterprising ZPs who risk losing assignments because clients are afraid to be applied afterwards for premiums with a fine on top of that. This is without prejudice to the need to address inappropriate use. In recent months, the spokesmen were overwhelmed with mails from ZP's, but also from clients. The adoption of model contracts was difficult and it would take far too long for the Tax Administration to reach a decision. In the Secretary of State's progress letter, we see that he, too, realises that there is a need for clarity. The VVD Group has the following questions to the Secretary of State. The Secretary of State writes that a cooperative attitude will be shown from the Tax Administration when drawing up the model contracts. That sounds good, but does it feel that way? Has the Secretary of State provided the appropriate instruments to the Tax Office for this purpose? Can it ultimately be arbitrary, or do the employees all have the same line? My group understands that a manual DBA is being used within the Tax Administration and would like to know if this manual is sufficient. In our view, should this rigid guide no longer be brought into line with labour law case law? I'd like a response from the Secretary of State. In the above manual DBA one assumes the components of labor, wages and authority. A mathematical approach, it seems. Can the definition of authority be adapted to make it more workable for the Tax Administration so that a model contract can be approved more quickly? What is happening in the situation where hours, duration agreements and hourly rates already clarify immediately that they are self-employed? Then we're not going to make things unnecessarily difficult for the ZP, are we? I'd like a response. Within the existing legislation, it has been possible for years that clients may request a decision from the tax inspector in order to obtain prior clarity. To what extent has this been used in previous years? Does the Secretary of State believe that this method will be used earlier than the model agreements proposed now? There's something else about the hotline. Is that just a hotline where Jan and alleman can report anything? Is the Secretary of State prepared to invite the branches directly if the reports show any problems? The VVD thinks there should be a shovel on top of that. Now for the explanation of the debate on the General Political Reviews. There are rightly no fines for the good guys. But what exactly are "good-willed" and "wrong-willed"? For example, are the broadcasters malicious or should they be regarded as benevolent because they are still in conversation? And is it just the non-imposition of fines or also possible premium post-taxation? Is that what the Secretary of State meant? I'd like to hear from him how he points this out. Finally. Our group wants clarity quickly. Previous information said that the Boot Committee will give an assessment of the model contracts. Our group would like to make this clear before Christmas. Can the Secretary of State undertake that that assessment will be at the Chamber for Christmas, along with a cabinet response? During that period can the Secretary of State give an interim opinion on the conclusions that can be drawn from the notifications to the hotline? It would be a good time to take an advance on the follow-up. Our group leader has said it many times: the law is not an end in itself and has to work; and if this law is not going to work, then we must come up with something else. Entrepreneurialzzp'ers and clients should never suffer from unclear rules. I'd like to hear from the Secretary of State what path he sees in front of him.
ParlaMint-NL_2016-09-29-tweedekamer-10.u38	I have a bit of a question about what actually happened between today and two or three weeks ago, when the VVD group chairman said that it was chaos and we heard that we had to get back to the VAR if necessary. You make a number of suggestions and you ask a lot of open questions. What happened to that tone of voice? I now hear that this law is finally given time until 1 May. So I heard your group chairman say something else. What happened at the VVD in the meantime? Why did you change your tone so much?
ParlaMint-NL_2016-09-29-tweedekamer-10.u39	It is very strange that Mr Van Weyenberg accuses me of changing my tone. I think we should remember that in the General Political Reviews we heard the leader of the D66 Group, even in the debate with our group chairman, Mr Zijlstra. He also felt that the good guys should not suffer. I believe that both groups found each other in that debate at the time. It is therefore strange that Mr Van Weyenberg should refer to that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u40	That was the rehearsed answer. I would like an answer to my question. My question was, what happened? I've heard big words like "chaos," and that law had to go back to the drawing board. I didn't hear you propose one change of law. Are you swallowing it all under pressure from the Labour Party? Is that the conclusion I'm afraid I have to draw? "Unfortunately" because I very much like to have the VVD as an ally in the file for independent entrepreneurs.
ParlaMint-NL_2016-09-29-tweedekamer-10.u41	It will be clear to Mr Van Weyenberg that I never study answers. Maybe that's his habit, but something like that goes against my own habit. I'll answer his question. In fact, after last week's debate on the General Political Reviews, a letter came from the Secretary of State. Before that letter appeared, the tone of the debate was indeed different, but at that time that tone was broad. But then that letter came and in that letter many answers were given. It is clear that you will then take those answers to the follow-up debate.
ParlaMint-NL_2016-09-29-tweedekamer-10.u42	So there's a letter. Well, allzzp'ers will sleep now. I can only draw one conclusion: the VVD seems to be okay with its VVD Secretary of State PvdA policy, which is being affected by the self-employed. But Mr Ziengs has another chance: he will be able to vote in favour of our motions to change the law. He can therefore vote in favour of D66's motions, which immediately ensure that clients of good will do not receive a post-tax. Mr Ziengs will therefore have a second chance.
ParlaMint-NL_2016-09-29-tweedekamer-10.u43	Thank you very much, Mr. Van Weyenberg, for this second chance.
ParlaMint-NL_2016-09-29-tweedekamer-10.u44	What were the VVD's commitments in the letter that changed the tone? What were the commitments in the letter from Secretary of State Wiebes........................................................................................................................................................................................................................................................
ParlaMint-NL_2016-09-29-tweedekamer-10.u45	Firstly, in the letter, the Secretary of State finally recognises that there is a problem. In the past we got the impression that what was going on wasn't on the retina. In any case, the letter shows that the Secretary of State now endorses what is always expressed in the e-mails we receive. Secondly, the Secretary of State has made a commitment on the imposition of fines. He simply states that he will not impose any fines at that time and will ensure that it is settled first. Thirdly, he has put forward proposals to find solutions to the complaints of vp'ers. I am thinking, for example, of the hotline. That's three points. I think I have met the question.
ParlaMint-NL_2016-09-29-tweedekamer-10.u46	It is interesting that a hotline is thought to solve the problems. The VVD said first, I quote the group chairman: if they are not resolved in the short term, then the law should be deleted. At what time should the problems be resolved in concrete terms according to the VVD? Is that for Christmas? After all, you asked for a report for Christmas. How do you define the solution of the problems? Does that mean there won't be any more letters fromzzp'ers? Does that mean that orders must be retained? What exactly is the definition of the solution to the problems?
ParlaMint-NL_2016-09-29-tweedekamer-10.u47	It's too easy to say that you're just breaking or breaking a law, because then you're creating even more uncertainty. Every time we see the VAR being the solution, we all know that we have been bombarded byzzp organisations in recent years with the request to abolish the VAR. In fact, the DBA Act came into being in consultation with all these organisations. For that reason many parties thought: it comes from the industry itself, so it will be good. However, it did not work out well in the course of its work. Mr Omtzigt has asked when to act. I already indicated that in my contribution. The VVD Group believes that, at least before Christmas, the Boot Committee should be clear, with a cabinet response. We also want the results of the hotline. That is the time to see how big the problem really is and to see if we are going into a path to think of something else. Mr Omtzig quotes my group chairman, but I think he does so with his own interpretation. My group chairman has always said: we are going to see what happens. The law is not a purpose, it's a means. If the drug doesn't work, maybe you should find another solution. In the end, the goal is that the ZPs continue to receive orders.
ParlaMint-NL_2016-09-29-tweedekamer-10.u48	I note that the chairman of the group of the VVD, who is afraid to be here today, is saying that it is necessary to remove that maleized DBA, and that the spokesperson of the VVD is now saying that it is not a goal to delete that law. Then I know exactly what the outcome will be. Unfortunately, that doesn't helpzzp'ers. They are helped when things are published in concrete form and when the word game is stopped about whether there is a problem or not. They will be helped with the solutions that have just been put forward by the three opposition parties.
ParlaMint-NL_2016-09-29-tweedekamer-10.u49	The tone of Mr Ziesgs must show that he stands for the independent entrepreneur, but the effect is that the VVD is satisfied when the implementation problems of the law are solved; then it is ready. Is it not true, however, that the basis of these implementation problems lies in the law? It is not just in the organisation of the Tax Administration, but it is at the heart of the law. As a result, these implementation problems have arisen: because there are uncertainties about the assessment of a model contract and about what authority is or is not. Is the substance of the problem not in fact in the law? Shouldn't you amend that law instead of looking, as you are doing now, at some implementation problems?
ParlaMint-NL_2016-09-29-tweedekamer-10.u50	What's your question?
ParlaMint-NL_2016-09-29-tweedekamer-10.u51	I have just explained it and Mr Ziengs can read the stenogram, but I ask him if it is not much more important to amend the law if he thinks that it is just implementation problems. After all, we will no longer have these implementation problems. The effect is a consequence of the law.
ParlaMint-NL_2016-09-29-tweedekamer-10.u52	I don't think I used the word "execution problems." I didn't trivialize it. In fact, on the basis of the hotline, we are trying to see how big the problem really is. However, if you want to change a law, you end up in a completely different path. That would mean that, as Mr Klein says, you end up in a route where there is much more uncertainty for the clients or contractors. That is why we want to map out what it is about when we can adjust, for example in January or February, in order to make it work. If that is not possible, as our group chairman has said, and such a law is not an end but only a means, then we must look at another solution.
ParlaMint-NL_2016-09-29-tweedekamer-10.u53	First of all, my mailbox is full of letters. Now to say that you only know if there is a problem at the time the hotline is going to work, I find it very weak. Moreover, it is actually much easier, because we have already agreed that there will be no enforcement. If it is not enforced, it goes on quietly and we have all the time to change the law and make amends.
ParlaMint-NL_2016-09-29-tweedekamer-10.u54	And your question?
