ParlaMint-NL_2016-09-08-tweedekamer-7.u1	I would once again like to welcome the Minister for Health, Welfare and Sport.
ParlaMint-NL_2016-09-08-tweedekamer-7.u12	Mrs Leijten is right to be concerned about professional secrecy. This concern is shared by Parliament and we have all expressed it in the preliminary discussions and in the reports, but Mrs Leijten is now talking very black and white about abolishing professional secrecy. That's pretty big when you see what's actually going to be regulated in the law. It will be a step-by-step plan and all kinds of safeguards will be built in. I will also mention in my speech later that I have questions about this. But if there is deliberate fraud within a solidarity-based care system, what can we do, according to the SP, if we can never get to information about that actual fraud, about acts that have not been done but have been declared?
ParlaMint-NL_2016-09-08-tweedekamer-7.u13	I just mentioned two options. The first option is that if there are serious suspicions, the investigation services and the prosecution, which can actually start criminal proceedings, go along with it to seize. It is possible that medical data may be accessed, but there is a criminal basis for this. That's different from when a commercial party does. The second option is that it can be completely anonymized. You could imagine that there would be inspection by, for example, an independent doctor. The Minister himself has let us know that she wants to investigate that route. For example, that independent doctor can determine on the basis of the file that something did not happen. There is no need to know that Mrs Volp is involved. But it's necessary to find out if a doctor says he did something, when he didn't. However, information linked to a person does not have to end up with the health insurers. If you allow that, you will break medical professional secrecy on a very serious basis, because even if it is only step 11, if the health insurance provider wants it, that step will be taken. The road map, which I shall come back to in a moment, has very unclear boundaries. It's not clear when you're going to take the next step. I am sure Mrs Volp will be concerned about that too.
ParlaMint-NL_2016-09-08-tweedekamer-7.u14	I share that concern with Mrs Leijten and I will also ask the Minister to explain it. We do need that clarity in order to be able to judge this law on its merits. Mrs Leijten says, as I share with her, that health insurers are not about the detection of fraud, but about the alerting of fraud.
ParlaMint-NL_2016-09-08-tweedekamer-7.u15	Sure.
ParlaMint-NL_2016-09-08-tweedekamer-7.u16	She says that other procedures should therefore be followed, such as a seizure investigation. But the professional secrecy that Mrs Leijten attaches so much to will also be broken at that time, won't it? After all, a specific patient's file is being looked at. Here too, we can build in the necessary safeguards, but that does not really provide a solution to what can be arranged here, including the guarantees that we both still have questions about.
ParlaMint-NL_2016-09-08-tweedekamer-7.u17	But the government does that on the basis of real suspicions. The data are sent to the government for detection purposes, not to a commercial party such as the health insurance company. This proposal, which supports serious signals, is a response to discussions with health insurers, such as DSW, which does a lot of fraud detection. The chairman of DSW says he doesn't need to know if it's resident A or insured B. He is concerned with a referral letter, because that is often the first signal, and with the question of whether each patient is doing exactly the same and the most expensive in a particular practice. The President says that if he is supported by investigators who can confiscate evidence, he doesn't have to collect endless evidence himself, at the risk of the perpetrator fleeing or never getting anything, because the money is already gone. We can then proceed with criminal proceedings immediately. I think we'll hit two birds with one stone.
ParlaMint-NL_2016-09-08-tweedekamer-7.u18	Finally, Mrs Volp.
ParlaMint-NL_2016-09-08-tweedekamer-7.u19	A health insurance company should first of all ensure that good quality care is provided at a good price and that everyone can make legitimate use of it. That's what the health insurance company has to do. Mr Oomen van DSW has a large fraud department. That department indicates whether there are things other than average and whether the proper procedures have been followed. It seems fine to me that he very often does not need the personal data, but if he does not get out and there is very complicated and serious fraud, for which this roadmap will provide guarantees...
ParlaMint-NL_2016-09-08-tweedekamer-7.u20	We hope so.
ParlaMint-NL_2016-09-08-tweedekamer-7.u21	Yes, I do have that question. And if there is to be a test, which I also have questions about, as an ultimum remedium, you should consider the option of linking that data, so that you can then, for example, start a criminal investigation or trial.
ParlaMint-NL_2016-09-08-tweedekamer-7.u22	That is an ultimatum remedium, which already exists. If there is a serious suspicion of fraud or other criminal offences, a health care provider or care provider may already be invaded. Data can be viewed. But that is different from offering this opportunity to health insurance companies, because they are commercial and private parties. If this is in the hands of public authorities that investigate and prosecute, it is not only more effective, but also safer. That is the point of principle. But the fact that medical confidentiality can be broken as an ultimatum remedium for detection is, in my view, already the same. I just don't want to put it in the hands of the health insurance companies.
ParlaMint-NL_2016-09-08-tweedekamer-7.u23	I think Mrs Leijten makes some important statements by describing it as an ultimatum remedium. That's how I see it. You need to look at it carefully. She indicated that she had a conversation with health insurance companies. Apparently, these conversations did not reveal the role of medical advisers within health insurance companies. Is Mrs Leijten aware of this position and is she not simply subject to medical professional secrecy?
ParlaMint-NL_2016-09-08-tweedekamer-7.u24	Yeah, that's right, and I know that position. I just think that a commercial party such as an insurer should not be given this power. I will go into this in detail. I have just mentioned the risk of risk selection, but there are more dangers. They already have a lot of signaling and tracking to do, but they cannot show the Minister how many fraud detectives they employ. That's curious, isn't it? I'll get to that. You can settle it that way in the law, but it's not supposed to be there.
ParlaMint-NL_2016-09-08-tweedekamer-7.u25	Mrs Leijten spoke to the health insurers. Where does it conclude that a medical adviser has an interest in returning the name of the person concerned to the health insurance provider if the medical adviser has gone to the health care provider and examined the files in relevant parts?
ParlaMint-NL_2016-09-08-tweedekamer-7.u26	There could be a lot of reasons for that. It can't happen. But the fact that it can be a risk. That is still separate from the possible safeguards of legal protection that you have when a government agency raids. You can still appeal that, but a health insurance company is civil. That makes it a lot more complicated. So I want to make it more effective by putting it in the hands of investigative authorities so that it can always be removed from administrative and criminal law. In that case, relevant information can also be seized for the purposes of detection and satisfaction. I think we'll be doing much more effectively.
ParlaMint-NL_2016-09-08-tweedekamer-7.u27	I am still curious about the general position of the Socialist Party. Does this apply in principle to all forms of insurance? And does the SP therefore consider that in the Netherlands damage insurers are no longer allowed to check whether sunglasses have been declared correctly during the summer?
ParlaMint-NL_2016-09-08-tweedekamer-7.u28	Sunglasses are something other than need treatment because of psychological or somatic problems. If Mr De Lange wipes that up, that says a lot about the VVD.
ParlaMint-NL_2016-09-08-tweedekamer-7.u29	In Mrs Leijten's reasoning, I often hear the word 'effectiveness' come back. How does she see that argument about effectiveness in relation to the opportunity principle of the Public Prosecutor's Office?
ParlaMint-NL_2016-09-08-tweedekamer-7.u30	It is about a great social interest, namely that care money is well spent. Where there is fraud, however much or no matter how little, there must be satisfaction for society. It also needs to be resolved quickly. The chairman of DSW explained it to me. Here's what he said. Suppose I signal something and the payment stopped. If I can't guarantee that the money will be well spent, I'm not worth a snipe if I let that payment go through. But then I won't be able to get any more evidence, because someone's claims will be dropped. The moment I continue to pay for declarations where I have the serious suspicion of fraud to obtain evidence, I may have to do so for a year or two years. Both cases are not effective, not even when it comes to the principle of opportunity. If he's operating fast, there's a risk that the BOLO won't work. If he doesn't operate quickly, there's a risk we'll lose too much money. I thought that made sense. He gave several examples of this. We'll just need investigative services that say, okay, we'll get a signal from a health insurance company, put that by our bar and go on the road. Perhaps there is the big problem at the moment, namely that there is too little capacity, affinity or attention to these serious social issues, because it is care money and it is also criminal.
ParlaMint-NL_2016-09-08-tweedekamer-7.u31	Certain cases and infringements are now being dealt with in civil law. Health insurers do that themselves. Cases of great social interest go to the Public Prosecutor's Office, which often causes prosecution. When all the cases go to the Public Prosecutor's Office, that does not mean, of course, that all these cases will be prosecuted on the basis of the principle of opportunity. So people who have committed a minor offense would just get away with it. But that can't be the case, can it? Fraud still needs to be punished, don't it?
ParlaMint-NL_2016-09-08-tweedekamer-7.u32	Sure. Lost your fee in fraud is the first thing. The health insurance companies can do the same now. They can go after it under civil law and hope they get the money back. But if someone does it knowingly and knowingly, he harms patients and violates his own oath, then I think there should actually be criminal prosecution. That decision lies with the D.A., but he can discuss with the SZW or the FIOD who picks it up. We know that they are on the table with each other in the context of the Task Force on Integrity Healthcare Sector. By the way, not one case has gone to the FIOD in the past year. Well, that's a good thing to think about.
ParlaMint-NL_2016-09-08-tweedekamer-7.u33	That also makes it clear that if you put everything at the state's attorney's office later, there's a pretty good chance that not all cases will be prosecuted. The CDA wants something to happen when fraud is committed. Mrs Leijten points out that some of the matters will have to remain with the health insurance provider, but as I hear the PvdA say, the medical record will still be looked at in the extreme. How is that going to work if Mrs Leijten says that the health insurance company is no longer allowed to look into the medical file, but at the same time the Public Prosecutor's Office is not going to track down every fraud case? People get away with it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u34	Then it's the same as now, Mrs. Bruins Slot. Then the payment will be stopped. The health insurance company delivers it and then it's up to the task force to see how he's gonna act. If we consider that to be too thin, we will ensure that there is more capacity. In fact, we have asked for this more often in common. The health insurance companies indicate it anyway: 485 million false declarations, 11 of which are fraud. We cannot really find what happened to it in the Task Force report, but unfortunately I have not heard any major issues in the news. The FIOD has taken a zero approach, we read in the report. Of course, that's where the problem lies.
ParlaMint-NL_2016-09-08-tweedekamer-7.u35	SP and CDA share the objective: to tackle fraud. But I hear Mrs Leijten now saying that health insurance companies should forward fraud cases. They will not be able to see that in all cases.
ParlaMint-NL_2016-09-08-tweedekamer-7.u36	They will not be able to see what in all cases?
ParlaMint-NL_2016-09-08-tweedekamer-7.u37	They will not in all cases be able to make up for the fact that they no longer have access to the medical file if the SP plan continues.
ParlaMint-NL_2016-09-08-tweedekamer-7.u38	Then they put it in the hands of a government agency. They don't have that either, and they can now detect and prove it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u39	Please continue.
ParlaMint-NL_2016-09-08-tweedekamer-7.u40	Article 8 of the European Convention on Human Rights states that everyone has the right to respect for his or her private life. In accordance with the second paragraph of this Article, restrictions must be provided for by law, restrictions must serve an interest mentioned in a law and must, finally, be necessary for democratic society. The latter implies that the restriction provides for an urgent social need and that the measure is appropriate to realise the importance to be served. If all this is in order, there is subsidiarity and proportionality. Now the bill contains a number of restrictions on Article 8. The third is the extension of the provision of personal data by the healthcare provider to health insurers. In particular, this restriction has far-reaching consequences for private life. Is it an urgent need for society? Does the interruption lead to the realization of the importance to be served? Ergo, does it meet the requirements of subsidiarity and proportionality? There are less radical solutions possible; I have already mentioned one. But what is the Minister's response to the possibility that an independent doctor may have access to a medical file after which the potentially relevant data for detection will be further processed anonymously? The Minister wants to examine this possibility, because she also does not want to break medical confidentiality. Why don't we wait for that? Last week, Zorgverzekerings Nederland announced that a total amount of €11.1 million of fraud was detected in 2015. Of the billions previously estimated, nothing seems to be right. It's a percentage of 0.015. Is it then proportionate to abolish medical professional secrecy for everyone? Given the likely extent of the care fraud and the possibility already available to health insurers together with investigating bodies, I conclude that this bill is contrary to the ECHR. Late last night we received a letter from the Minister about a report by the Dutch Patient Federation following a report on privacy. The Minister lets us know some results and she stresses that as many as 62% of people think it's okay to have control, of course, I understand that and that they understand that insurers need certain data for that control. I think it's understandable, too. However, the Minister's reaction does not indicate that the report shows that 83% of people are not or are only a little aware of their rights to privacy in healthcare. We are talking about participants, 89% of whom are over 50 years of age, 84% have one or more chronic diseases and 87% have secondary or higher theoretical training. These are people who might know, but eight out of ten don't know about privacy in care. Why do I think it is so important to emphasise that this is about protecting medical professional secrecy? Earlier, this minister tried to abolish the free choice of doctors, one of the other key values in healthcare. That was blocked in 2014 by the Upper House. Today, another core value is at stake: medical professional secrecy. Let us not tell ourselves that we are talking about less today. In replying to the questions I asked with many colleagues, the Minister does pretend that it is a small step, but something else is evident from internal documents. Following repeated pressure from my group, the Minister sent the reports of the Health Sector Task Force to the Chamber. Despite more than half of them being blackened, the year of transparency is over.I read the following sentence in a report dated 29 February 2014: "The NZa briefly explains the investigation and the main recommendations, including the need to break up medical professional secrecy and adapt Article 13 of the Health Insurance Act, free choice of doctors and medical professional secrecy." Can the Minister send the investigation the NZa points out to the Chamber? The research is briefly explained, but then it turns black again. I don't know what private views of officials are there, but I'd like to see that investigation. Apparently, that wasn't secret, because it wasn't blacked out. I think it's good to read that.
ParlaMint-NL_2016-09-08-tweedekamer-7.u41	I hear just about the other sentence of Mrs Leijten that this bill is breaking medical confidentiality. One is not at all true at all, and the second is that health insurers can already look at patient files in certain cases. Is Mrs Leijten aware of this?
ParlaMint-NL_2016-09-08-tweedekamer-7.u42	Sure. As far as I'm concerned, neither should I.
ParlaMint-NL_2016-09-08-tweedekamer-7.u43	I have never heard you fulminate against the fact that health insurance companies can carry out checks after going through a whole step-by-step plan. Only in step 9 can they look into a file, with all kinds of safeguards. We've been able to do that for a long time. I've never heard Mrs Leijten say anything about that. The only thing this bill does is align the refund policies with the natural policies. Mrs Leijten can't object to that, can she?
ParlaMint-NL_2016-09-08-tweedekamer-7.u44	I would say: look into the parliamentary questions in which healthcare insurers exercise material and substantive control over general practitioners because they would have too often driven visitors to patients at a terminal stage. There are a number of times when I have asked for attention to be paid to this. Perhaps that did not happen, but I do not think it is so logical at all that this should happen.
ParlaMint-NL_2016-09-08-tweedekamer-7.u45	Finally, Mrs Klever.
ParlaMint-NL_2016-09-08-tweedekamer-7.u46	I don't understand. Mrs Leijten has the highest word in a debate on fraud because there is so much fraud, because it needs to be dealt with, and you name it. Now the Minister makes it possible for health insurers to better detect and tackle fraud, but now Mrs Leijten has the highest word again because that is not good either. What does Mrs Leijten want? Does Mrs Leijten simply want health insurance companies to pay blindly all the claims?
ParlaMint-NL_2016-09-08-tweedekamer-7.u47	I would prefer to see health insurers replaced by a national health fund, but that is another debate. I would like to see us putting an end to all these declarations, but that is also another debate. I don't think it's necessary to take this step. That's what I'm talking about here. That is why I have tabled an amendment, and Mrs Klever has seen it. We disagree on this point. Not about the need to detect fraud; of course this must be done. However, I believe that this is a task for the government. It seems to me very foolish to put that in the hands of commercial parties. I am surprised that the PVV agrees. Health insurers may have a financial interest in accessing the medical records of insured persons, but they do not really have that in the fight against fraud. Fraud costs more than it produces, and therefore health insurers do not do so wholeheartedly. In the explanatory memorandum to this law, we read that the Minister also notes this. Disease insurance companies do not appear to have sufficient control. This bill doesn't change that. There is no incentive, then, to use that word in The Hague, for health insurance companies to tackle fraud because it costs them money on balance and because the contributor pays anyway. This is also apparent from the figures. Annually check health insurance companies......................................................................................................................................................... Prior to that, the health insurance companies employed no more than 80 fraud fighters in 2013. So these are 12.5 million declarations per fraud fighter. On the question of whether the number of fraud victims is increasing or decreasing in the health insurance sector, the Minister cannot answer because from 2013 onwards, the number of FTEs can no longer be identified because each health insurance company organises fraud control in its own way. On Tuesday evening we received the report from the Health Fraud Collection Centre, at our request, as I have just referred to it. That is the collection point of the NZa and that reporting concerns 2015, so last year. This shows that the number of signs of fraud is decreasing to 428 but also that they come only in 65 cases from health insurers. Of a total of 13 million insured persons and 1 billion declaration rules, 65 have received signals from the health insurance provider. Is this now the serious investigative task of the health insurers, I ask the Minister? Does she really think that such a thing as access to medical data linked to personal data is proportionate to the disease? The Minister pretends that only in the most extreme cases the medical record is being examined. In order to strengthen this, it is proposing a step-by-step plan of eleven control steps. Only in the final steps is there to see the medical record. An ultimum remedium. That has already been mentioned. However, what does the assessment of the Personal Data Authority show? The dividing line between the different steps is butter soft. It is not clear when a control target has been achieved in one step or not before moving to another. That's up to the health care provider himself. If the health insurance company wants all the data on the table, that's what happens. There is also a double point in the Minister's reasoning on the scale at which she says medical data will be understood. On the one hand, she says: this will not happen massively. For example, it points to the fact that health insurers see about 1,500 dossiers on an annual basis. On the other hand, according to the Minister, there is no beginning to request prior authorisation from insured persons. At first it did not want to inform afterwards, but in the meantime it has embraced a proposal to this effect. Are 2,500 letters delivered, Mr/Miss, in the context of fraud investigation we would like to see your data, can you give permission, kind regards, your health insurance company really have so much red tape on it, out of a total of 13 million contributors? There are two other issues in this debate. Previously, the Board of Appeal for Business found that the importance of health insurers in the availability of diagnostic information does not outweigh the concerns from the patient's perspective, treatment and professional secrecy of the treatment provider. In line with this, I believe that we should no longer provide diagnostic information on the insured person in the declarations. That is undesirable and unnecessary. I have tabled an amendment to this effect. Let there be no misunderstanding, I say to Mrs Klever. Fraud is a financial crime and must be detected and punished. Criminality Even organised crime is undermining people's confidence in health care and society. But isn't it better to avoid fraud where you can? The current system of payment per operation encourages fraud. In fact, it is often impossible to even determine whether there is fraud at all. I refer to a recent study in mental health care. Is the government prepared to abolish the payment per operation through the very complex declaration system? Is this complex declaration system not the reason why for years the annual accounts of hospitals and ggz institutions have been barely verifiable and sometimes not approved by the accountant? In addition, we also see something else. There is a whole army of people who have been able to advise healthcare providers to make optimal declarations. I don't have to tell the Minister this because we've been talking about this for years. Despite the amount of consultants and consultancy firms active in this field at the moment, the Minister does not consider that this need to be mapped out at all. She's not interested in it. How much advisory work is now being done in the care of ultimately focusing on the maximum possible declaration, just within the limits of the law, but actually a little beyond the limits of morality? Does this army lead to consultants who are constantly working to bring upcoding, maximum declaration and smart declaration to the man everywhere, not also to fraud within themselves? Why doesn't the government do anything about this? It should be clear that medical professional secrecy does not need to be broken for fraud detection purposes. It forms the basis for the patient's trust or cared for in his or her carer. This medical confidentiality is enshrined in the Medical Treatment Agreement Act. In the detection of care fraud, the health insurance companies, the NZa, the Public Prosecutor's Office, the FIOD and the Inspectorate SZW all play a very important role; health insurance companies play a very important role in identifying us. As far as we are concerned, the public authorities, the investigative bodies, then go into the repressive sphere: fines, measures and criminal law. Signaling is therefore an important task, but I am not convinced that access to medical data is necessary to combat fraud effectively. The current resources are far from exhausted. Simplifying funding can significantly reduce upcoding and maximum declaration. The establishment of financing may make the system less susceptible to fraud. There are sufficient resources to take good steps to tackle fraud at source and to detect it afterwards. Medical confidentiality and access to patient files are disproportionate. That is why I have tabled two amendments to this point. 5 and 6. In the meantime it has become a different song, because a technical improvement was needed, thanks to the Ministry. But let us be clear that we will always continue to debate the issue of care fraud, false declarations and maximum declarations, but we will propose the right instruments and not the fraud of medical professional secrecy.
ParlaMint-NL_2016-09-08-tweedekamer-7.u48	Thank you. And it was amendment No. 6. That has been amended in Amendment No 1 to the motion for a resolution. 20. I now give the floor to Mrs Bruins Slot on behalf of the CDA.
