ParlaMint-NL_2016-04-28-tweedekamer-8.u1	I give the floor to the first speaker, Mr Jasper van Dijk.
ParlaMint-NL_2016-04-28-tweedekamer-8.u12	On these kinds of motions, the government and the coalition groups always say you're too early. And when the law is there, they say you're late. Something in between is never the case. However, this is the crucial moment, precisely because it still needs to be dealt with in the European Parliament and there is still a Trade Council. Then the Minister can do something. If the VVD lets this go, she's just gonna put agriculture out of play.
ParlaMint-NL_2016-04-28-tweedekamer-8.u13	This is a nice attempt by Mr Dijkgraaf, but the only one who has put agriculture out of play over the past period is the SGP itself by not acting fast enough.
ParlaMint-NL_2016-04-28-tweedekamer-8.u14	Mr. Chairman. I hope that Mr Teeven will at least look favourably at the motions that are still being tabled after his contribution. The PvdA Group is co-author of Mr Grashoff's motion. I am only here as the voice of my colleague Jan Vos, who has done the general consultation. I'd like to file three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that the EU as the spiritual father of the Investment Court System (ICS) has achieved significant improvements in investment protection compared to the previous Investment State Dispute Settlement (ISDS) mechanism;]] [[calls on the Government to include in the negotiations the suggestions made by the ESC in its recent opinion on the TTIP Free Trade Agreement for further improvement of the ICS,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Servaes and Mr Jan Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1622]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u15	This motion is also in response to the ESC report. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that core labour standards as described by the International Labour Organisation and internationally recognised environmental standards should be protected at least at an equivalent level as investment in trade agreements;]] [[calls on the Government to engage in a binding dispute resolution mechanism, including sanctions and direct access for social partners and NGOs, within the trade agreements to be concluded, to ensure compliance with sustainability chapters, core labour standards and environmental standards,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the EU should retain full control over the establishment of new requirements for products within its internal market;]] [[Considering that this control is likely to be undermined by regulatory cooperation boards (MBAs) to be established in free trade agreements currently primarily negotiated by the European Commission;]] [[calls on the Government to make every effort, within ongoing negotiations on free trade agreements, to maximise the influence and involvement of the social partners in the regulatory cooperation boards to be established,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Servaes and Mr Jan Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1623]] [[This motion was tabled by Mr Servaes and Mr Jan Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11510-02-1624]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u16	17 motions have been tabled. As you know, the Foreign Minister is today a sort of observer of the Minister for Foreign Trade and Development Cooperation. That is why I propose that he be given sufficient time to make a proper assessment of the motions.
ParlaMint-NL_2016-04-28-tweedekamer-8.u17	Mr. Chairman. I would like to thank Members for the motions that have been tabled and the questions that have been put. I'd like to start with the motions. The two questions that have been raised will be dealt with in this context. In the Jasper van Dijk motion c.s. in piece No. 1608 the government is invited to take a position in the Council against provisional entry into force of (parts of) CETA as long as national parliaments have not ruled on it. I'd like to discourage this motion. In the government's view, CETA is a good agreement and could therefore enter into force for the time being. I understand the concerns. I would therefore like to see this motion in relation to the motion in part No. President. - I call the Group of the European People's Party (Christian-Democratic Group). I will make a comment on this later in my speech. I find the motion in part No. 1609 by Mr Jasper van Dijk and others A sympathetic motion in itself, but I do need to know exactly what is meant in the motion. We do not want these standards to go down. That is also the starting point of policy. The motion is a little ambiguous about the exact way that goes. Is it also about all production standards? That is why the precise intention of the motion is not clear to me. As is well known, it is the government's institution to maintain the standards in Europe as they have been laid down. We also have certain WTO rules on how we can do that afterwards. That interpretation of the government is, I think, the right one. I find the text of the motion unclear in that sense and would therefore like to discourage it. In the Jasper van Dijk motion c.s. in piece No. 1610 the government is invited to advocate in the Council that investment protection be deleted from TTIP. It will be understood that I must also discourage that motion, precisely because the Dutch Government is committed to making that system much better than it was before. We want a much better balance between public interests and private interests. In the Bruins-movement c.s. in piece No. 1611 the Government is invited to clarify in advance by means of mixed treaties which articles are "EU only" and may enter into force provisionally without the consent of national parliaments. This is an important question that has also been raised in other debates over the past period. I would like to say the following. Maybe the motion can be held? I understand the point. A case is currently before the European Court of Justice on the status of the EU-S Singapore trade agreement. The question is whether the treaty is mixed or "EU only." The outcome of this case will clarify which parts are or are not "EU only." It is therefore up to the Commission to take due account of this. In any case, it will be corrected when there is a result that is not in line with the measures it is proposing. I therefore propose that the motion be put to the vote. 1611 to hold. The motion in part No. 1612 by Mr Bruins and others is about an up-to-date analysis of the effects on the economy and sustainability. I would like to advise against this motion, because once again carrying out an analysis has too little added value. We have the so-called Trade Sustainability Impact Assessment of CETA. It was completed in 2011. We believe that a new analysis will not have a substantially different outcome. The motion in part No. 1613 by Mr Bruins and Mr Teeven on anti-dumping measures from the United States and the sensitive steel sector. I'd like to leave the verdict on this motion to the Chamber. We do not see the added value directly, but I would like to leave it to the Chamber to decide whether that is important or not. The Bruins motion c.s. in piece No. 1614 concerns opinions of the ESC on seven principles for TTIP. As is well known, the ESC opinion was handed over to the cabinet last week. The cabinet appreciates the input of our social partners to a great extent and is already analysing that report. As usual, there will be a cabinet response in which the cabinet will address, among other things, the principles. I find it difficult to anticipate this response on behalf of Minister Ploumen, as the opinion has been broadly designed, with different recommendations linked. I would not like to take one issue out of that now. The Chamber shall receive a reaction to the whole as soon as possible. That is why I would like to ask whether the motion can be held.
ParlaMint-NL_2016-04-28-tweedekamer-8.u18	I'll hold this motion.
ParlaMint-NL_2016-04-28-tweedekamer-8.u19	At the request of Mr Bruins, I propose his motion (11501-02, No. 1614). That is what is decided.
ParlaMint-NL_2016-04-28-tweedekamer-8.u20	On the Grashoff/Jan Vos motion in part No. 1615 I would like to say the following. The government believes that what is now ahead is a significant improvement. I have just said this in connection with Mr Van Dijk's motion. Nevertheless, we understand the point made by the Chamber with regard to parliamentary reservations. Since the motion is also about the Chamber, I should like to leave it to the Chamber to decide on this motion. Then I come to the Grashoff motion on part No. 1616, calling on the government to promote an effective enforcement mechanism for agreements on sustainable development. I would like to make the same proposal on that motion...
ParlaMint-NL_2016-04-28-tweedekamer-8.u21	What proposal?
ParlaMint-NL_2016-04-28-tweedekamer-8.u22	Mr President, I would like to advise against this motion. In fact, we have done this in many ways. This would not make an additional contribution on its own. In the Grashoff motion in part No. 1617 The Government is invited to seek advice from the European Court of Justice on the compatibility of the Investment Court System in Chapter 8 of CETA with the EU Treaties. We do not see any added value in that. The European Commission, including the Commission's legal service, has publicly indicated that the proposal is compatible with EU law. The Council of State also indicated earlier that it had no role at this stage to advise on the compatibility of the then ISDS with EU law. If it's fired, we'll fall back on the old ISDS system. The Dijkgraaf motion c.s. in piece No. 1618 is about the agricultural sector. The same applies to the Dijkgraaf motion c.s. in piece No. 1619. It is an important sector, but I would nevertheless advise against both motions, because they are not feasible. Apart from the commitments we have already made under the WTO, identifying the sectors or products and the associated cost differences is virtually impossible. Also remember that within a sector there are large differences in interests. We are now competing globally with our agricultural products as the second largest agricultural exporter in the world, while not all countries make the same demands. The fact that there is no one-sided noise is also demonstrated by the discussion about the manifesto offered by Milieudefensie and farmers' organisations against TTIP on Tuesday. In response to this, LTO said the Netherlands: Dutch agriculture benefits from a trade agreement, provided that it is well constructed. "I can't understand why a sector that exports 70% of its products doesn't even want a trade deal to be negotiated," says LTO Netherlands, and then it's about "a Calimero treaty" I'll leave that all to the agricultural sector. I don't think this short-term chess with numbers is gonna work. That's why I don't recommend both motions. The motion Agnes Mulder/Geurts in part No. I would also advise against 1620. EU standards and standards are guaranteed. There is no reduction in our standards by TTIP. The motion calls for the exclusion of sensitive sectors. That is not possible because there is no clear definition of "sensitive." What is sensitive to one is not for the other. I do not mean that personally, but in the context of trade policy. It is not desirable either. Different interests exist within a sector. For example, the Netherlands is the second exporter of agricultural products worldwide. TTIP is expected to be positive for a large part of the agricultural sector, for example dairy, while there will also be some sensitive sectors, such as poultry. I have just said that there is no one-sided view of this.
ParlaMint-NL_2016-04-28-tweedekamer-8.u23	Suppose, in the second request, I would delete 'and, where possible, argue that these sectors should be regarded as sensitive sectors'. Would the Minister's opinion be "Room of Justice"? It is about the combination that there is a fair playing field and that there should be no reduction in our standards and standards.
ParlaMint-NL_2016-04-28-tweedekamer-8.u24	In that case, I would declare the motion superfluous, because we are committed to doing so. There's no problem.
ParlaMint-NL_2016-04-28-tweedekamer-8.u25	Mrs. Agnes Mulder, finally.
ParlaMint-NL_2016-04-28-tweedekamer-8.u26	Thank you for giving me this space. That was in the manifesto we received last Tuesday. It makes it so difficult that as a Dutch farmer you have to compete with the higher standards and standards here with the products that meet lower standards and standards in the US. It is precisely the combination of these two that deals specifically with the manifesto. I would expect the Minister to make an explicit effort to do so.
ParlaMint-NL_2016-04-28-tweedekamer-8.u27	I'm hard on that, but not in this form. I think the term "sensitive sectors" is at the heart of it. I'd really advise against the motion. Then I come to the motion on part No. 1621, including Mrs Mulder's. I would also advise against this. Investment treaties do not deal specifically with human rights, although of course they are related to them. The motion Servaes/Jan Vos in part No. 1622 was also the subject of the ESC opinion. For the same reason as with the previous motions, I would like to ask whether the author of this motion and the motion in part No. 1623 wants to hold. Finally, the motion in part No. 1624. It calls on the government to make every effort, within the ongoing acts on free trade agreements, to limit the influence of the Regulatory Cooperation Boards. I see that as a support for policy, if it can be interpreted as meaning that such a body should have only an advisory right and democratic procedures should not be crossed. In that case, I'll leave the verdict to the Chamber. I'm glad I'm getting advice from the Chamber on what the government needs to find.
ParlaMint-NL_2016-04-28-tweedekamer-8.u28	Yeah, unsolicited advice. Before I give the floor to Mr Servaes, I would ask the Minister what his opinion is on the motions for resolutions on the documents. 1622 and 1623, they were not to be detained.
ParlaMint-NL_2016-04-28-tweedekamer-8.u29	Sorry, if they're not stopped, we have a problem. Then I'll have to dissuade them.
ParlaMint-NL_2016-04-28-tweedekamer-8.u30	Then my side of the paperwork. I'm willing to make the motion in part no. 1622.
ParlaMint-NL_2016-04-28-tweedekamer-8.u31	At the request of Mr Servaes, I propose his motion (11501-02, No. (Parliament adopted the resolution) That is what is decided.
ParlaMint-NL_2016-04-28-tweedekamer-8.u32	The motion in part No. I would like to put 1623 to the vote. At the motion in part No. 1624 I can live with the interpretation given by the Minister. I think Chamber is an excellent advice from the Minister.
ParlaMint-NL_2016-04-28-tweedekamer-8.u33	That motion will also be put to the vote.
ParlaMint-NL_2016-04-28-tweedekamer-8.u34	I still owe an answer to the question of...
ParlaMint-NL_2016-04-28-tweedekamer-8.u35	I'm a little lost. What does the Minister now recommend at the motion in part No. 1623?
ParlaMint-NL_2016-04-28-tweedekamer-8.u36	I'd advise against it.
ParlaMint-NL_2016-04-28-tweedekamer-8.u37	Then I understand again.
ParlaMint-NL_2016-04-28-tweedekamer-8.u38	One more question has been asked. The government is genuinely committed to the negotiation of the TTIP Convention, to the continuation of it and, hopefully, to its conclusion by the end of the year. In doing so, I answered the questions and gave an opinion on the various motions.
ParlaMint-NL_2016-04-28-tweedekamer-8.u39	I asked a question about the trial. Mrs Merkel and Mr Obama and Mr Cameron spoke last weekend about the TTIP process. The Commission also agrees with the TTIP process. Is that coming together or is that different?
ParlaMint-NL_2016-04-28-tweedekamer-8.u40	As far as I know, it's getting along well. That was also my answer to Mr Teeven's question. I think that the political momentum is there to move forward and that everyone thinks so, but within the margins and within the conditions you have set here.
