ParlaMint-NL_2016-07-07-tweedekamer-52.u1	I call Mrs Siderius.
ParlaMint-NL_2016-07-07-tweedekamer-52.u12	I'm not suggesting the motion. The motion in part No. 214 of the members of Van Meenen, Rog and Siderius I would like to dissuade. I agree that every child who sits at home is one too many. I would like to stress the urgency expressed in this motion. A few weeks ago, together with national parties, we concluded a Home Seasonal Pact which, contrary to what is stated in this motion, has a very clear objective, namely that by 2020 no child will be home for more than three months without an appropriate offer. I share the view that clear intermediate targets can and must be set in order to achieve that final objective, but I would like to do so in a slightly different way from what is being asked in this motion. The last failure figures for the school year 2014-2015 showed that almost 3,900 children were at home for more than three months. At the end of this year I have the new absenteeism figures for the last school year, i.e. 2015-2016, and I'm going to use those figures as a benchmark for the intermediate targets for the years after. It is quite simple: we have four years to achieve the ambition, so as far as I am concerned, those figures have to be reduced by a quarter each year. These will be the intermediate objectives on which the Chamber can address me.
ParlaMint-NL_2016-07-07-tweedekamer-52.u13	The Secretary of State says we have four years to achieve the goals. That is the time the Secretary of State gives himself and these parties. What this motion does is give less time to achieve the first goal, namely just get to work on it right after the summer! That's what it says here.
ParlaMint-NL_2016-07-07-tweedekamer-52.u14	And your question is?
ParlaMint-NL_2016-07-07-tweedekamer-52.u15	Well, I note that what the Secretary of State says here is his own view of what the objectives should be. In my view, that is no reason to discourage this motion.
ParlaMint-NL_2016-07-07-tweedekamer-52.u16	I'd like to dissuade that motion. If we want to set real targets for the coming school year and the following school years, so that we meet the target by 2020, then we have to do so on the basis of this year's figures, which we will not get until November. I'll tell you what my system will be: a quarter off every year, then we're just gonna make it by 2020. What the motion is asking for is impossible, and that is why I advise against the motion.
ParlaMint-NL_2016-07-07-tweedekamer-52.u17	Motion in part No. 215.
ParlaMint-NL_2016-07-07-tweedekamer-52.u18	I would like to make one more point about the homeowners. I would also like to set clear ambitions in the area of reducing the permitted omission, namely along the way of the exemption under point 5a. That is the point Mrs Ypma made at the time. In this respect, a study is under way which looks at this target group and what specific objectives can be set.
ParlaMint-NL_2016-07-07-tweedekamer-52.u19	I hear the Secretary of State wants to do what's in this motion. In fact, I hear him setting specific objectives, so I wonder if this motion will still be tabled.
ParlaMint-NL_2016-07-07-tweedekamer-52.u20	But it's already been filed, isn't it?
ParlaMint-NL_2016-07-07-tweedekamer-52.u21	This is about the motion in part No. 214. It has already been filed and asks the Secretary of State to set concrete goals that can be settled. I hear the Secretary of State say: I do, I want a 25% reduction a year. That is the specific objective that we have asked the whole AO for, and I hear the Secretary of State say this now, for which I would like to thank you very much. I wonder if this motion is still necessary.
ParlaMint-NL_2016-07-07-tweedekamer-52.u22	In my view, Mr Van Meenen is maintaining his motion, at least, as is clear from everything, and the Secretary of State has dissuaded her.
ParlaMint-NL_2016-07-07-tweedekamer-52.u23	I keep telling her not to, because she's asking for something else. The request is for Princess Day to give checkable targets for December 2016. I come in December 2016, when we have the real figures for this current school year, with the ambitions for the next four school years up to 2020, the year in which we want to reach zero.
ParlaMint-NL_2016-07-07-tweedekamer-52.u24	Now we go to the motion in part no. 215.
ParlaMint-NL_2016-07-07-tweedekamer-52.u25	Now we go to the motion in part no. 215, with permission. I'm deceiving that motion. This is a point that belongs to my colleague from Social Affairs. I would also find it more logical to have this debate with her, because I find it difficult to see what the consequences are.
ParlaMint-NL_2016-07-07-tweedekamer-52.u26	This is kind of freaky. The motion that asked for it has already been adopted almost unanimously by the Chamber. So basically, the Secretary of State says, "I'm just not gonna make this motion." Is that what he's saying here?
ParlaMint-NL_2016-07-07-tweedekamer-52.u27	I am asked whether I can give students the right to a Wajong benefit from education. Whether a student is entitled to a Wajong benefit is, in my view, a subject that my colleague Klijnsma is dealing with. It seems very logical to me to discuss this in a debate with her. If I am asked to do this, I say that it is difficult for me to see the consequences of this. That's why I don't recommend the motion.
ParlaMint-NL_2016-07-07-tweedekamer-52.u28	Very briefly, Mrs Siderius. Because you look so helpless.
ParlaMint-NL_2016-07-07-tweedekamer-52.u29	I guess that works. That's good. This is definitely about education, too. This is about cluster 3 schools and severely limited children of 18-plus. So I wouldn't know what SZW-like about that. This is just about education. It would be nice if the government just had an opinion on it.
ParlaMint-NL_2016-07-07-tweedekamer-52.u30	Secretary of State, have an opinion.
ParlaMint-NL_2016-07-07-tweedekamer-52.u31	I really like to have opinions about the things I know and what I'm about. If I am asked how much Wajong benefits the Ministry of OCW provides, I know the answer very well. That's zero.
ParlaMint-NL_2016-07-07-tweedekamer-52.u32	Okay. Then we'll go to the motion in part no. 216.
ParlaMint-NL_2016-07-07-tweedekamer-52.u33	Then the motion to part No. 216. I think that Mrs Ypma and I both very much understand the importance of customization. We are also working very hard to adapt the law to that. In fact, this motion calls for the possibility of making it possible for private institutions to benefit from education in advance of the amendment of the law. We can't do that right now on the basis of the law. So Mrs Ypma is asking me to do something that violates the law. I don't think that's wise. I assume that a motion that is counter-empty will not be put to the vote.
ParlaMint-NL_2016-07-07-tweedekamer-52.u34	Just a question, Mrs. Ypma.
ParlaMint-NL_2016-07-07-tweedekamer-52.u35	Does the Secretary of State agree with me that the Miep Sick contracts are also eligible for this? That's actually what I'm asking. That's what's happening. These are individual education programmes approved by the inspection. That is what I say in this motion at the first indent. As far as the second and third indents are concerned, I have not heard the Secretary of State, so I think we agree.
ParlaMint-NL_2016-07-07-tweedekamer-52.u36	I'm just getting confused about the numbering of motions. I have a motion here on part No. 216 and that is a lot like the motion I made under item No. 217. Maybe it's good to be clear about what motion we're talking about right now.
ParlaMint-NL_2016-07-07-tweedekamer-52.u37	The motion in part No. 216 is called customised motion here and has three lines lying halfway under'requests'.
ParlaMint-NL_2016-07-07-tweedekamer-52.u38	That's the motion I just gave an opinion on. It calls on the government to clarify cooperation and inspection. Well, I don't think that's a problem. Then, after the remaining indent, "students who receive (partly) tailor-made work at a location other than the school are also eligible for school or cooperative funding if judged sufficiently by the educational inspection." The other location is often a private institution or a care institution. When it comes to funding the school where the students are enrolled, this is not an issue. When it comes to using that education money to finance the private institution where that child sometimes spends two or three days a week, this is currently an unlawful use of educational money. That's not possible. The inspection will never agree to that either. If the accountant checks the books at the end of the year, he will say that this is an unlawful spending of educational money.
ParlaMint-NL_2016-07-07-tweedekamer-52.u39	And what's your verdict?
ParlaMint-NL_2016-07-07-tweedekamer-52.u40	That is why I think this is unwise. I'd like to discourage the motion.
ParlaMint-NL_2016-07-07-tweedekamer-52.u41	Then we'll go to the motion in part no. 217. It is known to us as the motion for a resolution on unifying development prospects.
ParlaMint-NL_2016-07-07-tweedekamer-52.u42	I don't have that motion here.
ParlaMint-NL_2016-07-07-tweedekamer-52.u43	The logo of the Labour Party is above it.
ParlaMint-NL_2016-07-07-tweedekamer-52.u44	There's a cross through it. The motion calls on the government to discuss with the PO Council and the partnerships and to ask them to develop a format. I would advise against this motion, because it is based on some sort of upper-level uniformation. In my view, this does not do justice to the space we want to create for local customization. Then come to the motion on part No. 218 by Mr Rog and Mrs Ypma. I also advise against this, in fact according to the same reasoning as that used in the motion for a resolution on item No. 216. The motion calls for action to be taken in the run-up to a legislative change. This means that in the meantime we should ask schools to do something that is not allowed by law. They'll get into trouble with the inspection and the accountant. That is why I would advise against the motion.
ParlaMint-NL_2016-07-07-tweedekamer-52.u45	That's a strange advice. I have here a decision of the Minister for Education, Culture and Science in which indeed funded schools...
ParlaMint-NL_2016-07-07-tweedekamer-52.u46	What's your question?
ParlaMint-NL_2016-07-07-tweedekamer-52.u47	... educational material or guidance can purchase on the free market, from private bodies. I also have a draft contract for a trading plan. I would ask that this decision and this contract be added to the Acts and that it be handed over to the Secretary of State and the members of the Chamber. This is very strange, because this is happening right now. The Secretary of State says it won't happen. This is a very important point, Mr President. We are talking about something that happens with the knowledge of the Secretary of State, whose Secretary of State says it does not happen and cannot. That is an essential point. So I would like to spread this among the members and to the ruler.
ParlaMint-NL_2016-07-07-tweedekamer-52.u48	I'll ask the messenger to pick up the piece from you and also to provide it to the Secretary of State.
ParlaMint-NL_2016-07-07-tweedekamer-52.u49	I would also very much like a response from the Secretary of State.
ParlaMint-NL_2016-07-07-tweedekamer-52.u50	Then I'll suspend the meeting.
ParlaMint-NL_2016-07-07-tweedekamer-52.u51	The Secretary of State has now received a copy of the letter. The word is back to him.
ParlaMint-NL_2016-07-07-tweedekamer-52.u52	Mr. Chairman. In my view, what is in this letter is not contrary to what I have just said. Schools are free to purchase expertise or materials. But what is not right is to redirect education from one institution to a private institution. That's different from what this letter says. In other words, what's in the letter is possible right now. So that's not a problem either. I am also quite willing to make it clear to schools that this is a way of working that can be done, and that is also possible under the law at the moment. However, we would like to go a step further. For that, we have to change the law. However, what is called for in the motion is in anticipation of this legislative amendment, namely that education can be passed on to a private educational institution there. That's counter-empty right now.
ParlaMint-NL_2016-07-07-tweedekamer-52.u53	I see that Mr Rog wants to respond to this, but I do not want this to be discussed now. Is there any other time to discuss this? I will give Mr Rog an opportunity to respond very briefly.
ParlaMint-NL_2016-07-07-tweedekamer-52.u54	Thank you, Mr. Chairman. The motion calls for what is stipulated in contracts to be accepted and done as policies, in anticipation of legislation. So I'm helping the Secretary of State with this motion. I really do not understand why he is giving a negative opinion on this.
ParlaMint-NL_2016-07-07-tweedekamer-52.u55	But then the motion is completely superfluous. What Mr Rog has just given us in the letter is already possible. The law doesn't need to be adapted for that either. That's not what the motion says either. The motion states that money can be transferred from one institution to a private, unpaid institution. That is not legally possible at the moment. In other words, or in the motion something is described and asked to do something that can already be done. Then she's redundant. Or the motion goes a step further. If that's the case, I'm gonna tip her off.
ParlaMint-NL_2016-07-07-tweedekamer-52.u56	I can't get out of my way with this judgment, Secretary of State. You really need to make a choice. I'm gonna call it off.
ParlaMint-NL_2016-07-07-tweedekamer-52.u57	In both cases, I advise against her. If the motion is unnecessary, I'll advise her. Otherwise, I'm gonna tip her off, too.
ParlaMint-NL_2016-07-07-tweedekamer-52.u58	Obviously. I see that Mr Van Meenen also wants to ask a question. Do we really have to do that, Mr Van Meenen?
ParlaMint-NL_2016-07-07-tweedekamer-52.u59	Yes, Mr President, because I would like to make a motion, namely the motion on item 215, tabled by Mrs Siderius and myself on the Wajong.
ParlaMint-NL_2016-07-07-tweedekamer-52.u60	Keeping motions and moving in is always allowed tonight.
