ParlaMint-NL_2016-04-12-tweedekamer-6.u1	I welcome the Secretary of State for Security and Justice, who has now arrived.
ParlaMint-NL_2016-04-12-tweedekamer-6.u12	Two questions?
ParlaMint-NL_2016-04-12-tweedekamer-6.u13	Which I'll put in one sentence. The Secretary of State has spoken to Brabant. It called for a fair distribution over Brabant. Is that what the Secretary of State is taking over? The mayors of Boxtel and Heusden have argued for pilots. It's been going on since February. Through "satellite numbers" of 50 or 100, they may reach 200. When will the Secretary of State decide on this so that these municipalities can deploy their capacity?
ParlaMint-NL_2016-04-12-tweedekamer-6.u14	I was referring to these two specific mayors and their plans when I was talking about the appointments I have this week. So I'm talking to them about that this week. Before taking a decision on this matter, I first drew my light on it in a broader sense. It is not just a question of satisfying people in two places, but also of preventing twenty mayors from standing on my doorstep saying: what are you doing now, because now I am stuck. I want to do that carefully. I don't have to deal with two municipalities. I have to deal with them all over the country. I have to comply with the entire assignment. I'm having that conversation this week. I just mentioned a couple of provinces I've been to. There's more on the schedule. It's a continuous conversation to make sure it comes of it. I have every intention of avoiding obstacles on our side. It's hard enough to take care of it like this.
ParlaMint-NL_2016-04-12-tweedekamer-6.u15	I would like to address the issue of information. If you look closely at the documents that Newsuur has wobbed, you can see that between two different ministries, namely between Finance and Security and Justice, there was apparently a discussion about these two scenarios. Why didn't they choose to indicate that bandwidth and let the Chamber know that the estimate is between 58 000 and 92,000? I thought you could have done that with a statement from the cabinet.
ParlaMint-NL_2016-04-12-tweedekamer-6.u16	I could have, but I didn't think it would be serviceable, not even at the support level, to communicate a number where I say right away that the cabinet is going to make sure it doesn't come to that. You see a period of discussion because, if I chose to budget at 58,000, of course I wanted to have political commitment to take the measures necessary to ensure that the influx would not reach 93,000, but lower. The Chamber has heard that before from the cabinet. It's time-consuming. You can see his impact on that trajectory.
ParlaMint-NL_2016-04-12-tweedekamer-6.u17	In the State Secretary's reasoning, the scenario if we didn't do anything would be 92,000. There's a lot to do with that. The scenario would be 58.000, or a lower number, if the policy advocated by the cabinet is implemented. But anyway, that could have just been shared with the Chamber, couldn't it? Now the Secretary of State actually says that it was not a good time to share that scenario with the Chamber. This gives you the impression that you want to propose a completely different story to the Chamber, the COA, the IND and all the municipalities. I'm sorry to hear that.
ParlaMint-NL_2016-04-12-tweedekamer-6.u18	The scenarios in which you can get in the 90,000 if you do nothing have already been discussed with the Chamber in the budgetary procedure. I didn't think that was news. Mrs Keijzer made that transfer on the basis of the European Commission's estimates. So we would have had that discussion here by now. I think it's a confusing message if you officially bring out: if we didn't do something, it'd be this, but we're gonna do something, so it won't be. The cabinet has decided that doing nothing is not an option, that 93.000 in a year is not feasible for the Netherlands. Then of course you cannot say: we do 58.000 and we hope for the best of it. No, then you also have to take the measures and say to each other the commitment that you are going to make it lower. If there is, I think you should communicate that, too. Then you should also say that you are estimated at 58,000 and that you are working on a lot of measures that do not control 58,000, but much less. Even lower is even more pleasing. The measures are there and we now see that they are working.
ParlaMint-NL_2016-04-12-tweedekamer-6.u19	Doing nothing is indeed not an option. We must not end up again in the situation of dragging children from crisis relief to crisis relief. I see the Secretary of State is fighting hard for that. Municipalities will also have to make an extra contribution, especially the municipalities that are doing nothing now. My question concerns the status holders. Block is responsible for ensuring that in municipalities...
ParlaMint-NL_2016-04-12-tweedekamer-6.u20	The Minister for Housing and National Service.
ParlaMint-NL_2016-04-12-tweedekamer-6.u21	The Minister for Housing and Rijksdienst is responsible for ensuring that additional houses are actually being built, not only for status holders, but also for other people on waiting lists. What extra steps can we expect from him?
ParlaMint-NL_2016-04-12-tweedekamer-6.u22	I will ask Minister Blok to give the Chamber the detailed answer. I don't know what else he has in mind. It is true that we have opened up the scheme, following last November's governance agreement, and that we are currently considering what further improvements could be made in the discussions on its development with municipalities and provinces. Those conversations are going on right now. The figures and measures are now being put side by side to side to see where the bottlenecks are. If there are opportunities, we will follow up on this with the municipalities.
