Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u1	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u12	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u13	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	MirjamBikker	Bikker, Mirjam	F	1982	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u14	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u15	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MarjavanBijsterveldt	van Bijsterveldt, Marja	F	1961	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u16	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u17	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KoosSchouwenaar	Schouwenaar, Koos	M	1947	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u18	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	AnnekeWezel	Wezel, Anneke	F	1975	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u19	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u20	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-07-eerstekamer-13	ParlaMint-NL_2016-06-07-eerstekamer-13.u21	Report of the meeting of the Dutch Upper House, Meeting 33, Session 13 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
