ParlaMint-NL_2016-10-04-tweedekamer-24.u1	I would like to welcome the Minister of the Interior.
ParlaMint-NL_2016-10-04-tweedekamer-24.u12	Mr. Chairman. The final motion is coming up. Once I've reread her, I'll share my advice with the Chamber. There's the motion. I'll start with the motion in part No. 31 from Mrs Oosenbrug, whom we know as someone who advocates open standards and open source software on every occasion. She put that in another motion. I would like to present the Chamber, reading the motion in such a way that we are going to implement the operative part in which the government is asked to impose open standards by law as part of the GDI (Law on generic digital infrastructure). The legislative proposal will then contain a delegation clause which would make it possible for public authorities to apply open standards to AMvB. This is an opportunity to look at exactly what would and would not be required. If I could read the motion in this way, this aspect is, as far as I am concerned, support for policy. I'm gonna take a breath now so Mrs. Oosenbrug can interrupt.
ParlaMint-NL_2016-10-04-tweedekamer-24.u13	I agree with the Minister's statement on the implementation of my motion.
ParlaMint-NL_2016-10-04-tweedekamer-24.u14	That's good to hear. The motion has a second operative part, namely the request for all knowledge on open source software to be made available through a knowledge centre. I would like to make that request in such a way that I will investigate whether the PIANOOO doesn't know who? The Commission shall be empowered to adopt delegated acts in accordance with the examination procedure referred to in PIANoo stands for Professional and Innovative Contractors, Network for Public Suppliers and is part of the Ministry of EZ. My intention is to report to the Chamber by mid-February at the latest so that Mrs Oosenbrug can assess whether that is sufficient to meet what is being asked here. All in all, therefore, I consider the motion to support policy and leave it to the House to decide.
ParlaMint-NL_2016-10-04-tweedekamer-24.u15	I am going to put the motion to the vote because, of course, I always trust the Minister...
ParlaMint-NL_2016-10-04-tweedekamer-24.u16	Beautiful eyes.
ParlaMint-NL_2016-10-04-tweedekamer-24.u17	... carrying out motions, but I still want the motion put on hard copy. I agree with what the Minister says about it.
ParlaMint-NL_2016-10-04-tweedekamer-24.u18	The Minister continues with the motion in part No. 32.
ParlaMint-NL_2016-10-04-tweedekamer-24.u19	I agree with the thrust of Mrs Koşer Kaya's motion. People should not be able to access data without permission, and ideally everyone should be able to check at any time who has nevertheless been given access to personal data. But the final request is a major ICT project. I can't just say here that we can actually make this happen if the Chamber says so. It also comes as a new element for me now. I would therefore like to leave the ruling on the motion to the Chamber, but if I take the motion literally, I must advise her not to do so. On occasion, perhaps in a subsequent AO, we will have to reconsider what we can best do about this. I do share the concern expressed by Mrs Koşer Kaya in this motion.
ParlaMint-NL_2016-10-04-tweedekamer-24.u20	Mrs. Koşer Kaya, briefly.
ParlaMint-NL_2016-10-04-tweedekamer-24.u21	I would like to hear from the Minister exactly why he thinks it is difficult to implement it before I put the motion to the vote with the opinion of the Chamber.
ParlaMint-NL_2016-10-04-tweedekamer-24.u22	My advice wasn't judgment room. Should the motion be put to the vote, I would advise against her. The motion talks in general terms about access to data held by the government. That can be from DUO to the IRS or I know what it is. The motion also calls for everyone to be able to see who has what data. You can only guarantee that if you set up a system to monitor and report on this one way or another. I can't see what the consequences are right now. The very first impression of my staff is that this could be a major ICT project. Hence the hesitation. Again, I share the spirit.
ParlaMint-NL_2016-10-04-tweedekamer-24.u23	I see your doubts, Mrs Koşer Kaya.
ParlaMint-NL_2016-10-04-tweedekamer-24.u24	We can look at it differently. Perhaps the Minister could send a letter to the Chamber explaining exactly where he sees the problem and what is feasible. Then I may be able to modify the operative part or hold the motion.
ParlaMint-NL_2016-10-04-tweedekamer-24.u25	I think that's a reasonable question. I'll admit it.
ParlaMint-NL_2016-10-04-tweedekamer-24.u26	Would you like to put the motion to the vote or hold it, Mrs Koşer Kaya?
ParlaMint-NL_2016-10-04-tweedekamer-24.u27	The promise is that the Minister will send a letter. I would like to wait for that so that I can then see if I can put the motion to the vote or hold it. I just don't know what time the minister would send that letter to the Chamber.
ParlaMint-NL_2016-10-04-tweedekamer-24.u28	You can decide until Tuesday.
ParlaMint-NL_2016-10-04-tweedekamer-24.u29	It seems obvious to me that I should do so before dealing with the internal affairs budget. Is that okay?
ParlaMint-NL_2016-10-04-tweedekamer-24.u30	Looks like it.
ParlaMint-NL_2016-10-04-tweedekamer-24.u31	I thank the Minister. The motions tabled will be put to the vote on Tuesday.
