ParlaMint-NL_2016-12-20-eerstekamer-16.u1	I give the floor to the Minister for Economic Affairs.
ParlaMint-NL_2016-12-20-eerstekamer-16.u23	Yes, I am convinced that I am complying with the relevant European directive on this point. You want to know if there's gas in the ground somewhere. Let us take gas as an example, although it can also be about other substances. You want to know if there's gas in the ground somewhere. Then we need to invest in this. The company is looking at where that gas is possible and where it's best to drill. This may or may not be subject to an investigative licence. If it is granted, then the environmental permit will be added. This ensures that all aspects relevant to the environment are considered. The requirements laid down in that framework must also be met. After that, the other permits I mentioned still have to be granted. This makes things even more complicated at the right moments than it already is. We are already going through the two separate permit procedures for the first drilling. For the subsequent licences, we also have the m.e.r. procedure. On that m.e.r. I am talking about the very first phase and the European rules that apply to it.
ParlaMint-NL_2016-12-20-eerstekamer-16.u24	The minister said he'll come back to my questions later. I am specifically concerned with the possibilities for local authorities to participate. Shall I wait for that?
ParlaMint-NL_2016-12-20-eerstekamer-16.u25	I think it would be a good idea for Mr Kuiper to wait for my response in that context. In my introduction, I only mention what I'm going to talk about later. So I will come back to his questions in detail.
ParlaMint-NL_2016-12-20-eerstekamer-16.u26	I have a question about the BOLO. How does that work? Will Parliament be able to see the granting of that search permit? The approval of the test drilling at Schiermonnikoog has caused quite a stir. Did the Chamber know about granting that search warrant? How does that process work? Does this law still provide in any way for submission to the Chamber of Investigation?
ParlaMint-NL_2016-12-20-eerstekamer-16.u27	As far as I'm concerned, I have my own responsibility as far as the search warrant is concerned. Of course, I have to be transparent in my work for the Chamber. In my opinion, this is sufficiently clear to the Chamber, also in view of all the publicity in this regard. If there are applications, they will be published. They are also dealt with in public. I'm gonna stay inside the room I got from the room. I enforce the laws as laid down by the Chambers. That is the way it is going, but I have my own responsibility for the handling of permits. I trade within the space I've been given for that. I would like to mention the third bill as separate. That's the bill... Probable Gas extraction Act, Groningen. This is the legislative proposal which amends the draft law implementing the offshore safety directive and immediately introduces the presumption of evidence, in line with what the Council of State has advised on this matter. With these three legislative proposals, I believe that there is a balanced package of measures, with the emphasis on safety, as it should be, minimising risks through the various permits to be granted, while ensuring even better the independence of State supervision of the Mines. All in all, this will enable the whole process, as well as confidence in the role of State surveillance, to be improved. I now turn to the transition to renewable energy and the gas building, where I have already said a few words. In the Lower House the demand is always raised, and now also in the Upper Chamber, whether we can switch to renewable energy even faster and step away from gas even faster. I am very motivated when it comes to switching to renewable energy, but I am also very motivated to keep our society going, to keep the houses warm, to keep the factories running, to keep the offices warm, and to keep transport going, in short, to keep the economy going and to maintain employment. The aim is to ensure that the transition to renewable energy is made as quickly as possible, but in a responsible manner. This means that we need a longer period of time. The targets are set for 2020, 2023, 2030, 2040 and 2050. By 2050 we must have both a low carbon society and a society based on renewable energy. During this period, there are many intermediate steps to be taken, but in order to keep things going, we will still need a lot of fossil energy. The cleanest form of fossil energy is gas. I have dealt with this in my Energy Agenda. The energy agreement that I concluded with all the parties concerned in 2013 applies until 2023. The Energy Agenda with which I have come now has a duration of up to 2050. It maps the period up to 2050. It also shows how we are going to make the transition, what steps we are going to take to achieve this, and what about the declining role of fossil fuels? It is good to realise the importance of fossil fuels in our economy today. We are going to create five very large wind farms off the Dutch coast. These are good for the electricity consumption of 5 million Dutch households. The total amount of energy supplied by the five wind farms in one year is comparable to 1.5 billion m of low-caloric gas from Groningen. We are now at a level of 24 billion m. 1.5 billion of that 24 billion is equal to the total energy production of the five wind farms. This means that if we are going to reduce gas consumption in the near future, a lot will have to be done for that. That is why we are not only dealing with windmills at sea, but also with windmills on land, using geothermal energy more and better and making better use of available residual heat. We also need to do much more in isolation. All kinds of things are necessary for that. As far as wind at sea is concerned, it is already foreseen that, after five wind farms of 700 MW in the period up to 2023, seven wind farms of 1,000 MW will have to be built in the next seven years. There will therefore need to be very large investments in order to enable the reduction of fossil energy sources, including in particular gas. I have already said that gas has relatively low CO emissions and that it is a good transition fuel. That is why we will need a great deal of gas in the coming years, preferably gas, insofar as fossil energy sources are still needed. It is a question of whether we can win that gas safely and responsibly. In the small gas fields it appears to be a good way to do that. There the risks are very limited, incomparable with the risks in Groningen. In Groningen, the whole of the Netherlands is connected to the specific gas that comes only from the Groningenveld. That is a fact that we must take into account. Nevertheless, during this cabinet period, we managed to halve the amount of gas won in Groningen, even compared to the year 2012, so before the cabinet took office. That is a very big step that has been taken in this cabinet period. 24 billion m of natural gas less a year: you will realize what action that is if you take that 1.5 billion m of natural gas in mind that I have just mentioned. 1.5 billion m is the energy value of the five offshore wind farms. Do you also realise that there is a reduction in natural gas revenues for the Empire through the reduction of natural gas and the lower price of natural gas, from EUR 12 billion to EUR 2 billion per year? That is a very big difference, and it indicates what a huge operation we are doing, both financially and in terms of energy transition. The gas from the small fields is interchangeable with gas that we extract from other countries. The reason why I want to win this gas in the Netherlands, apart from the Groningen gas, as much as possible, both at sea and on land, is that it can be safe. We are not dependent on other countries as a result of this gas extraction either. You don't know what's going on in the world. If you are not dependent on other countries for your energy supply, that is an extra security you have as a country. I think it is important to do so where gas can be safely and responsibly turned into gas. Mr Pijlman asked whether it would not be wise to use the Groningen field for the transition. I don't know exactly how he imagines that. We now have the line of sitting at the lowest possible level, 24 billion m a year. That was also advised by the State surveillance of the Mines. We strive to win as close as possible from year to year, but also within a year. As a result, we believe that, with that low level and flat extraction, there is as little seismicity as possible. Using the Groningenveld for the transition would mean that we would use more or less Groningengas, depending on what is required at some point in time. That would mean that the extraction would fluctuate. According to State supervision of the Mines, fluctuation in extraction leads to more seismicity. That is what we all do not want, especially not Mr Pijlman, who has indicated that, apart from his responsibility as a member of the First Chamber, he also experiences daily in Groningen what impact this has on society.
ParlaMint-NL_2016-12-20-eerstekamer-16.u28	That wasn't at all what I meant. What I mean is that, as I explained this morning, it is still possible to make the transition from fossil to sustainable for households, even if it requires a lot and a lot of investment. I have pointed out that it can be a much greater task for industry and horticulture. There are companies that are really holding hands and for which no good ideas are yet available. I am asking whether it would not be wise to gradually move away from a major operation, too, to allow households to move to a sustainable one, while in all likelihood we will have to maintain the gas supply for industry even longer. I asked for a response to that. I advocated a study of this conversion, because I predict that industry is the real problem for the Netherlands when it comes to the transition. We need them very much if we want to continue working in this country.
ParlaMint-NL_2016-12-20-eerstekamer-16.u29	I fully agree with Mr Pijlman and share his analysis. The transition in industry is one of the transition paths we have described in the Energy Agenda. I'll come back to that later. We have four transition paths. One concerns energy. We indicate what the current situation is, what the final desired situation is in 2050, how we can grow there and what all the problems we have to overcome. Mr Pijlman has rightly outlined it. Solutions can be proposed in the form of biogas. It is also possible that you will continue to use natural gas, but that you will capture and store the CO. It is also possible that there will be very new techniques. That's all conceivable. We are talking about the period between 2016 and 2050, so a lot can happen. If Mr Pijlman says 'there are big problems here, you will probably need natural gas for the longest time and you need to find solutions', he is quite right. I agree with him and it will be further developed in one of those four transition paths in the Energy Agenda. Mrs Teunissen asked how I would like to shape renewable energy, wind energy, tidal energy and solar energy. I think I can say the same thing I have just said to Mr Arrowman. I'm already working on that transition. I'm not just talking about it, I'm putting it into practice. You know what happens with windmills on land, with windmills at sea, with geothermal heat and with manure fermentation plants, of which, according to FrieslandCampina, 1,000 can be placed with dairy farmers by the year 2020. There is a wide range of renewable energy options that we are currently working on. How exactly we are going to do that, starting with the year 2023, I have laid down in very detail in the Energy Agenda. We are still six years in the process of carrying it out. For the period after that, I have also included this in the Energy Agenda, which is, of course, also available to Mrs Teunissen. In this way, for the short and long term, I have set the line very detailed. I am already busy implementing this at a high rate in practice. Mr Kuiper asked about the small fields. He said not everything that is technically possible should be wanted. I fully agree with him, but if something can be safe and responsible, which makes you, to a lesser extent, dependent on what happens abroad or not, I believe that you should do so. If you have a small field, little happens in the subsurface. If the gas disappears from the sandstone where it comes from and the pressure gets less high, it just happens much less than in that huge Groningen field. All the studies carried out so far show this. When the Groningen field changes, you get big moves there, as we, and especially the people in Groningen, have noticed in recent years. In small fields, that's very different. Wherever it can be safe and responsible, I think we should do it too. I already said something about the gas building. Mr Pijlman asked me to indicate whether that gas building could stand in the way of the transition to renewable energy. I do not think that the transition to renewable energy is in any way hampered by that gas building. I see the gas building as a construction, a structure that is necessary to allow the extraction of the gas, which is owned by the NAM, that the NAM wins there and that we need for the Netherlands, to take place in a responsible way. It is also a question of the fact that the bulk of the proceeds are for the benefit of Dutch society. That's what the gas building's for. In the transition to renewable energy I feel in no way hindered by the gas building, by the NAM or by the parties forming the NAM. I'm just doing what's necessary for renewable energy. Everyone, including the NAM and the parties that form the NAM, understands that we are in the process of transitioning to renewable energy around the world and that it is better to be at the forefront of this than at the back. I've been talking about the transition paths. In the Energy Agenda, we make a distinction between low-temperature heat and that is what Mr Pijlman talked about when he talked about the houses. He talked about this when he talked about the industry, power and light, which includes the electricity that everyone should have, and transport. Now all transport is still carried out with fossil energy carriers. We have about 10 million cars in the Netherlands, of which 12,000 are completely electric. So we now have 12,000 full electric cars at 10 million and we have the ambition that all cars that are sold new in 2035 will be completely electric or hydrogen cars. We also have a very great ambition in this area, which is part of one of the transition paths further developed in the Energy Agenda. Mrs Meijer asked if I could send a letter about the delivery contracts with the Belgians and the Germans. She established a relationship with the number of cuub gas that should be won in Groningen. There is no relationship between contracts and contracted volumes with parties on the one hand and the decisions we take on the scale of gas extraction on the other. Determining the scale of gas extraction is what is all about equipment in the Netherlands, Germany, France and Belgium that is fully adapted to Groninger gas and is also suitable for this purpose only. That's a physical fact. Of course that has to change. There must be equipment suitable for high-caloric gas or equipment suitable for both, or the existing equipment must be completely removed and replaced by other equipment, such as electrical equipment or geothermal equipment, but all this must be organised. We in the Netherlands have our thoughts about the pace at which this can be done. We have agreed to this with France, Belgium and Germany. It's purely about the physical need. It affects the volume we win in Groningen. The contracts concluded with Belgians and Germans are not relevant to this. GTS has given me a very good insight into what is physically needed for gas. In my letter to the House of Representatives of 24 June, a letter which was also notified to the House of First Instance, I explained in detail what happened to the supply of gas to the countries around us. I also raised the question of what is possible in this area in the short term to bring about a change, how long it will take and what arrangements have been made. I think it is already clear and I see no reason to send another letter on this. Mr Verheijen asked me to include SodM's position in the review of the gas building. He referred to the position of EBN, as Mr Pijlman has already done. As I said in my introduction, EBN plays a typical role as a 100% state subsidiary. I could have imagined that we would have done it differently, but EBN is there. I believe that EBN has a useful role to play at the moment, not only in relation to the Groninger Field, but also in relation to the North Sea, to the small fields and to geothermal energy. As long as we can influence developments for the better, we must continue to do so. There is a direct relationship with the gas building, because EBN is part of the gas building. In the discussions we have with the other parties that are also part of the gas building, we will see whether we can agree on a transparent future construction and how EBN is or is not part of it. In any case, I believe that, regardless of what we conclude with regard to Groningen, the other tasks that EBN carries out are also important tasks. Mrs Teunissen asked about the reduction of revenue from Groninger gas. I told you, that's a big deal. We have reduced the revenue from EUR 12 billion to EUR 2 billion. Mrs Teunissen says that it would be wiser to reverse gas extraction to 12 billion m. If I did, I'd have two choices. Choice 1 is to leave a large part of the country in the cold for much of the winter. Choice 2 is to go out of 12 billion cubs, to establish in winter that you need much more and so much more to win, so you are shockingly winning. To the conviction of SodM, and also to my conviction based on advice from SodM, you create seismicity, while we are doing our best to reduce precisely that seismicity. What I can do at the bottom, how far I can go back, is 24 billion m. That is also the advice of SodM. By doing this through the years and within the year, you can do the most justice to the legitimate safety demands and safety requirements of the people in Groningen.
ParlaMint-NL_2016-12-20-eerstekamer-16.u30	To my knowledge, there has also been talk in the Lower House about possible scenarios if we take those 12 billion m. In the end, these scenarios have not been outlined by the Cabinet. The Minister is now setting out a scenario here, but does he agree with me that this is simply based on a political choice and that we should have that debate in the House of Representatives very well before we can say what is possible and what is not possible?
ParlaMint-NL_2016-12-20-eerstekamer-16.u31	No, I totally disagree with that. It's not a political choice. There is a very detailed calculation by GTS of the minimum gas requirement in an average winter. In a colder winter I have to get over it, but in an average winter I can do with that. I was advised by SodM to keep that level of 24 billion m and also to win as flat as possible within a year. Those are the advice I've been given. So I'm not going to make a scenario of 12 billion m, because that's totally irresponsible: either I have to leave people in the cold, or I'm going to have big fluctuations in natural gas extraction, with the immediate consequence, according to SodM, more seismicity. I've been trying all day to get to less seismicity. I am also pleased that we can see that the seismicity in Groningen has been halved compared to the year 2011, two years before this cabinet took office.
ParlaMint-NL_2016-12-20-eerstekamer-16.u32	I appreciate the Minister's efforts, of course, but is it true that the Minister is basing this on the current energy needs? If we were to link scenarios to the climate forecast we also have, with the energy savings that go with it, wouldn't you come up with other scenarios?
ParlaMint-NL_2016-12-20-eerstekamer-16.u33	Sure. It is quite conceivable that the demand for Groningen gas will decrease in the long term if we do what I believe is necessary, i.e. move as quickly as possible to renewable energy and isolate as much as possible. I see that after the year 2021, until then, the current extraction plan is at issue, and that also offers opportunities to reduce production in Groningen. However, we have established for a clear period of five years that this is the need, given our desire to avoid fluctuations, in order to avoid seismicity as much as possible. This is what I believe I can do to the fullest for the next five years. We've seen three things in four years. First of all, a halving of the extraction of gas. Secondly, a halving of seismicity. Thirdly, government gas revenues have fallen from 12 billion to 2 billion a year. These are very profound changes and have occurred over the last four years. Certainly the first two were absolutely necessary in the interests of the safety of the people in Groningen.
ParlaMint-NL_2016-12-20-eerstekamer-16.u34	Finally, Mrs Teunissen on this point.
ParlaMint-NL_2016-12-20-eerstekamer-16.u35	According to the calculations, at 24 billion m there is still a risk of tremors. In this respect, I wonder why the Minister did not choose to simply set a quantity of m per year instead of sticking to the EUR 24 billion for five years. To be honest, I think that is a little under-ambitious, because we see that developments are going very fast and that we can do a lot with efficiency gains. Take a look at wind energy, too. Why aren't we just looking at the amount of m that can be won every year as the transition goes so fast?
