ParlaMint-NL_2016-11-02-tweedekamer-12.u1	I am the first speaker to give the floor to Mr Azmani on behalf of the VVD.
ParlaMint-NL_2016-11-02-tweedekamer-12.u12	I believe that we should stop addressing people on the basis of old organisations established in the past from a particular political or ethnic group. If you still offer these organisations a stage, you hold people in Turkish identity, culture, Turkish politics or ethnicity. In my opinion, we should particularly like to appeal to people like Dutch people, possibly Dutch people with a Turkish background, who do not even feel associated with these organisations. In the context of integration policy, do we focus on those "classical" organisations?
ParlaMint-NL_2016-11-02-tweedekamer-12.u13	Mr. Chairman. Because the years are gonna count, I'm gonna put my glasses on. We are tabling three motions, and I would like to put one more question to the Minister in advance. Last Saturday I asked questions together with my colleague Wilders about the imam that is active in Verviers in Belgium and now in Veenendaal. Can the Minister answer these questions quickly in the light of developments? [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Islamic organisations are subject to the laws of Islam;]] [[Whereas these laws are diametrically opposed to our laws and aim to overthrow our democracy and the rule of law built on Western values, standards and laws;]] [[calls on the Government, dialogue and cooperation with Islamic organisations to cease immediately,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Islamic organisations are subject to the laws of Islam;]] [[Whereas these laws are diametrically opposed to our laws and aim to overthrow our democracy and the rule of law built on Western values, standards and laws;]] [[considers that it is not the task of the government to facilitate the undermining of democracy and the rule of law;]] [[calls on the Government, municipalities that facilitate and/or subsidise Islamic organisations, to reduce the municipal fund;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Islamic organisations are subject to the laws of Islam;]] [[Whereas these laws are diametrically opposed to our laws and aim to overthrow our democracy and the rule of law built on Western values, standards and laws;]] [[Whereas organisations such as Diyanet have a negative impact for the Netherlands on their grassroots groups, mainly immigrant;]] [[calls on the government to do everything in its power to dismantle Islamic organizations, with Diyanet in the lead,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22824-165]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32824-166]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32824-167]]
ParlaMint-NL_2016-11-02-tweedekamer-12.u14	Mr. Chairman. My main conclusion from the hearing on Turkish-Dutch organisations and the general consultation Integration issues with the minister was that turning away from Dutch society seems to be the result of the combination of Ankara's pulling arm and the pushing hand of people like Rutte, who say you should fight in this. Both are undesirable. Influences from Turkey and from related organisations in the Netherlands hinder integration. Suppression and intimidation by any group is unacceptable. The Minister underlined that. On the other hand, words such as "pleasure" hinder the feeling of acceptance. The Minister of Social Affairs remained vague about how he sees the influence of such statements by the Prime Minister and others on the feeling of Dutch citizenship among people with a migration background. Too bad he didn't take a stand. Once again, I would like to call for a break-up of the debate on integration and on diversity in society. In the field of AO Integration, we mainly talked about the second and third generation of migrants, people born and raised here. This is not about integration, but about participation and recognition that not every Dutchman is the same. It is therefore good that the government no longer uses the term "allochtoon." It is a first step towards recognition that people with a migration background are also just Dutch and not a separate species, and that besides the Dutch identity you can also have other cultural identities. Integration is about how newcomers find a place in our society. We must involve them from the beginning and offer them opportunities. Language lessons from day one and previously paid work, promotes the integration of refugees. Let's get this over with. Several motions have already been tabled and adopted. We await the letter, prior to the budget of Security and Justice, on this.
ParlaMint-NL_2016-11-02-tweedekamer-12.u15	Mrs Voortman welcomes the abolition in government publications of the word "allochtoon." How is GroenLinks going to shape the target groups and target groups that are so embraced by her, if she is no longer allowed to name them?
ParlaMint-NL_2016-11-02-tweedekamer-12.u16	We think it's important that you stop labeling people separately. That's what this is about. You can speak of people with a Moroccan-Dutch background or people with a Turkish-Dutch background. I think that's much better. This also shows that people can have multiple cultural identities. It's a pity the PVV doesn't see that, but yes, I don't expect that much of it.
ParlaMint-NL_2016-11-02-tweedekamer-12.u17	GroenLinks has a good story. You need to involve people, embrace them and try together to build a good future in the Netherlands. How can it be that the same party removes a city council member, Councilman Ilhan, from the party in Gorinchem for reasons of his opinion on another country?
ParlaMint-NL_2016-11-02-tweedekamer-12.u18	This is a very complex issue, which has been played at local level. I haven't been involved in that myself.
ParlaMint-NL_2016-11-02-tweedekamer-12.u19	I understand that, but can people at GroenLinks, do they not want to be active as a candidate chamber member, a member of state or council member, express their preferences towards another country? Do they get a ban? Rutte says "pleasure." He's very clear. But GroenLinks also says "pleasure" if you have a different opinion. What about that?
ParlaMint-NL_2016-11-02-tweedekamer-12.u20	GroenLinks is a party that is committed to human rights, whether here or abroad. That's what we stand for. Those are the principles that everyone within GroenLinks supports. The moment people don't agree with them, you'll have another discussion. But when it comes to principles that are important for GroenLinks, yes, we expect people to endorse them.
ParlaMint-NL_2016-11-02-tweedekamer-12.u21	Mr. Chairman. I'd like to file one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the increased tensions within the Turkish-Dutch community also put pressure on the link with Dutch society;]] [[believes that broad dialogue with and within the Turkish-Dutch community should be conducted, so that Turkish Dutch people are motivated to move against discrimination and for our shared Dutch values;]] [[having noted that most Turkish-Dutch organisations, also government interlocutors, are organised according to fixed closed frameworks, thus establishing contact with only a part of the Turkish-Dutch community;]] [[calls on the Government to intensify contacts as widely as possible with all representatives of the Turkish-Dutch community, including young people, women and other Turkish Dutch people who wish to contribute to Dutch society and invest in a future in the Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Marcouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32824-168]]
ParlaMint-NL_2016-11-02-tweedekamer-12.u22	I ask Mr Marcouch the same question I put to the VVD. There were two organisations that said: we do not consider a terrorist organisation to be a terrorist organisation. Find Mr Marcouch anno 2006...
ParlaMint-NL_2016-11-02-tweedekamer-12.u23	Anno 2016.
ParlaMint-NL_2016-11-02-tweedekamer-12.u24	... 2016. Sharp, Chairman. Those organisations have been saying this for ten years; perhaps that has been the case. They still say publicly: we do not consider a terrorist organisation to be a terrorist organisation. Does Mr Marcouch think that the Minister should talk to them, that the Minister should give them a stage and that the Minister should not say: we are not going to give them another stage?
ParlaMint-NL_2016-11-02-tweedekamer-12.u25	In an open, free society, in a democracy, people can also express themselves displeased. People who glorify terrorism or justify terrorist organisations must reply. That means fighting bad ideas with better ideas. Where laws are broken, you have to act with police and justice and set that standard every time. I do not think that any government, whatever government it is, should offer these organizations a stage, just as I think that you should ban Salafist organizations, because they are antidemocratic, inciting hatred and so on. I tabled a motion on that at the time.
ParlaMint-NL_2016-11-02-tweedekamer-12.u26	So the Labour Party says that the minister shouldn't talk to DIDF and DemNed, because they see terrorist organisations as non-terrorist and that there should be little to do with these organisations locally? So that's what Mr. Marcouch says?
ParlaMint-NL_2016-11-02-tweedekamer-12.u27	I have not mentioned organisations myself, but in general that is the norm. If you are a club that hates or glorifies terrorism, then you must be combated and you should not be an interlocutor with the government. I do not know if that is the case with the clubs that Mr Öztürk just mentioned. Just because you don't point to something as a terrorist organization doesn't mean you glorify it or support it, but you have to be very critical about it. We have a legal framework, people are allowed to express themselves and those expressions must be answered when they are displeasure. This is how we do it in a free, open society.
ParlaMint-NL_2016-11-02-tweedekamer-12.u28	Mr. Chairman. Yesterday we read that the Scientific Council for Government Policy and the CBS will no longer use the words 'allochtoon' and 'autochtoon'. Immediately, alternatives were searched for: residents with and without migration background. I ask the Minister: how would you like to start with the Dutch? As far as D66 is concerned, you are what you contribute and in order to contribute, we need to give people opportunities. We're all gonna get something out of that. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas good integration is the basis for a Netherlands in which everyone has the opportunity to participate and contribute;]] [[Considering that the quality of integration lessons is inadequate and that too few people pass their integration exams within three years, which is a waste of resources and the social potential of the citizen;]] [[believes that integration and integration is a shared responsibility;]] [[calls on the Government to take responsibility for a high-quality public offering of integration pathways by bringing them to the Ministry of Education, Culture and Science,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. file/22824]]
ParlaMint-NL_2016-11-02-tweedekamer-12.u29	I have a quick question. I hear Mr Van Meenen say very clearly and I think it is very important to know for everyone: for D66 you are what you contribute. I'm glad this isn't the organ donation debate. I also have the question: if you are just what you are contributing, will Mr Van Meenen support me if, for example, I have an amendment in the budget to ensure that people who come to the Netherlands and still haven't done anything after ten years, do what else, or that you can only earn social security after 10 years of work?
ParlaMint-NL_2016-11-02-tweedekamer-12.u30	I don't think so. From the contributions of the PVV you can find everything; this is one of those. Mr De Graaf deliberately chooses not to understand what I mean, so I'm just gonna let that go.
ParlaMint-NL_2016-11-02-tweedekamer-12.u31	This is how we know D66: no opinion and it is somewhere in the middle, but what exactly is at stake, Mr Van Meenen does not know. Welcome to the committee...
ParlaMint-NL_2016-11-02-tweedekamer-12.u32	Yes, I know very well what it's about.
ParlaMint-NL_2016-11-02-tweedekamer-12.u33	Can I finish my sentence? Welcome to the Integration Committee. You still have a lot to learn, I'd say. So I asked if D66 would join the following proposal: only if you have worked in the Netherlands for ten years can you earn social security. Mr Van Meenen then said "no', when he said before that you are only what you contribute. Those people haven't contributed anything, but they still get bags of D66 money. So we know D66 again: away with us.
ParlaMint-NL_2016-11-02-tweedekamer-12.u34	The D66 has a very limited view of what contributions are made in this country. That appears to be daily and also today. We believe that people can contribute more in this country than just making money.
ParlaMint-NL_2016-11-02-tweedekamer-12.u35	Mr. Chairman. During the AO we discussed the hearings held by the committee with the Turkish-Dutch organisations. Several motions have also been tabled on this subject. We also talked about integration rates, although they were not formally on the agenda. The Minister is coming up with an additional explanation of those figures. We also discussed the legal instruments. Before the budget debate there will be another letter with the cabinet response to the vote on the motion on banning anti-democratic parties. Within the framework of the legal instruments, we have been talking for a long time about criminalising the glorification of terrorist violence. I am now going to table a motion on this, partly because a radical imam has been evicted from Belgium, in which the Belgian Government has used the glorification of terror as an argument for expulsion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Belgium has recently evicted a radical imam because it glorifies terrorism and poses a danger to Belgian society;]] [[noting that this imam has been active in the Netherlands undisturbed over the past year;]] [[believes that the Netherlands needs a more effective toolbox to tackle radical, terror-glorifying preachers and recruiters;]] [[calls on the Government to come forward with proposals in the short term to criminalise the glorification of terrorist violence,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Pieter Heerma and Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22824-170]]
ParlaMint-NL_2016-11-02-tweedekamer-12.u36	Democracy is a celebration, Mr. Chairman. This is the moment! Mr Heerma has tabled a motion to stop the financing of imams and Diyanet. As a result, 23 Turkish-Dutch council members and members of the States indicated at a meeting at the party bureau that they did not agree with Mr Heerma. They also indicated that the party would do something about it. I was curious what Mr Heerma did with those signals from Turkish-Dutch council members and State members?
ParlaMint-NL_2016-11-02-tweedekamer-12.u37	We have not only tabled this motion, it has also been supported by a majority of Parliament. I think the cabinet is also working on it. That's what we're waiting for.
ParlaMint-NL_2016-11-02-tweedekamer-12.u38	Finally, Mr Öztürk.
ParlaMint-NL_2016-11-02-tweedekamer-12.u39	What do you do with the feedback you receive from Turkish-Dutch council members and statesmen? So I understand: nothing. Do you take these people seriously?
ParlaMint-NL_2016-11-02-tweedekamer-12.u40	I tabled a similar motion with Mrs Karabulut before the summer because I think that direct influence from a foreign power in our mosques by training, drawing up and financing imams is undesirable. I found that at the time of the motion with Mrs Karabulut and I still stand for it. There are also Moroccan organisations, such as the Collaboration of Moroccan Dutchmen, who say very loudly that we should not have interference from foreign powers here. So there are also many organisations that support that.
ParlaMint-NL_2016-11-02-tweedekamer-12.u41	Mr. Chairman. I only have one minute of speaking time after the elections, hopefully more so, and that is why I have tabled one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the government indicated that it would only talk to Turkish-Dutch organisations if they subscribe to the Dutch rule of law;]] [[considers that this should apply to all organisations and not only to the Turkish-Dutch;]] [[whereas, following the hearing on 10 October 2016, Turkish-Dutch organisations indicated that they felt that they were literally in the "complaint bench';]] [[Whereas in the Netherlands there has been a kind of Turkey hatred in recent months;]] [[calls on the Government to take de-escalating action;]] [[calls on the Government to counter the insinuation, suspicion and stigmatisation of Turkish Dutch;]] [[calls on the Government not to exclude but to embrace Turkish Dutch,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32824-171]]
ParlaMint-NL_2016-11-02-tweedekamer-12.u42	There is no country in the world where people from other countries get as many opportunities as in the Netherlands. Now, a leader in the world, the leader of Turkey, sultan Erdogan, in Cologne, at an election meeting for the last elections, all Turks living in Germany have been called upon to remain focused on the homeland rather than in Germany. We get the opportunities here, but the one who does exclusion is Mr Öztürk's own leader. What's his reaction to this?
ParlaMint-NL_2016-11-02-tweedekamer-12.u43	This has been discussed in the media more often. The words spoken there are twisted. The PVV is happy to participate. She does the same with suras from the Qur'an and with sacred writings. She's a master at that. Who's my leader? These are the citizens of the Netherlands. DENK is a party for 17 million people. They're my leaders.
ParlaMint-NL_2016-11-02-tweedekamer-12.u44	I think that Mr Öztürk's appeal to stop making suspicions is fine. But are DENK and colleague Öztürk themselves prepared to stop suspects of, for example, highly involved Dutch-Turkish young people, who are simply active in society and who are dismissed by Mr Öztürk as "subsidies"? Is he prepared to take back the words he said in relation to those Turkish young people during the general consultation and at the hearing and to apologize?
ParlaMint-NL_2016-11-02-tweedekamer-12.u45	Mr Marcouch must listen better in future. I didn't use the word "subsidisation sponge." If I had, I would have said the same thing here. I did say, however, that Mr Marcouch's Minister with Community money, EUR 2 million a year, has recruited a number of PvdA members of your colleagues' cousins, who want to put a number of people on the list and have given a number of people money through companies, and that we need to stop this subsidy tactic and this nepotism tactic. Yeah, I did say that. I also said that Turkish young people should be free of all that subsidy and that Turkish young people should say what they think with their own resources and their own strength. That freedom, that's what DENK is for.
ParlaMint-NL_2016-11-02-tweedekamer-12.u46	It's weird. Mr Öztürk has just tabled a motion calling for all kinds of suspicions to be stopped. I am offering Mr Öztürk an opportunity to correct his misconduct during the AA against those Turkish young people. And what does he do? He's just repeating these suspicions. Stop that and support young people who are just active in society instead of throwing them away like: you're out on a job, you're this, you're that et cetera. Those are suspicions, Mr Öztürk.
ParlaMint-NL_2016-11-02-tweedekamer-12.u47	That's evidence.
ParlaMint-NL_2016-11-02-tweedekamer-12.u48	Stop it. That's unworthy of a Member of Parliament. You do not do justice to all those young people who are simply active to dig through and make their intentions suspicious. That's what you do. You need to stop doing that.
ParlaMint-NL_2016-11-02-tweedekamer-12.u49	If Mr. Marcouch, a former policeman, had done a little detective work, he would have picked out all my claims. Apparently, he did, but he can't find anything. I've been asking Parliament questions. All my claims are 100% true. Everything I say is just right. You know that, Mr Marcouch. Those young people you're talking about are just Asscher's long arm. That's what I'm saying. I asked Parliament questions about this.
ParlaMint-NL_2016-11-02-tweedekamer-12.u50	Asscher is the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-11-02-tweedekamer-12.u51	Minister Asscher. Your party is trying to get people in a certain direction through community money. The PvdA here and the PvdA clique in Amsterdam should stop doing that. That's politically unworthy. That's unworthy of the PvdA.
ParlaMint-NL_2016-11-02-tweedekamer-12.u52	I would like to comment on what Mr Marcouch said about the suspicions. Mr Öztürk said that he and his party were against violence, discrimination, intimidation and suspicions. I hope that the film will be part of it again, for your own Facebook page, but without distorting what Mr De Graaf said. But what does Mr Öztürk do? He says to me, "Why don't you fuck off?" He calls me a racist. He just called me a liar without a lot of words. He calls my party leader and my party a cancer tumor. Who's the one who's divisive now? Who's the one doing sedition here? Who's the one who's doing suspicions, intimidating and the like? These are Mr Öztürk and his buddy Kuzu, led by Erdogan. Those are the men who are the spatter in our society. I'd like to make that point. And put that on your Facebook page.
ParlaMint-NL_2016-11-02-tweedekamer-12.u53	What was the question, Mr. Chairman?
ParlaMint-NL_2016-11-02-tweedekamer-12.u54	You don't have to respond. Mrs. Voortman.
ParlaMint-NL_2016-11-02-tweedekamer-12.u55	No, no, I'd like to respond. What a victim role, isn't it? What a frightening way of reacting. Look at that. Now you're gonna get a reply, now you're gonna get dealt with the same way you do a lot of people around here, and then you can't stand it. What a weakness!
ParlaMint-NL_2016-11-02-tweedekamer-12.u56	The weakness is there! And he's from Turkey to Limburg. There he is! Speaking of weakness, Mr Öztürk has no text. He had to think a little long to get back at me. Let him make it clear where the PVV has ever called someone or an organization a cancer. If you do that, you're insulting a very large population group that's sick. I think that's the disease of the party that's facing me. I mean, that's what he does. Let's be clear about that before it gets twisted again.
ParlaMint-NL_2016-11-02-tweedekamer-12.u57	After months of coming back to something I said. I find that petty behavior. I find that a little resentful behavior. I think the PVV now feels in the Chamber what she's been making these people feel all these years. Now you feel what it is. I am proud of where I come from, I am proud to be of Turkish origin and I am proud to come from Limburg. I have my facts. I said what I said. Those to whom I have said that have understood very well what I have said.
ParlaMint-NL_2016-11-02-tweedekamer-12.u58	I would like to return to what Mr Öztürk just said about the people of the Turkish Dutch Countersound, because I did not think that the way he turned himself against these people was a sign of much respect. There are many different organisations in the Netherlands; we also saw that at the hearing. This is also one that wants to put another sound next to these sounds. Why doesn't Mr Öztürk just embrace that?
ParlaMint-NL_2016-11-02-tweedekamer-12.u59	I know these kids. I embrace these kids. I want to watch over these young people. I also know this minister and the tactics he used in Amsterdam, which he also uses here. I also know his tactics to get these young people to a certain place with community money.
ParlaMint-NL_2016-11-02-tweedekamer-12.u60	Let us hold the debate on content and not on the person.
ParlaMint-NL_2016-11-02-tweedekamer-12.u61	And I want those kids the chance...
ParlaMint-NL_2016-11-02-tweedekamer-12.u62	Mr Öztürk...
ParlaMint-NL_2016-11-02-tweedekamer-12.u63	...offers to be himself. I'm watching for these kids. I love these kids. I support these young people.
ParlaMint-NL_2016-11-02-tweedekamer-12.u64	I think Mr Öztürk has a bit of a separate way of showing that he supports these young people. And then he says he wants to watch over them. These are adult people, who have clearly expressed their views, also in the hearing. For them, as politicians, we do not have to decide how to act. They can do it themselves.
ParlaMint-NL_2016-11-02-tweedekamer-12.u65	This minister has designated 87% of Turkish-Dutch young people as IS supporters. I did what I had to do back then. We had the biggest fight in the Labour Party because he suspected young people as terrorists. These young people have not been able to find a job in recent months or years. Yes, for this minister, I have to watch over them. For this minister, I must warn the young people. You're right!
ParlaMint-NL_2016-11-02-tweedekamer-12.u66	Mr Öztürk is very angry about the fact that a majority in this House has said that the training, appointment and financing of imams by the Turkish government is undesirable here in the Netherlands. I asked him in the AO to respond to the fact that the Association of Moroccan Dutchmen says very clearly, not to want any interference from Morocco. So they do not want to train, finance and appoint the imams here. They find this contrary to the separation of Church and State and to the freedom of religion, and undesirable. I am therefore curious whether Mr Öztürk considers it a disgrace in the case of Turkey that it is being called into question, but this is okay with Morocco. He dived a little away in the AO for the answer to this question, but perhaps he can go into it now.
ParlaMint-NL_2016-11-02-tweedekamer-12.u67	I come from Roermond, a city where there are quite a lot of Catholics living and quite a lot of churches. I'll talk to those believers, and I'll talk to CDAs. They do not understand the attitude of the national CDA. Here's what they're saying. How can my party attack another faith? How is it that my party is making it difficult for another faith? How can it be that my party, without having...
ParlaMint-NL_2016-11-02-tweedekamer-12.u68	Now the answer to the question.
ParlaMint-NL_2016-11-02-tweedekamer-12.u69	... here in the Netherlands is a decent, good imam education on which people can be trained, wants to take away the imams from the mosques? That's the question I get from CDA guys. And I say: yes, right, those questions live in Limburg, but in The Hague they are a bit upright, hardened, brutalized, wilder; unfortunately they go for the voices of Wilders and for that reason they do so.
ParlaMint-NL_2016-11-02-tweedekamer-12.u70	It is striking that Mr Öztürk again does not answer the question and is hiding away from the fact that, apparently, it is a problem when it comes to interference by the Turkish authorities. But if the Moroccan Dutch association does exactly the same, he doesn't judge it. Could it be that he does not want to judge this because it is his present party colleague who made these statements on behalf of SMN? Is that why Mr Öztürk doesn't want to answer it? Is it because the person who was then director of this has made these very harsh, clear statements but is now in the DENK class?
ParlaMint-NL_2016-11-02-tweedekamer-12.u71	Mr. Heerma needs to do his homework better. He wasn't a director there. My partymate worked for the government for years, in the state real estate business. I think Mr Heerma should do his homework better instead of insinuating here and bringing up cases about a director. It's not right, and I think it needs to be corrected. That's one. Second. Het Collaboratie Nederlandse...
ParlaMint-NL_2016-11-02-tweedekamer-12.u72	Mr President, could I make a point of order?
ParlaMint-NL_2016-11-02-tweedekamer-12.u73	Yes.
ParlaMint-NL_2016-11-02-tweedekamer-12.u74	I quote. The Association of Moroccans in the Netherlands is against the Moroccan Government's plan. According to SMN, it goes against the separation of Church and State and the freedom of religion. "In addition, interference with the religious affairs of the Moroccan community in the Netherlands is undesirable," comments SMN director Farid Azarkan.
ParlaMint-NL_2016-11-02-tweedekamer-12.u75	Where did it say that? Where did it say that?
ParlaMint-NL_2016-11-02-tweedekamer-12.u76	This was reported a few years ago when this discussion took place.
ParlaMint-NL_2016-11-02-tweedekamer-12.u77	No, but on what website?
ParlaMint-NL_2016-11-02-tweedekamer-12.u78	I don't mind...
ParlaMint-NL_2016-11-02-tweedekamer-12.u79	If the media writes something wrong, can't you say someone was a director? I'm asking you.
ParlaMint-NL_2016-11-02-tweedekamer-12.u80	The point is, you say I didn't do my homework. I did. I'm literally quoting it here.
ParlaMint-NL_2016-11-02-tweedekamer-12.u81	Yeah, but...
ParlaMint-NL_2016-11-02-tweedekamer-12.u82	I repeat my question as to what you are still hiding from.
ParlaMint-NL_2016-11-02-tweedekamer-12.u83	No.
ParlaMint-NL_2016-11-02-tweedekamer-12.u84	You seem to think it is normal in Turkey, but you do not want to make statements about it in Morocco, because your own party colleague has been so clear about it.
ParlaMint-NL_2016-11-02-tweedekamer-12.u85	Here comes the standard story again: to compare everything, wherever you come from. Whether you're from Morocco, Africa, Turkey, Europe or Asia, it doesn't matter; everything is being compared. SMN makes its own choices. Diyanet also makes his own choices. The Turkish mosques make their own choices. Moroccan mosques make their own choices. If that choice was made there, that's fine. I'm fine with them making that choice. That's the way it is in a free country. Let them make that choice. If SMN says "we don't want to," that's fine with me. If Diyanet and the Turkish Dutch say 'we do', there must be that option. Ready.
ParlaMint-NL_2016-11-02-tweedekamer-12.u86	I'm gonna take a look at the minister. Can he answer directly? That is the case, and that is why I am giving the floor to the Minister.
ParlaMint-NL_2016-11-02-tweedekamer-12.u87	Mr. Chairman. The Azmani c.s. motion. in piece No. 163 is about the interference in the life of Turkish Dutch. Over the last few months, since the coup attempt in Turkey, we have discussed this more often and have taken action in the cabinet to form a strategy which aims to achieve the same objective as the motion. I work together with my colleague from the Foreign Affairs Department and with the colleagues from OCW. It's work in progress. Here and there it is more successful than at any other point. If I may read this motion as an appeal for a clear strategy to prevent Turkey from exerting undue influence on the lives of Turkish Dutch people, I see this motion as a support for policy. The Azmani motion in part No. 164 is a little more complicated. Even after Mr Azmani's explanatory statement, I am still looking. If Mr Azmani wants to follow a motion tabled by Mr Marcouch that I should not turn to organisations traditionally involved in integration policy in the old-fashioned way of the National Consultation Minorities (LOM), I very much agree with that. Those days are really behind us. Then I can also recommend the motion positively. However, if the motion were to contain a gag order for this minister, which would be very strange, since the two proposers belong to liberal parties, I would have to advise against the motion. Then I can't carry out the motion either. Mr Azmani will understand that immediately. So I'm gonna need a little explanation. How am I supposed to take the motion?
ParlaMint-NL_2016-11-02-tweedekamer-12.u88	Let it be clear that, of course, this is not a gag ban. The traditional organisations we know and have spoken to should no longer be part of the integration policy. We shouldn't offer them that official stage either. It is the vast majority which is not represented at all by these organisations and which is located in the neighbourhoods, the neighbourhoods and in schools. These people are mostly just trying to be Dutch.
