ParlaMint-NL_2016-01-26-eerstekamer-7.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2016-01-26-eerstekamer-7.u12	I think the intention of this law is, in the words of the Secretary of State he used in the House of Representatives, that we should abolish the circus of the VAR. At the moment, 800,000 VARs are being issued. As I said in my speech: as a VAR entrepreneur, that does not mean that he is profiting from business. That is an indication, but afterwards he has to fill in his own income tax return note or a corporate tax return note if it goes through the e.g. Then he must make sure that what he wrote in the VAR was actually the reality. In that sense, nothing changes at all. The criteria of whether you are an entrepreneur and profit from a company or that you have an e.g. and through which you acquire orders and thereby generate revenue and profits are not discussed here. For thezzp'er nothing changes at that point. Those who are now in a situation of false self-employment, in my opinion, are about 10% of the 500,000; I would like to hear what the Secretary of State says about this. They will have to ask themselves whether they are morezzp's.
ParlaMint-NL_2016-01-26-eerstekamer-7.u13	I would like to remind Mr Van Rij of his commitment to explain once again where his confidence in enforcement comes from under the new regime. He hasn't, so I'm gonna ask him to.
ParlaMint-NL_2016-01-26-eerstekamer-7.u14	That is my general confidence in the functioning of the Tax Administration in this country. The Netherlands has a very reliable Tax Service in this respect. The Netherlands has a rather unique culture that an agreement with the Tax Administration is really an agreement that must be respected from both sides. I see it as follows, but I have asked a number of questions about it. If you, as a taxpayer, comply with that model agreement, that also means that the inspector will abide by it. A lot of countries don't know that. I can do a lot of digging, but I won't. The Dutch Tax Administration, of course, also has the policy of horizontal supervision, which is based on mutual trust and transparency. Those are two key concepts. In that spirit, I see this bill. I am not a blind optimist, but I share that confidence in the tax administration's policy, which I have been dealing with in practice for 30 years.
ParlaMint-NL_2016-01-26-eerstekamer-7.u15	Maybe there's been a misunderstanding about the word "enforceability." This is not about the extent to which the tax authorities comply with the agreements, but about the extent to which we can effectively catch those who do not comply with the agreements. The question is why Mr Van Rij thinks that this will be better under the new regime than under the old regime. In this connection, I ask him whether it means anything to him that the cabinet itself does not estimate the effects of budgetary revenue. There, at least, there is not too much confidence in the great impact of this new regime, especially if it were to be so.
ParlaMint-NL_2016-01-26-eerstekamer-7.u16	I would like to answer that last question immediately. I think that's very sensible of the cabinet. In recent decades, we have experienced too often that much too easily revenue is collected from fraud. I think this is sensible from the point of view of caution. I don't think it's an indication not to start maintaining. I would like to await the answers of the Secretary of State to the questions I have asked. I now assume that the Tax Administration will come up with an enforcement policy. I've argued for this, too. This means that the service will maintain risk-oriented. In my opinion, this can be nothing but that he is aiming at that 10% and not at that 90%. That is a great improvement with what it is like now, because now it is not maintained because the burden of proof is too heavy. The service can only maintain if there is too bad faith.
ParlaMint-NL_2016-01-26-eerstekamer-7.u17	On the latter point, it was suggested in the discussion prior to the DBA by a number of parties that improved enforcement under the current regime would indeed be possible, for example by using a strengthened questionnaire or by a much more direct control by thezzp'ers themselves, using their ib data. Do I understand that Mr Van Rij has no confidence in that?
ParlaMint-NL_2016-01-26-eerstekamer-7.u18	If Mr Rinnooy Kan had listened carefully, he would have heard that I deliberately asked the Secretary of State if he saw any possibilities in the existing law, for example with a lighter burden of proof. This is about the clients. If the tax authority checks and sees big differences in some of the 10 million people who report it, because they deduct €10,000 mortgage interest one year and the next year 1 million euros, the computer will spit out that information immediately. There's obviously something going on. However, how do you do that with the 500,000 contractor group, if these people complete their profits from the company or indicate their profits in the e.g.? You'd have to set up an army of two or three thousand civil servants to visit all thosezzp'ers. That seems to me to be a very undesirable situation. Thezzp'ers just have to work. It must be the 10% false self-employed.
ParlaMint-NL_2016-01-26-eerstekamer-7.u19	I'd like to continue the conversation with the Secretary of State, but do not share this assessment for the time being.
ParlaMint-NL_2016-01-26-eerstekamer-7.u20	I'm not surprised. I look forward with interest to Mr Rinnooy Kan's contribution.
ParlaMint-NL_2016-01-26-eerstekamer-7.u21	I hear Mr Van Rij say that it is very important that we tackle false self-employment. I don't think there's much discussion about that. The same applies to the observation that the group is a limited group, he talks about 10% of what is difficult to deal with under the current rules, in particular because the safeguard plays a role in this. Do I understand Mr Van Rij correctly that he prefers that it should be dealt with within the current legislation if possible, for example by fine-tuning another burden of proof or perhaps something in the legislation which makes the safeguard less generic? Does he prefer to enforce the VAR legislation with an adjustment of responsibility over a completely new law, in which we will shoot with a shot shot at all thosezzp'ers? Do I understand Mr Van Rij that well?
ParlaMint-NL_2016-01-26-eerstekamer-7.u22	Can we get together on this? Shall we give the Secretary of State for Finance an opportunity to answer my question first? I would like to return to his question in the second term, once I have taken note of the answer from the Secretary of State.
ParlaMint-NL_2016-01-26-eerstekamer-7.u23	Of course I would like to agree with Mr Van Rij, but the question is what the weight of his question is. If the weight is that in the context of proportionality you can better tighten up the current law than come up with a new law, we have a different question to ask the Secretary of State than if he would say: if it is not possible, the Secretary of State may do it differently. I'd like to know the weight of his question.
ParlaMint-NL_2016-01-26-eerstekamer-7.u24	The weight of all my questions is extremely heavy.
ParlaMint-NL_2016-01-26-eerstekamer-7.u25	That's very nice, thank you very much.
ParlaMint-NL_2016-01-26-eerstekamer-7.u26	I have also listened with interest to the story of Mr Van Rij. He's trying to provoke the State Secretary's commitment to extend the transition period. I've taken note of that. Can Mr Van Rij indicate which degrees of freedom he grants to the Secretary of State? If that period shows that it is not all as beautiful as Mr Van Rij hopes it will be, for example becausezzp'ers are being redirected to payroll companies. I'm just mentioning a possible behavior effect that can occur. How far is he willing to go with the degrees of freedom? Can there also be a moment when Mr Van Rij says: to here and no further?
ParlaMint-NL_2016-01-26-eerstekamer-7.u27	That is a very fair question. The plea for the extension of the transition period is, of course, motivated by the fact that this is a major operation. Too often we have seen that the government sometimes thinks too easily about a system change or in this case the abolition of the VAR. There are 500,000 people who are directly affected by this. The great advantage of extending the preparatory phase is that part of the homework can be completed. I can imagine you'd build in an evaluation moment, if that's what Mr. Ester means. It almost embarrasses me, because I think that the Secretary of State himself should indicate how he sees it when the preparatory phase runs until 31 December, as we advocate. In recent weeks we have still received too many outstanding questions from various interest groups. There are also interest groups that are much more positive. I trust that this time will be used well and that market parties will come out in common. If this is not the case and if there are insurmountable objections, I can imagine that you will include an evaluation. Shall we also agree to let the Secretary of State reply first?
ParlaMint-NL_2016-01-26-eerstekamer-7.u28	In general, I think that is a good strategy. However, as a representative of the CDA, I would like to ask you a direct question: where does the group draw the chalk marks when it comes to the transition period?
ParlaMint-NL_2016-01-26-eerstekamer-7.u29	I understand very well that you want to hear that from me. Of course, you want to hear some very tough statements at this stage, but I would like to let the debate run its course. I want to listen carefully to what you and others, but above all the Secretary of State, have to say. You're gonna have to be patient. I'm not going to speak a strong language in response to your question. This will also be something for the second term.
ParlaMint-NL_2016-01-26-eerstekamer-7.u30	Mr. Chairman. I am grateful to the Secretary of State for the detailed answer to the questions put by a number of political groups in this Chamber. It provides a moving insight into the progressing process in this dossier from BGL to model agreements, with a rare participation in the tax legislation of thezzp interest groups, but it is about something. It's about no less than "to be or not to be" as a zzp'er. For what problem is this bill DBA the solution? Our group's underlying question is: what is the elephant in the room? That is the explosive growth in the number of malezzp's from now 12% to 19% in 2030 under unchanged policies, especially unchanged fiscal policies. I refer to the CPB report and to the above mentioned ibo report. Several political groups have asked for the link between this DBA bill and the Ibozzp on the position of thezzp'er in the labour market. I quote the Secretary of State's reply. "According to the IBO Working Group, it is desirable to bring the tax burden of entrepreneurs and employees closer together, because the business facilities forzzp'ers have a disruptive effect on the labour market and not all contribute effectively to the objectives pursued by the policy instruments. The Cabinet shares the analysis of the IBO working group that in the longer term the large difference in institutional treatment ofzzp's and employees should be reduced, but considers that this requires a broad political and social debate. The Cabinet is happy to discuss this with your Chamber." Of course, I'd like to pick up that glove in my speech. The Secretary of State continues: "At the level of implementation, the DBA Bill does not have to wait for the results of this broad political and social discussion. The legislative proposal aims to improve enforcement now and in the future. Maintaining the distinction between employees and the self-employed remains relevant in the future. Improving enforcement is a no-regret measure." In this context, the Secretary of State for the Transition Plan speaks about the policy put forward by the interest groups themselves for an alternative to the VAR decisions circus. Those are the words of the ruler in charge. My first question is how he stands in this file himself. Is it an absolute necessity for policy and enforcement, therefore, a no-regret measure, or has it been suggested above all by the interest groups and increasingly taken over by them? I ask this question because first we need to know why the current regime is not enforceable. Several groups have already asked questions in writing about the usefulness and necessity of this proposal because of the doubts about the problems of maintaining the current VAR system. The State Secretary's reply indicates what the VAR is actually intended to do and what the consequences of the system are in fact. That's a good clarification. The answer ends with the conclusion that enforcement that can only be aimed at contractors is a form of mopping with the tap open; we continue to speak graphically even though it is a fiscal debate. So the VAR has one effect in particular. It hinders enforcement by the Tax Administration, according to the State Secretary. But what crane should we be talking about here? I think we should talk about the tax crane that remains wide open forzzp'ers. In this debate it must be primarily about whether or not to maintain the widely open tax faucet forzzp'ers. I would like an answer to this. There are questions not only from our group but also from the Council of State, which criticized this proposal in its opinion in 2014, even before the ibo report came out. The Board also commented on the usefulness and necessity of the proposal and on the website. The Council concluded in 2014 that there is a lack of clarity as to which problem the proposal seeks to solve. The reason for this is that false self-employment is not adequately combated by this proposal in order to be part of business income tax facilities. The benefits of these facilities can be derived as much from the proposed scheme as from the existing one. The Council continues with a second point of criticism, namely the extent of the problem. Mr Van Rij has already spoken about this. Furthermore, according to the Council of State, once again, the arguments of not so long ago to safeguard the client from paying taxes are to promote work forzzp'ers in the current difficult labour market. The Council considered the proposal premature in the light of the ibo report to be expected at the time. The Council considers that further consideration should be given to the proposal. That's a big deal. Can the Secretary of State again address these criticisms of the Council of State? This inevitably brings me to the reaction of the cabinet of 2 October 2015 to the ibo report of April 2015. The mountain of 143 pages of the ibo report gave birth to a mouse with the cabinet response, and the elephant is still in the room. The letter from Asscher and Kamp contains thirteen pages, but there are hardly any policy conclusions. Much is appointed and considered without conclusions, let alone proposals. The key question is skilfully bypassed. Only on the last page the monkey comes out of the sleeve. I quote the cabinet; pay attention to the language. "The ibo report describes a number of solutions and rightly points out that the selection of measures, precise design and measurement depend on political and social preferences. In order to achieve a sustainable and future-proof solution, with broad support, it is necessary to continue this social and political debate." I honestly didn't know it had already started according to the cabinet. In his reply to this bill, the Secretary of State even talked about reducing differences in the longer term. Can he make it clear again why the cabinet has not made any decisions? The cabinet recognizes no urgency to address the issue of decisions, even in order to reach solutions such as the ibo, despite agreements in the coalition agreement. The cabinet comes no further than to discuss the ibo's need for support. And that while the ibo report and the accompanying CPB report show that it is a multi-headed monster. This Chamber has the motion-De Graaf c.s. The Committee on Social Affairs, Employment and the Working Environment adopted an own-initiative opinion on the way in which more balanced relations between employees and self-employed workers can be achieved in the labour market. While the labour market is the problem for the future, the cabinet does nothing. Minister Asscher has completely failed on this point, as he does on a number of other labour market dossiers: not deeds but words. I should just like to point out that Asscher's poor policy on older people's unemployment. Last Saturday, the Scientific Bureau of 50PLUS dedicated a symposium on this subject on the basis of a report by SOR. Speakers were Sweer van Wijnbergen, Michael van Straalen, Chairman of the SME Netherlands and Ruud Kuin, Vice-President of the Executive Board of the FNV. The entire report can be read on the website of 50PLUS. The CPB highlights some important aspects of the discussion onzzp'ers and employees. The share of self-employed workers in the labour force has grown sharply. According to the CBS, around 1.1 million people worked at their own expense or risk in 2013, of whom almost 800,000 worked as zzp'ers. This is a doubling compared to 2000. The largest increase occurred in men over 55 years of age: a doubling of 15% to 30%. The growth of the number ofzzp'ers in the Netherlands is three times higher than in Europe, according to the ibo. According to the planning agency, the future growth of the number ofzzp'ers depends on the policy. With full abolition of fiscal policy, the number ofzzp's remains at the 2010 level. In the case of unchanged policies, there is an increase of 12% to 19% in 2030. Tax policy is therefore crucial. The CPB also points out that decomposition analyses show that tax incentives play an important role in the growth of the number ofzzp'ers. Zzp'ers pay much less tax than employees which has a sucking effect. A zzp'er pays €0.45 less tax on each extra euro earned. Over the entire income, less tax is paid byzzp'ers. Half of the difference in the wedge is explained by unpaid contributions unemployment and incapacity for work. The effect of the self-employed deduction of €7,300 is thatzzp'ers net hold 20% more than an employee. Then I'll get to the ibo report. It points out that the Van Dijkhuizen Commission has already concluded that there are no convincing economic arguments for the generic self-employed deduction in the current unfocused form. The ibo states that there is no good reason whyzzp'ers do receive income support and workers do not. There is also a good chance that those who need the support most will miss them because of a weak negotiating position. As a result, the tax advantage goes to the client via a low rate. They will then become cheaper and that will disrupt the labour market. I'd like to get a reaction to this. The ibo report mentions some policy options to reduce the difference in tax burden betweenzzp's and employees. Variant A includes a reduction of the self-employed deduction, which would have a budgetary impact of over 2,100 million in 2016, including the impact on the supplements and the income-dependent care premium. How much is the effect of the self-employed deduction, additional supplements and the lower care premium in those 2,100 million? What is the impact of these three components and the total by 2020 and 2025? The structural impact in 2016 of the self-employed deduction of more than 2 billion and the SME profit exemption of another 1.5 billion bring the total tax relief forzzp's to 3,750 million, almost 4 billion. That is almost as much as the very large reduction in taxes for workers, which we have been talking about here recently. So it's about something. The self-employed deduction not only leads to lower taxes, but also to a lower AOW premium. Can an overview be given of the income tax payable and AOW premium forzzp'ers with an income of €10,000, €20,000, €25,000 and €30,000? A separate proposal is to convert the self-employed into a tax rebate. This would mean that the effects on the assessment income, on the allowances and also on the lower basis of the care premium would disappear. The deduction now leads to higher allowances and a lower care premium. That's a double advantage. This DBA proposal is in fact about the status quo, about the maintenance of tax support, for which a new enforcement system of model agreements is being established. I focus on the underlying problem, the two facilities. 40 years ago, in 1975, as Secretary of State for Finance, I introduced the self-employed deduction, with a modest starting amount of 1,200 guilders, in order to meet the tax burden on companies of smaller self-employed workers, farmers and middlemen in the heavy income tax system, which was pressing on the high false profits resulting from the towering inflation of that time. This led to a paper value increase on which tax had to be paid. At the time, the cabinet intended to help self-employed people with a company and staff and thereby to promote employment. There was a high level of unemployment at the time. Over the years, the self-employed deduction has grown to almost €7,300. This deduction is increasingly an unfocused tax subsidy and exerts a magical appeal on the self-employed one-pitter. My question remains as to why, following the ibo report, the cabinet did not take the cow by the horns in the interests of the labour market. Why has it not decided, on the basis of the ibo report, to make a significant gradual reduction in business facilities forzzp'ers and to adapt the social insurance laws forzzp'ers? For example, a poverty trap can be avoided forzzp's, especially for the group over 50 to 55 years of age. This group has for years had no social safety net for employee insurance and has therefore long been condemned to assistance. After that, he does not have a substantial supplementary pension. I'd like to get a reaction to this. Among older workers, the number ofzzp'ers has increased the most, especially after the crisis. If the cabinet continues to look away from the approach to tax income support, the number of employees will continue to increase exponentially, with disastrous consequences for the collective sector, for income tax and public insurance revenues, but also for the support of employee insurance and pension systems, with fewer and fewer employees. Assistance payments will also increase significantly. I'd like to get a reaction to this.
ParlaMint-NL_2016-01-26-eerstekamer-7.u31	I assume that Mr Van Rooijen has just finished his contribution. If he doesn't, he'll have to apologize for rushing me to this microphone a little early. Mr Van Rooijen spoke on page 11 of his contribution to preventing a poverty trap forzzp'ers, especially for the group over the age of 50 to 55. In his earlier speech, I only heard him talk about abolishing tax facilities. Now he suddenly switches to preventing a poverty trap forzzp'ers. That actually brings me to the question I asked Mr Van Rij earlier, but from a slightly different angle. Thus, Mr Van Rooijen apparently sees a lot of positive effects for thezzp'er when the situation is continued, but he also sees a poverty trap of 50 to 55 years of age. How does he rhyme with these differences?
ParlaMint-NL_2016-01-26-eerstekamer-7.u32	I understand that question very well. I'm struggling with this problem myself. I referred to the Symposium and the report by SEOR, in which a good explanation is given in 80 pages. We have seen, in particular, that, as a result of the crisis, workers over 65, later than 55 and now over 50 or even over 45 years of age, are no longer active in the form of employees. As a result, they are often forced into azzp-ship. They don't want to, but they have to. They want to keep taking care of themselves and their families or anyone else. I have noted that this is a new major social problem. It concerns a number of people in the 50 to 55 age group who are no longer in an employee situation after the crisis, thus losing the employee security of insurance. They are in a difficult market and must act beggingly on the labour market. They work at ever lower rates. This often brings them below the social minimum. That group is getting much bigger very quickly and is also getting into bigger and bigger problems. After they're done with the employee, these people no longer have employee insurance. They lead an insecure and poor social existence in thatzzp-ship. As soon as this, for whatever reason, stops or leads to a very low income, they will get into the assistance very quickly. They are also increasingly involved in the assistance, as retirement age and the AOW age are getting higher and higher. I would point out that this has a major impact on the financing of the collective sector and on the people who have been employed after 10 or 20 years. For the record, it is a good thing that we have tax facilities for entrepreneurs. I am certainly the one who recognized the need for this at the time. It's very good that that facility stayed. However, all reports point out that there will be a discrepancy. The Central Planning Office has asked the Cabinet to take a fundamental look at this. The ibo report also asks for it. The cabinet itself indicated this in the coalition agreement. My speech in the last 15 minutes focused exclusively on this. The ibo report provides policy variants. For example, you can also limit or abolish the self-employed deduction in a period of 10 years. It is also mentioned that an increase in the reduction in working hours can play an important role in this process. However, that is not yet the case.
ParlaMint-NL_2016-01-26-eerstekamer-7.u33	Mr Van de Ven, would you like to ask a further question? Shortly, please. Mr Van Rooijen, I would also like a brief answer.
ParlaMint-NL_2016-01-26-eerstekamer-7.u34	Mr Van Rooijen's whole speech is therefore aimed at expressing the urgent need for fiscal facilities in the growth market of thezzp'ers. Is that conclusion correct?
ParlaMint-NL_2016-01-26-eerstekamer-7.u35	That conclusion is precisely that a tax facility can have a function for stimulating entrepreneurship. The only question is how far you go, how you do that and how it relates to the contribution of the workers and the elderly, who have no facilities at all, to the collective sector. Also note the effect on the AOW premium. Let us be honest: these business facilities mean that an entrepreneur pays significantly less tax, especially in the case of a lower income, but also significantly less AOW premium, while in due course he is entitled to the full AOW.
ParlaMint-NL_2016-01-26-eerstekamer-7.u36	I follow Mr Van Rooijen's fundamental considerations with great interest. In my opinion, he is really taking an advance on the fundamental debate that we should have had under the leadership of the cabinet. So be it, at least for now. I actually think that his last few minutes mainly illustrate how complex the matter is. I do not want to leave one footnote unplaced, namely that I wonder where his estimate comes from that the number of opposingzzp'ers, the self-employed against will and thanks, has increased as much as he suggests. The ESC has carried out research into this phenomenon. However, it has been shown over and over again that it does indeed occur, but that the percentage was surprisingly low. There is no need for a comprehensive response, but I would like to make this comment.
ParlaMint-NL_2016-01-26-eerstekamer-7.u37	Maybe I can recommend Mr Rinnooy Kan and my colleagues to read the report by SEOR last Saturday, which is on our website. It shows the worrying developments on this dossier in terms of older people's unemployment. Thezzp-situation plays a role in this, as the number ofzzp'ers increases most among the elderly.
