ParlaMint-NL_2016-04-26-tweedekamer-32.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-04-26-tweedekamer-32.u18	Isn't that right? That's nice, isn't it? Due to the open borders, the absence of an employment permit and, therefore, measures taken by the European Union which are always being taken over, unbridled labour migration has taken place in recent years. Of course, there have been some patchwork, some laws passed and some measures taken to suppress it a little bit, but there is cross-border work and it is hard to contain it. Where no borders are applied, there is a problem that blurs boundaries and thus problems that transcend culture and laws. So another directive is being drafted by the EU. That is, of course, to confirm its own relevance. The implementation of this EU directive is not the means we need to tackle repression and exploitation. Jobs are on the march here in the Netherlands because of the EU expansion and the invasion of our country that caused them. We are not talking about Ukraine and Turkey, about visa-free travel and about the problems that this could cause. The solution to the problems posed by the EU's open border policy is not yet more EU. The best is the Netherlands from the EU. Then we can regulate our own migration, including labour migration, and enforce our own rules. That's what we're all really good at here. As far as we are concerned we close the crane instead of mopping harder together. We do not want to implement this EU directive. We also voted against it in Brussels. In the second letter of amendment, the Minister indicated that he was going to shorten the deadline. Mr Ulenbelt also talked about it so that employers could recruit people after three months. We think that's a nice proposal. We will consider it more closely, to see how we can be against one another within the package and yet for the other.
ParlaMint-NL_2016-04-26-tweedekamer-32.u19	That was indeed short and powerful, Mr De Graaf. Thank you. Nice.
ParlaMint-NL_2016-04-26-tweedekamer-32.u20	Mr. Chairman. Today we have some strange legal treatment. It is no longer just about implementing the Enforcement Directive, but also about relaxing the rules on seasonal work. The amendment of the Work and Security Act, rightly so, has nothing to do with the Enforcement Directive. However, my group appreciates the speed. This measure, which was widely called for in the Chamber, is now included in this legislative proposal, in order to resolve the problem by 1 July. It is a good thing that the Minister, in this way, has acknowledged that the Work and Security Act simply did not work in practice in this area. After all, that was the conclusion. I have some questions about the Enforcement Directive. My group is positive about this, because it seems to contribute to better enforcement of the use of foreign workers. That is necessary, because in the construction of the A2 and the A4 and the Eemshaven, for example, we have seen enough cases where this did not go well in practice. Mr Ulenbelt has already mentioned this. The question raised by the D66 Group is whether it is effective in its work. How effective is it to implement only that Enforcement Directive? That is not a strange question in the knowledge that there is also an amendment to the Detaching Directive. I would ask the Minister to explain again why he also expects progress on this enforcement directive. In this light I am curious why there will be no additional capacity for the Inspection SZW. The Minister has heard me ask for it before. Each time the answer is that it is not necessary. At the same time, however, we see that the number of inspections since 2011 has been halved. This time, too, the Minister writes in the answer to questions and in the explanatory memorandum to the bill that extra capacity is not needed because there will be a reporting obligation, which would make it easier for the inspection to check. It could be more effective with current capacity. Then there will be more investigations, even though we are not expanding the capacity. There are therefore relatively fewer studies leading to nothing. Of course, that's a very nice theory. It is also a bit the theory behind risk-oriented supervision. However, if you look at the enforcement rates in recent years, you can see that the enforcement rate in 2012 was 21, that it got slightly better in 2013, namely 24.5 and that it fell back to 18.5 in 2014. A target rate of 20% has now been set. The Minister promises that this percentage will improve. How many? That's how I'm asking the Minister. So what's the goal? What are we gonna charge him for later? Is that 25%, 30% or maybe 40%? I'd like to hear a reaction to this. Don't you just need inspectors to put the new instruments into practice? In addition to the reporting obligation for foreign service providers, the government also wants to introduce a reporting obligation for foreign self-employed workers. It is only introduced for risk sectors. Has the Minister thought about what sectors that will be? I can imagine that the construction sector will fall under this heading. If an independent construction worker, for example from Poland, comes here to work with a private individual, is this obligation to notify enforceable and effective? The Minister writes in the note following the report that there will be an information campaign for clients. I am very curious how the Minister is going to reach out to the private person who hires a Polish construction worker and what this information campaign is going to look like. Mr Ulenbelt has tabled an amendment to report the civil service number and the bank account number of posted workers. Then they are better to find, even if we still have to pay back wages. My group had also asked for this. In the reply, the Minister states that he does not consider this to be proportionate. I would like to challenge him to go into this more fully, because I do understand the purpose of what Mr Ulenbelt is proposing. Just taking it off with the remark that it's not proportional, it's going a little too fast for me. Why doesn't the Minister think that's a good idea? I'd like to have a more detailed explanation. In addition to the Enforcement Directive, today we are discussing an amendment to the Work and Security Act. It is good that the Minister has acknowledged that this law was too restrictive in the agriculture, horticulture and recreation sectors, and that a legislative amendment was needed to resolve these bottlenecks. That is fine and a good result towards 1 June. It is therefore also fair to add this to this law by means of a letter of amendment. Although it is not the royal route by law, given the time pressure it is certainly justified. It is a good first step that the rules for seasonal workers are being improved and that many seasonal workers are not at risk of losing their jobs, because that was what threatened hard in the agriculture and recreation sectors. Mrs Schut rightly asked what would happen if there was no collective agreement. I would ask the Minister to answer that question, because that question also lives with D66. The bottlenecks are wider than seasonal work. My group will not repeat the entire debate on the WWW, no matter how tempting that may be. We are very concerned that people are being dismissed rather than getting a permanent job faster, and that companies have become more reluctant to offer that permanent job. We will do that at another time. There is, however, one urgent point that has already been raised in an interrupting debate with Mrs Schut: primary education. A month ago, Mr Schouten and I tabled a motion, which we held in anticipation of what emerged from the consultation of the collective bargaining parties and awaiting the scout, who is going to look at it. We're running out of time. I was therefore disappointed because this particular problem has not been solved. That's not because I find education seasonal work, because it's not. I agree with the cabinet. But there is an acute, concrete problem with the invaders and invaders, which was not intended but which we can solve. I am therefore curious to hear the Minister's reaction to the amendment tabled by Mr Schouten, Mr Heerma and myself. I am also really counting on the support of those parties who have asked for education to be put out of business in the past year, like these parties. I'd like to ask you a few more questions about amateur sport. If it takes place in the outdoors, then the change we are discussing today offers a solution. But the concerns that colleague Heerma mentioned in the earlier consultations on this matter were somewhat broader. What are we supposed to do with a tennis park with both indoor and outdoor courts? We ourselves can share very interesting cases with each other. Is the Minister planning to do something for amateur sport? In practice, it breaks down with coaches and the like. I have the impression that what we are discussing today is a step forward, but there is still more to be done. I hope the Minister is prepared to take another step in that direction. I would like to draw attention to the increase in the legal minimum youth wage. There's gonna be one. My group very much welcomes this. D66 called on the cabinet, in an approved motion, to bring about a substantial increase. Now I read in the pieces that it will start in 2017. I assume that's January 1, 2017. Can the Minister confirm that? I am raising this point today because it is also a matter of urgency. If there is another bill in the autumn, you have a few months left. I think that's short notice. Why, for example, did the Minister not choose to add the first step, which, as far as my group is concerned, should be taken on 1 January, also with a letter of amendment? Well, at least that first step is in the law. That seems desirable to me. Can the Minister explain why it is not possible to send those proposals to the Chamber for the summer recess? I myself have been playing around a bit, and I have decided to settle the first step by amendment in this law. But of course, I await the Minister's response first. I really hope he does everything he can to achieve the goal that I know we share. Surely it would be very sad if it became apparent that, because of political or other circumstances, this increase in 2017 does not take place at the time we all want? As far as my group is concerned, this is 1 January.
ParlaMint-NL_2016-04-26-tweedekamer-32.u21	I call Mr Kerstens of the PvdA Group. How many minutes do you intend to use, Mr Kerstens?
ParlaMint-NL_2016-04-26-tweedekamer-32.u22	I'm guessing about ten minutes, Mr. Chairman. Mr. Chairman. Being able to travel freely and earn a living anywhere is part of one Europe. I see it as my task to point out the shadows of it: underpayment of colleagues from, mostly, Central and Eastern Europe, unfair competition for companies that do comply with the rules and repression of Dutch construction workers and truck drivers, and not only those who are put aside as 'too expensive'. Such shadow sides contribute to the negative feeling of many people about the European Union. That is why, and because they do not fit in with the decent labour market that the Labour Party is fighting for, we must fight those shadows wherever we can. I do so myself, since I am in the Chamber, the first two motions that I tabled after the elections in 2012 dealt with this issue and also before that as chairman of the FNV Construction Association. Contrary to what was the case at the time, over the last few years here in The Hague, there has been a significant increase in the awareness that something really needs to be done. The appointment of additional labour market inspectors, the submission and adoption of the False Constructions Act, which means that clients can no longer look the other way and undesirable situations have been declared illegal, more tools for inspection and better cooperation with social partners, all of which are serious steps. There has also finally been movement in Brussels. It was driven by the Minister, who in turn was sent out by us. Recently, in the Chamber, we talked about improving the so-called Detachment Directive, so that equal pay for equal work in the same place comes one step closer. We'll do it again in a while. Today we are talking about the way in which we are implementing the new enforcement directive, which has also been promoted from the Netherlands. It is intended to combat underpayment, unfair competition and repression, and to tackle bogus structures, wrong employers and shady employment agencies. We are doing this with the Working Conditions Act on posted workers in the European Union, which we are discussing today. The Labour Party is therefore going to vote for this law, which trade unions are also very pleased with. That makes sense, because we have insisted on it like no other, and things that politics did not want to deal with for years are now in the law. I'll start with the most important of them. Before people get to work here, employers have to make an official mention of it, so that the inspection will know who is going to do what for how long. Employers must also ensure that all necessary documents are available at the workplace. They must also have a permanent contact person in the Netherlands. In addition, and that is at least as important, its client and user are obliged to check all kinds of items. Otherwise, they'll be at risk of a fine themselves. So this too is the end of looking the other way, shrugging the shoulders and washing the hands in innocence. That is a very big step forward that is going to make a real difference. Compulsory prior notification, by the employer, and mandatory monitoring by the client, suddenly make shuffling a lot less attractive. I would like to raise three points with regard to reporting. We read that a digital reporting system is being rigged, following the example of the Belgian Limosa. This system has been successfully used by our southern neighbours for a number of years now. I wonder why it should take until 1 January 2018 until the reporting system in the Netherlands is operational and notifications become mandatory. It's got to be early, right? I would like to hear from the Minister why that might not be possible. In addition, I assume that the inspection will take place when a client reports that things are not right in the context of his obligation to investigate. The latter must do so if he is not to be liable himself. However, such a report must be made. Can the Minister indicate that the inspection is actually going to take place if there are any reports from the principals? An exception is made to the notification requirement for passenger and freight transport, except in the case of cabotage, transport from one place to another in the Netherlands. That last one's nice. It is also a good thing that the Minister will bring the transport sector under the Act approach, which makes clients liable for abuses there too. I've insisted on that before. When is that bill coming to the Chamber? I just happened to talk to some drivers last weekend. They are very happy about it, but would be much happier if the bill came quickly to the Chamber and could be introduced quickly. There is also a part of the transport that is excluded from this obligation. In what way does something extra happen to prevent abuse in that particular area? The transport sector is very vulnerable to abuses. In terms of enforcement, can we expect extra focus on the transport sector, including from the Ministry of Infrastructure and the Environment? I also welcome the fact that in risk sectors, such as construction, cleaning, care and IT, which the Minister himself calls, the reporting obligation will also apply tozzp's and thus the obligation to check their clients. Countless are the stories of people who got into a van in Poland as an employee and came out here after a stopover at the Tax Administration as a zzp'er. Or people who suddenly turned out to bezzp'er somewhere during a fall of a scaffolding of an employee, so that no one was responsible anymore. Why does the Minister not apply the reporting and checking obligations ofzzp's in all sectors? I also ask this because I can imagine once again the tricks of clients who hirezzp'ers who are supposed to be active in a non-risk sector, but in an adjacent sector that is very close to that and where the work sometimes falls under one sector and sometimes under the other. I am positive about the clarification and the associated extension of what is called the hard core of working conditions and the matters contained therein by trade unions and employers in collective agreements, in addition to or as a complement to the law, to which Dutch workers and their colleagues posted abroad are entitled. This is important because it brings closer to the aforementioned equal pay. The new definition is in line with the latest judgments of the European Court of Justice in this field. That's a good thing. However, the recently announced amendment to the Detachment Directive gives an even broader definition of the hard core, with the term "remuneration": all income items that can be valued on money. Is it possible to take over that definition? In any case, this should be done if it is to be part of the new directive, but is it already possible? I would ask the Minister to take a serious look at this. I have pointed out earlier whether pension contributions can also be classified under the hard core of working conditions. Pension is a very important condition of employment which has been agreed between trade unions and employers. The premium to be paid for this is a not insignificant part of the wage cost, which makes it quite clear whether it does not have to be paid for one employee or another. If we want to exclude unfair competition on working conditions, this is what the directive wants, that is what this law wants, that is what a large part of the Chamber wants, and that is what the Minister certainly wants. Trade unions rightly note that this is not just about equal pay but also about equal wage costs. As good and important as the steps we are talking about today, the Minister knows that more is needed: a firm revision of the Detachment Directive, an adaptation of the coordination regulation on social security schemes, so that contributions hopping where do I have to pay the least contribution? Against this background, additional national measures are being taken. The Minister has already promised that he will certainly breed on that last point. Today's law provides for Member States to assist each other in enforcement by exchanging information, carrying out checks and inspections on request and collecting fines across borders. That's all positive. As far as sanctions are concerned, I would like to hear from the Minister why we did not opt for a criminal approach, but rather for an administrative fine. I would ask that, particularly in the light of the reports I receive from Belgium and France, that if you consider infringements of this law to be a criminal offence and not an administrative fine, you could settle more matters at national level for the protection of public order than if you were to commit an administrative offence. As I said, when it was called upon to do so, the Minister recently indicated that he wanted to take stock of what additional steps we could take to deal even more firmly with abuses in the use of foreign colleagues, of which Dutch workers are also being affected. I also ask the Minister why this level of fines has been chosen. Among the examples of abuses mentioned by the Minister himself, the Eemshaven, the A2, the A4 and the A15, but also in a recent example such as the exploited Romanian shipbuilders and their Dutch colleagues kicked out of the streets, a lot of money, often millions, disappears into the pockets of crooks. Such a fine must, of course, be something. Last Thursday, the Minister presented a minority social agreement which, like the law we are discussing today, brings the decent labour market a few steps closer. Whether it is about increasing the minimum youth wage or laying a decent soil where piece wages are used, such as by parcel delivery workers, postmen, cleaners and in horticulture. In total, this concerns more than 155,000 people. That's all good news. It is also a good thing that the Spring package has agreed on seasonal work and that this has been done with the social partners. As far as the Labour Party is concerned, this is in line with the core of the Work and Security Act. If trade unions and employers both consider that there is reason to deviate from the law, this should be possible. It is logical that this will soon be possible, limited to a number of specific functions, also with regard to the period between two consecutive contracts for seasonal work. The Labour Party is confident that the way in which this has been designed will prevent abuse. As is the case with all the other issues we are discussing today, it is good for people if this agreement on seasonal work can enter into as soon as possible. That is why the Labour Party agrees with the second letter of amendment sent to us at the end of last week, which allows the adaptation of the so-called 'chain clause' that I have just mentioned to go along with the Employment Conditions Act in the European Union. That's two birds with one stone, so to speak.
ParlaMint-NL_2016-04-26-tweedekamer-32.u23	Mr. Kerstens said the Minister is brooding. It is now indeed a breeding season. That's right, but usually these eggs have hatched within a few weeks and we see what has come out. Does Mr Kerstens mean by that breeding also that the breeding season for the minister lasts a few weeks and that he then presents the hatched result to the Chamber?
ParlaMint-NL_2016-04-26-tweedekamer-32.u24	I know that in May all birds are supposed to lay eggs, but I think it is too short a day to ask the Minister, for example, to come up with the outcome of that breeding at the end of May. There's also a recess in there. However, I do expect something from the Minister. He has promised Mr Ulenbelt and me that he will come forward with an inventory of what we could do here in the Netherlands, on top of what we are already doing and in addition to European rules to combat exploitation, unfair competition and repression. So this breeding must certainly lead to an egg; an egg that we can still discuss in good time in order to take some nice next steps during this cabinet period.
ParlaMint-NL_2016-04-26-tweedekamer-32.u25	Finally, Mr Ulenbelt.
ParlaMint-NL_2016-04-26-tweedekamer-32.u26	Here Mr. Kerstens is making an ornithological mistake...
ParlaMint-NL_2016-04-26-tweedekamer-32.u27	Excuse me.
ParlaMint-NL_2016-04-26-tweedekamer-32.u28	... because it's not about the egg, it's about what comes out. And the breeding is aimed at a little bird that we see.
ParlaMint-NL_2016-04-26-tweedekamer-32.u29	I understand.
