ParlaMint-NL_2016-01-14-tweedekamer-9.u1	I give the floor to Mr Van Gerven on behalf of the SP Group.
ParlaMint-NL_2016-01-14-tweedekamer-9.u12	We have just discussed in detail Mr Van Dijk's amendment. General accessibility becomes the norm. Shouldn't you leave that to the different sectors? How does the motion relate to the amendment?
ParlaMint-NL_2016-01-14-tweedekamer-9.u13	That is a fair question from Mrs Bergkamp. However, the plan of action is about more than just about the facet "accessibility." It is also about inclusive education: can children with disabilities and children without disabilities grow up together, play together and go to school together? It's also about being able to recreate at a normal sports club. I'm sure Mrs Bergkamp can imagine anything. So the plan of action is about more. As important as I think accessibility is, the UN Convention deals with many more facets. We can also draw on beautiful examples. Finland and Germany, for example, have wonderful concrete plans of action with objectives, involvement of the people involved, and also agreements.
ParlaMint-NL_2016-01-14-tweedekamer-9.u14	That's a clear explanation. D66 also likes clear plans with objectives and results. But when we talk about the amendment and the plan of action, Mr Van Dijk says that it is actually about other subjects within those sectors. Otherwise, you wouldn't have to table another amendment, because then you're going to steer on two fronts.
ParlaMint-NL_2016-01-14-tweedekamer-9.u15	Exactly, that seems to me to be a good explanation. However, when it comes to indicating general accessibility, the plan of action can help to further implement the legal standard that we are going to adopt. This is how it should be seen in relation to each other. I have a second motion. That motion is about the accessibility of public sector information. Even if you have a limitation, you should be able to track, consult and understand that information. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that for people with visual or auditory disabilities and a slight intellectual impairment, the ability to read and understand public sector information is often very difficult;]] [[Whereas understanding public sector information is essential for the work, income, care, support and participation of people;]] [[calls on the Government to encourage access to public sector information for people with disabilities and to inform the Chamber of how it intends to do so,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Otwin van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-40]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u16	Perhaps the same question applies to this motion as Mrs Bergkamp's, namely how this motion relates to the standard of the amendment which states that the general accessibility of websites should simply be regulated.
ParlaMint-NL_2016-01-14-tweedekamer-9.u17	That is a good question from Mr Van der Staaij. In that sense, I would like to give the same answer as to the question about the plan of action. I specifically picked this out because we often hear that this issue needs to be tackled with priority so that it is properly developed and developed in the plan of action in relation to that standard. In addition, the Labour Party also notes a number of motions. This applies, for example, to Mrs Bergkamp's motion for a public campaign. Good campaigns abroad show that they do wonders for creating an inclusive society and for treating people with disabilities. In the first term, I spoke about the Say yes campaign in Belgium, which is a beautiful and effective campaign. The public campaign should be developed in cooperation with people with disabilities; it should be prepared and implemented in cooperation. That is how We stood up! A good campaign developed, which we can learn from. With Mrs Voortman, I am tabling a motion on the accessibility of public transport and the follow-up of parliamentary debates for people with auditory limitations. I'm gonna finish up. The UN Convention on the Rights of People with Disabilities is a fine treaty, a human rights treaty. It's about autonomy and citizenship. It instructs us to ensure that people with disabilities can participate as fully in society as people without disabilities. This requires a bit of government, society, business and people with disabilities. It is about what society we want and about justice. It is literally and figuratively about accessibility, about inclusion and exclusion. Legislation is necessary to ensure that accessibility is self-evident over a number of years.
ParlaMint-NL_2016-01-14-tweedekamer-9.u18	This aid dog agrees with this; this is a sort of agreement bark. A person with a disability should not ask to participate, because this has already been taken into account. A disabled person is not an exception, but general accessibility is the norm in the Netherlands. It is no longer a question of being able, but of wanting. A society in which everyone can participate requires an inclusive society and an inclusive society requires an accessible society. This is a wonderful assignment to work on. Let us not just stick to fine words, but let us actually do so now.
ParlaMint-NL_2016-01-14-tweedekamer-9.u19	Mr. Chairman. The treatment of the state law and the implementing law for the implementation of the UN Convention on the Rights of People with Disabilities has been shut down after the first term, but today, fortunately, we have the treatment in the second term. When the debate was closed, it was mainly the question of how Mr Van Dijk's amendment and others, originally in part No. 17 but now in part No. 36, must be assessed. It has taken the government quite a while to make a judgment on this. I read in the newspaper this week that the amendment would be amended and it is now available. However, it remains unclear what exactly the consequences of this amendment are. What exactly are general amenities and some basic amenities? When should an existing building be adapted or not? When, for example, should the paths and bridges of recreational landscapes be adapted? Just now, in the interrupting debate that arose following the amendment and the two motions, a great question emerged in the eyes of the CDA Group. If you include in an amendment that there will be general accessibility, unless that is disproportionate and cannot be asked, you will no longer need those motions. From the day that implementing law enters into force with the new article, does it also apply that all the requirements included in the motions are being implemented or is that different? This is a question I'd like to put to the government. Does the amendment, now that it has been amended in the sense that there will be a heavier procedure for further rules, in particular that has been amended, lead to a different opinion of the government? During the debate in the first term, I indicated that my heart said yes to general accessibility. That's almost obvious. Hardly anyone wears that. It is important, however, how you regulate it, how you put it into legislation. Let us say that general accessibility needs a huge boost. You hear regularly, especially when you talk to people with disabilities, that it's still a long way from being properly arranged here. So the question is not whether it should be done, but how it should be done.
ParlaMint-NL_2016-01-14-tweedekamer-9.u20	I hear Mrs Keijzer say with her heart that accessibility in this country should simply be regulated. Then why doesn't the CDA let his heart speak? If it has to be arranged, something we can't all oppose, why isn't the CDA just for?
ParlaMint-NL_2016-01-14-tweedekamer-9.u21	That's exactly what I've just mentioned. That is why I am so curious about the reaction of the Secretary of State to the amended amendment and the two motions that Mr Van Dijk has just tabled. In the explanatory statement to the amendment tabled by Mr Van Dijk and others. State "conductivity', "implementation plan of approach', "not when disproportionate'. It also states that it must be carried out at least so that there is a legal obligation, i.e. a legal standard of general accessibility. We are not talking about a policy plan here today, we are talking about a law here today. If the First Chamber also adopts this law, that standard shall apply from the day following publication in the Official Journal of the European Communities. That's good, but as a legislator, you always have to realize what the law that you impose on society means. I just haven't figured it out yet. That is why I am very curious about the explanation. My second question to Mr Van Dijk is what you need those two motions for when you impose that general standard.
ParlaMint-NL_2016-01-14-tweedekamer-9.u22	I'd like to explain the latter one more time.
ParlaMint-NL_2016-01-14-tweedekamer-9.u23	If it's short, it's okay.
ParlaMint-NL_2016-01-14-tweedekamer-9.u24	The plan of action and ratification are about more than accessibility. A very good plan of action is needed, including for other things. However, I would like to return to Mrs Keijzer's question. I think there's a hundred reasons why something can't be done. You only need one reason to want something. I think I hear Mrs Keijzer say the same: let us simply regulate accessibility. She points to the Secretary of State, but I just want to know what the CDA thinks and why the CDA isn't just following his heart.
ParlaMint-NL_2016-01-14-tweedekamer-9.u25	We're treating a law now. I believe that, as a legislative authority, we should be aware of the consequences of the decisions we are taking. Mr Van Dijk and I have both been alderman.
ParlaMint-NL_2016-01-14-tweedekamer-9.u26	And a lawyer!
ParlaMint-NL_2016-01-14-tweedekamer-9.u27	Yeah, that's it. As alderman, we both had conversations with the entrepreneurs and with the people of the health care institutions in the municipality. If we said that there should be general accessibility in the hospitality industry, or if we added a shovel to that if a new care facility was built, then we did so as alderman in our municipality. And rightly so. We can both tell wonderful stories about that, and I think that is true of everyone who has worked at that level. That is a different position from that of imposing a duty on the whole of the Netherlands as a legislator that takes effect on the day after the law has been in the Official Journal. In the final consideration you make about that, I think it's important to realize what that means. Who are you imposing all this duty on? Today we have all received the new proposed directive from Europe. This Directive lays down accessibility requirements for a wide range of issues: TV, telephone and other technical issues. One question that applies, for example, is whether Mr Van Dijk's amendment goes above Europe's requirements. It is a somewhat long answer, but I think it is the essence of what we are talking about here.
ParlaMint-NL_2016-01-14-tweedekamer-9.u28	Not only a little long, but you can't ask a question from your position to the one who interrupts.
ParlaMint-NL_2016-01-14-tweedekamer-9.u29	I didn't want to raise a question. It is important to ask the Secretary of State how these two relate to each other. So that is also a question I put to the Secretary of State. Are the requirements of the European directive going to apply, or is it possible that there will be a head on top of that? And if so, maybe that's very good, which one?
ParlaMint-NL_2016-01-14-tweedekamer-9.u30	Maybe I can help Mrs Keijzer. It is now stated in the amendment that it must be simple adjustments, so what one can expect from one another. It's about a piece of awareness. It's not about very extreme, complex changes. No, it's about simple adjustments that allow people to participate. I believe that is at the heart of the UN Convention. Could that help Mrs Keijzer over the line? Or what is needed for that; what questions does she have left? I believe that Mrs Keijzer has the right to get answers to questions she still has on this issue.
ParlaMint-NL_2016-01-14-tweedekamer-9.u31	As Mr van der Staaij has just said, I have not yet been able to put the pre-recess amendment in addition to the amended amendment that was received this afternoon at 12 noon. Because then you can see very well the difference. Hence my question to the Secretary of State whether his opinion is changing. I have now understood that the word'simple' appears in the explanatory memorandum, not in the legislative text. That could be, for example, a question: if it gets into the legislative text, does that change the State Secretary's opinion? If the legislative text becomes gradual, does that change the State Secretary's opinion? If the legal text states that this will apply to General Measure of Management, will that result in a judgment? Is existing legislation still applicable, or is Mr Van Dijk's amendment overrulet? Those are questions you have to ask yourself. The people who listen to this may think, "Oh, my gosh, what details, what a "mosquitoing." That's the neat word for it; I have another word in my head that I can't say. At the same time, that is the task we have here. We must think about what we are putting on paper, what duty we are imposing and what the consequences are.
ParlaMint-NL_2016-01-14-tweedekamer-9.u32	It's been ten years. I'm thinking of the two cabinets the CDA was in. During that period the VVD also served in a number of Cabinets. The Convention has not been ratified so far. Now we have a chance to ratify it. Mrs Keijzer asks a number of questions that have been answered in the legal process. We debated it last time. That's part of the law. It states that it must not lead to a disproportionate burden and that it must be gradual. It has also been said that it must be simple adjustments. Mrs Keijzer is now asking a number of questions which I believe have already been answered in the debate. I wonder what else is needed to turn Mrs Keijzer's heart of the CDA into action and therefore to go for that accessibility. After ten years there is still no ambitious plan; there is a standard from the law. However, I agree with Mrs Keijzer that with regard to the motions, you can ask yourself how they relate to the amendment.
ParlaMint-NL_2016-01-14-tweedekamer-9.u33	As far as the CDA is concerned, there is no doubt about the need to ratify the Convention. It was also in our two previous election programmes. So that is what we want and what is not at all under discussion here. If it is Mrs Bergkamp's question whether the CDA wants to ratify the treaty, then the answer is: certainly, absolutely. As far as the question of the amendment is concerned, as far as I am concerned, it is necessary for the Secretary of State to say a few things about it.
ParlaMint-NL_2016-01-14-tweedekamer-9.u34	I suggest you move on.
ParlaMint-NL_2016-01-14-tweedekamer-9.u35	I will, Mr. Chairman. The CDA would have liked the responsibility for the implementation of this Convention to lie with the Ministry of the Interior. We're disappointed that this didn't happen. This treaty is, of course, about much more than concern. It's about joining society. The plan of action is actually quite a vague story. The CDA welcomes consultation with the various sectors and interest groups on accessibility, but I really want to hear it more concretely today. When is what going to be done now? Will there be further regulation if the plan is not implemented? The Secretary of State replied by letter to the Bergkamp/Van Dijk amendment on voting for people with intellectual disabilities. He wrote: "In practice, this would mean that the polling station should allow assistance to any electorate who so requests, even if there is no disability. This is not in line with the principle of our right to vote that a voter casts his own vote." Then I write in the margin: once, that's true. The question then is what exactly is to be understood by help inside and outside the voting booth and what are the tasks of the president of the polling station? Is there anything you can do for that? I am thinking, for example, of the possibility that the fact that a person with intellectual disabilities is given care under the AWBZ, the Youth Act or the Wmo is seen as proof that he can vote with help in the voting booth if he so wishes. I would like to hear the reaction of the Secretary of State.
ParlaMint-NL_2016-01-14-tweedekamer-9.u36	Will you finish up, Mrs. Keijzer?
ParlaMint-NL_2016-01-14-tweedekamer-9.u37	Yes, Mr. Chairman, that's what I'm gonna do. As a CDA, we have tabled an amendment, which has been co-signed by Mrs Dik-Faber, which aims to enable all people with disabilities to participate in society at their level. I have had a lot of positive reactions to this, because it says that we do not decide here when someone participates at his level but that this is to be judged by people with disabilities. I therefore hope that this amendment will be accepted by the other groups. I also co-signed Mrs Bergkamp's amendment, which lays down that people with an assistance dog can finally go and stand wherever they want. Finally, here's what I'm gonna do. I spoke with Pauline and Amber of We Stand Up yesterday! I think they are here now. Thank you, ladies, for the beautiful framed picture of the ladies and gentlemen of We Stand Up! They stressed that the next few years would be the biggest challenge and that the building decision would have no rules for cultivation. Now, of course, that is complicated, but I would nevertheless like to see steps taken. Would the Secretary of State of VWS like to consult with his colleague for Rijksdienst en Wonen to see if there could be a little more regulation on this issue? Indeed, there is already a handbook on accessibility. I know you can't put that one-on-one on cultivation in general, but we still see too often that there is insufficient thought about this aspect even in large public buildings where it has been converted. In that conversation with me, as former alderman of regional planning, the women's advisory committee came up. Those are women who judged construction plans on practical matters. It really was a lot of great class. These days, they're called the voluntary advisory committee. However, I was already impressed by the practical work they were doing. Something like this simply needs to be put in place for advice on accessibility. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that voluntary advisory committees (VACs) are active in many municipalities to assess building plans in municipalities;]] [[Whereas it does not explicitly include as a focus on whether a construction plan meets physical accessibility for people with disabilities;]] [[Considers that inclusion of this focus could lead to better accessibility of buildings and life-proof construction;]] [[calls on the government, in consultation with the national umbrella of the VACs and the VNG, to include this issue, and to inform the House of Representatives before the summer recess 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-41]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u38	I have a question for Mrs Keijzer on the amendment on aid dogs. That is a good amendment and the Labour Party supports it. Isn't it strange, however, that Mrs Keijzer would like to arrange for dogs to enter, but that their owners should stay outside? Mrs Keijzer does not want to support this amendment.
ParlaMint-NL_2016-01-14-tweedekamer-9.u39	What is your answer to this, Mrs Keijzer?
ParlaMint-NL_2016-01-14-tweedekamer-9.u40	In any case, the prize for the best interruption in the handling of this bill is for Mr Van Dijk, no matter what else comes. Having said that, I don't think it's as heavy as that. The discussion of people with assistance dogs is not that they cannot go in; they are a customer. The discussion is that their assistance dog on which they depend cannot enter. It can be arranged. That is also stated in Mrs Bergkamp's amendment, which I have co-signed wholeheartedly.
ParlaMint-NL_2016-01-14-tweedekamer-9.u41	It is a good amendment, because I agree that aid dogs should be allowed in. But their owners should be able to do the same. So I really hope that Mrs Keijzer wants to arrange for help dogs as well as people to just come in everywhere.
ParlaMint-NL_2016-01-14-tweedekamer-9.u42	That is true, only this is not what Mr Van Dijk is asking. Mr Van Dijk asks what Mona thinks of the Otwin van Dijk and others amendment. in piece No. 36. We have just had an extensive exchange of views on this. First of all, I look at the Secretary of State for an answer to the various questions I have raised here, so that we can finally consider them. Anything else I say, Mr President, would be a repetition of what I said earlier. You're just fresh...
ParlaMint-NL_2016-01-14-tweedekamer-9.u43	And we don't want that.
ParlaMint-NL_2016-01-14-tweedekamer-9.u44	...and we don't want that, do we?
ParlaMint-NL_2016-01-14-tweedekamer-9.u45	No. Thank you. I now give the floor to Mrs Dik-Faber on behalf of the Christian Union.
ParlaMint-NL_2016-01-14-tweedekamer-9.u46	Thank you very much, Madam President, after last night. First of all, I would like to thank my colleague Gert-Jan Segers, who spoke in this debate in the first term. Because of my stay at the Paris climate conference, I couldn't be there at the time, but I know how he is also personally motivated to fight for an inclusive society. Unfortunately, it is very necessary for us to work together for inclusive society. Too often things don't go well. The examples have changed, whether they are school, work or leisure. Last week I received an e-mail from someone who wanted to travel with the DVD. At the bus of Company A she was kindly helped by the driver, but when she switched to bus company B she was kindly asked to bring a companion because the bus driver was not allowed to get up from his seat. I am not going to table a motion on this now, but ask the Secretary of State to discuss this with his colleague from I and M. I mention the experience of someone whose help dog can't go anywhere. A message like that just came in on Twitter. How many times have we debated this? I'm thinking of that 11-year-old motor disabled, but super-smart kid, who's looking for a suitable VWO school, but nowhere to go because it probably takes him nine years instead of six years. Schools are hard-earned for that. I can go on like this for a while. My group would like inclusion to be the norm, not the exception. We need to work towards this step-by-step. I have been looking forward very much to ratifying the UN Convention, because it is not just a law, but a law that deals with what society we want to be. As far as the Christian Union is concerned, this is a society in which everyone can participate, a society in which everyone can come to their own, regardless of talents or limitations. This is also the reason why my group has co-signed Otwin van Dijk's amendment, because accessibility is very important. We believe that our society, public institutions, businesses and restaurants should not only take action if someone with disabilities asks for it, but that we should take reasonable measures to make it the norm. My group has agreed to postpone the second term of this debate because we were hopeful for the response of the Secretary of State. Unfortunately, we are very disappointed. I find it really incomprehensible that the Secretary of State rejects this amendment. I've read the letter, but frankly, I don't find the Secretary of State convincing anywhere. Fortunately, there seems to be a majority in the Chamber for this amendment. I shall move quickly to my motions, because I see that I have a little less time than I had expected. I have two motions, the first of which relates to the Caribbean Netherlands. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Convention on the Rights of Persons with Disabilities will not apply to the Caribbean part of the Netherlands for the time being;]] [[Whereas the rights of people with disabilities in the Caribbean Netherlands are no different from the rights of people with disabilities in the European part of the Netherlands;]] [[calls on the Government, on the basis of the results of the inventory, to draw up a plan of action for the Caribbean Netherlands to improve the position of people with disabilities,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-42]]
