ParlaMint-NL_2016-06-02-tweedekamer-7.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-06-02-tweedekamer-7.u12	We can try to manage the consequences here and we can take all kinds of mini-measures, both of which must be done, but as long as a large part of the Chamber refuses to look at the causes and do something about them, the problem of poverty and debt will only increase. Another solution for the government: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Central Administration Office (CAK), the College voor Zorgverzekeringen (CVZ), the Executive Education Service (DUO), the National Entrepreneurship Office (RVO), UWV and CJIB have signed a covenant by the Central Judicial Insurance Office to transfer their bailiffs to the CJIB;]] [[Whereas up to the time of transfer to a bailiff each service carries a collection path;]] [[Whereas, in practice, people are still often confronted with different collection and bailiff routes which deteriorate their situation;]] [[calls on the Government to arrange for the whole collection process to be carried out by one national collection service,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-354]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u13	Mr. Chairman. Last week it became clear that people who just pay their bills are crazy. Nieuwsuur reported that the city of The Hague distributes money for free to young people with a hole in their hand and yesterday we read that sinterklaas has already arrived in Arnhem. That free money isn't free, it's taxpayers' money. This is not only very unfair, it does not solve the underlying problems.. the behaviour of young people and not having an income................................................................................................................................................................................................................................................. I read in the paper that people with heavy debts don't have to pay bills for six months. The Secretary of State will do so at the request of the Christian Union and the CDA in particular. Of course, sometimes you can just have bad luck. Debt relief workers from the municipality can help you, if you have a problem with it yourself, to get a look at your finances again. However, debt relief is not intended for pampering, padding and keeping wet. Debt relief serves to support people in putting their finances in order, by paying off all their debts and putting the shit back on the ground. Anyone can get into a situation where it's just as difficult. If there is a creditor who continues to train in an unreasonable manner, while you do everything you can to put things right, I can even imagine that it would help if the judge granted a break of breath. Then you can put your affairs in order and pay off your debts. This is not only in your own interest, but also in the interest of creditors. Can the Secretary of State confirm that a breathing break is granted only in exceptional, extreme cases and that this can only be done if it is also in the interest of creditors? How, then, is it ensured that the problem is resolved after that breath, so that debts can be properly paid off? If people are constantly helped by the government, they will learn nothing from their mistakes and will soon fall into them again. Free money and not having to pay your debts send a totally wrong signal to debtors, but it is especially unjust for creditors and for you and me, the taxpayers who pay their bills neatly.
ParlaMint-NL_2016-06-02-tweedekamer-7.u14	I see that Mrs Yücel and Mrs Voortman have a question. You may ask one question. This is a VAO, but I can see from several VAOs that the general consultation is being repeated and that current events are being introduced. We really need to limit it to brief comments and questions about the motions that have been tabled.
ParlaMint-NL_2016-06-02-tweedekamer-7.u15	Then I have a point of order. This contribution raises all kinds of questions. Then you should also make demands on the input to a VAO.
ParlaMint-NL_2016-06-02-tweedekamer-7.u16	Indeed, I have just discussed this with the clerks. This is a new point. I understand that there will be a separate meeting. I would also ask those who provoke not to do this in a VAO. Otherwise, things are a little messed up. The debate must be conducted with care.
ParlaMint-NL_2016-06-02-tweedekamer-7.u17	I understand your point, Mr President, but I cannot let this pass. In the simple world of the VVD, apparently, because I assume that Mr Moors is putting forward the position of the VVD, there are only tax cents, harsh penalties and even more severe penalties in the world. Does the VVD perhaps also understand a little bit that preventive intervention is good for the perspective and future of children, of young people who together make the beautiful Netherlands, on whom the economy runs and with whom we have a social society? Does the VVD understand that?
ParlaMint-NL_2016-06-02-tweedekamer-7.u18	Sure, I understand that. The VVD is also strongly in favour of preventive measures and helping young people to handle money well. I do not understand why this is a reaction to my speech. My point is that we're not supposed to collect taxpayers' money to let people get away with over-indebtedness. Debt relief is intended to help people who have been in trouble to get back on track, to pay off their debts and to restore financial order, not for forgiveness.
ParlaMint-NL_2016-06-02-tweedekamer-7.u19	Municipalities are trying to do something about the growing number of people involved in problematic debt. The VVD rejects this method, but what does it propose? I haven't heard anything in the debate, and even now she's not making any motions. What does the VVD want to change?
ParlaMint-NL_2016-06-02-tweedekamer-7.u20	For example, last week we read in the National Education Guide that vmbos themselves state that they learn far too little about how to handle money at school. They themselves say that they spend too much money and they ask for more attention to be paid to this. The VVD is in favour of helping young people at school to learn how to handle money, and of helping young people with problems in getting their finances back in order and getting payment arrangements in place. Deletion isn't one of them. This is to the detriment of the taxpayer and the creditor. People don't think that's fair. They just don't understand it anymore. That's not what they're paying their own bills for, is it?
ParlaMint-NL_2016-06-02-tweedekamer-7.u21	The only purpose of this debate is to table motions and make proposals. Mr Moors comes up with all sorts of allegations to Jan and alleman, but he does not come up with any concrete proposal in which he calls on the cabinet to do something now. Why is Mr Moors barking so loud but not biting at all?
ParlaMint-NL_2016-06-02-tweedekamer-7.u22	I do not need any motions to say what I think of what is happening in a number of municipalities, which I think is what a very large part of Dutch society thinks. This is not the intention of debt relief.
ParlaMint-NL_2016-06-02-tweedekamer-7.u23	If Mr Moors were to think a little further than his nose is long, and I see that it is not very long, he would also know that if you do not take a breather, anyone can whistle at his dime. So this is an instrument to ensure that people get their money back as much as possible. Does Mr Moors recognise that a lot of people can no longer pay their bills because they can no longer make ends meet and that the VVD policy is part of that?
ParlaMint-NL_2016-06-02-tweedekamer-7.u24	That's exactly what I just asked the Secretary of State. If that pause is needed, it must also be in the interest of creditors, so that people can pay off their debts. So I think I have said exactly what Mrs Karabulut is asking for in my speech.
ParlaMint-NL_2016-06-02-tweedekamer-7.u25	Chairman...
ParlaMint-NL_2016-06-02-tweedekamer-7.u26	No, everyone was allowed to ask one question about Mr Moors' entrapment, and that has happened.
ParlaMint-NL_2016-06-02-tweedekamer-7.u27	But also a follow-up question?
ParlaMint-NL_2016-06-02-tweedekamer-7.u28	No, really one question, because it was about a new point. I now give the floor to the Secretary of State.
ParlaMint-NL_2016-06-02-tweedekamer-7.u29	Mr. Chairman. I would like to thank those Members of the Chamber who have tabled motions or not. I'm gonna go over the motions for short. In the motion in part No. 344 by Mrs Schouten and Mrs Yücel, the government is invited to draw up a concrete action plan before the summer. That is support for current policies. I have promised that before 1 July an interim report will be sent to the House of Representatives on the exploration of the concreteisation of the Rijksincasso vision. I shall therefore leave this motion to the House's judgement. In the motion in part No. 345 calls on Mrs Schouten to examine the possibility of making residential debts more favourable as long as the unwounded foot is not respected. I advise against this motion because there are already many instruments for landlords to deal with debts. So I don't think it's a good idea to make this more convenient.
ParlaMint-NL_2016-06-02-tweedekamer-7.u30	At national level, a problem is created and we simply transfer it to local parties to solve it. That's not fair. As the motion states, this is something very important, namely that people can live somewhere. If people can no longer pay the housing costs because of their own government policy, you cannot throw it on the board of the housing corporations. The cabinet then has a responsibility. Does the Secretary of State recognize that?
ParlaMint-NL_2016-06-02-tweedekamer-7.u31	It is not logical to give private parties such as landlords a preferential position. Landlords have a special collection instrument, because they are the only party that can seize people's rent surcharges. Also, there is always a very strong and strong debt collection instrument, which is the threat of evicting a debtor. The preference of residential debts will therefore not result in debtors paying earlier. The collection funds already available to the landlords will achieve this earlier. It is, of course, always important that every creditor has the means to obtain the rent in this case. However, I am not in favour of preference for landlords in the broad sense of the word, not for corporations but also for private landlords.
ParlaMint-NL_2016-06-02-tweedekamer-7.u32	Precisely because the Tax Administration is preferred, the rent surcharge can no longer be seized and the corporation is forced to evict someone in the end. It is therefore the government's own policy to ensure that parties entitled to the money to pay for that property no longer receive it. That's what we want to do. Does the Secretary of State recognize this?
ParlaMint-NL_2016-06-02-tweedekamer-7.u33	It is important that debt relief is organised in such a way that debtors, together with their debt service providers, consider how the rent allowance can be taken into account with the rents. Fortunately, more and more debt relief workers are already doing this in prevention, not only with the rent allowance but also with the care premium and care allowance. It is good to use this debate and the Acts to underline this, because this can be further filled in from the debt relief.
ParlaMint-NL_2016-06-02-tweedekamer-7.u34	Proceed, Secretary of State.
ParlaMint-NL_2016-06-02-tweedekamer-7.u35	That was the second motion, Mr. Chairman. I now come to the motion by Mrs Van Veldhoven and Mrs Koşer Kaya on item No. 342. With this motion they ask the government to examine whether it is possible for people with a diagnosed low IQ who receive a benefit to pay the fixed charges from the source and to settle any surcharges in advance. I will leave this motion to the Court's judgment, because I want to follow up this investigation. Mrs Van Veldhoven and Mrs Koşer Kaya also tabled a motion on item No. 343. They call on the government, local pilots to support debt prevention and to investigate its effectiveness. Prevention is and remains one of the priorities of policy. Early warning is a huge part of that. In the programme Expertly at work, which ZonMw is now carrying out with the resources of SZW, we are doing so. In that context, I leave the verdict on the motion to the Chamber. In this way you can have local pilots supported by Expert at work.
ParlaMint-NL_2016-06-02-tweedekamer-7.u36	The Secretary of State leaves the verdict to the Chamber twice. It can, of course, also choose to take over these motions.
ParlaMint-NL_2016-06-02-tweedekamer-7.u37	But the proposers aren't here, so that's a little tricky.
ParlaMint-NL_2016-06-02-tweedekamer-7.u38	Yeah, that's true. I honestly do not know whether the applicants can agree in this context. I would like ZonMw to play a role in this.
ParlaMint-NL_2016-06-02-tweedekamer-7.u39	But in principle, it is.
ParlaMint-NL_2016-06-02-tweedekamer-7.u40	Yes, Mrs. Voortman is quite right. Mr. Chairman. I come to Mrs Yücel and Mrs Schouten's motion on item No. 344. The government is invited, in the context of the implementation and implementation of the Rijksincasso vision, to encourage organisations to engage in a social collection with a view to the human dimension. I'd like to take that with me. I have just said that I will return to the Chamber before 1 July with further information. In that we will discuss this aspect. I can either take over the motion or leave it to the House to decide. I'll take over the motion with all my love.
ParlaMint-NL_2016-06-02-tweedekamer-7.u41	I'll take a look around to see if there's any objection to taking over.
ParlaMint-NL_2016-06-02-tweedekamer-7.u42	If the Secretary of State says that the motion is superfluous because it is standing policy, I have no objection to it, but there were quite a few nuances in it.
ParlaMint-NL_2016-06-02-tweedekamer-7.u43	The emphasis is, of course, on 'a social collection with a view to human standards', and that is what the motion is about. That's what I'd like to dissect in the county debt vision.
ParlaMint-NL_2016-06-02-tweedekamer-7.u44	I would like to put the motion to the vote.
ParlaMint-NL_2016-06-02-tweedekamer-7.u45	Okay. Proceed, Secretary of State.
ParlaMint-NL_2016-06-02-tweedekamer-7.u46	I'll take note of that, Mr. Chairman. I will continue with the Yücel motion in part No. 345, in which the government is invited to connect state authorities as soon as possible to the national records. We have already debated this and I have already promised this in that debate. I could therefore say that the motion is superfluous, but I shall leave it to the House to decide. Mrs Yücel has asked a number of questions, including when the SMEA will come to the Chamber. I aim to complete the SMEA in the first quarter of next year and send it to the Chamber. We're working on the preliminary investigation now. For the sake of clarity, I would say to Mrs Yücel that you must first have a problem analysis. The zero situation is then coloured in to finally outline the policy alternative. I hope to have completed that preliminary examination in September. On this basis, we are going to work on the follow-up and I hope to be able to send the result to the Chamber in the first quarter of next year.
ParlaMint-NL_2016-06-02-tweedekamer-7.u47	The only thing I would very much like to give to the Secretary of State is: the sooner the better! It would be so nice if we could still draw conclusions from this coalition and this Chamber.
ParlaMint-NL_2016-06-02-tweedekamer-7.u48	That is why I am also addressing the first quarter of 2017, because the cabinet hopes to be there until 17 March. That cost-benefit analysis is indeed a good building block. Mrs Yücel further asked when the letter on the feasibility of a single national collection agency will be sent to the Chamber. I will take this into account in my letter which will be sent to the Chamber before 1 July. In part No. 346, GroenLinks, tabled a motion on the withholding tax. I would advise against this motion, because the administrative premium is intended to ensure that people pay their health care contributions. You could say she's slightly preemptive. In addition, it is, of course, an incentive for defaulters to contact the health insurance provider to agree on a payment arrangement for their debts. As a result of the change in the law Improving measures for malpayers in the care sector, the administrative premium as of 1 July has been reduced by €31 from €159 to €128 per month. Abolition is not envisaged by the cabinet. It did come up during the debate on the Improving the Pay-As-Suit Act in the care sector. The cabinet will not come up with a plan. My colleague from Care has already informed the Chamber of that.
ParlaMint-NL_2016-06-02-tweedekamer-7.u49	Actually, I'd like to ask you a question. The Secretary of State says very easily 'it works preventively', because more than 1 million people can no longer pay their care costs. What do you mean, "preemptive"? The number of people in debt due to these high costs of care and this kind of fines is only rising.
ParlaMint-NL_2016-06-02-tweedekamer-7.u50	It's a motion from Mrs. Voortman.
ParlaMint-NL_2016-06-02-tweedekamer-7.u51	It is a good point from Mrs Karabulut.
ParlaMint-NL_2016-06-02-tweedekamer-7.u52	That's what I thought.
ParlaMint-NL_2016-06-02-tweedekamer-7.u53	The Court has not for nothing had a debate on the legislative amendment Structural measures for non-contributory health insurance. As Mrs Karabulut has pointed out, like Mrs Voortman, I assume, it is essential to look very closely at the way people handle paying that premium. In its debate with the Minister for Health, the Chamber devoted a great deal of attention to this. That is why the withholding tax has also been reduced, partly thanks to the contribution of the Chamber.
ParlaMint-NL_2016-06-02-tweedekamer-7.u54	Mr. Chairman.
ParlaMint-NL_2016-06-02-tweedekamer-7.u55	You can only ask a question if the answer really determines your voting behaviour, Mrs Karabulut.
ParlaMint-NL_2016-06-02-tweedekamer-7.u56	Always! Debates with the Secretary of State are very relevant to my voting behaviour.
ParlaMint-NL_2016-06-02-tweedekamer-7.u57	I shouldn't have said it! It's okay.
ParlaMint-NL_2016-06-02-tweedekamer-7.u58	Now the Secretary of State says, "I get it, but there's nothing I can do about it"? That's the other thing that pisses people off. They hear this now and think: I really can't afford it, and now I get that fine over it. What does the Secretary of State, who is responsible for combating poverty, say about this?
ParlaMint-NL_2016-06-02-tweedekamer-7.u59	This Secretary of State says the following. Every time people with debts, including debts in the area of paying their care premium, make a plan together with the debt relief, they can, together with their debt relief provider, see how they can proceed with paying off their premium. That is why the moratorium is a good instrument. I think that the Chamber has also debated this very well with the cabinet, in the person of my colleague in the House of Commons. As a result, the improvement measures have been addressed and this way of working has been improved. As weird as it sounds, this is also a compliment to the Chamber. It doesn't sound weird at all, by the way. Another motion by Mrs Voortman van GroenLinks, the motion in part No. 347 is about access to debt relief. I can leave the verdict on that motion to the Chamber. This motion focuses specifically on young people. In my evaluation, which I hope to send to the Chamber before the summer recess, I will pay particular attention to access to debt relief for young people.
ParlaMint-NL_2016-06-02-tweedekamer-7.u60	The Secretary of State may also take over the motion, if she so wishes.
ParlaMint-NL_2016-06-02-tweedekamer-7.u61	With love. I have taken over this motion.
ParlaMint-NL_2016-06-02-tweedekamer-7.u62	I note that no one is opposed to taking over the motion on item No. 347.
ParlaMint-NL_2016-06-02-tweedekamer-7.u63	The motion in part No. 348 is about taking the lead in a pilot integrated youth approach, if I may put it this way. It is, of course, up to local parties to shape pilots, because we have invested them on a decentralised basis. We have offered our expertise to the Stichting Zweerfjongeren Nederland and asked her to specify how we can support her projects. So far we have received no response. I know that on 16 June there will be a round table in which OCW and SZW will join, the ministries that also organised this discussion. This round table is specifically about young people and debt. We would very much like local parties to be involved. I went to work in Groningen. I know that people are very careful about that. It would of course be nice if, for example, Groningen took the lead in this, so that we can provide support from OCW and SZW. As the motion was put on paper, I must therefore advise her not to.
ParlaMint-NL_2016-06-02-tweedekamer-7.u64	If I understand correctly, it is because we have invested it with municipalities, as the Secretary of State says. The point is that this keeps coming back. We have tried to bring this to the attention of municipalities, but that has not been enough so far. Then I think there should also be a moment when the Secretary of State says: now I am going to draw it a little more towards me. Hence this motion. I would ask the Secretary of State to accept her own responsibility in this matter.
ParlaMint-NL_2016-06-02-tweedekamer-7.u65	Yes, but we have put the lead on local authorities. I don't think it's in line with that decision if I'm taking the lead for a pilot on behalf of the Empire right now. I also notice that local authorities and aldermen are very interested. It is good that we stress this again. I would like to mention this again in the collection letter, so that aldermen feel challenged and invited to take the lead in this matter. OCW and SZW will certainly help with that. In the motion in part No. 349 Mr Krol asked the government to make coherent proposals and to take targeted action in the context of the assessment of municipal debt relief. This motion is really unnecessary. I have promised the Chamber that I will come before the summer recess with a cabinet response to the evaluation of the Municipal Debt Assistance Act. I will also comment on the recommendations of the National Ombudsman. I advise against this motion because it is unnecessary. The motion in part No. Mr Krol asked the government to examine the possibility of a debt bank. I also advise against this motion, because this is really about municipalities. A number of municipalities are working on this. There are initiatives in this area. We must leave it at the forefront of congregations. Mr Krol's motion for a resolution 351 calls on the government to monitor closely the negative effects of the preferential position of the government as a creditor. I also advise against this motion, because we have the Reich collection vision for a reason. I will return to that before the summer, as I have already informed the Chamber. In that sense, this motion is also superfluous. Let's see what's left of me.
ParlaMint-NL_2016-06-02-tweedekamer-7.u66	Two motions by Mrs Karabulut.
ParlaMint-NL_2016-06-02-tweedekamer-7.u67	That's right. In the motion in part No. 352 asks the government to come forward with a proposal to pre-check new laws and rules on the impact on poverty and debt. I do not recommend this motion, because I do not think it would be a good idea to pre-examine all the laws and rules. Edoch, it's always a good thing to look at the effects with execution tests. That's what happens in practice.
ParlaMint-NL_2016-06-02-tweedekamer-7.u68	Why is it not a good idea to think in advance about the consequences of the laws and regulations made by the Cabinet or the Chamber for poverty and debt? Isn't that the best way to save a lot of trouble?
ParlaMint-NL_2016-06-02-tweedekamer-7.u69	Yeah, but there's a whole melee of laws and rules. So I do not welcome this idea. In our execution tests we certainly take this point of attention into account.
ParlaMint-NL_2016-06-02-tweedekamer-7.u70	Of course, you don't include laws and regulations that have no impact on people's incomes in such a proposal. I give the Secretary of State every freedom to draw up a good report on the effects of poverty. I think she and her officials are smart enough. The intention is not to look at the specific consequences, but to consider in advance whether a proposal contributes to solving poverty and debt or creates poverty and debt.
ParlaMint-NL_2016-06-02-tweedekamer-7.u71	We do this if it is appropriate in the context of our execution tests. If appropriate, this will always be put on the agenda in the debate with the Chamber and with the Council of State.
ParlaMint-NL_2016-06-02-tweedekamer-7.u72	Please continue.
ParlaMint-NL_2016-06-02-tweedekamer-7.u73	So I'm gonna continue to dissuade this motion. In the motion in part No. 353 Ms Karabulut asked the government to take concrete measures to close the gap between rich and poor. I have already promised in the context of the motion of the First Chamber that there will be a request for advice to the ESC, in cooperation with the SCP, on the fight against poverty in relation to children. This cabinet is, of course, constantly making sure that people who do not have such thick wallets can continue to participate. This motion is therefore superfluous. I don't recommend taking it.
ParlaMint-NL_2016-06-02-tweedekamer-7.u74	A brief question, Mrs Karabulut.
ParlaMint-NL_2016-06-02-tweedekamer-7.u75	The Secretary of State says that in part we already work like this and for another part it is a policy support. Then why is the motion being dissuaded?
ParlaMint-NL_2016-06-02-tweedekamer-7.u76	Because the thrust of the motion is that we should take concrete measures. They're just taken. This is such a broad motion that I can't just take it over. The thrust of the motion is in itself sympathetic, but the motion itself is far too broad. In addition, this cabinet has taken measures.
ParlaMint-NL_2016-06-02-tweedekamer-7.u77	I can't make chocolate out of it anymore. The Secretary of State says that some of it is still in progress, following a motion from the SP in the First Chamber and that another part is already working on it. Surely the Secretary of State cannot deny that while the gap between rich and poor is growing, it is not ready? I understand that she is almost ready, that there are elections coming, but the need in society and the gap is growing.
ParlaMint-NL_2016-06-02-tweedekamer-7.u78	That is why, of course, we always look at purchasing power images. That is why I have also put forward the proposal on the moratorium in the Internet consultation. For example, we have taken many initiatives over the last three and a half years. Of course, we will continue to do so. I think my judgment is clear.
