ParlaMint-NL_2016-06-28-eerstekamer-6.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2016-06-28-eerstekamer-6.u12	I do not agree with Mr Van Strien. I do not think this is detrimental to the economy at all. I dare say that investing in modes of transport other than cars, cleaner transport and in a different type of economy than our traditional transport economy is extremely much more economically beneficial for the Netherlands and that it also makes a greater contribution to the living and climate in that country. So I do not share Mr Van Strien's statement; I am proposing a completely different economy from him.
ParlaMint-NL_2016-06-28-eerstekamer-6.u13	I have one final comment or question. In this other way of transport, I can imagine public transport. Does Mrs Vos know that this transport option is infinitely more expensive than the ordinary car? Moreover, there is no guarantee that this will be more environmentally friendly than road transport by car.
ParlaMint-NL_2016-06-28-eerstekamer-6.u14	I think that is a very strange statement by Mr Van Strien. I think that if we were all to take the train in this country, there would still be a great deal to be done, and this would make a huge contribution to the environment. Perhaps we should have another debate on this at another time, because this is interesting. I was in the process of passing through some of the car letter measures and formulating an alternative. For example, we find it extremely regrettable that low-cost and heavy diesels in the lease become cheaper in the addition. It just can't be explained. Just keep the 25% add-on and don't lower it to 22%. Please enter the soot allowance for dirty diesels as soon as possible, and not only in 2019. Make this supplement much higher, too. For vans, for example, this is a surcharge of €62 per year, but that is far too little to have a real effect. In replying to the questions, the Secretary of State states that if he makes the roettaks three times as high, it will have three times as much effect. Why then, at least for vans, doesn't he make that tax much higher, for example €225? This amount is now also being paid for private cars. Support the electric driving infrastructure and in any case compensate for the climate damage of the Autobrief II. We are therefore very critical of this letter. We cannot understand its ratio. If the Secretary of State does not consider the green tax policy to be sufficiently effective, why is he going to favour dirty cars? A smarter policy is needed and possible. This would enable the Netherlands to maintain its leading role, which is also extremely interesting economically.
ParlaMint-NL_2016-06-28-eerstekamer-6.u15	Mr. Chairman. I am pleased to be able to contribute, on behalf of the Animal Party, to the debate on the Auto Letter II. This is not simply because there are large similarities between cars and cows in general. The car is called the "holy cow." The car is of untouchable value. The government should stay away from that because it is a symbol of less than half a century of widespread prosperity: a car for everyone. The Volkswagen brand derives its name from that. Earlier, that brand was synonymous with that shared freedom symbol, but now it is much more evoked the association with shuffle software, intended to actively mask the negative effect of car use. Besides the holy cow of the motorist, the car is also referred to as the milk cow of the government. This aspect is also one of the starting points of the Autobrief II. In addition to the analogies between cow and car in daily speech use, there are physical similarities between cows and most cars. We are talking about greenhouse gas emissions. A cow emits as many greenhouse gases as 70,000 car kilometres. Therefore, it is difficult to understand why the government wants to reduce car use in particular, but at the same time it is heavily subsidising dairy farming. To give an idea: a calf farmer receives 92% of his income from a subsidy and the average dairy farmer receives a subsidy of more than €24,000 per year, despite the key role he plays in causing climate problems. I would like to mention these examples because I would like to hear from the Secretary of State why the cabinet has not so far chosen a more comprehensive approach to combating the externalities associated with car traffic, in which problems such as greenhouse gas emissions, nitrogen and particulate matter, noise and odour pollution are addressed in full through a dashboard of fiscal control mechanisms, the polluter pays and good behavior is promoted. It is difficult for many citizens to understand why such steering mechanisms are used soloistically, by subject, while a central direction would be so much more obvious. The Secretary of State has spoken in the past about such steering mechanisms. I quote: "Where taxes are used to influence behaviour, there is a chance that people will actually do what you want to do." Then tax revenue falls. Surely it cannot be that we regret that the citizens are going to do what the government is trying to do and that the government is sad about the fact that tax revenues are falling? At the same time, the Secretary of State indicated that consumption taxes, such as VAT and environmental taxes, are relatively undisrupting. So he apparently sees bread in consumption taxes as a driving tool. This could apply to a higher VAT rate on polluting products, VAT exemption or bringing clean products below the low VAT rate. It could apply to environmental taxes on polluting fuels, such as diesel and kerosene, in the context of 'polluter pays' or, as proposed in the current letter, to increase the business addition to commercial cars. I fully agree with Mr Vos that it is difficult to understand that the driver in a Porsche Cayenne gets better off in the Car Letter and the driver in a Toyota Prius gets worse off. It's very hard to explain. The key question is, of course, why the cabinet uses the consumer's freedom of choice as an argument not to introduce, for example, a meat tax, whereas additional taxation of car traffic with the same argument can also be seen as a violation of the same consumer's freedom of choice. The Animal Party therefore calls for a more comprehensive approach to the "polluter pays" principle, without regard to the person and without regard to the category. Can the Secretary of State indicate whether it is merely a political choice to approach externalities caused by car traffic differently from other consumer choices, for example in the area of air traffic or other consumer choices, even if they cause far more externalities than car traffic? And if that is the result of political choices, can he give a little more insight into that in this house of reflection than so far? The core of the Car Letter is that rewards and penalties are used as tools to encourage drivers to make environmentally friendly choices. Does the Secretary of State and our group believe that these instruments should and could be used more widely? Does he have any concrete plans in this direction, including in fields other than the dossier we are discussing today? If that is not the case, can he indicate the difference in principle? And if the scope of this debate is not sufficient, can he inform the Chamber in writing? The cabinet wants to focus on encouraging the use of zero-emission cars. My group welcomes this, but also sees the cabinet clinging to two thoughts when it comes to the greening of the fleet. The cabinet seems to find incentives sympathetic but costly and has difficulty in marrying those two greats. This leads to compromises if it falls only partially into a low add-on category of some of the electric car traffic. Why is it not more generous to use the greening of car traffic through the promotion of electric transport? Isn't it a bit cheap to point to the costs on the one hand, but on the other hand to look away from the particular phenomenon that a large part of all subsidised hybrid and electric cars disappear shortly after entry into service abroad? The cabinet indicates that it does not matter whether these electric kilometres are driven here or somewhere else, but that thought seems a little too easy when it comes to Dutch taxpayers' money. The Dutch taxpayers do not want only electric kilometres to be made. They also want less soot emissions and less fine dust emissions, so it is more pleasant for themselves and their children to stay on the streets in the Netherlands. This does not happen if cars are exported to Norway, Denmark or Jordan. Is the Cabinet prepared to examine in the short term how we can keep more electric and hybrid cars in our country, so that the private second-hand market is also provided, rather than hybrid cars leaking out to Jordan, Denmark and Norway? Is the Secretary of State prepared, for example, to consider to what extent the BPM exemption for electric transport can be made conditional, so that in the case of exports, the remaining BPM amount still has to be paid? The remaining bpm declaration is an existing tool for entrepreneurs and disabled people, for example. It does not therefore have to be complicated to introduce such a declaration also for owners of electric cars to make exports less attractive. I would like to hear a response from the Secretary of State. I'm considering a motion on this point. Can the Secretary of State indicate what other instruments he intends to use to stimulate zero-emission driving? He has already indicated that he wants to reduce the energy tax on public loading posts, but not at what time. Non-fiscal measures such as increasing the number of charging points should not be left to the market alone. We see that an entrepreneur such as Fastned, currently operating electric charging stations at petrol stations along motorways, has an annual turnover of €75,000, coupled with an operational loss of 4 million euros. You won't last long. In my group's view, this indicates that the market cannot cope with these innovations on its own. What is the Secretary of State's view on this? I started my contribution with the request for a more comprehensive approach to achieving the climate goals agreed in Paris and the judgment of the judge in the Urgenda case. This can be cheaper and more efficient than simply by means of car taxes or a budget-neutral shift in car costs, calibrated by the degree of pollution. The Secretary of State has recently received 69,000 signatures requesting the introduction of a meat tax. The Scientific Council for Government Policy also calls, inter alia in the context of a better environmental policy, for an adaptation of the food system. It could be achieved on a budget-neutral basis. One day no meat would have the same environmental impact as taking a million cars off the road. This should not go undisputed in the context of this Car Letter. I would like to hear a response from the Secretary of State.
ParlaMint-NL_2016-06-28-eerstekamer-6.u16	The Secretary of State states that he is able to answer directly. I shall give him the floor to do so.
ParlaMint-NL_2016-06-28-eerstekamer-6.u17	Mr. Chairman. Thank you for all your contributions. First things first. Sometimes it gets a little out of sight and sometimes you have to pick up parliamentary history again, but taxes have of course been introduced once to fill the state treasury. That has gotten a little out of sight with this type of tax. The 15 billion that Mr Van Strien mentioned although its composition differs, the order of magnitude of the amount has been the same for many years, so it is intended to fill the state treasury. However, it is clear that there are other goals around the car. We want to save as much as 15 petajoules across the domain of mobility, we have an energy agreement and we have climate objectives. Taxation, in its function of tax incentives and behavioral incentives, has irretrievably introduced car taxes. Whether that is happy in all respects must be discussed here. Here's the VVD guy who really thinks we should do something about the climate. Why? Because the real liberal thinks everyone should clean up their own mess. If you think you shouldn't transfer the debt to your grandchildren, you shouldn't park your ecological debt with your grandchildren. I don't think there's much discussion about that. Someone asked why I didn't intervene earlier. Well, intervention in car taxes is like causing a landslide. The word "car" in one sentence with the word "taxes" already causes a huge amount of excitement, no matter what fraction you speak. So I started with this wonderful dossier immediately after my arrival and devoted a whole sounding round to it. Fortunately, there are some things that come out that everyone seems to find. There are simply agreements about cars in relation to climate. Those appointments are agreements, that's what they're supposed to be. For everyone who has spoken, there is also the equally broad conviction that I have finished quite a few political groups that, in relation to the car, there must be irrevocable measures in this area that meet the climate objectives. However, everyone agreed that climate action should only be taken if it works and not if it does not work. There was broad agreement on this. More people than you sometimes think are willing to take climbing measures and fewer people than you sometimes think are willing to windowdressing, greenwashing and bullshit measures. So that was a good starting point, a while ago. We have come to a strong commitment in 2008, perhaps with these goals under the arm. We have adopted the world's most stimulant car tax instruments. Consumers can see that on the street.... has chosen the most economical models in the world since 2008. The evaluations of this will then be sunny. Well, they're not. The Court of Auditors is literally saying that the cost of the tax instruments to reduce CO has been completely out of control and that we must do something about it. Then the General Court comes to €1,600 per tonne, while it later became €3,000 per tonne. The Planning Agency for the Environment says that there is a fascination with CO, but that something should also be done about air quality. The economic experts who vet OECD countries say that they are not idiots, they say that the effect of Dutch policy is "small or non-existent," literally. The evaluation that I myself had carried out by an external and independent party is talking about much higher amounts per tonne than the General Court had come up with. Mr Van Strien says: efficiency will really be a sausage to this Secretary of State. Well, that's what I'm saying to him. That's what's keeping me awake right now. This is not a policy, and that is not a sausage to me at all. This is quite apart from the fact that I do not eat the stuff, but I will come back to that in response to Mr Koffeman. Mrs. Vos has concerns about the climate. There are quite a lot of people in this room who understand her concerns about the climate. However, the effect of what we have here on the climate was zero, and not about zero. Because of the compensation mechanisms that I will explain in this way, it was mathematically zero and that is sad.
ParlaMint-NL_2016-06-28-eerstekamer-6.u18	Honestly, I can't follow the Secretary of State in this. Mr Köhler also said that the earlier explanatory statement said that 1% more CO would be emitted in 2020. That's what I read in the NEV, by the way. It says quite neatly in a separate frame that the car letter could not be fully passed on because it was too short a day, but that CO emissions will be 1% higher by 2020 and in that 2030 will be 2% to 3% higher because cars will be less energy efficient. In addition, it says in the NEV that there will be more inefficient models on the market. So there's just going to be more CO emissions. How can the Secretary of State say that's not true?
ParlaMint-NL_2016-06-28-eerstekamer-6.u19	I'm going to explain that now.
ParlaMint-NL_2016-06-28-eerstekamer-6.u20	Of course, not in relation to what it is today, but in relation to the policy that was used earlier and that had a certain objective in 2020. I don't think the Secretary of State is gonna make it.
ParlaMint-NL_2016-06-28-eerstekamer-6.u21	Compared to now and also to what it would have been otherwise, its effect is zero. Here's the deal. The climate doesn't stop at national borders. There is no such thing as a Dutch climate, there is no such thing as a European climate, but we have agreed on a system at European level. That system is called the manufacturer ceiling. It's the ETS in the car domain. I'm always pretty cheerful about the ETS, because I think it really works. On the manufacturer's ceiling as well. That is a European ceiling, which falls year after year. That means we're heading for average CO2 emissions from cars by 2020 of values we couldn't believe when the Toyota Prius was introduced, so low they were. What it was when it was non plus ultra will soon become the European average of newly sold cars. That's what that ceiling does. This means, of course, that as the Netherlands you can stimulate extra. Then you're gonna give extra funding to something. The car manufacturer in question will then be below the ceiling, thanks to Dutch subsidies, and then it will go up just as much elsewhere in Europe. That ceiling's pinching. If you push the waterbed down somewhere, it'll rise somewhere else. That waterbed isn't some kind of mirage, it exists, it's real. We confront the Dutch motorist with extra taxes, because we give subsidies, which leak out, which brings back the CO2 effect in extra low-cost cars in other parts of Europe. On balance, the climate has not noticed any of this. There are car manufacturers who have had a lot of fun with this policy, but the climate is crying.
ParlaMint-NL_2016-06-28-eerstekamer-6.u22	Is that actually established? In the NEV, I read: 1% more CO emissions by 2020, 2% to 3% more by 2030. That's just right there. If what you say is true, it would be different in those reports. If you stop to favour all kinds of economical cars, why do you choose to make ordinary cars cheaper? I can't understand that at all.
ParlaMint-NL_2016-06-28-eerstekamer-6.u23	I'll get to that. The answer to the question why that is not in the NEV is because the NEV is the NEV, so it's national. Apparently, that's what we chose to do. Whether this is very useful for the climate, we can ask ourselves out loud. But it's a National Energy exploration, while the climate is not national. If it leaks elsewhere, it has no meaning for the climate, no matter how many NEVs we release. There is no point in calculating climate effects nationally under a European roof. The effect of the previous letter is that we have subsidised the pollution of car parks in other countries by making it artificially cleaner here. The effect is mathematically zero, which is sad. Perhaps Mrs. Vos will agree with me.
ParlaMint-NL_2016-06-28-eerstekamer-6.u24	Finally, Mrs. Fox.
ParlaMint-NL_2016-06-28-eerstekamer-6.u25	Has the Secretary of State already made an effort to tackle this at European level? We hear the same story from the Secretary of State when it comes to pollution from our large industries. We are gradually in a kind of perverse spiral down, where there seems to be no point in national intervention, because then it leaks elsewhere. Has this been put high on the agenda in Europe?
ParlaMint-NL_2016-06-28-eerstekamer-6.u26	It has become a bit out of fashion to sing the blessings of the European Union. I'm gonna be very frugal in that and make a bit of an economical face. But if there is one thing that works in Europe, it is the manufacturer ceiling and the ETS. The environmental policy we are pursuing together is incredibly more efficient than what we have done at national level. In terms of emissions, we are in the spiral mentioned by Mrs Vos. That spiral's going down pretty hard. In terms of ETS and manufacturer ceilings, the Netherlands has indeed used a significantly stricter source policy. It works and it's efficient. It has an effect; that is the cheapest way to help the environment. This helps those who want to save money and those who want to do a lot about the climate, because that leaves more for the climate. The answer is therefore explicit: yes, the Netherlands has argued in favour of this. The Netherlands believes that this is very sensible. More has happened than a zero effect at the cost of 6 billion in subsidies. We have, of course, also disturbed the market. This has led to giggling among different manufacturers. The total world production of the Mitsubishi Outlander and the Volvo V60 Plug-in went to the Netherlands. All production on earth was sucked here because of our tax advantages. We have seen a lot of tax revenue disappear because of this advantage. The bpm was a tax that was still known within the Ministry in 2008 as good for 3.2 billion; the bpm is now doing less than half. We have all seen this happen because of the fact that that erosion took place. This cannot continue, because the policy we are pursuing is going to lead to even more excesses. Take a look in the brochures at the plug-in hybrid cars that have recently come on the market, or are still coming on the market. There are SUVs that are bigger than what we used to be the biggest ten years ago. Those are cars that weigh more than 2.5 tons, some have 400 horsepower, it doesn't fit between these two benches. If we're not careful, we'll subsidise it as if they were economical cars. I'm sure Mrs. Vos doesn't want to be seen in a car like this.
