ParlaMint-NL_2016-09-13-tweedekamer-5.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-09-13-tweedekamer-5.u12	I think we all agree that care should be appropriate and that people should not fall between ship and ship, but my big question is how this cabinet is going to take care of that, because this mental health care has already suffered blows in recent years, with fewer and fewer budgets and the enormous extramuralisation. How, then, does this cabinet intend to ensure that mental health care can do this extra job well without compromising other tasks?
ParlaMint-NL_2016-09-13-tweedekamer-5.u13	We have received two interim reports from the recruitment team with recommendations to the Empire, the municipalities and cooperation partners. The chasing team has defined nine building blocks that should have a closing approach and has defined perspectives from which everyone should work: the integrated person-oriented approach, a clear direction and a clear ownership, with prevention and early warning at the centre, and a transition from system to living world. Six floor regions were then installed to test and disseminate best practices. That is the answer to Mrs Voortman's question. The questions on the ggz can, of course, be discussed with my colleague Mr Schippers at the appropriate moments.
ParlaMint-NL_2016-09-13-tweedekamer-5.u14	The Minister is now reading from the report of the chasing team, but the point is that this is an integral opinion. There a piece is taken out and the total picture is not looked at. My question was how the cabinet is going to make that care better. You can't say we're pulling the cops out and we're not quite in order at the ggz yet.
ParlaMint-NL_2016-09-13-tweedekamer-5.u15	I think that is exactly what I have said: it is important that this is looked at in full. That is why Mr Schippers and I are jointly responsible for this issue. My direct responsibility is only the final piece. In the Chamber, with the hunting team and in the Hoekstra Committee's report, we have all noted that we have been looking at the final piece for far too long and that we need to look at the front. That's what the whole hunting team is based on. This is worked out together with the municipalities along the lines I have just shown.
ParlaMint-NL_2016-09-13-tweedekamer-5.u16	We all agree that confused people need care and not a police cell. The Minister makes it very clear that there must be a transitional period and a transfer. How can the Minister be sure that this transfer is going well and that the police can actually hand over its current task, which they wish to reject? When, according to the Minister, is the release of this task sufficiently safe by the police? I am referring, of course, to the importance of the confused people.
ParlaMint-NL_2016-09-13-tweedekamer-5.u17	I think Mrs Bergkamp describes it very well: that is when the importance of confused people is sufficiently served by the arrangement that exists. This may have to be looked at from municipality to municipality, but it is now very important that we establish with each other that we really want to achieve this and that we really think it is important that patients are treated like patients and not as criminals. That is the starting point of the agreements we have made with all those parties in the country.
ParlaMint-NL_2016-09-13-tweedekamer-5.u18	In 2012, the then Secretary of State for Security and Justice Fred Teeven said that you see it in justice when it is protected in public health. What did this cabinet do? Less places in mental health care, the outpatient care or home care for psychiatric patients with a huge discount to the municipalities and shorter treatments, because the health insurance companies want that. Does the Minister recognise that this policy leads to more confused people on the streets, huge costs and a great deal of social suffering?
ParlaMint-NL_2016-09-13-tweedekamer-5.u19	It's not for me to judge that. I think it would be wise for Mrs Leijten to discuss this with Mr Schippers of VWS. There will undoubtedly be an opportunity to do so during the budget debate. I don't recognize myself in the sketch. I know, however, that we have looked carefully at the problem of the confused people over the last year and that we realise that we are really catching up on this point. We'll make it, too. We do that integrally, with all parties. I also think that we are doing very well. Everyone's working very hard on that. That is very important.
ParlaMint-NL_2016-09-13-tweedekamer-5.u20	Mrs Leijten, you have the floor to correct something, not to ask a follow-up question.
ParlaMint-NL_2016-09-13-tweedekamer-5.u21	I'm not asking a follow-up question. I note that for a minister who says he wants to look at it in its entirety, there is a lot of referrals to Minister Schippers of VWS.
ParlaMint-NL_2016-09-13-tweedekamer-5.u22	You've made your point.
ParlaMint-NL_2016-09-13-tweedekamer-5.u23	In response to this, I can say that "integral view" does not mean that you will then assume the responsibility of a fellow trade minister, but that you will look at it together with that fellow trade minister.
ParlaMint-NL_2016-09-13-tweedekamer-5.u24	The Minister shouldn't respond to everything. It was a point of order from Mrs Leijten. She wanted to make a comment. She was allowed to do that.
ParlaMint-NL_2016-09-13-tweedekamer-5.u25	I have heard the Minister say: the starting point is that the police will stop these activities, namely the reception, removal and reception of confused persons, from 1 January 2017. I couldn't agree more. I also hear the Minister say: but if it is not quite in order, then the police will continue it temporarily. My question is: is there a "temporary" deadline? Otherwise it will be a safety net again, and we have to get rid of it.
ParlaMint-NL_2016-09-13-tweedekamer-5.u26	I don't have that deadline. I assume that we will discuss this with each other in the coming months. It's important that we approach this from the patient's point of view. The patient does indeed need that, as several Members of Parliament have said, he does not fall apart. The police also see a responsibility for themselves in that regard. The agreement is, however, that we must ensure that the reception and transport are carried out as quickly as possible in a way that is of interest to patients, and that is not a police car or a police cell.
ParlaMint-NL_2016-09-13-tweedekamer-5.u27	Three days after the Cat housebreak, the Kunduz agreement was concluded by the CDA, the VVD, GroenLinks, the Christian Union and D66. They decided to technically extramuralize zzp 1 to 3, which closed not only the nursing homes but also the psychiatric institutions for the lower indications.
ParlaMint-NL_2016-09-13-tweedekamer-5.u28	What's your question?
ParlaMint-NL_2016-09-13-tweedekamer-5.u29	My question to the Minister is: does he miss those institutions? Does he think that the institutions for confused people should come back so that these people can catch their breath?
ParlaMint-NL_2016-09-13-tweedekamer-5.u30	With the policy we are pursuing on the basis of the division of responsibility that we now have, the municipalities are primarily committed to doing so, we are taking the right measures to deal with the problems of the confused people, also while preserving the interests of the patients themselves, trying as much as possible to enable people to function as independently as possible in society. That is wise in itself. We are dealing only with a difficult problem and for that reason we are flying it almost completely. We will continue to inform the Chamber seamlessly and accurately about this.
