ParlaMint-NL_2016-12-15-tweedekamer-8.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-12-15-tweedekamer-8.u12	A low youth wage makes education attractive to get a high wage later, writes the CPB. But then you're out of reality. When I was in college, at most 5% of the students worked. Today 95% work and why? To prevent them from getting into debt and to survive. Under these conditions, a higher wage for young people means that they can work shorter and study more. What the CPB is saying is in any case outside reality. During the hearings, there was someone who experienced this in person. That was Yorrick. He said: I want to learn and start a new study, but the costs are too high and wages are too low. That's exactly the problem. Young people are being prevented from studying because they have low incomes. A remarkable part of this story is that employers receive subsidies to pay the slightly higher youth wages. My question to the Minister is: why subsidies for employers and why, therefore, from the Disability Fund? Why do companies that pay their young people decently, who have abolished youth wages in the collective agreement, have to pay for the subsidy to companies that have made a earning model for working with young people on youth pay? According to the CPB............................................................................................................................................................................................................................................................ It is a rather weak report from the Central Planning Bureau, because it says that employment is likely to fall. Probably. I would then like to refer the following matter to the Minister. Suppose the Central Planning Office existed in 1874. Suppose the Central Planning Bureau had to assess the Children's Law of Van Houten, on the ban on child labour in industry. If the Central Planning Bureau had looked at this in the same way as it is now looking at youth wages, we would have had child labour in the Netherlands. I am therefore very interested in the Minister's response to this argument. I have one more question. Apparently, the Council of Europe has been critical of the youth wage system in the Netherlands for 20 years. The European Social Rights Committee calls it "obviously unreasonable." Apparently, unfair dismissal would give you a higher discharge. I am very curious to hear what the committee is saying about the legislative proposal we are discussing. Are you sure that's fair? After 41 years there is progress: young people are on the move, they are successful. But the fundamental injustice is not removed. I have therefore tabled an amendment for an adult wage from 18 years of age. Recently, we have also given names to amendments. I ask the Registrar whether she would like to call this amendment 'Minimum wage 18 years now'. And then "now" if it's possible with some capital letters. And, Mr President, you will understand that Mrs Ulenbelt fully agrees with this.
ParlaMint-NL_2016-12-15-tweedekamer-8.u13	The fact that Mr Ulenbelt would like to go further, and I am guessing Mrs Ulenbelt too, is no surprise to me. However, I find Mr Ulenbelt's contribution so gloomy. If he does not do it himself, I would simply like to congratulate Mr Ulenbelt. After 40 years, a big step is taken. The SP has also made an important contribution to this. I understand Mr Ulenbelt is very upset about the glass being half full. I wish him the joy of a half-full glass today.
ParlaMint-NL_2016-12-15-tweedekamer-8.u14	In 2008 I already proposed to reduce the minimum youth wage as a first step to 22 and to adjust the standard. That was eight years ago. The Labour Party was against it, GroenLinks was in favour, D66 was in no fields or roads to be seen. So yes, I count my blessings after 40 years. That's right. That's what I said. I congratulated the young people on their struggle. I've been a part of it myself. I'm happy for that. But it's like crossing: if you take the first step you're still far from safe, because then you might as well get under the car. Now, this is the first step and new steps need to be taken quickly.
ParlaMint-NL_2016-12-15-tweedekamer-8.u15	I understand that it is very complicated in the culture of the Socialist Party to celebrate steps forward. If this is the cheerful Mr. Ulenbelt, then I hold my heart for the gloomy.
ParlaMint-NL_2016-12-15-tweedekamer-8.u16	There's something else going on. I've seen the footage of Mr Van Weyenberg. He received applause at the events of Young & United. But he got that applause for what he said there: the youth wage is no longer of this time. Besides, those young people thought they'd get rid of half the pay. D66 supports this bill, but it simply says: at 18 years you will also get 50% of the adult wage in two years' time. And that's what young people call half wages. And so am I.
ParlaMint-NL_2016-12-15-tweedekamer-8.u17	A brief response, Mr Van Weyenberg.
ParlaMint-NL_2016-12-15-tweedekamer-8.u18	I was just at the Young & United manifestation, not Mr Ulenbelt. The kids asked us to bust in that law today. I think it would be good if Mr Ulenbelt realised that. But did I just hear him say he won't support the law?
ParlaMint-NL_2016-12-15-tweedekamer-8.u19	This is the best proof that Mr Van Weyenberg has not listened or cannot listen. I didn't say anything about that. We support every step forward. We have always done so, and we will do so now. Mr Van Weyenberg really does not have to worry about that.
ParlaMint-NL_2016-12-15-tweedekamer-8.u20	Chairman...
ParlaMint-NL_2016-12-15-tweedekamer-8.u21	No, Mr Van Weyenberg, this is really enough...
ParlaMint-NL_2016-12-15-tweedekamer-8.u22	Mr Ulenbelt has just accused me of...
ParlaMint-NL_2016-12-15-tweedekamer-8.u23	Very briefly.
ParlaMint-NL_2016-12-15-tweedekamer-8.u24	... that I support this law to add two sentences later that he does it himself. Well, that's a note, then.
ParlaMint-NL_2016-12-15-tweedekamer-8.u25	No, I don't blame you. This is the second proof that you're not listening. I said what you said at that demonstration. You got applause because you were expecting half that pay to go off at 18 years. And that's not what's gonna happen with this bill. Those are the facts. The bill is also about piecework. About 155,000 people in the Netherlands work on piecework. I'm very interested in the history of the workers' movement. In 1895 we had a big strike in Amsterdam among furniture makers. The companions of the company Haak and Hesseling laid down the work, for they demanded payment of wages per hour instead of piece wages. That strike spread all over Amsterdam: 500 furniture makers on strike. The first requirement was to abolish the piecework. They had all kinds of objections to the piece wages and that is perhaps best summarized in the bond song of the furnituremakers' union of 1895: "The piecework that should be abolished The cancer that weakens the mind who sows discord in our rows and reaps the best of Our power." A very poetic resistance to the piecework. The Council of State notes in this legislative proposal that the remuneration around the statutory minimum wage is actually abolished because, if you get your piece wage below the minimum wage, the hours worked count and so you get the minimum wage. That's exactly what those stabbing furniture makers wanted in 1895. Sometimes it takes 40 years, sometimes it takes a lot longer, but it goes in the right direction. I ask the Minister why he does not impose a total ban on piecework. The social complaints of the furniture makers back then, you hear now. I have tabled an amendment to abolish the piecework in the Netherlands altogether. The following was already in my text, but now Mr Van Weyenberg will of course explain it as a gesture to him. It wasn't supposed to be like that, but that's the way it's supposed to be. This law is a first good step. I told you, if you want to get across the street safely, you don't have to take one step, but you have to take more steps quickly. You're gonna get run over anyway. That will not be the intention of this Minister, and it is certainly not my intention. I am glad that I was allowed to fight against youth wages and that I was allowed to do it again with Young & United. What I particularly like is that I was allowed to do it with Mrs Ulenbelt.
ParlaMint-NL_2016-12-15-tweedekamer-8.u26	So that battle has produced something beautiful.
ParlaMint-NL_2016-12-15-tweedekamer-8.u27	Mr. Chairman. A beautiful bill often has many fathers. The same applies to this bill, because many people claim that they have laid the foundations for this bill. Actually, I don't want to talk about the fathers right now. I want to talk about the young people. The President hoped for the mothers, but I am really going to talk about the young people! In fact, I think that the young people themselves ultimately managed to get this bill dealt with here today. I would like to give them a very big compliment for that. It also shows that political engagement can have an effect. Let that also be an appeal to all those people who think that something is happening here and that there is no listening. I think this day is living proof that it could lead to a bill if you show that there are unjust practices. So a compliment to the young people for that too! My group also welcomes the legislative proposal. At the time, we co-signed the Van Weyenberg motion which states that steps must be taken to increase the minimum legal wage. This bill improves the salary of young people under the age of 23. They are also entitled to a wage with which they can build their own lives earlier. I do have some questions about the bill and about the effects it could have. First of all, the two-step reduction. The statutory minimum wage applies only from 22 years and after two years the next step comes to 21 years. It follows from the law. I still have some questions about this two-step construction. In the explanatory statement, the Minister writes that the second step, the legal minimum youth wage from 21 years of age, will take effect if the effects of the first step are not too bad. But it's just in the law! It's just been recorded in there. Why has this reservation been made? Is it perhaps an example of a compromise text? If so, I am very curious as to what the Minister actually wants. Does he also just want the statutory minimum wage to apply from the age of 21? If so, why choose this two-step construction? I also think that the argument of the employment effects is a rather special one. We know that the employment effects are stronger in lower age groups and not in a reduction from 22 to 21. In addition, the second step follows after two years. Then you have to keep a close eye on the effects it's already had. Why does the Minister intend to have a better view of the employment effects with these steps and why does he not simply choose to apply the statutory minimum wage at 21 years in one go? As far as I am concerned, he does so with a proper assessment clause in the law, because then we can always talk about it again. Can the Minister clarify this a little? Does he also think it should go to 21 years? Period! The Minister also takes measures to reduce employment effects. He wants to use the low-income advantage and a compensation scheme for employers. I have a bit of the same question as Mr Ulenbelt. There are employers who have incorporated it all nicely into their collective agreement. Do they have to pay later, because there are employers who have not made any arrangements and are compensated for them? That would really be the lid on the nose of the good employers. What exactly does the Minister expect to impact on employment development? What figures does he have showing that this compensation is necessary to prevent young people from losing their jobs if the statutory minimum wage is to start at 21 years? The compensation scheme seems rather complex to me. How does the Minister see this? An exception is made to the increase in the legal minimum youth wage for the apprenticeships. At the same time, a reasonable number of collective agreements have been reached on this subject, which means that the young people covered deserve more than the statutory minimum youth wage. On the one hand, it is regulated and on the other hand, this will lead to fewer learning places being offered. It's one of two: either it can or it can't. It's a little unclear now. Does the Minister have any concrete indications that fewer jobs will be offered at the time when we begin the statutory minimum wage earlier? I haven't been able to find that support, but if the Minister can give it to us, it might help to convince us, too. This applies all the more to those in a sphere of education. If you go to school more than work, you can get a job for which you will get the legal minimum wage. If it's a learning process, so if you work more, you don't get the legal minimum wage, when you don't have time for a side job, because you've been working all week. I think there's an inequality in that. I hope the Minister will be able to shed some light on this. In order to prevent a worker from being unable to earn an income for his primary necessities in the case of piecework payment, piecework payment shall be deemed to be working time. That should prevent displacement. I can imagine. According to the explanatory memorandum, enforcement of this provision by the Inspection SZW is again very difficult. It then determines the actual time spent by the employee in carrying out the work performed. The government assumes that the employer always has an insight into the duration of the work carried out. With the Council of State, I doubt that. Sometimes there's no sign of it. Quite a few young people work remotely. For example, when someone walks leaflets, it should not be the fact that he walks fast or slowly that determines the salary. How should an employer monitor this? I have seen that VVD and CDA have tabled an amendment on this point. I haven't had a lot of time to study it properly, but I get the impression that this can offer some relief. We are extremely opposed to repression, but we must also ensure that such a thing as leaflets does not become a major problem for enforcement, which means that an employer can no longer properly estimate what to pay someone. I am going to look at the amendment, but I would also like a response from the Minister. The statutory minimum wage will also apply to additional work, and we support that. In doing so, as in practice has already been customary, it has been made possible that extra work is not paid in cash but in leisure time. However, the law now provides that only this possibility can be used in so far as it is included in a collective agreement. I get that, driven from the protection of employees. Sometimes, however, an employee wants to be paid himself in free days. Can we do that if there is no collective agreement? Is there therefore freedom of choice for workers to be paid either in cash or in leisure time? It seems strange to me if this is possible if there is a collective agreement, but not if nothing is arranged for it. I want to leave the employee the choice in this. Is that gonna be possible soon? I await the Minister's response with interest. I welcome the fact that Mr Ulenbelt's love story has been included in the Acts by dealing with this bill. These are the last few months when he is still a member of the Chamber, and that seems to me to be a nice conclusion.
ParlaMint-NL_2016-12-15-tweedekamer-8.u28	Mr. Chairman. Mr Ulenbelt and I have more in common than you think, besides perhaps a great love. For both of us, this is one of our last debates on this stage, in this beautiful house of democracy. That may sound a little heavy, but I am also trying to compliment Mr Ulenbelt, because today we have a debate of great value. This is why you actually do it in politics. In this debate, you will achieve something with each other, with different parties inside and outside this house, which will allow you to explain in a year, a week and in ten years' time why it is valuable that there is politics and that we can take steps. You can also explain how concrete these steps are, because next year a very large group of young people will earn more money. These young people often also have their own rent and their own costs. As we all know, there is no such thing as youth rent, but these young people do receive a youth wage. That's going up now. I like that. We're under relatively little media attention here, I noticed. Mr Ulenbelt did have a lot of media coverage yesterday, but this is a very nice subject to report on. There's no fighting or fuss. However, we have not discussed this issue since 1974. And it's very fundamental! I have read through the 1968 Acts on the creation of the minimum wage, just like the 1974 ones on the creation of youth wages. In 1968, a member at the time referred to discussions on a guaranteed annual income for all. I would remind you that this year we even had another debate on basic income. They also referred to writers such as Myrdal, Friedman, Fromm and Theobald and to general wage policy. The discussions in 1974, I say to Mrs Schouten, were about the age limit of 23 years. The Minister was asked if he was prepared to look into this subject, provided that there was sufficient cause in the collective agreements. The Labour Foundation wanted to do such a study, but was waiting for a request from the Minister, while the Minister was waiting again to see if the collective agreements gave sufficient cause for this. In short, it is nice to read that these debates still have topical value. The discussions are no longer exactly the same, but they have the same characteristics. The subject was also discussed on the basis of the heart and moral views. I know that Mr Van Weyenberg is attached to some uncomfortable statements by Joop den Uyl. I found in the beautiful biography of Anet Bleich a statement by Den Uyl that I do not want to deny Mr Van Weyenberg. The Social Democrats were not always in favour of lowering the age limit; Mr Ulenbelt is right. Den Uyl said to Wim Duisenberg in an unguarded moment: "If you give those guys more money, the only thing they're going to do is buy more stereo towers." I wanted to give that quote to Mr Van Weyenberg. I do not agree at all with this; you understand that. A prominent CDA, the rather dear Jan de Koning, even wanted to step back in the 1980s as Minister of Social Affairs. Employees should not receive the legal minimum wage for adults at 23 years, but only at 27 years. Fortunately, that didn't happen, bearing in mind his own motto: "If things don't work out as they should, then so be it." Here's to it. I agree with my predecessors and would like to congratulate them: not us, but the young people who organized and initiated this action. They also caught us by surprise with their own stories. Those kids were Soufian, Anneloes and Ali. Thank you! Thank you, too, for coming back today. But economists also stirred, not just on the left. The respected VVD economist Frenchman said: if low wages would bring more prosperity, Bangladesh would be a paradise, but it is not. Mr Wilthagen said: 'They get a youth wage, but there are no youth messages in the supermarket and there is no such thing as a youth rental'. So we are very much in favour of this bill. And yes, before people interrupt me: in our election programme we are going one step further. Nevertheless, we are extremely satisfied with the step we can take here. From this point on, I say that we hope for rapid treatment in the Upper House. Indeed, it is also relevant to look at the effects, although I think they will be very difficult, given the international comparisons. Anyway, I'm saying this based on the pieces that are now there. The recent adjustments in Germany have led to no effect. And we will continue the fight after 15 March. That's for sure. There are two other pieces I would like to consider. The first part is about paying minimum wage for extra work. We have suddenly noticed that we have never laid a legal basis for this, and in that respect it is incredibly relevant that we do at the moment. The second part concerns the payment of minimum wage for piecework. The number of workers working on piecework in the Netherlands is estimated at about 155.000. The minimum wage Act contains a standard for the case in which the employer rewards the employee depending on the results of the work performed. Mrs Schouten also said that working time was defined as "the time reasonably taken to carry out the work carried out." We are in favour of everyone getting a decent reward for their work, and we are therefore pleased that piece-of-wage payments will be subject to full minimum wage. There is one point I have not really mentioned by the previous speakers. It is a bit of a separate sector, on which we have received letters, namely the host parents' offices. Actually, I have to tell the host parents, it's not about the desks, it's about the host parents. Usually host parents receive children from other parents in their own home and they usually do so on the basis of an ovo. Part of this group is now outside the WML. They have to deal with both the WML-ovo bill pending in the First Chamber and this bill. The big problem will arise when a host parent takes care of one or sometimes two children, because suddenly he has to make a huge blow and it is going to be much more expensive. Since this sector has a very special situation, namely receiving children at home, I ask the Minister if he sees any possibility of finding a solution for the host parents within this system. I'd like to leave it at that.
ParlaMint-NL_2016-12-15-tweedekamer-8.u29	I'm giving the floor to... Oh, Mrs. Schouten has another interruption.
ParlaMint-NL_2016-12-15-tweedekamer-8.u30	Yes, at least I would like to mention that it is one of Mrs Vermeij's last debates. But I also have a question about the two-step system that I have also put in my contribution. The explanatory statement says that we go first to 22 and then to 21 if the effects are not too bad. In any case, that is a bit weird in legal terms, because it is now regulated by the law. But does Mrs Vermeij also agree with me that we should be going to 21? Does she agree with me that this should not be made dependent on anything? There should no longer be any ambiguity about it.
ParlaMint-NL_2016-12-15-tweedekamer-8.u31	Legally, it goes to 21. So there is no ambiguity about that. If major disasters were to occur, I would not expect that, and that would not give any research to.................................................................................................................................................................................................................................................... But legally, we do it in two steps, provided the effects are such that we do not consider the second step reasonable. And then it doesn't apply to one person having to think that, but that a lot of people and we all here have to think that. The law says very clearly: we go down in two steps, to 21. I think there can be no misunderstanding about that.
ParlaMint-NL_2016-12-15-tweedekamer-8.u32	But we usually make laws here with an evaluation clause. We say that this must show whether these major disasters occur and whether we need to adapt something. A kind of conditional legislative change, which is now being introduced, cannot provide the clarity that we want to offer these young people today. I just want to hear from Mrs Vermeij that it will apply from 21 years on.
ParlaMint-NL_2016-12-15-tweedekamer-8.u33	I think that's what the law says, and I can vouch for it. It's going to apply from 21 years.
ParlaMint-NL_2016-12-15-tweedekamer-8.u34	Mr. Chairman. The Party for Freedom is a party for the common man, for ordinary people who want to work, for real jobs, a party that wants to encourage people to do their best to fight for a dignified existence. That is why we see this proposal as a small light at the end of the tunnel in Asscher, where the Netherlands has unfortunately been driving through it for four years. I'm saying it a little crazy this time to the Minister, but we know from each other that we sometimes tease each other a little bit.
ParlaMint-NL_2016-12-15-tweedekamer-8.u35	First it was four more years, now it's a compliment. I do not know where this ends with Mr De Graaf!
ParlaMint-NL_2016-12-15-tweedekamer-8.u36	Last week, I transferred those four more years to Mr Heerma, who had said on the radio: the Minister gets a six. Then you'll pass. I warned Mr Heerma about that. That is quite different from what I would have said "four more years." Absolutely not. Then this has also been corrected forever in the Acts!
ParlaMint-NL_2016-12-15-tweedekamer-8.u37	Please continue.
ParlaMint-NL_2016-12-15-tweedekamer-8.u38	It is important to realise that young people do not necessarily have to work, but the reality is that they do so at the minimum wage. The minimum wage is a lower limit to protect people from the men's mentality, the shipowners mentality that I know from my own family, not on the side of the shipowner but on the side of the employee. The mentality that used to prevail and which we now often find in particular with the large business, which is part of the globalist elite. Many people are afraid of the developments that are taking place in there and also of the consequences of their actions. The minimum wage is a protection against that elite, which people often only see as an economic thing or a disposable napkin. Of course, we can never agree with that. That protection has nothing to do with left, middle or right, but it has to do with civilisation. The challenge is of course to overcome the minimum wage, by special talents or qualities, by commitment, by challenge, by competition and by perseverance. Also challenging, dealing with it and developing yourself, is of course a form of civilisation. The proposal before us is a step-by-step proposal. It is a proposal that brings competition to young people who deserve the minimum youth wage. The Chamber adopted Mr Van Weyenberg's motion to bring minimum wages more into balance, i.e. minimum wage and minimum youth wage. The government is implementing this proposal. I've got a few questions for the Minister. To what extent does the Minister expect the employment effects to be such that stairs two should not be implemented in a while? Of course, it would be a waste of law if it could not go through. It is also true, of course, that the economic situation seems to attract a little bit. But that also has to do with the international definition of unemployment that currently applies. At one o'clock you already have a job and are no longer listed as unemployed. It used to be 12 hours. If you worked 12 hours a week, you'd have a job. Nowadays, it's at one o'clock. We need to keep that in mind. As a result, unemployment statistics appear to be a little more flourishing than they actually are. That must remain clear for everyone, because that image is more positive than at the kitchen table of the Netherlands. So the question is whether an artificial cyclical picture has been created in which this bill could work out more favourably. This will, of course, allow young people to be tied to the decaying Labour Party in election time. Of course, that should not be the intention of the bill. An adjustment from 23 to 22 and later to 21, in consultation even with employers and employees, look at this: De Graaf once positive about the polder, including a compensation scheme, you can hardly be critical of that. Yeah, it's kind of nice to surprise people once in a while at the end of such a period. In this age group there are plenty of people who live on their own, who are the winners or sometimes even care for a young family. 22-year-olds and 21-year-olds shouldn't be thrown off with the minimum youth wage. However, we are slightly critical of the steps that may follow, because the effects are most important. What are the employment and unemployment effects of this proposal if you continued after that? That is why on the one hand I welcome the proposal, but on the other hand I am slightly critical of Mr Ulenbelt, who says: straight to 18. The next point is for example the Flexwet, which went through the Second and First Chambers with steam and boiling water and many major changes. And that is where we still have the fried pears, and we are still stuck with them for the time being if things are a bit disappointing. If you were to go on to 18 in one go, our fear is that there may be too much change in the economy and that the situation will be out of balance. I'd like to get a response from the Minister to that idea. The second step must indeed be a well-considered step. I see that I am almost through my time, but also because of my text, which saves me, but I also see Mr Ulenbelt.
