ParlaMint-NL_2016-12-19-eerstekamer-5.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2016-12-19-eerstekamer-5.u12	We have arrived at the second term of office. I give the floor to Mr Dercksen.
ParlaMint-NL_2016-12-19-eerstekamer-5.u13	Mr. Chairman. Where do I start? The Minister says that, according to the current state of the art, the energy agreement will reach 32 billion until 2032. That is 40 billion less than the General Court calculated a number of years ago. There's 40 billion in there. At present, a number of experts are counting on what the calculation will be. I can tell you that this calculation will be even higher than that of the General Court. Perhaps it is also logical that the Minister does not know, because he is organising an Energy Dialogue, but if the experts mentioned have a presentation at EZ, no one will come. The minister won't come, and there won't be one official. That's a little bit of what's going on. So the question is not whether we isolate ourselves, the question is whether the Minister is isolating himself from information. Speaking of isolation. I have a letter here from a VVD physicist. This gentleman knows things, and if he doesn't know them, he investigates them. He was a member of the General Energy Council, director of the FOM, the Foundation for Fundamental Research of the Matter, and director of the Technology Foundation STW. It seems to me that this is someone we can listen to. In fact, he concludes what I just concluded. He concludes, for example, that wind energy already saves barely any fuel autonomously, because we have to keep gas and coal power stations running on standby. These power stations must also be maintained; the minister himself said so. And those windmills must also be placed. The piece that would then be saved according to the models is traded via the ETS system. This ultimately leads to more lignite production in Eastern Europe and de facto more environmental pollution. If the minister doesn't believe me, let him believe his partymate. The same applies to solar panels. The Minister says that the cost of this will be reduced, but we now have little use for example, because in winter it is dark and the solar panels do not deliver any or hardly any energy. They have a net energy output that is way too low, when you calculate how much coal is used in China to produce those things and when you calculate what it costs for installation, conversion, storage, cabling and backup. The net energy from a solar panel then turns out to be very small. I can't help that either; that's just what people have determined. Let me also mention biomass, because the Minister has a problem with that in the House of Representatives. Even the Labour Party has found that biomass has nothing to do with sustainability, so that means something. A lot of funding is still going there, too. The minister was wondering what I had to do with Australia. Well, here's the thing. Germany has a lot of network interventions. That makes the economy vulnerable, because if the network goes down, your economy will be flat. In South Australia, the economy was flat for weeks because the windmill was no longer running and the network had exploded. Those surgeries are gonna be so expensive. If Germany produces a lot of wind now, it will give it away, either to us or to Austria. Poland and the Czech Republic do not want this energy anymore, because it endangers their network. So that's what we're dealing with in Australia. If we set up the same windmill capacity as in Germany, then no one can do anything with the energy and we have to stop windmills. Worse still, the legislation stipulates that these mills could have generated energy, so you will still receive subsidies for these mills, despite the fact that we cannot release this energy on the network and therefore no electricity is provided. That is about what is happening on the basis of the energy agreement. The Minister has spoken of Sif. Give me $100 million, and I'll put a lot of people to work. To be honest, I don't think that's a great achievement for Sif. These windmills are mainly from Denmark, from Goldman Sachs. I have one final specific question for the Minister. Some time ago, it was in the media that TenneT was capitalized for 22 billion to improve the network. There was a part of the wind at sea. Exactly how many of these billions are needed for renewable energy? Reports have been published in the market stating that the amounts for TenneT could be between 20 billion and 71 billion. Can the Minister clarify what part of that amount is needed for renewable energy?
ParlaMint-NL_2016-12-19-eerstekamer-5.u14	Thank you, Mr Dercksen. I note that the Minister has the opportunity to reply immediately. I call the Minister for Economic Affairs.
ParlaMint-NL_2016-12-19-eerstekamer-5.u15	Mr. Chairman. I notice that Mr Dercksen is still not talking about the bill. He talks about the Energy Dialogue that we are organising and says that I am closing for information. With this Energy Dialogue, we have reached many thousands of people on the Internet, and we have also reached many thousands of people at hundreds of meetings in the country. Wherever we could, we have looked up the dialogue in order to receive as much information as possible and to benefit from it in preparing the energy agenda. The statement that I would close my eyes to information is too ridiculous to respond further to it. Mr Dercksen cites one alleged expert. His qualification is mainly, I understand, that he is a member of the VVD, for which I am grateful. I think it would have taken him real trouble to find someone else to defend the story that what is happening in the field of renewable energy would be wasted effort and wasted energy. If there is one issue on which agreement is reached in the world and for which agreement has been reached in Paris from all over the world, then that is the transition to renewable energy. This was possible not only because the problem was recognised, but also because the urgency and the need for joint agreements were felt, in order to reduce CO2 emissions on our planet, because its consequences are very negative for the living environment of future generations. We do not want to do so, at least many of us.
ParlaMint-NL_2016-12-19-eerstekamer-5.u16	Perhaps the Minister has missed a marginal development in the United States? It could be, but it'll probably be soon. Perhaps it is a good thing to say that we are not responsible for any kind of energy. We are opposed to subsidising certain forms of energy, in particular because other forms of energy such as thorium and MSR do allow us to supply demand-driven energy without limit. I have just indicated that, apart from the subsidy, windmills and solar panels with network interventions could only absorb some of the energy needed. We can't do it without fossil energy. So let us go to an energy supply that is demand-driven, so that if energy is needed, it can also be delivered. This should not only be possible when the sun is shining or when the wind is blowing. But don't do that without a subsidy! This gives real companies the opportunity to develop these forms of energy and to be innovative.
ParlaMint-NL_2016-12-19-eerstekamer-5.u17	Mr Dercksen says that he is not against a form of energy in advance. I can tell him that in the four years I have been doing this work, I have never heard anyone from the PVV here or in the House of Representatives say one positive word about renewable energy. So, on the basis of my own experience, I have a strong impression that we are opposed to renewable energy.
ParlaMint-NL_2016-12-19-eerstekamer-5.u18	That's because there's 32, 73, 90 billion taxpayers' money going there. That's because it puts pressure on our prosperity. The Minister does not hear us cheering about windmills and solar panels, simply because they cost us prosperity. That's why we're not excited about windmills. If they gave us free power, the minister could have had a chat with us, if we had put them far away at sea. But that's not the issue. It's unprofitable energy and it's energy you can't count on, simply because the windmills only produce energy for 35% of the time, or 40% if it's very upset at sea.
ParlaMint-NL_2016-12-19-eerstekamer-5.u19	It would cost our prosperity and jobs much more if we neglected what is going on in terms of CO emissions and climate change. That is a conviction of 197 countries in the world who have therefore made agreements, which the Netherlands also adheres to. Mr Dercksen spoke about the 14% renewable energy target in the Netherlands. He said: the effect of this is only that lignite is produced instead in Germany. He forgets that the 14% that the Netherlands wants to produce of renewable energy in 2020 is part of agreements made for Europe as a whole. 28 countries of the European Union all have a percentage they must strive for. Some countries have it easier, such as Sweden with its high altitude differences and the presence of water that can be used for hydro-energy. In Sweden, therefore, there is more than 50%, and that country has a higher target. In other countries such as the Netherlands, the situation is very different. That is why we have a 14% target. In Germany there are already between 20% and 30%. This, as well as the picture I have just outlined of the Paris agreement, shows that all the countries in Europe are moving towards renewable energy in a variety of forms. This includes renewable electricity, which we often talk about. Mr Dercksen also spoke about the proceeds of solar panels. He read in the newspaper a story in which someone claimed that the solar panels didn't yield anything. However, there followed a response from a number of experts who had taken a very precise look at this and came to very different conclusions. It seems that Mr Dercksen has not reached it. The next point is biomass. In biomass, you use trees that have bound the CO as they grew. So they take the CO out of the air. The CO is in the trees. Then these trees are used for building materials and the waste wood is used to hide in our coal plants. That wood is used instead of coal. If you take coal out of the ground, you take out the CO that's bound deep underground and blow it into the air. But if you use biomass, you're in a circular process where the CO is bound and also gets back into the air. That is why this is part of renewable energy. Agreements have been made on what exactly is and is not renewable energy. Nuclear energy is not included, for example, and biomass is. On the basis of the definitions that have been established, we have continued to pursue our policy. I can tell Mr Dercksen that we need all the possibilities for renewable energy to reach the 2020 target. Biomass is an indispensable part of this.
ParlaMint-NL_2016-12-19-eerstekamer-5.u20	That is because they said in Brussels that it is sustainable. In the meantime, however, the environmental organizations and even the Labour Party must not get any crazier! It finds that biomass has nothing to do with sustainability. Adult trees also absorb CO. They are cut down, they are sailed with diesel boats and then go into the Amercentrale in Brabant in pieces. Speaking of isolation, there is hardly anyone who can call biomass sustainable anymore, apart from the terrible emissions that are worse than those of coal. So we're trapped in fictional models from Brussels. We're not thinking anymore. We have a trading system that shows that CO emissions in Eastern Europe are accelerating, because we are pretending to emit less here. The CPB says that there is an overall increase in environmental pollution. The minister's acting like I'm crazy Henkie, but that's what the CPB says. That's what all nature organisations say about biomass. Almost everyone says that in the meantime. You only have to wait: in the end PVV views are taken over very often. That is also the case in this debate. So I'm not isolated. Biomass has nothing to do with sustainability. I know the story of those trees, but it really doesn't pay up.
ParlaMint-NL_2016-12-19-eerstekamer-5.u21	Apparently, 'Brussels' is a dirty word for Mr Dercksen, with which he thinks he has sufficiently argued the matter. What is or is not sustainable has been established after an analysis of the case. It does not matter whether that happens in Brussels, Paris or The Hague, the case is analysed. You're going to see how you can make that transition from fossil to renewable energy and what's and doesn't belong to it. On the basis of what has been established, agreements have then been made, including in the energy agreement, including with Greenpeace and with the Foundation for Nature and the Environment, that no more than 25 petajoules of biomass will be destroyed in the period of the energy agreement until 2023. That's exactly what I'm doing. I'm sticking to the agreements and the analyses that have been made. I believe that biomass is a sensible way of producing renewable energy. I do believe, however, that the effects of transport should ultimately also be faced with the fact that you partially capture and store the CO that is still in the air. That is why we are also working on the 2020 Road Project. The storage of CO in empty gas fields is something that is being pursued in Europe. The Netherlands is trying to implement a large-scale pilot project in this area. I hope to be able to provide more information on this in the first quarter of next year. Mr Dercksen spoke about the windmills from Denmark. I don't know what else to say about that. Turbines are on the windmills and they are made at Siemens in Germany and they are also made in Denmark. If you need windmills, you're gonna need those big pillars and wicks, too. Some are made in Germany, others in the Netherlands. It's spread all over Europe. I have already said that 30% of everything that happens to wind at sea is in the hands of Dutch companies. I believe that this is an example of the quality of Dutch industry which, if a new market develops, is also able to acquire a large share of it. In the end, Mr Dercksen asked about TenneT. What does renewable energy mean for TenneT? At the moment, we have an idea of the costs of wind at sea that TenneT has to pay. I make the necessary reservations, but I estimate, on the basis of the information I have and the expectations regarding the development of electricity prices, that in total for the five wind farms that we create at sea off the Dutch coast, 2 billion is needed. In addition, EUR 4 billion of funding is needed to ensure that the electricity from these windmills is collected and landed. In total, therefore, a total of 6 billion is needed for the offshore windmills, over a period of up to 15 years. That figure was first estimated at 18 billion, but now at 6 billion. Of this 6 billion, 4 billion is needed for TenneT's investment there. Those were my additional comments.
ParlaMint-NL_2016-12-19-eerstekamer-5.u22	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That's the case. I propose that we vote on the bill tomorrow night at the end of the evening.
