ParlaMint-NL_2016-09-15-tweedekamer-10.u1	I would like to welcome Minister Kamp.
ParlaMint-NL_2016-09-15-tweedekamer-10.u12	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the province and several municipalities have objected to the temporary authorisation decision of State surveillance of the Mines;]] [[calls on the Government not to take irreversible steps until the objection procedures have been completed,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is a lack of understanding of the social benefits and costs of oil extraction, the fiscal measures and the environmental impact of that oil extraction at Schoonebeek;]] [[calls on the government, the social benefits and costs of oil extraction in Schoonebeek and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas not all known reserves of oil and gas can be extracted worldwide in compliance with the Paris Convention;]] [[calls on the Government to suspend oil extraction in Schoonebeek until it is clear which oil reserves can be extracted in compliance with that Convention and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-91]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-92]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-93]]
ParlaMint-NL_2016-09-15-tweedekamer-10.u13	Mr. Chairman. Excuse me, but I have received five motions for resolutions, while eight have been tabled. If I have the last three motions, I'll be happy to begin.
ParlaMint-NL_2016-09-15-tweedekamer-10.u14	I only have five, or I'd have given them to you. I understand they're coming.
ParlaMint-NL_2016-09-15-tweedekamer-10.u15	In the meantime, I have also received the final motions. Mrs Mulder has tabled not only two motions but also a point of substance. I have just had the opportunity, during a general consultation, to elaborate on all the points raised by the Chamber. The Chamber knows that I brought forward the evaluation. That evaluation was originally due to take place in 2017, but we started in 2015. We are now fully engaged in completing this evaluation, which could be completed by the end of this year. I will then be able to decide whether there is a more environmentally friendly possibility of dealing with the water from Schoonebeek that is now being brought to Twente to be injected there. I have the opportunity to take this decision at the end of this year. Then I have been working on the evaluation for a period of about one and a half years. The evaluation is about a process of water processing for which licences were issued for an indefinite period by the Deputy State of Overijssel and the then Minister of Economic Affairs in 2010. It is not possible to say that those licences should not be used. It is possible to see whether the choices made at the time would still be made or whether there are better alternatives. I am careful about going through that process and making sure that a responsible decision can be taken by the end of the year. In the motion in part No. 86 asks the government to ensure that new purification techniques, including SaltTech technology, are included. I do not know if it is right for the Chamber to say that the technique of certain companies should be taken into account. At present, all techniques that are conceivable for different alternatives are presented and assessed. This is also expressed in an interim report. Following reactions, the interim report is now put into a final form. The possibilities for purification will also be examined. Both costs and different variants will be examined. I would not recommend to the Chamber that one technique be removed from one company and recorded in a chamber motion. That is why I have tabled the motion in part No. 86 detachment.
ParlaMint-NL_2016-09-15-tweedekamer-10.u16	Suppose I changed it to "like for example from the company SaltTech." Is that a passable path for the Minister? We are concerned that all alternatives are well weighed. In the condition of Royal Haskoning there are a little too many pluses and minuses, without us being able to properly verify on the basis of figures what the pros and cons of certain techniques are. We happen to know that this technique is used in the US in shale gas extraction and that it has also been extensively tested there. That is why I mentioned this as an example.
ParlaMint-NL_2016-09-15-tweedekamer-10.u17	The interim report referred to by Mrs Mulder is a first version, which was produced under the supervision of a committee composed of both municipal and provincial directors in Drenthe and Overijssel. Deltares gave a second opinion on this interim report at my request. Other comments have also been made. They are all being processed to see if there are any other reasons for supplementing or modifying the interim report. I would like to give those who do so the opportunity to do so without certain firms being brought forward by the Chamber for certain techniques. It's been a long time since I was a Member of Parliament, but I wouldn't do that myself. It is up to the Chamber to decide whether it will do so, but my recommendation to the Chamber is not to do so and to let those who are working on the interim report and those who are renowned companies do their job without tax. I'm deceiving the motion in part No. 86. In the motion in part No. 87 Ms Mulder asked the government to suspend the waste water injection in Twente. I cannot do that, and I do not want to do it, because at the time, in 2010, a provincial and national administration issued several authorisations for an indefinite period. The conditions of such authorisation shall be fulfilled according to the State surveillance of the Mines. I have no arguments for saying that this permit cannot be used and that the injection of water should be suspended. It is an economic activity for which a licence has been obtained. A quantity of 70 million barrel oil is extracted and extracted, and a yield is expected in the order of 750 million to 1 billion, which goes to the government for the most part. There are 240 jobs connected, directly and indirectly. Suspension until the end of this year is not reasonable either, because if there is an alternative that is better and more environmentally friendly, it will first have to be fully prepared in implementation. In my opinion, that lasts one and a half to two years. So it doesn't make sense to suspend until the end of the year. I don't want to do that, and that's why I advise against this motion. In the motion in part No. 88) by Mr Smaling c.s. the government is asked to prohibit injection into the subsurface of water that is the residual product of oil and gas extraction in a number of areas. It is very sensible to take into account the extraction of water for drinking water purposes. In this area in Twente the water is extracted at a depth between 40 meters and 60 meters. The injection of the water from Schoonebeek takes place between 1,200 meters and 1,800 meters. This means that, last time, the importance of drinking water production was well taken into account. I will make sure that this is taken into account this time too. I do not think it would be wise to make this statement in advance, because I do not know exactly what is going on with the drilling-free zones, strategic groundwater resources, abstraction areas, groundwater protection areas and water abstraction areas. I think that in such a careful process that takes a total of one and a half years, all these issues get the attention they deserve. The outcome will be involved in the decision-making process which will eventually take place at the end of the year. I'm deceiving the motion in part No. 88. In the motion in part No. 89 the Court of Justice should do what Mr Vos and Mr Bosman and Mrs Van Veldhoven propose and consider it desirable that the NAM should wait until the completion of the evaluations with the resumption of extraction. I have expressed my opinion on this, but this is where a ruling is submitted to the Chamber which relates to the Chamber. It does not suit me to have an opinion on that. I'll leave it to the Chamber to rule on that.
ParlaMint-NL_2016-09-15-tweedekamer-10.u18	Mrs Van Tongeren, you are not the author of this motion.
ParlaMint-NL_2016-09-15-tweedekamer-10.u19	But I have an urgent short question.
ParlaMint-NL_2016-09-15-tweedekamer-10.u20	Very briefly.
ParlaMint-NL_2016-09-15-tweedekamer-10.u21	The motion begins with the consideration that there is no legal basis to stop the wastewater injection. The current Mining Act does indeed offer it. Or is the Minister saying that he could not in any way, in any way, stop these waste water injections? I know he doesn't want to, but isn't it true that a minister in the Netherlands wouldn't be able to, if he wanted to?
ParlaMint-NL_2016-09-15-tweedekamer-10.u22	I didn't answer that non-asked question. The motion before us means that the Chamber should declare that it is desirable for the NAM to wait for the resumption of extraction. I gave my opinion on this during the general consultation. I don't think so. I'm not being asked to make a statement here. Here, too, the cabinet is not asked to take an initiative or do anything, but only the Chamber is asked to give a ruling. I think it is up to the Chamber itself to have an opinion on this. I'm not gonna give you any advice on that.
ParlaMint-NL_2016-09-15-tweedekamer-10.u23	So it's judgment room?
ParlaMint-NL_2016-09-15-tweedekamer-10.u24	That's right, Madam President. Thank you. Then I come to the motion-Van Veldhoven c.s. in piece No. 90. It calls on the Minister to ensure that the administrative guidance group can also make substantive recommendations. I cannot do that because the administrative advisory committee involved in the first version of the interim report decided, on its own initiative, to end its work. That committee doesn't exist anymore, and that's why I can't do what it says. For that reason, I advise against this motion.
ParlaMint-NL_2016-09-15-tweedekamer-10.u25	If I am correct, the Minister in the process, as he explained in the AO, also outlined the involvement of the directors in the final report. Then it would be important for these directors not only to be able to make recommendations about the process, but also about the content. The text of the motion is handwritten, so perhaps not up to the points and commas in line with how the minister saw the trial. If he can interpret the motion that way, can he live with it? Otherwise, I'm gonna have to adjust this one. I mean that drivers should be involved, between now and the final report, and not only in the process, but also in the possibility of making substantive recommendations. Does the Minister share that?
ParlaMint-NL_2016-09-15-tweedekamer-10.u26	I have outlined a very extensive process to the Chamber. I will not summarize it now, because it would take too much time. I have outlined a comprehensive process that takes place between July 2015 and December 2016 in order to reach a responsible decision. There are so many intermediate steps in this and there are so many parties involved that I do not think that further refinement and specialization of the process is desirable. This guidance committee has shut itself down. I will certainly not avoid consultation with drivers in the area in the coming months, but I have agreed with the citizens' initiative in the area that if the interim report is there, we will examine together which alternatives are most suitable to pass on in detail. I intend to keep my end of the bargain.
ParlaMint-NL_2016-09-15-tweedekamer-10.u27	It's really short.
ParlaMint-NL_2016-09-15-tweedekamer-10.u28	Yes, but the Minister now confines the participation to the citizens' initiative, while the directors in the area are, of course, a very important party. The administrative guidance group that was there has shut itself down. Well, that's a fact. Is the Minister prepared to discuss with the directors in the area whether they would like to be involved in the run-up to that final report and, if they want to be substantive, give it the opportunity to do so?
ParlaMint-NL_2016-09-15-tweedekamer-10.u29	There are countless drivers in the area. There was a committee consisting of provincial directors from Overijssel and Drenthe and municipal directors from Overijssel. They have been involved in the process and have said at some point that it has gone as it should. That committee shut itself down. I'm gonna go through with that process. I am grateful for their work, but I also have contact with the citizens' initiative. I made a deal with that, and I'm sticking to it. I will see if further contact is required between now and December with certain drivers in the area. That can be done on my initiative, but it can also be done on their initiative. I do not want to burden the further procedure, which is very extensive and careful. At least that committee doesn't exist anymore. That's why I'm continuing to dissuade this motion.
ParlaMint-NL_2016-09-15-tweedekamer-10.u30	I would like to hold the motion so that I can still point it out. We are going to vote immediately, so that change is no longer possible. That's why I'm holding the motion. This will be put to the vote next week.
ParlaMint-NL_2016-09-15-tweedekamer-10.u31	At the request of Mrs Van Veldhoven, I propose her motion (22849, No. 90). That is what is decided.
ParlaMint-NL_2016-09-15-tweedekamer-10.u32	The Minister continues.
ParlaMint-NL_2016-09-15-tweedekamer-10.u33	In the Van Tongeren motion in part No. 91 is asked not to take irreversible steps. What I'm doing is going through an evaluation process. At some point, I have to draw a conclusion from that evaluation process. That's what I'm gonna do in December. I intend to go through the whole process, which runs from June 2015 to December 2016 and which I have built very carefully, very carefully and to reach a well-founded decision. At the end of that evaluation, I'm just gonna make a decision, because that's my job. I believe that this motion seeks to complicate the matter in one way or another, and I do not think that this is in the interests of a careful handling of the process. That is why I advise against the motion in part No. 91.
ParlaMint-NL_2016-09-15-tweedekamer-10.u34	So, if I understand correctly, the Minister is not prepared to wait until the objection procedures have been completed. If this fails before December, the Minister will simply make his decision and the outcome of the objection proceedings will only come after that.
ParlaMint-NL_2016-09-15-tweedekamer-10.u35	There are time limits for objection procedures. Those deadlines will be settled in accordance with the legal rules. There is also a substantive process and that is my evaluation. It is my responsibility to ensure that this evaluation results in a decision after careful preparation. I am convinced that I have completed this careful preparation in December and can take a responsible decision, and I intend to take that decision. I have already mentioned it in the Chamber: if I were to decide that there is an alternative that is more environmentally friendly than the injection of water in Twente, as is happening now, and that alternative is eligible for implementation, then it may take a period of one and a half to two years. You can keep discussing when there is an irreversible step, but I think that only clouds the issue. Objection procedures must be handled in accordance with the law. I have to handle my evaluation carefully, and I'm going to. The motion in part No. 91, I'm not sure. In the Van Tongeren motion in part No. 92 is asked to map the social revenues and costs of oil extraction in Schoonebeek and to inform the Chamber. I've already informed the Chamber and told them what it's about. I have already mentioned the number of jobs: 240, directly and indirectly. I also talked about the amount of oil, in my opinion 70 million barrel. Its revenue is ultimately largely for the State and, in my opinion, amounts to between EUR 750 million and EUR 1 billion. That's, I think, the relevant information, and I gave it to you. I do not see any other information I should give to the Chamber, so the motion in part No. Ninety-two, I'm not sure. In the motion in part No. 93 by Mrs Van Tongeren is being asked to suspend oil extraction. I do not intend to suspend the extraction of oil and therefore advise against the motion in part No. 93.
ParlaMint-NL_2016-09-15-tweedekamer-10.u36	The government is going to ratify the Paris Convention on Climate Change at EU level. If we want to keep that, we cannot get all the known reserves out of the ground. The Minister says that we will continue to do so, but if it turns out that we do not meet our obligations because of the climate agreement, will the Minister stop oil extraction again? Is it not much more convenient to see in advance whether the extraction of that oil in Schoonebeek fits under the agreements we made in Paris?
ParlaMint-NL_2016-09-15-tweedekamer-10.u37	I'm not gonna go through with it at all. I am working to ensure that the five largest wind farms in the world are built off the coast of the Netherlands. I'm closing down five coal plants. Some are already closed, others will be closed as of 1 January 2017. It's five in total. I am working to ensure that 16% of renewable energy is generated in the Netherlands in the year 2023, rather than the 3% at the beginning of this cabinet period. There is therefore no question of simply continuing.
ParlaMint-NL_2016-09-15-tweedekamer-10.u38	We are going to vote at 4.15 p.m., including the motions that have just been tabled.
