ParlaMint-NL_2016-04-26-tweedekamer-30.u1	At the request of a number of Members, I propose that the following motions be renewed: 32849-59; 32849-60; 34300-XIII-37; 34300-XIII-38; 31936-311; 31936-312; 34199-63; 28345-147; 28345-148; 28345-149; 29984-649; 31409-99; 23432-401; 28973-150; 27858-314. I propose to add to the agenda: VAO Shipping, with Mr Jacobi as the first speaker on behalf of the PvdA; the VAO Integration, with Mr Sjoerdsma speaking on behalf of D66 as the first speaker; VSO Drones (31936, nr. 326), with Mr Elias of the VVD as the first speaker; VAO Staff Defence, with the first speaker, Mr Belhaj, on behalf of D66.
ParlaMint-NL_2016-04-26-tweedekamer-30.u40	Mr. Chairman. We have had the answer to oral questions on Mrs Umar, but that was not enough for my group. I would ask the Chamber to ask for a letter and a factual account of the cabinet's support for this Dutch journalist. How is it supported in Turkey from the Netherlands? I am concerned about everything that is happening in this area so that the Chamber has an insight into the pressure exerted by the Netherlands on Turkey to get Mrs Umar out of prison as soon as possible. I want the facts and the letter to be with the Chamber on Thursday at 12 noon. Then I would also like to ask for a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u41	I support Mr Voordewind's request for such a debate. There will be a second request from Mrs Karabulut shortly. I can imagine that these two debates will be merged. I also support the request for a factual account. Perhaps that is a state of affairs when the facts are not quite finished. We need to see where we're at on Thursday. We all hope, of course, that Mrs Ebru Umar could have left Turkey at that time if she wished. We can't predict that. I support the request for a factual account and a letter. Let us take some time for this in the interests of her cause. I think that Mr Voordewind will agree with me.
ParlaMint-NL_2016-04-26-tweedekamer-30.u42	Support for both requests. As far as I am concerned, this debate can be extended to include the debate requested by Mrs Karabulut. I believe that Mr De Roon also has a debate. Make it one big debate, preferably to hold this week and, if possible, to extend speaking time.
ParlaMint-NL_2016-04-26-tweedekamer-30.u43	There are three debates on the list which are about the same subject. Two by Mr De Roon and one by Mrs Karabulut.
ParlaMint-NL_2016-04-26-tweedekamer-30.u44	Would you also like to take with you the extension of speaking time?
ParlaMint-NL_2016-04-26-tweedekamer-30.u45	I heard you.
ParlaMint-NL_2016-04-26-tweedekamer-30.u46	After the answer to the oral questions by the Minister for Foreign Affairs, many questions remained unanswered, i.e. support for Mr Voordewind's request; support for the letter and support for the debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u47	Of course, the PVV would also very much like to have a debate on the subject on which Mr Voordewind would like to debate. I note that a request from Mrs Karabulut will be made next, and that includes a number of elements that appeal to me more, namely the Prime Minister and planning the debate this week. If Mr Voordewind accepts these elements in his request, I can support him. Otherwise, I would prefer Mrs Karabulut's proposal.
ParlaMint-NL_2016-04-26-tweedekamer-30.u48	I can only agree with the remark that this is, of course, a follow-up to the click-line action. Mrs Umar was then arrested. Tomorrow, no doubt, something else will happen again. The cabinet can say so many times that we should not negotiate with human rights, but then it should not do so by making dirty deals. I would like to invite the Prime Minister to this debate and schedule it as soon as possible, this week.
ParlaMint-NL_2016-04-26-tweedekamer-30.u49	Support for Mr Voordewind's request and its extension as regards the presence of the Prime Minister. I would also like to endorse what Mr Ten Broeke has said in order to get it all straightened out and to include all the things that have been requested before. You can't see all that separately.
ParlaMint-NL_2016-04-26-tweedekamer-30.u50	Support for Mr Voordewind's requests, including the letter. Also support for enlargement with the Prime Minister's presence. Given his involvement, I think that's important. I prefer to see the debate being held this week.
ParlaMint-NL_2016-04-26-tweedekamer-30.u51	We too can support the request. The same applies to the request to hold the debate this week, with the Prime Minister present.
ParlaMint-NL_2016-04-26-tweedekamer-30.u52	Support for Mr Voordewind's request. I also agree with Mr Ten Broeke.
ParlaMint-NL_2016-04-26-tweedekamer-30.u53	I too would like to support the request for a letter and the debate. I imagine we're doing that with some care. I therefore agree with what Mr Ten Broeke said, which was also supported by others.
ParlaMint-NL_2016-04-26-tweedekamer-30.u54	And then I join the Labour Party again.
ParlaMint-NL_2016-04-26-tweedekamer-30.u55	There is a majority in favour of holding a debate on this issue. There is no clarity as to whether it should take place this week. There's a difference of opinion on that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u56	I think it is important for the Chamber to understand exactly what the cabinet is doing. In any event, this report must be sent to the Chamber before 12 noon on Thursday. On that basis, we will have to consider whether this will give rise to a debate. However, I say that care and safety of Mrs Ebru must be paramount. I would like to await the facts, but I note that there is a majority for the debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u57	I counted.
ParlaMint-NL_2016-04-26-tweedekamer-30.u58	Yeah, there's a majority.
ParlaMint-NL_2016-04-26-tweedekamer-30.u59	There is broad support for Mr Voordewind's request, including my comment that we are simply taking the time needed. However, this week we would like to receive that fact story.
ParlaMint-NL_2016-04-26-tweedekamer-30.u60	That is clear and there is a majority for that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u61	It has been said that the Prime Minister should be in the debate. I wholeheartedly support that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u62	There is a majority for a debate. There is also a majority not to do it this week and for a fact-finding report to come to the Chamber. At the same time, I am looking at the debates that are already on the list. I suggest that we combine it with a little more speaking time. Then you must decide by mutual agreement what the order of the speakers is.
ParlaMint-NL_2016-04-26-tweedekamer-30.u63	Last week the issue came up with the action of the consulate, the click line. The Umar issue and the statements of the cabinet are the follow-up to that. Last week, the Chamber broadly supported the debate to discuss these issues with the Minister for Foreign Affairs and Integration. Today, the request for that debate to be extended to include the presence of the Prime Minister in view of the situation that has arisen. I would like to see that broad debate scheduled this week or as soon as possible, with the Prime Minister present.
ParlaMint-NL_2016-04-26-tweedekamer-30.u64	Mr De Roon had previously asked for a debate on freedom of the press.
ParlaMint-NL_2016-04-26-tweedekamer-30.u65	The debate I have requested concerns what I would like to call 'calling lots', but it is not about the same thing that Mr Voordewind is now asking for. I'd like to keep that separate for a while. Furthermore, I fully endorse what Mrs Karabulut has just said; I support that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u66	Good. I would point out that Mrs Karabulut insists on her debate on the list and that Mr Voordewind's request has a majority.
ParlaMint-NL_2016-04-26-tweedekamer-30.u67	I ask for a little movement from Mr Voordewind. If it is right, we are all in the same position here, which is that the cabinet says it does not want to negotiate with human rights, and it is doing so in the meantime. There are a lot of questions about that and if we are not careful there will be a new issue tomorrow.
ParlaMint-NL_2016-04-26-tweedekamer-30.u68	Mrs Karabulut, there is no majority for that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u69	This complexity could be solved if Mr Voordewind were to say: fine, we combine it together and we do so.
ParlaMint-NL_2016-04-26-tweedekamer-30.u70	Maybe it's an idea for you two to discuss that with each other. In any case, it is now clear that Mr Voordewind has a majority in favour of holding a debate and that there must be a factual account prior to that debate. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I give the floor to Mrs Karabulut. Or have you said everything?
ParlaMint-NL_2016-04-26-tweedekamer-30.u71	Mr. Chairman. Maybe one more try. Of course, Mrs Umar's well-being goes first. I am also convinced and confident that the embassy and all people are doing their jobs. This goes a little further than just Mrs. Umar. Last week we had the click line through the Turkish consulate. Then the issue of Umar came to the table. The cabinet denies in all keys that this has something to do with a political deal with Turkey. It has everything to do with that...
ParlaMint-NL_2016-04-26-tweedekamer-30.u72	No, Mrs. Karabulut.
ParlaMint-NL_2016-04-26-tweedekamer-30.u73	... so I would like to call on my colleagues to hold that broad debate as soon as possible, this week. I do not just want to see the issue of Umar on the agenda; the subject is broader. I think that we will do justice to the subject and to what is living in society.
ParlaMint-NL_2016-04-26-tweedekamer-30.u74	A repeat of moves. Last week we warmly supported Mrs Karabulut's request. Today we are doing the same with Mr Voordewind's request. Mrs Karabulut is well aware that care is in the interests of the person concerned. We also asked for a factual account. That's gotta be there this week. A letter should be here this week. However, the debate must take place when it can. We are now bringing together a number of things, and we are doing justice to everyone, and I believe that Mrs Karabulut and her request too. I would therefore like to call for some consistency with Mrs Karabulut.
ParlaMint-NL_2016-04-26-tweedekamer-30.u75	So there's no support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u76	Of course, I support Mrs Karabulut's proposal for a debate. If the letter shows that having a debate on Thursday is going to be dangerous for Mrs Ebru Umar, we can then, at the time, decide on this. As far as I am concerned, the conclusion would be to schedule the debate for Thursday, and if it turns out to be too dangerous, we can decide on Thursday in the course of the work. I think it is very important for Mrs Ebru Umar to come home to the Netherlands this week.
ParlaMint-NL_2016-04-26-tweedekamer-30.u77	That's what you said.
ParlaMint-NL_2016-04-26-tweedekamer-30.u78	Once again, support for the debate, as we said last week. Also support for Mr Voordewind's debate which has just been proposed. In the context of due diligence, we need to consider the question of when we plan it. I don't think it should necessarily be this week.
ParlaMint-NL_2016-04-26-tweedekamer-30.u79	Once again support and schedule this week.
ParlaMint-NL_2016-04-26-tweedekamer-30.u80	I fear that Mrs Karabulut is not going to get a majority, but the Animal Party supports her request to schedule it this week, so on Thursday.
ParlaMint-NL_2016-04-26-tweedekamer-30.u81	So are we.
ParlaMint-NL_2016-04-26-tweedekamer-30.u82	I agree with what Mr Ten Broeke said.
ParlaMint-NL_2016-04-26-tweedekamer-30.u83	Support for Mrs Karabulut.
ParlaMint-NL_2016-04-26-tweedekamer-30.u84	Unfortunately, I have to conclude that it seems that the Prime Minister, who should manage this international development, is being kept out of the wind. Of course, Mrs Umar's safety comes first. We shall see what the result is on Thursday, but I cannot escape the impression that Mr Ten Broeke and others are simply trying to spare the Prime Minister.
ParlaMint-NL_2016-04-26-tweedekamer-30.u85	Thank you. I call Mrs Volp.
ParlaMint-NL_2016-04-26-tweedekamer-30.u86	Mr. Chairman. There's still some noise.
ParlaMint-NL_2016-04-26-tweedekamer-30.u87	Yeah, especially with the VVD, I see.
ParlaMint-NL_2016-04-26-tweedekamer-30.u88	Mr. Chairman. I would like to draw attention to a slightly less intense but also important point. At last weekend's Parool, first aid doctors called the emergency clock about alcohol consumption. Two thirds of patients who report to the E.R. on the weekend of the OLVG are drunk, harass other patients, pee in the living rooms and molest healthcare professionals. In the same Parool it is a few pages further on about blurring. I think it's time for a debate with the U.S. Secretary of State on how to deal with NIX18-plus.
ParlaMint-NL_2016-04-26-tweedekamer-30.u89	I very much support this request for debate. We have also submitted written questions. If the request gets a majority, we would like to see the questions answered before the debate takes place.
ParlaMint-NL_2016-04-26-tweedekamer-30.u90	In view of the plenary agenda and all the debates, I would like to propose to the honourable Member that it be dealt with in the alcohol policy, which we will soon be able to see on the agenda.
ParlaMint-NL_2016-04-26-tweedekamer-30.u91	As far as D66 is concerned, we also include it in the AO Alcohol Policy. However, we would like to see a letter from the Secretary of State.
ParlaMint-NL_2016-04-26-tweedekamer-30.u92	No support. Let those who want an alcohol-free country settle mainly in an Islamic country.
ParlaMint-NL_2016-04-26-tweedekamer-30.u93	There's been a ruling about blurring, selling alcohol in a different kind of store, like a bookstore or a clothing store. It shouldn't be. The committee has now asked the Secretary of State for a response. It seems to me to be extremely appropriate to combine this issue with what the doctors of the emergency services say and to deal with it in general consultation.
ParlaMint-NL_2016-04-26-tweedekamer-30.u94	Support for a letter, but not for a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u95	The Christian Union supports anything that reduces excessive alcohol consumption. I therefore support this request for a debate and I would also like to talk about it in an AO as soon as possible.
ParlaMint-NL_2016-04-26-tweedekamer-30.u96	I agree with the groups that are proposing to deal with this in general consultation. I do support the request for a letter.
ParlaMint-NL_2016-04-26-tweedekamer-30.u97	Mrs Volp, there is no majority in favour of holding a debate, but it is said that it can be dealt with well in general consultation. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Leijten.
ParlaMint-NL_2016-04-26-tweedekamer-30.u98	Mr. Chairman. More than a million people don't have people around them who can help in sickness or accident. There are at least 400,000 80-plussers. So these are 400,000 elderly people who look with their eyes on the baldness in care and support. The same applies to 400,000 people with disabilities. It is unheard of that more than a million people are alone and cannot rely on care and support, and also less and less on the government. That is why I want to have a debate with the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-04-26-tweedekamer-30.u99	I share these concerns and I would also like to know how this 2014 report never reached us. This report came out before we in the Lower House dealt with the great laws, the Wmo and the AWBZ. I therefore support the request for a debate and I would also like to receive a letter from the government explaining why it has remained on the shelf for so long.
ParlaMint-NL_2016-04-26-tweedekamer-30.u100	No support for a debate, but for a letter. I would also like to explain why I do not support the request. In the case of enquiries, the SCP has explicitly indicated that it has not investigated whether or not having a social network is linked to receiving care and support. So we would like to be clear about this first and then look further at what we are doing with it.
ParlaMint-NL_2016-04-26-tweedekamer-30.u101	I've read the messages, too, and I'm worried too. However, I have read something else, namely that 1.1 million people in our country have no one to fall back on when they need support, or at least think they have no one to fall back on. I think that is serious enough, so I would very much like to have a debate on this. I therefore support the request for a debate. I also support Mrs Dijkstra's proposal. It just happened very quickly, but apparently there is confusion about the figures. I would like that to be clarified before we have the debate. I'll support that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u102	Support for the letter. Hopefully that will lead to clarity. After that, I certainly want a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u103	I support the request for a debate on this. I understand that this is a report from the Social and Cultural Planning Bureau of April 2016, which concerns 2014. So I do not think it is appropriate that the report itself was not published earlier because of the cabinet. It is purely a matter that this report has just come out. I therefore support this request, but I do not agree with the addition of the PVV Group.
ParlaMint-NL_2016-04-26-tweedekamer-30.u104	I agree with that last point. It's a report from 2016 about 2014. I do not yet need to plan a debate because at the end of May an AO Wmo is planned. That's after the recess. That is as soon as possible and it is fine to discuss it in that. At least that's the planning I like to follow.
ParlaMint-NL_2016-04-26-tweedekamer-30.u105	I agree with what Mrs Dijkstra and Mr Potters said. Perhaps it is possible to have the cabinet's reaction for that AO. That's pretty soon, in two weeks. Then we can take the subject with us.
ParlaMint-NL_2016-04-26-tweedekamer-30.u106	I do like to support this, because there is really something going on: municipalities are left with money, the number of objections has doubled and this week that CBS report has been published. What I'm struggling with is this. Last week or the week before, we found that there was support for a 30-member debate in response to the message that municipalities are left with money. It would be worth a sweet thing to me, looking at the PvdA and the VVD, to put those debates together and make it a majority debate, that we can move faster. Otherwise, we will have a huge list of 30 Members' debates which may not be on the agenda for another year and a half. I'd say that's a shame. To put pressure on the PvdA and the VVD to agree, this request is now supported by the CDA Group.
ParlaMint-NL_2016-04-26-tweedekamer-30.u107	I agree with Mrs Keijzer's reasoning. I think it would be a good idea to have a broad debate on this. I support this request and hope that this will lead to a nice aggregation of debates.
ParlaMint-NL_2016-04-26-tweedekamer-30.u108	Mrs Leijten, you have no majority in favour of holding a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u109	I would just like to say that I understand very well that the people who do not have a network do not all receive care. But what happens if they break a hip? Can they be discharged from the hospital? No. Then there is no one to look after them. The government is also doing less and less. I understand very well that the parties responsible do not want to have a debate on this. I'm so sorry. I wonder if the reaction can be for the debate suggested by the spokesman of the Labour Party. I hope so, because then we can get them involved. If that reaction isn't there, I'm just standing here again.
ParlaMint-NL_2016-04-26-tweedekamer-30.u110	That's my boy! I propose that the stenogram of this part of the meeting be transferred to the cabinet. You have another request, Mrs Leijten.
ParlaMint-NL_2016-04-26-tweedekamer-30.u111	Mr. Chairman. It's kind of a weird sequel, though. We were just talking about people who are lonely and have less and less access to professional care. At the same time, we're talking day in and day out about bankruptcy in health care. We decided in the Chamber that we would have a majority debate on TSN Home Care. Yesterday, the final bankruptcy was declared. 40% of the staff have lost their jobs. There's going to be a bankruptcy of Diafaan right now. I know that the Chamber's agenda is full, but I would like to ask for this debate to take place after the recess.
ParlaMint-NL_2016-04-26-tweedekamer-30.u112	I see here that this debate is number 52 on the list.
ParlaMint-NL_2016-04-26-tweedekamer-30.u113	I would like to support this request.
ParlaMint-NL_2016-04-26-tweedekamer-30.u114	D66 also supports this request.
ParlaMint-NL_2016-04-26-tweedekamer-30.u115	It's time we discussed it. Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u116	It's very necessary. Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u117	Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u118	GroenLinks also supports this.
ParlaMint-NL_2016-04-26-tweedekamer-30.u119	Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u120	Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u121	Then we're gonna take that into account. You guys can do it. Come on. Come on. Come on. I know. I call Mrs Van Tongeren on behalf of GroenLinks.
ParlaMint-NL_2016-04-26-tweedekamer-30.u122	Mr. Chairman. The negative developments concerning the old and unsafe nuclear power stations in Belgium do not stop. Now the Luxembourg Government has also said that it wants Belgium to close these dangerous nuclear power stations. The only country that has not yet made that call is the Netherlands. In the short term, I would like to discuss this with the Minister for Economic Affairs and/or the Cabinet, who will be responsible for security, Minister Schultz. The debate is already on the list, but every week, the incidents are piling up. On behalf of the CDA, I should like to say that this group supports a rapid debate on this issue.
ParlaMint-NL_2016-04-26-tweedekamer-30.u123	As a collective memory of the committee, I now feel part of the policy worker of GroenLinks.
ParlaMint-NL_2016-04-26-tweedekamer-30.u124	You're welcome.
ParlaMint-NL_2016-04-26-tweedekamer-30.u125	Mrs Van Tongeren has already added three points to the debate on incidents at Belgian nuclear power stations. However, it agreed by e-mail to remove this debate from the list and to deal with all this in the general consultation scheduled for five working days, on 24 May. Now Mrs Van Tongeren is adding another debate. I'd say do all that in that AO as soon as possible. We have also increased this by one hour's extra speaking time for a reason. I think that's where it comes in first.
ParlaMint-NL_2016-04-26-tweedekamer-30.u126	So no support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u127	Not because we are talking about old nuclear power stations, but because we are talking about dangerous nuclear power stations, please support it.
ParlaMint-NL_2016-04-26-tweedekamer-30.u128	The Christian Union also supports the debate. We've done that before. I would also like to schedule it quickly, but if the AO is earlier it should be discussed. Yesterday there was a new report in the media about the questionable independence of the Belgian regulator. That was questioned. I would like to get a response from the cabinet so that we can still involve it in the debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u129	In fact, that minute is not enough to deal with all the incidents of the last few months. I therefore support Mrs Van Tongeren's request and I also support the request for a letter from the cabinet on this matter. Quick debate on this, so support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u130	Mr. Chairman. Also D66's support for a quick debate. If that AO really is much sooner, then it must be done there.
ParlaMint-NL_2016-04-26-tweedekamer-30.u131	Because the AO will certainly be sooner, no support for this debate. Just discussing in the AO.
ParlaMint-NL_2016-04-26-tweedekamer-30.u132	However, I would like to express my support for this point once again. If, however, the AO is earlier, and it looks like that, then we are going to talk about this issue first as far as my group is concerned.
ParlaMint-NL_2016-04-26-tweedekamer-30.u133	Support, but the suggestion of the VVD followed by a number of spokesmen to discuss it in the AO does make sense. Mrs Dik's request for a letter also makes sense. So I would like to support that.
ParlaMint-NL_2016-04-26-tweedekamer-30.u134	Mrs Van Tongeren, there was already a debate...
ParlaMint-NL_2016-04-26-tweedekamer-30.u135	Yeah, there was already a debate and I can't get it settled sooner. So I count my buttons and wait for the AO. I hope there will be no further serious incidents in the meantime.
ParlaMint-NL_2016-04-26-tweedekamer-30.u136	A letter has also been requested. I therefore propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Bashir.
ParlaMint-NL_2016-04-26-tweedekamer-30.u137	Mr. Chairman. One in seven people who are entitled to allowances do not ask them because they simply do not know that they are entitled to them. It is often about amounts of up to €1,000 that people are entitled to but that they leave behind. That's very remarkable, because the IRS has all the data. So after completing the tax return, the Tax Administration could simply point out that someone may still be entitled to health care allowance, child-related budget or perhaps rent allowance. I would like to speak to the Secretary of State for Finance, preferably as soon as possible. As far as I am concerned, this could take the form of a 30-member debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u138	Oh, you're already assuming there's no majority. We're gonna count.
ParlaMint-NL_2016-04-26-tweedekamer-30.u139	As you know, I would have liked to ask oral questions on this. We will certainly ask written questions about it, but I support the request.
ParlaMint-NL_2016-04-26-tweedekamer-30.u140	We support the proposal for a debate, perhaps preceded by a letter so that we have the cabinet's position.
