ParlaMint-NL_2016-06-15-tweedekamer-10.u1	I welcome the Minister of Security and Justice. I call Mr Pechtold on behalf of D66.
ParlaMint-NL_2016-06-15-tweedekamer-10.u12	The VVD colleague talks about investing, but in the Spring paper, the VVD's signature is mainly below investing in additional expenses for the foreign chain, for asylum seekers. If you add up everything, from V and J to OCW, the cost of care and social affairs, does Mr Van Oosten have any idea what the changes are to the Spring Note compared to the Millions Note? How much does he think is added to the Spring note with the signature of the VVD for what is called the "foreign chain" with a beautiful word?
ParlaMint-NL_2016-06-15-tweedekamer-10.u13	I'm not in a quiz here, and I'm not gonna be a part of it. However, I am well aware that there is a great deal of money going on and on in that chain of foreigners. That is the responsibility that the VVD takes as a government party. Why? Because the strangers are here. We all have plans to organize things differently, but they're here, and then you have a responsibility to take responsibility for that. That's what the VVD stands for.
ParlaMint-NL_2016-06-15-tweedekamer-10.u14	So the colleague of the VVD has no idea. He has no idea what his party signed up for. Can I ask you one more time? It's not a quiz; it's just that people at home want to know if he knows what it's about. The 2016 Millions Note was based on 26,000 asylum seekers and estimated at 1.2 billion for 2016. How much do you think was added to the Spring Note, Mr Van Oosten?
ParlaMint-NL_2016-06-15-tweedekamer-10.u15	You know, Mr President, I am not going to lower myself here to mention all kinds of amounts, because do you know what will happen next? Then the numbers dive all over us. What do people at home understand about that? They only want one thing, don't they? They want the conviction, from me as a Member of Parliament, and certainly from you, Mr Wilders, that we are committed to this security and that we are therefore also addressing the problem of the unprecedented flow of migration. I am not going to pick up on what my colleague Azmani has proposed, but that is what this is all about at the end of the day. But if people are here, it's gonna cost. Nor can I make that better; that is to bear responsibility.
ParlaMint-NL_2016-06-15-tweedekamer-10.u16	So the colleague of the VVD knows nothing about beating or blowing. What these figures show is that the VVD is indeed no longer fighting for safety in the Netherlands. One piece of shit: $49 million extra for the police. I will not list all the amounts, Madam President, which would cost me an entire evening, but can I indicate what extra budget has been made for the foreign chain with the signature of the VVD in the Spring paper? On top of that 1.2 billion, the Spring note with the signature of the VVD added another 1.8 billion for everything related to foreigners. IND: 40 million. CAO: 700 million. Assistance for asylum influx: nearly 100 million. And I can go on like this for a while. In other words, the VVD anno today considers billions for asylum influx far more important than security in the Netherlands. So far you have been weakened, Mr van Oosten. I hope a lot of people are listening tonight.
ParlaMint-NL_2016-06-15-tweedekamer-10.u17	There are undoubtedly a lot of people listening, but I assume that these people understand that as long as people are in this country, we have responsibility for that, even though we would like it all to be organized differently. It is a pity that Mr Wilders avoids that responsibility again. I just said the VVD is investing in security. Sometimes it's a very hard fight to invest, because you have to find where to find the money for it. In any case, we are investing, and we are also providing the powers. I will come back to that very briefly, but that is what it is all about. You need to offer a perspective on the new crime and the new crime that is coming towards us. I've been working on that every day, that's my drive and the reason I went into politics.
ParlaMint-NL_2016-06-15-tweedekamer-10.u18	Mr Van Oosten says that he is fighting for security and that he wants to invest in it. He felt that steps should be taken forward, but then he screened a newspaper article about which we were very difficult to debate here. If Mr Van Oosten does not mind, I would prefer to go back to the facts and to what is ahead: the Spring Paper. Is it acceptable to the VVD Group that instead of taking steps forward, we should take steps backwards?
ParlaMint-NL_2016-06-15-tweedekamer-10.u19	I dispute that steps are being taken backwards, because that is not the issue. Investment is being made in security, and powers are being created in this area. I shall come back to this later, because I think that some groups really do not have their responsibilities in this respect. For example, investments are being made so that the investigation authorities can get back to work. I cannot formally confirm anything, but I do recognise the full intention of my own group. I do not know better than that the Minister is fighting for this security too, and I am confident that he will do his utmost to ensure that this is also achieved in the Millions Note, amidst all the other challenges that this country faces.
ParlaMint-NL_2016-06-15-tweedekamer-10.u20	Mr Van Oosten speaks in raging phrases about fighting, safety and investment. But the fact is that the foremen of the police, of the Public Prosecutor's Office and of justice say that if nothing happens now, they're going to have to send people home. Do they speak the truth? Are they giving an honest image or giving a false image?
ParlaMint-NL_2016-06-15-tweedekamer-10.u21	If I am not mistaken, Mr Segers himself has asked the Minister this question, and the cabinet will reply to it later. I did not get the indication given by Mr Segers. I do not dispute that these three organisations will, of course, have to do their best to spend the money as well as possible, but I think we should expect them to do so. In an organisation like the police, EUR 5 billion are involved and there are around 60,000 agents working. Of course, you will then have a discussion about what to spend the money on and how to do it. In an organisation with EUR 5 billion, we must also be able to ensure that the basic care of the police is not neglected. The VVD doesn't accept that; we really don't.
ParlaMint-NL_2016-06-15-tweedekamer-10.u22	That promise, "we don't," I've heard before. I have heard before that there would be investment in safety and that there would be no deterioration. We heard that promise in November and then we agreed to it. That promise turned out to be worth very little, because people will be sent home soon. That is what the top people of the three organizations I have just mentioned say, and that is the picture that is being sketched out. Are they lying or telling the truth? That question will have to be answered by the VVD Group. The question before us, however, is: is the promise made by the VVD at the time and which it is doing again worth something?
ParlaMint-NL_2016-06-15-tweedekamer-10.u23	Mr Segers has put a lot of questions in his contribution. He asks me if the top people of the various organizations are lying, but he has to ask them himself. I only note that there is a lot of money going there and that, if that is not enough or if there is a shortage, the VVD will stand for it. However, I am also curious about the Minister's answers to the direct question about the number of redundancies. In any case, the VVD stands for the word it is now giving and that it gave last year. The VVD invests in safety if it has to and if it needs to, because that's what it stands for. The VVD won't let it happen that basic police care in this country is out of order. We won't let that happen.
ParlaMint-NL_2016-06-15-tweedekamer-10.u24	The VVD does not stand for safety at all and the word of the VVD is not worth anything at all on this point either. What happened? The VVD voted in favour of the motions in which the government was asked to make additional money available in the Spring Note when considering the 2016 budget, i.e. at the end of 2015. I refer to the Kooiman motion on the police, the Pechtold motion on the prosecution and the Oskam motion on justice. The VVD voted for it. I assume she has done so knowingly and not in a fit of insanity. Then we cannot accept that the cabinet should simply ignore these motions. You cannot accept that, Mr Van Oosten, can you?
ParlaMint-NL_2016-06-15-tweedekamer-10.u25	I simply note that this cabinet has invested three times more money in security and justice. If you want some of the credits, be my guest. It's about security. I don't care who the winner of that is, as long as it happens. In addition, I want to create further perspective. That's why I'm referring to those newspaper articles last Monday. I want to make sure that we have sufficient resources to fight the new threats that are coming to us, and I hope that I will have the opportunity to talk about them in a moment. That's what the VVD's doing. Invest? Yes, but also provide powers. We just make sure that the police, the Public Prosecutor's Office, the judges and the prison system can get started every day.
ParlaMint-NL_2016-06-15-tweedekamer-10.u26	I think this is a little too important to turn this into a campaign game, as if the opposition were trying to get this into her name. Mr Van Oosten is from the party that announced through the press last Monday that 300 million might be available, but that is not what we are saying here. We officially don't know anything yet. That debate will come later. This is about this year. We're not crazy! This is about 2016. This year, people are going out at the state's attorney's office, at the NFI and at the police. Let us become an AIVD scenario, regretting the capital destruction that we have committed, as several spokesmen have already said? Or do we stop it? That question is before us today. The VVD can answer that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u27	Mr Van Nispen makes it appear as if the police are being fired, as if prosecutors were being pulled away. I don't have that indication at all. Mr Segers has just asked questions about this. So let us hear what the Minister is going to say about this.
ParlaMint-NL_2016-06-15-tweedekamer-10.u28	The police are heading for bankruptcy. We gotta get 2,000 cops out of here. We've been talking about the NFI all afternoon. Mr Van Oosten also knows the tables. We've got to get dozens of people out. The Minister even replied. Mr Van Oosten knows that, but he acts like nothing is wrong. I think that's incredible. Under the responsibility of the VVD, more than 100 million savings have been made on the Public Prosecutor's Office, but Mr Van Oosten still dares to claim that the VVD stands for security. I think that's incredible.
ParlaMint-NL_2016-06-15-tweedekamer-10.u29	I can say anything about this, but I should like to confine myself to one theme: the NFI. We have had a debate on this this afternoon. Mr Van Nispen should not put me in the mouth that the debate had the direction he saw from his perspective. I spoke on behalf of the VVD about maintaining the quality of forensic care. I don't care if the NFI does or doesn't. It's not about protecting some government organization. It is my duty to ensure that this care is delivered in full and to the fullest extent possible. That's what we talked about. The Minister has taken us on board in the matters to be dealt with in the coming years.
ParlaMint-NL_2016-06-15-tweedekamer-10.u30	I am surprised that Mr Van Oosten says all this. It is so very different from what I hear! I just said that in my input. I think it is also very different from everything that colleagues have heard. If Mr Van Oosten has spoken to the people of the field, he must have heard other things than what he is saying here. He says there'll be no layoffs. That's right, because they do it with natural course, but the occupation is getting smaller. When the new chief of police arrived, he said on the first day, on the basis of an external report, that it would take EUR 300 million for the police alone to stay strong at all. Did Mr Van Oosten hear that? What has he done since then to verify that? Does he share the Chief Constable's view?
ParlaMint-NL_2016-06-15-tweedekamer-10.u31	I'm repeating myself a little bit. I have tried to say that I am so incredibly pleased with the reports in the newspapers last Monday, because I recognize the full intention from which my group chairman, myself and my group colleagues speak. My group chairman has always said: you can count on the VVD, we stand for it, so we stand for that police officer and we ensure that we are committed to the highest level of security in this country, and we do so with the help of and thanks to all those thousands of police officers. Mr Van Haersma Buma himself states that there has been no dismissal. I find it silly that there are Members of Parliament who keep saying that they are fired from the police, and I do not think it is chic to have a discussion with each other in this way.
ParlaMint-NL_2016-06-15-tweedekamer-10.u32	The question is what Mr Van Oosten is doing for security. There's 2,000 cops going out; that's right. If nothing happens, there'll be less than 2,000 cops. They may not be fired, but they are no longer there, and that has nothing to do with safety. Mr Van Oosten bypasses the answer to my question, so I will try again and not again, because if Mr Van Oosten does not want to answer that is his choice. Does Mr Van Oosten share what the Chief Constable said, namely that EUR 300 million is needed for the police alone, not for the whole chain, to stay on strength at all? Does he share that view, yes or no?
ParlaMint-NL_2016-06-15-tweedekamer-10.u33	I share the view that the police must remain strong, but I also say something about it. I also think that the police themselves should get to work. Mr Pechtold just indicated that absenteeism is 7%. This will have all kinds of causes, but it is far above the national average. I do not think it is wrong at all for me or my colleague to call on the police organisation to do so, because there is also a profit in this.
ParlaMint-NL_2016-06-15-tweedekamer-10.u34	I remember the campaign very well. "Strike for those who deserve punishment," "More punishment and less understanding for criminals" and "That was my favorite "We pay us blue." We want to see more of that on the street." With this, the VVD went into the Netherlands and thus, in addition to the promise of €1,000 and "no money for the Greeks," she seduced the voter. Now, after five, six years of VVD policy, we see a big mess. The independent Court of Auditors says that this ministry is not in control of the finances. What does that say to the VVD spokesperson?
ParlaMint-NL_2016-06-15-tweedekamer-10.u35	If you had followed me a little bit, you would have known that I have always been extremely critical of this towards the Cabinet and the Minister for Security and Justice. Further on, I would like to ask the Minister about a very important point of the Court of Auditors, namely whether he is really working on streamlining the police force. There's an inefficiency and a weird double in there, and that's just not good. I've also been constantly calling for the Director FEZ to be in control. Of course, it needs to be firmer, it needs to be better. But Mr Pechtold also knows, and with that I finish my reply, that there has been quite a lot of work done by the Minister and his Secretary of State, precisely in order to achieve full control of the Ministry. Is it finished tomorrow? No, but it's gonna work.
