ParlaMint-NL_2016-09-27-tweedekamer-26.u1	I see that Mrs Van Toorenburg wishes to speak. Go ahead.
ParlaMint-NL_2016-09-27-tweedekamer-26.u20	Mr. Chairman. In the second period, we will draw conclusions. I can draw conclusions about this bill quite quickly. I thought the proposal was good in the first period and that has not changed over time. I think it could be a lot more efficient with the CJIB than with the D.A.'s office, I'll also say to the spokeswoman of D66. I've had that experience myself, back when I was working with the D.A.'s office. The district attorney's office is in the middle of arraignment, bringing cases to court, and so on. The things that don't affect that very primary process are always a bit more difficult to organize, whether it's the execution of punishments or supervision of the BOPZ. That's tricky. I have already had discussions about this in the Chamber in other circumstances. Should we let the D.A. keep those duties? This will be reflected in the debate on who is actually leading confused people. Is that the ggz or the D.A.? The cabinet proposal is going to be that the state's attorney's office is in charge. I myself think that the ggz should be leading, because the D.A. always has a different priority. The D.A. wants to handle homicide properly and expeditiously. The issues we are talking about now come second. That is why I think: it is very good to place those practical things with an organisation that is also equipped for that and that has a good track record. I also believe that important decisions should not get any closer to this minister, such as Volkert van der G.'s conditions, executions of failed community service and so on. But that is not what is happening with this law. There is another point that is very close to my heart. I've been working in or at justice for, like, 25 years now. The first few years of that, I worked at the parole board. There I was in charge of the execution of community service. Two things have kept me incredibly well. The first is relative insecurity. I went to work in court later. There were proper security guards. If you hit a button there, someone came running. I felt very safe there. But it wasn't at parole. You were on your own. I haven't been threatened so much anywhere, and beyond that organization. We've been 25 years. I think it is very good that we are once again paying attention to this. I therefore urge the Minister to support this further. The people who actually do this work must be able to be really safe during their work. There must be sufficient attention and sufficient resources for this. I'm on the second case. Sometimes I thought as a probation worker: this community service is done because the person who has to do community service just doesn't want to do it and throws his hat at it. The parole is pretty business, but we really gave the people there chances. At some point, however, it's run out. Then send it in. Then you say: will you apply the stick behind the door, so just give a prison sentence, or else you'll make a joke of community service. It was a great frustration to me if that didn't happen. It didn't happen because deadlines expired. I've even seen a judge say, "Yeah, it's Friday afternoon and you have such beautiful blue eyes, so come on, just one more chance. That's what he literally said. This happened 25 years ago, but I still feel the frustration of that time. Now we are not going to talk about what judges say, but it is important that you carry out community service consistently. That means if it doesn't go well, if the carrot doesn't get caught, the stick will follow. The community service is a major punishment, but it is still a root. If the stick is not used after the root if necessary, you take out the foundation under community service. The letter that followed on the news in the AD that the community service is not properly performed gives confidence in the sense that it is at least less bad. That is good, but I would also like to join all the other speakers who say: beware, this must be given a high priority. I think it's a very important decision. I don't want to lose it because the organization isn't optimal.
ParlaMint-NL_2016-09-27-tweedekamer-26.u21	I hear this second cri du coeur from my colleague about community service sentences that are not being carried out and should therefore be converted into ordinary custodial sentences. In many cases, that is also immediately decided by the judge. Does Mr Recourt agree with me that the D.A. has the very important task of following this up, and that that would be a reason for leaving this responsibility to the D.A. for the rest as well? After all, the prosecution holds that responsibility in that regard. Shouldn't you leave the rest there?
ParlaMint-NL_2016-09-27-tweedekamer-26.u22	No. Once again, the execution of the failed community service and of the prison sentence remains a judge's decision and therefore an action by the prosecution, but the entire administration behind it was precisely my cri du coeur................................................................................................................................................................................... You can organize that much better with an organisation that has the sole aim of organising these kinds of processes tightly. I have great confidence that this will be better and more efficient than the current OM organisation. That's a very good job. I'm not gonna compromise that, but this isn't close to the D.A.'s heart. After the heart lies solving cases, conducting investigations and bringing cases to justice.
ParlaMint-NL_2016-09-27-tweedekamer-26.u23	Does Mr Recourt see that in future the decision on a possible change of conditions, community service or transposition will also go to the administrative executive body? Then why would the D.A. still pay attention to that?
ParlaMint-NL_2016-09-27-tweedekamer-26.u24	It's up to the judge to make those decisions. I absolutely do not want to place a judicial decision with an enforcement organisation. I do not think it is a problem that the administrative process should come to an implementation organisation. As far as I am concerned, this does not affect these fundamental, almost constitutional questions. It's just a matter of who takes care of the paper.
ParlaMint-NL_2016-09-27-tweedekamer-26.u25	I guess I wasn't clear. The point is that an initiative by the Public Prosecutor is needed in many areas and that the Public Prosecutor will no longer do so if it does not have an interest in the implementation.
ParlaMint-NL_2016-09-27-tweedekamer-26.u26	At least now it's still necessary for the D.A. to bring cases to the judge. That does not change with this law, I say with some reservations. So that remains a critical point in my own reasoning, but at least what we are going to do is better than what we are doing now.
ParlaMint-NL_2016-09-27-tweedekamer-26.u27	Were you starting your rounding or were you done?
ParlaMint-NL_2016-09-27-tweedekamer-26.u28	In fact, I've already finished the rounding.
ParlaMint-NL_2016-09-27-tweedekamer-26.u29	Mr. Chairman. The second-term legislative proposal we are discussing today aims to review the enforcement of criminal decisions, more specifically: to speed up implementation, to promote effective implementation and to inform all relevant partners. There can be hardly anyone against that, for punishment must be carried out. Then, of course, it will also help if they are applied more quickly if they have been condemned. Unfortunately, it has recently become painfully clear that this does not happen all the time or even very often. There are still a lot of prison sentences out there. According to the AD, no less than 25% of the public service obligations were imposed in 2015. According to the cabinet, as we read in the letter we have just received, it is 7%. That's 7% too much. It is also said that 93% is carried out in 24 months. That's two years. 240 community service is the maximum. That's to replace six months in prison. If you convert that, it's really not a 40-hour week. So a community service, my group says that very often.... is not a punishment at all. That is supported by the Ministry itself, because it has had this investigated in the past. A report has been produced with the beautiful title: experience of the community service among young people. It says literally that many young people don't think community service is so crazy. I can imagine, hearing what I just said. The media have shown that community service can also be paid off. My group has been concerned about this in the past and is still concerned about it. I conclude that community service is not a punishment at all. I say this as a second-term trip on the topical and urgent subjects we would like to deal with today. I will return to what I said in the first term about this bill. I said that my group is not convinced that the changes proposed in the legislative proposal are going to change the speeding up and effective implementation of the penalties. The minister didn't really convince us. My group does not agree with a number of points that remain. Firstly, the point that the fine can be pardoned less than €340, i.e. remission. The Minister says that this is already happening in practice. That's absolutely true, but even stronger, it happens even in the case of multiple victims, also called "rotary door criminals." The minister says you shouldn't interfere with a care pathway or reintegration path. A convict has to learn from the conviction, from the fine I have to say, and he shouldn't fall into criminal behavior in the face of a setback. You learn from paying the fine, whether or not in instalments. My group believes that fines should be paid; they have not been imposed for nothing. A second point with which my group does not agree is to lay down legally that the probation should in all cases begin to advise on the conditions to be laid down. I have mentioned examples to support my group's position. I have also tabled an amendment on this. The Minister said in the first term that he did not recommend this amendment because he was satisfied with the probation. He also said that this is already happening in practice. This is not really convincing and the amendment remains. In the first term, I also spoke of an obligation to appear at the sitting. The Minister may think I'm repeating myself, and that's true. I will continue to do so to the fullest, for those sentenced to prison will not report to the prison gate. Unfortunately, this still appears to be the case. If you continue to believe that, my group will find that naive. I shall table the next motion in that regard. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the draft law does not impose an obligation on the defendant to appear;]] [[Considers that when the defendant is present at the courtroom where the sentence is pronounced, the defendant can be immediately sent to prison after sentenced to prison, thus making it impossible to escape from prison;]] [[calls on the Government to include an appearance at the hearing in the Code of Criminal Procedure for suspects of serious violence and sexual offences,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-30]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u30	I have another point of criticism. We heard the Minister speak more often about this as a Member of Parliament than as a Minister. I'm referring to the terms of the parole. My group believes that in the event of a violation of the conditions, a convicted person should serve the entire remainder of the sentence. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that if convicted persons violate the conditions imposed on them under conditional release, they should not always automatically serve the remaining prison sentence as a whole, but as a general rule only part of it or nothing at all;]] [[Whereas convicted persons will continue to violate the conditions imposed on them as long as there are no or insufficient consequences;]] [[considers that any violation of the conditions of conditional release should always be subject to consequences regardless of the possible consequences of an infringement, as the conditional release would otherwise be undermined;]] [[calls on the Government to provide for the law that the Public Prosecutor always withdraws the conditional release if a convicted person violates the conditions imposed on him;]] [[calls on the Government also to provide, by law, that where a court has ruled that conditions have been infringed, the person concerned must serve the entire remainder of the previous prison sentence,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-31]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u31	I have a question about Mrs Helder's first motion. Isn't the order to bring Mrs. Helder in sufficient?
ParlaMint-NL_2016-09-27-tweedekamer-26.u32	If that were always to be issued, it would be a different story, but unfortunately that is not the case.
ParlaMint-NL_2016-09-27-tweedekamer-26.u33	Am I to understand that you want to make it a duty?
ParlaMint-NL_2016-09-27-tweedekamer-26.u34	Yeah, absolutely.
ParlaMint-NL_2016-09-27-tweedekamer-26.u35	Were you at the end of your speech?
ParlaMint-NL_2016-09-27-tweedekamer-26.u36	Not yet, but I'm at the end. Mr. Chairman. Finally, the Minister's reaction to two amendments, namely those relating to item Nos. 11 and 13 from the colleague of the SGP. I have co-signed these amendments. In the first term, I indicated that my group will only be able to decide after the Minister's response whether she can agree to the legislative proposal. This is particularly true of the response to the amendments mentioned. The amendment in part No. 11 was dissuaded in the first term, but also by letter, which was sent to support it. In that case, the Minister states that someone returns to society "cold." I do not agree with that, because in prison there is also work on reintegration, as is even laid down by law in Article 2 of the Penitentiary Principles Act. It is unacceptable for my group. If the amendment to item No. It is very likely that my group will vote against the proposal.
ParlaMint-NL_2016-09-27-tweedekamer-26.u37	Mr. Chairman. It's been a long time since we talked about this bill. I looked it up: it was December 8th. I replaced my colleague Van Nispen because he became a father that night. I hear the Minister say "Tobias" from section K. That's right. The Minister has immortalized his name very nicely in the Acts, for which thanks. The way he did, there might still be something to notice. It was something with tomato juice, but it was nice that at least attention was paid to it. Because it was such a time ago, I had to dig for a while to remember what the debate was about. When I read everything again, including the letters we have received from the Secretary of State, for example in response to the Ombudsman's reports, questions are still open. I'd like to review that one again. In the first term, we discussed the shift of responsibility for the implementation of the Public Prosecutor's Office to the Minister. We have talked about the concerns of many bodies in the field, those of the SP and those of colleagues about the shift in those responsibilities. There are a number of risks involved. What concerns everyone most is that you make the enforcement of criminal decisions more political. Can the Minister say again exactly how he sees this and how this can be prevented? Why is the advice of the judge or the Public Prosecutor's Office not binding in this regard? That is what the Minister could have chosen. The SP would've thought that was a little cleaner. Why didn't he? The implementing authority to which it comes is the CJIB. You might wonder how we're going to do that ICT-technically. ICT combined with government does not always have a good name. Look at the change at the Tax Office, which was charged at once with the payment of the care and rent allowance. That's where it's had quite a few feet in the earth. I'm worried about that sometimes. Can the Minister take care of those concerns? In the first term, I spoke extensively about the Mulder Fines Act, the traffic fines. It was mainly about taking hostages, so picking up people and locking them up in prison when they don't pay their traffic ticket. The SP has always believed that there is a difference between the people who do not want to pay, but that they can do so. For them, hostage-taking is indeed an absolute possibility to pay the fine and people who do not want to pay. That's a lot of them. The aim of hostages must be to ensure that people do not make another mistake in traffic and learn from it so quickly. This law offers room for a payment arrangement and more customization. The SP likes that very much. We hope that more people will pay the fines and that it will not come to the point of putting people in prison. We have put forward a number of points in the first period to further improve the situation. The SP advocates also looking at replacement detention under Wet Mulderboets, which means that the fine will expire if you have been in prison. I'll explain exactly what I mean. In his first term, the Minister indicated that he had to deal with a number of matters that were truly foreign to him. Most of the time, this minister has been well introduced, but on this issue I can confirm that the minister was a little foreign to the world. As the Minister knows, I've investigated police officers before for those traffic fines. It is not unknown that agents find these fines far too high and that they therefore make much more use of their discretionary powers and therefore do not issue fines. However, they also indicated something else. A cop said it strikingly: "It's better to tear down a flash pole than to get flashed by it." Why did he say that? Firstly, because the penalties in criminal law are often lower than, for example, a traffic fine, and secondly, because the penalty for destruction is due if you do not pay it and go to prison. That is not the case with a traffic ticket through the Wet Mulder: if you are then in prison and are held hostage, your fine will not expire. In fact, if you get out of prison, you're gonna get another raise. That makes this a kind of vicious circle sometimes. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that hostage-taking under the Mulder Act is a means of coercion and not a substitute detention as in criminal law, which means that the fine remains in place despite the hostage situation;]] [[believes that this could lead to people who want to pay their fine but cannot pay it (further) getting into financial difficulties;]] [[calls on the Government to consider how it can be possible for a judge, when approving a hostage request, to also determine that this hostage situation is to be considered as a replacement detention,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-33]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u38	I am sympathetic to the idea, but I doubt whether it will turn the right button. The idea is that you only take people hostage who can pay but do not want to pay. The SP, the PvdA and the Ombudsman have fought hard for this. In short: if that works, there are no people who have to serve a fine at all. They can simply pay the fine, but they do not want it. You shouldn't take the other people hostage at all. So can't we push on that side much harder than we are now going down this road? The danger of this road is that people who can pay the fine will not pay.
ParlaMint-NL_2016-09-27-tweedekamer-26.u39	I partly agree with my colleague. I will come up with proposals that my colleague may be able to support, but I think there are uneven cases. I find these situations really uneven: in criminal law, the fine does lapse, but when applying the Law Mulder does not. There are judges who would argue for this to be levelled. I say at least investigate it. How you solve that or align it nicely may be a matter of implementation by the Minister, but I would certainly like to see this investigated, because I think the situation is really unfair now. After all, there's a big difference. In the first term, I said that many payment arrangements are rejected because the limit of €225 is too high and too rigid. The National Ombudsman also points out this problem in his investigation of payment problems in the case of traffic fines. The Ombudsman, like the Minister in his first term, indicates that a payment system is possible if the penalty behaviour has increased to €225. The SP wants to get ahead of that moment. Let's face it: for a MP, even from the SP, a fine of €225 is possible to pay, but for a single mother in welfare this is just a quarter of her monthly income. Well, that's another case. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a payment scheme is offered by default only in the case of traffic fines of at least €225;]] [[whereas a payment scheme for traffic fines below €225 can only be made if strict conditions are met;]] [[believes that it is important to prevent people under a certain income from getting into debt if they are unable to pay a traffic fine because of their small wallet;]] [[calls on the Government to ensure that those who wish to but cannot pay can also make a payment arrangement for fines below €225 if they are covered by the standards applicable to the assistance,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kooiman and Mr Recourt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-34]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u40	I had to deal with these two points in detail because there was also an inquiry from the Ombudsman and the Minister responded extensively to them and then came up with adjustments. I would also like to mention very briefly the community service which my colleagues have already spoken about. I find it rather odd that there is so much difference between the Minister's letter and the notice from the Public Prosecutor's Office and the general newspaper's report. The Public Prosecutor's Office and the Minister say 93% of community service sentences are carried out successfully and 7% are not, but there are all kinds of reasons for that. The Algemeen Dagblad reports that a quarter of all community service sentences are not carried out adequately. I find that difficult. The Minister said in his reply, and Mrs Van Toorenburg of the CDA also said it strikingly, that a lot of time goes by before community service is carried out. From a educational point of view too, you must learn from community service, at least for young people the idea of community service must be implemented quickly. In his letter, the minister ends with concerns that I myself had after reading the article of the General Journal. The director of Reclassing Netherlands says: I am faced with a great deal of aggression from people who have to perform community service. I find that really unacceptable. People have to live up to the standards. Reclamation officers should just feel safe. The Minister says he wants to encourage more reporting. I would very much like to know from the Minister whether so little is being reported. That's what I'm worried about, especially if that warden says so. How can we ensure that more charges are filed? What's the Minister gonna do about it? I would like to return very briefly to my amendment, which deals with the withdrawal of the increase in fines. The Minister indicated in the first period that increasing the fines is a very good incentive to pay. I've been really looking for the Minister's investigation to back up his claim, but I didn't find it. However, I found research which showed that a payment arrangement does lead to the payment of fines. Mrs Helder mentioned this: at least these fines will be paid. But I didn't find that first investigation. I understand the Minister's fear that he may not fill the treasury, but we have just adopted a fine motion by my colleagues from the VVD and the Labour Party, which states that a traffic fine is not intended to fill the treasury. So I do not really see any obstacle to my colleagues anymore to the amendment on item No. 20 votes.
ParlaMint-NL_2016-09-27-tweedekamer-26.u41	Mr. Chairman. Non-punishment if misconduct requires or failure to execute a properly imposed punishment is one of the most effective ways in which a teacher loses his or her authority and respect. The same applies mutatis mutandis to the government. That's actually what this bill is about. I would like to thank the Minister for his first answer, almost ten months ago. I would also like to thank him for the letter on the amendment we tabled to item No. 11. I am going to pass on the amendments for a short time. The amendment in part No. 10, which, in connection with a substantive amendment, was also mentioned by the Minister when he commented on the amendment, in the meantime the amendment in part No. 24, aims to ensure that only in very exceptional circumstances of a major nature can prisoners be granted a short interruption of their sentence. As a result of the first deadline, we have amended the amendment in such a way that a penalty interruption for unwanted foreigners can in principle be unlimited. This is more in line with the intention of the situation, namely expulsion. As far as we are concerned, the seriousness of the crime remains an important aspect. We therefore ask the Minister's assurance that in all cases a substantial part of the sentence will actually be served. The amendment in part No. 11 is now the amendment to item No. I would like to thank Mr Helder for his co-signatory. Even after the Minister's letter, we continue to find it unsatisfactory that a person with two separate sentences of one year is much worse off than a person whose sentences have been merged. During the reply, the Minister suggested that it was a bit of a ritual of the SGP to begin with. However, I can assure the Minister that the SGP does not like ritual dances and ritual puddles. I therefore make it clear that the SGP is not talking about the system of conditional release itself, but about a strange part of it in our view. For the actual punishment, it should not matter whether it happens to be served in succession or whether there is some time in between. I hope colleagues will support this amendment. The amendment in part No. 12 provides that conditional release may be postponed or omitted in the event of a danger to the security of society or disturbance to public order. In this amendment, the Minister suggests that it will be fully covered by the exception that there is a risk of recurrence. It remains odd that a person detained for terrorism under the conditional release regime should be allowed to return home early in good conduct. We ask the Minister whether, in such a situation, there is an automatic threat to society and/or the risk of recurrence. I would like to hear from the Minister whether that can be interpreted in this way. If that is the case, we can withdraw the amendment, because then we will have enough of the Minister's interpretation. The amendment in part No. 13 is now the amendment to item No. 26, again in connection with Mr Helder's co-signatory, for which I am grateful. I have no further comments on the substance. I would like to thank the Chamber for its opinion on this amendment. I hope for the support of colleagues. The amendment in part No. 14 provides for the guarantee of the performance of public service obligations. A great deal has already been said by my colleagues. I would like to thank the Minister for the explanatory letter on this matter. However, there is still some uncertainty, as colleagues have already pointed out. Does the Minister now guarantee that any imposed community service will be carried out in any event or will be arranged through a replacement detention? I still have two small, but not insignificant dots. The first and more fundamental point concerns the division of powers between the Minister and the Public Prosecutor's Office. The enforcement of the decisions shall lie with an executive service and not with the Public Prosecutor's Office. Is it now absolutely clear where the powers of the prosecutor cease and the powers of the minister begin? Does this also apply to the transitional period? Is that secure enough? I come to my second and final point. The Public Prosecutor must send the decision to the Minister within two weeks, pursuant to Article 6.1.1. Of course speed is necessary, but is this practical also feasible for the Public Prosecutor's Office? Is there sufficient quality in decision-making and so on if it is to be regulated in the short term? For example, if there are any doubts or administrative errors or errors that the public prosecutor has to resolve first with the other authorities involved, the time limit will be very tight. Is it wise to put that deadline so tight? Isn't that at the expense of care?
