ParlaMint-NL_2016-12-20-eerstekamer-2.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2016-12-20-eerstekamer-2.u12	I was waiting for Mr Pijlman to return to the report of the University of Groningen. I read that report, too. I've seen those scenarios. I have actually read it in such a way that in the university's proposals the NAM is getting an increasingly smaller role. I understand very well that Mr Pijlman is asking the Minister what he thinks. I am also curious about this, but I am also curious about what the D66 group thinks about this. To what extent should the NAM really be involved in the damage settlement and communicate directly with the victims of the damage?
ParlaMint-NL_2016-12-20-eerstekamer-2.u13	I think I've said this before. It seems obvious to us that the Nam plays an extremely cautious role. The NAM is responsible for the damage caused. That's settled in the law. The NAM pays but has no decisive role to play. This would create uncertainty for the citizens. Moreover, the NAM is not equipped to do so. I'm going back to the gas building. We understand that this is a delicate issue that requires great care. It is important, however, that the Minister gives us an insight into the considerations which the cabinet intends to make in this respect, recognising the legal position of the State. The design of the future gas building is important not only for the extraction of gas from the Groningerveld but also for the transition from fossil to renewable energy. As long as the State is closely linked to fossil energy supply, it can influence the decision-making process towards renewable energy. I'd like a response from the Minister. Those who oversee the effects of the extraction of natural gas in Groningen are already demanding a sustainable energy supply for this reason alone. The damage for residents and companies in Groningen is extremely serious. Citizens must leave their homes several times. Church churches have not been able to enter their church for worship and activities for two years now. The church is a national monument and one doesn't really know how to strengthen the building. Companies and institutions are suffering serious corporate damage and cannot tell them because they are drowning in bureaucracy. Citizens can't move anymore and feel trapped in their own homes. For them, citizens who, for example, want to move out of the area because they found work elsewhere but cannot get rid of their homes because the housing market in the area has come to a standstill or can sell them but at a price much lower than the current prices in a reference area, a pilot buy-back scheme was set up. The interest was high and the amount available was limited. As a result, there was a need to make arrangements, to create legal inequalities between citizens and to create frustration rather than a solution. We ask the Minister to open the scheme again so that the citizens are helped who are in fact unable to move and whose future is at stake. I'd like a response. We are considering tabling a motion on this point. Earlier, the cabinet decided to reduce gas extraction significantly in order to reduce the damage. The cabinet wanted to keep the hand on the gas crane. If you look at the facts behind the gas extraction process, you will notice that the biggest damage has occurred at the time when the government significantly opened up the gas supply because international gas prices were extremely high. The revenue was even 13 billion a year at peak with a turnover of more than 23 billion. That was very welcome at a time when the state treasury was empty and the public debt was very high due to the support to the banks. In the meantime, revenue has been reduced to a 2 billion a year by lower extraction and certainly by low world gas prices. That is still significant, but as we are less dependent on it, it is possible to make new considerations. The Netherlands is still a very fossil country. At the moment, an ordinary Tuesday morning in The Hague, 62,000 citizens are generated by renewable energy in our country. I'm talking about solar, wind and biogas. I just looked at the website energyopwek.nl. This instrument has been developed by a lecturer in Groningen and will be further rolled out by the ESC under the Energy Agreement. We are still a long way from sustainable energy production, despite the successes that the Minister has achieved in the roll-out of the wind farms at sea, for which he deserves compliments. Those compliments can certainly be expressed in this house where he had to fight such a difficult battle to get wind approved at sea. The total amount of renewable energy in the Netherlands is still low. We are all with solar panels in the weather and some media are extremely optimistic about the results, but the real problem is the energy supply of industry. Fourteen days ago, the Minister opened Google's new data centre in the Eemshaven. This is a wonderful opportunity for the Netherlands and certainly for the North Netherlands. This creates jobs and also new opportunities. But this data centre uses as much energy every day as the inhabitants of the provinces of Groningen and Drenthe combined. Industries but also horticulture face a huge challenge to become sustainable. They also struggle with it, and some will need natural gas as a transition fuel for a long time to come. Would it not be wise, in this sense, to use the Slochterenveld for transition purposes and to develop a programme with the partners in the gas building? The construction of the new wind farm by Shell.................................................................................................................................................
ParlaMint-NL_2016-12-20-eerstekamer-2.u14	I am curious to see what the D66 colleague means by "the use of the Slochterenveld for the transition." Maybe he can explain that.
ParlaMint-NL_2016-12-20-eerstekamer-2.u15	I say that private individuals can switch to renewable energy more quickly than industry. He's struggling a lot with that. I would like to support her in the fight for sustainability, but for that I would use the gas field as a strategic reserve.
ParlaMint-NL_2016-12-20-eerstekamer-2.u16	But in fact, you want to help the industry by making its gas longer available. Why don't you choose the way to build an incentive to focus more quickly on energy saving and renewable energy?
ParlaMint-NL_2016-12-20-eerstekamer-2.u17	That incentive is and should be there. As far as I am concerned, this incentive may also be strengthened. Of course, it is absolutely not the intention to keep the industry to fossil; you understand that, and I understand that. However, I note the factuality of the situation at the moment. I think that too often it is too easy to roll over. I can give an example of a company that needs a lot of energy and where a lot of people work, an industry that is and remains absolutely necessary in the Netherlands, and where it is an immense struggle, one is extremely busy getting rid of fossil, because in fact there is no alternative at all.
ParlaMint-NL_2016-12-20-eerstekamer-2.u18	Is it not also necessary to do something about these incentives? Think of taxes, offering financial benefits to companies that do invest heavily in saving. I think it's a little strange that you say, in particular, "Give them more gas." I would like to emphasise those other incentives.
ParlaMint-NL_2016-12-20-eerstekamer-2.u19	It's a shame that you're trying to sum me up like this. I have just said, in response to your interruption, that we can certainly do what we need to do about these incentives. That could also be part of such a program. I am concerned that we should not pretend that we are almost there in the fight to become sustainable. It is an immense task, a task that is much greater on the part of industry and also of horticulture than on the part of the citizens. We could make a program for that together. I am convinced that the industry itself would like to do the same. Such a national programme aimed at transition can also bring a new future to the gas industry, where thousands of people work. I'd like to hear a response. On June 16, 2009, Queen Beatrix revealed the Gas Monument Groningen. Sailing detail: also the new Foreign Minister of President-elect Trump was present, namely as Exxon's top man; he is quite in the news. The Netherlands and Groningen were very proud of our natural gas at that time. It has brought us prosperity, and it must also be remembered, it is the cleanest fossil fuel. But a few years later, the mood changes. For the earthquake area there is a bitter pill. Citizens live in uncertainty, there has been great damage and the earthquake threat remains. There is physical but also economic and image damage. The companies involved in gas extraction are shrinking their workforce considerably and their often generous contributions, goodwill, to all kinds of cultural facilities are being cut. The cabinet has rightly freed up funds to cope with the economic damage in the area. Can the Minister inform us about the design of this economic programme? When the first results become visible, the D66 fraction asks. The reversal of the burden of proof in the Groningen earthquake area is an exceptional but necessary step in restoring trust between citizens and government. But it's not enough. The challenge of strengthening must now be taken forward quickly and massively. A buy-back scheme is needed to help people trapped in their homes. Economic and business losses due to slow handling and bureaucratic procedures should be compensated. Gas extraction, at a much lower level, will remain necessary for the energy transition to succeed. An economic programme that brings Paris closer but also gives impetus to the region is urgently needed.
ParlaMint-NL_2016-12-20-eerstekamer-2.u20	Mr. Chairman. Today we are discussing three legislative proposals that are closely linked: a draft law on security, offshore and gas activities, including the reversal of the burden of proof, a novel on the reversal of the burden of proof and, finally, the strengthening of security interest mining and control of search, extraction and storage permits. And all this at a time when there is still great uncertainty in Groningen about dealing with damage, about repairing homes and other buildings. In this respect, I would like to endorse what the CDA and D66 colleagues have said: what is the situation now? How is it possible that so many citizens are still in uncertainty? How is it that recovery is so slow? Does this also mean something about the position of the NAM, which still exerts too much influence on this whole thing from a particular point of view? I found it interesting to hear from both the CDA and D66 groups a plea for a truly independent centre to live safely. The Group of the Greens/European Free Alliance believes that we absolutely need to go there and that the NAM should no longer be able to interfere in a repair operation and in the handling of damage, except that it is responsible for the costs. All this has led us to say earlier in the House of Representatives: we want to strengthen the position of residents, but also companies and institutions which have to do with damage caused by gas extraction and which often have very difficult rights at their side. My group believes it is right that the House of Representatives did so. The novelle and the amendment of colleagues Vos and Ouwehand from the House of Representatives have led to a reversal of the burden of proof. With the novelle as it stands today, the cabinet has made a change to the previously amended and adopted law 34041. In fact, the cabinet did not want to implement this law in the area of reversal of the burden of proof and therefore requested advice from the Council of State before the law would be dealt with in the Upper Chamber. That is a remarkable course of action, as Mr Flierman said. After all, the law was already before us for treatment. We wanted to start treatment. The Minister then chose this path. The opinion of the Council of State led to a number of important restrictions on the presumption of legal evidence, or the reversal of the burden of proof, as laid down in the law as a result of the amendment adopted in the House of Representatives. The restrictions apply in three areas: the area in which the burden of proof is reversed is limited to the Groningenveld; the reversal is limited to gas extraction; the damage to be compensated is limited to physical damage to buildings and works. My group regrets this restriction, which weakens the position of those who suffer damage as a result of mining activities. They can be citizens, but they can also be institutions and businesses. We have therefore asked the cabinet in our written input for the motivation for these restrictions. The Minister, following the Council of State, speaks of a "very exceptional deviation" from the "whoever states, proves" rule. It is therefore necessary to impose additional restrictive requirements on the presumption of legal evidence, i.e. the reversal of the burden of proof. One is that there must be very large numbers of damage of a particular type in a particular region. This is the wording chosen by the Council of State and the cabinet agrees with it. Similar legal regulations exist in neighbouring countries. Moreover, several judgments of the Supreme Court show that the reversal rule has nothing to do with very large numbers of damage cases of a particular type in a particular region. My group therefore questions the claim that this is a very exceptional derogation which justifies the restrictions. I would ask the Minister to clarify the cabinet position on this issue in our First Chamber. My group believes that the limitation to only physical damage is an infringement of the principles of general liability law under the ECHR, Article 1 on the principle of equality in the protection of property. Will the Minister respond to this? On what grounds does the Cabinet consider it justified to depart from this principle of equality? Damage caused by mining activities other than gas extraction, such as oil and salt extraction, is also excluded from the legal presumption of evidence. This also leads, in comparison with the original amendment in part No. 12, to weaken the position of those affected by these other mining activities. Would the Minister like to explain this? Finally, my group finds it odd that the legal presumption of evidence only applies to the damage in the Groninger Field. You'll only live in Friesland, or in North Holland or in Limburg. You will only experience damage in areas such as North Holland or Friesland as a result of gas extraction. Why is it that the legal presumption of evidence does not apply to the position of these people, these companies and these institutions? I'd like to get a response from the Minister. I would like to make a few comments on the licensing process. For mining activities, there are three stages of authorisation and verification, namely the search and extraction permit, the consent to the extraction plan and the environmental permit. I ask the Minister why an assessment of the vulnerability to the environment and safety is not already taking place at the stage of applying for a large area search and extraction permit. The Minister replied to our written questions about the fact that environmental effects cannot usually be assessed at that stage; this can only be done when assessing the application for an environmental permit when it is clear whether there will be work, and if so what, and what measures are foreseen to limit or prevent any negative effects. The Minister writes that only when the application for a search and extraction licence makes it clear that the designated area is not suitable for mining activities, this is grounds for refusing that application. At this stage it is a market organisation licence, the Minister writes. Or the question of who gets to "borrow" in which area. My group is not convinced of the answer that it is usually not possible to assess the environment and safety at this first stage. Why not have an obligation to include at least all the risks to nature and the environment in the process of licensing? I would like to have another explanation on this point. We fear that a salami tactic may arise, i.e. that once a company has a search and extraction licence, it will also be entitled or entitled to subsequent permits such as the environmental permit. I would like to receive confirmation from the Minister that a search and extraction permit must not confer any right on the actual extraction of gas, oil, salt or other mining products, and there is always the freedom to assess and possibly refuse an environmental permit on all aspects. In this debate, I would like to receive confirmation from the Minister that it remains possible to use a judicial presumption of evidence for damage not covered by the legal presumption of evidence. There has been some unrest among various parties. I also ask for absolute clarity on this point. I read that an environmental impact assessment is mandatory only for projects larger than 500 tonnes of oil or 500,000 m of gas per day. On our question about projects below that border, the Minister writes that the Environmental Impact Assessment Decision must always be assessed against selection criteria according to the EU Directive on underground construction and drilling. For example, there may be cumulation. My group wonders who is assessing whether such criteria exist and who decides on an EIA in that situation that there are indeed mining projects falling within the limits of 500 tonnes of oil or 500 000 m of gas per day. When applying for a permit in the first phase of detection or extraction, the province is best placed to make an integrated regional assessment, writes the Minister. It is therefore up to the province to consider how it obtains advice from the mayor's and aldermen's college and from the day-to-day administration of the waterboard in question. How should provinces involve these opinions and make them really serious for others to understand? How should they make it clear that they have taken this seriously? I would like to receive an answer from the cabinet to this question in order to ensure transparency. When assessing the Winning Plan, relevant provinces, municipalities and water boards have direct advisory rights. Why is this not also regulated at the stage of the search and extraction permit for the water boards and municipalities involved? And why is there no advisory right for drinking water companies when it comes to a drinking water extraction area? The legislative proposal 34348 is, through the amendment to item No. 41 of the House of Representatives of colleague Van Tongeren, among others, so strengthened that permits and extraction plans may contain restrictions relating to the environment and nature. The reason for this amendment was that the Minister of EZ stated several times in specific mining projects that he had no legal basis to consider environmental and nature protection when granting a permit under the Mining Act. We have experienced this on several occasions during the last period, particularly in mining plans in the Wadden Sea region. The Vos c.s. amendment is also important. in piece No. 103 which means that it is no longer possible to set up mining installations in the Wadden Sea World Heritage and Natura 2000 sites Wadden Sea and North Sea coastal zone. This protects not only the natural qualities, but also the landscape qualities of these areas. It is a good thing that this legislative proposal provides more clarity for both mining companies and conservationists and residents on how nature and sensitive nature areas Wadden Sea, North Sea Coastal Zone and Wadden Islands are protected from harmful consequences of mining. It is a pity, however, that this does not restrict the extraction of minerals from the Wadden Sea and the North Sea coastal zone by means of sloping drilling from a Wadden Island or solid shore on the North Sea. How does the Minister view this? Isn't the Wadden Sea particularly an area for which you shouldn't grant a search or extraction permit in advance because of the risks to nature and the environment, and the unique nature and international significance of this nature reserve? I'd like to get a response from the Minister. I would suggest to him that he himself said that in the light of climate change and energy transition, we should reduce the use of gas and, for example, no longer provide gas connections for new homes. This raises the question of whether we should still win in the Wadden Sea all the more. Why should the Minister still grant search and extraction permits in new areas in the Wadden Sea and North Sea coastal zone when he says we need to get rid of the gas? I'd like an answer from the Minister. We await with interest the reactions of the cabinet.
ParlaMint-NL_2016-12-20-eerstekamer-2.u21	Mr. Chairman. Another black day in Europe. Let me start by saying where, in the opinion of the PVV Group, the shoe is most difficult, namely in the political process that has led to the proposals that are now before us. What a long time has it taken the government and the people's representatives to join the people of Groningen. When you read the file, you get the impression that it even happened with some reluctance. In this way, the judge was required to reduce the amount of gas extracted. The Groningen gas has delivered the Netherlands a lot. You may wonder if all the money is well spent, but it was and is a prime source of income and just then you do not abandon your own people. My colleagues in both the Lower House and the Provincial States of Groningen also proved that things could be different. They fought tirelessly for those Groningers. In February 2013 this is now almost four years ago, the PVV in the Lower House already advocated the establishment of a buy-out scheme for affected residents and the compensation of existing damages. A majority in the Lower House was against the interests of the Groningers, against their own people. In February 2014, another PVV motion was submitted to release 300 million for a buyout scheme. All the other parties voted against. In October 2014, a new motion for a new buyout arrangement was tabled. It was rejected. In February 2015, my colleague in the Lower House tried for the fourth time to establish a buyout arrangement. Not a majority again. In January of this year, I am beginning to repeat a motion on a buy-out scheme for homes that can no longer be strengthened. Rejected again. In June, a motion was tabled for the purchase of houses at 95% of the World Trade Organisation value. And four months ago... Oh, well, I'd better stop talking about it. Colleagues in the Provincial States have also played their part in this process. They came up with a motion to regulate the reversal of the burden of proof, in fact the motion we are discussing here today in a different form. So it can be; it can be to be a representative of the people for four years and not just to pretend the last two months before the elections. And the common thread in this succession of proposals and motions is clear: the PVV was behind the Groningers from day one. We didn't leave those people in the cold. The cabinet, supported by PvdA and VVD, voted against all those motions. They voted against the interests of the Groningen. You really wonder how they see the role of people's representatives. How much suffering, including psychological suffering, could have been avoided if people's representatives and directors had been responsible for the interests of the Groningen people? Many of the inhabitants were prisoners in their own homes for years, had to flee their homes and were kept on a leash for years. Our own people, people who were at their wits' end, had to move into outbuildings. It's to get Deputy Shame out of it. Knock on when you come from any country in Africa and the whole government apparatus jumps in front of you. Cost and effort are spared, but our own people were allowed to pick it out for four years. We think that is quite a scandal. Is everything now resolved with this legislation? No, certainly not, but of course the reversal of the burden of proof has begun. The trial was long. There was talk and talk. There was a Dialogue table, but the residents quickly got disillusioned. Turns out it was a monologue table. Mister Dialogue Table itself, Hans Alders, rustled at least 68 million for the Groninger Forum, an elitist cultural icon, which at that time was also outside the contour map, outside the area eligible for compensation for ordinary Groningers. At that time he was chairman of the Supervisory Board of the same Groninger Forum. And that while the ordinary Groningers lived in uncertainty for years to come. Those who do not know where cynicism towards politics comes from may have to read this file again. It goes without saying that we will support the reversal of the burden of proof, a proposal that was presented in the Provincial States of Groningen. Honor to all who deserve credit. It is also good that the outline card has been deleted in the novelle, which is no longer part of the proposal. This reversal of the burden of proof is a good thing, as I said just in the case of interruption, because of the inequality of parties. Go to court as a private or entrepreneur against the NAM or against the State; you will lose it. Other desperate residents, for example the residents of Drenthe who are fighting these windmills, can talk about that. There, too, it is clear that residents will suffer damage and will be physically affected by these windmills and that they will also have to fight against a government machine that does nothing and no one knows. Also on that file, a motion last week showed that only the PVV is behind these people. The cost of bureaucracy in the compensation process is still unprecedented: 36% of the total cost. Does the Minister see room for a rapid reduction in these costs? There is a Christmas tree to stay in the atmosphere only a little bit.......................................................................................................................................................................................... Can't that be any less? Mr Pijlman mentioned 13 organisations. Can this not be a little less and can these organisations not deal exclusively with the problem of compensation? I see now that swimming pools are being self-contained, websites are being built and logos are being designed. Stop doing that and make sure that damages are handled smoothly. Then there's the Mining Act. The new coordination of the licensing system envisaged by this law is a good initiative. But where is the citizen? Where's his interest secured? You can also see it in the installation of windmills; if you do not do that well and you ignore the citizen, then he revolts, also because the citizen often finds no answer in the municipal councils. Another objection from the PVV Group is the possibility to withdraw the permits granted in the Mining Act. My colleague has repeatedly asked the Minister: what are these serious reasons and are they too firm as they are now proposed? Where physical safety is concerned, there is obviously no discussion, but what if a next minister of EZ finds a sea level rise of one millimeter or three or a decrease a major reason for climate, nature or environment? Can licences be withdrawn? Isn't this law very damaging to the Dutch investment climate? The Natura 2000 sites, where no more activities are allowed. In these same Natura 2000 sites, nature-riding organisations are now destroying forests to set up windmills. They get subsidies for that because those trees are burned like biomass. Can the Minister explain why this is tolerated by double standards? This is of course about Groningen, but there are also big problems in Limburg. There are a lot of things on the other side of the road, but perhaps the Minister will be able to give the state of play on the problems in Limburg where groundwater is rising in the mines and people are afraid of physical nuisance and danger.
ParlaMint-NL_2016-12-20-eerstekamer-2.u22	Mr. Chairman. Although the written preparation of these legislative proposals has been made by my colleague Peter Ester on behalf of my group, I am speaking today in the absence of this colleague. I hope that as deeply digging or perhaps even more appropriate to do "deep-bendering" as he does. There are three important draft laws in front of us. First of all, the draft law on the implementation of a European directive on the safety of offshore activities, particularly in the oil and gas industries at sea. There are disasters, including in the Gulf of Mexico, which have raised awareness of the enormous risks of oil and gas extraction at sea in the event of disasters. This is the implementation, as has been said, of a European directive which, in practice, focuses on activities in the North Sea. The Directive has brought the systems from the various countries concerned into line. New in this amendment is the application to land of a large number of provisions required at sea. There are also extraction plants and there are also major dangers. If I see correctly, this enlargement is inspired by the comments of the Council of State. My question to the Minister is whether other countries are also going to extend this to countries. In other words, is the logic of this step also seen in other gas and oil-producing countries and in this respect are the systems also aligned? My second question on this bill is what impact the Brexit has on the safety regime in the North Sea, which is the subject of this directive. What will be the British position? Is that what they're talking about? Finally, I would like to know from the Minister what the consequences are for fisheries. There is talk of the interests of fishing in this respect, but has the sector been consulted on this law? I'd like to dwell a little longer on the safety and direction bill. That has two contexts, one might say. The first context is that of our national experiences and problems with the extraction of gas in Groningen, the safety in the broad sense of citizens and the demand for control over mining activities. The second context is that of the energy transition, where the use of the subsurface is given a new light in relation, inter alia, to the use of geothermal energy, storage capacities and the extraction of minerals in general. It is clear that gas extraction in Groningen has taught the lesson that sometimes there are unimagined risks to this. I learned a long time ago in my primary school that earthquakes don't occur in our country. By now, we'll know different. Risks of this kind have direct consequences in a relatively densely populated country such as the Netherlands. For future activities, the Structure Vision Underground will be leading. This should indicate where mining activities can take place in the future and where not, including in view of nature and the environment, the living environment and safe drinking water supply. The draft of this long-awaited structural vision was presented a month ago by the Minister for Infrastructure and the Environment, also on behalf of this Minister. It is nice that the Netherlands is able to accurately map the use of the subsurface and is the international leader in this. However, with regard to oil and gas extraction, policy is not restrictive. Of course, it is recognised that, in the light of the necessary energy transition, we need to make ourselves less dependent on fossil fuels, but at the same time it is stressed that it is important to continue and perhaps intensify the extraction of gas from small fields. In addition, our dependence on nationally extracted gas plays in many ways. However, the question remains whether we really need to do everything we can to win this gas, given the safety and acceptance of the population. Not everything that can be technically done should be done. What is this Minister's view on this issue? I would then like to ask about the role of municipalities, their advisory role and the participation of citizens. This subject was also mentioned in the contributions of the CDA and GroenLinks. As we know, citizens' participation was a central theme in the report of the Research Council for Security in response to the consequences of gas extraction in Groningen. The legislative proposal now before us gives an indirect role to municipalities at the stage of applying for a search and extraction permit and increasing involvement of municipalities in the granting of an environmental permit, i.e. when it comes to authorising real activities. The province, and not the municipalities, has a direct advisory role in the direction of the minister. The main argument for this is that at the detection stage it is still unclear in which area exactly extraction activities will take place. This reasoning has a degree of abstraction which we find difficult to follow. The Structure Vision Underground shows quite precisely where, for example, the small gas fields are located. More specifically, the municipality of Woerden already knows that there is a small gas field underneath a local residential area. If that gas field were to be authorised to carry out an investigation with a view to exploitation, the population would be in a state of turmoil. A few years ago we saw what kind of commotion gave a possible CO storage at Barendrecht. As far as my group is concerned, citizens and municipalities must be involved from the outset. The Research Council for Security has said that the citizen's perspective must be taken into account in a structural and recognizable way. We wonder whether this is happening and whether this legislative proposal offers sufficient scope for doing so. In this context, I would like to ask for clarification. This bill states that the issue of a search and extraction licence is "market organisation" instruments. There are no activities yet. An investigative licence does not mean the permission to drill, a mining licence does not authorise the carrying out of concrete mining activities. Isn't reality being proposed too "clean" here? In other places in the legislative proposals before us there is talk of pilot drilling and in the proposal on offshore safety (34041) it is about "installations intended for oil and gas exploration" and further on about "risks" associated with the detection. Can the Minister clarify this? This thus once again affects the issue of local support, support and participation. If it is true that even at the first stage of activity, namely detection, installations, and taking into account risks, the population will soon be at its qui-vive, and rightly so. In that case, an indirect form of citizen participation is insufficient. The municipality should also be able to take a stronger position in the process earlier in order to arrive at a extraction plan. That could be expressed in early consultation. I would like to hear a response from the Minister to this section. Finally, I would like to say a few words about the so-called novellle which regulates the reversal of the burden of proof in the event of damage to buildings in the 'effect area' of gas extraction in the Groningen field. My group sees this as an important gesture towards citizens who have not asked for this extraction, but who are suffering from the collective damage there is. That is why it is right that this "legal presumption of evidence" should be put in place. We support this. May this contribute to restoring citizens' sense of justice and confidence in Groningen!
