ParlaMint-NL_2016-12-15-tweedekamer-10.u1	Six speakers have signed up for this legal process. We shall begin with Mr Van Meenen of D66.
ParlaMint-NL_2016-12-15-tweedekamer-10.u12	The fact that the government tells you there's a message waiting for you is like the bank that reports that there are messages waiting for you. That's not exactly an invitation to open those messages. Countless messages are being sent. What matters is that it is pointed out from different directions... is that you really get active and personal message and none of that happens. That's one way. However, D66's preference is that the card is simply stopped automatically. That should be possible in no 2016/2017, right?
ParlaMint-NL_2016-12-15-tweedekamer-10.u13	Do we have to conclude that the fact that 90% of the people comply with that law is a stupid coincidence, that those are people who see the light and who keep to the law and stop that thing? Or should we conclude that we are simply dealing here with cultural relativism in practice? That almost borders on racism, may I add. Because are these people really so stupid they don't see this, Mr. Van Meenen? Come on!
ParlaMint-NL_2016-12-15-tweedekamer-10.u14	No, definitely not. They're not that stupid. What this has to do with racism doesn't make any sense to me. Apparently, the PVV always has to do so in a debate, because otherwise we have lived for nothing. Well, I can't answer that. I have tabled an amendment to ensure that if you do not use your O.V. product, you do not pay a fine either. That seems so fair. The problem is that it has been raised before, and it is not with the ex-students. The problem is with the government and the NS. The fact that it is still not possible to stop the product automatically or stop it online in 2016, almost 2017, is very strange. Let's just make sure the travel product stops automatically. Then we don't need this whole discussion about fines anymore. If that is not possible, we can at least see how much use someone has made of the product and whether or not they have to pay for it.
ParlaMint-NL_2016-12-15-tweedekamer-10.u15	This is very interesting. I agree with this. I will also come up with a motion that I would like to promote...
ParlaMint-NL_2016-12-15-tweedekamer-10.u16	Mr Rog, you don't have to tell the interrupting microphone what motions you're about to make. You'll have to interrupt the interrupting microphone.
ParlaMint-NL_2016-12-15-tweedekamer-10.u17	I am interrupting Mr Van Meenen, so I say that I agree with him. But now we're improving communication. I find it amazing that Mr Van Meenen still seems to reject the amendment we are tabling. It states that, after the communication has improved, there will just be a fair fine after one month of at least the amount of the actual costs. Can Mr Van Meenen explain why he still rejects this?
ParlaMint-NL_2016-12-15-tweedekamer-10.u18	Those are the travel expenses. I am tabling an amendment which states that if no costs have been incurred, so the product has not actually been used, then there will be no penalty. I'm suggesting that if you're not ready to stop it all online or automatically, you could look at the actual usage. So you're not going to charge a fine, you're just going to charge the use that was there. I think that's fair. That's really different from a fine that's the same for everyone, so regardless of whether you've cheated or acted entirely in good faith.
ParlaMint-NL_2016-12-15-tweedekamer-10.u19	I'm very curious about the reason for D66 to do this. So Mr Van Meenen now places a lot of additional administrative burdens on the party that is simply responsible for implementation. Students and former students are responsible for themselves, aren't they? In most cases, they know that well and take that responsibility. What has happened to Mr Van Meenen, which suddenly makes him turn those students away like a bunch of morons, like people who don't understand it all?
ParlaMint-NL_2016-12-15-tweedekamer-10.u20	I'm not doing that at all. For me, it is incomprehensible that there are a few parties here in the Chamber where students are wanted to be fined at all costs, including students who are not blamed for very poor communication from the government. This communication is the responsibility of the government, so ultimately we and Mr Rog's party too.
ParlaMint-NL_2016-12-15-tweedekamer-10.u21	Mr. Chairman. At the beginning of this year we had a discussion about whether or not to increase the fine on not stopping the public transport card. There's a fine and it's a big one. At the time, the media talked about alternatives and also about the current system. Mr Van Meenen has already explained how you could improve that system, even via online possibilities. But there was also a lack of information. ResearchNed's report, but also from signals we received earlier, showed very clearly that this leaves a lot to be desired and that it can be tighter, more personal and more targeted. At the request of my group, we postponed the debate on this at the time. We said then, before we draw any hard conclusions, let's see how that investigation can be done in an orderly manner. There was also an amendment tabled by the undersigned and my colleague, Mr Duisenberg, proposing not to allow that increase. I now formally withdraw this amendment because there is a letter of amendment which no longer talks about an increase in the fine. This is Amendment No 34331, No. 8. This amendment is therefore now superfluous. After all, the letter of amendment shows that the motivation has been listened to. The failure to stop the card in time has to do with all kinds of things. Only 10% of students who do not stop the card on time can be said to be strategic behaviour. Now we are looking at how this communication can be revised. The ISO and the LSVb are also involved. The system needs to be more customer-friendly. I know as a former student that the I.V. card used to be provided through the post office. That was all very clear. But nowadays you have to go to a station at the end of the O.V. card. There'll be no station in your congregation. So you have to go to a station to do an act there. Guys, it's 2016! I see the spokesmen of those old-fashioned parties are laughing right now, but this should be possible online, right? Shouldn't those spokesmen agree with me? But they're just suggesting that we impose a fine. Colleagues Rog and Duisenberg have tabled an amendment to double the fine for everyone. I do not see the justification for this, because the amendment tabled by Mr Rog and Mr Duisenberg also states that a person who has not used the card is fined. Then I'm thinking, why would you fined someone who couldn't possibly use the O.V. card? I ask the Minister whether we can see whether anyone has travelled or not. You're also almost wondering why when checking the tickets someone doesn't get a report from the conductor when he or she is a graduate and still has an O.V. card. In short: the system in 2016 needs to be much better. If we change the system, the fine will probably be completely unnecessary in the future. I am in favour of targeted communication, but it goes far too far to kick all students in the injury period of this cabinet period by doubling the fine. The June study also clearly shows that there is no need for this. We shall table two motions in the second term. One motion asks not to increase the fine. That is the opposite of the amendment tabled by Mr Rog and Mr Duisenberg. In the other motion we ask to see how we can introduce an alternative system in 2016. Guys, come on, it would be weird if students leaving abroad couldn't stop their O.V. card online, but go to some kind of loading post? That was once thought up by a few technicians, but they don't rule this country. So I refuse to accept that. Finally, a question. In the letter of 17 June, the Minister announced that he would agree with the student organisations on improving communication and to look at measures to tackle precisely the small part of the graduates who consciously have strategic behaviour in the absence of an end to the card. I ask the Minister about this and where it stands now. Did those calls take place? When can the Chamber expect anything? I repeat: we will never and never agree to this increase in fines, which is very poorly substantiated in the amendment and which does not do justice to the research that Mr Duisenberg has also asked for.
ParlaMint-NL_2016-12-15-tweedekamer-10.u22	I understand that you have the amendment to item No. Eight withdraws?
ParlaMint-NL_2016-12-15-tweedekamer-10.u23	So that's the amendment of...
ParlaMint-NL_2016-12-15-tweedekamer-10.u24	Mr Mohandis and Mr Duisenberg.
ParlaMint-NL_2016-12-15-tweedekamer-10.u25	Yes, that's the right amendment, Mr President.
ParlaMint-NL_2016-12-15-tweedekamer-10.u26	The Mohandis/Duisenberg amendment (Doc. 8) has been withdrawn.
ParlaMint-NL_2016-12-15-tweedekamer-10.u27	I found it rather confusing, even so confusing, that I do not understand Mr Mohandis' conclusion. If he is consistent, he should abolish the fine altogether.
ParlaMint-NL_2016-12-15-tweedekamer-10.u28	If we had a fantastic system, we could have. Now there is a heavy fine of almost €200. My proposal is: let us change the system and then talk about an increase in the fine for the group that deliberately does not stop the card. But Mr Duisenberg is all about it. He says: we are going to give the fine to everyone and if people have acted in good faith, then that will be our sausage. That is what I hear from Mr Duisenberg.
ParlaMint-NL_2016-12-15-tweedekamer-10.u29	Mr Mohanis has received the research he has asked for, but his conclusion leads to the continuation of a very inconsistent policy. In the past he advocated a step-by-step increase; I have here an article in which that is stated. That was very consistent. That is what Mr Rog and I are proposing. But now Mr Mohandis leaves the fine at €100. We propose to reduce the fine in the first month and increase it after that month. That is the trampled increase that Mr Mohandis himself advocated at the time. Now, I know, March 15th, he says, "I don't want a fine increase." Or be consistent with today's story and say: I don't want a fine at all, because I think it's so pathetic and those students can't do anything. That is nonsense: in most cases they are highly qualified graduates. Then come up with a proposal to withdraw the entire fine. Explain that to all taxpayers, because it is about public money. Or stick to the proposal for a step-by-step increase, which Mr Mohandis himself advocated earlier.
ParlaMint-NL_2016-12-15-tweedekamer-10.u30	If we could introduce a stepped-up system that is aimed at the group that is demonstrably abusive, which is very difficult to control, unfortunately, I would be very interested in that. But you are also taking on the group of students who have shown no strategic behaviour. So I'm consistent. Your name was under the amendment, Mr Duisenberg, and not now. I have a very consistent line. I don't quite understand where you're going with this. I'm just trying to keep thinking very consistently. We've asked for an investigation. We didn't get that right. This shows that there is a group that says that this system needs to be changed; that is at least the conclusion that I draw from it. So I think that's the first step we have to take. If we're going to a kicked system, it's got to be aimed at that group that's deliberately abusing it. It should not be "everyone just a fine increase," because I think that is a form of "March 15th is close; let us be strict with all of them."
ParlaMint-NL_2016-12-15-tweedekamer-10.u31	I have the research that Mr Mohandis' minister had carried out with me. I read about a student who, after calling DUO a few times to ask if the fine he has to pay is really only €97 and if there really are no additional costs, keeps the DV card, which he has unjustly, to earn €200 a month. What is the argument for Mr Mohandis to legitimize this? How does he explain this to other public transport passengers?
ParlaMint-NL_2016-12-15-tweedekamer-10.u32	That fine is substantial: it is rounded up almost €200. I do not think it is denied that this card is sometimes deliberately withdrawn, but it is about 10%. So the question is how to deal with this group most effectively. What you're proposing is not effective. In your amendment, you simply say very cheerfully or very seriously that this applies to everyone, including those who have not used the system. But as long as the system doesn't provide any insight into this, I think a fine increase is a very wrong start to solve the problem. Let's change the system. Let's make it possible to check out all kinds of things like online or remotely. If we do this carefully and enforce that fine, then we can end up targeting that group.
ParlaMint-NL_2016-12-15-tweedekamer-10.u33	I therefore note that the Labour Party and D66 believe that highly qualified students should continue to use their card after they have lost the right to that card, while other train passengers have to pay the full pound. I don't think I can explain that.
ParlaMint-NL_2016-12-15-tweedekamer-10.u34	What's your question?
ParlaMint-NL_2016-12-15-tweedekamer-10.u35	Why does Mr Mohandis keep talking about a "fine"? It is about the real costs of civil aviation law, which other travellers also have to pay.
ParlaMint-NL_2016-12-15-tweedekamer-10.u36	Because everyone's talking about a fine. If you want to rename that, you'll have another very semantic discussion. I do not share Mr Rog's conclusion. Nor can I conclude from what Mr Van Meenen said. The important thing is that you take a serious look at the system. There is a fine, which must be paid and students are highly educated, but that cannot be the only argument to sit back and think "let's double the fine." What the proposers should aim at, namely that this group is being tackled, is not achieved, because this is exactly what is happening to everyone. In that respect, I find the proposal you are making unfair. I come in my second term with two motions. One is about not raising the fine, contrary to what Mr Rog and Mr Duisenberg are proposing.
ParlaMint-NL_2016-12-15-tweedekamer-10.u37	Mr. Chairman. It will not have escaped your attention: the main point of discussion in this legislative proposal relates to the student card. On the one hand, it is clear: you have a right to travel free of charge, which is paid out of public funds, and if that stops after five years, you simply have to pay for your work just like everyone else. That's easy. It would be unfair if it weren't. On the other hand, I also understand that if you forget to stop your card and you get a fine of €97. You knew, but you forgot or you missed the messages. Why can't the map stop automatically, you think. But there are also students or ex-students who consciously pass their card, because it is cheaper to pay a fine of €97 than to pay for it themselves. Calculated abuse, I call it. I just want to think about how it works. Students get an O.V. card that allows them to travel all over the country. This card has a value of €340 per month. That's over $4,000 a year. So they get a free travel right at five years worth €20,000. Total public funding for students-ov amounts to between € 0.75 billion and € 1 billion. You can easily request the card from DUO. On the other hand, you stop the card again when your travel right expires. This is explained in detail. In addition, the student is then also informed in many other ways. Nine out of ten students say their travel product on time. So then it all works just fine as it's meant to be. The reason they almost all give up according to ResearchNed's research is: you just know that you have to cancel the travel product yourself. It is as simple as that, Mr Mohandis. There is also a group that does not stop the card in time. Half of this group still stops the card within a month. Then there is a last remaining group that allows the travel right to continue for free. Here the motive is in many cases calculating, strategic and financial. So I'm thinking, what to do with that fine? Because it doesn't work sufficiently preventively. It is the responsibility of the student to stop the travel product. That's clip-and-ready. It's all over the DUO site. Just as the Minister stated in the note on the report, it is basically that unjust possession of the student travel product is, by definition, undesirable. The simplest thing to do here is to take the solution that the Minister initially had in her legislative proposal. This is simply a very simple measure, namely increasing the fine from day one to €150. Because, according to the Minister, given the current level of this amount, it is too often worthwhile not to stop the travel product. The student organizations found this fine from the minister disproportionate. They wanted a kicked fine of €50 to €150, for example. Now that I've seen ResearchNed's research, I understand that feeling. That is why the VVD, together with the CDA, is now proposing a stepped fine. For the first month we have a certain understanding. We reduce the fine from €97 to €75. Then the fine goes up to €150, simply to prevent abuse. We thus mitigate the Minister's previous proposal, which sought to increase the fine from day one. With this we do justice to the principle that wrong possession is undesirable, but we also do justice to the feeling of students who had initially missed the deadline of stopping for a while and greatly sucks of that fine. However, the incentive against calculated abuse must come out as soon as possible. Finally, even better information is, of course, always a good idea. It would be the most beautiful thing if the card stops completely automatically and stops too late completely belongs to the past.
ParlaMint-NL_2016-12-15-tweedekamer-10.u38	I remember a quote from Mr Duisenberg earlier this year when all kinds of colleagues were questioned about this. Then I'm talking about raising the other fine. He suggested we try other things first. That was about what he said. I note that he actually says that these other things are important, but first we have to double the fine and then do the other things. I think that's a wrong order. The amendment also states the phrase "regardless of whether the right to travel has been exercised'. Does he consider it justified to impose a double fine on former students, i.e. a doubling of what it is now, whereas they have not exercised the right to travel? Is that justified, given his earlier statements this year?
ParlaMint-NL_2016-12-15-tweedekamer-10.u39	I said the same thing I'm saying earlier this year. I will state the reason for tabling this amendment. I said earlier this year that I am not in principle opposed to an increase in the fine. If you have the responsibility to turn that thing in or stop, you just have to pay a fine. Earlier this year, I found the reasoning, the way the minister did it, a shot shot of hail and not entirely thoughtful and sufficiently substantiated. She wanted to increase it by €150 from day one. That is why I was very pleased with the research requested by Mr Mohandis, which is now before us. This shows that there are several reasons for this. That is also the reason why I am now saying that we can make a more nuanced proposal, whereby you will initially pay a lower fine than in our previous proposal. We propose that the fine be reduced in the first month. That's where I'll have coulance or understanding for the fact that you forgot. The starting point is that the cliff and ready is the responsibility of the higher-educated student to stop that card. That is also the answer to Mr Mohandis' question. That is why this is a reasonable proposal. This is the step-by-step proposal that the students initially asked for and Mr Mohandis was also in favour of.
ParlaMint-NL_2016-12-15-tweedekamer-10.u40	I think students have asked for a kicked-off proposal. That sounds interesting, but it's not aimed at the group that deliberately takes advantage of it. That could be arranged, for example, to see who does and who doesn't use that card. We're not that far; I admit that. The systems will not allow this in 2016.
ParlaMint-NL_2016-12-15-tweedekamer-10.u41	And your question?
ParlaMint-NL_2016-12-15-tweedekamer-10.u42	My question is whether Mr Duisenberg thinks it is justified that the proposal should apply to all, across the board. Mr Duisenberg calls it a step-by-step proposal. I don't think that's fair. I think it's unfair. He can't say that students or student organisations want that too, because they really wanted something else.
ParlaMint-NL_2016-12-15-tweedekamer-10.u43	The student organisations have said that they want a kicked-off proposal. They want €50 in the first month and then go to €150. That's what they said. We now come at €75. That was for everyone, too. I think it is right that it should be for everyone, because I think two things are very important here. First of all, the responsibility lies with the student. Whether it's conscious or not conscious, it's a highly-educated student. I just prepped it. You've had a free travel right for five years, so at the expense of all of us, €4,000 a year. Did you get that? Very nice. However, there is one thing on the other side, and that is the responsibility of the highly educated student to stop that thing. Everyone knows where to find that device, so it's not that hard. The second thing that I think is very important, and that is crucial, is that, as far as I am concerned, the fine will be set so high tomorrow that it really does not pay any more for all those calculating students.
ParlaMint-NL_2016-12-15-tweedekamer-10.u44	Mr. Chairman. I confine myself to the most obvious part of this law. The SP welcomes the fact that, at the request of the Chamber and the student associations, the Minister has carried out an investigation into the reasons why the public health card is not stopped by everyone on time. We think it's even better that she doesn't want to go through with the fine increase right now. Of course, a former student has to take responsibility, but not everyone does. But there is still work to be done first by DUO and the educational institutions. After that, a former student can only be effectively addressed. The report shows that a majority of former students did not know that the product should have been stopped. That seems to be quite understandable. The distinction between the cessation of student funding and the student travel product is not clear, the researchers noted. According to them, there is uncertainty about the actual graduation date. The official end date of the study is not always clear and is sometimes confused with the date of graduation. This is particularly true if there is a longer period of time or if the graduation date is determined retroactively. The educational institution does pass the graduation certificate on to DUO, but not to the student in question. Also in the MBO they suffer from that. Then, to his stupid surprise, the former student will suddenly find a fine on the mat. Data on the travel product may also be misleading. If an OV-chipkaart is blocked or expired, it is believed that the student travel product has been automatically discontinued. I assume that the Minister agrees that the former student is entitled to good and, above all, unambiguous information, but it is often lacking. Does the Minister agree with the SP Group? If so, what measures will it take to improve the provision of information? The question remains why the student card cannot be automatically discontinued when a student graduate. Then all these fines are unnecessary anyway. After graduation, can the O.V. card not come on some sort of blacklist or become unusable, as the researchers suggested? That would be a good solution for the SP Group. I would like to hear the Minister's opinion on this. Has she had any contact with them yet?
ParlaMint-NL_2016-12-15-tweedekamer-10.u45	Mr. Chairman. I admit that the Minister has opted for a somewhat reckless introduction by imposing a fine of €150 immediately from the first month. It is a good thing that Mr Mohandis has asked for an inquiry. Many interesting things have emerged from that research, among other things that the majority of students turn in the card properly on time. 90% of students also know that they have to stop the card themselves. 10% of students deliberately do not deliver the card to benefit from it. Research shows that a higher fine would also affect the number of students who would stop the student card in time. A higher fine therefore leads to an earlier cessation. It is crystal clear that there are former students who show calculative behavior. You can't blame them for that either. There was a student who asked whether the fine that is now €97 is really the only cost item and who subsequently did not stop his I.V. card, in order to continue to make advantageous use of it, but completely unjust, because he was no longer a student. In that wonderful research that Mr Mohandis has produced, another student charged that he is now working and receiving a travel allowance, but that he earns €200 per month thanks to not stopping the student card. That's great for the former student involved. There are parties in this Chamber who want to facilitate that calculating abuse. These parties argue in other debates that fraud should not pay. That's what D66 does, for example, in Social Affairs. These parties want to step up their investigation. These parties are now plagued by election fever and are now trying to get into the flattery of students, who they are actually putting away as vulnerable people and should be protected because they would not understand that they have a responsibility themselves. However, the investigation shows that they know exactly what their responsibility is. And luckily, because they're all highly educated people.
ParlaMint-NL_2016-12-15-tweedekamer-10.u46	We know that the CDA does not like travel products for students. In the meantime, it's obvious. Mr Rog is very concerned about the 10% that might keep the student travel product on purpose. Why does Mr Rog not care about the 90% that gets a fine but because of the unclear information from DUO is not aware that this product must have been surrendered for a certain period of time? Well, then he should be worried about that, too, shouldn't he?
ParlaMint-NL_2016-12-15-tweedekamer-10.u47	I do. Before Mrs Siderius called me to order, I have already announced in the interruption that I will draw attention to this in two motions together with Mr Duisenberg.
ParlaMint-NL_2016-12-15-tweedekamer-10.u48	Then it would be nice if Mr Rog here would tell us what they are going to do for that 90%. What exactly is the proposal? Will Mr Rog ensure that the travel product is automatically stopped for all students? It seems to me that we will no longer have to talk about fines at all.
ParlaMint-NL_2016-12-15-tweedekamer-10.u49	That is exactly what is meant by one of the two motions I shall be tabling. I have reason to suspect that the Minister will say that this will not work, otherwise she would have taken care of it herself, but that is indeed the main intention we should have. In response to Mrs Siderius's interruption, I can certainly announce that my other motion relates to a point that I believe students have rightly raised, namely that they want to be informed sufficiently and in time. In particular, in the case of the first fine, they are not now informed without delay. I'd like to change that. That is why I have tabled a motion for a resolution. According to our proposal, students are warned twice. DUO informs them that the travel product must be stopped. The amendment tabled by Mr Duisenberg and myself also aims to reduce the fine for the first two periods of two weeks. During that period they will be informed once again that the fine is in place and that they will have to surrender the travel product. If they do not, Mrs Siderius' own responsibility will apply. After those two two-week periods, i.e. from the third period, the fine goes to the level of actual costs. We are talking about a fine here, but we are simply charging the costs to the person who wrongly owns the product.
ParlaMint-NL_2016-12-15-tweedekamer-10.u50	Suppose a student can prove beyond doubt that he or she did not travel after the study was completed. You can just log in these days and you can see what you've done. That's what students can do. Is the CDA willing to say that the student doesn't have to pay the fine? That wouldn't be fair.
ParlaMint-NL_2016-12-15-tweedekamer-10.u51	It is nice that Mrs Siderius links this to the statement that that would not be fair, but I have news for Mrs Siderius. We're in this house making rules. The rule that we make now is that students get a travel product that ends when the study is finished. We ensure that DUO reports this to the student on time and clearly. If they make a mistake, they will be granted a grace period and pay a very limited amount, i.e. half of the actual costs. This even happens twice, namely twice for two weeks. Then he or she will have to pay the actual costs. I don't know what's not fair about that. The rule is: you turn him in and then you charge the actual costs. I don't see what's not fair about that. Old students may best continue to use a travel right which they no longer have under the actual costs of the Labour Party and D66. These parties would be able to explain to the Netherlands why all other Dutch people are allowed to pay the full pound for public transport, but of course highly educated twenty-somethings are kept out of the wind. The student organisations of course do not want to lose this achievement. I get that. However, those entitled to benefits who find a job would also prefer to retain their benefit. At the same time, I believe that student organisations have a point about communication. I just said it when I was interrupting, but say it again now. We read that DUO was reading this in Mr Mohandis's research, sometimes using unclear introductory rules, and only late in the information that students were fined for wrongly possessing that O-Travel product. The CDA prefers to say that I say this to Mrs Siderius.... that the student card automatically stops after the right to this card expires. I will table a motion to that effect together with Mr Duisenberg. In addition, we believe that communication can be improved if automatic cessation is not possible. The CDA and VVD amendments combined with these motions provide a balanced approach to preventing calculated abuse. That is also a task of the government!
ParlaMint-NL_2016-12-15-tweedekamer-10.u52	The comparison with beneficiaries does not apply, because it was precisely the Labour Party and D66 who made a very constructive proposal to see how extra income is possible without fines. It would be nice if the CDA were to embrace this, but that's another discussion. The equation doesn't work. Mr Rog is mainly talking about dealing with those calculating students. That is at the heart of his speech. In response, I say: why is he targeting the students who can indicate that they have not traveled? Mr Rog says in his amendment: whether or not the right to travel has been exercised. In doing so, he undermines his own argument.
ParlaMint-NL_2016-12-15-tweedekamer-10.u53	I don't think it's nice if I repeat the reason. I have already done so in interruption and in my own term.
ParlaMint-NL_2016-12-15-tweedekamer-10.u54	Let me get this straight. Your amendment focuses on everyone. In the amendment, you say that having the card, having it in the inside pocket, without having used it, without having checked in, should also be fined. Is that fair?
ParlaMint-NL_2016-12-15-tweedekamer-10.u55	I will say it again: we have rules in the Netherlands. Students are entitled to an O.V. travel right for five years; that is a very long time. At some point, DUO will tell the student that the travel right will cease. 90% of students then pay attention, know and deliver the card. Then there's a small part that doesn't do that and of that there's another part that doesn't, calculated, consciously do this. Mr Duisenberg and I want to meet the part of that group that does not act consciously and reduce the fine during the first month. By the way, 50% of the former students who turn in the card too late with our proposal will be better off than with that proposal from the left-wing parties who want to let it all blow and get into the flattering of students. Our amendment will make 50% of the 'to-be-sent' countries better off. They return the card in the first month and pay a lower fine in that first month than in the Minister's proposal.
ParlaMint-NL_2016-12-15-tweedekamer-10.u56	When I look at that research, I really don't understand the latter. This is another assumption. It looks at the first month, without saying that in the second month the fine is simply doubled. Mr Rog says he is so proud of the right to travel. I will hold him to it in the years to come to guarantee the right to travel for all students in the Netherlands. They will be aware of that.
ParlaMint-NL_2016-12-15-tweedekamer-10.u57	We have now come to the end...
ParlaMint-NL_2016-12-15-tweedekamer-10.u58	Allow me to make one more comment, Mr President.
ParlaMint-NL_2016-12-15-tweedekamer-10.u59	I didn't hear another question.
ParlaMint-NL_2016-12-15-tweedekamer-10.u60	No, but Mr Mohandis is a little campaigning here and I know a few of them myself. Mr. Mohandis, a basic grant is more than a limitation of O.V. law.
ParlaMint-NL_2016-12-15-tweedekamer-10.u61	Now we have come to the end of the first term of office. I see the Minister can start her first term immediately. I now give the floor to our Minister for Education and Science.
ParlaMint-NL_2016-12-15-tweedekamer-10.u62	Mr. Chairman. Let us note that the student card is a great asset and that the students themselves think it is a good thing. They fought hard for the maintenance of this card in the framework of the study advance. It is also important to note that we have to try to recover the costs from people who use such a card improperly or are consciously out of calculation behavior. Such a thing applies to students as well as to other citizens, I would not like to make any misunderstandings about it. I also think that the suggestion that we should not tackle students, but other citizens, is wrong. It is my starting point for action to be taken against students who use the card improperly. That was also my starting point for the original proposal. We had a debate on this at the beginning. I suggested that the Chamber raise the fine. Through an amendment on the initiative of the two coalition groups, in this case by Mr Mohandis and Mr Duisenberg, the Chamber indicated that this would be unjustified and too soon. Then I had ResearchNed do research. This has shown that the problem lies not only with students who deliberately use this card in the wrong way, but also with the lack of information. I care about that. I believe that students should be given clear information and that they should also be able to be aware of the need to do something. Most students do that neatly, which was also rightly recalled. However, a 10% group does not. Earlier, the discussion was about how we can ensure that the good do not suffer from the evil. I think that is at the heart of the debate. I listened very carefully to the Chamber. Bearing in mind the Mohandis/Duisenberg amendment and what the Chamber has put forward earlier and further, and bearing in mind the results of ResearchNed's research, I have concluded that I have to do the following: I must, together with DUO, ensure that the provision of information to students is improved before we increase the fine. That's what I'm doing now; nothing more and nothing less. I am therefore open to further steps, if we can better distinguish the good from the bad. I am convinced that what I am doing now is fully in line with Mr Mohandis and Mr Duisenberg's amendment. I note that students are now also informed about the need to stop in different ways and at different times. How are students informed now? Mr Van Meenen and Mrs Siderius asked. Many Members of Parliament, including Mr Mohandis, asked whether it could not be simpler and whether we could not inform students more precisely.
ParlaMint-NL_2016-12-15-tweedekamer-10.u63	I'd like to ask the Minister a very simple question. How long will it take to improve this information?
ParlaMint-NL_2016-12-15-tweedekamer-10.u64	That's gonna take a while, 'cause that's pretty complicated. That was actually the essence of the part that I wanted to tell you about right now. Here we are asked why we cannot simply ensure that an OV card is automatically stopped at the end of the study period. I understand that suggestion very well. I fully agree with the Chamber that this would be the most logical option. Then nothing can ever happen again. The second option is to improve the information. That is what we are doing, but unfortunately that is not as simple as we might think.
ParlaMint-NL_2016-12-15-tweedekamer-10.u65	May the Minister first give me that piece of information... I just want to hear why it's not easy.
ParlaMint-NL_2016-12-15-tweedekamer-10.u66	I'd love to. If you sit down again, the Minister will move on. Go ahead.
