ParlaMint-NL_2016-02-16-eerstekamer-6.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-6.u30	Mr. Chairman. Today we are discussing a new, additional criminal ground for the loss of Dutch citizenship, namely preparatory acts for a terrorist crime or support in committing a terrorist crime. This description of the offence was included in our Code of Criminal Law in 2009. Participation in a terrorist organisation is already an existing basis for depriving the Netherlands, namely under Article 140a of criminal law, and in many cases is the more serious crime. My group calls on the government first of all to explain the added value of the new provision in relation to the existing one. The mere fact that the government has been called upon to do so by a motion from the Lower House, however prominent the proposers may have been, is not a convincing basis for this. I ask the question about the appropriateness of this bill also in the light of the fact that during the proceedings in the House of Representatives it emerged that a conviction of persons of multiple nationality under the new Article 134a has hardly, perhaps even once or twice, taken place. Can the Minister give us an update on this? The bill provides that in the event of a conviction based on the crime, as set out in Article 134a Criminal Law, the withdrawal of nationality, Dutch citizenship, may follow. The right to nationality is one of the most fundamental human rights and is enshrined, inter alia, in Article 15 of the Universal Declaration of Human Rights. My group also assesses the present legislative proposal from this fundamental rights perspective. First of all, this means that no citizen should become stateless. We see this not as a legal obstacle, but as a human right. This is provided for in both the UN Convention on Statelessness and the European Convention on Nationality. Those conventions prohibit the legislation of the States party to the Convention in which, by reason of the loss of nationality, persons concerned would become stateless, except in the event of fraud in obtaining nationality. This means that the Dutch citizenship can only be withdrawn from persons who also have a different nationality than the Dutch. My group notes that the government clearly recognises that these conventions set a clear limit on the power of a government to withdraw citizenship. This can only be done if the person concerned has a multiple, at least double, nationality. But even in that case, this very far-reaching measure must be applied with extreme restraint. In the written consultations, which took place in two rounds, we had an explicit exchange with the government of the fact that this measure can only be dealt with after an irrevocable criminal conviction. Can the Minister confirm that orally? Furthermore, in the written consultation, we have established that the withdrawal of Dutch citizenship after such an irrevocable sentence of punishment cannot in no way be an automatic mechanism. In this context, the seriousness of the crime and the measurement of the penalty play a role, as well as, in the reply, "special circumstances relating to the person of the offender and pressing humanitarian reasons." I ask the government to confirm that this indicates that the withdrawal of Dutch citizenship following a criminal conviction under Article 134a of criminal law cannot be automatic at all and that the Minister has a wide discretion in deciding on it. The European Convention on Nationality clearly states that loss of nationality is permitted only in the event of conduct which seriously harms the essential interests of the State party to the Convention. To what extent does the Minister consider that the condition of serious harm to the essential interests of the State, as laid down in this Treaty, constitutes, in some sense, a threshold clause? In my group's view, it is not conceivable that a minor should be deprived of his Dutch citizenship. Nevertheless, the Minister replied: "However, the minority does not necessarily stand in the way of the withdrawal of Dutch citizenship." Without wishing to lapse in this case, I ask the Minister what circumstances are conceivable in which a minor is deprived of Dutch citizenship while his parents are Dutch nationals. How, for example, could this lead to tension with the rights of the child under the UN Convention on the Rights of the Child, and I would like to point out, among other things, that Article 8 of the Convention on the Rights of the Child should be applied? Or should I refer this question to the Children's Ombudsman, while he is still in office? In the written consultation, the Minister needs remarkably many words for his argument that the withdrawal of Dutch citizenship is not a punitive measure, but merely an administrative measure. In several places in the reply, the Minister states that this is not an additional penalty or criminal measure. We wonder under what conditions the punished person could not perceive the loss of his nationality as punitive. I therefore repeat the written question from the PvdA Group as to whether it would no longer be obvious that the criminal court and not the minister could impose such a measure. Although such a ministerial decision is open to appeal to the administrative judge, that review by the administrative judge, especially in the Administrative Court of the Council of State, will have a much less broad scope than judicial review by the criminal court. In fact, the administrative judge's review is marginal. In addition, the measure is not affected by such a procedure. Is this a correct situation in a high-quality rule of law from the point of view of legal protection? The Minister remains of the opinion in the written consultation that the legal inequality between persons of Dutch nationality and persons of multiple nationality alone does not give rise to unequal treatment. However, as Professor Jessurun d'Oliveira stated in the Dutch Juristenblad in December 2015, this means that "monopatride Dutch people can cause serious harm to the essential interests of the Dutch state without any national consequences," while the bipatride Dutchman loses his Dutch citizenship. In the opinion of Jessurun d'Oliveira, the discriminatory aspects of this anti-terrorism legislation "dangerous ostrich policy, low effectiveness and logically unsustainable" are closed. I'm asking the Minister for a response to this. In the further reply, the Minister states that the withdrawal of nationality is regarded as a national competence. We are happy to admit to him that this is right when he refers to operational competence. However, when it comes to the substantive basis, Union law does come about. I would like to bet a good bottle of wine that the content of the European Convention on Nationality, although originating from the Council of Europe, can be considered to be part of the Community legal order. For example, the Minister will always want to be guided by global and European fundamental rights or by the statement of the European Court of Justice in the Rottmann judgment of 2010 that, although Member States are free to set up nationality law, they must comply with Union law. I am sure the Minister agrees with me on this, but I would like to offer him an opportunity to make sure that there is no misunderstanding. That's why I'm going to bring it up. My group is looking forward to the Minister's answers.
ParlaMint-NL_2016-02-16-eerstekamer-6.u31	Mr. Chairman. In his struggle with the violent regime of Adolf Hitler, Winston Churchill wrote in 1939: "It would be neither right nor reasonable if the power of aggression would enjoy a whole series of advantages by tearing up all the treaties, and yet another set of advantages by hiding behind the innate respect that its opponents hold against the law." Churchill found that the free countries were bound up with beautiful, well-meaning treaties. The peace-loving countries were put at a deadly disadvantage in his experience. Of course one fight isn't the other. The fight against the Nazi regime is a different one than against international Islamic terrorism, although the position of the Jews in both fights is striking. We must at least take Churchill's signal to heart. How do we prevent in itself very valuable treaties from unnecessarily hindering us in the fight against terror? We cannot flatter ourselves with the idea that we will win the war anyway. Treaties also sometimes need to be adapted to time. It's strange to suggest that marbles are chiseled in marble. Tightening up treaties is not in any way contrary to human rights. In his contribution as a Member of the House of Representatives, the Minister rightly stressed that treaties deserve modernisation on specific points. The SGP supports that commitment. The same applies to the European Convention on Nationality and the Convention on the limitation of Statelessness. Has the government received information from the Council of Europe on the vision and working methods of other treaty states? Does the government intend to play a leading role in bringing such conventions to the fore? The SGP considers it important to note that, on the basis of the current treaties, statelessness is not absolutely reprehensible. No matter how you turn it or turn it, statelessness is consciously accepted when nationality is obtained by false information. This is indeed a special situation, but, according to the SGP, if statelessness is acceptable because of deception, it must also be possible to do so in the case of terrorism. The first category is actually a matter of administrative justice, while in the case of terror many lives may be at stake. Does the government want to give this a profound weighting? Are we at this point, with all good intentions, not too much of an accounting mentality? When it comes to the loss of Dutch citizenship, the government is going down very briefly.
ParlaMint-NL_2016-02-16-eerstekamer-6.u32	Should I understand Mr Van Dijk's speech in such a way that he would have no problem with removing thresholds for statelessness? I myself was raised thinking that in God's house there is a room for everyone. I also hope that the fundamental human right to a nationality that every person has will not be questioned by Mr Van Dijk.
ParlaMint-NL_2016-02-16-eerstekamer-6.u33	I'm happy to answer that question. First of all, I noted that the treaties at present do not make statelessness completely impossible. In the event of fraud, we seem to find that acceptable. Why shouldn't we find that acceptable in the event of terror? I'll put that question to the Minister. Isn't that much worse? As far as I am concerned, as they are now drawn, the limits are negotiable. I'd be happy to present that to the Minister. Also when it comes to the automatic loss of Dutch citizenship, the government goes very quickly. The former Minister Opstelten has stated that there is no legal room for automatic loss. I think that is a curious statement, because the European Convention on Nationality states that the loss of nationality is automatically set out in plain and simple terms. It's about the strange military service. It is reasonable to include the modern forms, such as participation in the IS-hordens with whom the Netherlands is in battle, under this ground as well. That was precisely the focus of the Dijkhoff motion which is the basis of this proposal. I would therefore like to hear a more detailed explanation. If the government really believes that the withdrawal of Union citizenship always requires a test of proportionality, what is the reaction of the government to the fact that the interpretation of the European Court of Justice is clearly contrary to the text of the Treaty? In any case, isn't that a reason for a thorough revision of the Treaty? In support of the proposal, the Government refers to the Rottmann judgment. I would point out that the need for proportionality in this case is motivated by two important circumstances. Firstly, Union citizenship was at stake because it was obtained by deception; secondly, the result of statelessness was at stake. Does the government recognise that there is room for automatic loss outside these situations? Why is this space not being used in situations where Union citizenship and statelessness are not at issue?
ParlaMint-NL_2016-02-16-eerstekamer-6.u34	I would like a little more clarification on the position of Mr Van Dijk or his group. He used to say cheating wasn't as bad as terror. Now he indicates that there must be a proportionality test in the event of fraud. The European Court of Justice has decided in the Rottmann case that nationality cannot be lost by law. Mr Van Dijk wonders why, in the event of terror, one could not automatically lose one's nationality, even though he just pointed out that fraud was less serious than terror. If this requires all this proportionality test, why should it not be possible in the event of terror?
ParlaMint-NL_2016-02-16-eerstekamer-6.u35	I'm not sure I understand you very well. I would like to make the point that I have the impression that a very specific judgment, the Rottmann judgment, is drawing very general lines, whereas in that case two important elements were involved. Union citizenship was at stake because of the acquisition by deceit and the threat of statelessness. My argument is that there is room for the loss of nationality automatically if these two elements are not at stake.
ParlaMint-NL_2016-02-16-eerstekamer-6.u36	In the judgment, the Court has no connection whatsoever with these two specific cases. Becoming stateless is important, but the Court also makes it very clear that the general principle is always to act in accordance with the principle of proportionality of Union law. That contrasts with automatic automatic withdrawal, doesn't it?
ParlaMint-NL_2016-02-16-eerstekamer-6.u37	I don't believe that. As I said, you can also automatically lose your nationality at this time, for example by joining a foreign power. There's that option now.
ParlaMint-NL_2016-02-16-eerstekamer-6.u38	The Rottmann judgment concerned Union citizenship under the Treaty on European Union. There is also the European Convention on Nationality. I think you're confusing two different review frameworks.
ParlaMint-NL_2016-02-16-eerstekamer-6.u39	Maybe we'll talk a little bit past each other. I promise Mrs. Strik to take a closer look at it in a moment and otherwise I'll walk by her door.
ParlaMint-NL_2016-02-16-eerstekamer-6.u40	In my opinion, the decision to deprive the Netherlands is a decision within the meaning of the Awb, in which the proportionality test applies to everyone. Why wouldn't that apply to these people?
ParlaMint-NL_2016-02-16-eerstekamer-6.u41	I note, then, that the interpretation of the European Court seems to contradict the text of the Treaty. Even now it is the case that when a foreign military force is engaged, loss of Dutch citizenship is automatically possible.
ParlaMint-NL_2016-02-16-eerstekamer-6.u42	In my view, it is a decision within the meaning of the AWB, whereby the proportionality test applies to everyone. Then why doesn't it apply to these people?
ParlaMint-NL_2016-02-16-eerstekamer-6.u43	Even when it comes to cheating and so on, one can become stateless, also independently of the proportionality test.
ParlaMint-NL_2016-02-16-eerstekamer-6.u44	I propose that Mr Van Dijk continue his speech.
ParlaMint-NL_2016-02-16-eerstekamer-6.u45	I have another question. We are also talking here about the addition of Article 134a criminal law, which is about help and assistance in preparing, for example, a terrorist act. That can be very limited, as I just said. I'm thinking collect, look things up on the Internet, or hand and tension services. I heard Mr Van Dijk say that this means that the Dutch community must be deprived of its rights. Did I hear that right?
ParlaMint-NL_2016-02-16-eerstekamer-6.u46	In principle, I would like to say in this legislative proposal that anyone who deals with terrorist activities, for example in support of ISIS, loses the Netherlands, so without any legal detours or reservations. As far as I am concerned, that should be the strength of this bill. Mr. Chairman. In the case of terrorists, if we are sometimes limited by the prohibition of statelessness, it is important for the SGP Group to keep the difference between terrorists as small as possible. It is difficult to digest the fact that a terrorist of Dutch nationality alone is better off than a double-national terrorist who cannot be deported. As a foreigner, the latter has significantly less rights in the Netherlands. It would be good if the terrorists who are allowed to retain Dutch citizenship were to be deprived of as many privileges as possible of citizenship. Can the government tell us how she's handling this? What opportunities does it see to reduce the inequality between terrorists in this way? The aim of the bill is to enable terrorists to be deported as appropriate. I would therefore like to make the following point. Western Europe is also facing horrific terrorist attacks. If the perpetrators survive, the question arises as to what is a just punishment, which does justice to the suffering of victims. In several countries, terrorists can receive the death penalty, as in the United States. A terrifying punishment, no misunderstanding about that. However, in the eyes of the SGP, this could be a just punishment in the event of extreme terrorist violence; I only mention Paris. Whoever takes the created life seriously is willing to think about it. It is not a sign of humanity if the death penalty is not possible under any circumstances. In a substantial part of our society, this sense of justice is dormant. Now, however, if a terrorist commits an attack in the US, for example, and he flees to the Netherlands, he cannot be extradited to the US, because he can get the death penalty there. If Osama bin Laden had been arrested in the Netherlands, he would not have been extradited to the US. Is that fair?
ParlaMint-NL_2016-02-16-eerstekamer-6.u47	I see that Mr Engels is trying to interrupt.
ParlaMint-NL_2016-02-16-eerstekamer-6.u48	I haven't really heard a point yet, but you're giving me the floor, Mr President, so I'm going to start soon. Mr Van Dijk talks about the possibility that the death penalty should not be ruled out in all cases. Do I understand that he thinks that this discussion should also be held in the Netherlands within our legislative bodies? If so, could he also point the way along which we should do so? This will require constitutional change. I therefore believe that we are in conflict with at least two treaties. Does Mr Van Dijk have the idea that we, as civilized society, are not going to take a step back?
ParlaMint-NL_2016-02-16-eerstekamer-6.u49	I'd like to answer that question. The focus of my comments is, of course, on extradition. I mentioned the example of Osama bin Laden. If he had fled to the Netherlands in a manner of speaking, the Netherlands would not hand him over to the US because he could receive the death penalty there. Then I doubt that's reasonable. Is it up to us to dictate to such a democratic state, which America is, that it should be and that it should be, and that and that enforcement we find acceptable or not? That is the point I want to make here, precisely towards a rule of law such as America, which is an ally in the fight against terror. If you wish, we can, of course, discuss the whole debate on the pros and cons of the death penalty. I hope we can afford to put that discussion aside for as long as possible, but if you let 9/11 and Paris soak on you, it is only a question of whether you should not even engage in that discussion, also because a substantial part of the population has the sense of justice that the death penalty should be possible in certain extreme terrorist cases.
ParlaMint-NL_2016-02-16-eerstekamer-6.u50	With regard to the invitation to take part in the debate, which is very sporty, I say that we should not do so, because we are talking about a different subject now. In any case, I do not support the invitation that is implied in your speech to have that discussion here, because I doubt whether there is at all a substantial part of the population that would like to have this discussion or feel unheimous about it. I think we're really gonna take a step back. So I hope that I do not have to go through that as long as I am part of this legislative body.
ParlaMint-NL_2016-02-16-eerstekamer-6.u51	Your speech is clear. It is precisely when you put the value of life very high, what the SGP does, that you have to ask yourself whether when someone is massively engaged in life, he should not be able to face the highest punishment. So in that sense, thinking about the death penalty has everything to do with the high value we attach to life. I was just talking about the extradition of terrorists to the US, for example, which is now, by definition, impossible. I ask the Minister: is this not an presumptuous course of action towards such democratic states of the law, which are, in any case, allies in the fight against terror? Is the Minister prepared to question this course of action?
ParlaMint-NL_2016-02-16-eerstekamer-6.u52	Mr. Chairman. In the opinion of the Group of the Party of European Socialists, Article 1 of the Constitution, and the principle of proportionality, the draft law to extend the possibilities for depriving the Netherlands of terrorist offences, as it now stands, is contrary to the European Nationality Convention, Article 1 of the Constitution and the principle of proportionality. It is, of course, very important that action be taken against persons and organisations that threaten our rule of law, but let us not do so by putting it at the expense of our constitutional principles. In the fight against terrorism, it is important to keep a cool head and to cherish the values of our rule of law. I come to the legality of the bill. In the opinion of the SP Group, the bill is contrary to the European Convention on Nationality. The European Nationality Convention lists cases to which a State may attach the loss of its nationality. States should not create new loss provisions outside that list. Article 7 (1) (d) of the European Convention on Nationality provides that the Netherlands may be deprived of its status if a person has been convicted of serious damage to vital interests. The current Article 14 (2) of the Rijkswet op het Nederlanderschap is associated with this and the Minister may withdraw the Dutch citizenship if the person has been irrevocably convicted of a crime in which serious damage has been caused to the essential interests of the Kingdom or of one or more countries of the Kingdom. This is a crime which is directed against the State and its institutions and which contains a serious violent or hostile element. With the bill as it stands, it is out of the box. It follows from the legislative proposal that if a person is convicted of committing terrorist activities or preparing such activities, however limited, and although no attack has taken place, the Minister may deprive the Netherlands of the Dutch citizenship. In the view of the SP Group, an infringement of Article 134a of the Code of Criminal Law does not necessarily lead to serious damage to the essential interests of the Kingdom. By including Article 134a of the Code of Criminal Law in Article 14 (2) of the Rijkswet op het Nederlanderschap, a convicted person for Article 134a of the Code of Criminal Law runs the risk of being deprived of his Dutch citizenship. This will create a new loss clause outside the list of the European Nationality Convention. In the note following the report, number 5, the Minister writes on page 4, in the middle of the page, that, in his opinion, a criminal conviction based on Article 134a of the Criminal Code will almost always involve conduct that seriously harms the essential interests of the Dutch State. So the Minister doesn't rule out that it's not always there. The inclusion of Article 134a of the Code of Criminal Law in Article 14 (2) of the Rijkswet also applies to cases where no serious damage has been caused to essential interests, in the opinion of the SP Group, outside the framework of Article 7 of the European Nationality Convention and is therefore contrary to the European Nationality Convention. I'd like a response from the Minister to this. Furthermore, the legislative proposal is contrary to Article 1 of the Constitution and to the principle of non-discrimination. Only the Dutchmanship of Dutch people with a dual nationality can be taken away, but not that of Dutch people with only Dutch nationality. The Minister claims that there is no discrimination because equal treatment would lead to statelessness for the Dutch with only Dutch nationality. This is contrary to a higher regime, namely Article 7 of the European Convention on Nationality, which prohibits the emergence of statelessness. The Minister forgets one thing in that reasoning. There is an open way to equal treatment in accordance with the European Nationality Convention: simply do not involve any nationality law consequences in the conviction of Article 134a of the Criminal Code. Contrary to the Minister's view, the distinction is therefore not necessary. If the withdrawal of nationality is not possible for Dutch people with a single nationality, it is also not possible for Dutch people with a double nationality who are guilty of the same fact. This would also be more appropriate to another principle of the European Nationality Convention laid down in Article 5 (2), which requires States to be guided by the principle of non-discrimination between their nationals, whether they are nationals by birth or subsequently acquired nationality. The same principle certainly aims to promote equal treatment between Dutch nationals with a single and double nationality. This principle is essential for cohesion in Dutch society. The option to refrain from withdrawing Dutch citizenship and, above all, to allow criminal law and prevention to do their job in terrorist acts is preferable to discrimination in withdrawing Dutch citizenship. In the opinion of the SP Group, the bill is also contrary to the principle of equality because Dutch people of dual nationality are more severely punished if they are convicted under Article 134a of the Code of Criminal Law. In addition to a criminal conviction, they are subject to an administrative measure which is not granted to a Dutch person of a single nationality. Furthermore, in the opinion of the SP Group, the proposal is contrary to the principle of proportionality. Could the Minister explain why criminal law as a means of repression is not sufficient for Dutch people of dual nationality convicted under Article 134a of the Code of Criminal Law? What is the need, in addition to the criminal conviction, to impose the administrative measure again? Is that the withdrawal of the Dutchmanship? To what extent is the imposition of an administrative measure with these extreme consequences, in addition to criminal prosecution, still proportionate? In my group's opinion, the Minister is shooting a cannon at a mosquito! Then I come to the feasibility and enforcement of the bill. Article 14 (2) of the Rijkswet op het Nederlanderschap has been in existence for a long time. How many times has the administrative withdrawal measure already been used? Can the Minister indicate whether the Dutchmanship has since taken place on the basis of Article 14 (2) of the Rijkswet op het Nederlanderschap? And if so, how many persons are involved? How many of these are former Syrian fighters or Syria fighters? Where are these people now? Are they put out of the land, are they in foreign custody, are they untraceable? Today, the First Chamber also discusses the termination of the treaty with Morocco. Upon termination of the Convention, it is expected that persons whose Dutch citizenship is withdrawn and who retain Moroccan nationality will not be taken over by Morocco. In addition to Dutch nationality, most Dutch Syrian fighters also have Moroccan nationality. The SP Group wonders what the minister thinks is going to do if they cannot be deported from the Netherlands. Does the Minister expect Morocco to take over a terrorist? How morally responsible is it for one state to deport his terrorist to another state? Does the Minister intend to consult the other State prior to the decision to withdraw the nationality of a national? Is the Minister not creating a security risk by taking away from these persons the Dutchmanship and turning them into illegal foreigners in the Netherlands? What's the Minister gonna do with these people? In its opinion of November 2015, the Council of State states that the withdrawal of nationality may also hinder the return of a traveler who wishes to withdraw from the terrorist organisation and who himself is no longer a threat. It is not unthinkable that the impossibility of return has an adverse effect on the intention to withdraw from the organisation. It is not entirely clear that this unintentional further radicalisation can contribute to further radicalisation, including with regard to the environment of the person concerned in the Netherlands, with possible adverse effects on the safety of the Kingdom. What is the Minister's response to this? Is the Minister insisting that those who are deported are not tortured in the countries to which they are deported when it is known in that country that they are a terrorist? On the basis of the two cases in which there was no conviction of the defendants, the Minister considered it necessary to enter this bill. Can the Minister imagine that Dutch people with an Arab background, who cannot renounce their non-Dutch nationality, feel stigmatized by this bill? Can the Minister explain to what extent this legislation contributes to cohesion in the Netherlands? In the opinion of the Group of the Party of European Socialists, solutions such as combating youth unemployment, drop-outs, preventing isolation and helping and assisting young people with psychological problems should be considered. Terrorism doesn't fight with banishment. The SP Group looks forward with interest to the Minister's reply to the questions.
