ParlaMint-NL_2016-09-06-tweedekamer-8.u1	At the request of a number of Members, I propose that the following motions be renewed: 31839-518; 34351-9; 33959-6; 28286-864; 32336-48; 29683-212; 31936-348; 31936-347; 31936-346; 34300-XIII-37; 34300-XIII-38; 31936-311; 31936-312; 34199-63; 28345-147;28345-148; 28345-149; 29984-649;31409-99; 28973-150; 27858-314; 34087-4; 28973-51; 34300-XIII-131;27428-251; 34300-XIII-50; 34000-XIII-118; 33043-17; 31239-159; 31239-158; 3026-454; 306-394; 34000-XVII-31; 34000-VIII-51; 32735-134; 26485-205; 33495-89; 31293686. At the request of the applicant, I propose that the debate on prisoners processing medical data be removed from the list.
ParlaMint-NL_2016-09-06-tweedekamer-8.u35	GroenLinks considers nuclear safety to be a very important issue. This is part of it. I would therefore prefer to have a debate on the slightly broader issue of nuclear safety, with the focus on Petten. For this, Mrs Van Veldhoven receives all the support of GroenLinks.
ParlaMint-NL_2016-09-06-tweedekamer-8.u36	I also intended to go wider, but I would like to thank GroenLinks for explaining this point.
ParlaMint-NL_2016-09-06-tweedekamer-8.u37	There must be no ambiguity about the transport of nuclear waste. After all, this is about our safety. The CDA is in itself a supporter of nuclear energy, but it should not be questioned. I therefore support the request for this debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u38	The Christian Union has also often asked Parliament questions about the situation in Petten. It's very worrying. I therefore wholeheartedly support the request for this debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u39	Support on behalf of the SP Group.
ParlaMint-NL_2016-09-06-tweedekamer-8.u40	It's fine to discuss this subject, but that can just happen during a regular AO. As far as I am concerned, this does not have to be done in plenary.
ParlaMint-NL_2016-09-06-tweedekamer-8.u41	I follow all letters with interest. With a regular AO, I think it is also mentioned earlier. I think that's better.
ParlaMint-NL_2016-09-06-tweedekamer-8.u42	I believe that this issue is worth a plenary debate. That's why I support the application.
ParlaMint-NL_2016-09-06-tweedekamer-8.u43	There is no majority in the Chamber for holding a debate on this, Mrs Van Veldhoven.
ParlaMint-NL_2016-09-06-tweedekamer-8.u44	Then I would like to make an application for a 30-member debate, Mr President. We will see whether the parties who do not think it is worth having a debate on this at the moment consider nuclear safety to be so important that they will participate in the 30-member debate. Of course, this is not about whether you are for or against nuclear energy. This is really about safety. For example, the VVD Group often says that safety is very important. So perhaps that group also wants to participate. Or, of course, if Mr Dijkstra wishes to support the application, it would speed up the planning process. Let him think about that again.
ParlaMint-NL_2016-09-06-tweedekamer-8.u45	We will add this debate to the list of 30 Members' debates. Mrs Van Veldhoven has the floor again. She wants to make another request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u46	Yes, Mr. Chairman. For the sake of time, we do not usually ask for letters from the cabinet, but this is a letter that relates to the debate on gas extraction next week. We are always discussing how far we can reduce gas extraction without compromising security of supply. Now, however, there are reports in the press that companies would have too much Groningen gas. That's a very strange situation. It seems important to me that we get clarity on that point. What's the real deal here? That is why I am asking for a letter from the Minister responding to this situation, so that we can include it in the debate next week in which we are going to determine the level of gas extraction again. That is why I am making this request for this letter during the plenary session.
ParlaMint-NL_2016-09-06-tweedekamer-8.u47	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I now give the floor to Mr Pieter Heerma on behalf of the CDA.
ParlaMint-NL_2016-09-06-tweedekamer-8.u48	Mr. Chairman. In July, there was a great deal of concern and turmoil as a result of the news that a salafistic school or a salafistic teaching centre would be set up in Rotterdam. Minister Asscher said at the time that he thought this was undesirable but legal. At the end of August, it appeared that this teaching centre is funded by a controversial organisation in Qatar associated with terrorist financing in Afghanistan, Syria and Iraq. So there is every reason to debate how this funding can be stopped, especially now that Minister Schippers, on behalf of the cabinet, has said that this kind of money must be blocked.
ParlaMint-NL_2016-09-06-tweedekamer-8.u49	Maybe we can expand the discussion. Salafists are discussed here every week. Let us also examine the money flows from abroad to the PVV, and money flows from the Netherlands to other countries. If the subject is extended in this way, I am prepared to support the request for this debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u50	My group certainly supports this request. I would also like to receive a letter from the Cabinet which states the latest state of play on this matter. What do people know and what do they not know?
ParlaMint-NL_2016-09-06-tweedekamer-8.u51	My group also supports this request. Motions have also been adopted on this point. I would like the letter to describe how these motions have been carried out. Some motions have been stuck in the pipeline. We don't know what the fate of it is. I like to get clarity about that.
ParlaMint-NL_2016-09-06-tweedekamer-8.u52	On 24 August I asked written questions about this together with my colleague Mr Wilders. I'd like them answered quickly. This can possibly be done in conjunction with that letter. Of course, my group supports the request for a rapid debate on this matter.
ParlaMint-NL_2016-09-06-tweedekamer-8.u53	Transparency is always and everywhere good. That is the view of D66. Transparency is therefore good here too. We support the application.
ParlaMint-NL_2016-09-06-tweedekamer-8.u54	Support of 50PLUS.
ParlaMint-NL_2016-09-06-tweedekamer-8.u55	I, too, support the application. There was also talk earlier in the summer that there would have been a list of mosques financed from Saudi Arabia and the Gulf States from Foreign Affairs. We have also asked questions about this, and I would like to include that in this. I would also, of course, like to hear about the implementation of a number of motions adopted in this area. Those motions were adopted in Parliament, while the government does not seem to be doing any work.
ParlaMint-NL_2016-09-06-tweedekamer-8.u56	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u57	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u58	We also support the debate, and I would like to take into account the current situation in Rotterdam in that letter. There's also research into that current now. I want that included in that letter. Then we can debate on the basis of facts.
ParlaMint-NL_2016-09-06-tweedekamer-8.u59	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u60	Support for the CDA's request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u61	You have a majority, Mr Heerma. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Van Toorenburg on behalf of the CDA.
ParlaMint-NL_2016-09-06-tweedekamer-8.u62	Mr. Chairman. We have once again had to see reports on television showing that seizures by the police are very problematic and that they disappear into a black hole. Today's report has been published, but also by the National Ombudsman. The CDA Group wants a debate on this because it is a worrying development. Citizens need to be able to trust that when cases are seized, a careful procedure will be followed.
ParlaMint-NL_2016-09-06-tweedekamer-8.u63	In terms of speed, I would like to include this point in the AO Police Office on 6 October.
ParlaMint-NL_2016-09-06-tweedekamer-8.u64	So for the time being, no support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u65	I think that is best, so I agree with Mr Helder.
ParlaMint-NL_2016-09-06-tweedekamer-8.u66	We don't give any support either. Perhaps it is good to get a letter from the cabinet on the latest state of affairs, but let us involve this in the AO in October.
ParlaMint-NL_2016-09-06-tweedekamer-8.u67	I think it will be a little faster if we involve this in the AA, but I certainly agree that we need clarification about this and that a letter is therefore necessary.
ParlaMint-NL_2016-09-06-tweedekamer-8.u68	Support, though.
ParlaMint-NL_2016-09-06-tweedekamer-8.u69	You have no majority, Mrs Van Toorenburg. There is, however, a request for a letter.
ParlaMint-NL_2016-09-06-tweedekamer-8.u70	Fine. I will then make sure that it is on the agenda through the procedural meeting, but I have one more request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u71	I propose that the stenogram of this part of the meeting be transferred to the cabinet. Please continue.
ParlaMint-NL_2016-09-06-tweedekamer-8.u72	Mr. Chairman. The Woenselse Gate is a tbs and ggz institution in Brabant that we are very worried about. Call Brabant has dedicated a whole program to that. He has spent a whole week raising all the alleged abuses there. I think it is very important to have a debate on this. I know that the inspection is carrying out an investigation, but I also know that a debate will not be possible tomorrow. It is very important to restore peace there. If what has come out there is true, it is a very worrying situation with security risks. If things are not true, it is also important that they are investigated and discussed here. That is why we would like to have a debate on all the reports about De Woenselse Poort.
ParlaMint-NL_2016-09-06-tweedekamer-8.u73	I agree. Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u74	We support a debate but only after that inspection report and a reaction from the cabinet.
ParlaMint-NL_2016-09-06-tweedekamer-8.u75	I agree with that.
ParlaMint-NL_2016-09-06-tweedekamer-8.u76	A debate as soon as possible.
ParlaMint-NL_2016-09-06-tweedekamer-8.u77	In itself, this problem has long been known. It's a recurring problem. I'd be ready to wait for that inspection report first.
ParlaMint-NL_2016-09-06-tweedekamer-8.u78	Support from the Christian Union.
ParlaMint-NL_2016-09-06-tweedekamer-8.u79	You have a majority in favour of holding a debate, Mrs Van Toorenburg.
ParlaMint-NL_2016-09-06-tweedekamer-8.u80	Members rightly indicate that they would like to include the inspection report. I think that's important, too. Then we can have a thorough debate on it.
ParlaMint-NL_2016-09-06-tweedekamer-8.u81	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Potters on behalf of the VVD.
ParlaMint-NL_2016-09-06-tweedekamer-8.u82	Mr. Chairman. Last week, the Volkskrant said that in more than half of the cases pgb declarations are not good. This is worrying news, because the Secretary of State has promised pgb-holders and caregivers that their problems will be solved and that people who fraud and abuse care money will be tracked down. These people have been in uncertainty for a year and a half. It's got to end soon. It is high time for the Secretary of State to ensure that this is resolved. That is why I would like to request a debate with Secretary of State Van Rijn in response to this report.
ParlaMint-NL_2016-09-06-tweedekamer-8.u83	The fact that there are about 800,000 non-legal declarations is extremely disturbing. The Secretary of State will have to have a short-term story about this. I have another debate on the pgb on the long-term schedule, I have just heard. My proposal is to bring it together and plan that debate next week, because the Secretary of State is once again in great difficulty after two motions of censure.
ParlaMint-NL_2016-09-06-tweedekamer-8.u84	I think the subject of pgb has been the most debated in this house lately. I wholeheartedly support the request, but if we can bring both debates together, I think that is fantastic.
ParlaMint-NL_2016-09-06-tweedekamer-8.u85	800,000 claims that apparently don't comply with the rules. What rules have we come up with which people who depend on care are slowly going crazy?
ParlaMint-NL_2016-09-06-tweedekamer-8.u86	Do you support the request?
ParlaMint-NL_2016-09-06-tweedekamer-8.u87	Hence my proposal to stick to Mrs Agema's 30-member debate and to bring it up here as soon as possible. So if Mr Potters wants to implement his request in this way, I support him in that.
ParlaMint-NL_2016-09-06-tweedekamer-8.u88	GroenLinks is also keen to engage in the debate on the impossible system we have built for people. So we would very much like to have that debate, but I think it would be more logical to do so than through Mrs Agema's debate. Then Mr Potters, who, in my view, did not support that request, can add his request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u89	Support for the debate. But I do have the date of October 1st. Could it be before that date, left or right? That is a crucial date in this dossier, because then our control system will change again. I therefore call for an early approach.
ParlaMint-NL_2016-09-06-tweedekamer-8.u90	Support, combined with Mrs Agema's debate. For the debate, I would like to have an overview of the Ministry with an analysis of what results from mistakes made by people and some of the rules that are difficult to interpret or perhaps conflict with each other.
ParlaMint-NL_2016-09-06-tweedekamer-8.u91	The pgb system is still too complicated. What we now find with each other is a consequence of that. I would very much like to talk about this, but I really want to do it in a broad context. That is why, like other colleagues, I propose that Mrs Agema's debate be taken as a starting point, after which Mr Potters joins us.
ParlaMint-NL_2016-09-06-tweedekamer-8.u92	D66 supports Mrs Agema's proposal. We too think it is important to talk about the personal budget in a broad sense. Mrs Keijzer and I asked for a letter on the current problem. We received a letter from the Secretary of State at the beginning of this week, stating that he does not yet have all the information. I think it is a condition that this letter should be available in good time, so that we can also know more about the current problem.
ParlaMint-NL_2016-09-06-tweedekamer-8.u93	Support for a broad debate, but that is what Mr Bergkamp said about the letter. In doing so, it does justice to what Mr Dijkgraaf suggests, namely that we really need more information. That letter could possibly provide for that. Then we can have a broad debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u94	Mr Potters, there is support, but in conjunction with Mrs Agema's debate, which is on the list.
ParlaMint-NL_2016-09-06-tweedekamer-8.u95	I have no problem combining my debate with Mrs Agema's. We also supported the request for a letter. It is good to have a broad debate on this. This may not be possible immediately next week, but it will be possible as soon as possible.
ParlaMint-NL_2016-09-06-tweedekamer-8.u96	This House-wide support is a very important signal. My question was to schedule the debate next week for the General Political Reviews. Otherwise the debate will not take place until next month. That would be a very big problem.
ParlaMint-NL_2016-09-06-tweedekamer-8.u97	I'm not promising anything, but I'm gonna see what I can do. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Grashoff on behalf of GroenLinks.
ParlaMint-NL_2016-09-06-tweedekamer-8.u98	Mr. Chairman. In Ireland, Apple has to pay 13 billion tax in the European Commission's post-tax. The Irish government and Apple were there as the chickens to cry out that it was crazy and that they appealed. Our Finance Minister has made firm statements about this and said that Apple lacks a moral antenna. But when Starbucks received a post-tax of 20 to 30 million compared to this for exactly the same reason a while ago, the Secretary of State for Finance was there as the chickens to say that he would appeal. Does the cabinet speak with one mouth, or does it speak with one mouth, but is the shirt closer than the skirt?
ParlaMint-NL_2016-09-06-tweedekamer-8.u99	Do you want a debate?
ParlaMint-NL_2016-09-06-tweedekamer-8.u100	I would like to have a debate on this and I would like to know whether he will then respond to the Commissioner's call for post-taxation.
ParlaMint-NL_2016-09-06-tweedekamer-8.u101	The fact that Brussels should not interfere with taxation in Ireland is really a very hard thing. But this is a matter between Ireland and Apple, so we do not have to debate it here.
ParlaMint-NL_2016-09-06-tweedekamer-8.u102	I do support the request for a debate, because I am also very curious about what all this means, including for Dutch practice. The Secretary of State always says everything is in accordance with the rules. Well, let's have a good debate on that with this case in hand.
ParlaMint-NL_2016-09-06-tweedekamer-8.u103	On behalf of the CDA Group, I would like to say that she supports the request for a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u104	I should first like to receive a letter from the cabinet explaining this little contradiction in the explanation. Then I'll see if there's a need for a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u105	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u106	Support for a letter and support for the request for a debate, because it is a very important statement from the European Commission, which can also have an impact on tax practice in the Netherlands. Congratulations on your support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u107	I think everyone has looked with surprise at the rates paid in respect of taxes. We want a letter first. Then we can decide whether we want to have a debate. We therefore do not support the request for a debate at this stage.
ParlaMint-NL_2016-09-06-tweedekamer-8.u108	We support the request for a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u109	There is a majority in favour of holding a debate, Mr Grashoff. I propose that the stenogram of this part of the meeting be transferred to the cabinet.
ParlaMint-NL_2016-09-06-tweedekamer-8.u110	The letter shall form part of it, on the basis of the requests.
ParlaMint-NL_2016-09-06-tweedekamer-8.u111	Thank you. I now give the floor to Mr Madlener on behalf of the PVV.
ParlaMint-NL_2016-09-06-tweedekamer-8.u112	Mr. Chairman. The undemocratic Brussels bureaucrats have done it again: they have once again thought that a mileage tax must be introduced throughout the European Union. Knowing Brussels, they are going to push that slowly but surely. We're just getting out of here and Europe is thinking: we're gonna do it all over Europe. Of course, that's going to cost our drivers a lot of money. I would like a letter from the government with a position. I would like to know how the Dutch Government has indicated to the Brussels bureaucrats that this is absolutely essential. I would like to have a debate with this Chamber in order to clarify this.
ParlaMint-NL_2016-09-06-tweedekamer-8.u113	We are dealing with car taxes ourselves, so I wholeheartedly support Mr Madlener's request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u114	I can see that I have missed Mr Madlener for the last two months. We wholeheartedly support his request. I think it would be a good idea to have a car debate in the run-up to the elections anyway.
ParlaMint-NL_2016-09-06-tweedekamer-8.u115	Mr Hoogland, have you missed Mr Madlener?
ParlaMint-NL_2016-09-06-tweedekamer-8.u116	I certainly missed him on this subject, too. After all, we know how he feels about this. I do wonder whether we should now plan a debate on this, because we will soon have the Transport Council. That's the time to talk about it. I would like to support the request for a debate on this, because I think it is an important subject. But in practical terms, it comes at the bottom of a very long list. Think about it again.
ParlaMint-NL_2016-09-06-tweedekamer-8.u117	May I, Mr. Chairman?
ParlaMint-NL_2016-09-06-tweedekamer-8.u118	No, no, Mr Grashoff first.
ParlaMint-NL_2016-09-06-tweedekamer-8.u119	The road pricing is about to take place, and I think this debate is going to contribute to that. We therefore wholeheartedly support the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u120	As far as the VVD is concerned, road pricing is not going to happen, especially from Europe: we should not do anything. We support Mr Madlener's request, but like Mr Hoogland, I would like to inform Mr Madlener that we may be able to involve him in the AO on the Transport Council. The sooner we can talk about this, the better.
ParlaMint-NL_2016-09-06-tweedekamer-8.u121	I have the same opinion as Mrs Visser: support for the request for a debate, but it might be better to do so in the AO on the Transport Council.
ParlaMint-NL_2016-09-06-tweedekamer-8.u122	The Christian Union would like to support the request, but I can imagine that there is a quicker way to deal with this issue. In any case, my group needs a cabinet position. I think that's a good first step.
ParlaMint-NL_2016-09-06-tweedekamer-8.u123	We also support the request for a cabinet position. In my view, they do not quite realize in Brussels that this kind of thing is not very useful, to put it mildly. At least we do not support such things, but we do support the debate on this subject.
ParlaMint-NL_2016-09-06-tweedekamer-8.u124	There is a majority in favour of holding a debate, but it has also been given to involve this issue in the debate on the Transport Council next week.
ParlaMint-NL_2016-09-06-tweedekamer-8.u125	Mr President, I should like to ask you a question. I do not have a look at the debates, but I do now wonder...
ParlaMint-NL_2016-09-06-tweedekamer-8.u126	I do.
ParlaMint-NL_2016-09-06-tweedekamer-8.u127	I know it's a very long list. I am glad that this debate is supported by the Chamber, but it must of course be able to be scheduled well before the elections. I wonder if that's gonna work, or are we actually doing nothing again?
ParlaMint-NL_2016-09-06-tweedekamer-8.u128	We have 82 majority debates on the list, and I am not talking about the thirty-member debates. Budgetary discussions and the General Political Reviews are also taking place. So I don't think it's going to be easy.
ParlaMint-NL_2016-09-06-tweedekamer-8.u129	I would, of course, like to leave the debate. That does not alter the fact that we can talk about it in the short term, if the letter with the cabinet's position comes soon. We are waiting for it, but I think that the question of whether all these arrangements and debates still make sense should be answered.
ParlaMint-NL_2016-09-06-tweedekamer-8.u130	Yeah, but not here. Thank you very much, Mr Madlener. Your debate will be on the list anyway. That's for sure. I call Mrs Thieme.
ParlaMint-NL_2016-09-06-tweedekamer-8.u131	Mr. Chairman. This summer, the Dutch Food and Service Authority again fingered many animal transporters, because despite the hot days they carried pigs in cars in which it was 40 to 45°C, without ventilation. There's been a major animal loss. The sector also recognises that, despite a heat protocol, self-regulation does not work. The Chamber has said that there must be much more direction from the government. It's time for a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u132	My compliments to Mrs Thieme for finding a newspaper article. I don't think that was easy at all. We do not support the debate, because before it takes place we are two summers away. I suggest we include this component in the AO Animal Welfare.
ParlaMint-NL_2016-09-06-tweedekamer-8.u133	That misery during animal transports is now ours as well. We have solutions to this, which I would like to share in the debate. I therefore support the debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u134	No support for the debate. This subject must indeed be added to the AO Animal Welfare or at another, earlier time being dealt with.
ParlaMint-NL_2016-09-06-tweedekamer-8.u135	There would be every reason for a debate, but for the practical reason that we already have an AO, I would prefer to deal with it during that AO.
ParlaMint-NL_2016-09-06-tweedekamer-8.u136	No support for this plenary debate, but it is important to speed up a general consultation on animal welfare at the next meeting of the Economic Affairs Committee. That is not yet planned, but it can be done in a shorter time than a plenary debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u137	I think we have animal transport rules in the Netherlands. The sector has made its own arrangements with NVWA. In the light of the agreements that have been made, I would therefore like to receive a letter from the cabinet stating whether Mrs Thieme's story is correct. That letter can then be included in the AO Animal Welfare. That's the fastest route.
ParlaMint-NL_2016-09-06-tweedekamer-8.u138	I don't think there's an AO Animal Welfare plan for the moment. We support the debate and ask for a letter specifically addressing the actions of the Dutch Food and Consumer Protection Authority. There are many abuses, but I have the impression that everything is covered with the cloak of love and is operated on with velvet gloves, while powerful action is desirable.
ParlaMint-NL_2016-09-06-tweedekamer-8.u139	If I listen carefully to my colleagues, they all want a debate in themselves but perhaps in the form of an AO. I would ask my colleague to submit this at the procedural meeting. Then I hope that all colleagues who have now responded so positively will agree to the rapid planning of a general consultation. We also like to receive a letter at the front.
ParlaMint-NL_2016-09-06-tweedekamer-8.u140	Mrs Thieme, you have no majority in favour of holding a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u141	If I listen carefully to my colleagues, the general consultation on animal welfare, which is not yet scheduled, will take place in the short term. I'm very happy about that. We shall discuss this further in committee. I, too, would like a letter from the cabinet on the progress of animal transport last summer.
ParlaMint-NL_2016-09-06-tweedekamer-8.u142	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Agema on behalf of the PVV.
ParlaMint-NL_2016-09-06-tweedekamer-8.u143	Mr. Chairman. My colleague Barry Madlener said that debates should be scheduled. He is absolutely right, but it will not stop us from making proposals for debates. Last summer it appeared again that elderly people in our nursing homes had to do it with too few nurses at the bed. There's sometimes one nurse out of 12 residents. People can't even pee, let alone get people out of bed. ActiZ was the alarm clock again yesterday. It's a long-term problem. I propose that we hold a debate called'staff shortage of care for the elderly'.
ParlaMint-NL_2016-09-06-tweedekamer-8.u144	It will not surprise you that I wholeheartedly support this proposal, Madam President.
ParlaMint-NL_2016-09-06-tweedekamer-8.u145	This is an important subject. We must have a debate on this, but I think it would be better if we could have a broader debate on it, because we will also have the new list of inspections. I therefore propose that a broader debate should be planned rather than a debate on this subject alone.
ParlaMint-NL_2016-09-06-tweedekamer-8.u146	So support for the request to hold a debate?
ParlaMint-NL_2016-09-06-tweedekamer-8.u147	Yes.
ParlaMint-NL_2016-09-06-tweedekamer-8.u148	Mrs Agema is here just about after every summer to bring this issue to the fore, so I know after a few years. Apparently, nothing changes. That must be done urgently. In health care, it has to be about good care again, rather than about protocols. That is why I support this request.
